Dependency=Vintage	Dependency=Geometry Floor Area MF	Dependency=Geometry Building Type	Option=2	Option=3+	Option=NA	Count	Weight
2000s	0-599	Single Family Detached	0	0	1	226	2268849.847
2000s	600-1119	Single Family Detached	0	0	1	423	3910028.524
2000s	1200-1799	Single Family Detached	0	0	1	243	2229392.981
2000s	1800+	Single Family Detached	0	0	1	264	2397242.798
<1950	0-599	Single Family Attached	0	0	1	593	5642881.197
<1950	600-1119	Single Family Attached	0	0	1	450	4207616.56
<1950	1200-1799	Single Family Attached	0	0	1	193	1767455.927
<1950	1800+	Single Family Attached	0	0	1	109	1013195.559
1950s	0-599	Single Family Attached	0	0	1	520	4704980.719
1950s	600-1119	Single Family Attached	0	0	1	434	4078571.527
1950s	1200-1799	Single Family Attached	0	0	1	109	1046418.084
1950s	1800+	Single Family Attached	0	0	1	57	510967.9715
1960s	0-599	Single Family Attached	0	0	1	399	3677143.824
1960s	600-1119	Single Family Attached	0	0	1	353	3212853.732
1960s	1200-1799	Single Family Attached	0	0	1	119	1104859.164
1960s	1800+	Single Family Attached	0	0	1	76	696651.5876
1970s	0-599	Single Family Attached	0	0	1	389	3453731.729
1970s	600-1119	Single Family Attached	0	0	1	463	4007564.169
1970s	1200-1799	Single Family Attached	0	0	1	188	1583212.848
1970s	1800+	Single Family Attached	0	0	1	96	745789.2205
1980s	0-599	Single Family Attached	0	0	1	298	2859601.632
1980s	600-1119	Single Family Attached	0	0	1	416	3870139.651
1980s	1200-1799	Single Family Attached	0	0	1	182	1620047.602
1980s	1800+	Single Family Attached	0	0	1	101	869421.6269
1990s	0-599	Single Family Attached	0	0	1	246	2447476.3
1990s	600-1119	Single Family Attached	0	0	1	408	3900135.871
1990s	1200-1799	Single Family Attached	0	0	1	236	2137182.248
1990s	1800+	Single Family Attached	0	0	1	212	1872290.294
2000s	0-599	Single Family Attached	0	0	1	226	2268849.847
2000s	600-1119	Single Family Attached	0	0	1	423	3910028.524
2000s	1200-1799	Single Family Attached	0	0	1	243	2229392.981
2000s	1800+	Single Family Attached	0	0	1	264	2397242.798
