Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Count	Weight
CR03	1970s	Single-Family Attached	1	0	0	0
CR03	1970s	Single-Family Detached	1	0	0	0
CR03	1980s	Mobile Home	1	0	0	0
CR03	1980s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1980s	Multi-Family with 5+ Units	1	0	0	0
CR03	1980s	Single-Family Attached	1	0	0	0
CR03	1980s	Single-Family Detached	1	0	0	0
CR03	1990s	Mobile Home	1	0	0	0
CR03	1990s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	1990s	Multi-Family with 5+ Units	1	0	0	0
CR03	1990s	Single-Family Attached	1	0	0	0
CR03	1990s	Single-Family Detached	1	0	0	0
CR03	2000s	Mobile Home	1	0	0	0
CR03	2000s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	2000s	Multi-Family with 5+ Units	1	0	0	0
CR03	2000s	Single-Family Attached	1	0	0	0
CR03	2000s	Single-Family Detached	1	0	0	0
CR03	2010s	Mobile Home	1	0	0	0
CR03	2010s	Multi-Family with 2 - 4 Units	1	0	0	0
CR03	2010s	Multi-Family with 5+ Units	1	0	0	0
CR03	2010s	Single-Family Attached	1	0	0	0
CR03	2010s	Single-Family Detached	1	0	0	0
CR04	<1940	Mobile Home	1	0	0	0
CR04	<1940	Multi-Family with 2 - 4 Units	0.493647445	0.506352555	205	2122334.44
CR04	<1940	Multi-Family with 5+ Units	0.436376858	0.563623142	185	1850540.616
CR04	<1940	Single-Family Attached	0.440074193	0.559925807	87	869626.6432
CR04	<1940	Single-Family Detached	0.402359935	0.597640065	543	5996297.814
CR04	1940s	Mobile Home	1	0	0	0
CR04	1940s	Multi-Family with 2 - 4 Units	0.493647445	0.506352555	205	2122334.44
CR04	1940s	Multi-Family with 5+ Units	0.436376858	0.563623142	185	1850540.616
CR04	1940s	Single-Family Attached	0.440074193	0.559925807	87	869626.6432
CR04	1940s	Single-Family Detached	0.402359935	0.597640065	543	5996297.814
CR04	1950s	Mobile Home	1	0	0	0
CR04	1950s	Multi-Family with 2 - 4 Units	0.338102008	0.661897992	55	701953.3942
CR04	1950s	Multi-Family with 5+ Units	0.371409035	0.628590965	49	519834.1457
CR04	1950s	Single-Family Attached	0.478662842	0.521337158	24	223492.7568
CR04	1950s	Single-Family Detached	0.258837542	0.741162458	376	4295787.526
CR04	1960s	Mobile Home	0.378600342	0.621399658	8	76890.87621
CR04	1960s	Multi-Family with 2 - 4 Units	0.465735955	0.534264045	44	598075.8774
CR04	1960s	Multi-Family with 5+ Units	0.557969616	0.442030384	86	1029776.796
CR04	1960s	Single-Family Attached	0.324729512	0.675270488	24	189995.6104
CR04	1960s	Single-Family Detached	0.242269764	0.757730236	240	2772143.557
CR04	1970s	Mobile Home	0.769155771	0.230844229	23	285518.7965
CR04	1970s	Multi-Family with 2 - 4 Units	0.440042756	0.559957244	41	475772.6587
CR04	1970s	Multi-Family with 5+ Units	0.348996319	0.651003681	104	1308808.091
CR04	1970s	Single-Family Attached	0.03997027	0.96002973	31	355579.5481
CR04	1970s	Single-Family Detached	0.248758386	0.751241614	202	2444154.555
CR04	1980s	Mobile Home	0.470960492	0.529039508	22	367130.2687
CR04	1980s	Multi-Family with 2 - 4 Units	0.458173889	0.541826111	23	262391.7435
CR04	1980s	Multi-Family with 5+ Units	0.301253662	0.698746338	81	889784.917
CR04	1980s	Single-Family Attached	0.217250892	0.782749108	58	469824.8436
CR04	1980s	Single-Family Detached	0.245638209	0.754361791	167	1992885.359
CR04	1990s	Mobile Home	0.454194638	0.545805362	16	243210.4417
CR04	1990s	Multi-Family with 2 - 4 Units	0.35771942	0.64228058	11	171574.0255
CR04	1990s	Multi-Family with 5+ Units	0.242790292	0.757209708	46	688215.2937
CR04	1990s	Single-Family Attached	0.315615186	0.684384814	18	200829.9279
CR04	1990s	Single-Family Detached	0.097103703	0.902896297	164	1973929.391
CR04	2000s	Mobile Home	0.562088307	0.437911693	3	56157.29372
CR04	2000s	Multi-Family with 2 - 4 Units	0.102182091	0.897817909	8	84291.48193
CR04	2000s	Multi-Family with 5+ Units	0.108949391	0.891050609	45	563972.8442
CR04	2000s	Single-Family Attached	0.020371731	0.979628269	22	190235.5077
CR04	2000s	Single-Family Detached	0.088309852	0.911690148	163	2080569.959
CR04	2010s	Mobile Home	0.562088307	0.437911693	3	56157.29372
CR04	2010s	Multi-Family with 2 - 4 Units	0.102182091	0.897817909	8	84291.48193
CR04	2010s	Multi-Family with 5+ Units	0.108949391	0.891050609	45	563972.8442
CR04	2010s	Single-Family Attached	0.020371731	0.979628269	22	190235.5077
CR04	2010s	Single-Family Detached	0.088309852	0.911690148	163	2080569.959
CR05	<1940	Mobile Home	1	0	0	0
CR05	<1940	Multi-Family with 2 - 4 Units	0.537797705	0.462202295	2	20048.22723
CR05	<1940	Multi-Family with 5+ Units	0.54072587	0.45927413	2	14012.45888
CR05	<1940	Single-Family Attached	0.344954376	0.655045624	3	14774.16004
CR05	<1940	Single-Family Detached	0.385647514	0.614352486	32	403337.8409
CR05	1940s	Mobile Home	1	0	0	0
CR05	1940s	Multi-Family with 2 - 4 Units	0.537797705	0.462202295	2	20048.22723
CR05	1940s	Multi-Family with 5+ Units	0.54072587	0.45927413	2	14012.45888
CR05	1940s	Single-Family Attached	0.344954376	0.655045624	3	14774.16004
CR05	1940s	Single-Family Detached	0.385647514	0.614352486	32	403337.8409
CR05	1950s	Mobile Home	1	0	0	0
CR05	1950s	Multi-Family with 2 - 4 Units	1	0	0	0
CR05	1950s	Multi-Family with 5+ Units	1	0	1	5565.541157
CR05	1950s	Single-Family Attached	0.353646174	0.646353826	3	23460.86104
CR05	1950s	Single-Family Detached	0.268088504	0.731911496	26	292676.9273
CR05	1960s	Mobile Home	0.403028479	0.596971521	3	21564.36792
CR05	1960s	Multi-Family with 2 - 4 Units	0.186314407	0.813685593	4	33835.77291
CR05	1960s	Multi-Family with 5+ Units	0.461140234	0.538859766	2	10885.82036
CR05	1960s	Single-Family Attached	0.66467836	0.33532164	2	11163.97343
CR05	1960s	Single-Family Detached	0.218128647	0.781871353	15	135881.6282
CR05	1970s	Mobile Home	0.212794305	0.787205695	6	96189.84515
CR05	1970s	Multi-Family with 2 - 4 Units	0.770843188	0.229156812	7	44414.82136
CR05	1970s	Multi-Family with 5+ Units	0.566907817	0.433092183	12	81459.54688
CR05	1970s	Single-Family Attached	0.351118901	0.648881099	7	42267.45708
CR05	1970s	Single-Family Detached	0.18752141	0.81247859	86	573854.0632
CR05	1980s	Mobile Home	1	0	2	17825.83085
CR05	1980s	Multi-Family with 2 - 4 Units	1	0	0	0
CR05	1980s	Multi-Family with 5+ Units	0.362078792	0.637921208	19	169251.7942
CR05	1980s	Single-Family Attached	0.359137574	0.640862426	18	74191.55045
CR05	1980s	Single-Family Detached	0.108220911	0.891779089	51	526527.0407
CR05	1990s	Mobile Home	0.634098976	0.365901024	5	34878.97227
CR05	1990s	Multi-Family with 2 - 4 Units	0.056101988	0.943898012	5	83325.8767
CR05	1990s	Multi-Family with 5+ Units	0.088263961	0.911736039	8	56873.60622
CR05	1990s	Single-Family Attached	0.272918588	0.727081412	11	63468.06583
CR05	1990s	Single-Family Detached	0.176399345	0.823600655	51	492764.419
CR05	2000s	Mobile Home	0.307890682	0.692109318	3	71011.84041
CR05	2000s	Multi-Family with 2 - 4 Units	0	1	2	8824.637368
CR05	2000s	Multi-Family with 5+ Units	0.699937542	0.300062458	4	39574.19728
CR05	2000s	Single-Family Attached	0	1	11	65938.84677
CR05	2000s	Single-Family Detached	0.025500882	0.974499118	42	390742.0091
CR05	2010s	Mobile Home	0.307890682	0.692109318	3	71011.84041
CR05	2010s	Multi-Family with 2 - 4 Units	0	1	2	8824.637368
CR05	2010s	Multi-Family with 5+ Units	0.699937542	0.300062458	4	39574.19728
CR05	2010s	Single-Family Attached	0	1	11	65938.84677
CR05	2010s	Single-Family Detached	0.025500882	0.974499118	42	390742.0091
CR06	<1940	Mobile Home	1	0	0	0
CR06	<1940	Multi-Family with 2 - 4 Units	0.722412927	0.277587073	5	51825.41108
CR06	<1940	Multi-Family with 5+ Units	0.735097357	0.264902643	5	57887.28473
CR06	<1940	Single-Family Attached	0.538992583	0.461007417	4	37380.33695
CR06	<1940	Single-Family Detached	0.62647947	0.37352053	40	407336.0734
CR06	1940s	Mobile Home	1	0	0	0
CR06	1940s	Multi-Family with 2 - 4 Units	0.722412927	0.277587073	5	51825.41108
CR06	1940s	Multi-Family with 5+ Units	0.735097357	0.264902643	5	57887.28473
CR06	1940s	Single-Family Attached	0.538992583	0.461007417	4	37380.33695
CR06	1940s	Single-Family Detached	0.62647947	0.37352053	40	407336.0734
CR06	1950s	Mobile Home	1	0	1	16873.12954
CR06	1950s	Multi-Family with 2 - 4 Units	0.66265346	0.33734654	6	49534.90564
CR06	1950s	Multi-Family with 5+ Units	0.294413935	0.705586065	6	72605.73236
CR06	1950s	Single-Family Attached	0	1	1	7942.958043
CR06	1950s	Single-Family Detached	0.345545062	0.654454938	28	284195.7901
CR06	1960s	Mobile Home	1	0	2	26605.51209
CR06	1960s	Multi-Family with 2 - 4 Units	0.562374974	0.437625026	3	30119.79441
CR06	1960s	Multi-Family with 5+ Units	0.69441728	0.30558272	15	172119.8561
CR06	1960s	Single-Family Attached	1	0	2	12553.0256
CR06	1960s	Single-Family Detached	0.274033435	0.725966565	42	417558.7772
CR06	1970s	Mobile Home	0.441792392	0.558207608	15	170271.9932
CR06	1970s	Multi-Family with 2 - 4 Units	0.690886692	0.309113308	9	92154.85303
CR06	1970s	Multi-Family with 5+ Units	0.549673783	0.450326217	16	182279.8639
CR06	1970s	Single-Family Attached	0.662780061	0.337219939	3	18612.5238
CR06	1970s	Single-Family Detached	0.331912363	0.668087637	35	321497.6894
CR06	1980s	Mobile Home	0.255130982	0.744869018	9	95615.69648
CR06	1980s	Multi-Family with 2 - 4 Units	0.197669966	0.802330034	7	66682.74898
CR06	1980s	Multi-Family with 5+ Units	0.2168581	0.7831419	19	213047.2077
CR06	1980s	Single-Family Attached	0.135921021	0.864078979	8	58938.46601
CR06	1980s	Single-Family Detached	0.233319829	0.766680171	41	396413.168
CR06	1990s	Mobile Home	0	1	6	62829.09406
CR06	1990s	Multi-Family with 2 - 4 Units	0.501053692	0.498946308	4	46188.56796
CR06	1990s	Multi-Family with 5+ Units	0.133788764	0.866211236	15	170625.3404
CR06	1990s	Single-Family Attached	0	1	1	8107.240499
CR06	1990s	Single-Family Detached	0.125148164	0.874851836	49	487417.4182
CR06	2000s	Mobile Home	0	1	1	12102.54009
CR06	2000s	Multi-Family with 2 - 4 Units	0	1	4	38236.61627
CR06	2000s	Multi-Family with 5+ Units	0.131279661	0.868720339	7	77631.1812
CR06	2000s	Single-Family Attached	0.169731009	0.830268991	6	46110.78153
CR06	2000s	Single-Family Detached	0.018185546	0.981814454	51	518638.422
CR06	2010s	Mobile Home	0	1	1	12102.54009
CR06	2010s	Multi-Family with 2 - 4 Units	0	1	4	38236.61627
CR06	2010s	Multi-Family with 5+ Units	0.131279661	0.868720339	7	77631.1812
CR06	2010s	Single-Family Attached	0.169731009	0.830268991	6	46110.78153
CR06	2010s	Single-Family Detached	0.018185546	0.981814454	51	518638.422
CR07	<1940	Mobile Home	1	0	0	0
CR07	<1940	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	<1940	Multi-Family with 5+ Units	1	0	0	0
CR07	<1940	Single-Family Attached	1	0	0	0
CR07	<1940	Single-Family Detached	1	0	0	0
CR07	1940s	Mobile Home	1	0	0	0
CR07	1940s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1940s	Multi-Family with 5+ Units	1	0	0	0
CR07	1940s	Single-Family Attached	1	0	0	0
CR07	1940s	Single-Family Detached	1	0	0	0
CR07	1950s	Mobile Home	1	0	0	0
CR07	1950s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1950s	Multi-Family with 5+ Units	1	0	0	0
CR07	1950s	Single-Family Attached	1	0	0	0
CR07	1950s	Single-Family Detached	1	0	0	0
CR07	1960s	Mobile Home	1	0	0	0
CR07	1960s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1960s	Multi-Family with 5+ Units	1	0	0	0
CR07	1960s	Single-Family Attached	1	0	0	0
CR07	1960s	Single-Family Detached	1	0	0	0
CR07	1970s	Mobile Home	1	0	0	0
CR07	1970s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1970s	Multi-Family with 5+ Units	1	0	0	0
CR07	1970s	Single-Family Attached	1	0	0	0
CR07	1970s	Single-Family Detached	1	0	0	0
CR07	1980s	Mobile Home	1	0	0	0
CR07	1980s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1980s	Multi-Family with 5+ Units	1	0	0	0
CR07	1980s	Single-Family Attached	1	0	0	0
CR07	1980s	Single-Family Detached	1	0	0	0
CR07	1990s	Mobile Home	1	0	0	0
CR07	1990s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	1990s	Multi-Family with 5+ Units	1	0	0	0
CR07	1990s	Single-Family Attached	1	0	0	0
CR07	1990s	Single-Family Detached	1	0	0	0
CR07	2000s	Mobile Home	1	0	0	0
CR07	2000s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	2000s	Multi-Family with 5+ Units	1	0	0	0
CR07	2000s	Single-Family Attached	1	0	0	0
CR07	2000s	Single-Family Detached	1	0	0	0
CR07	2010s	Mobile Home	1	0	0	0
CR07	2010s	Multi-Family with 2 - 4 Units	1	0	0	0
CR07	2010s	Multi-Family with 5+ Units	1	0	0	0
CR07	2010s	Single-Family Attached	1	0	0	0
CR07	2010s	Single-Family Detached	1	0	0	0
CR08	<1940	Mobile Home	1	0	0	0
CR08	<1940	Multi-Family with 2 - 4 Units	0.675990108	0.324009892	13	136217.2335
CR08	<1940	Multi-Family with 5+ Units	0.476159225	0.523840775	23	255196.3484
CR08	<1940	Single-Family Attached	0.368684016	0.631315984	20	179812.0202
CR08	<1940	Single-Family Detached	0.572417842	0.427582158	208	1416592.139
CR08	1940s	Mobile Home	1	0	0	0
CR08	1940s	Multi-Family with 2 - 4 Units	0.675990108	0.324009892	13	136217.2335
CR08	1940s	Multi-Family with 5+ Units	0.476159225	0.523840775	23	255196.3484
CR08	1940s	Single-Family Attached	0.368684016	0.631315984	20	179812.0202
CR08	1940s	Single-Family Detached	0.572417842	0.427582158	208	1416592.139
CR08	1950s	Mobile Home	1	0	0	0
CR08	1950s	Multi-Family with 2 - 4 Units	0.788124009	0.211875991	8	49426.29646
CR08	1950s	Multi-Family with 5+ Units	0.541251821	0.458748179	11	103536.2935
CR08	1950s	Single-Family Attached	0.605929677	0.394070323	16	138288.912
CR08	1950s	Single-Family Detached	0.416735162	0.583264838	144	896347.9627
CR08	1960s	Mobile Home	1	0	3	25578.28393
CR08	1960s	Multi-Family with 2 - 4 Units	0.770692117	0.229307883	8	54301.18009
CR08	1960s	Multi-Family with 5+ Units	0.736995219	0.263004781	13	159382.3322
CR08	1960s	Single-Family Attached	0.674900759	0.325099241	5	18486.52415
CR08	1960s	Single-Family Detached	0.438056463	0.561943537	169	1136045.046
CR08	1970s	Mobile Home	0.673167726	0.326832274	28	317598.9116
CR08	1970s	Multi-Family with 2 - 4 Units	0.68616002	0.31383998	21	113688.8411
CR08	1970s	Multi-Family with 5+ Units	0.496489923	0.503510077	47	436358.604
CR08	1970s	Single-Family Attached	0.292977601	0.707022399	16	89737.53962
CR08	1970s	Single-Family Detached	0.354959963	0.645040037	187	1089069.278
CR08	1980s	Mobile Home	0.599424489	0.400575511	21	244505.9798
CR08	1980s	Multi-Family with 2 - 4 Units	0.049012865	0.950987135	12	109576.9706
CR08	1980s	Multi-Family with 5+ Units	0.594378469	0.405621531	36	298642.6898
CR08	1980s	Single-Family Attached	0.359223872	0.640776128	31	273977.2007
CR08	1980s	Single-Family Detached	0.206967361	0.793032639	149	1121320.159
CR08	1990s	Mobile Home	0.590145556	0.409854444	25	302059.3357
CR08	1990s	Multi-Family with 2 - 4 Units	0.545246509	0.454753491	16	103539.5952
CR08	1990s	Multi-Family with 5+ Units	0.500938854	0.499061146	36	347584.4685
CR08	1990s	Single-Family Attached	0.23206164	0.76793836	24	164193.7529
CR08	1990s	Single-Family Detached	0.101691539	0.898308461	183	1426602.65
CR08	2000s	Mobile Home	0.298320419	0.701679581	13	216281.9734
CR08	2000s	Multi-Family with 2 - 4 Units	0.455657967	0.544342033	5	30107.07853
CR08	2000s	Multi-Family with 5+ Units	0.231314842	0.768685158	50	398885.9801
CR08	2000s	Single-Family Attached	0.32050636	0.67949364	34	187431.9601
CR08	2000s	Single-Family Detached	0.107206806	0.892793194	177	1154235.459
CR08	2010s	Mobile Home	0.298320419	0.701679581	13	216281.9734
CR08	2010s	Multi-Family with 2 - 4 Units	0.455657967	0.544342033	5	30107.07853
CR08	2010s	Multi-Family with 5+ Units	0.231314842	0.768685158	50	398885.9801
CR08	2010s	Single-Family Attached	0.32050636	0.67949364	34	187431.9601
CR08	2010s	Single-Family Detached	0.107206806	0.892793194	177	1154235.459
CR09	<1940	Mobile Home	1	0	0	0
CR09	<1940	Multi-Family with 2 - 4 Units	0.801949804	0.198050196	20	214444.9784
CR09	<1940	Multi-Family with 5+ Units	0.879218855	0.120781145	19	162433.6653
CR09	<1940	Single-Family Attached	0.911897842	0.088102158	14	117198.3399
CR09	<1940	Single-Family Detached	0.672536727	0.327463273	204	2164358.016
CR09	1940s	Mobile Home	1	0	0	0
CR09	1940s	Multi-Family with 2 - 4 Units	0.801949804	0.198050196	20	214444.9784
CR09	1940s	Multi-Family with 5+ Units	0.879218855	0.120781145	19	162433.6653
CR09	1940s	Single-Family Attached	0.911897842	0.088102158	14	117198.3399
CR09	1940s	Single-Family Detached	0.672536727	0.327463273	204	2164358.016
CR09	1950s	Mobile Home	0.72055415	0.27944585	4	65875.42277
CR09	1950s	Multi-Family with 2 - 4 Units	0.885844783	0.114155217	19	188189.6641
CR09	1950s	Multi-Family with 5+ Units	0.718351439	0.281648561	22	189093.3706
CR09	1950s	Single-Family Attached	0.80135761	0.19864239	10	79831.11098
CR09	1950s	Single-Family Detached	0.713119037	0.286880963	242	2343689.028
CR09	1960s	Mobile Home	1	0	12	141057.1163
CR09	1960s	Multi-Family with 2 - 4 Units	0.774396409	0.225603591	20	192248.0678
CR09	1960s	Multi-Family with 5+ Units	0.748670955	0.251329045	58	542118.9328
CR09	1960s	Single-Family Attached	0.629803361	0.370196639	20	161985.002
CR09	1960s	Single-Family Detached	0.703783434	0.296216566	238	2448000.909
CR09	1970s	Mobile Home	0.88965615	0.11034385	40	561857.5655
CR09	1970s	Multi-Family with 2 - 4 Units	0.771447549	0.228552451	40	401664.0607
CR09	1970s	Multi-Family with 5+ Units	0.83527466	0.16472534	112	1054787.432
CR09	1970s	Single-Family Attached	0.60556301	0.39443699	25	200391.5336
CR09	1970s	Single-Family Detached	0.575782268	0.424217732	326	3111499.307
CR09	1980s	Mobile Home	0.751540464	0.248459536	55	831787.4985
CR09	1980s	Multi-Family with 2 - 4 Units	0.730130347	0.269869653	48	419602.5708
CR09	1980s	Multi-Family with 5+ Units	0.735253452	0.264746548	120	1116999.711
CR09	1980s	Single-Family Attached	0.54951036	0.45048964	38	275940.4169
CR09	1980s	Single-Family Detached	0.483603632	0.516396368	348	3304929.763
CR09	1990s	Mobile Home	0.601525185	0.398474815	65	1064220.184
CR09	1990s	Multi-Family with 2 - 4 Units	0.593244895	0.406755105	32	278531.4842
CR09	1990s	Multi-Family with 5+ Units	0.580843588	0.419156412	76	783542.6587
CR09	1990s	Single-Family Attached	0.562299627	0.437700373	22	140277.4477
CR09	1990s	Single-Family Detached	0.415257219	0.584742781	396	3902584.068
CR09	2000s	Mobile Home	0.446097357	0.553902643	35	446165.8156
CR09	2000s	Multi-Family with 2 - 4 Units	0.328402168	0.671597832	19	153806.1928
CR09	2000s	Multi-Family with 5+ Units	0.417090981	0.582909019	77	825020.6021
CR09	2000s	Single-Family Attached	0.190773094	0.809226906	43	319081.5387
CR09	2000s	Single-Family Detached	0.248588908	0.751411092	513	5038215.524
CR09	2010s	Mobile Home	0.446097357	0.553902643	35	446165.8156
CR09	2010s	Multi-Family with 2 - 4 Units	0.328402168	0.671597832	19	153806.1928
CR09	2010s	Multi-Family with 5+ Units	0.417090981	0.582909019	77	825020.6021
CR09	2010s	Single-Family Attached	0.190773094	0.809226906	43	319081.5387
CR09	2010s	Single-Family Detached	0.248588908	0.751411092	513	5038215.524
CR10	<1940	Mobile Home	1	0	0	0
CR10	<1940	Multi-Family with 2 - 4 Units	1	0	0	0
CR10	<1940	Multi-Family with 5+ Units	1	0	1	5403.89631
CR10	<1940	Single-Family Attached	1	0	0	0
CR10	<1940	Single-Family Detached	0.624560958	0.375439042	6	77936.27259
CR10	1940s	Mobile Home	1	0	0	0
CR10	1940s	Multi-Family with 2 - 4 Units	1	0	0	0
CR10	1940s	Multi-Family with 5+ Units	1	0	1	5403.89631
CR10	1940s	Single-Family Attached	1	0	0	0
CR10	1940s	Single-Family Detached	0.624560958	0.375439042	6	77936.27259
CR10	1950s	Mobile Home	1	0	1	15282.66603
CR10	1950s	Multi-Family with 2 - 4 Units	0	1	1	9844.422535
CR10	1950s	Multi-Family with 5+ Units	1	0	0	0
CR10	1950s	Single-Family Attached	1	0	2	16785.24583
CR10	1950s	Single-Family Detached	0.649000159	0.350999841	14	170307.6028
CR10	1960s	Mobile Home	0.693446073	0.306553927	3	31382.25359
CR10	1960s	Multi-Family with 2 - 4 Units	1	0	0	0
CR10	1960s	Multi-Family with 5+ Units	1	0	1	12549.29767
CR10	1960s	Single-Family Attached	1	0	0	0
CR10	1960s	Single-Family Detached	0.79726749	0.20273251	14	142118.2737
CR10	1970s	Mobile Home	0.667046381	0.332953619	10	100601.3715
CR10	1970s	Multi-Family with 2 - 4 Units	0.625074551	0.374925449	6	54642.27774
CR10	1970s	Multi-Family with 5+ Units	0.880557738	0.119442262	13	90485.49857
CR10	1970s	Single-Family Attached	0.303973583	0.696026417	6	54219.63618
CR10	1970s	Single-Family Detached	0.55754664	0.44245336	46	495644.3471
CR10	1980s	Mobile Home	0.705873645	0.294126355	9	101302.0591
CR10	1980s	Multi-Family with 2 - 4 Units	1	0	4	53690.84761
CR10	1980s	Multi-Family with 5+ Units	0.713359959	0.286640041	11	122132.7231
CR10	1980s	Single-Family Attached	0.631500426	0.368499574	5	42633.87307
CR10	1980s	Single-Family Detached	0.505611573	0.494388427	42	498876.0243
CR10	1990s	Mobile Home	0.622970813	0.377029187	10	110265.7956
CR10	1990s	Multi-Family with 2 - 4 Units	1	0	1	10040.45953
CR10	1990s	Multi-Family with 5+ Units	0.828056318	0.171943682	6	62856.58384
CR10	1990s	Single-Family Attached	0.365204286	0.634795714	3	26441.96027
CR10	1990s	Single-Family Detached	0.229989903	0.770010097	69	761608.6085
CR10	2000s	Mobile Home	0.621825376	0.378174624	6	62507.97779
