Dependency=Location Census Division	Dependency=Vintage	Dependency=Geometry Building Type	Option=0-599	Option=600-1119	Option=1200-1799	Option=1800+	Option=NA	Count	Weight
West South Central	1990s	Single Family Attached	0.138006215	0.513005522	0.233917168	0.115071094	0	382	972116.2008
West South Central	2000s	Single Family Attached	0.137673598	0.489307803	0.234783188	0.138235412	0	682	1768873.491
New England	<1950	Single Family Detached	0	0	0	0	1	345	1076862.036
New England	1950s	Single Family Detached	0	0	0	0	1	196	594973.3628
New England	1960s	Single Family Detached	0	0	0	0	1	132	419898.7454
New England	1970s	Single Family Detached	0	0	0	0	1	141	461365.1869
New England	1980s	Single Family Detached	0	0	0	0	1	124	362995.7046
New England	1990s	Single Family Detached	0	0	0	0	1	115	268440.268
New England	2000s	Single Family Detached	0	0	0	0	1	110	273371.8945
East North Central	<1950	Single Family Detached	0	0	0	0	1	1858	3242711.072
East North Central	1950s	Single Family Detached	0	0	0	0	1	1275	1731799.578
East North Central	1960s	Single Family Detached	0	0	0	0	1	965	1430458.967
East North Central	1970s	Single Family Detached	0	0	0	0	1	1082	1744081.996
East North Central	1980s	Single Family Detached	0	0	0	0	1	514	811543.6762
East North Central	1990s	Single Family Detached	0	0	0	0	1	849	1275247.089
East North Central	2000s	Single Family Detached	0	0	0	0	1	731	1293402.917
Middle Atlantic	<1950	Single Family Detached	0	0	0	0	1	1494	2407973.934
Middle Atlantic	1950s	Single Family Detached	0	0	0	0	1	889	1141118.195
Middle Atlantic	1960s	Single Family Detached	0	0	0	0	1	654	853581.5557
Middle Atlantic	1970s	Single Family Detached	0	0	0	0	1	601	867070.4948
Middle Atlantic	1980s	Single Family Detached	0	0	0	0	1	445	561287.6294
Middle Atlantic	1990s	Single Family Detached	0	0	0	0	1	477	554895.3598
Middle Atlantic	2000s	Single Family Detached	0	0	0	0	1	392	553007.47
Mountain - Pacific	<1950	Single Family Detached	0	0	0	0	1	992	2542537.426
Mountain - Pacific	1950s	Single Family Detached	0	0	0	0	1	732	1879119.095
Mountain - Pacific	1960s	Single Family Detached	0	0	0	0	1	716	1851519.067
Mountain - Pacific	1970s	Single Family Detached	0	0	0	0	1	1002	2621054.722
Mountain - Pacific	1980s	Single Family Detached	0	0	0	0	1	658	1719450.491
Mountain - Pacific	1990s	Single Family Detached	0	0	0	0	1	876	2107768.507
Mountain - Pacific	2000s	Single Family Detached	0	0	0	0	1	1010	2800355.267
South Atlantic - East South Central	<1950	Single Family Detached	0	0	0	0	1	924	2401684.51
South Atlantic - East South Central	1950s	Single Family Detached	0	0	0	0	1	732	1889128.621
South Atlantic - East South Central	1960s	Single Family Detached	0	0	0	0	1	909	2355550.972
South Atlantic - East South Central	1970s	Single Family Detached	0	0	0	0	1	1252	3280482.374
South Atlantic - East South Central	1980s	Single Family Detached	0	0	0	0	1	953	2357863.17
South Atlantic - East South Central	1990s	Single Family Detached	0	0	0	0	1	1140	2768068.499
South Atlantic - East South Central	2000s	Single Family Detached	0	0	0	0	1	1436	3614561.246
West North Central	<1950	Single Family Detached	0	0	0	0	1	548	1400039.924
West North Central	1950s	Single Family Detached	0	0	0	0	1	271	692290.1375
West North Central	1960s	Single Family Detached	0	0	0	0	1	243	615087.918
West North Central	1970s	Single Family Detached	0	0	0	0	1	373	948882.5578
West North Central	1980s	Single Family Detached	0	0	0	0	1	150	418720.6437
West North Central	1990s	Single Family Detached	0	0	0	0	1	260	597722.8224
West North Central	2000s	Single Family Detached	0	0	0	0	1	279	704743.7556
West South Central	<1950	Single Family Detached	0	0	0	0	1	459	1253679.547
West South Central	1950s	Single Family Detached	0	0	0	0	1	366	1008306.081
West South Central	1960s	Single Family Detached	0	0	0	0	1	363	976795.4343
West South Central	1970s	Single Family Detached	0	0	0	0	1	599	1629474.001
West South Central	1980s	Single Family Detached	0	0	0	0	1	357	998467.3689
West South Central	1990s	Single Family Detached	0	0	0	0	1	382	972116.2008
West South Central	2000s	Single Family Detached	0	0	0	0	1	682	1768873.491
New England	<1950	Multifamily	0	0	0	0	1	345	1076862.036
New England	1950s	Multifamily	0	0	0	0	1	196	594973.3628
New England	1960s	Multifamily	0	0	0	0	1	132	419898.7454
New England	1970s	Multifamily	0	0	0	0	1	141	461365.1869
New England	1980s	Multifamily	0	0	0	0	1	124	362995.7046
New England	1990s	Multifamily	0	0	0	0	1	115	268440.268
New England	2000s	Multifamily	0	0	0	0	1	110	273371.8945
East North Central	<1950	Multifamily	0	0	0	0	1	1858	3242711.072
East North Central	1950s	Multifamily	0	0	0	0	1	1275	1731799.578
East North Central	1960s	Multifamily	0	0	0	0	1	965	1430458.967
East North Central	1970s	Multifamily	0	0	0	0	1	1082	1744081.996
East North Central	1980s	Multifamily	0	0	0	0	1	514	811543.6762
East North Central	1990s	Multifamily	0	0	0	0	1	849	1275247.089
East North Central	2000s	Multifamily	0	0	0	0	1	731	1293402.917
Middle Atlantic	<1950	Multifamily	0	0	0	0	1	1494	2407973.934
Middle Atlantic	1950s	Multifamily	0	0	0	0	1	889	1141118.195
Middle Atlantic	1960s	Multifamily	0	0	0	0	1	654	853581.5557
Middle Atlantic	1970s	Multifamily	0	0	0	0	1	601	867070.4948
Middle Atlantic	1980s	Multifamily	0	0	0	0	1	445	561287.6294
Middle Atlantic	1990s	Multifamily	0	0	0	0	1	477	554895.3598
Middle Atlantic	2000s	Multifamily	0	0	0	0	1	392	553007.47
Mountain - Pacific	<1950	Multifamily	0	0	0	0	1	992	2542537.426
Mountain - Pacific	1950s	Multifamily	0	0	0	0	1	732	1879119.095
Mountain - Pacific	1960s	Multifamily	0	0	0	0	1	716	1851519.067
Mountain - Pacific	1970s	Multifamily	0	0	0	0	1	1002	2621054.722
Mountain - Pacific	1980s	Multifamily	0	0	0	0	1	658	1719450.491
Mountain - Pacific	1990s	Multifamily	0	0	0	0	1	876	2107768.507
Mountain - Pacific	2000s	Multifamily	0	0	0	0	1	1010	2800355.267
South Atlantic - East South Central	<1950	Multifamily	0	0	0	0	1	924	2401684.51
South Atlantic - East South Central	1950s	Multifamily	0	0	0	0	1	732	1889128.621
South Atlantic - East South Central	1960s	Multifamily	0	0	0	0	1	909	2355550.972
South Atlantic - East South Central	1970s	Multifamily	0	0	0	0	1	1252	3280482.374
South Atlantic - East South Central	1980s	Multifamily	0	0	0	0	1	953	2357863.17
South Atlantic - East South Central	1990s	Multifamily	0	0	0	0	1	1140	2768068.499
South Atlantic - East South Central	2000s	Multifamily	0	0	0	0	1	1436	3614561.246
West North Central	<1950	Multifamily	0	0	0	0	1	548	1400039.924
West North Central	1950s	Multifamily	0	0	0	0	1	271	692290.1375
West North Central	1960s	Multifamily	0	0	0	0	1	243	615087.918
West North Central	1970s	Multifamily	0	0	0	0	1	373	948882.5578
West North Central	1980s	Multifamily	0	0	0	0	1	150	418720.6437
West North Central	1990s	Multifamily	0	0	0	0	1	260	597722.8224
West North Central	2000s	Multifamily	0	0	0	0	1	279	704743.7556
West South Central	<1950	Multifamily	0	0	0	0	1	459	1253679.547
West South Central	1950s	Multifamily	0	0	0	0	1	366	1008306.081
West South Central	1960s	Multifamily	0	0	0	0	1	363	976795.4343
West South Central	1970s	Multifamily	0	0	0	0	1	599	1629474.001
West South Central	1980s	Multifamily	0	0	0	0	1	357	998467.3689
West South Central	1990s	Multifamily	0	0	0	0	1	382	972116.2008
West South Central	2000s	Multifamily	0	0	0	0	1	682	1768873.491
