Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4+	Option=N/a	Count	Weight
Multi-Family with 2 - 4 Units	1970s	1500-2499	0	0	0	0	1	9	78781.61249
Multi-Family with 2 - 4 Units	1970s	2500-3499	0	0	0	0	1	1	8878.279956
Multi-Family with 2 - 4 Units	1970s	3500+	0	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	1980s	0-1499	0	0	0	0	1	111	1053118.999
Multi-Family with 2 - 4 Units	1980s	1500-2499	0	0	0	0	1	5	32756.53365
Multi-Family with 2 - 4 Units	1980s	2500-3499	0	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	1980s	3500+	0	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	1990s	0-1499	0	0	0	0	1	72	737677.3671
Multi-Family with 2 - 4 Units	1990s	1500-2499	0	0	0	0	1	5	23890.91836
Multi-Family with 2 - 4 Units	1990s	2500-3499	0	0	0	0	1	2	7862.508814
Multi-Family with 2 - 4 Units	1990s	3500+	0	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	2000s	0-1499	0	0	0	0	1	38	315474.7047
Multi-Family with 2 - 4 Units	2000s	1500-2499	0	0	0	0	1	6	42915.97827
Multi-Family with 2 - 4 Units	2000s	2500-3499	0	0	0	0	1	2	10243.56429
Multi-Family with 2 - 4 Units	2000s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	<1950	0-1499	0	0	0	0	1	265	2600040.639
Multi-Family with 5+ Units	<1950	1500-2499	0	0	0	0	1	10	107485.8211
Multi-Family with 5+ Units	<1950	2500-3499	0	0	0	0	1	1	16295.24531
Multi-Family with 5+ Units	<1950	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1950s	0-1499	0	0	0	0	1	129	1239925.215
Multi-Family with 5+ Units	1950s	1500-2499	0	0	0	0	1	4	39639.49325
Multi-Family with 5+ Units	1950s	2500-3499	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1950s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1960s	0-1499	0	0	0	0	1	248	2502644.297
Multi-Family with 5+ Units	1960s	1500-2499	0	0	0	0	1	5	62775.37635
Multi-Family with 5+ Units	1960s	2500-3499	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1960s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1970s	0-1499	0	0	0	0	1	411	4033394.14
Multi-Family with 5+ Units	1970s	1500-2499	0	0	0	0	1	9	70442.13479
Multi-Family with 5+ Units	1970s	2500-3499	0	0	0	0	1	1	8775.313793
Multi-Family with 5+ Units	1970s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1980s	0-1499	0	0	0	0	1	359	3374715.815
Multi-Family with 5+ Units	1980s	1500-2499	0	0	0	0	1	10	119692.8171
Multi-Family with 5+ Units	1980s	2500-3499	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1980s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	1990s	0-1499	0	0	0	0	1	226	2426663.079
Multi-Family with 5+ Units	1990s	1500-2499	0	0	0	0	1	7	64224.84262
Multi-Family with 5+ Units	1990s	2500-3499	0	0	0	0	1	1	8884.939148
Multi-Family with 5+ Units	1990s	3500+	0	0	0	0	1	0	0
Multi-Family with 5+ Units	2000s	0-1499	0	0	0	0	1	215	2194465.242
Multi-Family with 5+ Units	2000s	1500-2499	0	0	0	0	1	21	231142.4711
Multi-Family with 5+ Units	2000s	2500-3499	0	0	0	0	1	1	8491.418082
Multi-Family with 5+ Units	2000s	3500+	0	0	0	0	1	0	0
Single-Family Attached	<1950	0-1499	0.370636722	0.544538175	0.084825103	0	0	99	894675.9703
Single-Family Attached	<1950	1500-2499	0.105892652	0.729891052	0.164216295	0	0	41	374120.4615
Single-Family Attached	<1950	2500-3499	0.063284299	0.724553676	0.212162025	0	0	9	70260.052
Single-Family Attached	<1950	3500+	0	0.418886211	0.581113789	0	0	2	27096.76104
Single-Family Attached	1950s	0-1499	0.672979519	0.327020481	0	0	0	44	337999.8018
Single-Family Attached	1950s	1500-2499	0.256118681	0.601128644	0.103049819	0.039702857	0	26	229651.6433
Single-Family Attached	1950s	2500-3499	0	0	0	1	0	1	7942.958043
Single-Family Attached	1950s	3500+	0.553349172	0.405390644	0.029509769	0.011750414	0	0	0
Single-Family Attached	1960s	0-1499	0.64316598	0.35683402	0	0	0	58	395111.3573
Single-Family Attached	1960s	1500-2499	0.177090354	0.769188327	0	0.053721319	0	14	103048.9814
Single-Family Attached	1960s	2500-3499	1	0	0	0	0	1	5242.407862
Single-Family Attached	1960s	3500+	0.615645075	0.381173931	0	0.003180995	0	0	0
Single-Family Attached	1970s	0-1499	0.644264945	0.342112313	0.013622742	0	0	91	706211.543
Single-Family Attached	1970s	1500-2499	0.334111785	0.628923891	0.036964324	0	0	38	312499.2059
Single-Family Attached	1970s	2500-3499	0.797039989	0.202960011	0	0	0	6	47951.5992
Single-Family Attached	1970s	3500+	0	0.637624254	0	0.362375746	0	2	12609.8831
Single-Family Attached	1980s	0-1499	0.433349049	0.549336231	0.011932144	0.005382576	0	120	856604.3149
Single-Family Attached	1980s	1500-2499	0.33271501	0.528190536	0.127259348	0.011835107	0	59	451874.1263
Single-Family Attached	1980s	2500-3499	0.128942734	0.799121786	0.071935479	0	0	13	79886.43878
Single-Family Attached	1980s	3500+	0.258973159	0.741026841	0	0	0	3	16481.48652
Single-Family Attached	1990s	0-1499	0.56506034	0.43493966	0	0	0	56	383478.3448
Single-Family Attached	1990s	1500-2499	0.171286297	0.725974249	0.102739453	0	0	42	264523.2512
Single-Family Attached	1990s	2500-3499	0.302549515	0.697450485	0	0	0	10	97520.61867
Single-Family Attached	1990s	3500+	0.187683287	0.812316713	0	0	0	3	14215.5178
Single-Family Attached	2000s	0-1499	0.488069113	0.487722101	0.024208786	0	0	69	482193.1319
Single-Family Attached	2000s	1500-2499	0.349765627	0.530338818	0.061059621	0.058835934	0	59	408410.8162
Single-Family Attached	2000s	2500-3499	0.286063803	0.342189335	0.371746861	0	0	15	90761.46252
Single-Family Attached	2000s	3500+	0.443086702	0.417840442	0.139072856	0	0	9	46477.21947
Single-Family Detached	<1950	0-1499	0.685861539	0.304841007	0.004603474	0.00469398	0	593	5642881.197
Single-Family Detached	<1950	1500-2499	0.305592663	0.668452878	0.017861535	0.008092924	0	450	4207616.56
Single-Family Detached	<1950	2500-3499	0.105376458	0.8202045	0.074419042	0	0	193	1767455.927
Single-Family Detached	<1950	3500+	0.099932575	0.756634437	0.107022301	0.036410687	0	109	1013195.559
Single-Family Detached	1950s	0-1499	0.898440903	0.097516584	0.001470658	0.002571855	0	520	4704980.719
Single-Family Detached	1950s	1500-2499	0.643461691	0.316746842	0.011150306	0.028641161	0	434	4078571.527
Single-Family Detached	1950s	2500-3499	0.402976198	0.536008878	0.032966856	0.028048068	0	109	1046418.084
Single-Family Detached	1950s	3500+	0.454945864	0.508579263	0.022320118	0.014154754	0	57	510967.9715
Single-Family Detached	1960s	0-1499	0.892285593	0.101545403	0.006169004	0	0	399	3677143.824
Single-Family Detached	1960s	1500-2499	0.745704279	0.211165901	0.013914215	0.029215606	0	353	3212853.732
Single-Family Detached	1960s	2500-3499	0.565039958	0.367538129	0.021411424	0.04601049	0	119	1104859.164
Single-Family Detached	1960s	3500+	0.371003354	0.505629448	0.047960804	0.075406394	0	76	696651.5876
Single-Family Detached	1970s	0-1499	0.912611627	0.075694119	0.008020667	0.003673587	0	389	3453731.729
Single-Family Detached	1970s	1500-2499	0.710325367	0.254795389	0.011035663	0.02384358	0	463	4007564.169
Single-Family Detached	1970s	2500-3499	0.474293618	0.44398486	0.033255879	0.048465644	0	188	1583212.848
Single-Family Detached	1970s	3500+	0.31775353	0.601410708	0.033197951	0.047637811	0	96	745789.2205
Single-Family Detached	1980s	0-1499	0.829550867	0.144506379	0.006382022	0.019560732	0	298	2859601.632
Single-Family Detached	1980s	1500-2499	0.639789654	0.327051568	0.005340855	0.027817924	0	416	3870139.651
Single-Family Detached	1980s	2500-3499	0.431000959	0.484358304	0.049589834	0.035050903	0	182	1620047.602
Single-Family Detached	1980s	3500+	0.195739901	0.733060041	0.030786754	0.040413305	0	101	869421.6269
Single-Family Detached	1990s	0-1499	0.847550624	0.137299841	0.003513485	0.01163605	0	246	2447476.3
Single-Family Detached	1990s	1500-2499	0.65524139	0.323026109	0.008063441	0.013669059	0	408	3900135.871
Single-Family Detached	1990s	2500-3499	0.270271257	0.689785032	0.022786772	0.017156939	0	236	2137182.248
Single-Family Detached	1990s	3500+	0.163661022	0.811632728	0.019220903	0.005485346	0	212	1872290.294
Single-Family Detached	2000s	0-1499	0.838519868	0.12974368	0.001681517	0.030054935	0	226	2268849.847
Single-Family Detached	2000s	1500-2499	0.650489867	0.336301133	0.00397359	0.00923541	0	423	3910028.524
Single-Family Detached	2000s	2500-3499	0.315094138	0.666503343	0.006117678	0.012284841	0	243	2229392.981
Single-Family Detached	2000s	3500+	0.219330623	0.743123143	0.029342782	0.008203452	0	264	2397242.798
