Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type	Option=Uninsulated	"Option=2ft R5 Perimeter, R5 Gap"	"Option=2ft R10 Perimeter, R10 Gap"	Option=2ft R5 Exterior	Option=2ft R10 Exterior	Option=None
CR08	<1950	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	<1950	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	<1950	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	<1950	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	1950s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	1960s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	1970s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	1980s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	1990s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR05	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR03	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR04	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR06	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR07	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR08	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR09	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR10	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR11	2000s	Crawl	Single Family Detached	0	0	0	0	0	1
CR02	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	<1950	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1950s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1960s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1970s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1980s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1990s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR05	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR03	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR04	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR06	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR07	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR08	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR09	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR10	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR11	2000s	Heated Basement	Single Family Detached	0	0	0	0	0	1
CR02	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	<1950	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1950s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1960s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1970s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1980s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	1990s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR05	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR03	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR04	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR06	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR07	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR08	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR09	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR10	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR11	2000s	Unheated Basement	Single Family Detached	0	0	0	0	0	1
CR02	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	<1950	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	1950s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	1960s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	1970s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	1980s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	1990s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR05	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR03	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR04	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR06	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR07	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR08	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR09	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR10	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR11	2000s	Pier & Beam	Single Family Detached	0	0	0	0	0	1
CR02	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR05	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR03	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR04	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR06	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR07	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR08	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR09	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR10	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR11	<1950	Slab	Single Family Attached	1	0	0	0	0	0
CR02	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR05	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR03	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR04	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR06	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR07	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR08	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR09	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR10	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR11	1950s	Slab	Single Family Attached	1	0	0	0	0	0
CR02	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR05	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR03	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR04	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR06	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR07	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR08	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR09	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR10	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR11	1960s	Slab	Single Family Attached	1	0	0	0	0	0
CR02	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR05	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR03	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR04	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR06	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR07	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR08	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR09	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR10	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR11	1970s	Slab	Single Family Attached	1	0	0	0	0	0
CR02	1980s	Slab	Single Family Attached	0.84	0.07	0.09	0	0	0
CR05	1980s	Slab	Single Family Attached	0.83	0.11	0.06	0	0	0
CR03	1980s	Slab	Single Family Attached	1	0	0	0	0	0
CR04	1980s	Slab	Single Family Attached	0.26	0.14	0.6	0	0	0
CR06	1980s	Slab	Single Family Attached	1	0	0	0	0	0
