Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Heating Fuel	Option=Both Shared	Option=Neither Shared	Option=Only Cooling Shared	Option=Only Heating Shared	Count	Weight
Multi-Family with 2 - 4 Units	2000s	Fuel Oil	0	1	0	0	1	6454.552118
Multi-Family with 2 - 4 Units	2000s	Natural Gas	0	0.80738118	0	0.19261882	8	63536.23712
Multi-Family with 2 - 4 Units	2000s	None	0	1	0	0	6	39616.70741
Multi-Family with 2 - 4 Units	2000s	Other Fuel					0	0
Multi-Family with 2 - 4 Units	2000s	Propane	0	1	0	0	2	15471.10222
Multi-Family with 5+ Units	<1950	Electricity	0.059888328	0.728026285	0.006526637	0.205558749	56	502007.7529
Multi-Family with 5+ Units	<1950	Fuel Oil	0	0.043691216	0	0.956308784	59	565979.1473
Multi-Family with 5+ Units	<1950	Natural Gas	0.045845416	0.245217921	0	0.708936663	125	1318270.34
Multi-Family with 5+ Units	<1950	None	0	0.974873965	0.025126035	0	21	169932.9737
Multi-Family with 5+ Units	<1950	Other Fuel	0	0.061829164	0	0.938170836	13	144158.2143
Multi-Family with 5+ Units	<1950	Propane	0	0	0	1	2	23473.27772
Multi-Family with 5+ Units	1950s	Electricity	0.039430833	0.800040956	0	0.160528211	48	441126.7363
Multi-Family with 5+ Units	1950s	Fuel Oil	0.054320072	0.076606495	0	0.869073433	20	182435.1784
Multi-Family with 5+ Units	1950s	Natural Gas	0.088293217	0.396268169	0	0.515438614	47	510796.0669
Multi-Family with 5+ Units	1950s	None	0	1	0	0	17	138388.2082
Multi-Family with 5+ Units	1950s	Other Fuel	0	1	0	0	1	6818.518652
Multi-Family with 5+ Units	1950s	Propane					0	0
Multi-Family with 5+ Units	1960s	Electricity	0.073965587	0.811886536	0.029024468	0.085123409	91	956384.8813
Multi-Family with 5+ Units	1960s	Fuel Oil	0	0.078000855	0	0.921999145	21	178527.7472
Multi-Family with 5+ Units	1960s	Natural Gas	0.138599139	0.366542832	0.039220257	0.455637773	111	1170528.395
Multi-Family with 5+ Units	1960s	None	0	1	0	0	26	212488.5869
Multi-Family with 5+ Units	1960s	Other Fuel	0	0.358921742	0	0.641078258	3	36939.52501
Multi-Family with 5+ Units	1960s	Propane	0	0	0	1	1	10550.53818
Multi-Family with 5+ Units	1970s	Electricity	0.061957134	0.848896588	0.031615217	0.057531061	201	1885519.116
Multi-Family with 5+ Units	1970s	Fuel Oil	0	0	0	1	10	68339.64631
Multi-Family with 5+ Units	1970s	Natural Gas	0.085114411	0.596235906	0.016224482	0.302425201	160	1715172.016
Multi-Family with 5+ Units	1970s	None	0	0.871847505	0.128152495	0	45	388273.8246
Multi-Family with 5+ Units	1970s	Other Fuel	0.539847956	0.170209349	0	0.289942695	3	37271.4085
Multi-Family with 5+ Units	1970s	Propane	0	0	0	1	2	18035.57697
Multi-Family with 5+ Units	1980s	Electricity	0.031857038	0.878443064	0.023449182	0.066250716	219	2173936.922
Multi-Family with 5+ Units	1980s	Fuel Oil	0	0.117532436	0	0.882467564	7	64121.92139
Multi-Family with 5+ Units	1980s	Natural Gas	0.109641386	0.557018584	0.018944325	0.314395704	113	989707.0909
Multi-Family with 5+ Units	1980s	None	0	0.954385628	0.045614372	0	24	200150.6692
Multi-Family with 5+ Units	1980s	Other Fuel	0	0.328676989	0	0.671323011	5	60661.47138
Multi-Family with 5+ Units	1980s	Propane	0	1	0	0	1	5830.556835
Multi-Family with 5+ Units	1990s	Electricity	0.033008329	0.923115923	0.004593314	0.039282434	139	1434875.506
Multi-Family with 5+ Units	1990s	Fuel Oil	0.113251992	0	0	0.886748008	6	48843.16226
Multi-Family with 5+ Units	1990s	Natural Gas	0.056660997	0.809391375	0	0.133947627	71	840879.8484
Multi-Family with 5+ Units	1990s	None	0	0.825336928	0.174663072	0	15	138399.4958
Multi-Family with 5+ Units	1990s	Other Fuel	0	0	0	1	1	6374.842753
Multi-Family with 5+ Units	1990s	Propane	0.518431959	0	0	0.481568041	2	30400.00511
Multi-Family with 5+ Units	2000s	Electricity	0.022985133	0.859721372	0.036681392	0.080612103	152	1510549.494
Multi-Family with 5+ Units	2000s	Fuel Oil	0.143542908	0	0	0.856457092	6	51635.21878
Multi-Family with 5+ Units	2000s	Natural Gas	0.034190987	0.867858427	0	0.097950586	61	704316.5048
Multi-Family with 5+ Units	2000s	None	0	1	0	0	15	138293.8008
Multi-Family with 5+ Units	2000s	Other Fuel	0	0	0	1	2	13329.17065
Multi-Family with 5+ Units	2000s	Propane	1	0	0	0	1	15974.94285
Single-Family Attached	<1950	Electricity	0	0.861967855	0	0.138032145	24	229975.5085
Single-Family Attached	<1950	Fuel Oil	0	0.946550542	0	0.053449458	28	273505.6838
Single-Family Attached	<1950	Natural Gas	0	0.900824076	0.008997564	0.09017836	91	791037.8639
Single-Family Attached	<1950	None	0	1	0	0	2	12663.04579
Single-Family Attached	<1950	Other Fuel	0	1	0	0	4	44451.61439
Single-Family Attached	<1950	Propane	0	1	0	0	2	14519.52841
Single-Family Attached	1950s	Electricity	0	1	0	0	10	71621.08129
Single-Family Attached	1950s	Fuel Oil	0	0.691342546	0	0.308657454	4	41551.14951
Single-Family Attached	1950s	Natural Gas	0	0.875130718	0	0.124869282	52	432912.1906
Single-Family Attached	1950s	None	0	1	0	0	5	29509.98173
Single-Family Attached	1950s	Other Fuel					0	0
Single-Family Attached	1950s	Propane					0	0
Single-Family Attached	1960s	Electricity	0	1	0	0	19	132337.3383
Single-Family Attached	1960s	Fuel Oil	0	0.560285583	0	0.439714417	8	50868.64485
Single-Family Attached	1960s	Natural Gas	0	0.935080861	0	0.064919139	41	298340.1235
Single-Family Attached	1960s	None	0	1	0	0	3	14936.38449
Single-Family Attached	1960s	Other Fuel	0	1	0	0	2	6920.255437
Single-Family Attached	1960s	Propane					0	0
Single-Family Attached	1970s	Electricity	0	1	0	0	45	332932.3051
Single-Family Attached	1970s	Fuel Oil	0	1	0	0	1	19348.07886
Single-Family Attached	1970s	Natural Gas	0	0.980706512	0	0.019293488	77	628823.6308
Single-Family Attached	1970s	None	0	0.922776672	0.077223328	0	10	68206.44313
Single-Family Attached	1970s	Other Fuel					0	0
Single-Family Attached	1970s	Propane	0	1	0	0	4	29961.77333
Single-Family Attached	1980s	Electricity	0	0.993559086	0.006440914	0	86	684180.4174
Single-Family Attached	1980s	Fuel Oil	0	1	0	0	1	9567.872936
Single-Family Attached	1980s	Natural Gas	0.008923431	0.986420313	0	0.004656255	98	647696.2933
Single-Family Attached	1980s	None	0	1	0	0	6	44170.38637
Single-Family Attached	1980s	Other Fuel	0	1	0	0	2	8572.715247
Single-Family Attached	1980s	Propane	0	0.386909581	0	0.613090419	2	10658.68118
Single-Family Attached	1990s	Electricity	0	1	0	0	40	267405.8735
Single-Family Attached	1990s	Fuel Oil					0	0
Single-Family Attached	1990s	Natural Gas	0.01666508	0.98333492	0	0	66	459708.3761
Single-Family Attached	1990s	None	0	1	0	0	2	10492.17349
Single-Family Attached	1990s	Other Fuel					0	0
Single-Family Attached	1990s	Propane	0.262374881	0.737625119	0	0	3	22131.30936
Single-Family Attached	2000s	Electricity	0.002619595	0.997380405	0	0	52	343196.9437
Single-Family Attached	2000s	Fuel Oil	0	1	0	0	1	2947.922889
Single-Family Attached	2000s	Natural Gas	0.009023719	0.990976281	0	0	93	636840.3889
Single-Family Attached	2000s	None	0	1	0	0	3	16594.07181
Single-Family Attached	2000s	Other Fuel	0	1	0	0	1	8518.843339
Single-Family Attached	2000s	Propane	0	0.419367949	0	0.580632051	2	19744.45946
Single-Family Detached	<1950	Electricity	0	0.980676618	0	0.019323382	179	1585427.493
Single-Family Detached	<1950	Fuel Oil	0	0.990654593	0	0.009345407	195	1607788.194
Single-Family Detached	<1950	Natural Gas	0.002018421	0.9814419	0.005069451	0.011470228	794	7674107.111
Single-Family Detached	<1950	None	0	1	0	0	29	234199.0048
Single-Family Detached	<1950	Other Fuel	0	0.984522266	0	0.015477734	74	751935.2115
Single-Family Detached	<1950	Propane	0.01318475	0.973468751	0	0.013346499	74	777692.227
Single-Family Detached	1950s	Electricity	0	1	0	0	207	1807535.956
Single-Family Detached	1950s	Fuel Oil	0	0.989838371	0	0.010161629	130	1125970.724
Single-Family Detached	1950s	Natural Gas	0.001580081	0.993018345	0	0.005401575	692	6530017.106
Single-Family Detached	1950s	None	0	0.973614967	0.026385033	0	34	245079.1123
Single-Family Detached	1950s	Other Fuel	0	1	0	0	31	342901.5305
Single-Family Detached	1950s	Propane	0	1	0	0	26	289433.873
Single-Family Detached	1960s	Electricity	0	0.991853321	0.003066159	0.00508052	233	2138746.319
Single-Family Detached	1960s	Fuel Oil	0	1	0	0	66	582266.985
Single-Family Detached	1960s	Natural Gas	0	0.986750115	0.006507778	0.006742107	553	5104250.943
Single-Family Detached	1960s	None	0	1	0	0	39	301847.3544
Single-Family Detached	1960s	Other Fuel	0	1	0	0	30	283518.8594
Single-Family Detached	1960s	Propane	0	1	0	0	26	280877.8472
Single-Family Detached	1970s	Electricity	0	0.98570221	0.005480377	0.008817413	368	3152778.676
Single-Family Detached	1970s	Fuel Oil	0	1	0	0	65	562191.8664
Single-Family Detached	1970s	Natural Gas	0	0.995496437	0	0.004503563	558	4762722.618
Single-Family Detached	1970s	None	0	1	0	0	27	193474.5453
Single-Family Detached	1970s	Other Fuel	0	1	0	0	63	523211.2402
Single-Family Detached	1970s	Propane	0	1	0	0	55	595919.0203
Single-Family Detached	1980s	Electricity	0	0.996146197	0	0.003853803	358	3398622.546
Single-Family Detached	1980s	Fuel Oil	0	1	0	0	39	316475.4071
Single-Family Detached	1980s	Natural Gas	0	0.996334752	0	0.003665248	461	4187871.027
Single-Family Detached	1980s	None	0	1	0	0	25	180789.3485
Single-Family Detached	1980s	Other Fuel	0	0.971695629	0	0.028304371	52	452584.6744
Single-Family Detached	1980s	Propane	0	0.968750068	0	0.031249932	62	682867.5101
Single-Family Detached	1990s	Electricity	0	0.986163516	0.007900307	0.005936177	406	3809057.283
Single-Family Detached	1990s	Fuel Oil	0	1	0	0	35	261198.2521
Single-Family Detached	1990s	Natural Gas	0	0.994119261	0.004530664	0.001350075	541	5082152.639
Single-Family Detached	1990s	None	0	1	0	0	16	137252.8329
Single-Family Detached	1990s	Other Fuel	0	0.851861529	0	0.148138471	22	203547.4767
Single-Family Detached	1990s	Propane	0	1	0	0	82	863876.2305
Single-Family Detached	2000s	Electricity	0	0.992449863	0.005228275	0.002321862	467	4108537.787
Single-Family Detached	2000s	Fuel Oil	0	1	0	0	35	221335.2064
Single-Family Detached	2000s	Natural Gas	0	0.99301722	0.003834928	0.003147852	539	5138095.172
Single-Family Detached	2000s	None	0	0.892494427	0.107505573	0	11	83305.87571
Single-Family Detached	2000s	Other Fuel	0	1	0	0	32	311768.6376
Single-Family Detached	2000s	Propane	0.01482421	0.98517579	0	0	72	942471.4708
