Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Heating Fuel	Option=Both Shared	Option=Neither Shared	Option=Only Cooling Shared	Option=Only Heating Shared	Count	Weight
Single-Family Attached	1970s	Natural Gas	0	1	0	0	77	628823.6308
Single-Family Attached	1970s	None	0	1	0	0	10	68206.44313
Single-Family Attached	1970s	Other Fuel	0	1	0	0	0	0
Single-Family Attached	1970s	Propane	0	1	0	0	4	29961.77333
Single-Family Attached	1980s	Electricity	0	1	0	0	86	684180.4174
Single-Family Attached	1980s	Fuel Oil	0	1	0	0	1	9567.872936
Single-Family Attached	1980s	Natural Gas	0	1	0	0	98	647696.2933
Single-Family Attached	1980s	None	0	1	0	0	6	44170.38637
Single-Family Attached	1980s	Other Fuel	0	1	0	0	2	8572.715247
Single-Family Attached	1980s	Propane	0	1	0	0	2	10658.68118
Single-Family Attached	1990s	Electricity	0	1	0	0	40	267405.8735
Single-Family Attached	1990s	Fuel Oil	0	1	0	0	0	0
Single-Family Attached	1990s	Natural Gas	0	1	0	0	66	459708.3761
Single-Family Attached	1990s	None	0	1	0	0	2	10492.17349
Single-Family Attached	1990s	Other Fuel	0	1	0	0	0	0
Single-Family Attached	1990s	Propane	0	1	0	0	3	22131.30936
Single-Family Attached	2000s	Electricity	0	1	0	0	52	343196.9437
Single-Family Attached	2000s	Fuel Oil	0	1	0	0	1	2947.922889
Single-Family Attached	2000s	Natural Gas	0	1	0	0	93	636840.3889
Single-Family Attached	2000s	None	0	1	0	0	3	16594.07181
Single-Family Attached	2000s	Other Fuel	0	1	0	0	1	8518.843339
Single-Family Attached	2000s	Propane	0	1	0	0	2	19744.45946
Single-Family Attached	2010s	Electricity	0	1	0	0	52	343196.9437
Single-Family Attached	2010s	Fuel Oil	0	1	0	0	1	2947.922889
Single-Family Attached	2010s	Natural Gas	0	1	0	0	93	636840.3889
Single-Family Attached	2010s	None	0	1	0	0	3	16594.07181
Single-Family Attached	2010s	Other Fuel	0	1	0	0	1	8518.843339
Single-Family Attached	2010s	Propane	0	1	0	0	2	19744.45946
Single-Family Detached	<1940	Electricity	0	1	0	0	179	1585427.493
Single-Family Detached	<1940	Fuel Oil	0	1	0	0	195	1607788.194
Single-Family Detached	<1940	Natural Gas	0	1	0	0	794	7674107.111
Single-Family Detached	<1940	None	0	1	0	0	29	234199.0048
Single-Family Detached	<1940	Other Fuel	0	1	0	0	74	751935.2115
Single-Family Detached	<1940	Propane	0	1	0	0	74	777692.227
Single-Family Detached	1940s	Electricity	0	1	0	0	179	1585427.493
Single-Family Detached	1940s	Fuel Oil	0	1	0	0	195	1607788.194
Single-Family Detached	1940s	Natural Gas	0	1	0	0	794	7674107.111
Single-Family Detached	1940s	None	0	1	0	0	29	234199.0048
Single-Family Detached	1940s	Other Fuel	0	1	0	0	74	751935.2115
Single-Family Detached	1940s	Propane	0	1	0	0	74	777692.227
Single-Family Detached	1950s	Electricity	0	1	0	0	207	1807535.956
Single-Family Detached	1950s	Fuel Oil	0	1	0	0	130	1125970.724
Single-Family Detached	1950s	Natural Gas	0	1	0	0	692	6530017.106
Single-Family Detached	1950s	None	0	1	0	0	34	245079.1123
Single-Family Detached	1950s	Other Fuel	0	1	0	0	31	342901.5305
Single-Family Detached	1950s	Propane	0	1	0	0	26	289433.873
Single-Family Detached	1960s	Electricity	0	1	0	0	233	2138746.319
Single-Family Detached	1960s	Fuel Oil	0	1	0	0	66	582266.985
Single-Family Detached	1960s	Natural Gas	0	1	0	0	553	5104250.943
Single-Family Detached	1960s	None	0	1	0	0	39	301847.3544
Single-Family Detached	1960s	Other Fuel	0	1	0	0	30	283518.8594
Single-Family Detached	1960s	Propane	0	1	0	0	26	280877.8472
Single-Family Detached	1970s	Electricity	0	1	0	0	368	3152778.676
Single-Family Detached	1970s	Fuel Oil	0	1	0	0	65	562191.8664
Single-Family Detached	1970s	Natural Gas	0	1	0	0	558	4762722.618
Single-Family Detached	1970s	None	0	1	0	0	27	193474.5453
Single-Family Detached	1970s	Other Fuel	0	1	0	0	63	523211.2402
Single-Family Detached	1970s	Propane	0	1	0	0	55	595919.0203
Single-Family Detached	1980s	Electricity	0	1	0	0	358	3398622.546
Single-Family Detached	1980s	Fuel Oil	0	1	0	0	39	316475.4071
Single-Family Detached	1980s	Natural Gas	0	1	0	0	461	4187871.027
Single-Family Detached	1980s	None	0	1	0	0	25	180789.3485
Single-Family Detached	1980s	Other Fuel	0	1	0	0	52	452584.6744
Single-Family Detached	1980s	Propane	0	1	0	0	62	682867.5101
Single-Family Detached	1990s	Electricity	0	1	0	0	406	3809057.283
Single-Family Detached	1990s	Fuel Oil	0	1	0	0	35	261198.2521
Single-Family Detached	1990s	Natural Gas	0	1	0	0	541	5082152.639
Single-Family Detached	1990s	None	0	1	0	0	16	137252.8329
Single-Family Detached	1990s	Other Fuel	0	1	0	0	22	203547.4767
Single-Family Detached	1990s	Propane	0	1	0	0	82	863876.2305
Single-Family Detached	2000s	Electricity	0	1	0	0	467	4108537.787
Single-Family Detached	2000s	Fuel Oil	0	1	0	0	35	221335.2064
Single-Family Detached	2000s	Natural Gas	0	1	0	0	539	5138095.172
Single-Family Detached	2000s	None	0	1	0	0	11	83305.87571
Single-Family Detached	2000s	Other Fuel	0	1	0	0	32	311768.6376
Single-Family Detached	2000s	Propane	0	1	0	0	72	942471.4708
Single-Family Detached	2010s	Electricity	0	1	0	0	467	4108537.787
Single-Family Detached	2010s	Fuel Oil	0	1	0	0	35	221335.2064
Single-Family Detached	2010s	Natural Gas	0	1	0	0	539	5138095.172
Single-Family Detached	2010s	None	0	1	0	0	11	83305.87571
Single-Family Detached	2010s	Other Fuel	0	1	0	0	32	311768.6376
Single-Family Detached	2010s	Propane	0	1	0	0	72	942471.4708
