Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=4+	Count	Weight	
Single-Family Attached	<1950	3500+	1	0	0	0	2	27096.76104	
Single-Family Attached	1950s	0-1499	1	0	0	0	44	337999.8018	
Single-Family Attached	1950s	1500-2499	1	0	0	0	26	229651.6433	
Single-Family Attached	1950s	2500-3499	1	0	0	0	1	7942.958043	
Single-Family Attached	1950s	3500+	1	0	0	0	0	0	
Single-Family Attached	1960s	0-1499	1	0	0	0	58	395111.3573	
Single-Family Attached	1960s	1500-2499	1	0	0	0	14	103048.9814	
Single-Family Attached	1960s	2500-3499	1	0	0	0	1	5242.407862	
Single-Family Attached	1960s	3500+	1	0	0	0	0	0	
Single-Family Attached	1970s	0-1499	1	0	0	0	91	706211.543	
Single-Family Attached	1970s	1500-2499	1	0	0	0	38	312499.2059	
Single-Family Attached	1970s	2500-3499	1	0	0	0	6	47951.5992	
Single-Family Attached	1970s	3500+	1	0	0	0	2	12609.8831	
Single-Family Attached	1980s	0-1499	1	0	0	0	120	856604.3149	
Single-Family Attached	1980s	1500-2499	1	0	0	0	59	451874.1263	
Single-Family Attached	1980s	2500-3499	1	0	0	0	13	79886.43878	
Single-Family Attached	1980s	3500+	1	0	0	0	3	16481.48652	
Single-Family Attached	1990s	0-1499	1	0	0	0	56	383478.3448	
Single-Family Attached	1990s	1500-2499	1	0	0	0	42	264523.2512	
Single-Family Attached	1990s	2500-3499	1	0	0	0	10	97520.61867	
Single-Family Attached	1990s	3500+	1	0	0	0	3	14215.5178	
Single-Family Attached	2000s	0-1499	1	0	0	0	69	482193.1319	
Single-Family Attached	2000s	1500-2499	1	0	0	0	59	408410.8162	
Single-Family Attached	2000s	2500-3499	1	0	0	0	15	90761.46252	
Single-Family Attached	2000s	3500+	1	0	0	0	9	46477.21947	
Single-Family Detached	<1950	0-1499	1	0	0	0	593	5642881.197	
Single-Family Detached	<1950	1500-2499	1	0	0	0	450	4207616.56	
Single-Family Detached	<1950	2500-3499	1	0	0	0	193	1767455.927	
Single-Family Detached	<1950	3500+	1	0	0	0	109	1013195.559	
Single-Family Detached	1950s	0-1499	1	0	0	0	520	4704980.719	
Single-Family Detached	1950s	1500-2499	1	0	0	0	434	4078571.527	
Single-Family Detached	1950s	2500-3499	1	0	0	0	109	1046418.084	
Single-Family Detached	1950s	3500+	1	0	0	0	57	510967.9715	
Single-Family Detached	1960s	0-1499	1	0	0	0	399	3677143.824	
Single-Family Detached	1960s	1500-2499	1	0	0	0	353	3212853.732	
Single-Family Detached	1960s	2500-3499	1	0	0	0	119	1104859.164	
Single-Family Detached	1960s	3500+	1	0	0	0	76	696651.5876	
Single-Family Detached	1970s	0-1499	1	0	0	0	389	3453731.729	
Single-Family Detached	1970s	1500-2499	1	0	0	0	463	4007564.169	
Single-Family Detached	1970s	2500-3499	1	0	0	0	188	1583212.848	
Single-Family Detached	1970s	3500+	1	0	0	0	96	745789.2205	
Single-Family Detached	1980s	0-1499	1	0	0	0	298	2859601.632	
Single-Family Detached	1980s	1500-2499	1	0	0	0	416	3870139.651	
Single-Family Detached	1980s	2500-3499	1	0	0	0	182	1620047.602	
Single-Family Detached	1980s	3500+	1	0	0	0	101	869421.6269	
Single-Family Detached	1990s	0-1499	1	0	0	0	246	2447476.3	
Single-Family Detached	1990s	1500-2499	1	0	0	0	408	3900135.871	
Single-Family Detached	1990s	2500-3499	1	0	0	0	236	2137182.248	
Single-Family Detached	1990s	3500+	1	0	0	0	212	1872290.294	
Single-Family Detached	2000s	0-1499	1	0	0	0	226	2268849.847	
Single-Family Detached	2000s	1500-2499	1	0	0	0	423	3910028.524	
Single-Family Detached	2000s	2500-3499	1	0	0	0	243	2229392.981	
Single-Family Detached	2000s	3500+	1	0	0	0	264	2397242.798	
