Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None
CR11	1960s	Heated Basement	Single Family Detached	1	0	0	0	0
CR02	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR05	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR03	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR04	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR06	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR07	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR08	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR09	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR10	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR11	1970s	Heated Basement	Single Family Detached	1	0	0	0	0
CR02	1980s	Heated Basement	Single Family Detached	0.3	0.34	0.36	0	0
CR05	1980s	Heated Basement	Single Family Detached	0.33	0.23	0.44	0	0
CR03	1980s	Heated Basement	Single Family Detached	0.31	0.34	0.35	0	0
CR04	1980s	Heated Basement	Single Family Detached	0.37	0.26	0.37	0	0
CR06	1980s	Heated Basement	Single Family Detached	0.4	0.04	0.56	0	0
CR07	1980s	Heated Basement	Single Family Detached	0.38	0.33	0.29	0	0
CR08	1980s	Heated Basement	Single Family Detached	0.11	0.15	0.74	0	0
CR09	1980s	Heated Basement	Single Family Detached	0.33	0.35	0.32	0	0
CR10	1980s	Heated Basement	Single Family Detached	0.91	0	0.09	0	0
CR11	1980s	Heated Basement	Single Family Detached	0.4	0.04	0.56	0	0
CR02	1990s	Heated Basement	Single Family Detached	0.06	0.26	0.45	0.23	0
CR05	1990s	Heated Basement	Single Family Detached	0.02	0.09	0.78	0.11	0
CR03	1990s	Heated Basement	Single Family Detached	0.1	0.34	0.43	0.12	0
CR04	1990s	Heated Basement	Single Family Detached	0.12	0.37	0.44	0.07	0
CR06	1990s	Heated Basement	Single Family Detached	0.02	0.34	0.28	0.36	0
CR07	1990s	Heated Basement	Single Family Detached	0.08	0.46	0.46	0	0
CR08	1990s	Heated Basement	Single Family Detached	0.07	0.06	0.69	0.19	0
CR09	1990s	Heated Basement	Single Family Detached	0.55	0.04	0.22	0.19	0
CR10	1990s	Heated Basement	Single Family Detached	0.3	0	0.7	0	0
CR11	1990s	Heated Basement	Single Family Detached	0.67	0.17	0.07	0.09	0
CR02	2000s	Heated Basement	Single Family Detached	0.01	0.3	0.51	0.18	0
CR05	2000s	Heated Basement	Single Family Detached	0.02	0.05	0.58	0.36	0
CR03	2000s	Heated Basement	Single Family Detached	0.06	0.15	0.56	0.22	0
CR04	2000s	Heated Basement	Single Family Detached	0.13	0.24	0.53	0.1	0
CR06	2000s	Heated Basement	Single Family Detached	0.03	0.04	0.07	0.87	0
CR07	2000s	Heated Basement	Single Family Detached	0.05	0.08	0.79	0.09	0
CR08	2000s	Heated Basement	Single Family Detached	0.09	0.23	0.51	0.17	0
CR09	2000s	Heated Basement	Single Family Detached	0.45	0.09	0.21	0.25	0
CR10	2000s	Heated Basement	Single Family Detached	0	0.51	0	0.49	0
CR11	2000s	Heated Basement	Single Family Detached	0.24	0	0.4	0.36	0
CR02	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR05	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR03	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR04	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR06	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR07	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR08	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR09	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR10	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR11	<1950	Crawl	Single Family Detached	0	0	0	0	1
CR02	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR05	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR03	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR04	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR06	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR07	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR08	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR09	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR10	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR11	1950s	Crawl	Single Family Detached	0	0	0	0	1
CR02	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR05	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR03	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR04	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR06	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR07	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR08	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR09	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR10	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR11	1960s	Crawl	Single Family Detached	0	0	0	0	1
CR02	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR05	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR03	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR04	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR06	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR07	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR08	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR09	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR10	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR11	1970s	Crawl	Single Family Detached	0	0	0	0	1
CR02	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR05	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR03	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR04	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR06	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR07	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR08	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR09	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR10	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR11	1980s	Crawl	Single Family Detached	0	0	0	0	1
CR02	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR05	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR03	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR04	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR06	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR07	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR08	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR09	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR10	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR11	1990s	Crawl	Single Family Detached	0	0	0	0	1
CR02	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR05	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR03	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR04	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR06	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR07	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR08	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR09	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR10	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR11	2000s	Crawl	Single Family Detached	0	0	0	0	1
CR02	<1950	Slab	Single Family Detached	0	0	0	0	1
CR05	<1950	Slab	Single Family Detached	0	0	0	0	1
CR03	<1950	Slab	Single Family Detached	0	0	0	0	1
CR04	<1950	Slab	Single Family Detached	0	0	0	0	1
CR06	<1950	Slab	Single Family Detached	0	0	0	0	1
CR07	<1950	Slab	Single Family Detached	0	0	0	0	1
CR08	<1950	Slab	Single Family Detached	0	0	0	0	1
CR09	<1950	Slab	Single Family Detached	0	0	0	0	1
CR10	<1950	Slab	Single Family Detached	0	0	0	0	1
CR11	<1950	Slab	Single Family Detached	0	0	0	0	1
CR02	1950s	Slab	Single Family Detached	0	0	0	0	1
CR05	1950s	Slab	Single Family Detached	0	0	0	0	1
CR03	1950s	Slab	Single Family Detached	0	0	0	0	1
CR04	1950s	Slab	Single Family Detached	0	0	0	0	1
CR06	1950s	Slab	Single Family Detached	0	0	0	0	1
CR07	1950s	Slab	Single Family Detached	0	0	0	0	1
CR08	1950s	Slab	Single Family Detached	0	0	0	0	1
CR09	1950s	Slab	Single Family Detached	0	0	0	0	1
CR10	1950s	Slab	Single Family Detached	0	0	0	0	1
CR11	1950s	Slab	Single Family Detached	0	0	0	0	1
CR02	1960s	Slab	Single Family Detached	0	0	0	0	1
CR05	1960s	Slab	Single Family Detached	0	0	0	0	1
CR03	1960s	Slab	Single Family Detached	0	0	0	0	1
CR04	1960s	Slab	Single Family Detached	0	0	0	0	1
CR06	1960s	Slab	Single Family Detached	0	0	0	0	1
CR07	1960s	Slab	Single Family Detached	0	0	0	0	1
CR08	1960s	Slab	Single Family Detached	0	0	0	0	1
CR09	1960s	Slab	Single Family Detached	0	0	0	0	1
CR10	1960s	Slab	Single Family Detached	0	0	0	0	1
CR11	1960s	Slab	Single Family Detached	0	0	0	0	1
CR02	1970s	Slab	Single Family Detached	0	0	0	0	1
CR05	1970s	Slab	Single Family Detached	0	0	0	0	1
CR03	1970s	Slab	Single Family Detached	0	0	0	0	1
CR04	1970s	Slab	Single Family Detached	0	0	0	0	1
CR06	1970s	Slab	Single Family Detached	0	0	0	0	1
CR07	1970s	Slab	Single Family Detached	0	0	0	0	1
CR08	1970s	Slab	Single Family Detached	0	0	0	0	1
CR09	1970s	Slab	Single Family Detached	0	0	0	0	1
CR10	1970s	Slab	Single Family Detached	0	0	0	0	1
CR11	1970s	Slab	Single Family Detached	0	0	0	0	1
CR02	1980s	Slab	Single Family Detached	0	0	0	0	1
CR05	1980s	Slab	Single Family Detached	0	0	0	0	1
CR03	1980s	Slab	Single Family Detached	0	0	0	0	1
CR04	1980s	Slab	Single Family Detached	0	0	0	0	1
CR06	1980s	Slab	Single Family Detached	0	0	0	0	1
CR07	1980s	Slab	Single Family Detached	0	0	0	0	1
CR08	1980s	Slab	Single Family Detached	0	0	0	0	1
CR09	1980s	Slab	Single Family Detached	0	0	0	0	1
CR10	1980s	Slab	Single Family Detached	0	0	0	0	1
CR11	1980s	Slab	Single Family Detached	0	0	0	0	1
CR02	1990s	Slab	Single Family Detached	0	0	0	0	1
CR05	1990s	Slab	Single Family Detached	0	0	0	0	1
CR03	1990s	Slab	Single Family Detached	0	0	0	0	1
CR04	1990s	Slab	Single Family Detached	0	0	0	0	1
CR06	1990s	Slab	Single Family Detached	0	0	0	0	1
CR07	1990s	Slab	Single Family Detached	0	0	0	0	1
CR08	1990s	Slab	Single Family Detached	0	0	0	0	1
CR09	1990s	Slab	Single Family Detached	0	0	0	0	1
CR10	1990s	Slab	Single Family Detached	0	0	0	0	1
CR11	1990s	Slab	Single Family Detached	0	0	0	0	1
CR02	2000s	Slab	Single Family Detached	0	0	0	0	1
CR05	2000s	Slab	Single Family Detached	0	0	0	0	1
CR03	2000s	Slab	Single Family Detached	0	0	0	0	1
CR04	2000s	Slab	Single Family Detached	0	0	0	0	1
CR06	2000s	Slab	Single Family Detached	0	0	0	0	1
CR07	2000s	Slab	Single Family Detached	0	0	0	0	1
CR08	2000s	Slab	Single Family Detached	0	0	0	0	1
CR09	2000s	Slab	Single Family Detached	0	0	0	0	1
CR10	2000s	Slab	Single Family Detached	0	0	0	0	1
CR11	2000s	Slab	Single Family Detached	0	0	0	0	1
CR02	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	<1950	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	1950s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	1960s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	1970s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	1980s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	1990s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR05	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR03	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR04	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR06	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR07	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR08	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR09	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR10	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR11	2000s	Unheated Basement	Single Family Detached	0	0	0	0	1
CR02	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	<1950	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	1950s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	1960s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	1970s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	1980s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	1990s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR05	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR03	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR04	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR06	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR07	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR08	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR09	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR10	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR11	2000s	Pier & Beam	Single Family Detached	0	0	0	0	1
CR02	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR05	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR03	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR04	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR06	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR07	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR08	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR09	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR10	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR11	<1950	Heated Basement	Single Family Attached	1	0	0	0	0
CR02	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR05	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR03	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR04	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR06	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR07	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR08	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR09	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR10	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR11	1950s	Heated Basement	Single Family Attached	1	0	0	0	0
CR02	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR05	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR03	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR04	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR06	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR07	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR08	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR09	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR10	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR11	1960s	Heated Basement	Single Family Attached	1	0	0	0	0
CR02	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR05	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR03	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR04	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR06	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR07	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR08	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR09	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR10	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR11	1970s	Heated Basement	Single Family Attached	1	0	0	0	0
CR02	1980s	Heated Basement	Single Family Attached	0.3	0.34	0.36	0	0
CR05	1980s	Heated Basement	Single Family Attached	0.33	0.23	0.44	0	0
CR03	1980s	Heated Basement	Single Family Attached	0.31	0.34	0.35	0	0
CR04	1980s	Heated Basement	Single Family Attached	0.37	0.26	0.37	0	0
CR06	1980s	Heated Basement	Single Family Attached	0.4	0.04	0.56	0	0
CR07	1980s	Heated Basement	Single Family Attached	0.38	0.33	0.29	0	0
CR08	1980s	Heated Basement	Single Family Attached	0.11	0.15	0.74	0	0
CR09	1980s	Heated Basement	Single Family Attached	0.33	0.35	0.32	0	0
CR10	1980s	Heated Basement	Single Family Attached	0.91	0	0.09	0	0
CR11	1980s	Heated Basement	Single Family Attached	0.4	0.04	0.56	0	0
CR02	1990s	Heated Basement	Single Family Attached	0.06	0.26	0.45	0.23	0
CR05	1990s	Heated Basement	Single Family Attached	0.02	0.09	0.78	0.11	0
CR03	1990s	Heated Basement	Single Family Attached	0.1	0.34	0.43	0.12	0
CR04	1990s	Heated Basement	Single Family Attached	0.12	0.37	0.44	0.07	0
CR06	1990s	Heated Basement	Single Family Attached	0.02	0.34	0.28	0.36	0
CR07	1990s	Heated Basement	Single Family Attached	0.08	0.46	0.46	0	0
CR08	1990s	Heated Basement	Single Family Attached	0.07	0.06	0.69	0.19	0
CR09	1990s	Heated Basement	Single Family Attached	0.55	0.04	0.22	0.19	0
CR10	1990s	Heated Basement	Single Family Attached	0.3	0	0.7	0	0
CR11	1990s	Heated Basement	Single Family Attached	0.67	0.17	0.07	0.09	0
CR02	2000s	Heated Basement	Single Family Attached	0.01	0.3	0.51	0.18	0
CR05	2000s	Heated Basement	Single Family Attached	0.02	0.05	0.58	0.36	0
CR03	2000s	Heated Basement	Single Family Attached	0.06	0.15	0.56	0.22	0
