Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	Fuel Oil	CR09	1	0	0	0	0	5	2314.08	2.69E-05
Multi-Family with 5+ Units	Fuel Oil	CR09	1	0	0	0	0	5	2314.08	4.20E-05
Single-Family Attached	Fuel Oil	CR09	1	0	0	0	0	7	7224.74	1.32E-05
Single-Family Detached	Fuel Oil	CR09	1	0	0	0	0	96	53932.1	0.00116622
Mobile Home	Fuel Oil	CR10	1	0	0	0	0	96	53932.1	1.59E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR10	1	0	0	0	0	5	2314.08	3.30E-06
Multi-Family with 5+ Units	Fuel Oil	CR10	1	0	0	0	0	5	2314.08	5.86E-06
Single-Family Attached	Fuel Oil	CR10	1	0	0	0	0	7	7224.74	2.85E-06
Single-Family Detached	Fuel Oil	CR10	1	0	0	0	0	96	53932.1	5.85E-05
Mobile Home	Fuel Oil	CR11	1	0	0	0	0	96	53932.1	4.35E-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR11	1	0	0	0	0	5	2314.08	6.01E-06
Multi-Family with 5+ Units	Fuel Oil	CR11	1	0	0	0	0	5	2314.08	2.00E-05
Single-Family Attached	Fuel Oil	CR11	1	0	0	0	0	7	7224.74	4.26E-06
Single-Family Detached	Fuel Oil	CR11	1	0	0	0	0	96	53932.1	0.000216438
Mobile Home	Natural Gas	CR02	1	0	0	0	0	487	1.48E+06	0.00103528
Multi-Family with 2 - 4 Units	Natural Gas	CR02	1	0	0	0	0	84	343888	0.00232511
Multi-Family with 5+ Units	Natural Gas	CR02	1	0	0	0	0	84	343888	0.00374416
Single-Family Attached	Natural Gas	CR02	1	0	0	0	0	47	258264	0.00216861
Single-Family Detached	Natural Gas	CR02	1	0	0	0	0	487	1.48E+06	0.0232757
Mobile Home	Natural Gas	CR03	1	0	0	0	0	148	385299	8.52E-05
Multi-Family with 2 - 4 Units	Natural Gas	CR03	1	0	0	0	0	197	625978	0.00493382
Multi-Family with 5+ Units	Natural Gas	CR03	1	0	0	0	0	197	625978	0.00362826
Single-Family Attached	Natural Gas	CR03	1	0	0	0	0	47	209332	0.00138142
Single-Family Detached	Natural Gas	CR03	1	0	0	0	0	148	385299	0.00856793
Mobile Home	Natural Gas	CR04	1	0	0	0	0	538	4.25E+06	0.00262545
Multi-Family with 2 - 4 Units	Natural Gas	CR04	1	0	0	0	0	110	1.20E+06	0.00817796
Multi-Family with 5+ Units	Natural Gas	CR04	1	0	0	0	0	110	1.20E+06	0.0105897
Single-Family Attached	Natural Gas	CR04	1	0	0	0	0	38	617186	0.0052392
Single-Family Detached	Natural Gas	CR04	1	0	0	0	0	538	4.25E+06	0.0675791
Mobile Home	Natural Gas	CR05	1	0	0	0	0	256	1.13E+06	0.00105236
Multi-Family with 2 - 4 Units	Natural Gas	CR05	1	0	0	0	0	47	183678	0.00127519
Multi-Family with 5+ Units	Natural Gas	CR05	1	0	0	0	0	47	183678	0.00287395
Single-Family Attached	Natural Gas	CR05	1	0	0	0	0	48	258603	0.00149794
Single-Family Detached	Natural Gas	CR05	1	0	0	0	0	256	1.13E+06	0.016848
Mobile Home	Natural Gas	CR06	1	0	0	0	0	105	569938	0.000158125
Multi-Family with 2 - 4 Units	Natural Gas	CR06	1	0	0	0	0	6	34802.7	0.000402837
Multi-Family with 5+ Units	Natural Gas	CR06	1	0	0	0	0	6	34802.7	0.0006066
Single-Family Attached	Natural Gas	CR06	1	0	0	0	0	8	62036.9	0.000612093
Single-Family Detached	Natural Gas	CR06	1	0	0	0	0	105	569938	0.0105051
Mobile Home	Natural Gas	CR07	1	0	0	0	0	396	2.29E+06	0.00083307
Multi-Family with 2 - 4 Units	Natural Gas	CR07	1	0	0	0	0	273	1.55E+06	0.0133916
Multi-Family with 5+ Units	Natural Gas	CR07	1	0	0	0	0	273	1.55E+06	0.0161428
Single-Family Attached	Natural Gas	CR07	1	0	0	0	0	96	882497	0.00977243
Single-Family Detached	Natural Gas	CR07	1	0	0	0	0	396	2.29E+06	0.0373555
Mobile Home	Natural Gas	CR08	1	0	0	0	0	700	2.18E+06	0.000955869
Multi-Family with 2 - 4 Units	Natural Gas	CR08	1	0	0	0	0	108	517088	0.00286528
Multi-Family with 5+ Units	Natural Gas	CR08	1	0	0	0	0	108	517088	0.00555938
Single-Family Attached	Natural Gas	CR08	1	0	0	0	0	83	553277	0.00554188
Single-Family Detached	Natural Gas	CR08	1	0	0	0	0	700	2.18E+06	0.0383565
Mobile Home	Natural Gas	CR09	1	0	0	0	0	799	4.21E+06	0.00159463
Multi-Family with 2 - 4 Units	Natural Gas	CR09	1	0	0	0	0	95	515892	0.00275995
Multi-Family with 5+ Units	Natural Gas	CR09	1	0	0	0	0	95	515892	0.00419847
Single-Family Attached	Natural Gas	CR09	1	0	0	0	0	47	406468	0.00252637
Single-Family Detached	Natural Gas	CR09	1	0	0	0	0	799	4.21E+06	0.0643964
Mobile Home	Natural Gas	CR10	1	0	0	0	0	146	834919	0.00140598
Multi-Family with 2 - 4 Units	Natural Gas	CR10	1	0	0	0	0	18	111350	0.000752376
Multi-Family with 5+ Units	Natural Gas	CR10	1	0	0	0	0	18	111350	0.0013833
Single-Family Attached	Natural Gas	CR10	1	0	0	0	0	8	69959.2	0.000726769
Single-Family Detached	Natural Gas	CR10	1	0	0	0	0	146	834919	0.0122422
Mobile Home	Natural Gas	CR11	1	0	0	0	0	652	2.51E+06	0.00219403
Multi-Family with 2 - 4 Units	Natural Gas	CR11	1	0	0	0	0	191	821575	0.00506282
Multi-Family with 5+ Units	Natural Gas	CR11	1	0	0	0	0	191	821575	0.0112062
Single-Family Attached	Natural Gas	CR11	1	0	0	0	0	94	565272	0.00488798
Single-Family Detached	Natural Gas	CR11	1	0	0	0	0	652	2.51E+06	0.0430336
Mobile Home	None	CR02	1	0	0	0	0	170	67869.8	6.35E-06
Multi-Family with 2 - 4 Units	None	CR02	1	0	0	0	0	192	76639.9	2.66E-05
Multi-Family with 5+ Units	None	CR02	1	0	0	0	0	192	76639.9	0.000200652
Single-Family Attached	None	CR02	1	0	0	0	0	30	19051.3	3.57E-06
Single-Family Detached	None	CR02	1	0	0	0	0	170	67869.8	9.44E-05
Mobile Home	None	CR03	1	0	0	0	0	170	67869.8	7.52E-06
Multi-Family with 2 - 4 Units	None	CR03	1	0	0	0	0	192	76639.9	4.57E-05
Multi-Family with 5+ Units	None	CR03	1	0	0	0	0	192	76639.9	0.000114928
Single-Family Attached	None	CR03	1	0	0	0	0	30	19051.3	6.93E-06
Single-Family Detached	None	CR03	1	0	0	0	0	170	67869.8	3.37E-05
Mobile Home	None	CR04	1	0	0	0	0	170	67869.8	2.30E-05
Multi-Family with 2 - 4 Units	None	CR04	1	0	0	0	0	192	76639.9	6.16E-05
Multi-Family with 5+ Units	None	CR04	1	0	0	0	0	192	76639.9	0.000372719
Single-Family Attached	None	CR04	1	0	0	0	0	30	19051.3	1.47E-05
Single-Family Detached	None	CR04	1	0	0	0	0	170	67869.8	0.000190617
Mobile Home	None	CR05	1	0	0	0	0	170	67869.8	6.99E-06
Multi-Family with 2 - 4 Units	None	CR05	1	0	0	0	0	192	76639.9	1.13E-05
Multi-Family with 5+ Units	None	CR05	1	0	0	0	0	192	76639.9	8.07E-05
Single-Family Attached	None	CR05	1	0	0	0	0	30	19051.3	4.38E-06
Single-Family Detached	None	CR05	1	0	0	0	0	170	67869.8	3.65E-05
Mobile Home	None	CR06	1	0	0	0	0	170	67869.8	1.33E-05
Multi-Family with 2 - 4 Units	None	CR06	1	0	0	0	0	192	76639.9	1.06E-05
Multi-Family with 5+ Units	None	CR06	1	0	0	0	0	192	76639.9	7.75E-05
Single-Family Attached	None	CR06	1	0	0	0	0	30	19051.3	3.71E-06
Single-Family Detached	None	CR06	1	0	0	0	0	170	67869.8	4.92E-05
Mobile Home	None	CR07	1	0	0	0	0	170	67869.8	1.65E-05
Multi-Family with 2 - 4 Units	None	CR07	1	0	0	0	0	192	76639.9	0.0001039
Multi-Family with 5+ Units	None	CR07	1	0	0	0	0	192	76639.9	0.000668647
Single-Family Attached	None	CR07	1	0	0	0	0	30	19051.3	3.71E-05
Single-Family Detached	None	CR07	1	0	0	0	0	170	67869.8	0.00012349
Mobile Home	None	CR08	1	0	0	0	0	170	67869.8	4.85E-05
Multi-Family with 2 - 4 Units	None	CR08	1	0	0	0	0	192	76639.9	4.28E-05
Multi-Family with 5+ Units	None	CR08	1	0	0	0	0	192	76639.9	0.000184119
Single-Family Attached	None	CR08	1	0	0	0	0	30	19051.3	4.15E-05
Single-Family Detached	None	CR08	1	0	0	0	0	170	67869.8	0.00018866
Mobile Home	None	CR09	1	0	0	0	0	170	67869.8	0.000260414
Multi-Family with 2 - 4 Units	None	CR09	1	0	0	0	0	192	76639.9	0.000181153
Multi-Family with 5+ Units	None	CR09	1	0	0	0	0	192	76639.9	0.000664648
Single-Family Attached	None	CR09	1	0	0	0	0	30	19051.3	0.000129523
Single-Family Detached	None	CR09	1	0	0	0	0	170	67869.8	0.000948965
Mobile Home	None	CR10	1	0	0	0	0	170	67869.8	5.24E-05
Multi-Family with 2 - 4 Units	None	CR10	1	0	0	0	0	192	76639.9	2.31E-05
Multi-Family with 5+ Units	None	CR10	1	0	0	0	0	192	76639.9	7.65E-05
Single-Family Attached	None	CR10	1	0	0	0	0	30	19051.3	1.26E-05
Single-Family Detached	None	CR10	1	0	0	0	0	170	67869.8	0.000125428
Mobile Home	None	CR11	1	0	0	0	0	170	67869.8	0.000127587
Multi-Family with 2 - 4 Units	None	CR11	1	0	0	0	0	192	76639.9	0.000452426
Multi-Family with 5+ Units	None	CR11	1	0	0	0	0	192	76639.9	0.00150171
Single-Family Attached	None	CR11	1	0	0	0	0	30	19051.3	0.000266602
Single-Family Detached	None	CR11	1	0	0	0	0	170	67869.8	0.00113017
Mobile Home	Other Fuel	CR02	1	0	0	0	0	348	167793	0.000111242
Multi-Family with 2 - 4 Units	Other Fuel	CR02	1	0	0	0	0	29	15779.6	4.05E-05
Multi-Family with 5+ Units	Other Fuel	CR02	1	0	0	0	0	29	15779.6	0.000257285
Single-Family Attached	Other Fuel	CR02	1	0	0	0	0	9	6846.34	1.65E-05
Single-Family Detached	Other Fuel	CR02	1	0	0	0	0	348	167793	0.00160766
Mobile Home	Other Fuel	CR03	1	0	0	0	0	348	167793	9.73E-05
Multi-Family with 2 - 4 Units	Other Fuel	CR03	1	0	0	0	0	29	15779.6	8.80E-05
Multi-Family with 5+ Units	Other Fuel	CR03	1	0	0	0	0	29	15779.6	9.47E-05
Single-Family Attached	Other Fuel	CR03	1	0	0	0	0	9	6846.34	3.46E-05
Single-Family Detached	Other Fuel	CR03	1	0	0	0	0	348	167793	0.002206
Mobile Home	Other Fuel	CR04	1	0	0	0	0	348	167793	0.00030124
Multi-Family with 2 - 4 Units	Other Fuel	CR04	1	0	0	0	0	29	15779.6	5.84E-05
Multi-Family with 5+ Units	Other Fuel	CR04	1	0	0	0	0	29	15779.6	0.000302285
Single-Family Attached	Other Fuel	CR04	1	0	0	0	0	9	6846.34	1.83E-05
Single-Family Detached	Other Fuel	CR04	1	0	0	0	0	348	167793	0.00280924
Mobile Home	Other Fuel	CR05	1	0	0	0	0	348	167793	0.000205781
Multi-Family with 2 - 4 Units	Other Fuel	CR05	1	0	0	0	0	29	15779.6	1.98E-05
Multi-Family with 5+ Units	Other Fuel	CR05	1	0	0	0	0	29	15779.6	8.60E-05
Single-Family Attached	Other Fuel	CR05	1	0	0	0	0	9	6846.34	1.85E-05
Single-Family Detached	Other Fuel	CR05	1	0	0	0	0	348	167793	0.0012759
Mobile Home	Other Fuel	CR06	1	0	0	0	0	348	167793	0.000326537
Multi-Family with 2 - 4 Units	Other Fuel	CR06	1	0	0	0	0	29	15779.6	1.89E-05
Multi-Family with 5+ Units	Other Fuel	CR06	1	0	0	0	0	29	15779.6	5.37E-05
Single-Family Attached	Other Fuel	CR06	1	0	0	0	0	9	6846.34	1.96E-05
Single-Family Detached	Other Fuel	CR06	1	0	0	0	0	348	167793	0.00160494
Mobile Home	Other Fuel	CR07	1	0	0	0	0	348	167793	0.000282757
Multi-Family with 2 - 4 Units	Other Fuel	CR07	1	0	0	0	0	29	15779.6	0.000136326
Multi-Family with 5+ Units	Other Fuel	CR07	1	0	0	0	0	29	15779.6	0.000540797
Single-Family Attached	Other Fuel	CR07	1	0	0	0	0	9	6846.34	9.94E-05
Single-Family Detached	Other Fuel	CR07	1	0	0	0	0	348	167793	0.00327233
Mobile Home	Other Fuel	CR08	1	0	0	0	0	348	167793	0.000481193
Multi-Family with 2 - 4 Units	Other Fuel	CR08	1	0	0	0	0	29	15779.6	3.59E-05
Multi-Family with 5+ Units	Other Fuel	CR08	1	0	0	0	0	29	15779.6	0.000100191
Single-Family Attached	Other Fuel	CR08	1	0	0	0	0	9	6846.34	2.87E-05
Single-Family Detached	Other Fuel	CR08	1	0	0	0	0	348	167793	0.00305911
Mobile Home	Other Fuel	CR09	1	0	0	0	0	348	167793	0.000516259
Multi-Family with 2 - 4 Units	Other Fuel	CR09	1	0	0	0	0	29	15779.6	2.57E-05
Multi-Family with 5+ Units	Other Fuel	CR09	1	0	0	0	0	29	15779.6	6.88E-05
Single-Family Attached	Other Fuel	CR09	1	0	0	0	0	9	6846.34	2.27E-05
Single-Family Detached	Other Fuel	CR09	1	0	0	0	0	348	167793	0.00227738
Mobile Home	Other Fuel	CR10	1	0	0	0	0	348	167793	0.000368868
Multi-Family with 2 - 4 Units	Other Fuel	CR10	1	0	0	0	0	29	15779.6	1.05E-05
Multi-Family with 5+ Units	Other Fuel	CR10	1	0	0	0	0	29	15779.6	2.07E-05
Single-Family Attached	Other Fuel	CR10	1	0	0	0	0	9	6846.34	2.13E-05
Single-Family Detached	Other Fuel	CR10	1	0	0	0	0	348	167793	0.00109478
Mobile Home	Other Fuel	CR11	1	0	0	0	0	348	167793	0.000261325
Multi-Family with 2 - 4 Units	Other Fuel	CR11	1	0	0	0	0	29	15779.6	3.76E-05
Multi-Family with 5+ Units	Other Fuel	CR11	1	0	0	0	0	29	15779.6	0.000118237
Single-Family Attached	Other Fuel	CR11	1	0	0	0	0	9	6846.34	5.08E-05
Single-Family Detached	Other Fuel	CR11	1	0	0	0	0	348	167793	0.00234358
Mobile Home	Propane	CR02	1	0	0	0	0	106	167996	0.000685528
Multi-Family with 2 - 4 Units	Propane	CR02	1	0	0	0	0	106	167996	8.18E-05
Multi-Family with 5+ Units	Propane	CR02	1	0	0	0	0	106	167996	0.000116855
Single-Family Attached	Propane	CR02	1	0	0	0	0	106	167996	5.13E-05
Single-Family Detached	Propane	CR02	1	0	0	0	0	106	167996	0.00601805
Mobile Home	Propane	CR03	1	0	0	0	0	23	33412.4	0.000201991
Multi-Family with 2 - 4 Units	Propane	CR03	1	0	0	0	0	23	33412.4	0.000381989
Multi-Family with 5+ Units	Propane	CR03	1	0	0	0	0	23	33412.4	0.000291604
Single-Family Attached	Propane	CR03	1	0	0	0	0	23	33412.4	0.000158585
Single-Family Detached	Propane	CR03	1	0	0	0	0	23	33412.4	0.00212074
Mobile Home	Propane	CR04	1	0	0	0	0	42	186540	0.000963133
Multi-Family with 2 - 4 Units	Propane	CR04	1	0	0	0	0	42	186540	0.000150052
Multi-Family with 5+ Units	Propane	CR04	1	0	0	0	0	42	186540	0.000243331
Single-Family Attached	Propane	CR04	1	0	0	0	0	42	186540	7.38E-05
Single-Family Detached	Propane	CR04	1	0	0	0	0	42	186540	0.00693012
Mobile Home	Propane	CR05	1	0	0	0	0	26	65476.2	0.000300804
Multi-Family with 2 - 4 Units	Propane	CR05	1	0	0	0	0	26	65476.2	3.89E-05
Multi-Family with 5+ Units	Propane	CR05	1	0	0	0	0	26	65476.2	8.25E-05
Single-Family Attached	Propane	CR05	1	0	0	0	0	26	65476.2	2.71E-05
Single-Family Detached	Propane	CR05	1	0	0	0	0	26	65476.2	0.00157181
Mobile Home	Propane	CR06	1	0	0	0	0	7	13047.7	9.50E-05
Multi-Family with 2 - 4 Units	Propane	CR06	1	0	0	0	0	7	13047.7	1.37E-05
Multi-Family with 5+ Units	Propane	CR06	1	0	0	0	0	7	13047.7	2.84E-05
Single-Family Attached	Propane	CR06	1	0	0	0	0	7	13047.7	2.36E-05
Single-Family Detached	Propane	CR06	1	0	0	0	0	7	13047.7	0.000755563
Mobile Home	Propane	CR07	1	0	0	0	0	30	115498	0.000776787
Multi-Family with 2 - 4 Units	Propane	CR07	1	0	0	0	0	30	115498	0.0003957
Multi-Family with 5+ Units	Propane	CR07	1	0	0	0	0	30	115498	0.000581116
Single-Family Attached	Propane	CR07	1	0	0	0	0	30	115498	0.000204225
Single-Family Detached	Propane	CR07	1	0	0	0	0	30	115498	0.00312741
Mobile Home	Propane	CR08	1	0	0	0	0	93	141265	0.000976828
Multi-Family with 2 - 4 Units	Propane	CR08	1	0	0	0	0	93	141265	9.28E-05
Multi-Family with 5+ Units	Propane	CR08	1	0	0	0	0	93	141265	0.000177978
Single-Family Attached	Propane	CR08	1	0	0	0	0	93	141265	0.000111989
Single-Family Detached	Propane	CR08	1	0	0	0	0	93	141265	0.00600587
Mobile Home	Propane	CR09	1	0	0	0	0	111	306432	0.0025887
Multi-Family with 2 - 4 Units	Propane	CR09	1	0	0	0	0	111	306432	0.000104215
Multi-Family with 5+ Units	Propane	CR09	1	0	0	0	0	111	306432	0.000184017
Single-Family Attached	Propane	CR09	1	0	0	0	0	111	306432	0.000100069
Single-Family Detached	Propane	CR09	1	0	0	0	0	111	306432	0.0086212
Mobile Home	Propane	CR10	1	0	0	0	0	12	34003.8	0.000547298
Multi-Family with 2 - 4 Units	Propane	CR10	1	0	0	0	0	12	34003.8	2.78E-05
Multi-Family with 5+ Units	Propane	CR10	1	0	0	0	0	12	34003.8	4.37E-05
Single-Family Attached	Propane	CR10	1	0	0	0	0	12	34003.8	2.25E-05
Single-Family Detached	Propane	CR10	1	0	0	0	0	12	34003.8	0.00078521
Mobile Home	Propane	CR11	1	0	0	0	0	37	53803.5	0.000435777
Multi-Family with 2 - 4 Units	Propane	CR11	1	0	0	0	0	37	53803.5	0.000122955
Multi-Family with 5+ Units	Propane	CR11	1	0	0	0	0	37	53803.5	0.000284193
Single-Family Attached	Propane	CR11	1	0	0	0	0	37	53803.5	0.000125112
Single-Family Detached	Propane	CR11	1	0	0	0	0	37	53803.5	0.00266965
# Created by: sources\recs\recs2009\tsv_maker.py										
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.										
# Assumption: Due to low samples Single-Family Detached and Mobile Home samples have been lumped										
# Assumption: Due to low samples Multi-Family 2-4 and Multi-Family 5+ samples have been lumped										
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel None										
# Assumption: Due to low samples the Geometry Building Type RECS dependency has been removed for Heating Fuel Propane										
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel Other Fuel										
# Assumption: Due to low samples the Location Region dependency has been removed for Heating Fuel Fuel Oil except in CR03 and CR07 (New England and Mid-Atlantic)										
