Building,Location Region,Location,Location AIA,Location Weather Year,Location Weather Filename,Vintage,Heating Fuel,Usage Level,Geometry Foundation Type,Geometry House Size,Geometry Stories,Geometry Garage,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Combined,HVAC System Combined,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Cooling Setpoint Offset,Has Heating Setpoint Offset,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Cooking Range,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted
11,CR07,NY_Albany.County.AP.725180,AIA 1,AMY2018,NY_ALBANY-CO-AP_725180_18.epw,1970s,Natural Gas,Medium,Heated Basement,2500-3499,1,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Clear, Double, Metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,75F,90F,No,Yes,0F,3F,None,Day and Night,National Average,None,EF 10.5,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour18,Hour6,None,Day64
12,CR07,NY_New.York-J.F.Kennedy.Intl.AP.744860,AIA 3,AMY2018,NY_NEW-YORK-J-F-KENNEDY-IAP_744860_18.epw,1970s,Natural Gas,High,Slab,1500-2499,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 60% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,Day47
13,CR07,NY_Albany.County.AP.725180,AIA 1,AMY2018,NY_ALBANY-CO-AP_725180_18.epw,<1950,Natural Gas,Medium,Slab,0-1499,2+,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour18,None,Day22
14,CR07,PA_Philadelphia.Intl.AP.724080,AIA 3,AMY2018,PA_PHILADELPHIA-IAP_724080_18.epw,1970s,Natural Gas,Low,Unheated Basement,0-1499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Single, Metal",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,70F,90F,No,Yes,0F,3F,None,Day,National Average,None,EF 10.5,"Gas, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day8
15,CR07,PA_Allentown-Lehigh.Valley.Intl.AP.725170,AIA 2,AMY2018,PA_ALLENTOWN-LEHIGH-VALLEY-IAP_725170_18.epw,1970s,Natural Gas,Medium,Heated Basement,1500-2499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-49, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, R-7","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 13",Central,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Gas, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,15 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour0,None,Day3
16,CR07,PA_Harrisburg-Capital.City.AP.725118,AIA 2,AMY2018,PA_HARRISBURG-IAP_723990_18.epw,1970s,Natural Gas,Low,Unheated Basement,1500-2499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,75F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour7,None,Day60
17,CR07,PA_Allentown-Lehigh.Valley.Intl.AP.725170,AIA 2,AMY2018,PA_ALLENTOWN-LEHIGH-VALLEY-IAP_725170_18.epw,1980s,Natural Gas,Medium,Unheated Basement,1500-2499,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,Uninsulated,"Wood Stud, R-11","Clear, Double, Metal, Air",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,72F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",60% CFL,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour1,Hour16,None,Day91
18,CR03,MA_Boston-Logan.Intl.AP.725090,AIA 2,AMY2018,MA_BOSTON-LOGAN-IAP_725090_18.epw,1960s,Natural Gas,Low,Unheated Basement,2500-3499,1,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,72F,90F,No,Yes,0F,6F,None,Day and Night,National Average,None,EF 15.9,"Electric, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour17,None,Day84
19,CR07,PA_Wilkes-Barre-Scranton.Intl.AP.725130,AIA 1,AMY2018,PA_WILKES-BARRE-SCRANTON-IAP_725130_18.epw,1980s,Natural Gas,Low,Heated Basement,2500-3499,1,2 Car,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-19, Vented","Asphalt Shingles, Medium",None,None,None,Uninsulated,None,R-19,"Wood Stud, R-19","Clear, Single, Metal",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 13",Central,65F,90F,No,Yes,0F,11F,None,Night,National Average,None,EF 15.9,"Gas, 80% Usage","290 Rated kWh, 80% Usage","Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,10 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour17,None,Day26
20,CR07,NY_Syracuse-Hancock.Intl.AP.725190,AIA 1,AMY2018,NY_SYRACUSE-HANCOCK-IAP_725190_18.epw,<1950,Natural Gas,Medium,Unheated Basement,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-7, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Clear, Single, Non-metal",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,72F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour14,None,Day65
21,CR03,NH_Concord.Muni.AP.726050,AIA 1,AMY2018,NH_CONCORD-MUNI-AP_726050_18.epw,1970s,Natural Gas,Low,Unheated Basement,2500-3499,1,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-38, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-7","Clear, Double, Metal, Air",Fiberglass,Gas Standard,50%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,67F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,50%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour19,None,Day28
22,CR07,PA_Pittsburgh.Intl.AP.725200,AIA 2,AMY2018,PA_PITTSBURGH-IAP_725200_18.epw,1990s,Natural Gas,Medium,Unheated Basement,3500+,2+,2 Car,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Gas Standard,100%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,None,None,68F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 100% Usage","290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",5 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour15,None,Day29
23,CR07,NY_Albany.County.AP.725180,AIA 1,AMY2018,NY_ALBANY-CO-AP_725180_18.epw,1980s,Natural Gas,High,Unheated Basement,0-1499,1,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-13, Vented","Asphalt Shingles, Medium",None,None,Uninsulated,None,None,R-19,"Wood Stud, R-11","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"AC, SEER 10",Central,68F,90F,No,No,0F,0F,None,None,National Average,None,EF 15.9,"Electric, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour16,None,Day4
24,CR07,NJ_Newark.Intl.AP.725020,AIA 2,AMY2018,NJ_NEWARK-IAP_725020_18.epw,1980s,Natural Gas,High,Unheated Basement,3500+,2+,2 Car,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,R-19,"Wood Stud, R-11","Low-E, Double, Non-metal, Air, L-Gain",Fiberglass,Electric Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 10",Central,65F,90F,No,Yes,0F,3F,None,Night,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,"20% Leakage, Uninsulated",6 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour4,None,Day19
25,CR03,ME_Portland.Intl.Jetport.726060,AIA 1,AMY2018,ME_PORTLAND-INTL-JETPORT_726060_18.epw,1990s,Natural Gas,High,Heated Basement,1500-2499,1,2 Car,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,Left/Right at 15ft,"Ceiling R-30, Vented","Asphalt Shingles, Medium",None,None,None,Wall R-5,None,Uninsulated,"Wood Stud, R-19","Clear, Double, Non-metal, Air",Fiberglass,Gas Standard,200%,"Uninsulated, TrunkBranch, Copper",None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,70F,90F,No,Yes,0F,3F,None,Day and Night,National Average,None,EF 15.9,"Gas, 120% Usage","290 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,200%,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,National Average,National Average,In Finished Space,7 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour7,None,Day56
