Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration
57,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour19,Hour8,None,1A,"FL, Miami-Dade County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 08604",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units low,Slab,WoodStud,1000-1499,0-1499,1,54,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F15 B15 L15 R15,12,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,67F,No,No,0F,0F,None,None,None,EF 10.5,"Electric, 100% Usage",None,None,None,None,100% Incandescent,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",25 ACH50
58,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour17,None,6A,"MN, Ramsey County",Non-CBSA West North Central,MN,CR02,West North Central,West North Central,Midwest,MISO,Cold,"MN, 01301",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Unheated Basement,Masonry,750-999,0-1499,2,54,None,None,3,Double-Loaded Interior,No,2,Occupied,F30 B30 L30 R30,7,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Ceiling R-13,None,None,R-30,"CMU, 6-in Hollow, R-19",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,67F,Yes,No,6F,0F,None,Night +5h,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,None,None,None,100% Incandescent,86%,None,None,None,None,None,None,No,None,15 ACH50
59,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour17,None,3B,"NV, Clark County",Non-CBSA Mountain,NV,CR10,Mountain,Mountain South,West,None,Hot-Dry,"NV, 00408",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,Masonry,0-499,0-1499,2,8,None,None,3,Double-Loaded Interior,Yes,2,Occupied,F9 B9 L9 R9,27,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,70F,Yes,No,12F,0F,None,Day and Night,None,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
60,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour18,None,4C,"WA, King County","CBSA Seattle-Tacoma-Bellevue, WA",WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11603",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units low,Crawl,WoodStud,750-999,0-1499,2,54,None,None,2,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,12,None,R-13,None,None,"Asphalt Shingles, Medium",None,"Ceiling R-19, Vented",None,None,None,R-30,"Wood Stud, R-19",2+ Pane,No,Electricity,Electric Premium,"Uninsulated, HomeRun, PEX",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,68F,67F,Yes,No,6F,0F,None,Night -4h,None,EF 17.6,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,93%,None,None,None,None,None,None,Yes,"10% Leakage, R-6",10 ACH50
61,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour11,None,6A,"WI, Waukesha County",Non-CBSA East North Central,WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 70201",5 to 9 Unit,1990s,1980-99,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Crawl,WoodStud,1000-1499,0-1499,3,9,None,None,2,Double-Loaded Interior,No,1,Occupied,F15 B15 L15 R15,4,None,R-49,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-19,"Wood Stud, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,65F,67F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,89%,None,None,None,None,None,None,No,None,15 ACH50
62,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour7,None,6A,"WI, Milwaukee County",Non-CBSA East North Central,WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 41002",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,1500-1999,1500-2499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,7,None,R-38,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, R-11",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,60F,67F,Yes,No,6F,0F,None,Night +5h,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% CFL,96%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50
63,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour14,Hour9,None,5A,"NY, Erie County",Non-CBSA Middle Atlantic,NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Cold,"NY, 01207",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,750-999,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-49,None,None,Wood Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,72F,75F,No,Yes,0F,5F,Night Setup -2h,None,None,EF 17.6,"Electric, 100% Usage",None,None,None,None,100% CFL,119%,None,None,None,None,None,None,No,None,20 ACH50
64,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour10,None,5A,"OH, Stark County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,PJM,Cold,"OH, 03200",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,Masonry,500-749,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,27,None,R-49,None,None,Composition Shingles,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,60F,Yes,Yes,3F,5F,Day Setup -1h,Day and Night -4h,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,96%,None,None,None,None,None,None,Yes,"10% Leakage, Uninsulated",20 ACH50
65,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour13,None,2A,"TX, Bexar County",Non-CBSA West South Central,TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 05902",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,Masonry,1000-1499,0-1499,2,8,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",2+ Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,70F,Yes,No,6F,0F,None,Night +2h,None,EF 17.6,"Electric, 80% Usage",None,None,None,None,100% LED,104%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",25 ACH50
66,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour16,None,3A,"OK, Oklahoma County",Non-CBSA West South Central,OK,CR09,West South Central,West South Central,South,SPP,Mixed-Humid,"OK, 01002",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Crawl,Masonry,750-999,0-1499,1,6,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F15 B15 L15 R15,7,None,R-19,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,70F,No,Yes,0F,2F,Day Setup -5h,None,Standard Efficiency,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
67,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour4,Hour7,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03719",5 to 9 Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,5 to 9 Units low,Slab,Masonry,500-749,0-1499,3,9,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,7,None,R-30,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",2+ Pane,No,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,Natural Gas Shared Heating,None,70F,68F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% CFL,93%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50
68,Low,Southeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour9,Hour17,None,2A,"TX, Harris County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04637",10 to 19 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,WoodStud,1000-1499,0-1499,2,12,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F18 B18 L18 R18,4,None,R-38,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Yes,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heat Pump,Heat Pump,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,76F,68F,Yes,No,12F,0F,None,Night +4h,Standard Efficiency,EF 15.9,"Propane, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,104%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",25 ACH50
69,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour14,None,2A,"FL, Orange County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 09505",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,WoodStud,1000-1499,0-1499,3,54,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,2,None,R-7,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-13,"Wood Stud, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,68F,Yes,No,3F,0F,None,Night -3h,None,EF 17.6,"Electric, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,106%,None,None,None,None,None,None,Yes,"20% Leakage, R-8",15 ACH50
70,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour13,None,3B,"CA, Contra Costa County","CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 01304",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,50 or more Units high,Slab,Masonry,750-999,0-1499,3,54,None,None,3,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, R-7",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,78F,Yes,Yes,6F,5F,Night Setup +5h,Night -2h,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage",None,None,None,100% Incandescent,93%,None,None,None,None,None,None,No,None,20 ACH50
71,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour17,None,5A,"NJ, Morris County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NJ,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"NJ, 01501",50 or more Unit,2000s,2000-09,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,750-999,0-1499,1,54,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,12,None,Uninsulated,None,None,"Asphalt Shingles, Medium",None,"Wall R-10, Unvented",None,None,None,R-19,"CMU, 6-in Hollow, R-19",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,72F,75F,No,No,0F,0F,None,None,None,EF 17.6,"Gas, 80% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",10 ACH50
72,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour16,None,3A,"AL, Madison County",Non-CBSA East South Central,AL,CR09,East South Central,East South Central,South,None,Mixed-Humid,"AL, 00301",10 to 19 Unit,2000s,2000-09,Multi-Family with 5+ Units,Electricity,10 to 19 Units low,Slab,Masonry,1000-1499,0-1499,3,12,None,None,1,Double-Loaded Interior,Yes,1,Occupied,F30 B30 L30 R30,27,None,R-13,None,None,"Asphalt Shingles, Medium",2ft R10 Exterior,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",1 Pane,Yes,Electricity,Electric Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,75F,60F,No,No,0F,0F,None,None,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% CFL,123%,None,None,None,None,None,None,Yes,"30% Leakage, R-8",10 ACH50
73,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour0,Hour17,None,6A,"WI, Kenosha County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",WI,CR02,East North Central,East North Central,Midwest,MISO,Cold,"WI, 10000",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,WoodStud,1500-1999,1500-2499,1,2,None,None,3,Double-Loaded Interior,Yes,1,Occupied,F12 B12 L12 R12,12,None,R-49,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,No,Electricity,Electric Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,70F,68F,Yes,No,12F,0F,None,Night -3h,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,96%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50
74,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour15,Hour9,None,5B,"CO, Denver County",Non-CBSA Mountain,CO,CR05,Mountain,Mountain North,West,None,Cold,"CO, 00815",50 or more Unit,1970s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Slab,WoodStud,500-749,0-1499,2,54,None,None,1,Double-Loaded Interior,No,1,Occupied,F30 B30 L30 R30,4,None,R-7,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-7",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,60F,68F,No,No,0F,0F,None,None,None,EF 17.6,"Electric, 120% Usage","318 Rated kWh, 120% Usage",None,None,None,100% CFL,105%,EF 17.6,None,None,None,None,None,No,None,20 ACH50
75,High,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour15,None,5A,"OH, Lucas County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,PJM,Cold,"OH, 00500",2 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Crawl,Masonry,500-749,0-1499,1,2,None,None,2,Double-Loaded Interior,Yes,1,Occupied,F9 B9 L9 R9,27,None,R-13,None,None,Composition Shingles,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,Heating and Cooling,"Fan Coil Heating and Cooling, Natural Gas",Shared Heating,Natural Gas Shared Heating,Shared Cooling,68F,70F,Yes,No,3F,0F,None,Day and Night +3h,Standard Efficiency,EF 17.6,"Electric, 120% Usage",None,None,None,None,100% CFL,96%,None,"EF 12, National Average",None,None,None,None,No,None,15 ACH50
76,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour11,None,4C,"OR, Washington County",Non-CBSA Pacific,OR,CR06,Pacific,Pacific,West,None,Marine,"OR, 01324",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,0-499,0-1499,2,6,None,None,1,Double-Loaded Interior,No,1,Occupied,F12 B12 L12 R12,27,None,R-49,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-11",2+ Pane,Yes,Electricity,"Electric Heat Pump, 80 gal","Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,70F,67F,Yes,No,12F,0F,None,Night +4h,None,EF 17.6,"Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,93%,None,None,None,None,None,None,No,None,15 ACH50
77,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour14,Hour15,None,2A,"FL, Alachua County",Non-CBSA South Atlantic,FL,CR09,South Atlantic,South Atlantic,South,None,Hot-Humid,"FL, 00101",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,5 to 9 Units low,Slab,WoodStud,0-499,0-1499,2,6,None,None,1,Double-Loaded Interior,No,1,Occupied,F18 B18 L18 R18,12,None,R-19,None,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, R-11",2+ Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,Heating and Cooling,"Fan Coil Heating and Cooling, Electricity",Shared Heating,Electricity Shared Heating,Shared Cooling,72F,68F,No,No,0F,0F,None,None,None,EF 15.9,"Electric, 80% Usage","318 Rated kWh, 80% Usage",None,None,None,100% CFL,106%,None,None,None,None,None,None,Yes,"10% Leakage, R-4",20 ACH50
