Building,Usage Level,Corridor,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Ceiling Fan,Dehumidifier,Refrigeration Schedule,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,ASHRAE IECC Climate Zone 2004,County,Location,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,AHS Region,State,Location Region,Census Division,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Number Units MF,Geometry Building Level MF,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Occupants,Orientation,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater,Hot Water Distribution,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Refrigerator,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Ducts,Infiltration,Geometry Perimeter Footprint Ratio
11,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Middle,None,None,None,1,1,West,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
12,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Right,None,None,None,1,1,West,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
13,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Bottom,True,Left,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
14,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Bottom,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
15,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Bottom,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
16,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Bottom,True,Right,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
17,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Middle,True,Left,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
18,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Middle,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
19,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Middle,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
20,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Middle,True,Right,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
21,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Left,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
22,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
23,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Middle,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
24,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour20,None,Day231,3C,"CA, San Francisco County",CA_San.Francisco.Intl.AP.724940,70F,78F,Yes,No,12F,0F,None,Day,"CBSA San Francisco-Oakland-Hayward, CA",CA,CR11,Pacific,West,None,Marine,"CA, 07503",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,20 to 49 Units low,Crawl,Masonry,500-749,0-1499,3,24,Top,True,Right,None,None,None,1,1,East,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 10",Central,EF 17.6,"Gas, 120% Usage",National Average,None,None,None,None,None,None,None,None,None,None,"10% Leakage, Uninsulated",20 ACH50,0.13
25,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,National Average,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour8,Hour18,None,Day286,5A,"CT, Hartford County",CT_Hartford-Bradley.Intl.AP.725080,70F,72F,Yes,Yes,12F,2F,Night Setback +2h,Night -2h,Non-CBSA New England,CT,CR03,New England,Northeast,NEISO,Cold,"CT, 00302",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,500-749,0-1499,1,4,Bottom,True,Left,None,None,None,1,1,South,F12 B12 L12 R12,7,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,EF 17.6,"Gas, 80% Usage",National Average,None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,"30% Leakage, Uninsulated",50 ACH50,0.13
26,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,National Average,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour8,Hour18,None,Day286,5A,"CT, Hartford County",CT_Hartford-Bradley.Intl.AP.725080,70F,72F,Yes,Yes,12F,2F,Night Setback +2h,Night -2h,Non-CBSA New England,CT,CR03,New England,Northeast,NEISO,Cold,"CT, 00302",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,500-749,0-1499,1,4,Bottom,True,Right,None,None,None,1,1,South,F12 B12 L12 R12,7,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,EF 17.6,"Gas, 80% Usage",National Average,None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,"30% Leakage, Uninsulated",50 ACH50,0.13
27,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,National Average,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour8,Hour18,None,Day286,5A,"CT, Hartford County",CT_Hartford-Bradley.Intl.AP.725080,70F,72F,Yes,Yes,12F,2F,Night Setback +2h,Night -2h,Non-CBSA New England,CT,CR03,New England,Northeast,NEISO,Cold,"CT, 00302",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,500-749,0-1499,1,4,Bottom,True,Left,None,None,None,1,1,North,F12 B12 L12 R12,7,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,EF 17.6,"Gas, 80% Usage",National Average,None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,"30% Leakage, Uninsulated",50 ACH50,0.13
28,Low,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,National Average,None,National Average,100% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour8,Hour18,None,Day286,5A,"CT, Hartford County",CT_Hartford-Bradley.Intl.AP.725080,70F,72F,Yes,Yes,12F,2F,Night Setback +2h,Night -2h,Non-CBSA New England,CT,CR03,New England,Northeast,NEISO,Cold,"CT, 00302",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,<5,Unheated Basement,WoodStud,500-749,0-1499,1,4,Bottom,True,Right,None,None,None,1,1,North,F12 B12 L12 R12,7,None,R-13,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Gas Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,None,None,EF 17.6,"Gas, 80% Usage",National Average,None,Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",None,None,None,None,None,None,"30% Leakage, Uninsulated",50 ACH50,0.13
29,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,Day133,4C,"WA, King County",WA_Seattle-Tacoma.Intl.AP.727930,65F,76F,No,No,0F,0F,None,None,"CBSA Seattle-Tacoma-Bellevue, WA",WA,CR06,Pacific,West,None,Marine,"WA, 11603",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,20 to 49 Units high,Unheated Basement,WoodStud,500-749,0-1499,1,24,Bottom,True,Left,None,None,None,1,1,West,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Propane Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,EF 17.6,"Electric, 120% Usage",National Average,"318 Rated kWh, 120% Usage",None,None,None,None,None,None,None,None,None,"30% Leakage, Uninsulated",20 ACH50,0.13
30,High,Double-Loaded Interior,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,National Average,None,National Average,100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour17,None,Day133,4C,"WA, King County",WA_Seattle-Tacoma.Intl.AP.727930,65F,76F,No,No,0F,0F,None,None,"CBSA Seattle-Tacoma-Bellevue, WA",WA,CR06,Pacific,West,None,Marine,"WA, 11603",20 to 49 Unit,<1940,<1940,Multi-Family with 5+ Units,Electricity,20 to 49 Units high,Unheated Basement,WoodStud,500-749,0-1499,1,24,Bottom,True,Middle,None,None,None,1,1,West,F30 B30 L30 R30,12,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Propane Standard,"Uninsulated, TrunkBranch, Copper",Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,EF 17.6,"Electric, 120% Usage",National Average,"318 Rated kWh, 120% Usage",None,None,None,None,None,None,None,None,None,"30% Leakage, Uninsulated",20 ACH50,0.13
