Back to Contents,Data 1: Residential Propane Weekly Heating Oil and Propane Prices (October - March),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,W_EPLLPA_PRS_NUS_DPG,W_EPLLPA_PRS_R10_DPG,W_EPLLPA_PRS_R1X_DPG,W_EPLLPA_PRS_SCT_DPG,W_EPLLPA_PRS_SME_DPG,W_EPLLPA_PRS_SMA_DPG,W_EPLLPA_PRS_SNH_DPG,W_EPLLPA_PRS_SRI_DPG,W_EPLLPA_PRS_SVT_DPG,W_EPLLPA_PRS_R1Y_DPG,W_EPLLPA_PRS_SDE_DPG,W_EPLLPA_PRS_SMD_DPG,W_EPLLPA_PRS_SNJ_DPG,W_EPLLPA_PRS_SNY_DPG,W_EPLLPA_PRS_SPA_DPG,W_EPLLPA_PRS_R1Z_DPG,W_EPLLPA_PRS_SFL_DPG,W_EPLLPA_PRS_SGA_DPG,W_EPLLPA_PRS_SNC_DPG,W_EPLLPA_PRS_SVA_DPG,W_EPLLPA_PRS_R20_DPG,W_EPLLPA_PRS_SIL_DPG,W_EPLLPA_PRS_SIN_DPG,W_EPLLPA_PRS_SIA_DPG,W_EPLLPA_PRS_SKS_DPG,W_EPLLPA_PRS_SKY_DPG,W_EPLLPA_PRS_SMI_DPG,W_EPLLPA_PRS_SMN_DPG,W_EPLLPA_PRS_SMO_DPG,W_EPLLPA_PRS_SNE_DPG,W_EPLLPA_PRS_SND_DPG,W_EPLLPA_PRS_SOH_DPG,W_EPLLPA_PRS_SOK_DPG,W_EPLLPA_PRS_SSD_DPG,W_EPLLPA_PRS_STN_DPG,W_EPLLPA_PRS_SWI_DPG,W_EPLLPA_PRS_R30_DPG,W_EPLLPA_PRS_SAL_DPG,W_EPLLPA_PRS_SAR_DPG,W_EPLLPA_PRS_SMS_DPG,W_EPLLPA_PRS_STX_DPG,W_EPLLPA_PRS_R40_DPG,W_EPLLPA_PRS_SCO_DPG,W_EPLLPA_PRS_SID_DPG,W_EPLLPA_PRS_SMT_DPG,W_EPLLPA_PRS_SUT_DPG
"Feb 18, 1991",0.92,1.212,1.238,1.193,1.306,1.251,1.193,1.375,1.224,1.309,1.221,1.331,1.291,1.396,1.132,1.097,,,1.074,1.15,0.766,0.751,0.906,0.569,0.535,,0.922,0.795,0.722,0.544,0.637,1.117,,0.584,,0.811,,,,,,,,,,
"Mar 04, 1991",0.887,1.183,1.193,1.179,1.216,1.225,1.177,1.316,1.153,1.288,1.167,1.259,1.258,1.391,1.139,1.077,,,1.05,1.14,0.731,0.728,0.892,0.527,0.525,,0.897,0.753,0.69,0.51,0.574,1.041,,0.568,,0.777,,,,,,,,,,
"Mar 18, 1991",0.881,1.176,1.185,1.176,1.214,1.197,1.137,1.285,1.192,1.284,1.165,1.253,1.251,1.391,1.129,1.07,,,1.021,1.182,0.725,0.724,0.878,0.528,0.535,,0.886,0.757,0.681,0.516,0.548,1.018,,0.56,,0.771,,,,,,,,,,
"Oct 07, 1991",0.867,1.147,1.177,1.192,1.294,1.153,1.064,1.35,1.17,1.243,1.172,1.22,1.246,1.313,1.127,1.012,,,0.987,1.097,0.707,,0.785,0.578,0.564,,0.856,0.715,0.681,0.552,0.579,0.956,,0.588,,0.7,,,,,,,,,,
"Oct 21, 1991",0.887,1.168,1.191,1.207,1.296,1.153,1.092,1.332,1.199,1.266,1.192,1.224,1.274,1.345,1.147,1.039,,,1.019,1.107,0.726,,0.799,,0.593,,0.877,0.716,0.711,0.588,0.618,0.947,,0.615,,0.721,,,,,,,,,,
"Nov 04, 1991",0.899,1.178,1.21,1.207,1.318,1.202,1.121,1.371,1.183,1.266,1.199,1.203,1.284,1.351,1.145,1.05,,,1.029,1.12,0.741,,0.806,0.606,0.604,,0.888,0.732,0.737,0.597,0.618,0.971,,0.626,,0.739,,,,,,,,,,
"Nov 18, 1991",0.917,1.189,1.213,1.199,1.34,1.206,1.11,1.372,1.191,1.274,1.222,1.214,1.285,1.357,1.153,1.072,,,1.056,1.127,0.763,,0.851,,0.623,,0.903,0.775,0.741,0.617,0.65,0.973,,0.65,,0.774,,,,,,,,,,
"Dec 02, 1991",0.923,1.197,1.216,1.198,1.335,1.207,1.12,1.377,1.203,1.293,1.223,1.215,1.29,1.395,1.159,1.075,,,1.053,1.147,0.768,,0.855,0.634,0.621,,0.9,0.785,0.746,0.615,0.655,0.974,,0.65,,0.786,,,,,,,,,,
"Dec 16, 1991",0.916,1.197,1.215,1.189,1.336,1.209,1.12,1.379,1.208,1.295,1.227,1.244,1.278,1.393,1.154,1.073,,,1.051,1.146,0.757,,0.85,,0.598,,0.902,0.776,0.736,0.603,0.66,0.966,,0.641,,0.784,,,,,,,,,,
"Jan 06, 1992",0.896,1.18,1.205,1.162,1.336,1.189,1.121,1.384,1.203,1.291,1.217,1.254,1.269,1.378,1.162,1.035,,,1.013,1.112,0.735,,0.838,0.577,0.549,,0.884,0.752,0.715,0.567,0.639,0.967,,0.615,,0.759,,,,,,,,,,
"Jan 20, 1992",0.888,1.173,1.199,1.147,1.336,1.179,1.121,1.364,1.197,1.283,1.2,1.25,1.276,1.372,1.146,1.029,,,1.005,1.11,0.727,,0.836,,0.533,,0.852,0.753,0.712,0.548,0.612,0.982,,0.599,,0.758,,,,,,,,,,
"Feb 03, 1992",0.883,1.173,1.197,1.145,1.335,1.179,1.118,1.365,1.197,1.282,1.192,1.226,1.28,1.381,1.139,1.033,,,1.01,1.109,0.719,,0.841,0.53,0.525,,0.848,0.738,0.718,0.536,0.594,0.974,,0.581,,0.751,,,,,,,,,,
"Feb 17, 1992",0.877,1.169,1.192,1.126,1.335,1.173,1.118,1.349,1.194,1.274,1.19,1.224,1.28,1.379,1.106,1.034,,,1.011,1.112,0.712,,0.837,,0.522,,0.844,0.734,0.714,0.53,0.581,0.936,,0.585,,0.747,,,,,,,,,,
"Mar 02, 1992",0.871,1.166,1.187,1.124,1.336,1.166,1.105,1.337,1.191,1.273,1.179,1.222,1.277,1.379,1.107,1.032,,,1.009,1.112,0.705,,0.832,0.519,0.518,,0.841,0.729,0.707,0.528,0.575,0.927,,0.579,,0.732,,,,,,,,,,
"Mar 16, 1992",0.863,1.161,1.183,1.12,1.333,1.154,1.105,1.337,1.19,1.262,1.177,1.202,1.275,1.367,1.102,1.031,,,1.007,1.11,0.694,,0.833,,0.514,,0.833,0.712,0.68,0.528,0.562,0.922,,0.57,,0.73,,,,,,,,,,
"Oct 05, 1992",0.85,1.143,1.161,1.183,1.259,1.147,1.096,1.305,1.134,1.248,1.133,1.233,1.228,1.381,1.101,0.997,,,0.974,1.095,0.695,,0.795,0.514,0.564,,0.819,0.718,0.679,,0.566,0.865,,0.575,,0.699,,,,,,,,,,
"Oct 19, 1992",0.865,1.158,1.177,1.18,1.293,1.15,1.11,1.307,1.152,1.256,1.144,1.238,1.219,1.373,1.152,1.006,,,0.983,1.099,0.708,,0.801,,0.562,,0.839,0.731,0.689,,0.576,0.849,,0.584,,0.707,,,,,,,,,,
"Nov 02, 1992",0.868,1.153,1.167,1.174,1.252,1.153,1.11,1.31,1.156,1.255,1.15,1.241,1.221,1.374,1.148,1.003,,,0.98,1.099,0.714,,0.814,0.542,0.576,,0.848,0.731,0.699,,0.586,0.864,,0.594,,0.705,,,,,,,,,,
"Nov 16, 1992",0.876,1.154,1.164,1.177,1.25,1.154,1.11,1.316,1.139,1.257,1.15,1.24,1.209,1.374,1.155,1.007,,,0.985,1.1,0.727,,0.836,,0.587,,0.845,0.748,0.709,,0.602,0.873,,0.601,,0.73,,,,,,,,,,
"Dec 07, 1992",0.89,1.157,1.165,1.182,1.246,1.156,1.104,1.316,1.143,1.264,1.132,1.243,1.21,1.376,1.175,1.008,,,0.987,1.098,0.745,,0.853,0.588,0.605,,0.85,0.77,0.727,,0.628,0.887,,0.635,,0.744,,,,,,,,,,
"Dec 21, 1992",0.899,1.157,1.163,1.176,1.243,1.157,1.103,1.323,1.139,1.264,1.134,1.243,1.21,1.376,1.176,1.008,,,0.987,1.099,0.761,,0.856,,0.62,,0.867,0.789,0.739,,0.637,0.892,,0.646,,0.769,,,,,,,,,,
"Jan 04, 1993",0.924,1.161,1.167,1.182,1.246,1.156,1.104,1.338,1.15,1.267,1.143,1.252,1.211,1.378,1.178,1.014,,,0.993,1.106,0.797,,0.873,0.641,0.68,,0.885,0.834,0.777,,0.667,0.903,,0.688,,0.819,,,,,,,,,,
"Jan 11, 1993",1.02,1.169,1.173,1.186,1.243,1.159,1.114,1.345,1.167,1.276,1.154,1.265,1.229,1.382,1.186,1.025,,,1.003,1.116,0.94,,0.911,0.828,0.888,,0.938,1.024,0.913,,0.886,0.936,,0.898,,1.021,,,,,,,,,,
"Jan 18, 1993",1.002,1.167,1.178,1.187,1.244,1.158,1.115,1.355,1.185,1.267,1.159,1.266,1.177,1.384,1.185,1.024,,,1.004,1.109,0.913,,0.934,0.764,0.83,,0.948,1.007,0.902,,0.901,0.948,,0.825,,0.934,,,,,,,,,,
"Jan 25, 1993",0.968,1.172,1.179,1.183,1.257,1.173,1.125,1.352,1.169,1.28,1.155,1.267,1.233,1.386,1.191,1.023,,,1.001,1.116,0.857,,0.935,0.688,0.717,,0.941,0.918,0.835,,0.783,0.954,,0.741,,0.88,,,,,,,,,,
"Feb 01, 1993",0.954,1.168,1.183,1.185,1.255,1.161,1.127,1.357,1.193,1.268,1.155,1.266,1.182,1.387,1.183,1.02,,,1,1.109,0.837,,0.926,0.661,0.696,,0.944,0.884,0.822,,0.747,0.95,,0.718,,0.858,,,,,,,,,,
"Feb 15, 1993",0.937,1.169,1.183,1.186,1.255,1.162,1.137,1.351,1.185,1.271,1.166,1.273,1.182,1.391,1.183,1.019,,,0.998,1.111,0.81,,0.926,,0.653,,0.941,0.838,0.758,,0.696,0.934,,0.688,,0.834,,,,,,,,,,
"Mar 01, 1993",0.968,1.181,1.192,1.205,1.258,1.165,1.14,1.352,1.198,1.293,1.186,1.302,1.183,1.435,1.185,1.021,,,1.001,1.113,0.851,,0.927,0.704,0.768,,0.946,0.886,0.843,,0.668,0.934,,0.71,,0.878,,,,,,,,,,
"Mar 15, 1993",0.944,1.18,1.193,1.205,1.258,1.167,1.142,1.362,1.197,1.302,1.188,1.313,1.183,1.45,1.192,1.004,,,0.978,1.12,0.814,,0.928,,0.676,,0.945,0.854,0.782,,0.66,0.937,,0.697,,0.839,,,,,,,,,,
"Apr 05, 1993",0.935,1.185,1.194,1.208,1.261,1.178,1.147,1.353,1.184,1.314,1.203,1.309,1.239,1.451,1.192,1.006,,,0.975,1.139,0.801,,0.916,0.624,0.668,,0.927,0.83,0.755,,0.642,0.934,,0.688,,0.816,,,,,,,,,,
"Apr 19, 1993",0.924,1.169,1.195,1.207,1.254,1.163,1.143,1.34,1.21,1.277,1.175,1.297,1.186,1.413,1.185,1.005,,,0.977,1.128,0.791,,0.919,,0.657,,0.924,0.821,0.741,,0.618,0.927,,0.678,,0.813,,,,,,,,,,
"Oct 04, 1993",0.87,1.101,1.155,1.122,1.258,1.138,1.102,1.293,1.147,1.181,1.103,1.187,1.186,1.233,1.138,0.952,,,0.927,1.048,0.74,,0.798,0.605,0.62,,0.84,0.758,0.707,,0.614,0.874,,0.621,,0.773,,,,,,,,,,
"Oct 18, 1993",0.872,1.102,1.156,1.129,1.255,1.144,1.089,1.308,1.145,1.183,1.113,1.191,1.186,1.234,1.138,0.953,,,0.927,1.049,0.743,,0.815,0.6,0.621,,0.844,0.77,0.706,,0.622,0.877,,0.639,,0.768,,,,,,,,,,
"Nov 01, 1993",0.876,1.103,1.155,1.119,1.256,1.148,1.09,1.308,1.146,1.182,1.113,1.191,1.191,1.225,1.138,0.956,,,0.931,1.049,0.747,,0.825,0.604,0.622,,0.845,0.771,0.725,,0.624,0.878,,0.639,,0.765,,,,,,,,,,
"Nov 15, 1993",0.88,1.107,1.158,1.127,1.254,1.152,1.09,1.305,1.147,1.184,1.112,1.192,1.193,1.231,1.14,0.963,,,0.94,1.048,0.749,,0.833,0.611,0.628,,0.849,0.772,0.728,,0.625,0.873,,0.644,,0.763,,,,,,,,,,
"Dec 06, 1993",0.882,1.109,1.159,1.125,1.254,1.155,1.098,1.304,1.145,1.187,1.112,1.199,1.193,1.232,1.143,0.965,,,0.943,1.048,0.752,,0.835,0.613,0.628,,0.85,0.776,0.736,,0.63,0.87,,0.644,,0.768,,,,,,,,,,
"Dec 20, 1993",0.88,1.11,1.161,1.138,1.253,1.154,1.098,1.303,1.144,1.187,1.113,1.199,1.193,1.235,1.142,0.968,,,0.947,1.047,0.748,,0.842,0.599,0.613,,0.85,0.766,0.735,,0.627,0.872,,0.637,,0.767,,,,,,,,,,
"Jan 03, 1994",0.88,1.111,1.161,1.144,1.253,1.154,1.098,1.295,1.141,1.187,1.114,1.196,1.196,1.237,1.142,0.969,,,0.947,1.048,0.747,,0.838,0.593,0.612,,0.85,0.773,0.734,,0.624,0.876,,0.631,,0.762,,,,,,,,,,
"Jan 17, 1994",0.884,1.118,1.161,1.143,1.253,1.151,1.099,1.295,1.144,1.199,1.138,1.203,1.198,1.244,1.161,0.979,,,0.959,1.054,0.751,,0.847,0.593,0.612,,0.854,0.779,0.738,,0.628,0.882,,0.638,,0.767,,,,,,,,,,
"Jan 31, 1994",0.896,1.135,1.168,1.155,1.254,1.155,1.106,1.296,1.156,1.21,1.181,1.256,1.2,1.251,1.155,1.009,,,0.992,1.073,0.759,,0.873,0.591,0.612,,0.87,0.789,0.739,,0.634,0.893,,0.634,,0.779,,,,,,,,,,
"Feb 07, 1994",0.905,1.146,1.177,1.153,1.26,1.158,1.133,1.3,1.171,1.227,1.2,1.279,1.226,1.264,1.169,1.015,,,0.999,1.074,0.767,,0.876,0.598,0.616,,0.878,0.793,0.745,,0.641,0.899,,0.64,,0.795,,,,,,,,,,
"Feb 14, 1994",0.909,1.151,1.183,1.166,1.261,1.166,1.135,1.306,1.174,1.234,1.228,1.28,1.247,1.269,1.168,1.017,,,1,1.079,0.768,,0.872,0.603,0.619,,0.883,0.792,0.74,,0.642,0.9,,0.64,,0.796,,,,,,,,,,
"Feb 21, 1994",0.908,1.154,1.182,1.155,1.264,1.166,1.143,1.313,1.174,1.234,1.225,1.28,1.246,1.268,1.172,1.027,,,1.013,1.079,0.767,,0.872,0.598,0.617,,0.887,0.784,0.746,,0.642,0.899,,0.64,,0.795,,,,,,,,,,
"Feb 28, 1994",0.908,1.154,1.184,1.156,1.273,1.166,1.143,1.314,1.172,1.233,1.223,1.281,1.245,1.264,1.172,1.026,,,1.013,1.074,0.767,,0.873,0.597,0.616,,0.888,0.782,0.745,,0.639,0.898,,0.642,,0.795,,,,,,,,,,
"Mar 07, 1994",0.905,1.152,1.183,1.152,1.273,1.168,1.144,1.312,1.169,1.234,1.201,1.291,1.246,1.264,1.173,1.02,,,1.006,1.073,0.763,,0.873,0.59,0.614,,0.888,0.77,0.744,,0.639,0.896,,0.64,,0.789,,,,,,,,,,
"Mar 21, 1994",0.898,1.148,1.182,1.148,1.273,1.164,1.147,1.315,1.169,1.233,1.193,1.297,1.244,1.262,1.172,1.011,,,0.995,1.071,0.752,,0.864,0.579,0.603,,0.886,0.756,0.737,,0.63,0.891,,0.643,,0.763,,,,,,,,,,
"Oct 03, 1994",0.853,1.127,1.14,1.135,1.266,1.106,1.127,1.29,1.125,1.163,1.141,1.15,1.239,1.163,1.116,1.039,,,1,1.094,0.718,,0.782,0.558,,0.923,0.792,0.703,0.636,,0.584,0.848,,0.624,,0.743,,,,,,,,,,
"Oct 17, 1994",0.838,1.141,1.133,1.136,1.276,1.112,1.13,1.249,1.083,1.205,1.148,1.151,1.229,1.246,1.128,1.044,,,1.007,1.093,0.711,,0.789,0.545,,0.923,0.797,0.71,0.636,,0.586,0.841,,0.621,,0.745,,,,,,,,,,
"Nov 07, 1994",0.849,1.147,1.135,1.141,1.276,1.129,1.132,1.278,1.077,1.213,1.149,1.169,1.229,1.256,1.132,1.05,,,1.018,1.095,0.722,,0.797,0.554,,0.942,0.811,0.73,0.651,,0.598,0.856,,0.62,,0.746,,,,,,,,,,
"Nov 21, 1994",0.863,1.155,1.137,1.142,1.282,1.135,1.134,1.312,1.07,1.214,1.157,1.185,1.246,1.257,1.167,1.056,,,1.025,1.097,0.726,,0.801,0.56,,0.95,0.812,0.734,0.652,,0.61,0.86,,0.629,,0.759,,,,,,,,,,
"Dec 05, 1994",0.867,1.149,1.145,1.143,1.294,1.151,1.152,1.319,1.072,1.197,1.159,1.19,1.242,1.259,1.11,1.059,,,1.03,1.097,0.733,,0.804,0.554,,0.961,0.821,0.743,0.668,,0.619,0.869,,0.634,,0.762,,,,,,,,,,
"Dec 19, 1994",0.867,1.154,1.148,1.141,1.304,1.157,1.154,1.339,1.08,1.205,1.162,1.196,1.245,1.272,1.116,1.059,,,1.03,1.098,0.742,,0.813,0.602,,0.916,0.829,0.757,0.676,,0.637,0.863,,0.641,,0.762,,,,,,,,,,
"Jan 02, 1995",0.874,1.159,1.152,1.141,1.254,1.157,1.172,1.34,1.086,1.213,1.19,1.209,1.244,1.284,1.119,1.061,,,1.032,1.099,0.748,,0.821,0.616,,0.926,0.827,0.758,0.686,,0.647,0.867,,0.64,,0.764,,,,,,,,,,
"Jan 16, 1995",0.885,1.166,1.158,1.146,1.275,1.165,1.175,1.346,1.09,1.218,1.181,1.227,1.253,1.292,1.118,1.069,,,1.046,1.101,0.759,,0.832,0.624,,0.942,0.828,0.77,0.697,,0.65,0.871,,0.639,,0.765,,,,,,,,,,
"Feb 06, 1995",0.891,1.169,1.159,1.147,1.273,1.164,1.178,1.335,1.092,1.221,1.181,1.228,1.252,1.302,1.117,1.073,,,1.053,1.1,0.761,,0.834,0.586,,0.946,0.833,0.772,0.699,,0.647,0.866,,0.618,,0.765,,,,,,,,,,
"Feb 20, 1995",0.892,1.169,1.159,1.148,1.279,1.166,1.177,1.332,1.092,1.222,1.188,1.228,1.25,1.303,1.117,1.075,,,1.055,1.102,0.762,,0.835,0.589,,0.946,0.836,0.771,0.698,,0.653,0.87,,0.62,,0.767,,,,,,,,,,
"Mar 06, 1995",0.892,1.169,1.161,1.149,1.285,1.168,1.178,1.333,1.092,1.222,1.188,1.229,1.253,1.302,1.117,1.071,,,1.048,1.102,0.762,,0.835,0.592,,0.946,0.834,0.771,0.699,,0.649,0.871,,0.619,,0.768,,,,,,,,,,
"Mar 20, 1995",0.903,1.158,1.17,1.15,1.306,1.168,1.187,1.339,1.094,1.187,1.188,1.229,1.243,1.209,1.117,1.071,,,1.049,1.105,0.769,,0.832,0.607,,0.946,0.831,0.768,0.699,,0.652,0.877,,0.619,,0.768,,,,,,,,,,
"Oct 02, 1995",0.885,1.128,1.152,1.169,1.241,1.151,1.143,1.346,1.084,1.149,1.172,1.209,1.223,1.167,1.095,1.042,,,1.018,1.093,0.735,,0.819,0.58,,0.926,0.796,0.741,0.666,,0.593,0.869,,0.611,,0.748,,,,,,,,,,
"Oct 16, 1995",0.886,1.13,1.161,1.176,1.263,1.151,1.138,1.363,1.096,1.148,1.175,1.21,1.22,1.164,1.095,1.045,,,1.022,1.093,0.742,,0.822,0.583,,0.939,0.804,0.755,0.692,,0.599,0.866,,0.618,,0.758,,,,,,,,,,
"Nov 06, 1995",0.886,1.126,1.159,1.147,1.263,1.155,1.144,1.349,1.099,1.14,1.175,1.187,1.178,1.158,1.094,1.049,,,1.027,1.096,0.746,,0.835,0.586,,0.935,0.803,0.753,0.7,,0.616,0.865,,0.619,,0.767,,,,,,,,,,
"Nov 20, 1995",0.898,1.138,1.16,1.149,1.264,1.154,1.145,1.352,1.111,1.156,1.183,1.191,1.186,1.184,1.097,1.056,,,1.036,1.098,0.751,,0.848,0.594,,0.939,0.812,0.757,0.7,,0.632,0.871,,0.623,,0.77,,,,,,,,,,
"Dec 04, 1995",0.904,1.14,1.164,1.144,1.28,1.159,1.145,1.36,1.114,1.158,1.194,1.202,1.195,1.184,1.096,1.056,,,1.035,1.099,0.759,,0.864,0.6,,0.941,0.817,0.766,0.707,,0.663,0.88,,0.627,,0.778,,,,,,,,,,
