Back to Contents,Data 1: Residential Heating Oil Weekly Heating Oil and Propane Prices (October - March),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,W_EPD2F_PRS_NUS_DPG,W_EPD2F_PRS_R10_DPG,W_EPD2F_PRS_R1X_DPG,W_EPD2F_PRS_SCT_DPG,W_EPD2F_PRS_SME_DPG,W_EPD2F_PRS_SMA_DPG,W_EPD2F_PRS_SNH_DPG,W_EPD2F_PRS_SRI_DPG,W_EPD2F_PRS_SVT_DPG,W_EPD2F_PRS_R1Y_DPG,W_EPD2F_PRS_SDE_DPG,W_EPD2F_PRS_SDC_DPG,W_EPD2F_PRS_SMD_DPG,W_EPD2F_PRS_SNJ_DPG,W_EPD2F_PRS_SNY_DPG,W_EPD2F_PRS_SPA_DPG,W_EPD2F_PRS_R1Z_DPG,W_EPD2F_PRS_SNC_DPG,W_EPD2F_PRS_SVA_DPG,W_EPD2F_PRS_R20_DPG,W_EPD2F_PRS_SIL_DPG,W_EPD2F_PRS_SIN_DPG,W_EPD2F_PRS_SIA_DPG,W_EPD2F_PRS_SKY_DPG,W_EPD2F_PRS_SMI_DPG,W_EPD2F_PRS_SMN_DPG,W_EPD2F_PRS_SNE_DPG,W_EPD2F_PRS_SOH_DPG,W_EPD2F_PRS_SWI_DPG
"Jan 18, 1993",0.975,0.993,0.964,1.002,0.848,0.975,0.929,0.982,0.951,1.014,0.943,1.073,1.004,1.011,1.073,0.924,0.933,0.933,0.932,0.873,,0.872,,,0.897,0.879,,0.849,0.865
"Feb 01, 1993",0.974,0.994,0.965,1.006,0.843,0.974,0.934,0.99,0.948,1.016,0.951,1.083,1.008,1.022,1.074,0.922,0.933,0.934,0.933,0.865,,0.865,0.746,,0.899,0.877,,0.857,0.866
"Feb 15, 1993",0.978,0.996,0.966,1.009,0.849,0.973,0.924,0.991,0.949,1.018,0.954,1.091,1.01,1.028,1.074,0.924,0.933,0.932,0.933,0.875,,0.87,,,0.9,0.881,,0.859,0.866
"Mar 01, 1993",0.977,0.997,0.962,1.009,0.817,0.973,0.921,0.991,0.948,1.021,0.961,1.098,1.018,1.032,1.077,0.926,0.933,0.933,0.934,0.87,,0.874,0.759,,0.902,0.886,,0.868,0.864
"Mar 15, 1993",0.985,1.001,0.973,1.013,0.858,0.983,0.924,0.996,0.956,1.022,0.961,1.105,1.023,1.033,1.077,0.928,0.936,0.935,0.938,0.89,,0.885,,,0.916,0.894,,0.883,0.874
"Apr 05, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 04, 1993",0.936,0.95,0.914,0.949,0.832,0.916,0.865,0.955,0.913,0.974,0.916,1.054,0.979,0.981,1.034,0.864,0.89,0.895,0.884,0.858,,0.854,0.791,,0.866,0.889,,0.842,0.854
"Oct 18, 1993",0.947,0.956,0.917,0.958,0.827,0.916,0.874,0.952,0.92,0.981,0.924,1.055,0.981,0.996,1.038,0.873,0.896,0.898,0.894,0.893,,0.883,,,0.896,0.925,,0.865,0.888
"Nov 01, 1993",0.946,0.958,0.916,0.96,0.81,0.916,0.88,0.942,0.919,0.985,0.926,1.055,0.984,0.998,1.044,0.876,0.893,0.891,0.895,0.882,,0.87,0.827,,0.9,0.919,,0.862,0.871
"Nov 15, 1993",0.947,0.959,0.916,0.96,0.796,0.92,0.88,0.942,0.918,0.987,0.926,1.054,0.985,0.993,1.047,0.88,0.896,0.895,0.897,0.875,,0.86,,,0.893,0.905,,0.853,0.859
"Dec 06, 1993",0.938,0.953,0.905,0.947,0.789,0.903,0.874,0.945,0.921,0.985,0.924,1.052,0.968,0.986,1.047,0.879,0.89,0.889,0.891,0.85,,0.828,0.761,,0.872,0.889,,0.824,0.852
"Dec 20, 1993",0.926,0.943,0.892,0.946,0.765,0.887,0.864,0.925,0.906,0.975,0.924,1.053,0.954,0.978,1.039,0.867,0.875,0.87,0.88,0.83,,0.811,,,0.846,0.856,,0.795,0.827
"Jan 03, 1994",0.921,0.941,0.891,0.933,0.791,0.886,0.862,0.919,0.907,0.974,0.924,1.043,0.953,0.976,1.038,0.865,0.875,0.871,0.88,0.809,,0.798,0.667,,0.836,0.843,,0.785,0.818
"Jan 17, 1994",0.947,0.967,0.929,0.961,0.854,0.935,0.887,0.936,0.915,0.993,0.956,1.053,0.989,1.001,1.053,0.884,0.898,0.894,0.903,0.835,,0.821,,,0.845,0.852,,0.822,0.828
"Jan 31, 1994",0.966,0.988,0.95,0.978,0.865,0.959,0.926,0.956,0.93,1.014,0.975,1.071,1.014,1.021,1.065,0.922,0.927,0.918,0.939,0.84,,0.84,0.699,,0.875,0.859,,0.839,0.836
"Feb 07, 1994",0.987,1.01,0.971,0.99,0.909,0.979,0.953,0.975,0.963,1.038,0.984,1.084,1.036,1.046,1.088,0.947,0.937,0.932,0.942,0.856,,0.864,0.709,,0.895,0.863,,0.86,0.852
"Feb 14, 1994",0.994,1.019,0.984,1.008,0.918,0.991,0.968,0.98,0.972,1.045,0.977,1.091,1.039,1.055,1.093,0.959,0.936,0.93,0.942,0.859,,0.855,0.713,,0.894,0.87,,0.863,0.86
"Feb 21, 1994",0.988,1.013,0.973,1.006,0.898,0.971,0.968,0.971,0.973,1.042,0.97,1.082,1.022,1.059,1.094,0.949,0.929,0.928,0.931,0.848,,0.844,0.71,,0.886,0.86,,0.842,0.852
"Feb 28, 1994",0.987,1.009,0.969,1.006,0.893,0.963,0.96,0.97,0.973,1.039,0.963,1.072,1.02,1.055,1.09,0.945,0.927,0.926,0.929,0.854,,0.842,,,0.883,0.854,,0.839,0.848
"Mar 07, 1994",0.979,1.004,0.959,0.999,0.892,0.948,0.95,0.967,0.972,1.035,0.958,1.072,1.012,1.046,1.09,0.941,0.923,0.92,0.925,0.844,,0.843,0.706,,0.881,0.854,,0.841,0.844
"Mar 21, 1994",0.97,0.99,0.938,0.977,0.843,0.933,0.929,0.956,0.966,1.024,0.948,1.055,0.985,1.041,1.081,0.925,0.912,0.908,0.916,0.851,,0.839,,,0.873,0.858,,0.837,0.844
"Oct 03, 1994",0.902,0.912,0.849,0.878,0.732,0.872,0.796,0.866,0.879,0.96,0.825,0.994,0.946,0.919,1.049,0.797,0.885,0.891,0.879,0.826,,0.822,0.756,0.789,0.851,0.828,,0.816,0.828
"Oct 17, 1994",0.904,0.914,0.849,0.877,0.727,0.874,0.798,0.865,0.891,0.962,0.845,0.994,0.943,0.928,1.051,0.802,0.889,0.895,0.884,0.829,,0.825,,0.788,0.846,0.835,,0.817,0.829
"Nov 07, 1994",0.91,0.919,0.856,0.883,0.727,0.884,0.802,0.872,0.889,0.966,0.864,1.006,0.948,0.932,1.054,0.808,0.895,0.899,0.892,0.84,,0.831,0.777,0.821,0.854,0.864,,0.831,0.832
"Nov 21, 1994",0.913,0.923,0.862,0.89,0.748,0.885,0.814,0.876,0.887,0.97,0.871,1.018,0.953,0.933,1.055,0.817,0.895,0.899,0.891,0.839,,0.832,,0.817,0.852,0.86,,0.825,0.831
"Dec 05, 1994",0.915,0.926,0.864,0.894,0.747,0.885,0.82,0.876,0.888,0.975,0.875,1.034,0.971,0.934,1.068,0.816,0.895,0.899,0.891,0.834,,0.832,0.755,0.815,0.854,0.856,,0.819,0.83
"Dec 19, 1994",0.919,0.931,0.868,0.901,0.754,0.888,0.815,0.892,0.889,0.98,0.878,1.042,0.973,0.941,1.071,0.825,0.899,0.898,0.899,0.832,,0.829,,0.808,0.852,0.84,,0.819,0.827
"Jan 02, 1995",0.925,0.938,0.876,0.904,0.779,0.895,0.827,0.901,0.893,0.987,0.922,1.035,0.976,0.949,1.079,0.831,0.9,0.899,0.901,0.827,,0.829,0.758,0.808,0.852,0.838,,0.814,0.827
"Jan 16, 1995",0.928,0.941,0.88,0.912,0.774,0.897,0.838,0.9,0.894,0.991,0.916,1.04,0.984,0.947,1.083,0.838,0.899,0.892,0.905,0.831,,0.829,,0.804,0.853,0.839,,0.815,0.828
"Feb 06, 1995",0.928,0.941,0.879,0.915,0.765,0.897,0.839,0.899,0.89,0.992,0.912,1.043,0.986,0.952,1.086,0.834,0.9,0.892,0.907,0.825,,0.821,0.741,0.801,0.852,0.844,,0.81,0.824
"Feb 20, 1995",0.931,0.944,0.881,0.918,0.773,0.896,0.843,0.902,0.893,0.995,0.906,1.042,0.988,0.958,1.089,0.835,0.901,0.893,0.908,0.829,,0.821,,0.8,0.853,0.842,,0.811,0.826
"Mar 06, 1995",0.928,0.942,0.878,0.916,0.767,0.892,0.84,0.899,0.892,0.993,0.908,1.045,0.988,0.959,1.086,0.834,0.9,0.893,0.905,0.825,,0.827,0.745,0.798,0.852,0.837,,0.811,0.826
"Mar 20, 1995",0.923,0.936,0.871,0.919,0.751,0.884,0.833,0.893,0.886,0.987,0.908,1.046,0.986,0.951,1.082,0.825,0.897,0.893,0.902,0.826,,0.82,,0.797,0.852,0.844,,0.802,0.825
"Oct 02, 1995",0.899,0.909,0.85,0.867,0.758,0.869,0.8,0.882,0.866,0.955,0.838,1.016,0.963,0.921,1.051,0.785,0.884,0.886,0.882,0.825,,0.819,0.775,0.772,0.854,0.847,,0.793,0.829
"Oct 16, 1995",0.902,0.912,0.852,0.867,0.748,0.881,0.799,0.877,0.864,0.959,0.841,1.022,0.965,0.919,1.057,0.789,0.881,0.885,0.877,0.825,,0.818,0.772,0.774,0.86,0.845,,0.791,0.831
"Nov 06, 1995",0.908,0.919,0.856,0.871,0.751,0.884,0.801,0.885,0.877,0.968,0.844,1.024,0.966,0.927,1.068,0.798,0.885,0.89,0.881,0.83,,0.83,0.769,0.783,0.861,0.844,,0.808,0.832
"Nov 20, 1995",0.919,0.929,0.874,0.891,0.788,0.897,0.822,0.896,0.876,0.975,0.853,1.025,0.974,0.934,1.072,0.808,0.885,0.89,0.88,0.838,,0.84,0.768,0.802,0.864,0.849,,0.823,0.836
"Dec 04, 1995",0.931,0.943,0.889,0.909,0.827,0.903,0.849,0.906,0.89,0.99,0.876,1.048,0.978,0.951,1.086,0.823,0.889,0.891,0.888,0.843,,0.847,0.771,0.811,0.876,0.852,,0.825,0.843
"Dec 18, 1995",0.964,0.978,0.936,0.948,0.874,0.952,0.91,0.95,0.933,1.02,0.925,1.078,1.003,0.984,1.113,0.864,0.901,0.911,0.892,0.855,,0.861,0.781,0.832,0.879,0.855,,0.85,0.854
"Jan 01, 1996",0.999,1.018,0.977,0.987,0.922,0.997,0.949,0.97,0.971,1.058,0.997,1.116,1.037,1.023,1.155,0.895,0.935,0.931,0.939,0.861,,0.87,0.789,0.841,0.881,0.867,,0.851,0.86
"Jan 15, 1996",1.022,1.043,0.997,1.017,0.937,1.011,0.985,0.986,0.976,1.089,1.033,1.136,1.068,1.061,1.18,0.93,0.95,0.933,0.965,0.866,,0.88,0.792,0.851,0.893,0.872,,0.863,0.853
"Feb 05, 1996",1.012,1.031,0.983,1.009,0.914,0.993,0.977,0.972,0.972,1.077,1,1.137,1.056,1.057,1.165,0.92,0.951,0.936,0.964,0.868,,0.877,0.788,0.851,0.893,0.877,,0.862,0.859
"Feb 19, 1996",1.037,1.058,1.014,1.032,0.944,1.031,0.993,1.021,0.998,1.103,1.014,1.176,1.078,1.084,1.191,0.948,0.96,0.946,0.973,0.882,,0.898,0.789,0.872,0.912,0.876,,0.882,0.87
"Mar 04, 1996",1.049,1.068,1.024,1.056,0.954,1.033,0.998,1.033,1.017,1.114,1.041,1.178,1.085,1.098,1.203,0.956,0.964,0.947,0.98,0.903,,0.914,0.818,0.895,0.934,0.892,,0.919,0.88
"Mar 18, 1996",1.052,1.072,1.038,1.054,0.945,1.069,0.999,1.031,1.017,1.111,1.042,1.174,1.105,1.094,1.2,0.948,0.966,0.947,0.983,0.902,,0.919,0.813,0.886,0.932,0.892,,0.911,0.885
"Oct 07, 1996",1.105,1.12,1.089,1.073,1.015,1.129,1.061,1.067,1.088,1.155,1.1,1.209,1.119,1.125,1.255,0.983,1.031,1.027,1.034,0.993,,1.014,0.957,0.983,1.011,0.988,,1,0.975
"Oct 21, 1996",1.131,1.145,1.103,1.107,1.037,1.128,1.081,1.087,1.095,1.187,1.127,1.267,1.137,1.154,1.291,1.015,1.058,1.043,1.071,1.021,,1.031,0.991,1.006,1.036,1.038,,1.026,0.996
"Oct 28, 1996",1.133,1.147,1.104,1.107,1.037,1.13,1.083,1.089,1.095,1.19,1.129,1.269,1.137,1.156,1.289,1.027,1.059,1.044,1.072,1.024,,1.032,0.982,1,1.031,1.049,,1.029,1.006
"Nov 04, 1996",1.126,1.14,1.097,1.107,1.028,1.118,1.075,1.089,1.096,1.181,1.119,1.272,1.141,1.143,1.276,1.028,1.055,1.04,1.068,1.026,,1.033,0.984,1.001,1.039,1.049,,1.029,1.007
"Nov 11, 1996",1.124,1.137,1.096,1.11,1.023,1.116,1.074,1.084,1.092,1.178,1.126,1.271,1.142,1.143,1.272,1.021,1.056,1.041,1.069,1.025,,1.04,0.986,0.999,1.03,1.055,,1.022,1.007
"Nov 18, 1996",1.135,1.147,1.109,1.118,1.037,1.133,1.081,1.106,1.102,1.186,1.13,1.29,1.153,1.163,1.275,1.029,1.063,1.048,1.074,1.042,,1.061,1.003,1.005,1.058,1.06,,1.026,1.037
"Nov 25, 1996",1.143,1.155,1.119,1.135,1.046,1.144,1.085,1.111,1.101,1.193,1.146,1.297,1.171,1.166,1.282,1.038,1.065,1.05,1.078,1.054,,1.072,1.004,1.011,1.069,1.071,,1.053,1.04
"Dec 02, 1996",1.145,1.157,1.123,1.139,1.043,1.149,1.093,1.111,1.111,1.192,1.145,1.297,1.177,1.158,1.282,1.038,1.071,1.062,1.079,1.06,,1.069,0.993,1.01,1.084,1.068,,1.055,1.053
"Dec 09, 1996",1.156,1.169,1.13,1.162,1.049,1.144,1.103,1.127,1.115,1.21,1.152,1.303,1.183,1.177,1.302,1.052,1.078,1.069,1.086,1.059,,1.065,0.991,1.014,1.081,1.067,,1.054,1.055
"Dec 16, 1996",1.155,1.17,1.138,1.163,1.055,1.163,1.104,1.122,1.117,1.205,1.149,1.299,1.187,1.167,1.295,1.054,1.083,1.072,1.092,1.045,,1.049,0.976,0.992,1.073,1.063,,1.039,1.029
"Dec 23, 1996",1.162,1.178,1.142,1.169,1.062,1.16,1.111,1.135,1.134,1.216,1.156,1.323,1.191,1.179,1.306,1.068,1.083,1.072,1.092,1.04,,1.052,0.963,1,1.073,1.056,,1.034,1.02
"Dec 30, 1996",1.159,1.175,1.142,1.169,1.062,1.16,1.11,1.132,1.135,1.212,1.154,1.319,1.192,1.176,1.299,1.066,1.084,1.073,1.094,1.036,,1.048,0.96,0.991,1.068,1.049,,1.029,1.02
"Jan 06, 1997",1.159,1.176,1.143,1.169,1.066,1.161,1.11,1.136,1.139,1.212,1.156,1.324,1.206,1.18,1.296,1.066,1.086,1.074,1.095,1.031,,1.048,0.95,0.993,1.069,1.045,,1.023,1.011
"Jan 13, 1997",1.163,1.18,1.146,1.183,1.066,1.159,1.116,1.142,1.14,1.218,1.156,1.337,1.216,1.182,1.303,1.072,1.08,1.078,1.082,1.035,,1.05,0.961,0.996,1.067,1.047,,1.027,1.021
"Jan 20, 1997",1.16,1.177,1.144,1.183,1.064,1.156,1.114,1.133,1.139,1.214,1.152,1.335,1.215,1.181,1.297,1.07,1.08,1.076,1.083,1.031,,1.042,0.957,0.994,1.067,1.043,,1.022,1.016
"Jan 27, 1997",1.156,1.173,1.135,1.182,1.057,1.143,1.108,1.113,1.137,1.213,1.152,1.33,1.213,1.178,1.298,1.065,1.076,1.074,1.077,1.029,,1.042,0.935,0.989,1.067,1.038,,1.023,1.014
"Feb 03, 1997",1.154,1.171,1.136,1.182,1.056,1.144,1.112,1.116,1.135,1.209,1.152,1.332,1.213,1.173,1.291,1.064,1.078,1.078,1.078,1.029,,1.041,0.93,0.991,1.066,1.043,,1.019,1.015
"Feb 17, 1997",1.14,1.156,1.113,1.162,1.032,1.114,1.098,1.098,1.127,1.198,1.142,1.326,1.205,1.167,1.274,1.061,1.07,1.071,1.07,1.023,,1.038,0.927,0.985,1.064,1.028,,1.012,1.012
"Mar 03, 1997",1.114,1.129,1.074,1.129,0.993,1.069,1.07,1.057,1.11,1.179,1.123,1.286,1.178,1.13,1.268,1.028,1.044,1.051,1.038,1.007,,1.017,0.895,0.953,1.048,1.014,,1.007,0.992
"Mar 17, 1997",1.093,1.107,1.054,1.109,0.949,1.053,1.057,1.044,1.075,1.156,1.114,1.252,1.173,1.108,1.238,1.011,1.032,1.043,1.022,0.984,,0.989,0.849,0.93,1.034,0.991,,0.976,0.972
"Oct 06, 1997",0.983,0.994,0.951,0.952,0.9,0.968,0.93,0.956,0.969,1.031,0.97,1.133,1.034,0.976,1.133,0.873,0.946,0.968,0.927,0.9,,0.918,0.826,0.87,0.915,0.916,,0.886,0.897
"Oct 20, 1997",0.987,0.997,0.955,0.965,0.91,0.965,0.937,0.959,0.974,1.036,0.976,1.133,1.039,0.976,1.141,0.875,0.947,0.967,0.93,0.907,,0.923,0.839,0.874,0.919,0.931,,0.892,0.906
