Level,Parameter,Option,Saturation
1,County and PUMA,"G0400130, G04000115",0.000342627
1,County and PUMA,"G0400130, G04000116",0.000385237
1,County and PUMA,"G0400130, G04000117",0.000378761
1,County and PUMA,"G0400130, G04000118",0.000371332
1,County and PUMA,"G0400130, G04000119",0.000256455
1,County and PUMA,"G0400130, G04000120",0.000325776
1,County and PUMA,"G0400130, G04000121",0.000307225
1,County and PUMA,"G0400130, G04000122",0.000247801
1,County and PUMA,"G0400130, G04000123",0.000260042
1,County and PUMA,"G0400130, G04000124",0.000289322
1,County and PUMA,"G0400130, G04000125",0.000303861
1,County and PUMA,"G0400130, G04000126",0.000379762
1,County and PUMA,"G0400130, G04000127",0.000337853
1,County and PUMA,"G0400130, G04000128",0.000312885
1,County and PUMA,"G0400130, G04000129",0.000338017
1,County and PUMA,"G0400130, G04000130",0.000527605
1,County and PUMA,"G0400130, G04000131",0.000364595
1,County and PUMA,"G0400130, G04000132",0.000303442
1,County and PUMA,"G0400130, G04000133",0.000284733
1,County and PUMA,"G0400130, G04000134",0.000341523
1,County and PUMA,"G0400150, G04000600",0.000840079
1,County and PUMA,"G0400170, G04000300",0.000429331
1,County and PUMA,"G0400190, G04000201",0.000320107
1,County and PUMA,"G0400190, G04000202",0.000390951
1,County and PUMA,"G0400190, G04000203",0.000379142
1,County and PUMA,"G0400190, G04000204",0.000405401
1,County and PUMA,"G0400190, G04000205",0.000404811
1,County and PUMA,"G0400190, G04000206",0.000417075
1,County and PUMA,"G0400190, G04000207",0.000369573
1,County and PUMA,"G0400190, G04000208",0.000286583
1,County and PUMA,"G0400190, G04000209",0.000389361
1,County and PUMA,"G0400210, G04000800",3.97e-05
1,County and PUMA,"G0400210, G04000803",0.000469851
1,County and PUMA,"G0400210, G04000805",0.000336011
1,County and PUMA,"G0400210, G04000807",0.000396127
1,County and PUMA,"G0400230, G04000900",0.000135205
1,County and PUMA,"G0400250, G04000500",0.00084185
1,County and PUMA,"G0400270, G04000700",0.000671895
1,County and PUMA,"G0500010, G05001700",4.00358e-05
1,County and PUMA,"G0500010, G05001800",3.03905e-05
1,County and PUMA,"G0500030, G05001800",7.53496e-05
1,County and PUMA,"G0500050, G05000300",0.000168498
1,County and PUMA,"G0500070, G05000100",0.000731243
1,County and PUMA,"G0500090, G05000300",0.000126127
1,County and PUMA,"G0500110, G05001800",4.34075e-05
1,County and PUMA,"G0500130, G05001900",2.15433e-05
1,County and PUMA,"G0500150, G05000300",0.000101309
1,County and PUMA,"G0500170, G05001800",4.03342e-05
1,County and PUMA,"G0500190, G05001600",7.76173e-05
1,County and PUMA,"G0500210, G05000500",5.99679e-05
1,County and PUMA,"G0500230, G05000400",0.000118265
1,County and PUMA,"G0500250, G05001800",3.02711e-05
1,County and PUMA,"G0500270, G05001900",8.63675e-05
1,County and PUMA,"G0500290, G05001300",7.26044e-05
1,County and PUMA,"G0500310, G05000500",0.000291156
1,County and PUMA,"G0500310, G05000600",3.1681e-05
1,County and PUMA,"G0500330, G05001400",0.000197157
1,County and PUMA,"G0500350, G05000600",0.000161179
1,County and PUMA,"G0500370, G05000700",5.88042e-05
1,County and PUMA,"G0500390, G05001900",3.19644e-05
1,County and PUMA,"G0500410, G05001800",4.68688e-05
1,County and PUMA,"G0500430, G05001800",6.32501e-05
1,County and PUMA,"G0500450, G05001100",0.000363679
1,County and PUMA,"G0500470, G05001500",5.9856e-05
1,County and PUMA,"G0500490, G05000400",5.03225e-05
1,County and PUMA,"G0500510, G05001600",0.000376934
1,County and PUMA,"G0500530, G05001700",5.84834e-05
1,County and PUMA,"G0500550, G05000500",0.000137846
1,County and PUMA,"G0500570, G05002000",7.78039e-05
1,County and PUMA,"G0500590, G05001600",0.000106904
1,County and PUMA,"G0500610, G05001500",4.64734e-05
1,County and PUMA,"G0500630, G05000400",0.00012139
1,County and PUMA,"G0500650, G05000400",5.37988e-05
1,County and PUMA,"G0500670, G05000800",5.66782e-05
1,County and PUMA,"G0500690, G05001700",0.000247711
1,County and PUMA,"G0500710, G05001300",8.46667e-05
1,County and PUMA,"G0500730, G05002000",3.23897e-05
1,County and PUMA,"G0500750, G05000500",5.94456e-05
1,County and PUMA,"G0500770, G05000700",3.25463e-05
1,County and PUMA,"G0500790, G05001800",3.61941e-05
1,County and PUMA,"G0500810, G05002000",4.81071e-05
1,County and PUMA,"G0500830, G05001500",7.55585e-05
1,County and PUMA,"G0500850, G05001100",0.000212994
1,County and PUMA,"G0500870, G05000300",5.58129e-05
1,County and PUMA,"G0500890, G05000300",6.96952e-05
1,County and PUMA,"G0500910, G05002000",0.000144694
1,County and PUMA,"G0500930, G05000600",0.000152885
1,County and PUMA,"G0500950, G05000700",3.31281e-05
1,County and PUMA,"G0500970, G05001600",4.28183e-05
1,County and PUMA,"G0500990, G05002000",3.38816e-05
1,County and PUMA,"G0501010, G05000300",3.48365e-05
1,County and PUMA,"G0501030, G05001900",9.7445e-05
1,County and PUMA,"G0501050, G05001300",3.66043e-05
1,County and PUMA,"G0501070, G05000700",7.57598e-05
1,County and PUMA,"G0501090, G05002000",4.15649e-05
1,County and PUMA,"G0501110, G05000700",8.15037e-05
1,County and PUMA,"G0501130, G05001500",7.48349e-05
1,County and PUMA,"G0501150, G05001300",0.000192958
1,County and PUMA,"G0501170, G05000800",3.35459e-05
1,County and PUMA,"G0501190, G05000900",0.000681317
1,County and PUMA,"G0501190, G05001000",0.000670605
1,County and PUMA,"G0501210, G05000500",6.36827e-05
1,County and PUMA,"G0501230, G05000700",8.1295e-05
1,County and PUMA,"G0501250, G05001200",0.00034911
1,County and PUMA,"G0501270, G05001500",3.86483e-05
1,County and PUMA,"G0501290, G05000300",3.65819e-05
1,County and PUMA,"G0501310, G05001400",0.000418149
1,County and PUMA,"G0501330, G05001500",5.12774e-05
1,County and PUMA,"G0501350, G05000400",7.32983e-05
1,County and PUMA,"G0501370, G05000400",5.04196e-05
1,County and PUMA,"G0501390, G05001900",0.000146864
1,County and PUMA,"G0501410, G05000400",7.71474e-05
1,County and PUMA,"G0501430, G05000200",0.00067185
1,County and PUMA,"G0501450, G05000800",0.000247197
1,County and PUMA,"G0501470, G05000800",2.9003e-05
1,County and PUMA,"G0501490, G05001300",7.26716e-05
1,County and PUMA,"G0600010, G06000101",0.00042801
1,County and PUMA,"G0600010, G06000102",0.000581984
1,County and PUMA,"G0600010, G06000103",0.000428307
1,County and PUMA,"G0600010, G06000104",0.000327259
1,County and PUMA,"G0600010, G06000105",0.000499412
1,County and PUMA,"G0600010, G06000106",0.00037095
1,County and PUMA,"G0600010, G06000107",0.00035683
1,County and PUMA,"G0600010, G06000108",0.000324455
1,County and PUMA,"G0600010, G06000109",0.000504305
1,County and PUMA,"G0600010, G06000110",0.000600505
1,County and PUMA,"G0600030, G06000300",1.3211e-05
1,County and PUMA,"G0600050, G06000300",0.000135787
1,County and PUMA,"G0600070, G06000701",0.000375211
1,County and PUMA,"G0600070, G06000702",0.000352198
1,County and PUMA,"G0600090, G06000300",0.000209645
1,County and PUMA,"G0600110, G06001100",5.92219e-05
1,County and PUMA,"G0600130, G06001301",0.000313042
1,County and PUMA,"G0600130, G06001302",0.000350856
1,County and PUMA,"G0600130, G06001303",0.00039433
1,County and PUMA,"G0600130, G06001304",0.00039198
1,County and PUMA,"G0600130, G06001305",0.00034306
1,County and PUMA,"G0600130, G06001306",0.000355853
1,County and PUMA,"G0600130, G06001307",0.000319002
1,County and PUMA,"G0600130, G06001308",0.000279959
1,County and PUMA,"G0600130, G06001309",0.000286508
1,County and PUMA,"G0600150, G06001500",8.44876e-05
1,County and PUMA,"G0600170, G06001700",0.000663025
1,County and PUMA,"G0600190, G06001901",0.000310999
1,County and PUMA,"G0600190, G06001902",0.000530117
1,County and PUMA,"G0600190, G06001903",0.000262474
1,County and PUMA,"G0600190, G06001904",0.000434187
1,County and PUMA,"G0600190, G06001905",0.000240722
1,County and PUMA,"G0600190, G06001906",0.000295355
1,County and PUMA,"G0600190, G06001907",0.000341994
1,County and PUMA,"G0600210, G06001100",8.13471e-05
1,County and PUMA,"G0600230, G06002300",0.000465375
1,County and PUMA,"G0600250, G06002500",0.000424497
1,County and PUMA,"G0600270, G06000300",7.09632e-05
1,County and PUMA,"G0600290, G06002901",0.000410331
1,County and PUMA,"G0600290, G06002902",0.000538666
1,County and PUMA,"G0600290, G06002903",0.000398947
1,County and PUMA,"G0600290, G06002904",0.000235149
1,County and PUMA,"G0600290, G06002905",0.000589832
1,County and PUMA,"G0600310, G06003100",0.000335332
1,County and PUMA,"G0600330, G06003300",0.000265808
1,County and PUMA,"G0600350, G06001500",9.4931e-05
1,County and PUMA,"G0600370, G06003701",0.000330446
1,County and PUMA,"G0600370, G06003702",0.00049581
1,County and PUMA,"G0600370, G06003703",0.000418589
1,County and PUMA,"G0600370, G06003704",0.000382521
1,County and PUMA,"G0600370, G06003705",0.000459423
1,County and PUMA,"G0600370, G06003706",0.000317101
1,County and PUMA,"G0600370, G06003707",0.000268531
1,County and PUMA,"G0600370, G06003708",0.000321009
1,County and PUMA,"G0600370, G06003709",0.000312453
1,County and PUMA,"G0600370, G06003710",0.00036276
1,County and PUMA,"G0600370, G06003711",0.00043855
1,County and PUMA,"G0600370, G06003712",0.000297392
1,County and PUMA,"G0600370, G06003713",0.000258796
1,County and PUMA,"G0600370, G06003714",0.000266614
1,County and PUMA,"G0600370, G06003715",0.000250023
1,County and PUMA,"G0600370, G06003716",0.000195957
1,County and PUMA,"G0600370, G06003717",0.000510446
1,County and PUMA,"G0600370, G06003718",0.000440736
1,County and PUMA,"G0600370, G06003719",0.000566244
1,County and PUMA,"G0600370, G06003720",0.000378881
1,County and PUMA,"G0600370, G06003721",0.000417178
1,County and PUMA,"G0600370, G06003722",0.000461228
1,County and PUMA,"G0600370, G06003723",0.000300913
1,County and PUMA,"G0600370, G06003724",0.000474834
1,County and PUMA,"G0600370, G06003725",0.000498019
1,County and PUMA,"G0600370, G06003726",0.000309148
1,County and PUMA,"G0600370, G06003727",0.000573375
1,County and PUMA,"G0600370, G06003728",0.000435156
1,County and PUMA,"G0600370, G06003729",0.000703397
1,County and PUMA,"G0600370, G06003730",0.00058828
1,County and PUMA,"G0600370, G06003731",0.000487179
1,County and PUMA,"G0600370, G06003732",0.000642347
1,County and PUMA,"G0600370, G06003733",0.000359247
1,County and PUMA,"G0600370, G06003734",0.000591749
1,County and PUMA,"G0600370, G06003735",0.000483278
1,County and PUMA,"G0600370, G06003736",0.000329424
1,County and PUMA,"G0600370, G06003737",0.000304509
1,County and PUMA,"G0600370, G06003738",0.000275163
1,County and PUMA,"G0600370, G06003739",0.00040308
1,County and PUMA,"G0600370, G06003740",0.000296557
1,County and PUMA,"G0600370, G06003741",0.000266577
1,County and PUMA,"G0600370, G06003742",0.000244929
1,County and PUMA,"G0600370, G06003743",0.00024137
1,County and PUMA,"G0600370, G06003744",0.000476654
1,County and PUMA,"G0600370, G06003745",0.000218544
1,County and PUMA,"G0600370, G06003746",0.00025168
1,County and PUMA,"G0600370, G06003747",0.000479406
1,County and PUMA,"G0600370, G06003748",0.000650448
1,County and PUMA,"G0600370, G06003749",0.000293596
1,County and PUMA,"G0600370, G06003750",0.000414784
1,County and PUMA,"G0600370, G06003751",0.000297638
1,County and PUMA,"G0600370, G06003752",0.000309522
1,County and PUMA,"G0600370, G06003753",0.000252619
1,County and PUMA,"G0600370, G06003754",0.000304285
1,County and PUMA,"G0600370, G06003755",0.00024707
1,County and PUMA,"G0600370, G06003756",0.000264495
1,County and PUMA,"G0600370, G06003757",0.000309455
1,County and PUMA,"G0600370, G06003758",0.000395747
1,County and PUMA,"G0600370, G06003759",0.000283682
1,County and PUMA,"G0600370, G06003760",0.000470261
1,County and PUMA,"G0600370, G06003761",0.000371869
1,County and PUMA,"G0600370, G06003762",0.000250583
1,County and PUMA,"G0600370, G06003763",0.000343821
1,County and PUMA,"G0600370, G06003764",0.000387907
1,County and PUMA,"G0600370, G06003765",0.000418223
1,County and PUMA,"G0600370, G06003766",0.000270456
1,County and PUMA,"G0600370, G06003767",0.000470694
1,County and PUMA,"G0600370, G06003768",0.000346462
1,County and PUMA,"G0600370, G06003769",0.000295796
1,County and PUMA,"G0600390, G06003900",0.000371817
1,County and PUMA,"G0600410, G06004101",0.000359134
1,County and PUMA,"G0600410, G06004102",0.000478272
1,County and PUMA,"G0600430, G06000300",7.70876e-05
1,County and PUMA,"G0600450, G06003300",0.000303569
1,County and PUMA,"G0600470, G06004701",0.000249673
1,County and PUMA,"G0600470, G06004702",0.000377979
1,County and PUMA,"G0600490, G06001500",3.91033e-05
1,County and PUMA,"G0600510, G06000300",0.000104435
1,County and PUMA,"G0600530, G06005301",0.000562543
1,County and PUMA,"G0600530, G06005302",0.000346043
1,County and PUMA,"G0600530, G06005303",0.000137018
1,County and PUMA,"G0600550, G06005500",0.000412522
1,County and PUMA,"G0600570, G06005700",0.00039677
1,County and PUMA,"G0600590, G06005901",0.000585855
1,County and PUMA,"G0600590, G06005902",0.000292961
1,County and PUMA,"G0600590, G06005903",0.000729125
1,County and PUMA,"G0600590, G06005904",0.000650649
1,County and PUMA,"G0600590, G06005905",0.00054391
1,County and PUMA,"G0600590, G06005906",0.000465882
1,County and PUMA,"G0600590, G06005907",0.000485896
1,County and PUMA,"G0600590, G06005908",0.000476088
1,County and PUMA,"G0600590, G06005909",0.000327134
1,County and PUMA,"G0600590, G06005910",0.000436499
1,County and PUMA,"G0600590, G06005911",0.000342187
1,County and PUMA,"G0600590, G06005912",0.000399373
1,County and PUMA,"G0600590, G06005913",0.000328588
1,County and PUMA,"G0600590, G06005914",0.000585729
1,County and PUMA,"G0600590, G06005915",0.000270612
1,County and PUMA,"G0600590, G06005916",0.000261422
1,County and PUMA,"G0600590, G06005917",0.000298593
1,County and PUMA,"G0600590, G06005918",0.0005171
1,County and PUMA,"G0600610, G06006101",0.000385498
1,County and PUMA,"G0600610, G06006102",0.000340173
1,County and PUMA,"G0600610, G06006103",0.000452112
1,County and PUMA,"G0600630, G06001500",0.000117064
1,County and PUMA,"G0600650, G06006501",0.000516705
1,County and PUMA,"G0600650, G06006502",0.000649218
1,County and PUMA,"G0600650, G06006503",0.000333593
1,County and PUMA,"G0600650, G06006504",0.000314549
1,County and PUMA,"G0600650, G06006505",0.000472842
1,County and PUMA,"G0600650, G06006506",0.00043265
1,County and PUMA,"G0600650, G06006507",0.000409122
1,County and PUMA,"G0600650, G06006508",0.000385565
1,County and PUMA,"G0600650, G06006509",0.000247622
1,County and PUMA,"G0600650, G06006510",0.000359568
1,County and PUMA,"G0600650, G06006511",0.000389198
1,County and PUMA,"G0600650, G06006512",0.00024149
1,County and PUMA,"G0600650, G06006513",0.000351094
1,County and PUMA,"G0600650, G06006514",0.000311662
1,County and PUMA,"G0600650, G06006515",0.000704239
1,County and PUMA,"G0600670, G06006701",0.000332371
1,County and PUMA,"G0600670, G06006702",0.000331915
1,County and PUMA,"G0600670, G06006703",0.0003679
1,County and PUMA,"G0600670, G06006704",0.000385013
1,County and PUMA,"G0600670, G06006705",0.000312394
1,County and PUMA,"G0600670, G06006706",0.000286717
1,County and PUMA,"G0600670, G06006707",0.000455916
1,County and PUMA,"G0600670, G06006708",0.000372205
1,County and PUMA,"G0600670, G06006709",0.000378165
1,County and PUMA,"G0600670, G06006710",0.000380082
1,County and PUMA,"G0600670, G06006711",0.000273305
1,County and PUMA,"G0600670, G06006712",0.00031634
1,County and PUMA,"G0600690, G06005303",0.00013531
1,County and PUMA,"G0600710, G06007101",0.000501831
1,County and PUMA,"G0600710, G06007102",0.000372712
1,County and PUMA,"G0600710, G06007103",0.000425549
1,County and PUMA,"G0600710, G06007104",0.000555383
1,County and PUMA,"G0600710, G06007105",0.000388892
1,County and PUMA,"G0600710, G06007106",0.000262138
1,County and PUMA,"G0600710, G06007107",0.00024754
1,County and PUMA,"G0600710, G06007108",0.000364991
