Parameter,Number of options,Number of dependencies,Created by,Description,Source,Assumption
Cooling Setpoint,12.0,4.0,sources\recs\recs2020\tsv_maker.py,Baseline cooling setpoint with no offset applied.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only, 2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK, 4) Owner and Renter are is lumped together which at this point only modifies AK distributions.Vacant units (for which Tenure = 'Not Available') are assumed to follow the same distribution as occupied  units; Cooling setpoint arguments need to be assigned. A cooling setpoint of None corresponds to 95 F, but is not used by OpenStudio-HPXML. No cooling energy is expected."
Cooling Setpoint Has Offset,2.0,2.0,sources\recs\recs2020\tsv_maker.py,Presence of a cooling setpoint offset.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK"
Cooling Setpoint Offset Magnitude,4.0,3.0,sources\recs\recs2020\tsv_maker.py,The magnitude of cooling setpoint offset.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B and separately 7AK and 8AK regions"
Cooling Setpoint Offset Period,56.0,3.0,sources\recs\recs2020\tsv_maker.py,The period and offset for the dwelling unit's cooling setpoint. Default for the day is from 9am to 5pm and for the night is 10pm to 7am.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions and separately 7AK and 8AK 3) lumping all building types together and lumping climate zones within A/B regions and separately 7AK and 8AK"
Cooling Unavailable Days,9.0,3.0,sources\recs\recs2020\tsv_maker.py,Number of days in a year the cooling system is unavailable.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,
Corridor,5.0,1.0,manually created,Type of corridor attached to multi-family units.,Engineering Judgment,
County,3142.0,1.0,sources\spatial\tsv_maker.py,The U.S. County that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
County Metro Status,2.0,1.0,sources\spatial\tsv_maker.py,"The Metro Status of the county that the sample is located, based on MSA and MicroSA.","Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.; County-MSA crosswalk comes from the Quarterly Census of Employment and Wages NAICS-based data between 2013-2022 by the U.S. Bureau of Labor Statistics (https://www.bls.gov/cew/classifications/areas/county-msa-csa-crosswalk.htm)",
County and PUMA,4545.0,1.0,sources\spatial\tsv_maker.py,The GISJOIN identifier for the County and the Public Use Microdata Area that the sample is located.,"Spatial definitions are from the U.S. Census Bureau as of July 1, 2015.; Unit counts are from the American Community Survey 5-yr 2016.",
Custom State,2.0,1.0,sources\aris\tsv_maker.py,A custom selection of states to be able to have more fine tuned probability distributionin states where we have more data,,
Dehumidifier,1.0,0.0,manually created,"Presence, water removal rate, and humidity setpoint of the dehumidifier.",Not applicable (dehumidifiers are not explicitly modeled separate from plug loads),
Dishwasher,4.0,5.0,sources\recs\recs2020\tsv_maker.py,The presence and rated efficiency of the dishwasher.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"The 2020 recs survey does not contain EnergyStar rating of dishwashers.Energystar efficiency distributions with [Geometry Building Type,Census Division RECS,Federal Poverty Level, Tenure] as dependencies are imported from RECS 2009Due to low sample count, the tsv is constructed with the followingfallback coarsening order; [1] State coarsened to Census Division RECS with AK/HI separate; [2] Geometry Building Type RECS coarsened to SF/MF/MH; [3] Geometry Building Type RECS coarsened to SF and MH/MF; [4] Federal Poverty Level coarsened every 100 percent; [5] Federal Poverty Level coarsened every 200 percent; [6] Vintage coarsened to every 20 years before 2000 and every 10 years subsequently; [7] Vintage homes built before 1960 coarsened to pre1960; [8] Vintage homes built after 2000 coarsened to 2000-20; [9] Census Division RECS with AK/HI separate coarsened to Census Division RECS; [10] Census Division RECS to Census Region"
Dishwasher Usage Level,3.0,1.0,sources\other\tsv_maker.py,Dishwasher energy usage level multiplier.,n/a,Engineering judgement
Door Area,1.0,0.0,manually created,Area of exterior doors,Engineering Judgement,
Doors,1.0,0.0,manually created,Exterior door material and properties.,Engineering Judgement,
Duct Leakage and Insulation,14.0,2.0,sources\other\tsv_maker.py,Duct insulation and leakage to outside from the portion of ducts in unconditioned spaces,"Duct insulation as a function of location: IECC 2009; Leakage distribution: Lucas and Cole, 'Impacts of the 2009 IECC for Residential Buildings at State Level', 2009","Ducts entirely in conditioned spaces will not have any leakage to outside. Ducts with R-4/R-8 insulation were previously assigned to Geometry Foundation Type = Ambient or Slab. They now correspond to those with Duct Location = Garage, Unvented Attic, or Vented Attic."
Duct Location,7.0,2.0,sources\other\tsv_maker.py,Location of Duct System,"OpenStudio-HPXML v1.6.0 and Wilson et al., 'Building America House Simulation Protocols', 2014","Based on default duct location assignment in OpenStudio-HPXML: the first present space type in the order of: basement - conditioned, basement - unconditioned, crawlspace - conditioned, crawlspace - vented, crawlspace - unvented, attic - vented, attic - unvented, garage, or living space"
Eaves,1.0,0.0,manually created,Depth of roof eaves.,Wilson et al. 'Building America House Simulation Protocols' 2014,
Electric Vehicle,3.0,0.0,manually created,Electric vehicle usage and efficiency (not used in project_national).,Not applicable (electric vehicle charging is not currently modeled separate from plug loads),
Energystar Climate Zone 2023,5.0,2.0,sources\spatial\tsv_maker.py,"Climate zones for windows, doors, and skylights per EnergyStar guidelines as of 2023.","Area definition approximated based on published map retrieved May 2023 from: https://www.energystar.gov/products/residential_windows_doors_and_skylights/key_product_criteria.; by Brian Booher of D+R International, a support contractor for the ENERGY STAR windows, doors, and skylights program.",EnergyStar Climate Zones assigned based on CEC Climate Zone for CA and based on County everywhere else.
Federal Poverty Level,7.0,2.0,sources\pums\pums2019_5yrs\tsv_maker.py,Federal poverty level of the household occupying the dwelling unit.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.","% Federal Poverty Level is calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 Federal Poverty Lines for contiguous US, where the FPL threshold for 1-occupant household is $12490 and $4420 for every additional person in the household."
Generation And Emissions Assessment Region,21.0,1.0,sources\spatial\tsv_maker.py,The generation and carbon emissions assessment region that the sample is located.,"Pieter Gagnon, Will Frazier, Wesley Cole, and Elaine Hale. 2021. Cambium Documentation: Version 2021. Golden, CO.: National Renewable Energy Laboratory. NREL/TP-6A40-81611. https://www.nrel.gov/docs/fy22osti/81611.pdf",
Geometry Attic Type,4.0,4.0,sources\recs\recs2020\tsv_maker.py,The dwelling unit attic type.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,Multi-Family building types and Mobile Homes have Flat Roof (None) only.; 1-story Single-Family building types cannot have Finished Attic/Cathedral Ceiling because that attic type is modeled as a new story and 1-story does not a second story. 4+story Single-Family and mobile homes are an impossible combination.
Geometry Building Horizontal Location MF,5.0,2.0,sources\recs\recs2009\tsv_maker.py,"Location of the single-family attached unit horizontally within the building (left, middle, right).",Calculated directly from other distributions,All values are calculated assuming the building has double-loaded corridors (with some exceptions like 3 units in single-story building).
Geometry Building Horizontal Location SFA,4.0,1.0,manually created,"Location of the single-family attached unit horizontally within the building (left, middle, right).",Calculated directly from other distributions,
Geometry Building Level MF,4.0,2.0,sources\recs\recs2009\tsv_maker.py,"Location of the multi-family unit vertically within the building (bottom, middle, top).",Calculated directly from other distributions,"Calculated using the number of stories, where buildings >=2 stories have Top and Bottom probabilities = 1/Geometry Stories, and Middle probabilities = 1 - 2/Geometry stories"
Geometry Building Number Units MF,28.0,2.0,sources\recs\recs2009\tsv_maker.py,The number of dwelling units in the multi-family building.,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"Uses NUMAPTS field in RECS; RECS does not report NUMAPTS for Multifamily 2-4 units, so assumptions are made based on the number of stories; Data was sampled from the following bins of Geometry Stories: 1, 2, 3, 4-7, 8+"
Geometry Building Number Units SFA,21.0,1.0,manually created,Number of units in the single-family attached building.,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Geometry Building Type ACS,9.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,The building type classification according to the U.S. Census American Communicy Survey.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",
Geometry Building Type Height,7.0,2.0,sources\recs\recs2009\tsv_maker.py,"The 2009 U.S. Energy Information Administration Residential Energy Consumption Survey  building type with multi-family buildings split out by low-rise, mid-rise, and high-rise.",Calculated directly from other distributions,
Geometry Building Type RECS,5.0,1.0,sources\pums\pums2019_5yrs\tsv_maker.py,The building type classification according to the U.S. Energy Information Administration Residential Energy Consumption Survey.,"2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.",
Geometry Floor Area,9.0,6.0,sources\ahs\ahs2017_2019\tsv_maker.py,The finished floor area of the dwelling unit using bins from 2017-2019 AHS.,2017 and 2019 American Housing Survey (AHS) microdata.,"Due to low sample count, the tsv is constructed by downscaling a core sub-tsv with 3 sub-tsvs of different dependencies. The sub-tsvs have the following dependencies: tsv1 : 'Census Division', 'PUMA Metro Status', 'Geometry Building Type RECS', 'Income RECS2020'; tsv2 : 'Census Division', 'PUMA Metro Status', 'Geometry Building Type RECS', 'Tenure'; tsv3 : 'Census Division', 'PUMA Metro Status', 'Geometry Building Type RECS', 'Vintage ACS'; tsv4 : 'Census Division', 'PUMA Metro Status', 'Income RECS2020', 'Tenure'. For each sub-tsv, rows with <10 samples are replaced with coarsening dependency Census Region, followed by National."
Geometry Floor Area Bin,4.0,1.0,sources\recs\recs2020\tsv_maker.py,The finished floor area of the dwelling unit using bins from the U.S. Energy Information Administration Residential Energy Consumption Survey.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Geometry Floor Area bins are from the UNITSIZE field of the 2017 American Housing Survey (AHS).,
Geometry Foundation Type,6.0,3.0,sources\recs\recs2009\tsv_maker.py,The type of foundation.,The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"All mobile homes have Ambient foundations.; Multi-family buildings cannot have Ambient and Heated Basements; Single-family attached buildings cannot have Ambient foundations; Foundation types are the same for each building type except mobile homes and the applicable options.; Because we need to assume a foundation type for ground-floor MF units, we use the lumped SFD+SFA distributions for MF2-4 and MF5+ building foundations. (RECS data for households in MF2-4 unit buildings are not useful since we do not know which floor the unitis on. RECS does not include foundation responses for households in MF5+ unit buildings.); For SFD and SFA, if no foundation type specified, then sample has Ambient foundation."
Geometry Garage,4.0,6.0,sources\recs\recs2020\tsv_maker.py,The size of an attached garage.,U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"Only Single-Family Detached homes are assigned a probability for attached garage.; No garage for ambient (i.e., pier & beam) foundation type.; Due to modeling constraints restricting that garage cannot be larger or deeper than livable space: Single-family detached units that are 0-1499 square feet can only have a maximum of a 1 car garage.; Single-family detached units that are 0-1499 square feet and 3+ stories cannot have a garage.; The geometry stories distributions are all the same except for 0-1499 square feet and 3 stories.; Single-family detached units that are 1500-2499 square feet can not have a 3 car garage.; Single-family detached units that are 2500-3999 square feet and a heated basement can not have a 3 car garage. Due to low sample sizes, 1. Crawl, basements, and slab are lumped.; 2. Story levels are lumped together.; 2. Census Division RECS is grouped into Census Region.; 2. Vintage ACS is progressively grouped into: pre-1960, 1960-1999, and 2000+."
Geometry Space Combination,130.0,5.0,sources\recs\recs2020\tsv_maker.py,"Valid combinations of building type, building level mf, attic, foundation, and garage",U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.,"For building level mf, only multi-family (MF) can have top, middle, or bottom units,; For foundation, mobile home (MH) has ambient only, MF cannot have ambient or heated basement, single-family attached cannot have ambient.; For attic, MH and MF have no attic.; For (attached) garage, only single-family detached without ambient foundation type can have garage."
Geometry Stories,18.0,3.0,sources\recs\recs2009\tsv_maker.py,The number of building stories.,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,"All mobile homes are 1 story.; Single-Family Detached and Single-Family Attached use the STORIES field in RECS, whereas Multifamily with 5+ units uses the NUMFLRS field.; Building types 2 Unit and 3 or 4 Unit use the stories distribution of Multifamily 5 to 9 Unit (capped at 4 stories) because RECS does not report stories or floors for multifamily with 2-4 units.; The dependency on floor area bins is removed for multifamily with 5+ units.; Vintage ACS rows for the 2010s are copied from the 2000-09 rows."
Geometry Stories Low Rise,4.0,1.0,sources\recs\recs2009\tsv_maker.py,Number of building stories for low-rise buildings.,Calculated directly from other distributions,
Geometry Story Bin,2.0,1.0,sources\recs\recs2009\tsv_maker.py,The building has more than 8 or less than 8 stories.,U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.,
Geometry Wall Exterior Finish,11.0,3.0,sources\lightbox\residential\tsv_maker.py,Wall siding material and color.,HIFLD Parcel data.,Rows where sample size < 10 are replaced with aggregated values down-scaled from dep='State' to dep='Census Division RECS'; Brick wall types are assumed to not have an aditional brick exterior finish; Steel and wood frame walls must have an exterior finish
Geometry Wall Type,5.0,4.0,sources\lightbox\residential\tsv_maker.py,The wall material used for thermal mass calculations of exterior walls.,HIFLD Parcel data.,Rows where sample size < 10 are replaced with aggregated values down-scaled from dep='State' to dep='Census Division RECS'
Ground Thermal Conductivity,8.0,1.0,sources\smu\tsv_maker.py,The thermal conductivity (in Btu/hr-ft-F) of the ground using in foundation and geothermal heat pump heat transfer calculations.,data from the SMU Geothermal Laboratory. The data is from the Thermal Conductivity Observation in Content Model Format dataset. The data is available at http://geothermal.smu.edu/static/DownloadFilesButtonPage.htm.,"The data obtained is from surveyed oil and gas well data.; The latitude and longitudes were assigned to counties and the data was joined to the ResStock spatial lookup tables. In this process, 1482 of 59332 samples did not have a FIPS match or did not have data and were dropped.; Due to limited data in climate zone 1A, data was pulled from samples in 1A plus Florida 2A.; Samples less than 0.5 Btu/hr-ft-F are assigned a value of 0.5 Btu/hr-ft-F. Samples greater than 2.6 Btu/hr-ft-F are assigned a value of 2.6 Btu/hr-ft-F."
HVAC Cooling Autosizing Factor,2.0,2.0,manually created,The cooling airflow and capacity scaling factor applied to the auto-sizing methodology (not used in project_national).,Engineering Judgment,HVAC sizing follows ACCA Manual J and Manual S. There is no additional oversizing or undersizing the airflow and capacity of the HVAC system.
HVAC Cooling Efficiency,12.0,3.0,sources\recs\recs2020\tsv_maker.py,The presence and efficiency of primary cooling system in the dwelling unit.,"The sample counts and sample weights are constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.; Efficiency data based on CAC-ASHP-shipments-table.tsv, room_AC_efficiency_vs_age.tsv and expanded_HESC_HVAC_efficiencies.tsv combined with age of equipment data from RECS",Check the assumptions on the source tsv files.
