siteid,ducts_it,DB_BothSides_FlowExponent_Calculated,DB_OneSide_FlowExponent_Calculated,DB_OneSide_WhichSide,DB_BothSides_C,DB_OneSide_C,Sup_Q50_Calc,Ret_Q50_Calc,Sup_Q25_Calc,Ret_Q25_Calc,TrueFlow_Static_ReturnPressure,TrueFlow_Static_SupplyPressure,TrueFlow_Static_TotalPressure_Calculated,TrueFlow_CorrectionFactor_Calculated,TrueFlow_CorrectedFlow_Calculated,TrueFlow_Notes,slf_halfplen,rlf_halfplen,DB_FanType,DB_MajorityReturnLocation,DB_MajoritySupplyLocation,DB_RemainderReturnLocation,DB_RemainderSupplyLocation,DB_SqFt,DB_WholeHouse,SummarySketchSqFt_Calculated,DuctSurfaceReturnBranch,DuctSurfaceReturnPlenum,DuctSurfaceSupplyBranch,DuctSurfaceSupplyPlenum,DuctSurfaceReturnSqft,DuctSurfaceSupplySqft,DuctSurfaceTotalSqft,DB_Notes,DB_BothSides_Testfailed,DB_OneSide_Testfailed,TF_Testfailed
10552,1,,,,,,,,,,45.0,8.0,53.0,1.0,768.0,,,,ECM,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,2845.0,,,,,,,,"all ducts in conditioned space, no test performed",0,0,0
10579,1,0.7,,Return,,,,,,,13.0,8.0,21.0,1.18,742.0,,,,ECM,Between floors / in ouside wall,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1600.0,,,,,,,,,0,1,0
10627,1,,,,,,,,,,,,,,,,,,PSC,Between floors / in ouside wall,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2763.0,,156.66,501.21,442.12,,943.34,,"Cannot pressurize the ducts against the house pressure, not sure why, checked all registers and such.  ",0,0,0
10629,1,0.5,0.59,Return,53.64,17.52,209.4,181.59,155.0,120.0,70.0,11.0,81.0,0.88,564.0,,0.08,0.26,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1890.0,0.0,120.18,209.46,159.52,120.18,368.98,489.17,,0,0,0
10649,1,0.58,0.6,Return,62.54,17.84,429.87,188.42,287.89,124.1,,,,,,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1228.0,88.62,70.06,161.8,116.77,158.68,278.57,437.25,homeowner says there is partial disconnect on a supply branch runout,0,0,0
10661,1,0.52,,Supply,,,,,,,94.5,26.9,121.0,0.96,636.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,,1,1325.0,,113.43,190.08,141.79,,331.88,,"used a larger supply wall register about 7 inches t, some fan flow was cut off . also for split test could not seal back side of cardboard in filter slot due to no room with the fan in the way. I sealed everything as best I could and ran the te",0,1,0
10709,1,,,,,,,,,,69.3,66.5,136.0,1.02,901.0,,,,PSC,,,,,,0,2860.0,,,,,,,,"all ducts in conditioned space , no test performed ",0,0,0
10710,1,0.63,0.66,Return,29.15,4.12,293.64,55.46,189.86,35.0,20.0,88.0,108.0,1.04,1227.0,,0.04,0.01,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,3530.0,,41.77,467.08,204.66,,671.74,,,0,0,0
10713,1,0.61,0.63,Return,35.9,11.69,252.67,138.38,166.82,89.31,,,,,,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)",2000.0,0,4263.0,118.16,153.49,731.09,204.66,271.66,935.76,1207.42,"There are 2 furnaces that serve the home, one in the garage serving the 1st floor and one in the attic serving the 2nd floor.  I tested the first floor ducts.  Note, numbers for the ducts include both systems.  ",0,0,0
10752,1,0.74,0.65,Supply,31.71,,,,,,185.0,28.0,213.0,0.78,749.0,,,,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Inside heated space,,1,3384.0,,15.95,375.99,62.8,,438.79,,used ring 1 for both pressures,0,0,0
10811,1,0.51,0.72,Supply,21.21,6.51,112.65,45.24,67.99,42.65,66.0,53.3,119.0,1.01,803.0,,0.08,0.1,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,,1,1308.0,,29.32,293.04,62.8,,355.85,,,0,0,0
10840,1,0.66,,Supply,12.52,,,,,,,,,,,more understanding needed to complete testing,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,Inside heated space,,1,2100.0,,,,,,,,"did not complete testing ,need help understanding tests ",0,0,1
10866,1,0.61,0.74,Supply,27.48,11.94,222.66,82.2,132.6,66.44,27.7,30.6,58.0,1.04,909.0,return static just before filter,0.1,0.09,PSC,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Between floors / in ouside wall,,1,2256.0,,,354.46,106.34,,460.81,,"crawl space contains only supply,return is in between floors and is partially panned using the lid as the bottom of the duct ",0,0,0
10887,1,0.73,0.53,Return,19.21,12.09,243.38,99.1,137.31,68.26,,,,,,Filter does not fit fully into filter slot. Participant shoved filter in as far as it would go and left the cover off the filter slot. Return Plenum static pressure test and Supply Return static pressure test ran with slot taped to cover gaps.,0.09,0.13,PSC,Inside heated space,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2514.0,,20.67,68.64,62.8,,131.45,,,0,0,1
10990,1,0.52,,Return,37.81,,,,,,26.8,54.7,82.0,1.01,767.0,,,,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Between floors / in ouside wall,,1,2103.0,,,135.77,52.31,,188.08,,split test is unessary since the return was about 20 in long,0,0,0
11051,1,0.6,0.63,Return,19.37,7.02,122.9,83.37,81.87,53.78,55.0,82.0,137.0,0.98,776.0,,0.09,0.07,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1002.0,58.61,46.7,97.08,46.7,105.32,143.78,249.11,,0,0,0
11089,1,,0.64,Supply,,33.53,420.61,,268.69,,44.7,39.5,84.0,1.0,765.0,return static before filter and fan in plenum,0.3,0.32,PSC,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Between floors / in ouside wall,2800.0,0,3447.0,,,325.58,106.34,,431.92,,"ducts in slab, first time I have seen this and without a visual inspection I tried to walk off the approx length of duct work  ",0,0,0
11154,1,,0.67,Supply,,16.58,231.27,,145.0,,96.0,23.0,119.0,1.0,850.0,,0.1,0.26,ECM,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,2417.0,,,,,,,,Return duct is only about a foot long going directly from a grille through an interior wall to the air handler,0,0,0
11210,1,0.71,,Supply,,,,,,,39.4,15.4,55.0,0.99,1079.0,"static pressure for the return could not be taken betw the filter and the fan and was done inthe crawl return 3ft ffrom the AH , same for NSOP. ",,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Between floors / in ouside wall,,1,2370.0,,212.69,210.05,194.96,,405.02,,"sealed around existing hole in furnace supply,panned ducts footh supply and return are probably screwing with the duct test.",0,1,0
11233,1,0.66,0.68,Supply,28.98,11.77,170.46,227.14,106.16,143.83,91.3,134.5,226.0,0.96,636.0,,0.32,0.25,ECM,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,,1,1890.0,25.12,34.73,365.55,20.26,59.85,385.81,445.66,,0,0,0
11273,1,,,,,,,,,,37.6,23.3,61.0,0.57,558.0,,,,PSC,,,,,,1,2714.0,,,,,,,,"10/14/11 Mbudds - Mbudds pasted surveyor note explaining why duct blaster tests were not perfomred. ""all duct system is located in conditioned areas""",0,0,0
11283,1,0.69,0.61,Return,43.11,24.57,369.73,276.82,219.93,180.24,54.0,50.0,104.0,1.01,919.0,,0.19,0.2,PSC,Inside heated space,Inside heated space,Between floors / in ouside wall,Between floors / in ouside wall,2500.0,0,2600.0,,,,,,,,,0,0,0
11346,1,0.71,,,16.22,,,,,,105.0,65.0,170.0,0.91,748.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1620.0,87.98,30.95,375.99,175.46,118.93,551.45,670.39,"no #2 ring in kit , took flow for second pressure while flashing",0,0,0
11349,1,0.67,0.57,Supply,19.04,13.39,127.94,139.29,85.77,81.58,106.0,106.5,212.0,0.98,1132.0,,0.11,0.11,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,1620.0,,23.63,396.88,22.97,,419.85,,,0,0,0
11375,1,,,,,,,,,,,,,,,,,,PSC,Between floors / in ouside wall,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,,1,2387.0,,,,,,,,,0,0,0
11418,1,0.59,0.6,Return,44.15,4.48,400.71,47.0,266.0,31.0,102.0,40.0,142.0,0.93,659.0,,0.04,0.07,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1326.0,,21.99,116.54,40.17,,156.72,,,0,0,0
11439,1,0.64,0.55,Return,27.92,15.87,214.52,138.38,130.85,94.29,160.0,8.0,168.0,1.0,1075.0,,0.03,0.16,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1257.0,144.72,52.84,156.31,52.84,197.56,209.16,406.72,,0,0,0
11452,1,,,,,,,,,,,,,,,I inserted the tap into a supply register located on the plenum.,,,ECM,Between floors / in ouside wall,Between floors / in ouside wall,Inside heated space,Inside heated space,,1,3980.0,393.84,,525.13,,,,,Cracks in windows were discovered while taping the registers.  Some of the cracks allowed loose panes to shift within the frame.  The decision was made to not pressurize the house so as not to completely blow out the homeowner's windows.,0,0,1
11475,1,0.65,0.61,Return,39.52,11.1,377.88,124.99,239.04,81.4,43.0,76.0,119.0,0.95,876.0,,0.12,0.08,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,2581.0,,99.08,355.96,158.53,,514.49,,,0,0,0
11552,1,0.64,0.6,Supply,35.79,32.73,346.03,106.03,227.85,60.57,103.0,49.0,152.0,0.86,835.0,,0.26,0.42,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1380.0,76.57,17.9,295.0,19.53,94.47,314.54,409.02,"diffulculty blocking under cabinet vent , did best I could so there may be some leakage associated with the vent , DB connected at the AHU",0,0,0
11653,1,,,Return,,,,,,,213.0,18.7,232.0,0.73,1084.0,,,,PSC,Between floors / in ouside wall,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2810.0,,94.53,154.57,98.86,,253.43,,"unable to seal toe kick registers due to  trim and grouting , see pictures   ",0,0,0
11679,1,,0.62,Supply,,34.52,394.93,,256.43,,116.0,108.0,224.0,1.01,1278.0,,0.32,0.33,PSC,"Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,3218.0,125.33,62.66,161.8,62.66,187.99,224.46,412.46,,0,0,0
11732,1,,,,,,,,,,198.0,57.5,256.0,0.89,1120.0,,,,ECM,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,2780.0,,,,,,,,no test performed all ducts in conditioned space,0,0,0
11766,1,0.73,0.55,Return,25.23,21.92,252.65,193.14,136.66,131.35,49.6,28.2,78.0,0.76,634.0,,0.15,0.2,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2108.0,219.81,159.52,208.88,282.62,379.33,491.5,870.84,Used return vent nearest to air handler,0,0,0
11775,1,0.6,0.67,Return,22.51,8.57,118.66,119.61,81.88,74.99,60.5,87.0,148.0,0.97,903.0,"two ceiling return grills, 20 x 20 each.  14in plate and 20 in plate used for both.  Trueflow CFM rate sum of two grills:  14 plate CFM: 412. Plate pressure drop: 13.1pa  20 plate CFM: 517 Plate pressure drop:11.0pa",0.12,0.09,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,,1,1318.0,125.33,18.79,242.7,44.31,144.13,287.01,431.14,"Two return ducts. One return grill pressurized for tests, other blocked off.  For split - cardboard split introduced into blower compartment of furnace.",0,0,0
11808,1,0.7,0.74,Supply,8.2,7.13,129.96,1.1,77.7,2.52,178.0,57.5,236.0,0.84,1051.0,,0.08,0.18,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Between floors / in ouside wall,,1,2028.0,,,125.33,23.86,,149.19,,"only the lower floor had ducts in unconditioned space , the remaining ducts were between the first and second floor , also the return was in conditioned space and about 3 ft long ",0,0,0
11842,1,,,,,,,,,,77.0,64.0,141.0,0.98,616.0,,,,PSC,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,1636.0,75.03,50.13,205.76,79.09,125.16,284.85,410.02,"ducts are to leaky to get a reliable  test ,tried to decrease BD pressure and let DB recover , went all the way to 9pa , tried a split test with DB connected to return grille , could not pressurize",0,0,0
11900,1,0.8,,Supply,,,,,,,72.5,26.7,99.0,0.81,445.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Inside heated space,,1,1464.0,,,,,,,,,0,1,0
11914,1,,,Return,,,,,,,36.0,56.0,92.0,1.13,1085.0,,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Between floors / in ouside wall,,1,2800.0,157.53,21.98,522.21,31.4,179.52,553.61,733.13,Unable to pressurize duct system during the split test.  Indicates large leak in the return.,1,0,0
11925,1,0.7,0.64,Supply,17.13,12.39,154.81,112.67,98.96,65.41,65.0,57.0,122.0,0.96,1015.0,,0.1,0.11,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1994.0,109.97,17.72,497.14,15.85,127.7,513.0,640.7,"under cabinet vent was left open in kithen , no way to block , holes drilled in base acted as the register , no grate ",0,0,0
11943,1,0.59,0.51,Return,30.13,27.34,103.13,204.94,60.62,143.43,67.0,24.8,92.0,1.01,797.0,,0.12,0.2,ECM,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1908.0,,21.26,31.33,23.15,,54.48,,"return plenum only. Furnace in garage, backend of return plenum has grill into stairs going up to main floor. Supply ductwork/plenum on top.    supply ductwork runs along ceiling, within open-ended sheetrock cavity.",0,0,0
11958,1,0.61,0.53,Supply,21.08,13.48,109.64,121.37,75.63,75.52,86.0,131.0,217.0,0.99,722.0,,0.17,0.14,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1390.0,,118.89,213.46,94.37,,307.83,,,0,0,0
11967,1,0.66,0.61,Return,27.19,16.27,191.11,178.91,116.0,117.0,22.0,113.0,135.0,0.98,952.0,,0.2,0.07,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1624.0,,108.54,129.44,97.08,,226.52,,,0,0,0
11992,1,,,,,,,,,,32.4,19.5,52.0,0.98,729.0,,,,ECM,,,,,,1,2900.0,,,,,,,,"no test performed , ducts in conditioned space ",0,0,0
12062,1,0.64,0.55,Return,42.85,30.55,255.25,267.98,153.45,182.4,93.0,92.0,185.0,0.98,692.0,,0.36,0.37,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1417.0,,93.41,242.7,144.72,,387.42,,,0,0,0
12063,1,0.67,0.61,Return,18.23,12.55,115.04,141.42,68.45,92.09,86.0,43.0,129.0,0.9,692.0,,0.12,0.18,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1395.0,,32.36,167.1,313.32,,480.43,,,0,0,0
12131,1,0.69,,Return,,,,,,,25.0,15.0,40.0,0.98,853.0,"oil furnace with supply plenum in crawl , used supply register to get static pressure, not sure if ducts are tight enoughto do this but it was my only option with the plenum inaccessible ",,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",,1,1156.0,12.99,18.75,336.88,18.16,31.75,355.05,386.8,I believe there to be  a possible partial or significant disconnect as there is a considerable amount of air blowing out of crawl vents and access area was heavily blocked with belongings to investigate  in the crawl-see pic,0,1,0
12144,1,0.55,,Supply,77.5,,,,,,57.4,50.2,108.0,0.96,675.0,,,,ECM,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1900.0,,56.04,236.32,234.47,,470.8,,Could get single sided test to 50.,0,0,0
12146,1,,,,,,,,,,74.0,22.0,96.0,1.07,1189.0,,,,PSC,Inside heated space,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,3689.0,,73.31,62.66,36.65,,99.32,,"I had some challenges with this home , and was unable to complete the test because significant leakage did not allow for it.     This home has several different duct types because of age and additions or remodels.     Pressure for the test BD s",0,0,0
12197,1,0.65,0.76,Return,19.87,9.34,72.09,187.03,54.42,109.98,,,,,,,0.08,0.98,PSC,Inside heated space,Inside heated space,Inside heated space,Inside heated space,,1,1712.0,,,,,,,,,0,0,1
12207,1,0.7,,,16.39,,,,,,18.0,38.5,56.0,0.92,706.0,,,,PSC,Inside heated space,"Unheated buffer space (Attic, Garage, Crawl)",Inside heated space,Between floors / in ouside wall,,1,1230.0,,,65.65,62.8,,128.45,,conected to front of AHU  used ring 2 for both pressures,0,0,0
12230,1,0.59,0.6,Return,36.59,16.35,190.47,177.16,128.13,116.15,35.0,12.0,47.0,0.89,966.0,,0.05,0.09,PSC,Between floors / in ouside wall,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2080.0,,47.63,,64.72,,,,,0,0,0
12274,1,,,,,,,,,,160.0,51.0,211.0,0.83,739.0,heat on during test,,,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,1662.0,,,,,,,,"test failed , ducts are swiss  cheese due to rodents , could not pressurerize them, I dropped BD  pressure down to where the DB fan could catch up and the pressure read 1.5 pa , FAIL",0,0,0
12295,1,0.65,,Supply,53.71,,,,,,75.0,85.0,160.0,0.94,908.0,,,,PSC,Inside heated space,Between floors / in ouside wall,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",,1,2300.0,,52.42,376.82,373.66,,750.49,,"Could not access 100% of registers, upstairs ducts are attic/outside wall.",0,0,0
12320,1,0.73,0.61,Supply,13.59,5.93,65.04,171.33,42.55,99.95,42.0,71.0,113.0,1.0,1033.0,,0.05,0.03,PSC,"Unheated buffer space (Attic, Garage, Crawl)","Unheated buffer space (Attic, Garage, Crawl)",Between floors / in ouside wall,Between floors / in ouside wall,,1,3388.0,87.98,,392.7,73.31,,466.02,,,0,0,0
