Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=No	Option=Yes	source_count	source_weight	sampling_probability
4B	Multi-Family with 5+ Units	Yes	0	1	57	114127	6.53E-05
4B	Single-Family Attached	Yes	0	1	57	17572.7	1.50E-05
4B	Single-Family Detached	Yes	0	1	49	132384	0.000329977
4C	Mobile Home	No	0	1	176	128125	0.00102263
4C	Multi-Family with 2 - 4 Units	No	0	1	21	80157.2	0.0012177
4C	Multi-Family with 5+ Units	No	0	1	21	21876.6	0.00423457
4C	Single-Family Attached	No	0	1	21	90711.9	0.000927438
4C	Single-Family Detached	No	0	1	176	1.72E+06	0.0139919
4C	Mobile Home	Yes	0	1	32	38447.2	0.000743055
4C	Multi-Family with 2 - 4 Units	Yes	0	1	76	204561	0.000621728
4C	Multi-Family with 5+ Units	Yes	0	1	76	566154	0.00169553
4C	Single-Family Attached	Yes	0	1	76	59483.8	0.000351026
4C	Single-Family Detached	Yes	0	1	32	314273	0.00417623
5A	Mobile Home	No	0	1	1490	578800	0.00670174
5A	Multi-Family with 2 - 4 Units	No	0	1	739	2.67E+06	0.0228641
5A	Multi-Family with 5+ Units	No	0	1	739	3.71E+06	0.0314391
5A	Single-Family Attached	No	0	1	739	1.56E+06	0.0121563
5A	Single-Family Detached	No	0	1	1490	1.56E+07	0.136716
5A	Mobile Home	Yes	0	1	62	72578.8	0.000655331
5A	Multi-Family with 2 - 4 Units	Yes	0	1	105	392998	0.00195933
5A	Multi-Family with 5+ Units	Yes	0	1	105	753078	0.00470024
5A	Single-Family Attached	Yes	0	1	105	74852.7	0.00108389
5A	Single-Family Detached	Yes	0	1	62	687189	0.00851113
5B	Mobile Home	No	0	1	333	378241	0.00248834
5B	Multi-Family with 2 - 4 Units	No	0	1	122	133227	0.00192806
5B	Multi-Family with 5+ Units	No	0	1	122	370113	0.0055036
5B	Single-Family Attached	No	0	1	122	338215	0.00185809
5B	Single-Family Detached	No	0	1	333	2.58E+06	0.023178
5B	Mobile Home	Yes	0	1	20	44576.6	0.000315698
5B	Multi-Family with 2 - 4 Units	Yes	0	1	11	38354.3	0.000252955
5B	Multi-Family with 5+ Units	Yes	0	1	11	55435.4	0.000562573
5B	Single-Family Attached	Yes	0	1	11	0	0.00015978
5B	Single-Family Detached	Yes	0	1	20	118834	0.00188466
6A	Mobile Home	No	0	1	752	222228	0.00325137
6A	Multi-Family with 2 - 4 Units	No	0	1	174	262950	0.00458603
6A	Multi-Family with 5+ Units	No	0	1	174	281933	0.00736644
6A	Single-Family Attached	No	0	1	174	159541	0.00256971
6A	Single-Family Detached	No	0	1	752	2.67E+06	0.0398625
6A	Mobile Home	Yes	0	1	12	0	0.000122521
6A	Multi-Family with 2 - 4 Units	Yes	0	1	31	27655.6	0.000519136
6A	Multi-Family with 5+ Units	Yes	0	1	31	87985.5	0.00132443
6A	Single-Family Attached	Yes	0	1	31	8099.18	0.000224209
6A	Single-Family Detached	Yes	0	1	12	71496.1	0.00187722
6B	Mobile Home	No	0	1	752	222228	0.000861711
6B	Multi-Family with 2 - 4 Units	No	0	1	174	262950	0.000523438
6B	Multi-Family with 5+ Units	No	0	1	174	281933	0.000742831
6B	Single-Family Attached	No	0	1	174	159541	0.000322601
6B	Single-Family Detached	No	0	1	752	2.67E+06	0.0056988
6B	Mobile Home	Yes	0	1	12	0	0.000149702
6B	Multi-Family with 2 - 4 Units	Yes	0	1	31	27655.6	0.000120938
6B	Multi-Family with 5+ Units	Yes	0	1	31	87985.5	0.000173786
6B	Single-Family Attached	Yes	0	1	31	8099.18	5.36E-05
6B	Single-Family Detached	Yes	0	1	12	71496.1	0.000641383
7A	Mobile Home	No	0	1	108	43693.3	0.000541752
7A	Multi-Family with 2 - 4 Units	No	0	1	24	17545.5	0.000291121
7A	Multi-Family with 5+ Units	No	0	1	24	43036.1	0.000751814
7A	Single-Family Attached	No	0	1	24	21868.4	0.000168032
7A	Single-Family Detached	No	0	1	108	302496	0.00532839
7A	Mobile Home	Yes	0	1	12	0	3.15E-05
7A	Multi-Family with 2 - 4 Units	Yes	0	1	12	2939.71	6.07E-05
7A	Multi-Family with 5+ Units	Yes	0	1	12	20629.1	0.000225612
7A	Single-Family Attached	Yes	0	1	12	2249.2	4.14E-05
7A	Single-Family Detached	Yes	0	1	12	9113.94	0.000505768
7B	Mobile Home	No	0	1	108	43693.3	8.29E-05
7B	Multi-Family with 2 - 4 Units	No	0	1	24	17545.5	5.07E-05
7B	Multi-Family with 5+ Units	No	0	1	24	43036.1	0.000174576
7B	Single-Family Attached	No	0	1	24	21868.4	6.46E-05
7B	Single-Family Detached	No	0	1	108	302496	0.000603056
7B	Mobile Home	Yes	0	1	12	0	6.77E-06
7B	Multi-Family with 2 - 4 Units	Yes	0	1	12	2939.71	1.42E-05
7B	Multi-Family with 5+ Units	Yes	0	1	12	20629.1	5.35E-05
7B	Single-Family Attached	Yes	0	1	12	2249.2	1.60E-05
7B	Single-Family Detached	Yes	0	1	12	9113.94	7.25E-05
# Created by: sources\recs\recs2009_setpoints\tsv_maker.py							
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.							
"# Assumption: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units"							
# Assumption: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes							
