Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	sampling_probability
6B	No	Multi-Family with 5+ Units	1	0	0	0	18	24916	0.000668855
6B	Yes	Multi-Family with 5+ Units	0	0	1	0	78	2756.3	0.000247762
6B	No	Single-Family Attached	1	0	0	0	18	25724.6	0.000274504
6B	Yes	Single-Family Attached	0	0	1	0	78	22419.1	0.000101683
6B	No	Single-Family Detached	1	0	0	0	123	422358	0.00422716
6B	Yes	Single-Family Detached	0	0	1	0	69	216587	0.00211302
7A	No	Mobile Home	1	0	0	0	11	8006.95	0.000445405
7A	Yes	Mobile Home	0	0	1	0	5	0	0.00012788
7A	No	Multi-Family with 2 - 4 Units	1	0	0	0	13	0	0.000269487
7A	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	5	0	8.23E-05
7A	No	Multi-Family with 5+ Units	1	0	0	0	13	3350.55	0.000748706
7A	Yes	Multi-Family with 5+ Units	0	0	1	0	5	0	0.00022872
7A	No	Single-Family Attached	1	0	0	0	13	2311.39	0.000160413
7A	Yes	Single-Family Attached	0	0	1	0	5	2311.39	4.90E-05
7A	No	Single-Family Detached	1	0	0	0	11	23648.2	0.00453276
7A	Yes	Single-Family Detached	0	0	1	0	5	9088.49	0.0013014
7B	No	Mobile Home	1	0	0	0	11	8006.95	6.96E-05
7B	Yes	Mobile Home	0	0	1	0	5	0	2.00E-05
7B	No	Multi-Family with 2 - 4 Units	1	0	0	0	13	0	4.98E-05
7B	Yes	Multi-Family with 2 - 4 Units	0	0	1	0	5	0	1.52E-05
7B	No	Multi-Family with 5+ Units	1	0	0	0	13	3350.55	0.000174689
7B	Yes	Multi-Family with 5+ Units	0	0	1	0	5	0	5.34E-05
7B	No	Single-Family Attached	1	0	0	0	13	2311.39	6.17E-05
7B	Yes	Single-Family Attached	0	0	1	0	5	2311.39	1.88E-05
7B	No	Single-Family Detached	1	0	0	0	11	23648.2	0.000524883
7B	Yes	Single-Family Detached	0	0	1	0	5	9088.49	0.000150699
# Created by: sources\recs\recs2009_setpoints\tsv_maker.py									
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.									
"# Assumption: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units"									
# Assumption: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes									
