Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vacancy Status	Option=No	Option=Yes	source_count	source_weight	sampling_probability
AL, Blount County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.12025e-07
AL, Blount County	Single-Family Attached	Occupied	1	0	0	67	1.20936e-06
AL, Blount County	Single-Family Attached	Vacant	1	0	0	67	2.75398e-07
AL, Blount County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000110362
AL, Blount County	Single-Family Detached	Vacant	1	0	0	67	1.27451e-05
AL, Bullock County	Mobile Home	Occupied	1	0	0	67	5.91691e-06
AL, Bullock County	Mobile Home	Vacant	1	0	0	67	1.44894e-06
AL, Bullock County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.09159e-06
AL, Bullock County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	6.71047e-07
AL, Bullock County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.26157e-06
AL, Bullock County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.17906e-07
AL, Bullock County	Single-Family Attached	Occupied	1	0	0	67	3.2721e-07
AL, Bullock County	Single-Family Attached	Vacant	1	0	0	67	0
AL, Bullock County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	1.64813e-05
AL, Bullock County	Single-Family Detached	Vacant	1	0	0	67	3.77802e-06
AL, Butler County	Mobile Home	Occupied	1	0	0	67	1.01305e-05
AL, Butler County	Mobile Home	Vacant	1	0	0	67	3.09792e-06
AL, Butler County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.80022e-06
AL, Butler County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	5.23393e-07
AL, Butler County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.6175e-06
AL, Butler County	Multi-Family with 5+ Units	Vacant	1	0	0	67	6.40054e-07
AL, Butler County	Single-Family Attached	Occupied	1	0	0	67	1.06112e-06
AL, Butler County	Single-Family Attached	Vacant	1	0	0	67	3.01045e-07
AL, Butler County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	4.4328e-05
AL, Butler County	Single-Family Detached	Vacant	1	0	0	67	8.92076e-06
AL, Calhoun County	Mobile Home	Occupied	1	0	0	67	4.34731e-05
AL, Calhoun County	Mobile Home	Vacant	1	0	0	67	1.20373e-05
AL, Calhoun County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	1.35441e-05
AL, Calhoun County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	4.60729e-06
AL, Calhoun County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.73581e-05
AL, Calhoun County	Multi-Family with 5+ Units	Vacant	1	0	0	67	4.63972e-06
AL, Calhoun County	Single-Family Attached	Occupied	1	0	0	67	7.16356e-06
AL, Calhoun County	Single-Family Attached	Vacant	1	0	0	67	6.73892e-07
AL, Calhoun County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000247601
AL, Calhoun County	Single-Family Detached	Vacant	1	0	0	67	3.91987e-05
AL, Chambers County	Mobile Home	Occupied	1	0	0	67	2.14805e-05
AL, Chambers County	Mobile Home	Vacant	1	0	0	67	7.22382e-06
AL, Chambers County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	6.0633e-06
AL, Chambers County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	8.56671e-07
AL, Chambers County	Multi-Family with 5+ Units	Occupied	1	0	0	67	3.71698e-06
AL, Chambers County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.42762e-06
AL, Chambers County	Single-Family Attached	Occupied	1	0	0	67	1.39587e-06
AL, Chambers County	Single-Family Attached	Vacant	1	0	0	67	4.87877e-08
AL, Chambers County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	6.76762e-05
AL, Chambers County	Single-Family Detached	Vacant	1	0	0	67	1.70095e-05
AL, Cherokee County	Mobile Home	Occupied	1	0	0	67	2.14217e-05
AL, Cherokee County	Mobile Home	Vacant	1	0	0	67	7.39887e-06
AL, Cherokee County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	5.09141e-06
AL, Cherokee County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	7.9588e-07
AL, Cherokee County	Multi-Family with 5+ Units	Occupied	1	0	0	67	3.97301e-06
AL, Cherokee County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.27297e-06
AL, Cherokee County	Single-Family Attached	Occupied	1	0	0	67	6.25489e-07
AL, Cherokee County	Single-Family Attached	Vacant	1	0	0	67	1.27288e-07
AL, Cherokee County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	6.55329e-05
AL, Cherokee County	Single-Family Detached	Vacant	1	0	0	67	1.58179e-05
AL, Chilton County	Mobile Home	Occupied	1	0	0	67	2.4473e-05
AL, Chilton County	Mobile Home	Vacant	1	0	0	67	8.23018e-06
AL, Chilton County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	6.90798e-06
AL, Chilton County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	9.76015e-07
AL, Chilton County	Multi-Family with 5+ Units	Occupied	1	0	0	67	4.2348e-06
AL, Chilton County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.62651e-06
AL, Chilton County	Single-Family Attached	Occupied	1	0	0	67	1.59033e-06
AL, Chilton County	Single-Family Attached	Vacant	1	0	0	67	5.55844e-08
AL, Chilton County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	7.71043e-05
AL, Chilton County	Single-Family Detached	Vacant	1	0	0	67	1.93791e-05
AL, Choctaw County	Mobile Home	Occupied	1	0	0	67	1.03667e-05
AL, Choctaw County	Mobile Home	Vacant	1	0	0	67	3.68199e-06
AL, Choctaw County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	1.80749e-06
AL, Choctaw County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.4624e-07
AL, Choctaw County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.21894e-06
AL, Choctaw County	Multi-Family with 5+ Units	Vacant	1	0	0	67	2.13717e-07
AL, Choctaw County	Single-Family Attached	Occupied	1	0	0	67	2.1207e-07
AL, Choctaw County	Single-Family Attached	Vacant	1	0	0	67	5.40851e-08
AL, Choctaw County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.66817e-05
AL, Choctaw County	Single-Family Detached	Vacant	1	0	0	67	8.77232e-06
AL, Clarke County	Mobile Home	Occupied	1	0	0	67	1.80233e-05
AL, Clarke County	Mobile Home	Vacant	1	0	0	67	6.40141e-06
AL, Clarke County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	3.14246e-06
AL, Clarke County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	6.01964e-07
AL, Clarke County	Multi-Family with 5+ Units	Occupied	1	0	0	67	3.8578e-06
AL, Clarke County	Multi-Family with 5+ Units	Vacant	1	0	0	67	3.71563e-07
AL, Clarke County	Single-Family Attached	Occupied	1	0	0	67	3.68699e-07
AL, Clarke County	Single-Family Attached	Vacant	1	0	0	67	9.4031e-08
AL, Clarke County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	4.63881e-05
AL, Clarke County	Single-Family Detached	Vacant	1	0	0	67	1.52513e-05
AL, Clay County	Mobile Home	Occupied	1	0	0	67	8.88618e-06
AL, Clay County	Mobile Home	Vacant	1	0	0	67	3.06921e-06
AL, Clay County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.11203e-06
AL, Clay County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.30148e-07
AL, Clay County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.64809e-06
AL, Clay County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.28054e-07
AL, Clay County	Single-Family Attached	Occupied	1	0	0	67	2.59466e-07
AL, Clay County	Single-Family Attached	Vacant	1	0	0	67	5.28017e-08
AL, Clay County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.71844e-05
AL, Clay County	Single-Family Detached	Vacant	1	0	0	67	6.56162e-06
AL, Cleburne County	Mobile Home	Occupied	1	0	0	67	8.81242e-06
AL, Cleburne County	Mobile Home	Vacant	1	0	0	67	3.04374e-06
AL, Cleburne County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.0945e-06
AL, Cleburne County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.27408e-07
AL, Cleburne County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.63441e-06
AL, Cleburne County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.23671e-07
AL, Cleburne County	Single-Family Attached	Occupied	1	0	0	67	2.57313e-07
AL, Cleburne County	Single-Family Attached	Vacant	1	0	0	67	5.23634e-08
AL, Cleburne County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.69588e-05
AL, Cleburne County	Single-Family Detached	Vacant	1	0	0	67	6.50715e-06
AL, Coffee County	Mobile Home	Occupied	1	0	0	67	2.33612e-05
AL, Coffee County	Mobile Home	Vacant	1	0	0	67	7.14391e-06
AL, Coffee County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	6.45742e-06
AL, Coffee County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.20696e-06
AL, Coffee County	Multi-Family with 5+ Units	Occupied	1	0	0	67	6.03606e-06
AL, Coffee County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.47599e-06
AL, Coffee County	Single-Family Attached	Occupied	1	0	0	67	2.44698e-06
AL, Coffee County	Single-Family Attached	Vacant	1	0	0	67	6.9422e-07
AL, Coffee County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000102222
AL, Coffee County	Single-Family Detached	Vacant	1	0	0	67	2.05716e-05
AL, Colbert County	Mobile Home	Occupied	1	0	0	67	1.55366e-05
AL, Colbert County	Mobile Home	Vacant	1	0	0	67	3.88718e-06
AL, Colbert County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	9.9693e-06
AL, Colbert County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.7069e-06
AL, Colbert County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.36851e-05
AL, Colbert County	Multi-Family with 5+ Units	Vacant	1	0	0	67	3.08215e-06
AL, Colbert County	Single-Family Attached	Occupied	1	0	0	67	1.12141e-06
AL, Colbert County	Single-Family Attached	Vacant	1	0	0	67	2.08166e-07
AL, Colbert County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000127617
AL, Colbert County	Single-Family Detached	Vacant	1	0	0	67	1.95291e-05
AL, Conecuh County	Mobile Home	Occupied	1	0	0	67	1.01005e-05
AL, Conecuh County	Mobile Home	Vacant	1	0	0	67	3.58741e-06
AL, Conecuh County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	1.76106e-06
AL, Conecuh County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.37347e-07
AL, Conecuh County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.16195e-06
AL, Conecuh County	Multi-Family with 5+ Units	Vacant	1	0	0	67	2.08228e-07
AL, Conecuh County	Single-Family Attached	Occupied	1	0	0	67	2.06623e-07
AL, Conecuh County	Single-Family Attached	Vacant	1	0	0	67	5.26959e-08
AL, Conecuh County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.59964e-05
AL, Conecuh County	Single-Family Detached	Vacant	1	0	0	67	8.54699e-06
AL, Coosa County	Mobile Home	Occupied	1	0	0	67	8.19958e-06
AL, Coosa County	Mobile Home	Vacant	1	0	0	67	2.75749e-06
AL, Coosa County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.31449e-06
AL, Coosa County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.2701e-07
AL, Coosa County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.41885e-06
AL, Coosa County	Multi-Family with 5+ Units	Vacant	1	0	0	67	5.44954e-07
AL, Coosa County	Single-Family Attached	Occupied	1	0	0	67	5.32834e-07
AL, Coosa County	Single-Family Attached	Vacant	1	0	0	67	1.86233e-08
AL, Coosa County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.58335e-05
AL, Coosa County	Single-Family Detached	Vacant	1	0	0	67	6.49288e-06
AL, Covington County	Mobile Home	Occupied	1	0	0	67	1.91931e-05
AL, Covington County	Mobile Home	Vacant	1	0	0	67	5.86928e-06
AL, Covington County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	5.30527e-06
AL, Covington County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	9.91615e-07
AL, Covington County	Multi-Family with 5+ Units	Occupied	1	0	0	67	4.95909e-06
AL, Covington County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.21264e-06
AL, Covington County	Single-Family Attached	Occupied	1	0	0	67	2.01038e-06
AL, Covington County	Single-Family Attached	Vacant	1	0	0	67	5.70356e-07
AL, Covington County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	8.39833e-05
AL, Covington County	Single-Family Detached	Vacant	1	0	0	67	1.69012e-05
AL, Crenshaw County	Mobile Home	Occupied	1	0	0	67	6.84527e-06
AL, Crenshaw County	Mobile Home	Vacant	1	0	0	67	2.0933e-06
AL, Crenshaw County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	1.89214e-06
AL, Crenshaw County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.53663e-07
AL, Crenshaw County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.76867e-06
AL, Crenshaw County	Multi-Family with 5+ Units	Vacant	1	0	0	67	4.32492e-07
AL, Crenshaw County	Single-Family Attached	Occupied	1	0	0	67	7.17009e-07
AL, Crenshaw County	Single-Family Attached	Vacant	1	0	0	67	2.03419e-07
AL, Crenshaw County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	2.99529e-05
AL, Crenshaw County	Single-Family Detached	Vacant	1	0	0	67	6.02786e-06
AL, Cullman County	Mobile Home	Occupied	1	0	0	67	3.94813e-05
AL, Cullman County	Mobile Home	Vacant	1	0	0	67	1.84584e-05
AL, Cullman County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	9.25759e-06
AL, Cullman County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.41262e-06
AL, Cullman County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.09543e-05
AL, Cullman County	Multi-Family with 5+ Units	Vacant	1	0	0	67	2.7636e-06
AL, Cullman County	Single-Family Attached	Occupied	1	0	0	67	1.47022e-06
AL, Cullman County	Single-Family Attached	Vacant	1	0	0	67	2.95225e-08
AL, Cullman County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.00016315
AL, Cullman County	Single-Family Detached	Vacant	1	0	0	67	3.1893e-05
AL, Dale County	Mobile Home	Occupied	1	0	0	67	2.16518e-05
AL, Dale County	Mobile Home	Vacant	1	0	0	67	7.62173e-06
AL, Dale County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	8.32641e-06
AL, Dale County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	2.16575e-06
AL, Dale County	Multi-Family with 5+ Units	Occupied	1	0	0	67	8.27244e-06
AL, Dale County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.90761e-06
AL, Dale County	Single-Family Attached	Occupied	1	0	0	67	2.57209e-06
AL, Dale County	Single-Family Attached	Vacant	1	0	0	67	3.45535e-07
AL, Dale County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000102514
AL, Dale County	Single-Family Detached	Vacant	1	0	0	67	1.60661e-05
AL, Dallas County	Mobile Home	Occupied	1	0	0	67	2.796e-05
AL, Dallas County	Mobile Home	Vacant	1	0	0	67	1.13674e-05
AL, Dallas County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	9.52838e-06
AL, Dallas County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.85039e-06
AL, Dallas County	Multi-Family with 5+ Units	Occupied	1	0	0	67	6.9491e-06
AL, Dallas County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.77736e-06
AL, Dallas County	Single-Family Attached	Occupied	1	0	0	67	8.51472e-07
AL, Dallas County	Single-Family Attached	Vacant	1	0	0	67	2.64959e-07
AL, Dallas County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	7.06618e-05
AL, Dallas County	Single-Family Detached	Vacant	1	0	0	67	2.07373e-05
AL, DeKalb County	Mobile Home	Occupied	1	0	0	67	3.36969e-05
AL, DeKalb County	Mobile Home	Vacant	1	0	0	67	1.36787e-05
AL, DeKalb County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	9.84587e-06
AL, DeKalb County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.03412e-06
AL, DeKalb County	Multi-Family with 5+ Units	Occupied	1	0	0	67	6.31626e-06
AL, DeKalb County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.48641e-06
AL, DeKalb County	Single-Family Attached	Occupied	1	0	0	67	2.2593e-06
AL, DeKalb County	Single-Family Attached	Vacant	1	0	0	67	6.5229e-08
AL, DeKalb County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000135799
AL, DeKalb County	Single-Family Detached	Vacant	1	0	0	67	2.90341e-05
AL, Elmore County	Mobile Home	Occupied	1	0	0	67	3.87328e-05
AL, Elmore County	Mobile Home	Vacant	1	0	0	67	7.15893e-06
AL, Elmore County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	5.82536e-06
AL, Elmore County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	6.06672e-07
AL, Elmore County	Multi-Family with 5+ Units	Occupied	1	0	0	67	9.90379e-06
AL, Elmore County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.67763e-06
AL, Elmore County	Single-Family Attached	Occupied	1	0	0	67	2.33217e-06
AL, Elmore County	Single-Family Attached	Vacant	1	0	0	67	2.70562e-07
AL, Elmore County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000163496
AL, Elmore County	Single-Family Detached	Vacant	1	0	0	67	2.01307e-05
AL, Escambia County	Mobile Home	Occupied	1	0	0	67	2.35095e-05
AL, Escambia County	Mobile Home	Vacant	1	0	0	67	8.34995e-06
AL, Escambia County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	4.099e-06
AL, Escambia County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	7.85198e-07
AL, Escambia County	Multi-Family with 5+ Units	Occupied	1	0	0	67	5.03208e-06
AL, Escambia County	Multi-Family with 5+ Units	Vacant	1	0	0	67	4.84664e-07
AL, Escambia County	Single-Family Attached	Occupied	1	0	0	67	4.80929e-07
AL, Escambia County	Single-Family Attached	Vacant	1	0	0	67	1.22653e-07
AL, Escambia County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	6.05083e-05
AL, Escambia County	Single-Family Detached	Vacant	1	0	0	67	1.98937e-05
AL, Etowah County	Mobile Home	Occupied	1	0	0	67	2.59766e-05
AL, Etowah County	Mobile Home	Vacant	1	0	0	67	8.94144e-06
AL, Etowah County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	1.3672e-05
AL, Etowah County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	3.27122e-06
AL, Etowah County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.84145e-05
AL, Etowah County	Multi-Family with 5+ Units	Vacant	1	0	0	67	2.77364e-06
AL, Etowah County	Single-Family Attached	Occupied	1	0	0	67	1.60651e-06
AL, Etowah County	Single-Family Attached	Vacant	1	0	0	67	4.65753e-07
AL, Etowah County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	0.000237645
AL, Etowah County	Single-Family Detached	Vacant	1	0	0	67	4.38268e-05
AL, Fayette County	Mobile Home	Occupied	1	0	0	67	1.20755e-05
AL, Fayette County	Mobile Home	Vacant	1	0	0	67	3.44564e-06
AL, Fayette County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	3.36939e-06
AL, Fayette County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	2.91466e-07
AL, Fayette County	Multi-Family with 5+ Units	Occupied	1	0	0	67	2.04117e-06
AL, Fayette County	Multi-Family with 5+ Units	Vacant	1	0	0	67	4.32598e-07
AL, Fayette County	Single-Family Attached	Occupied	1	0	0	67	3.15804e-07
AL, Fayette County	Single-Family Attached	Vacant	1	0	0	67	6.66152e-08
AL, Fayette County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	3.42316e-05
AL, Fayette County	Single-Family Detached	Vacant	1	0	0	67	6.87583e-06
AL, Franklin County	Mobile Home	Occupied	1	0	0	67	8.34565e-06
AL, Franklin County	Mobile Home	Vacant	1	0	0	67	2.08804e-06
AL, Franklin County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	5.35513e-06
AL, Franklin County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	9.1688e-07
AL, Franklin County	Multi-Family with 5+ Units	Occupied	1	0	0	67	7.3511e-06
AL, Franklin County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.65561e-06
AL, Franklin County	Single-Family Attached	Occupied	1	0	0	67	6.02376e-07
AL, Franklin County	Single-Family Attached	Vacant	1	0	0	67	1.11819e-07
AL, Franklin County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	6.8551e-05
AL, Franklin County	Single-Family Detached	Vacant	1	0	0	67	1.04903e-05
AL, Geneva County	Mobile Home	Occupied	1	0	0	67	1.19858e-05
AL, Geneva County	Mobile Home	Vacant	1	0	0	67	4.21916e-06
AL, Geneva County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	4.60925e-06
AL, Geneva County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	1.19889e-06
AL, Geneva County	Multi-Family with 5+ Units	Occupied	1	0	0	67	4.57937e-06
AL, Geneva County	Multi-Family with 5+ Units	Vacant	1	0	0	67	1.05599e-06
AL, Geneva County	Single-Family Attached	Occupied	1	0	0	67	1.42383e-06
AL, Geneva County	Single-Family Attached	Vacant	1	0	0	67	1.91278e-07
AL, Geneva County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	5.67487e-05
AL, Geneva County	Single-Family Detached	Vacant	1	0	0	67	8.89369e-06
AL, Greene County	Mobile Home	Occupied	1	0	0	67	6.90093e-06
AL, Greene County	Mobile Home	Vacant	1	0	0	67	2.80563e-06
AL, Greene County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	2.35174e-06
AL, Greene County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	67	4.56704e-07
AL, Greene County	Multi-Family with 5+ Units	Occupied	1	0	0	67	1.71514e-06
AL, Greene County	Multi-Family with 5+ Units	Vacant	1	0	0	67	4.38678e-07
AL, Greene County	Single-Family Attached	Occupied	1	0	0	67	2.10156e-07
AL, Greene County	Single-Family Attached	Vacant	1	0	0	67	6.53958e-08
AL, Greene County	Single-Family Detached	Occupied	0.999951	4.93542e-05	109.04	2.20933e+06	1.74403e-05
AL, Greene County	Single-Family Detached	Vacant	1	0	0	67	5.11825e-06
AL, Hale County	Mobile Home	Occupied	1	0	0	67	1.05738e-05
AL, Hale County	Mobile Home	Vacant	1	0	0	67	4.29887e-06
AL, Hale County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	67	3.6034e-06
