Dependency=Location Weather	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1960s	0.63	0	0.23	0.14	0	0
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1970s	0.41	0	0.52	0	0	0.07
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1980s	0.7	0	0.23	0	0.07	0
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1990s	0.46	0	0.44	0.05	0	0.04
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	2000s	0.33	0	0.67	0	0	0
AZ_Prescott-Love.Field.723723	<1950	0.64	0	0.36	0	0	0
AZ_Prescott-Love.Field.723723	1950s	0	0	1	0	0	0
AZ_Prescott-Love.Field.723723	1960s	0.63	0	0.23	0.14	0	0
AZ_Prescott-Love.Field.723723	1970s	0.41	0	0.52	0	0	0.07
AZ_Prescott-Love.Field.723723	1980s	0.7	0	0.23	0	0.07	0
AZ_Prescott-Love.Field.723723	1990s	0.46	0	0.44	0.05	0	0.04
AZ_Prescott-Love.Field.723723	2000s	0.33	0	0.67	0	0	0
AZ_Tucson.Intl.AP.722740	<1950	0.64	0	0.36	0	0	0
AZ_Tucson.Intl.AP.722740	1950s	0	0	1	0	0	0
AZ_Tucson.Intl.AP.722740	1960s	0.63	0	0.23	0.14	0	0
AZ_Tucson.Intl.AP.722740	1970s	0.41	0	0.52	0	0	0.07
AZ_Tucson.Intl.AP.722740	1980s	0.7	0	0.23	0	0.07	0
AZ_Tucson.Intl.AP.722740	1990s	0.46	0	0.44	0.05	0	0.04
AZ_Tucson.Intl.AP.722740	2000s	0.33	0	0.67	0	0	0
CA_Arcata.AP.725945	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Arcata.AP.725945	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Arcata.AP.725945	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Arcata.AP.725945	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Arcata.AP.725945	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Arcata.AP.725945	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Arcata.AP.725945	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Bakersfield-Meadows.Field.723840	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Bakersfield-Meadows.Field.723840	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Bakersfield-Meadows.Field.723840	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Bakersfield-Meadows.Field.723840	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Bakersfield-Meadows.Field.723840	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Bakersfield-Meadows.Field.723840	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Bakersfield-Meadows.Field.723840	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Barstow.Daggett.AP.723815	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Barstow.Daggett.AP.723815	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Barstow.Daggett.AP.723815	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Barstow.Daggett.AP.723815	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Barstow.Daggett.AP.723815	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Barstow.Daggett.AP.723815	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Barstow.Daggett.AP.723815	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Fresno.Air.Terminal.723890	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Fresno.Air.Terminal.723890	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Fresno.Air.Terminal.723890	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Fresno.Air.Terminal.723890	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Fresno.Air.Terminal.723890	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Fresno.Air.Terminal.723890	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Fresno.Air.Terminal.723890	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Long.Beach-Daugherty.Field.722970	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Long.Beach-Daugherty.Field.722970	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Long.Beach-Daugherty.Field.722970	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Long.Beach-Daugherty.Field.722970	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Long.Beach-Daugherty.Field.722970	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Long.Beach-Daugherty.Field.722970	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Long.Beach-Daugherty.Field.722970	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Los.Angeles.Intl.AP.722950	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Los.Angeles.Intl.AP.722950	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Los.Angeles.Intl.AP.722950	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Los.Angeles.Intl.AP.722950	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Los.Angeles.Intl.AP.722950	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Los.Angeles.Intl.AP.722950	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Los.Angeles.Intl.AP.722950	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Sacramento.Exec.AP.724830	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Sacramento.Exec.AP.724830	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Sacramento.Exec.AP.724830	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Sacramento.Exec.AP.724830	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Sacramento.Exec.AP.724830	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Sacramento.Exec.AP.724830	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Sacramento.Exec.AP.724830	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_San.Diego-Lindbergh.Field.722900	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_San.Diego-Lindbergh.Field.722900	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_San.Diego-Lindbergh.Field.722900	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_San.Diego-Lindbergh.Field.722900	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_San.Diego-Lindbergh.Field.722900	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_San.Diego-Lindbergh.Field.722900	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_San.Diego-Lindbergh.Field.722900	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_San.Francisco.Intl.AP.724940	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_San.Francisco.Intl.AP.724940	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_San.Francisco.Intl.AP.724940	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_San.Francisco.Intl.AP.724940	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_San.Francisco.Intl.AP.724940	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_San.Francisco.Intl.AP.724940	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_San.Francisco.Intl.AP.724940	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CA_Santa.Maria.Public.AP.723940	<1950	0.08	0	0.75	0.12	0.04	0.01
CA_Santa.Maria.Public.AP.723940	1950s	0.11	0	0.74	0.13	0.01	0.01
CA_Santa.Maria.Public.AP.723940	1960s	0.1	0	0.75	0.12	0.02	0.01
CA_Santa.Maria.Public.AP.723940	1970s	0.19	0	0.66	0.06	0.07	0.02
CA_Santa.Maria.Public.AP.723940	1980s	0.13	0	0.67	0.08	0.08	0.04
CA_Santa.Maria.Public.AP.723940	1990s	0.17	0.01	0.68	0.06	0.01	0.07
CA_Santa.Maria.Public.AP.723940	2000s	0.12	0.01	0.76	0.03	0.01	0.07
CO_Alamosa.Muni.AP.724620	<1950	0	0	0.9	0.1	0	0
CO_Alamosa.Muni.AP.724620	1950s	0	0	0.96	0	0	0.04
CO_Alamosa.Muni.AP.724620	1960s	0	0	1	0	0	0
CO_Alamosa.Muni.AP.724620	1970s	0.18	0	0.69	0	0.05	0.09
CO_Alamosa.Muni.AP.724620	1980s	0.07	0	0.82	0	0	0.1
CO_Alamosa.Muni.AP.724620	1990s	0.12	0	0.68	0	0.02	0.19
CO_Alamosa.Muni.AP.724620	2000s	0.02	0	0.79	0	0.15	0.03
CO_Boulder-Broomfield-Jefferson.County.AP.724699	<1950	0	0	0.9	0.1	0	0
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1950s	0	0	0.96	0	0	0.04
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1960s	0	0	1	0	0	0
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1970s	0.18	0	0.69	0	0.05	0.09
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1980s	0.07	0	0.82	0	0	0.1
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1990s	0.12	0	0.68	0	0.02	0.19
CO_Boulder-Broomfield-Jefferson.County.AP.724699	2000s	0.02	0	0.79	0	0.15	0.03
CO_Colorado.Springs-Peterson.Field.724660	<1950	0	0	0.9	0.1	0	0
CO_Colorado.Springs-Peterson.Field.724660	1950s	0	0	0.96	0	0	0.04
CO_Colorado.Springs-Peterson.Field.724660	1960s	0	0	1	0	0	0
CO_Colorado.Springs-Peterson.Field.724660	1970s	0.18	0	0.69	0	0.05	0.09
CO_Colorado.Springs-Peterson.Field.724660	1980s	0.07	0	0.82	0	0	0.1
CO_Colorado.Springs-Peterson.Field.724660	1990s	0.12	0	0.68	0	0.02	0.19
CO_Colorado.Springs-Peterson.Field.724660	2000s	0.02	0	0.79	0	0.15	0.03
CO_Eagle.County.Rgnl.AP.724675	<1950	0	0	0.9	0.1	0	0
CO_Eagle.County.Rgnl.AP.724675	1950s	0	0	0.96	0	0	0.04
CO_Eagle.County.Rgnl.AP.724675	1960s	0	0	1	0	0	0
CO_Eagle.County.Rgnl.AP.724675	1970s	0.18	0	0.69	0	0.05	0.09
CO_Eagle.County.Rgnl.AP.724675	1980s	0.07	0	0.82	0	0	0.1
CO_Eagle.County.Rgnl.AP.724675	1990s	0.12	0	0.68	0	0.02	0.19
CO_Eagle.County.Rgnl.AP.724675	2000s	0.02	0	0.79	0	0.15	0.03
CO_Grand.Junction-Walker.Field.724760	<1950	0	0	0.9	0.1	0	0
CO_Grand.Junction-Walker.Field.724760	1950s	0	0	0.96	0	0	0.04
CO_Grand.Junction-Walker.Field.724760	1960s	0	0	1	0	0	0
CO_Grand.Junction-Walker.Field.724760	1970s	0.18	0	0.69	0	0.05	0.09
CO_Grand.Junction-Walker.Field.724760	1980s	0.07	0	0.82	0	0	0.1
CO_Grand.Junction-Walker.Field.724760	1990s	0.12	0	0.68	0	0.02	0.19
CO_Grand.Junction-Walker.Field.724760	2000s	0.02	0	0.79	0	0.15	0.03
CO_Pueblo.Mem.AP.724640	<1950	0	0	0.9	0.1	0	0
CO_Pueblo.Mem.AP.724640	1950s	0	0	0.96	0	0	0.04
CO_Pueblo.Mem.AP.724640	1960s	0	0	1	0	0	0
CO_Pueblo.Mem.AP.724640	1970s	0.18	0	0.69	0	0.05	0.09
CO_Pueblo.Mem.AP.724640	1980s	0.07	0	0.82	0	0	0.1
CO_Pueblo.Mem.AP.724640	1990s	0.12	0	0.68	0	0.02	0.19
CO_Pueblo.Mem.AP.724640	2000s	0.02	0	0.79	0	0.15	0.03
CT_Bridgeport-Sikorsky.Mem.AP.725040	<1950	0	0.68	0.2	0	0.1	0.02
CT_Bridgeport-Sikorsky.Mem.AP.725040	1950s	0.02	0.78	0.12	0	0.08	0
CT_Bridgeport-Sikorsky.Mem.AP.725040	1960s	0	0.73	0.13	0	0.1	0.04
CT_Bridgeport-Sikorsky.Mem.AP.725040	1970s	0.02	0.49	0.15	0	0.28	0.06
CT_Bridgeport-Sikorsky.Mem.AP.725040	1980s	0.07	0.59	0.16	0	0.14	0.03
CT_Bridgeport-Sikorsky.Mem.AP.725040	1990s	0	0.61	0.13	0	0.21	0.05
CT_Bridgeport-Sikorsky.Mem.AP.725040	2000s	0	0.66	0.1	0	0.15	0.09
CT_Hartford-Bradley.Intl.AP.725080	<1950	0	0.68	0.2	0	0.1	0.02
CT_Hartford-Bradley.Intl.AP.725080	1950s	0.02	0.78	0.12	0	0.08	0
CT_Hartford-Bradley.Intl.AP.725080	1960s	0	0.73	0.13	0	0.1	0.04
CT_Hartford-Bradley.Intl.AP.725080	1970s	0.02	0.49	0.15	0	0.28	0.06
CT_Hartford-Bradley.Intl.AP.725080	1980s	0.07	0.59	0.16	0	0.14	0.03
CT_Hartford-Bradley.Intl.AP.725080	1990s	0	0.61	0.13	0	0.21	0.05
CT_Hartford-Bradley.Intl.AP.725080	2000s	0	0.66	0.1	0	0.15	0.09
DE_Wilmington-New.Castle.County.AP.724089	<1950	0.11	0.38	0.4	0	0.11	0
DE_Wilmington-New.Castle.County.AP.724089	1950s	0.16	0.2	0.39	0	0.06	0.19
DE_Wilmington-New.Castle.County.AP.724089	1960s	0.51	0.17	0.27	0	0.05	0
DE_Wilmington-New.Castle.County.AP.724089	1970s	0.49	0.13	0.39	0	0	0
DE_Wilmington-New.Castle.County.AP.724089	1980s	0.82	0.04	0.09	0	0.04	0
DE_Wilmington-New.Castle.County.AP.724089	1990s	0.31	0.04	0.62	0	0.04	0
DE_Wilmington-New.Castle.County.AP.724089	2000s	0.47	0	0.27	0	0	0.25
FL_Daytona.Beach.Intl.AP.722056	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Daytona.Beach.Intl.AP.722056	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Daytona.Beach.Intl.AP.722056	1960s	0.75	0	0.12	0.11	0.02	0
FL_Daytona.Beach.Intl.AP.722056	1970s	0.82	0	0.12	0.06	0	0
FL_Daytona.Beach.Intl.AP.722056	1980s	0.86	0	0.03	0.08	0	0.03
FL_Daytona.Beach.Intl.AP.722056	1990s	0.92	0	0.06	0.02	0	0
FL_Daytona.Beach.Intl.AP.722056	2000s	0.83	0	0.1	0.05	0	0.02
FL_Jacksonville.Intl.AP.722060	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Jacksonville.Intl.AP.722060	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Jacksonville.Intl.AP.722060	1960s	0.75	0	0.12	0.11	0.02	0
FL_Jacksonville.Intl.AP.722060	1970s	0.82	0	0.12	0.06	0	0
FL_Jacksonville.Intl.AP.722060	1980s	0.86	0	0.03	0.08	0	0.03
FL_Jacksonville.Intl.AP.722060	1990s	0.92	0	0.06	0.02	0	0
FL_Jacksonville.Intl.AP.722060	2000s	0.83	0	0.1	0.05	0	0.02
FL_Key.West.Intl.AP.722010	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Key.West.Intl.AP.722010	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Key.West.Intl.AP.722010	1960s	0.75	0	0.12	0.11	0.02	0
FL_Key.West.Intl.AP.722010	1970s	0.82	0	0.12	0.06	0	0
FL_Key.West.Intl.AP.722010	1980s	0.86	0	0.03	0.08	0	0.03
FL_Key.West.Intl.AP.722010	1990s	0.92	0	0.06	0.02	0	0
FL_Key.West.Intl.AP.722010	2000s	0.83	0	0.1	0.05	0	0.02
FL_Miami.Intl.AP.722020	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Miami.Intl.AP.722020	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Miami.Intl.AP.722020	1960s	0.75	0	0.12	0.11	0.02	0
FL_Miami.Intl.AP.722020	1970s	0.82	0	0.12	0.06	0	0
FL_Miami.Intl.AP.722020	1980s	0.86	0	0.03	0.08	0	0.03
FL_Miami.Intl.AP.722020	1990s	0.92	0	0.06	0.02	0	0
FL_Miami.Intl.AP.722020	2000s	0.83	0	0.1	0.05	0	0.02
FL_Orlando.Intl.AP.722050	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Orlando.Intl.AP.722050	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Orlando.Intl.AP.722050	1960s	0.75	0	0.12	0.11	0.02	0
FL_Orlando.Intl.AP.722050	1970s	0.82	0	0.12	0.06	0	0
FL_Orlando.Intl.AP.722050	1980s	0.86	0	0.03	0.08	0	0.03
FL_Orlando.Intl.AP.722050	1990s	0.92	0	0.06	0.02	0	0
FL_Orlando.Intl.AP.722050	2000s	0.83	0	0.1	0.05	0	0.02
FL_Tallahassee.Rgnl.AP.722140	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_Tallahassee.Rgnl.AP.722140	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_Tallahassee.Rgnl.AP.722140	1960s	0.75	0	0.12	0.11	0.02	0
FL_Tallahassee.Rgnl.AP.722140	1970s	0.82	0	0.12	0.06	0	0
FL_Tallahassee.Rgnl.AP.722140	1980s	0.86	0	0.03	0.08	0	0.03
FL_Tallahassee.Rgnl.AP.722140	1990s	0.92	0	0.06	0.02	0	0
FL_Tallahassee.Rgnl.AP.722140	2000s	0.83	0	0.1	0.05	0	0.02
FL_West.Palm.Beach.Intl.AP.722030	<1950	0.74	0	0.13	0.08	0.03	0.03
FL_West.Palm.Beach.Intl.AP.722030	1950s	0.82	0	0.05	0.08	0.01	0.03
FL_West.Palm.Beach.Intl.AP.722030	1960s	0.75	0	0.12	0.11	0.02	0
FL_West.Palm.Beach.Intl.AP.722030	1970s	0.82	0	0.12	0.06	0	0
FL_West.Palm.Beach.Intl.AP.722030	1980s	0.86	0	0.03	0.08	0	0.03
FL_West.Palm.Beach.Intl.AP.722030	1990s	0.92	0	0.06	0.02	0	0
FL_West.Palm.Beach.Intl.AP.722030	2000s	0.83	0	0.1	0.05	0	0.02
GA_Athens-Ben.Epps.AP.723110	<1950	0.3	0	0.48	0	0	0.22
GA_Athens-Ben.Epps.AP.723110	1950s	0.46	0	0.49	0	0.04	0
GA_Athens-Ben.Epps.AP.723110	1960s	0.45	0	0.48	0	0	0.07
GA_Athens-Ben.Epps.AP.723110	1970s	0.38	0.03	0.55	0	0.04	0
GA_Athens-Ben.Epps.AP.723110	1980s	0.37	0	0.56	0	0.01	0.06
GA_Athens-Ben.Epps.AP.723110	1990s	0.36	0	0.62	0	0.01	0.02
GA_Athens-Ben.Epps.AP.723110	2000s	0.49	0	0.5	0	0	0.01
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	<1950	0.3	0	0.48	0	0	0.22
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1950s	0.46	0	0.49	0	0.04	0
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1960s	0.45	0	0.48	0	0	0.07
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1970s	0.38	0.03	0.55	0	0.04	0
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1980s	0.37	0	0.56	0	0.01	0.06
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1990s	0.36	0	0.62	0	0.01	0.02
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	2000s	0.49	0	0.5	0	0	0.01
GA_Augusta-Bush-Field.722180	<1950	0.3	0	0.48	0	0	0.22
GA_Augusta-Bush-Field.722180	1950s	0.46	0	0.49	0	0.04	0
GA_Augusta-Bush-Field.722180	1960s	0.45	0	0.48	0	0	0.07
GA_Augusta-Bush-Field.722180	1970s	0.38	0.03	0.55	0	0.04	0
GA_Augusta-Bush-Field.722180	1980s	0.37	0	0.56	0	0.01	0.06
GA_Augusta-Bush-Field.722180	1990s	0.36	0	0.62	0	0.01	0.02
GA_Augusta-Bush-Field.722180	2000s	0.49	0	0.5	0	0	0.01
GA_Columbus.Metro.AP.722255	<1950	0.3	0	0.48	0	0	0.22
GA_Columbus.Metro.AP.722255	1950s	0.46	0	0.49	0	0.04	0
GA_Columbus.Metro.AP.722255	1960s	0.45	0	0.48	0	0	0.07
GA_Columbus.Metro.AP.722255	1970s	0.38	0.03	0.55	0	0.04	0
GA_Columbus.Metro.AP.722255	1980s	0.37	0	0.56	0	0.01	0.06
GA_Columbus.Metro.AP.722255	1990s	0.36	0	0.62	0	0.01	0.02
GA_Columbus.Metro.AP.722255	2000s	0.49	0	0.5	0	0	0.01
GA_Macon-Middle.Georgia.Rgnl.AP.722170	<1950	0.3	0	0.48	0	0	0.22
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1950s	0.46	0	0.49	0	0.04	0
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1960s	0.45	0	0.48	0	0	0.07
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1970s	0.38	0.03	0.55	0	0.04	0
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1980s	0.37	0	0.56	0	0.01	0.06
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1990s	0.36	0	0.62	0	0.01	0.02
GA_Macon-Middle.Georgia.Rgnl.AP.722170	2000s	0.49	0	0.5	0	0	0.01
GA_Savannah.Intl.AP.722070	<1950	0.3	0	0.48	0	0	0.22
GA_Savannah.Intl.AP.722070	1950s	0.46	0	0.49	0	0.04	0
GA_Savannah.Intl.AP.722070	1960s	0.45	0	0.48	0	0	0.07
GA_Savannah.Intl.AP.722070	1970s	0.38	0.03	0.55	0	0.04	0
GA_Savannah.Intl.AP.722070	1980s	0.37	0	0.56	0	0.01	0.06
GA_Savannah.Intl.AP.722070	1990s	0.36	0	0.62	0	0.01	0.02
GA_Savannah.Intl.AP.722070	2000s	0.49	0	0.5	0	0	0.01
IA_Des.Moines.Intl.AP.725460	<1950	0.1	0.06	0.52	0	0.09	0.23
IA_Des.Moines.Intl.AP.725460	1950s	0.07	0.1	0.69	0	0	0.14
IA_Des.Moines.Intl.AP.725460	1960s	0.14	0.05	0.68	0	0	0.13
IA_Des.Moines.Intl.AP.725460	1970s	0.14	0.06	0.64	0	0.01	0.15
IA_Des.Moines.Intl.AP.725460	1980s	0.14	0.05	0.55	0	0.03	0.23
IA_Des.Moines.Intl.AP.725460	1990s	0.03	0	0.67	0	0.01	0.29
IA_Des.Moines.Intl.AP.725460	2000s	0.16	0	0.58	0	0	0.26
IA_Mason.City.Muni.AP.725485	<1950	0.1	0.06	0.52	0	0.09	0.23
IA_Mason.City.Muni.AP.725485	1950s	0.07	0.1	0.69	0	0	0.14
IA_Mason.City.Muni.AP.725485	1960s	0.14	0.05	0.68	0	0	0.13
IA_Mason.City.Muni.AP.725485	1970s	0.14	0.06	0.64	0	0.01	0.15
IA_Mason.City.Muni.AP.725485	1980s	0.14	0.05	0.55	0	0.03	0.23
IA_Mason.City.Muni.AP.725485	1990s	0.03	0	0.67	0	0.01	0.29
IA_Mason.City.Muni.AP.725485	2000s	0.16	0	0.58	0	0	0.26
