Building,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Solar Hot Water,Dehumidifier,Refrigeration Schedule,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Pool Schedule,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,ASHRAE IECC Climate Zone 2004,County,AHS Region,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units HL,Geometry Foundation Type,Geometry Wall Type,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Garage,Bedrooms,Corridor,Geometry Building Has Rear Units MF,Geometry Building Horizontal Location MF,Occupants,Vacancy Status,Window Areas,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier,Roof Material Unfinished Attic,Roof Material Finished Roof,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,Hot Water Distribution,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Infiltration,CEC Climate Zone
11,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,Gas Fireplace,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour21,None,4A,"NY, Bronx County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03709",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Fuel Oil,50 or more Units high,Unheated Basement,Masonry,750-999,0-1499,3,Top,54,None,None,None,2,Double-Loaded Interior,Yes,Middle,1,Occupied,F30 B30 L30 R30,27,None,R-30,None,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,No,Fuel Oil,Fuel Oil Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",Fuel Oil Fuel Boiler,"Room AC, EER 10.7",72F,75F,Yes,No,6F,0F,None,Night +1h,Standard Efficiency,EF 15.9,"Electric, 100% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,No,None,20 ACH50,None
12,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour15,None,4A,"PA, Philadelphia County","CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Mixed-Humid,"PA, 03209",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,<5,Unheated Basement,Masonry,1000-1499,0-1499,2,None,None,8,Middle,None,2,Not Applicable,No,None,1,Occupied,F9 B9 L9 R9,27,"Ceiling R-19, Vented",None,No,Composition Shingles,None,None,None,Uninsulated,None,None,Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Boiler, 80% AFUE",Natural Gas Fuel Boiler,"Room AC, EER 9.8",70F,70F,Yes,No,3F,0F,None,Night,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,108%,None,None,None,None,None,None,No,None,20 ACH50,None
13,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour8,None,3C,"CA, Santa Clara County",Non-CBSA Pacific,CA,CR11,Pacific,Pacific,West,CAISO,Marine,"CA, 08501",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,<5,Slab,Masonry,1500-1999,1500-2499,1,None,None,None,None,None,3,Not Applicable,No,None,2,Occupied,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-13, Vented",None,No,Composition Shingles,None,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,None,68F,67F,Yes,Yes,12F,2F,Night Setup,Night,None,EF 17.6,"Gas, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,94%,None,None,None,Has Pool,None,1.0 HP Pump,Yes,"30% Leakage, R-4",15 ACH50,4
14,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour21,Hour19,None,6A,"MN, Hennepin County",Non-CBSA West North Central,MN,CR02,West North Central,West North Central,Midwest,MISO,Cold,"MN, 01407",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Unheated Basement,WoodStud,1500-1999,1500-2499,1,None,None,None,None,None,3,Not Applicable,No,None,1,Occupied,F6 B6 L6 R6,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,Composition Shingles,None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 13",70F,72F,No,Yes,0F,2F,Day Setup,None,Standard Efficiency,EF 15.9,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,95%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50,None
15,Low,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour16,None,4A,"NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",NY,CR07,Middle Atlantic,Middle Atlantic,Northeast,NYISO,Mixed-Humid,"NY, 03805",50 or more Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,50 or more Units high,Crawl,Masonry,750-999,0-1499,3,Bottom,54,None,None,None,1,Double-Loaded Interior,Yes,Middle,1,Occupied,F30 B30 L30 R30,7,None,R-38,None,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",1 Pane,No,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 13",68F,70F,No,Yes,0F,5F,Day Setup,None,Standard Efficiency,EF 15.9,"Gas, 80% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50,None
16,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour5,Hour17,None,5B,"UT, Salt Lake County",Non-CBSA Mountain,UT,CR05,Mountain,Mountain North,West,None,Cold,"UT, 35005",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,<5,Crawl,WoodStud,1500-1999,1500-2499,1,None,None,None,None,2 Car,4,Not Applicable,No,None,2,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,Composition Shingles,None,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,None,68F,72F,Yes,Yes,3F,2F,Night Setup,Night,Standard Efficiency,EF 10.5,"Electric, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% LED,91%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, Uninsulated",15 ACH50,None
17,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,Typical Efficiency,"Year-Round, 3 days/wk",None,Hour17,Hour11,None,3B,"CA, San Diego County",Non-CBSA Pacific,CA,CR11,Pacific,Pacific,West,CAISO,Hot-Dry,"CA, 07316",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,<5,Slab,WoodStud,1000-1499,0-1499,1,None,None,None,None,None,3,Not Applicable,No,None,2,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Tile, Clay or Ceramic",None,Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 15",70F,75F,No,Yes,0F,5F,Night Setup,None,Standard Efficiency,EF 15.9,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,94%,EF 15.9,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",15 ACH50,7
18,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour23,Hour9,None,3A,"GA, Fulton County","CBSA Atlanta-Sandy Springs-Roswell, GA",GA,CR09,South Atlantic,South Atlantic,South,None,Mixed-Humid,"GA, 01006",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Slab,Masonry,3000-3999,2500-3999,2,None,None,None,None,2 Car,4,Not Applicable,No,None,2,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-38, Vented",None,No,Composition Shingles,None,"2ft R10 Perimeter, R10 Gap",None,None,None,None,R-13,"CMU, 6-in Hollow, R-19",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,"AC, SEER 13",68F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,106%,EF 17.6,None,None,None,None,None,Yes,"30% Leakage, R-8",10 ACH50,None
19,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,50% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour1,Hour10,None,5A,"MI, Wayne County","CBSA Detroit-Warren-Dearborn, MI",MI,CR04,East North Central,East North Central,Midwest,MISO,Cold,"MI, 03208",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,<5,Heated Basement,Masonry,1000-1499,0-1499,1,None,None,None,None,None,3,Not Applicable,No,None,1,Occupied,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-38, Vented",None,No,Composition Shingles,None,None,None,None,Uninsulated,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 15",68F,72F,No,Yes,0F,2F,Night Setback,None,Standard Efficiency,EF 17.6,"Gas, 80% Usage",None,Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,85%,None,None,None,None,None,None,Yes,In Finished Space,20 ACH50,None
20,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour3,Hour18,None,5A,"OH, Cuyahoga County",Non-CBSA East North Central,OH,CR04,East North Central,East North Central,Midwest,None,Cold,"OH, 00908",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Crawl,WoodStud,1000-1499,0-1499,1,None,None,None,None,None,4,Not Applicable,No,None,1,Occupied,F9 B9 L9 R9,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,Composition Shingles,None,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Room AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"Room AC, EER 10.7",65F,78F,Yes,No,3F,0F,None,Night +1h,Standard Efficiency,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Gas, 100% Usage",100% CFL,85%,EF 15.9,"EF 12, National Average",None,None,None,None,Yes,"30% Leakage, Uninsulated",15 ACH50,None
21,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour2,Hour17,None,2A,"TX, Harris County","CBSA Houston-The Woodlands-Sugar Land, TX",TX,CR09,West South Central,West South Central,South,ERCOT,Hot-Humid,"TX, 04604",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,<5,Slab,Masonry,1500-1999,1500-2499,1,None,None,None,None,2 Car,3,Not Applicable,No,None,2,Occupied,F15 B15 L15 R15,Left/Right at 15ft,"Ceiling R-30, Vented",None,No,"Metal, Dark",None,2ft R10 Exterior,None,None,None,None,R-13,"CMU, 6-in Hollow, R-11",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, HomeRun, PEX",Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",Natural Gas Fuel Furnace,"AC, SEER 15",72F,75F,No,No,0F,0F,None,None,Standard Efficiency,EF 17.6,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,113%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-8",15 ACH50,None
22,Medium,Northwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour22,Hour12,None,5A,"MA, Middlesex County","CBSA Boston-Cambridge-Newton, MA-NH",MA,CR03,New England,New England,Northeast,NEISO,Cold,"MA, 00504",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Heated Basement,WoodStud,1500-1999,1500-2499,2,None,None,None,None,None,4,Not Applicable,No,None,2,Occupied,F15 B15 L15 R15,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,None,Uninsulated,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,Central AC,None,None,"Fuel Furnace, 76% AFUE",Natural Gas Fuel Furnace,"AC, SEER 15",72F,70F,No,Yes,0F,5F,Night Setback +1h,None,None,EF 17.6,"Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,99%,EF 17.6,None,None,None,None,None,Yes,In Finished Space,15 ACH50,None
23,High,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour20,Hour18,None,3B,"CA, Los Angeles County","CBSA Los Angeles-Long Beach-Anaheim, CA",CA,CR11,Pacific,Pacific,West,None,Hot-Dry,"CA, 03729",Single-Family Detached,1940s,1940-59,Single-Family Detached,Natural Gas,<5,Slab,Masonry,1000-1499,0-1499,1,None,None,None,None,None,2,Not Applicable,No,None,1,Occupied,F18 B18 L18 R18,Left/Right at 15ft,"Ceiling R-13, Vented",None,No,Composition Shingles,None,Uninsulated,None,None,None,None,Uninsulated,"CMU, 6-in Hollow, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Premium,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,None,None,None,"Fuel Wall/Floor Furnace, 60% AFUE",Natural Gas Fuel Wall/Floor Furnace,None,68F,78F,Yes,No,6F,0F,None,Night,Standard Efficiency,EF 17.6,"Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,94%,None,None,None,None,None,None,No,None,15 ACH50,6
24,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,100% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,National Average,None,"Year-Round, 3 days/wk",None,Hour7,Hour12,None,4C,"WA, King County","CBSA Seattle-Tacoma-Bellevue, WA",WA,CR06,Pacific,Pacific,West,None,Marine,"WA, 11603",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Crawl,WoodStud,1500-1999,1500-2499,2,None,None,None,None,None,3,Not Applicable,No,None,2,Occupied,F6 B6 L6 R6,Left/Right at 15ft,"Ceiling R-19, Vented",None,No,Composition Shingles,None,None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated",1 Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Ducted Heating,None,None,None,"Fuel Furnace, 92.5% AFUE",Natural Gas Fuel Furnace,None,68F,67F,Yes,Yes,6F,5F,Night Setback,Night,None,EF 17.6,"Electric, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% LED,94%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, Uninsulated",20 ACH50,None
25,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.7",Fiberglass,200% Usage,None,None,National Average,100% Usage,100% Usage,No Exterior Use,200%,None,None,Gas Grill,None,National Average,None,"Year-Round, 3 days/wk",None,Hour18,Hour7,None,5A,"IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",IL,CR04,East North Central,East North Central,Midwest,PJM,Cold,"IL, 03529",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,<5,Unheated Basement,WoodStud,1000-1499,0-1499,2,None,None,None,None,None,3,Not Applicable,No,None,1,Occupied,F12 B12 L12 R12,Left/Right at 15ft,"Ceiling R-38, Vented",None,No,"Asphalt Shingles, Medium",None,None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated",2+ Pane,Yes,Natural Gas,Natural Gas Standard,"Uninsulated, TrunkBranch, Copper",Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 12.0",70F,75F,Yes,No,6F,0F,None,Night,None,EF 17.6,"Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Gas, 120% Usage",100% LED,85%,EF 17.6,None,None,None,None,None,No,None,20 ACH50,None
