Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Asphalt Shingles, Medium	Option=Composition Shingles	Option=Metal, Dark	Option=Slate	Option=Tile, Clay or Ceramic	Option=Tile, Concrete	Option=Wood Shingles	source_count	source_weight	sampling_probability
Mountain North	Multi-Family with 2 - 4 Units	2000-09	0.888746	0.0538651	0	0.017068	0	0	0.0403207	40	17150.3	0.00024469
Mountain North	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	13	91654.5	0.000926448
Mountain North	Single-Family Attached	2000-09	0.354954	0.484181	0.0544828	0	0.0212985	0	0.0850837	22	70519.2	0.000533579
Mountain North	Single-Family Detached	2000-09	0.358709	0.484893	0.032008	0.000209171	0.0764338	0.0186458	0.0291013	157	545197	0.00441357
Mountain North	Mobile Home	2010s	0.38953	0.518213	0.0866677	0.000622791	0.00195545	0.000866084	0.00214442	15	15544	9.05389e-05
Mountain North	Multi-Family with 2 - 4 Units	2010s	0.888746	0.0538651	0	0.017068	0	0	0.0403207	40	23858.2	0.000110019
Mountain North	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	20	139381	0.0006765
Mountain North	Single-Family Attached	2010s	0.297823	0.40625	0.12314	0	0.103392	0	0.0693957	17	58971.6	0.00020858
Mountain North	Single-Family Detached	2010s	0.357815	0.483257	0.0509321	0.000228903	0.0620454	0.0163925	0.0293296	98	329071	0.00151715
Mountain North	Mobile Home	<1940	0.349599	0.46174	0.122328	0.00651115	0.0103807	0.00099829	0.0484427	181	0	2.13392e-05
Mountain North	Multi-Family with 2 - 4 Units	<1940	0.735024	0.246455	0.0185209	0	0	0	0	15	30634.8	0.000228896
Mountain North	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	15	28758.8	0.000266993
Mountain North	Single-Family Attached	<1940	0.350716	0.463215	0.119525	0.00653194	0.0104138	0.00100148	0.0485974	180	12399.3	8.57736e-05
Mountain North	Single-Family Detached	<1940	0.337104	0.459832	0.142997	0.0109712	0.00586056	0	0.0432356	113	274551	0.00241692
Mountain South	Mobile Home	1940-59	0.308216	0.407905	0.116523	0.00803162	0.0198257	0.0231944	0.116305	65	22367.1	6.53305e-05
Mountain South	Multi-Family with 2 - 4 Units	1940-59	0.792672	0.124896	0.00559101	0.000336707	0.0461938	0.000468242	0.0298423	111	15899.9	0.000160288
Mountain South	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	111	22568.6	0.000239436
Mountain South	Single-Family Attached	1940-59	0.310045	0.409562	0.101835	0.00856921	0.0211528	0.0247469	0.124089	62	18354.3	9.95248e-05
Mountain South	Single-Family Detached	1940-59	0.321052	0.421135	0.103711	0.000796827	0.03197	0.00833405	0.113001	54	217310	0.00222766
Mountain South	Mobile Home	1960-79	0.130214	0.177621	0.580673	0.0679814	0	0	0.0435099	19	106085	0.00117145
Mountain South	Multi-Family with 2 - 4 Units	1960-79	0.214594	0.270035	0.0073864	0.00107589	0.221041	0.169695	0.116173	10	78448	0.000630791
Mountain South	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	30	230187	0.00146565
Mountain South	Single-Family Attached	1960-79	0.338811	0.409207	0.0631769	0.00251133	0.127079	0.00349238	0.0557218	18	40186.1	0.000520392
Mountain South	Single-Family Detached	1960-79	0.364935	0.471006	0.0442515	0.0012705	0.0315931	0.0216145	0.0653289	129	584448	0.00503943
Mountain South	Mobile Home	1980-99	0.257022	0.350595	0.33472	0	0	0	0.0576629	36	221406	0.00199868
Mountain South	Multi-Family with 2 - 4 Units	1980-99	0.0589641	0.080431	0	0	0.383324	0.392292	0.084989	15	127151	0.000910936
Mountain South	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	33	260495	0.00283294
Mountain South	Single-Family Attached	1980-99	0.256358	0.301916	0.0155547	0.0491976	0.258295	0.110877	0.00780127	26	73349.3	0.000661276
Mountain South	Single-Family Detached	1980-99	0.209173	0.271391	0.0567309	0.000660878	0.328873	0.117493	0.0156773	202	1.03847e+06	0.00797931
Mountain South	Mobile Home	2000-09	0.206444	0.281603	0.314269	0.197684	0	0	0	10	50661.8	0.000604287
Mountain South	Multi-Family with 2 - 4 Units	2000-09	0.856468	0.0308206	0	0	0.0241478	0	0.0885636	35	28192.4	0.000298319
Mountain South	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	23	172482	0.0010928
Mountain South	Single-Family Attached	2000-09	0.202764	0.237355	0.0127724	0.0018604	0.477563	0.0612793	0.00640581	20	50713.6	0.000302545
Mountain South	Single-Family Detached	2000-09	0.0981718	0.125406	0.0391551	0.0193453	0.502149	0.199761	0.016012	154	698343	0.00631586
Mountain South	Mobile Home	2010s	0.281857	0.371179	0.211187	0.13075	0.00197932	0.000876656	0.00217059	15	26305.7	0.000147566
Mountain South	Multi-Family with 2 - 4 Units	2010s	0.856468	0.0308206	0	0	0.0241478	0	0.0885636	35	14019.4	7.97986e-05
Mountain South	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	29	39400.6	0.000451832
Mountain South	Single-Family Attached	2010s	0.176876	0.213484	0.0424994	0.0013178	0.486671	0.0746143	0.0045375	29	20881.3	7.18412e-05
Mountain South	Single-Family Detached	2010s	0.111606	0.142829	0.0146401	0.0207906	0.507733	0.183009	0.0193912	82	332935	0.0014044
Mountain South	Mobile Home	<1940	0.308216	0.407905	0.116523	0.00803162	0.0198257	0.0231944	0.116305	65	0	1.72068e-05
Mountain South	Multi-Family with 2 - 4 Units	<1940	0.792672	0.124896	0.00559101	0.000336707	0.0461938	0.000468242	0.0298423	111	0	5.07682e-05
Mountain South	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	111	12908.1	6.02227e-05
Mountain South	Single-Family Attached	<1940	0.310045	0.409562	0.101835	0.00856921	0.0211528	0.0247469	0.124089	62	5713.44	3.16223e-05
Mountain South	Single-Family Detached	<1940	0.277756	0.370111	0.123855	0.000415744	0.00130536	0.0443118	0.182245	24	92787.3	0.000563608
New England	Mobile Home	1940-59	0.352679	0.477531	0.0739807	0.0264301	0.0329126	0.0002339	0.0362328	450	5636.55	4.00387e-05
New England	Multi-Family with 2 - 4 Units	1940-59	0.294675	0.396342	0.00845853	0.106145	0.0251475	0.000370225	0.168862	94	199062	0.00116733
New England	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	62	139659	0.000816379
New England	Single-Family Attached	1940-59	0.263778	0.349335	0.019009	0.0325398	0.202782	0.000690927	0.131865	37	37860.8	0.000184764
New England	Single-Family Detached	1940-59	0.364281	0.49421	0.0633232	0.0132418	0.0346526	0.000177612	0.0301133	410	792692	0.00575669
New England	Mobile Home	1960-79	0.156257	0.202925	0.541468	0.000484673	0.00152179	0.000674011	0.0966689	18	51323.9	0.00037731
New England	Multi-Family with 2 - 4 Units	1960-79	0.240125	0.327547	0.0118931	0.0448396	0.168885	0	0.206711	43	261620	0.00127985
New England	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	60	314005	0.00242358
New England	Single-Family Attached	1960-79	0.355585	0.485042	0.0348044	0.0714115	0	0	0.0531571	19	35310.8	0.00040182
New England	Single-Family Detached	1960-79	0.371678	0.506994	0.0561634	0	0.024257	0	0.0409075	263	714338	0.00679861
New England	Mobile Home	1980-99	0.296426	0.404345	0.192693	0	0	0	0.106536	22	54872.2	0.000529228
New England	Multi-Family with 2 - 4 Units	1980-99	0.178407	0.243359	0.0154568	0	0.322714	0.0438109	0.196253	17	104052	0.000957396
New England	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	53	260274	0.00202586
New England	Single-Family Attached	1980-99	0.372123	0.5076	0.0283656	0.0219913	0.0394737	0	0.0304467	56	113696	0.000832583
New England	Single-Family Detached	1980-99	0.358704	0.489296	0.0665764	0	0.0490549	0	0.0363693	257	725724	0.00590729
New England	Mobile Home	2000-09	0.345874	0.471795	0.0475516	0.0531656	0	0	0.0816145	10	24027.2	0.000165762
New England	Multi-Family with 2 - 4 Units	2000-09	0.169824	0.231651	0	0	0.14158	0	0.456946	10	26137.8	0.000251476
New England	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	17	86259.6	0.000749628
New England	Single-Family Attached	2000-09	0.341073	0.465246	0	0	0.164069	0	0.0296117	23	43234.7	0.000369472
New England	Single-Family Detached	2000-09	0.366464	0.499881	0.037747	0.00889188	0	0	0.0870166	99	269016	0.00244788
New England	Mobile Home	2010s	0.357441	0.487573	0.0404202	0.0451922	0	0	0.0693746	12	4239.19	4.30731e-05
New England	Multi-Family with 2 - 4 Units	2010s	0.169824	0.231651	0	0	0.14158	0	0.456946	10	27571.5	0.000114104
New England	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	25	95047.9	0.000490579
New England	Single-Family Attached	2010s	0.334145	0.427179	0.00931763	0.00135719	0.00426134	0.00188738	0.221852	13	22801.4	0.000138224
New England	Single-Family Detached	2010s	0.389912	0.52759	0.0323913	0.000202737	0.0159018	0.000281936	0.0337203	67	134674	0.000704973
New England	Mobile Home	<1940	0.352679	0.477531	0.0739807	0.0264301	0.0329126	0.0002339	0.0362328	450	0	1.80253e-05
New England	Multi-Family with 2 - 4 Units	<1940	0.299127	0.400358	0.0115589	0.089921	0.0343651	0.000505927	0.164165	86	376441	0.00464524
New England	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	51	208433	0.00205867
New England	Single-Family Attached	<1940	0.285343	0.367464	0.039488	0.0675959	0.148195	0.00143528	0.0904782	29	47099.4	0.000407774
New England	Single-Family Detached	<1940	0.351721	0.476829	0.0838721	0.0384592	0.0142909	0.000194031	0.0346343	279	701056	0.00614349
Pacific	Mobile Home	1940-59	0.338135	0.452768	0.0644388	0.0131132	0.0451922	0.00640537	0.0799482	431	13594.7	0.00022941
Pacific	Multi-Family with 2 - 4 Units	1940-59	0.309019	0.410659	0.0156593	0.000515199	0.147498	0.000716461	0.115933	30	184988	0.00174229
Pacific	Multi-Family with 5+ Units	1940-59	1	0	0	0	0	0	0	60	396040	0.00321482
Pacific	Single-Family Attached	1940-59	0.318275	0.427915	0.103027	0.072257	0.0343274	0.000411145	0.0437878	25	87567.8	0.00116838
Pacific	Single-Family Detached	1940-59	0.336123	0.449197	0.0618004	0.0131637	0.032837	0.00605242	0.100826	403	2.19289e+06	0.0188373
Pacific	Mobile Home	1960-79	0.226808	0.285086	0.402726	0.00115217	0.00361762	0.00160227	0.0790083	51	432940	0.00284759
Pacific	Multi-Family with 2 - 4 Units	1960-79	0.334031	0.445005	0.00346272	0.0358922	0.00158365	0.0875306	0.0924953	43	473817	0.00381416
Pacific	Multi-Family with 5+ Units	1960-79	1	0	0	0	0	0	0	140	1.29321e+06	0.0114543
Pacific	Single-Family Attached	1960-79	0.329923	0.433572	0.00782796	0.000780883	0.115686	0.0238559	0.0883539	87	418130	0.00274469
Pacific	Single-Family Detached	1960-79	0.332731	0.450339	0.0477162	0.0102734	0.0810716	0.0488469	0.0290216	426	2.87075e+06	0.0228268
Pacific	Mobile Home	1980-99	0.252587	0.344546	0.223749	0	0	0.0234767	0.155641	34	267578	0.00246687
Pacific	Multi-Family with 2 - 4 Units	1980-99	0.295209	0.402685	0	0.0280349	0.0320284	0.0414793	0.200563	46	460320	0.0029392
Pacific	Multi-Family with 5+ Units	1980-99	1	0	0	0	0	0	0	101	1.11422e+06	0.00981613
Pacific	Single-Family Attached	1980-99	0.276686	0.365863	0.00782336	0.020734	0.145338	0.0746343	0.108922	90	426947	0.00295428
Pacific	Single-Family Detached	1980-99	0.237845	0.323945	0.0303736	0.00409142	0.202394	0.139872	0.0614787	416	2.65585e+06	0.0209676
Pacific	Mobile Home	2000-09	0.391368	0.533852	0.0747792	0	0	0	0	10	67547	0.000772802
Pacific	Multi-Family with 2 - 4 Units	2000-09	0.138984	0.189584	0.010003	0.118512	0.123863	0.226125	0.192929	13	60833.3	0.000752738
Pacific	Multi-Family with 5+ Units	2000-09	1	0	0	0	0	0	0	60	572951	0.0036336
Pacific	Single-Family Attached	2000-09	0.158357	0.213342	0.0408492	0.000126519	0.219768	0.137282	0.230276	33	120695	0.00119689
Pacific	Single-Family Detached	2000-09	0.193888	0.264274	0.0291853	9.63085e-06	0.315393	0.168801	0.0284491	226	1.31417e+06	0.0111895
Pacific	Mobile Home	2010s	0.352965	0.481468	0.06761	0	0	0.0979564	0	15	21131.4	0.000195537
Pacific	Multi-Family with 2 - 4 Units	2010s	0.138984	0.189584	0.010003	0.118512	0.123863	0.226125	0.192929	13	50450.7	0.000296312
Pacific	Multi-Family with 5+ Units	2010s	1	0	0	0	0	0	0	59	480300	0.00214309
Pacific	Single-Family Attached	2010s	0.222327	0.303269	0.128531	0	0.139703	0.109304	0.0968649	22	64242.5	0.000439833
Pacific	Single-Family Detached	2010s	0.285653	0.381556	0.0422774	0.0168193	0.195719	0.0477734	0.0302023	114	566703	0.00291299
Pacific	Mobile Home	<1940	0.338135	0.452768	0.0644388	0.0131132	0.0451922	0.00640537	0.0799482	431	0	5.06079e-05
Pacific	Multi-Family with 2 - 4 Units	<1940	0.288232	0.354286	0.0126595	0.00184396	0.224682	0.0025643	0.115732	17	133567	0.00147278
Pacific	Multi-Family with 5+ Units	<1940	1	0	0	0	0	0	0	37	380171	0.00235708
Pacific	Single-Family Attached	<1940	0.342149	0.446783	0.00648953	0.000945254	0.109752	0.00131452	0.0925666	13	70779	0.000753963
Pacific	Single-Family Detached	<1940	0.344053	0.462604	0.0645513	0.00987658	0.0635357	0.0077351	0.0476444	204	1.31326e+06	0.00870618
South Atlantic	Mobile Home	1940-59	0.315495	0.423743	0.164445	0.0140549	0.042539	0.0102646	0.0294581	463	65505.7	0.000285542
South Atlantic	Multi-Family with 2 - 4 Units	1940-59	0.340027	0.463005	0.0250395	3.86387e-05	0.028991	0.126578	0.0163203	34	112680	0.00128878
