Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	Option=Void	source_count	source_weight	sampling_probability
1A	Not Available	Mobile Home	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	169	0	0
1A	Not Available	Mobile Home	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	48	0	0
1A	0-100%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	179	0	0
1A	0-100%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	132	0	1.39416e-05
1A	0-100%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	47	0	1.33377e-05
1A	100-150%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	179	0	0
1A	100-150%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	132	0	1.181e-05
1A	100-150%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	47	0	7.36514e-06
1A	150-200%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	179	0	0
1A	150-200%	Mobile Home	Owner	1960-79	0.137102	0.00631015	0.0641228	0.00590251	0.0641228	0.449522	0.0206893	0.224337	0.0103251	0.0175652	0	132	0	9.24144e-06
1A	150-200%	Mobile Home	Renter	1960-79	0.164549	0.00757336	0.0446319	0.00410838	0.0446319	0.416489	0.0191689	0.248534	0.0114388	0.0388758	0	47	0	4.87356e-06
1A	200-300%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	241	0	0
1A	200-300%	Mobile Home	Owner	1960-79	0.276351	0.0127191	0.118118	0.0108728	0.118118	0.270597	0.0124543	0.162886	0.00749685	0.0103874	0	193	0	1.48549e-05
1A	200-300%	Mobile Home	Renter	1960-79	0.211063	0.00971419	0.0104915	0.000965746	0.0104915	0.284443	0.0130915	0.439511	0.0202286	0	0	48	0	6.53316e-06
1A	300-400%	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	241	0	0
1A	300-400%	Mobile Home	Owner	1960-79	0.276351	0.0127191	0.118118	0.0108728	0.118118	0.270597	0.0124543	0.162886	0.00749685	0.0103874	0	193	0	9.11424e-06
1A	300-400%	Mobile Home	Renter	1960-79	0.211063	0.00971419	0.0104915	0.000965746	0.0104915	0.284443	0.0130915	0.439511	0.0202286	0	0	48	0	3.30226e-06
1A	400%+	Mobile Home	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	188	0	0
1A	400%+	Mobile Home	Owner	1960-79	0.199256	0.00917076	0.13474	0.0124028	0.13474	0.319142	0.0146885	0.13907	0.00640071	0.0303898	0	161	0	1.07567e-05
1A	400%+	Mobile Home	Renter	1960-79	0.0340002	0.00156486	0.115455	0.0106277	0.115455	0.467822	0.0215315	0.125693	0.00578504	0.102066	0	27	0	3.90418e-06
1A	Not Available	Mobile Home	Not Available	1960-79	0.197182	0.00907531	0.0972203	0.00894915	0.0972203	0.348069	0.0160199	0.193642	0.0089124	0.0237096	0	437	0	3.52465e-05
1A	Not Available	Mobile Home	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	353	0	0
1A	Not Available	Mobile Home	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	84	0	0
1A	0-100%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	222	0	0
1A	0-100%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	167	0	9.72685e-06
1A	0-100%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	55	0	8.27038e-06
1A	100-150%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	222	0	0
1A	100-150%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	167	0	7.47783e-06
1A	100-150%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	55	0	5.53153e-06
1A	150-200%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	222	0	0
1A	150-200%	Mobile Home	Owner	1980-99	0.184895	0.00850981	0.0719493	0.00620197	0.0628025	0.477607	0.0219819	0.133386	0.00613912	0.0265271	0	167	0	6.90143e-06
1A	150-200%	Mobile Home	Renter	1980-99	0.121312	0.00558341	0.0190121	0.00150636	0.0137169	0.542929	0.0249884	0.247614	0.0113965	0.0119411	0	55	0	4.35257e-06
1A	200-300%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	287	0	0
1A	200-300%	Mobile Home	Owner	1980-99	0.290107	0.0133522	0.108184	0.00888126	0.084781	0.372986	0.0171667	0.0859144	0.00395422	0.0146723	0	239	0	1.21885e-05
1A	200-300%	Mobile Home	Renter	1980-99	0.211035	0.00971293	0.112776	0.00875234	0.0773888	0.141234	0.0065003	0.318276	0.0146487	0.099676	0	48	0	5.99481e-06
1A	300-400%	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	287	0	0
1A	300-400%	Mobile Home	Owner	1980-99	0.290107	0.0133522	0.108184	0.00888126	0.084781	0.372986	0.0171667	0.0859144	0.00395422	0.0146723	0	239	0	8.74381e-06
1A	300-400%	Mobile Home	Renter	1980-99	0.211035	0.00971293	0.112776	0.00875234	0.0773888	0.141234	0.0065003	0.318276	0.0146487	0.099676	0	48	0	3.11207e-06
1A	400%+	Mobile Home	Not Available	1980-99	0	0	0	0	0	0	0	0	0	0	1	301	0	0
1A	400%+	Mobile Home	Owner	1980-99	0.332008	0.0152807	0.148515	0.011584	0.103173	0.245306	0.0112902	0.11008	0.00506645	0.0176971	0	278	0	1.25545e-05
1A	400%+	Mobile Home	Renter	1980-99	0.335488	0.0154409	0.1118	0.00853994	0.0737491	0.331836	0.0152728	0.103127	0.00474642	0	0	23	0	3.43145e-06
1A	Not Available	Mobile Home	Not Available	1980-99	0.268009	0.0123351	0.109839	0.00879775	0.0813126	0.345649	0.0159085	0.12985	0.00597635	0.0223236	0	582	0	2.75075e-05
1A	Not Available	Mobile Home	Owner	1980-99	0	0	0	0	0	0	0	0	0	0	1	489	0	0
1A	Not Available	Mobile Home	Renter	1980-99	0	0	0	0	0	0	0	0	0	0	1	93	0	0
1A	0-100%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	0-100%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	78	0	3.42568e-06
1A	0-100%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	16	0	2.70397e-06
1A	100-150%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	100-150%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	78	0	2.66551e-06
1A	100-150%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	16	0	1.73682e-06
1A	150-200%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	150-200%	Mobile Home	Owner	2000-09	0.327397	0.0150685	0.0551362	0.00634412	0.0827042	0.392634	0.018071	0.0885625	0.0040761	0.0100063	0	78	0	2.53134e-06
1A	150-200%	Mobile Home	Renter	2000-09	0.263234	0.0121154	0.176953	0.0203606	0.265429	0.161585	0.00743695	0.0887999	0.00408702	0	0	16	0	1.39311e-06
1A	200-300%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	202	0	0
1A	200-300%	Mobile Home	Owner	2000-09	0.342986	0.015786	0.0923278	0.0106235	0.138492	0.281129	0.012939	0.0753137	0.00346632	0.026937	0	170	0	5.0449e-06
1A	200-300%	Mobile Home	Renter	2000-09	0.352884	0.0162415	0.0694682	0.0079932	0.104202	0.3144	0.0144703	0.115045	0.00529497	0	0	32	0	1.9479e-06
1A	300-400%	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	202	0	0
1A	300-400%	Mobile Home	Owner	2000-09	0.342986	0.015786	0.0923278	0.0106235	0.138492	0.281129	0.012939	0.0753137	0.00346632	0.026937	0	170	0	3.70644e-06
1A	300-400%	Mobile Home	Renter	2000-09	0.352884	0.0162415	0.0694682	0.0079932	0.104202	0.3144	0.0144703	0.115045	0.00529497	0	0	32	0	1.02407e-06
1A	400%+	Mobile Home	Not Available	2000-09	0	0	0	0	0	0	0	0	0	0	1	231	0	0
1A	400%+	Mobile Home	Owner	2000-09	0.422621	0.0194512	0.118097	0.0135885	0.177145	0.16998	0.00782332	0.0549528	0.00252921	0.0138126	0	212	0	6.03733e-06
1A	400%+	Mobile Home	Renter	2000-09	0.287482	0.0132314	0.050706	0.00583438	0.0760591	0.347874	0.0160109	0.193879	0.00892331	0	0	19	0	1.10659e-06
1A	Not Available	Mobile Home	Not Available	2000-09	0.373583	0.0171942	0.0983205	0.011313	0.147481	0.247714	0.0114011	0.0744295	0.00342563	0.0151379	0	385	0	1.0116e-05
1A	Not Available	Mobile Home	Owner	2000-09	0	0	0	0	0	0	0	0	0	0	1	340	0	0
1A	Not Available	Mobile Home	Renter	2000-09	0	0	0	0	0	0	0	0	0	0	1	45	0	0
1A	0-100%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	62	0	0
1A	0-100%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	49	0	9.96716e-07
1A	0-100%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	13	0	7.58323e-07
1A	100-150%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	62	0	0
1A	100-150%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	49	0	8.98897e-07
1A	100-150%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	13	0	5.19274e-07
1A	150-200%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	62	0	0
1A	150-200%	Mobile Home	Owner	2010s	0.344917	0.0158749	0	0.0132554	0.288003	0.193352	0.00889903	0.10176	0.0046835	0.0292556	0	49	0	8.61409e-07
1A	150-200%	Mobile Home	Renter	2010s	0.536587	0.0246965	0	0.0093519	0.203191	0.185299	0.00852842	0.0309224	0.00142321	0	0	13	0	4.55836e-07
1A	200-300%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	119	8522.39	0
1A	200-300%	Mobile Home	Owner	2010s	0.401728	0.0184896	0	0.015624	0.339467	0.0788295	0.00362814	0.104454	0.00480752	0.0329718	0	107	8522.39	1.43095e-06
1A	200-300%	Mobile Home	Renter	2010s	0.549843	0.0253066	0	0	0	0.0290626	0.00133761	0.377094	0.0173558	0	0	12	0	6.69708e-07
1A	300-400%	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	119	7883.45	0
1A	300-400%	Mobile Home	Owner	2010s	0.401728	0.0184896	0	0.015624	0.339467	0.0788295	0.00362814	0.104454	0.00480752	0.0329718	0	107	7883.45	1.09829e-06
1A	300-400%	Mobile Home	Renter	2010s	0.549843	0.0253066	0	0	0	0.0290626	0.00133761	0.377094	0.0173558	0	0	12	0	3.50632e-07
1A	400%+	Mobile Home	Not Available	2010s	0	0	0	0	0	0	0	0	0	0	1	154	0	0
1A	400%+	Mobile Home	Owner	2010s	0.495993	0.0228281	0	0.014602	0.317261	0.0651006	0.00299626	0.0453543	0.00208743	0.033777	0	147	0	2.19587e-06
1A	400%+	Mobile Home	Renter	2010s	0.466558	0.0214734	0	0.0107803	0.234227	0.138386	0.00636922	0.116829	0.00537709	0	0	24	0	4.2061e-07
1A	Not Available	Mobile Home	Not Available	2010s	0.444087	0.0204391	0	0.0143706	0.312234	0.0950385	0.00437416	0.0756819	0.00348327	0.0302914	0	250	16405.8	4.17121e-06
1A	Not Available	Mobile Home	Owner	2010s	0	0	0	0	0	0	0	0	0	0	1	226	16405.8	0
1A	Not Available	Mobile Home	Renter	2010s	0	0	0	0	0	0	0	0	0	0	1	24	0	0
1A	0-100%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	0-100%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	2.83862e-07
1A	0-100%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	3.24165e-07
1A	100-150%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	100-150%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	1.68024e-07
1A	100-150%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	8.00067e-08
1A	150-200%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	108	0	0
1A	150-200%	Mobile Home	Owner	<1940	0.103839	0.00477922	0.0664103	0.00611308	0.0664103	0.243083	0.0111879	0.463004	0.0213098	0.0138627	0	70	0	1.17604e-07
1A	150-200%	Mobile Home	Renter	<1940	0.117003	0.00538507	0.0506571	0.004663	0.0506571	0.186017	0.00856146	0.551666	0.0253905	0	0	38	0	5.73027e-08
1A	200-300%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	200-300%	Mobile Home	Owner	<1940	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	82	0	1.75323e-07
1A	200-300%	Mobile Home	Renter	<1940	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	12	0	8.31305e-08
1A	300-400%	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	94	0	0
1A	300-400%	Mobile Home	Owner	<1940	0.191933	0.00883373	0.106777	0.00982888	0.106777	0.281364	0.0129498	0.269149	0.0123876	0	0	82	0	1.40001e-07
1A	300-400%	Mobile Home	Renter	<1940	0	0	0.155331	0.0142983	0.155331	0.332534	0.0153049	0.312804	0.0143968	0	0	12	0	4.2449e-08
1A	400%+	Mobile Home	Not Available	<1940	0	0	0	0	0	0	0	0	0	0	1	89	0	0
1A	400%+	Mobile Home	Owner	<1940	0.242332	0.0111534	0.117812	0.0108446	0.117812	0.196146	0.00902762	0.210051	0.00966763	0.0751538	0	79	0	3.11305e-07
1A	400%+	Mobile Home	Renter	<1940	0.160939	0.00740722	0.202809	0.0186686	0.202809	0.0513711	0.00236436	0.338072	0.0155598	0	0	10	0	6.56344e-08
1A	Not Available	Mobile Home	Not Available	<1940	0.164773	0.00758369	0.0970226	0.00893095	0.0970226	0.230509	0.0106092	0.343098	0.0157911	0.02466	0	217	0	5.35614e-07
1A	Not Available	Mobile Home	Owner	<1940	0	0	0	0	0	0	0	0	0	0	1	169	0	0
1A	Not Available	Mobile Home	Renter	<1940	0	0	0	0	0	0	0	0	0	0	1	48	0	0
1A	0-100%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	30847.4	0
1A	0-100%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	14297.3	2.15007e-06
1A	0-100%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	15	16550.2	3.15839e-05
1A	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	2058.1	0
1A	100-150%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	1968.05	1.79958e-06
1A	100-150%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	15	90.0531	2.0283e-05
1A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	18	2152.42	0
1A	150-200%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	0	1.93441e-06
1A	150-200%	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0.0276644	0.00254651	0.0276644	0.659824	0.0303685	0.164911	0.00759003	0.0794317	0	15	2152.42	1.63397e-05
1A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	825.854	0
1A	200-300%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	0	3.98944e-06
1A	200-300%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	22	825.854	2.60497e-05
1A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	12	1926.7	0
1A	300-400%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	0	3.07653e-06
1A	300-400%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	22	1926.7	1.51875e-05
1A	400%+	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	0	0	0	0	0	0	0	0	1	27	0	0
1A	400%+	Multi-Family with 2 - 4 Units	Owner	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	0	9.99507e-06
1A	400%+	Multi-Family with 2 - 4 Units	Renter	1940-59	0.110595	0.00509015	0.0540804	0.00497811	0.0540804	0.444981	0.0204803	0.249582	0.011487	0.0446463	0	22	0	2.21166e-05
1A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1940-59	0.0941636	0.00433389	0.0460455	0.00423849	0.0460455	0.480681	0.0221234	0.252724	0.0116316	0.0380131	0	27	37810.5	2.27573e-05
1A	Not Available	Multi-Family with 2 - 4 Units	Owner	1940-59	0	0	0	0	0	0	0	0	0	0	1	27	16265.3	0
1A	Not Available	Multi-Family with 2 - 4 Units	Renter	1940-59	0	0	0	0	0	0	0	0	0	0	1	22	21545.2	0
1A	0-100%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	14	18754.8	0
1A	0-100%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	33	0	5.67987e-06
1A	0-100%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.173912	0.0080043	0	0	0	0.760959	0.0350232	0.0211294	0.000972485	0	0	13	18754.8	6.26904e-05
1A	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	16	0	0
1A	100-150%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	33	0	6.13405e-06
1A	100-150%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0.0360677	0.00332004	0.0360677	0.869458	0.0400169	0.0144063	0.000663053	0	0	13	0	4.35498e-05
1A	150-200%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	11	0	0
1A	150-200%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.220411	0.0101444	0.0517838	0.00476671	0.0517838	0.418	0.0192385	0.0901507	0.00414919	0.129572	0	33	0	6.25662e-06
1A	150-200%	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0.0360677	0.00332004	0.0360677	0.869458	0.0400169	0.0144063	0.000663053	0	0	13	0	3.94262e-05
1A	200-300%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	20	0	0
1A	200-300%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.179985	0.00828381	0	0	0	0.529648	0.0243771	0.166384	0.00765785	0.0836647	0	19	0	1.19811e-05
1A	200-300%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.361622	0.0166437	0	0	0	0.400741	0.0184442	0.193637	0.00891216	0	0	11	0	6.07753e-05
1A	300-400%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	17	2052.85	0
1A	300-400%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.0350847	0.00161478	0	0	0	0.64221	0.0295578	0.139325	0.00641247	0.145795	0	10	2052.85	9.39087e-06
1A	300-400%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.452054	0.0208058	0	0	0	0.36496	0.0167973	0.138986	0.00639687	0	0	18	0	3.78364e-05
1A	400%+	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	0	0	0	0	0	0	0	0	1	22	0	0
1A	400%+	Multi-Family with 2 - 4 Units	Owner	1960-79	0.361207	0.0166246	0	0	0	0.391424	0.0180154	0.0744915	0.00342848	0.134809	0	10	0	3.52619e-05
1A	400%+	Multi-Family with 2 - 4 Units	Renter	1960-79	0.193912	0.00892484	0.0236432	0.00217636	0.0236432	0.655711	0.0301792	0.0590904	0.00271964	0	0	12	0	5.89691e-05
1A	Not Available	Multi-Family with 2 - 4 Units	Not Available	1960-79	0.257599	0.011856	0.00363024	0.000334165	0.00363024	0.567505	0.0261195	0.0929386	0.00427751	0.0321101	0	64	20807.6	5.26472e-05
1A	Not Available	Multi-Family with 2 - 4 Units	Owner	1960-79	0	0	0	0	0	0	0	0	0	0	1	23	2052.85	0
1A	Not Available	Multi-Family with 2 - 4 Units	Renter	1960-79	0	0	0	0	0	0	0	0	0	0	1	41	18754.8	0
