Dependency=Cooling Unavailable Days	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	source_count	source_weight	sampling_probability
Year round	400%+	Multi-Family with 2 - 4 Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	0	0
1 day	Not Available	Multi-Family with 2 - 4 Units	0.185379	0.0602617	0.00816687	0	0.161518	0.0358233	0.548851	0	13	75647	9.59562e-05
1 month	Not Available	Multi-Family with 2 - 4 Units	0	0.0183843	0.0504258	0.0439752	0	0.000526729	0.886688	0	17	119508	0.000151592
1 week	Not Available	Multi-Family with 2 - 4 Units	0.142682	0	0.169589	0	0.194592	0	0.493138	0	18	95527.8	0.000121175
2 weeks	Not Available	Multi-Family with 2 - 4 Units	0.0279483	0.0852629	0	0.0398613	0.110248	0.0134288	0.72325	0	13	70313.1	8.91904e-05
3 days	Not Available	Multi-Family with 2 - 4 Units	0.124139	0	0.0627321	0	0.279696	0	0.533433	0	18	112089	0.000142181
3 months	Not Available	Multi-Family with 2 - 4 Units	0	0.0136454	0.0245188	0.0436206	0	0.213668	0.556589	0.147958	15	81927.2	0.000103922
Never	Not Available	Multi-Family with 2 - 4 Units	0.00749686	0.00285952	0.00576782	0.00276621	0.0109064	0.00225041	0.966224	0.00172916	952	8.75371e+06	0.0111039
Year round	Not Available	Multi-Family with 2 - 4 Units	0	0.0200501	0	0.300752	0	0.0759595	0.579662	0.0235762	10	33076.9	4.19573e-05
1 day	0-100%	Multi-Family with 5+ Units	0.683167	0	0	0	0.0803205	0	0.236512	0	12	24442.5	0.000165729
1 month	0-100%	Multi-Family with 5+ Units	0	0	0.0966305	0	0	0	0.90337	0	22	17113	0.000116439
1 week	0-100%	Multi-Family with 5+ Units	0.0528078	0	0.149071	0	0.315954	0	0.482167	0	12	49965.3	0.000338781
2 weeks	0-100%	Multi-Family with 5+ Units	0.0352507	0	0.0499344	0	0.0518955	0	0.862919	0	10	47742	0.000323706
3 days	0-100%	Multi-Family with 5+ Units	0.0699962	0	0.115527	0	0.516903	0	0.297574	0	10	45287.1	0.000307062
3 months	0-100%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	10	33141.1	0.000225928
Never	0-100%	Multi-Family with 5+ Units	0.0128128	0.00260776	0.00431689	0.00320112	0.00840457	0	0.96483	0.0038265	479	4.35492e+06	0.0296799
Year round	0-100%	Multi-Family with 5+ Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	3899.59	2.64405e-05
1 day	100-150%	Multi-Family with 5+ Units	0.683167	0	0	0	0.0803205	0	0.236512	0	12	59969.5	0.000512317
1 month	100-150%	Multi-Family with 5+ Units	0	0	0.132636	0	0	0	0.867364	0	15	19489.6	0.000159611
1 week	100-150%	Multi-Family with 5+ Units	0.0800308	0.0146444	0.113741	0.0244073	0.193771	0	0.573406	0	13	26933.2	0.00022841
2 weeks	100-150%	Multi-Family with 5+ Units	0	0.0430448	0.164978	0.0717414	0	0	0.720236	0	13	14720.3	0.000125755
3 days	100-150%	Multi-Family with 5+ Units	0.275313	0	0	0	0.131213	0	0.593474	0	11	16418.5	0.000138584
3 months	100-150%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	10	17052	0.000125009
Never	100-150%	Multi-Family with 5+ Units	0.0041678	0.00140894	0	0.00561281	0.0162517	0.00590283	0.966656	0	372	2.03824e+06	0.0171795
Year round	100-150%	Multi-Family with 5+ Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	10131.7	8.65551e-05
1 day	150-200%	Multi-Family with 5+ Units	0.683167	0	0	0	0.0803205	0	0.236512	0	12	31974.4	0.000227147
1 month	150-200%	Multi-Family with 5+ Units	0	0	0.132636	0	0	0	0.867364	0	15	26437.2	0.000187811
1 week	150-200%	Multi-Family with 5+ Units	0.0800308	0.0146444	0.113741	0.0244073	0.193771	0	0.573406	0	13	45420.7	0.000311181
2 weeks	150-200%	Multi-Family with 5+ Units	0	0.0430448	0.164978	0.0717414	0	0	0.720236	0	13	46819.1	0.000332604
3 days	150-200%	Multi-Family with 5+ Units	0.275313	0	0	0	0.131213	0	0.593474	0	11	51146.5	0.000351856
3 months	150-200%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	10	4489.22	3.18916e-05
Never	150-200%	Multi-Family with 5+ Units	0.00831429	0.00198389	0	0	0.00213578	0	0.987566	0	331	1.96655e+06	0.0137638
Year round	150-200%	Multi-Family with 5+ Units	0.0197974	0.00348769	0.00846532	0.00498599	0.020234	0.00255135	0.937383	0.00309511	1942	0	0
1 day	200-300%	Multi-Family with 5+ Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	11	9332.97	7.38392e-05
1 month	200-300%	Multi-Family with 5+ Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	13	35851.8	0.000283647
1 week	200-300%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	11640.7	9.20975e-05
2 weeks	200-300%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	17055	0.000134933
3 days	200-300%	Multi-Family with 5+ Units	9.15193e-05	0	0	0	9.15193e-05	0	0.999817	0	11	14777.6	0.000116435
3 months	200-300%	Multi-Family with 5+ Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	21	413.858	3.2743e-06
Never	200-300%	Multi-Family with 5+ Units	0.000388569	0.000308719	0.00229458	0.00172094	0.000388569	0	0.994899	0	562	3.21989e+06	0.0245867
Year round	200-300%	Multi-Family with 5+ Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1397	10491	8.30009e-05
1 day	300-400%	Multi-Family with 5+ Units	0.0246585	0	0	0	0.0246585	0	0.950683	0	11	21313.8	0.000160911
1 month	300-400%	Multi-Family with 5+ Units	0	0.0119216	0.0217162	0.0805179	0	0.0546988	0.824448	0.00669781	13	6905.08	4.65255e-05
1 week	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	4855.99	3.66609e-05
2 weeks	300-400%	Multi-Family with 5+ Units	0	0.029138	1.59452e-05	0.0640307	4.78357e-05	0.133065	0.757409	0.0162936	12	0	0
3 days	300-400%	Multi-Family with 5+ Units	9.15193e-05	0	0	0	9.15193e-05	0	0.999817	0	11	25214	0.000185087
3 months	300-400%	Multi-Family with 5+ Units	0	0.00760686	0.0277131	0.0860179	0	0.219998	0.637839	0.0208255	21	17313.9	0.000130714
Never	300-400%	Multi-Family with 5+ Units	0	0	0	0	0	0	1	0	367	2.47689e+06	0.0178285
Year round	300-400%	Multi-Family with 5+ Units	0.00302372	0.00114295	0.00306263	0.0025049	0.00272721	0.00366271	0.983441	0.000434971	1397	2795.02	1.65092e-05
1 day	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	8580.54	5.46002e-05
1 month	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	32723.3	0.000188576
1 week	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	3239.55	2.06141e-05
2 weeks	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	15827.9	0.000100717
3 days	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	42516.6	0.000262367
3 months	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	1650.93	1.05053e-05
Never	400%+	Multi-Family with 5+ Units	0.000893993	0.00276598	0.000867008	0	0.00145936	0.00200301	0.991491	0.000519364	1026	7.90151e+06	0.0489676
Year round	400%+	Multi-Family with 5+ Units	0.00119518	0.00269884	0.00202581	0.000885062	0.00358519	0.00192843	0.987168	0.000513318	1311	2770.83	1.76316e-05
1 day	Not Available	Multi-Family with 5+ Units	0.527402	0	0	0	0.0671858	0	0.405413	0	16	155614	0.000176352
1 month	Not Available	Multi-Family with 5+ Units	0	0	0.0565215	0.0251301	0.00249337	0.0253191	0.887436	0.0031003	25	138520	0.00015698
1 week	Not Available	Multi-Family with 5+ Units	0.0593367	0.00747099	0.110365	0.0124516	0.221912	0	0.588464	0	24	142056	0.000160987
2 weeks	Not Available	Multi-Family with 5+ Units	0.011838	0.0186632	0.124626	0.0311053	0.0538695	0.0411168	0.713747	0.00503471	20	142164	0.00016111
3 days	Not Available	Multi-Family with 5+ Units	0.111461	0	0.0267806	0	0.191589	0	0.67017	0	28	195360	0.000221395
3 months	Not Available	Multi-Family with 5+ Units	0	0	0.0188008	0.0470021	0	0.0296902	0.890063	0.0144439	11	74061	8.39308e-05
Never	Not Available	Multi-Family with 5+ Units	0.00405133	0.00186626	0.00150463	0.00140824	0.00394883	0.0012687	0.985006	0.000945799	2356	2.1958e+07	0.0248843
Year round	Not Available	Multi-Family with 5+ Units	0	0.0200501	0	0.300752	0	0.0759595	0.579662	0.0235762	10	30088.1	3.40978e-05
1 day	0-100%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	11	13520.7	8.80938e-05
1 month	0-100%	Single-Family Attached	0.0106736	0.0402673	0.0805212	0	0.0643629	0.0430444	0.761131	0	13	35813.2	0.000218448
1 week	0-100%	Single-Family Attached	0.06998	0	0.286505	0	0.539082	0	0.104433	0	16	10946.2	6.28197e-05
2 weeks	0-100%	Single-Family Attached	0.0566609	0.0305864	0.0609492	0.0509773	0.256194	0	0.544633	0	18	14573.6	7.40521e-05
3 days	0-100%	Single-Family Attached	0.0550183	0	0.235027	0	0.178834	0	0.531121	0	15	6099.94	3.32336e-05
3 months	0-100%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	11	10303.4	6.77506e-05
Never	0-100%	Single-Family Attached	0.00546119	0.00229355	0.00515227	0.00519015	0.00742384	0.000834019	0.973645	0	195	837167	0.00495709
Year round	0-100%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	26	3214.67	2.85253e-05
1 day	100-150%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	11	6531.54	4.21791e-05
1 month	100-150%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	14	15192.7	9.80687e-05
1 week	100-150%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	10	22056	0.000132855
2 weeks	100-150%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	11	5904.43	3.81663e-05
3 days	100-150%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	11	18516	0.000112944
3 months	100-150%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	11	2761.47	1.6963e-05
Never	100-150%	Single-Family Attached	0	0	0.00226935	0	0.0308387	0	0.966892	0	183	559315	0.00349186
Year round	100-150%	Single-Family Attached	0.000607317	0	0	0	0.000607317	0.245025	0.345571	0.408189	26	0	0
1 day	150-200%	Single-Family Attached	0.285826	0	0	0	0.0623107	0.0659944	0.541873	0.0439963	11	6128.34	4.61437e-05
1 month	150-200%	Single-Family Attached	0.0948561	0.0240654	0	0.040109	0	0	0.84097	0	14	8627.43	6.35505e-05
1 week	150-200%	Single-Family Attached	0.058386	0	0.357441	0	0.465211	0	0.118962	0	10	6950.06	5.30087e-05
2 weeks	150-200%	Single-Family Attached	0.0762278	0.0573379	0.0515669	0.0955631	0.127795	0	0.59151	0	11	10758.2	8.15017e-05
3 days	150-200%	Single-Family Attached	0	0	0.281379	0	0.140496	0	0.578124	0	11	4347.66	3.29023e-05
3 months	150-200%	Single-Family Attached	0.117127	0.0329407	0.0652548	0	0.0483642	0.0957776	0.617824	0.0227119	11	1528.03	1.12185e-05
