Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None	sampling_probability
CR08	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002188
CR09	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004984
CR10	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000641
CR11	1960s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001780
CR02	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001301
CR05	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000869
CR03	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001182
CR04	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003258
CR06	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000854
CR07	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003169
CR08	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003125
CR09	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007117
CR10	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000916
CR11	1970s	Crawl	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002541
CR02	1980s	Crawl	Single-Family Detached	0.520000	0.000000	0.160000	0.000000	0.320000	0.000000	0.001141
CR05	1980s	Crawl	Single-Family Detached	0.300000	0.000000	0.610000	0.000000	0.090000	0.000000	0.000762
CR03	1980s	Crawl	Single-Family Detached	0.320000	0.000000	0.220000	0.000000	0.460000	0.000000	0.001036
CR04	1980s	Crawl	Single-Family Detached	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.002856
CR06	1980s	Crawl	Single-Family Detached	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.000749
CR07	1980s	Crawl	Single-Family Detached	0.440000	0.000000	0.070000	0.000000	0.490000	0.000000	0.002778
CR08	1980s	Crawl	Single-Family Detached	0.410000	0.000000	0.000000	0.000000	0.590000	0.000000	0.002739
CR09	1980s	Crawl	Single-Family Detached	0.390000	0.000000	0.310000	0.000000	0.290000	0.000000	0.006239
CR10	1980s	Crawl	Single-Family Detached	0.370000	0.000000	0.090000	0.000000	0.530000	0.000000	0.000803
CR11	1980s	Crawl	Single-Family Detached	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.002228
CR02	1990s	Crawl	Single-Family Detached	0.000000	0.200000	0.240000	0.400000	0.150000	0.000000	0.001198
CR05	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.390000	0.400000	0.210000	0.000000	0.000800
CR03	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.040000	0.350000	0.600000	0.000000	0.001088
CR04	1990s	Crawl	Single-Family Detached	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.002999
CR06	1990s	Crawl	Single-Family Detached	0.020000	0.010000	0.010000	0.050000	0.920000	0.000000	0.000786
CR07	1990s	Crawl	Single-Family Detached	0.000000	0.130000	0.110000	0.080000	0.680000	0.000000	0.002917
CR08	1990s	Crawl	Single-Family Detached	0.180000	0.030000	0.210000	0.110000	0.470000	0.000000	0.002876
CR09	1990s	Crawl	Single-Family Detached	0.100000	0.000000	0.000000	0.530000	0.360000	0.000000	0.006551
CR10	1990s	Crawl	Single-Family Detached	0.000000	0.000000	0.010000	0.390000	0.610000	0.000000	0.000843
CR11	1990s	Crawl	Single-Family Detached	0.030000	0.000000	0.010000	0.100000	0.860000	0.000000	0.002339
CR02	2000s	Crawl	Single-Family Detached	0.020000	0.120000	0.240000	0.440000	0.170000	0.000000	0.001221
CR05	2000s	Crawl	Single-Family Detached	0.000000	0.010000	0.480000	0.330000	0.170000	0.000000	0.000815
CR03	2000s	Crawl	Single-Family Detached	0.000000	0.050000	0.070000	0.320000	0.550000	0.000000	0.001109
CR04	2000s	Crawl	Single-Family Detached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.003057
CR06	2000s	Crawl	Single-Family Detached	0.020000	0.000000	0.190000	0.040000	0.760000	0.000000	0.000801
CR07	2000s	Crawl	Single-Family Detached	0.030000	0.060000	0.220000	0.070000	0.620000	0.000000	0.002973
CR08	2000s	Crawl	Single-Family Detached	0.130000	0.060000	0.290000	0.100000	0.420000	0.000000	0.002931
CR09	2000s	Crawl	Single-Family Detached	0.100000	0.000000	0.040000	0.510000	0.350000	0.000000	0.006677
CR10	2000s	Crawl	Single-Family Detached	0.000000	0.100000	0.050000	0.330000	0.520000	0.000000	0.000859
CR11	2000s	Crawl	Single-Family Detached	0.070000	0.000000	0.090000	0.090000	0.750000	0.000000	0.002384
CR02	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000105
CR05	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070
CR03	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000095
CR04	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000262
CR06	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000069
CR07	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000255
CR08	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000251
CR09	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000572
CR10	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000074
CR11	<1940	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000204
CR02	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000088
CR05	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000059
CR03	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000080
CR04	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000221
CR06	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000058
CR07	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000215
CR08	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000212
CR09	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000483
CR10	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000062
CR11	1950s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000172
CR02	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000089
CR05	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000060
CR03	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000081
CR04	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000224
CR06	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000059
CR07	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000217
CR08	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000214
CR09	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000488
CR10	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000063
CR11	1960s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000174
CR02	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000128
CR05	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000085
CR03	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000116
CR04	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000319
CR06	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000084
CR07	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000311
CR08	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000306
CR09	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000697
CR10	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000090
CR11	1970s	Crawl	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000249
CR02	1980s	Crawl	Single-Family Attached	0.520000	0.000000	0.160000	0.000000	0.320000	0.000000	0.000112
CR05	1980s	Crawl	Single-Family Attached	0.300000	0.000000	0.610000	0.000000	0.090000	0.000000	0.000075
CR03	1980s	Crawl	Single-Family Attached	0.320000	0.000000	0.220000	0.000000	0.460000	0.000000	0.000102
CR04	1980s	Crawl	Single-Family Attached	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.000280
CR06	1980s	Crawl	Single-Family Attached	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.000073
CR07	1980s	Crawl	Single-Family Attached	0.440000	0.000000	0.070000	0.000000	0.490000	0.000000	0.000272
CR08	1980s	Crawl	Single-Family Attached	0.410000	0.000000	0.000000	0.000000	0.590000	0.000000	0.000268
CR09	1980s	Crawl	Single-Family Attached	0.390000	0.000000	0.310000	0.000000	0.290000	0.000000	0.000611
CR10	1980s	Crawl	Single-Family Attached	0.370000	0.000000	0.090000	0.000000	0.530000	0.000000	0.000079
CR11	1980s	Crawl	Single-Family Attached	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.000218
CR02	1990s	Crawl	Single-Family Attached	0.000000	0.200000	0.240000	0.400000	0.150000	0.000000	0.000117
CR05	1990s	Crawl	Single-Family Attached	0.000000	0.000000	0.390000	0.400000	0.210000	0.000000	0.000078
CR03	1990s	Crawl	Single-Family Attached	0.000000	0.000000	0.040000	0.350000	0.600000	0.000000	0.000107
CR04	1990s	Crawl	Single-Family Attached	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.000294
CR06	1990s	Crawl	Single-Family Attached	0.020000	0.010000	0.010000	0.050000	0.920000	0.000000	0.000077
CR07	1990s	Crawl	Single-Family Attached	0.000000	0.130000	0.110000	0.080000	0.680000	0.000000	0.000286
CR08	1990s	Crawl	Single-Family Attached	0.180000	0.030000	0.210000	0.110000	0.470000	0.000000	0.000282
CR09	1990s	Crawl	Single-Family Attached	0.100000	0.000000	0.000000	0.530000	0.360000	0.000000	0.000642
CR10	1990s	Crawl	Single-Family Attached	0.000000	0.000000	0.010000	0.390000	0.610000	0.000000	0.000083
CR11	1990s	Crawl	Single-Family Attached	0.030000	0.000000	0.010000	0.100000	0.860000	0.000000	0.000229
CR02	2000s	Crawl	Single-Family Attached	0.020000	0.120000	0.240000	0.440000	0.170000	0.000000	0.000120
CR05	2000s	Crawl	Single-Family Attached	0.000000	0.010000	0.480000	0.330000	0.170000	0.000000	0.000080
CR03	2000s	Crawl	Single-Family Attached	0.000000	0.050000	0.070000	0.320000	0.550000	0.000000	0.000109
CR04	2000s	Crawl	Single-Family Attached	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000300
CR06	2000s	Crawl	Single-Family Attached	0.020000	0.000000	0.190000	0.040000	0.760000	0.000000	0.000079
CR07	2000s	Crawl	Single-Family Attached	0.030000	0.060000	0.220000	0.070000	0.620000	0.000000	0.000291
CR08	2000s	Crawl	Single-Family Attached	0.130000	0.060000	0.290000	0.100000	0.420000	0.000000	0.000287
CR09	2000s	Crawl	Single-Family Attached	0.100000	0.000000	0.040000	0.510000	0.350000	0.000000	0.000654
CR10	2000s	Crawl	Single-Family Attached	0.000000	0.100000	0.050000	0.330000	0.520000	0.000000	0.000084
CR11	2000s	Crawl	Single-Family Attached	0.070000	0.000000	0.090000	0.090000	0.750000	0.000000	0.000234
CR02	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	<1940	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1950s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1960s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR05	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR04	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR06	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR08	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR09	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR10	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR11	1970s	Crawl	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CR02	1980s	Crawl	Mobile Home	0.520000	0.000000	0.160000	0.000000	0.320000	0.000000	0.000000
CR05	1980s	Crawl	Mobile Home	0.300000	0.000000	0.610000	0.000000	0.090000	0.000000	0.000000
CR03	1980s	Crawl	Mobile Home	0.320000	0.000000	0.220000	0.000000	0.460000	0.000000	0.000000
CR04	1980s	Crawl	Mobile Home	0.100000	0.000000	0.830000	0.000000	0.080000	0.000000	0.000000
CR06	1980s	Crawl	Mobile Home	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.000000
CR07	1980s	Crawl	Mobile Home	0.440000	0.000000	0.070000	0.000000	0.490000	0.000000	0.000000
CR08	1980s	Crawl	Mobile Home	0.410000	0.000000	0.000000	0.000000	0.590000	0.000000	0.000000
CR09	1980s	Crawl	Mobile Home	0.390000	0.000000	0.310000	0.000000	0.290000	0.000000	0.000000
CR10	1980s	Crawl	Mobile Home	0.370000	0.000000	0.090000	0.000000	0.530000	0.000000	0.000000
CR11	1980s	Crawl	Mobile Home	0.210000	0.000000	0.090000	0.000000	0.700000	0.000000	0.000000
CR02	1990s	Crawl	Mobile Home	0.000000	0.200000	0.240000	0.400000	0.150000	0.000000	0.000000
CR05	1990s	Crawl	Mobile Home	0.000000	0.000000	0.390000	0.400000	0.210000	0.000000	0.000000
CR03	1990s	Crawl	Mobile Home	0.000000	0.000000	0.040000	0.350000	0.600000	0.000000	0.000000
CR04	1990s	Crawl	Mobile Home	0.010000	0.200000	0.440000	0.230000	0.120000	0.000000	0.000000
CR06	1990s	Crawl	Mobile Home	0.020000	0.010000	0.010000	0.050000	0.920000	0.000000	0.000000
CR07	1990s	Crawl	Mobile Home	0.000000	0.130000	0.110000	0.080000	0.680000	0.000000	0.000000
CR08	1990s	Crawl	Mobile Home	0.180000	0.030000	0.210000	0.110000	0.470000	0.000000	0.000000
CR09	1990s	Crawl	Mobile Home	0.100000	0.000000	0.000000	0.530000	0.360000	0.000000	0.000000
CR10	1990s	Crawl	Mobile Home	0.000000	0.000000	0.010000	0.390000	0.610000	0.000000	0.000000
CR11	1990s	Crawl	Mobile Home	0.030000	0.000000	0.010000	0.100000	0.860000	0.000000	0.000000
CR02	2000s	Crawl	Mobile Home	0.020000	0.120000	0.240000	0.440000	0.170000	0.000000	0.000000
CR05	2000s	Crawl	Mobile Home	0.000000	0.010000	0.480000	0.330000	0.170000	0.000000	0.000000
CR03	2000s	Crawl	Mobile Home	0.000000	0.050000	0.070000	0.320000	0.550000	0.000000	0.000000
CR04	2000s	Crawl	Mobile Home	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000000
CR06	2000s	Crawl	Mobile Home	0.020000	0.000000	0.190000	0.040000	0.760000	0.000000	0.000000
CR07	2000s	Crawl	Mobile Home	0.030000	0.060000	0.220000	0.070000	0.620000	0.000000	0.000000
CR08	2000s	Crawl	Mobile Home	0.130000	0.060000	0.290000	0.100000	0.420000	0.000000	0.000000
CR09	2000s	Crawl	Mobile Home	0.100000	0.000000	0.040000	0.510000	0.350000	0.000000	0.000000
CR10	2000s	Crawl	Mobile Home	0.000000	0.100000	0.050000	0.330000	0.520000	0.000000	0.000000
CR11	2000s	Crawl	Mobile Home	0.070000	0.000000	0.090000	0.090000	0.750000	0.000000	0.000000
CR02	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000380
CR05	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000254
CR03	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000345
CR04	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000951
CR06	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000249
CR07	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000925
CR08	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000912
CR09	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002078
CR10	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000267
CR11	<1940	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000742
CR02	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000321
CR05	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000214
CR03	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000291
CR04	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000803
CR06	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000210
CR07	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000781
CR08	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000770
CR09	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001754
CR10	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000226
CR11	1950s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000626
CR02	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000325
CR05	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000217
CR03	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000295
CR04	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000812
CR06	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000213
CR07	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000790
CR08	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000779
CR09	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001775
CR10	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000228
CR11	1960s	Crawl	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000634
