Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
East North Central	Mobile Home	100000-149999	In metro area, principal city	Owner	<1940	0	0.188444	0.0532251	0.289063	0	0	0.469268	0	0	1.38072e-20	1.24647e-38	1.81114e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	1940-59	0.558993	0.212527	0.016675	0.184442	0	0.0273634	0	0	0	0.0658603	0.702038	0
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	1960-79	0	0.0543047	0.136984	0.746476	0.0622352	0	0	0	0	0.651949	52.1849	0
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	1980-99	0	0.0421245	0.0653752	0.571048	0.237488	0.0839644	0	0	0	2.86016	208.739	8.42666e-08
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	2000-09	0	0.0952425	0.0623045	0.559043	0.191916	0.091494	0	0	0	0.616594	46.6783	1.26388e-07
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	2010s	0.397748	0.0198138	0.0116695	0.374235	0.102509	0.0940243	0	0	0	0.102127	0.697632	1.88603e-08
East North Central	Mobile Home	100000-149999	In metro area, principal city	Renter	<1940	0.748515	0.075757	0.0192934	0.156434	0	0	0	0	0	6.19886e-22	5.5973e-40	1.94728e-07
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1940-59	0	0	0	0.610418	0.389582	0	0	0	0	0.075766	18.0449	1.59075e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1960-79	0	0	0	0.660351	0.133654	0.205995	0	0	0	4.49489	8398.07	2.3888e-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	1980-99	0	0	0	0.343328	0.491567	0.107814	0	0.0572905	0	6.84319	9494.75	6.69801e-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	2000-09	0	0	0	0.190119	0.359319	0.12871	0.17914	0.142712	0	2.17654	4235.82	2.81301e-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	2010s	0	0	0	0.28469	0	0.71531	0	0	0	0.212994	186.263	5.47257e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Owner	<1940	0	0	0	0.219349	0.244202	0	0.536449	0	0	0.0284362	10.1674	1.34857e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1940-59	0	0	0	0.733707	0.266293	0	0	0	0	0.00639892	1.75019	2.91282e-07
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1960-79	0	0	0	0.896781	0.103219	0	0	0	0	0.379622	814.533	5.93684e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	1980-99	0	0	0	0.551203	0.448797	0	0	0	0	0.577952	920.901	1.03859e-05
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	2000-09	0	0	0	0.48198	0.51802	0	0	0	0	0.183823	410.834	3.5626e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	2010s	0	0	0	1	0	0	0	0	0	0.0179887	18.0658	1.42e-06
East North Central	Mobile Home	100000-149999	Not/partially in metro area	Renter	<1940	0	0	0	0.61233	0.38767	0	0	0	0	0.00240162	0.986142	3.51458e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	1940-59	0	0.131616	0.105006	0.364667	0.113499	0.246659	0	0	0.0385533	0.354275	8.24092	9.29039e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	1960-79	0	0.218736	0.281429	0.32387	0.12603	0	0	0	0.0499344	2.59441	441.95	9.27101e-06
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	1980-99	0	0.0243649	0.116041	0.402507	0.259856	0.168322	0	0	0.0289093	30.7501	4884.44	1.38101e-05
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.0777317	0.278577	0.368936	0.252991	0	0	0.0217649	0.900026	143.55	6.59274e-06
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	2010s	0	0.0116272	0.0244434	0.166219	0.219326	0.164302	0	0.400041	0.0140408	1.30758	17.6536	1.21593e-06
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Owner	<1940	0	0	0.0320514	0.252036	0.648733	0.0451606	0	0	0.0220194	1.26392e-21	6.85025e-40	3.09345e-06
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	1940-59	0	0.462523	0.105021	0.277786	0.115166	0	0	0	0.0395043	0.0403905	1.02724	1.395e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	1960-79	0	0.520821	0.190708	0.167158	0.0866455	0	0	0	0.0346676	0.295786	55.0896	8.79202e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	1980-99	0	0.106817	0.144784	0.382506	0.328938	0	0	0	0.0369548	3.50578	608.851	4.2585e-06
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.113227	0.309067	0.545224	0	0	0	0.0324813	0.102611	17.8937	5.45088e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	2010s	0	0.0487147	0.0291461	0.150957	0.265326	0	0	0.488703	0.0171528	0.149076	2.20055	5.40598e-07
East North Central	Mobile Home	150000+	In metro area, not/partially in principal city	Renter	<1940	0	0	0.035426	0.212174	0.727465	0	0	0	0.0249346	1.44098e-22	8.53892e-41	3.26896e-07
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	1940-59	0	0.496489	0.0094604	0.415614	0	0.0784365	0	0	0	0.777486	8.30525	0
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	1960-79	0	0.0367655	0.0225228	0.487477	0.0796723	0	0.373563	0	0	7.69631	617.358	4.08311e-07
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	1980-99	0	0.0362857	0.0136761	0.47447	0.386822	0.0887458	0	0	0	33.7644	2469.42	3.02357e-07
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	2000-09	0	0.0846772	0.0134525	0.47942	0.322639	0.0998113	0	0	0	7.27894	552.214	0
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	2010s	0	0.0211841	0.00303002	0.385944	0.20724	0.123349	0.259253	0	0	1.20562	8.25312	1.61482e-08
East North Central	Mobile Home	150000+	In metro area, principal city	Owner	<1940	0	0.0489567	0.00302793	0.0975117	0	0	0.850504	0	0	7.3178e-21	6.62172e-39	1.13197e-06
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	1940-59	0.68883	0.135985	0.00233637	0.153239	0	0.0196095	0	0	0	0.034906	0.37295	0
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	1960-79	0	0.0480248	0.0265276	0.857192	0.0682554	0	0	0	0	0.345533	27.7227	0
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	1980-99	0	0.0355034	0.0120656	0.624945	0.248227	0.0792593	0	0	0	1.51588	110.89	3.65268e-07
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	2000-09	0	0.081039	0.0116087	0.61765	0.20251	0.0871918	0	0	0	0.326795	24.7974	1.56532e-08
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	2010s	0.508388	0.01315	0.00169594	0.322505	0.0843708	0.0698904	0	0	0	0.0541275	0.37061	6.66301e-09
East North Central	Mobile Home	150000+	In metro area, principal city	Renter	<1940	0.835847	0.0439258	0.00244965	0.117777	0	0	0	0	0	3.28539e-22	2.97351e-40	0
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	1940-59	0	0.0515688	0.431572	0.420164	0.0966944	0	0	0	0	0.14143	1.95012	0
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	1960-79	0	0.0930758	0.22714	0.368811	0.0269167	0.284057	0	0	0	8.39046	907.58	7.852e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	1980-99	0	0.003755	0.227331	0.335534	0.173229	0.260151	0	0	0	12.774	1026.1	2.24763e-05
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	2000-09	0	0	0.0489432	0.203969	0.139004	0.340935	0.267148	0	0	4.06287	457.766	7.15209e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	2010s	0	0.00824505	0.110114	0.122389	0	0.759252	0	0	0	0.397589	20.1295	2.19032e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Owner	<1940	0	0	0.279331	0.15011	0.0602604	0	0.510299	0	0	0.0530809	1.09879	7.32048e-07
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	1940-59	0	0.10941	0.370813	0.459624	0.0601519	0	0	0	0	0.0119447	0.189143	1.1867e-07
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	1960-79	0	0.242946	0.240102	0.496351	0.0206002	0	0	0	0	0.708628	88.0267	1.55186e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	1980-99	0	0.0117486	0.288049	0.541284	0.158918	0	0	0	0	1.07884	99.5219	3.17717e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	2000-09	0	0	0.119587	0.634509	0.245904	0	0	0	0	0.343136	44.3989	1.3597e-06
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	2010s	0	0.0711134	0.384618	0.544269	0	0	0	0	0	0.033579	1.95237	1.23067e-07
East North Central	Mobile Home	150000+	Not/partially in metro area	Renter	<1940	0	0	0.543367	0.371763	0.0848697	0	0	0	0	0.00448302	0.106573	1.51982e-07
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	1940-59	0	0.201687	0.187771	0.440552	0.0818571	0.0881323	0	0	0	0.363132	191.289	9.17392e-06
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	1960-79	0	0.253818	0.381075	0.29628	0.0688281	0	0	0	0	2.65927	10258.6	0.000187705
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	1980-99	0	0.0381508	0.212027	0.496871	0.191498	0.0614538	0	0	0	31.5188	113378	0.000321637
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.167061	0.404493	0.319801	0.108645	0	0	0	0.922527	3332.1	6.73068e-05
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	2010s	0	0.0371801	0.0912091	0.41903	0.330078	0.122503	0	0	0	1.34027	409.777	2.33177e-05
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Owner	<1940	0	0	0.0677623	0.359992	0.553168	0.0190777	0	0	0	1.29552e-21	1.59009e-38	3.19368e-06
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	1940-59	0	0.538899	0.142788	0.255161	0.0631524	0	0	0	0	0.0414003	23.8444	4.2695e-06
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	1960-79	0	0.568629	0.242969	0.143879	0.0445224	0	0	0	0	0.303181	1278.75	6.51155e-05
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	1980-99	0	0.145898	0.230764	0.411885	0.211453	0	0	0	0	3.59342	14132.7	0.000108131
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.208932	0.385297	0.40577	0	0	0	0	0.105176	415.351	2.89837e-05
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	2010s	0	0.149153	0.104134	0.36438	0.382334	0	0	0	0	0.152803	51.0792	9.92298e-06
East North Central	Mobile Home	20000-39999	In metro area, not/partially in principal city	Renter	<1940	0	0	0.0750277	0.303585	0.621387	0	0	0	0	1.47701e-22	1.98206e-39	2.90378e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	1940-59	0	0.467266	0.144417	0.36666	0	0.0216568	0	0	0	0.674799	86.1342	4.34633e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	1960-79	0	0.0358579	0.356304	0.445674	0.0657777	0	0.0963864	0	0	6.67982	6402.65	3.45258e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	1980-99	0	0.0343498	0.209994	0.421034	0.309976	0.0246467	0	0	0	29.3049	25610.5	4.78176e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	2000-09	0	0.0802874	0.20689	0.426105	0.258955	0.027764	0	0	0	6.31757	5727.04	8.39022e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	2010s	0	0.0297399	0.0689969	0.507894	0.246281	0.0508027	0.0962856	0	0	1.04639	85.5936	2.66694e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Owner	<1940	0	0.118117	0.118495	0.220534	0	0	0.542854	0	0	6.3513e-21	6.86742e-38	1.098e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	1940-59	0.745293	0.107141	0.0298579	0.113175	0	0.00453266	0	0	0	0.0302958	3.86789	7.39359e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	1960-79	0	0.03585	0.3212	0.599819	0.0431307	0	0	0	0	0.299897	287.513	1.51191e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	1980-99	0	0.0337998	0.186315	0.557707	0.200042	0.0221369	0	0	0	1.31567	1150.05	1.2487e-06
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	2000-09	0	0.0775259	0.180131	0.553878	0.163994	0.0244709	0	0	0	0.283633	257.175	8.35506e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	2010s	0.61617	0.0116059	0.0242784	0.266815	0.0630338	0.0180965	0	0	0	0.0469786	3.84361	1.12583e-07
East North Central	Mobile Home	20000-39999	In metro area, principal city	Renter	<1940	0.855382	0.0327342	0.0296101	0.0822741	0	0	0	0	0	2.85147e-22	3.08384e-39	6.62826e-07
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	1940-59	0	0.15377	0.284574	0.427052	0.134604	0	0	0	0	0.2374	109.062	1.53554e-05
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	1960-79	0	0.320456	0.172935	0.432826	0.0432642	0.0305189	0	0	0	14.084	50757.1	0.000240961
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	1980-99	0	0.0141174	0.189	0.429991	0.304047	0.0305212	0	0.032324	0	21.442	57385.4	0.000360199
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	2000-09	0	0	0.0603319	0.38756	0.361743	0.0593061	0	0.131059	0	6.81982	25600.9	7.57117e-05
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	2010s	0	0.0841283	0.248455	0.425667	0	0.24175	0	0	0	0.667382	1125.76	1.35744e-05
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Owner	<1940	0	0	0.43787	0.362707	0.199423	0	0	0	0	0.0891001	61.4508	4.85476e-06
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	1940-59	0	0.290862	0.217992	0.416493	0.0746536	0	0	0	0	0.02005	10.578	5.04887e-06
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	1960-79	0	0.511633	0.111816	0.356299	0.0202532	0	0	0	0	1.18948	4922.96	8.9894e-05
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	1980-99	0	0.0351609	0.190632	0.552173	0.222034	0	0	0	0	1.81091	5565.84	0.000146978
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	2000-09	0	0	0.0739666	0.604937	0.321096	0	0	0	0	0.575978	2483.04	3.50618e-05
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	2010s	0	0.208125	0.24892	0.542955	0	0	0	0	0	0.0563647	109.188	6.58861e-06
East North Central	Mobile Home	20000-39999	Not/partially in metro area	Renter	<1940	0	0	0.4194	0.442305	0.138295	0	0	0	0	0.00752507	5.96015	2.17524e-06
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	1940-59	0	0	0.436868	0.482575	0	0.0805568	0	0	0	0.203708	104.507	4.27237e-06
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	1960-79	0	0	0.732039	0.267961	0	0	0	0	0	1.49179	5604.6	0.000101171
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	1980-99	0	0	0.451023	0.497619	0	0.0513573	0	0	0	17.6813	61942	0.000208189
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.417462	0.47588	0	0.106658	0	0	0	0.517515	1820.44	5.76919e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	2010s	0	0	0.270956	0.586072	0	0.142972	0	0	0	0.751861	223.875	3.59772e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Owner	<1940	0	0	0.276869	0.692507	0	0.0306237	0	0	0	7.26756e-22	8.68715e-39	3.31005e-06
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	1940-59	0	0	0.543084	0.456916	0	0	0	0	0	0.0232245	13.027	3.59672e-06
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	1960-79	0	0	0.781984	0.218016	0	0	0	0	0	0.170077	698.62	3.38735e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	1980-99	0	0	0.543379	0.456621	0	0	0	0	0	2.01582	7721.15	7.57965e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.535266	0.464734	0	0	0	0	0	0.0590013	226.92	1.68472e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	2010s	0	0	0.377725	0.622275	0	0	0	0	0	0.0857188	27.9062	1.33486e-05
East North Central	Mobile Home	40000-59999	In metro area, not/partially in principal city	Renter	<1940	0	0	0.344229	0.655771	0	0	0	0	0	8.28566e-23	1.08286e-39	1.59802e-06
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	1940-59	0	0	0.247801	0.709939	0	0.0422599	0	0	0	0.308061	52.023	6.68667e-07
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	1960-79	0	0	0.399464	0.563829	0.0367071	0	0	0	0	3.04948	3867.05	1.22463e-06
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	1980-99	0	0	0.24209	0.547723	0.177874	0.0323132	0	0	0	13.3783	15468.1	3.35919e-06
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	2000-09	0	0	0.24392	0.566889	0.151966	0.0372255	0	0	0	2.88411	3459	1.24582e-06
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	2010s	0	0	0.083889	0.696821	0.149046	0.0702444	0	0	0	0.477699	51.6965	3.99512e-07
East North Central	Mobile Home	40000-59999	In metro area, principal city	Owner	<1940	0	0	0.322566	0.677434	0	0	0	0	0	2.8995e-21	4.14776e-38	7.92375e-08
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	1940-59	0	0	0.183489	0.784833	0	0.0316778	0	0	0	0.0138307	2.33611	8.94766e-08
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	1960-79	0	0	0.31505	0.663892	0.0210574	0	0	0	0	0.136909	173.651	4.86762e-07
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	1980-99	0	0	0.198125	0.669222	0.105883	0.0267706	0	0	0	0.600633	694.602	2.18774e-06
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	2000-09	0	0	0.196951	0.683371	0.0892503	0.0304277	0	0	0	0.129485	155.328	4.68251e-07
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	2010s	0	0	0.0643452	0.797957	0.0831542	0.0545432	0	0	0	0.0214468	2.32145	1.33605e-07
East North Central	Mobile Home	40000-59999	In metro area, principal city	Renter	<1940	0	0	0.241813	0.758187	0	0	0	0	0	1.30176e-22	1.86257e-39	3.10816e-07
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	1940-59	0	0	0.188561	0.584475	0.226964	0	0	0	0	0.146481	76.6777	6.5872e-06
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	1960-79	0	0	0.141814	0.733124	0.0902829	0.0347793	0	0	0	8.69011	35685.6	0.000127374
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	1980-99	0	0	0.0998267	0.469107	0.408663	0.0224028	0	0	0	13.2302	40345.7	0.000251889
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	2000-09	0	0	0.0201136	0.266877	0.306892	0.0274764	0.378641	0	0	4.20797	17999.1	7.12592e-05
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	2010s	0	0	0.169752	0.600712	0	0.229535	0	0	0	0.411789	791.481	1.71456e-05
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Owner	<1940	0	0	0.0983233	0.168227	0.113953	0	0.619496	0	0	0.0549766	43.204	3.20761e-06
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	1940-59	0	0	0.171886	0.678321	0.149793	0	0	0	0	0.0123712	7.43702	2.26552e-06
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	1960-79	0	0	0.124337	0.818353	0.0573103	0	0	0	0	0.733936	3461.17	4.06841e-05
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	1980-99	0	0	0.100535	0.601487	0.297978	0	0	0	0	1.11737	3913.15	7.8797e-05
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	2000-09	0	0	0.0345545	0.583725	0.381721	0	0	0	0	0.35539	1745.74	2.48183e-05
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	2010s	0	0	0.18164	0.81836	0	0	0	0	0	0.0347782	76.7662	4.5383e-06
East North Central	Mobile Home	40000-59999	Not/partially in metro area	Renter	<1940	0	0	0.248915	0.542218	0.208867	0	0	0	0	0.00464313	4.19038	3.79955e-07
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	1940-59	0	0.325976	0.096005	0.506685	0.0713344	0	0	0	0	0.14171	68.1849	4.42459e-06
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	1960-79	0	0.407863	0.193714	0.338788	0.0596342	0	0	0	0	1.03777	3656.67	6.89421e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	1980-99	0	0.0678783	0.119337	0.629077	0.183707	0	0	0	0	12.3	40413.6	0.000192757
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	2000-09	0	0	0.102996	0.560957	0.336047	0	0	0	0	0.36001	1187.73	5.61799e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	2010s	0	0.0685744	0.0532168	0.549959	0.32825	0	0	0	0	0.523034	146.065	2.48425e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Owner	<1940	0	0	0.0372243	0.444843	0.517933	0	0	0	0	5.05569e-22	5.66786e-39	4.64183e-06
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	1940-59	0	0.673884	0.0564842	0.227052	0.0425798	0	0	0	0	0.0161562	8.49933	1.30025e-06
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	1960-79	0	0.73668	0.0995772	0.132642	0.0311003	0	0	0	0	0.118315	455.808	2.24107e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	1980-99	0	0.233061	0.116614	0.4682	0.182126	0	0	0	0	1.40231	5037.6	5.24082e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	2000-09	0	0	0.118225	0.490428	0.391347	0	0	0	0	0.0410444	148.052	1.53052e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	2010s	0	0.230339	0.0508732	0.400429	0.318358	0	0	0	0	0.0596305	18.2072	1.39583e-05
East North Central	Mobile Home	60000-99999	In metro area, not/partially in principal city	Renter	<1940	0	0	0.0412913	0.375831	0.582877	0	0	0	0	5.76394e-23	7.06505e-40	7.9194e-07
East North Central	Mobile Home	60000-99999	In metro area, principal city	Owner	1940-59	0	0	0.252891	0.623606	0	0.123503	0	0	0	0.396078	55.7145	1.08658e-06
