Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Option=No	Option=Yes	source_count	source_weight	sampling_probability
7B	Multi-Family with 5+ Units	No	0.92318	0.0768199	5	0	0.000191801
7B	Single-Family Attached	No	0.92318	0.0768199	5	821.043	7.43416e-05
7B	Single-Family Detached	No	0.92318	0.0768199	5	16206.7	0.000645165
7B	Mobile Home	Yes	0.49883	0.50117	2	0	1.62911e-06
7B	Multi-Family with 2 - 4 Units	Yes	0.49883	0.50117	2	0	7.46807e-06
7B	Multi-Family with 5+ Units	Yes	0.49883	0.50117	2	0	3.48253e-05
7B	Single-Family Attached	Yes	0.49883	0.50117	2	1028.56	5.69382e-06
7B	Single-Family Detached	Yes	0.49883	0.50117	2	1033.39	2.61859e-05
8AK	Mobile Home	No	0.575947	0.424053	46	944.437	3.16197e-05
8AK	Multi-Family with 2 - 4 Units	No	0.592954	0.407046	50	2167.75	5.72538e-05
8AK	Multi-Family with 5+ Units	No	0.592954	0.407046	50	2185.89	4.94079e-05
8AK	Single-Family Attached	No	0.575947	0.424053	46	4358.93	2.70077e-05
8AK	Single-Family Detached	No	0.545933	0.454067	38	34869.5	0.000336791
8AK	Mobile Home	Yes	1	0	4	0	7.94997e-07
8AK	Multi-Family with 2 - 4 Units	Yes	1	0	4	0	3.54128e-06
8AK	Multi-Family with 5+ Units	Yes	1	0	4	0	5.81428e-06
8AK	Single-Family Attached	Yes	1	0	4	2016.16	1.70992e-06
8AK	Single-Family Detached	Yes	1	0	4	862.757	5.51734e-06
# Created by: sources\recs\recs2020\tsv_maker.py
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only, 2) lumping all building types together
