Dependency=ASHRAE IECC Climate Zone 2004	Dependency=HVAC Has Zonal Electric Heating	Dependency=Geometry Building Type RECS	Option=Yes	Option=No	source_count	source_weight	sampling_probability
3A	Yes	Multi-Family with 2 - 4 Units	0	1	22	226699.47	0.001111
3B	No	Multi-Family with 2 - 4 Units	0	1	333	2641525.13	0.006576
3B	Yes	Multi-Family with 2 - 4 Units	0	1	57	456089.75	0.000775
3C	No	Multi-Family with 2 - 4 Units	0	1	119	965893.78	0.001659
3C	Yes	Multi-Family with 2 - 4 Units	0	1	32	268255.68	0.000196
4A	No	Multi-Family with 2 - 4 Units	0	1	836	7995568.59	0.015238
4A	Yes	Multi-Family with 2 - 4 Units	0	1	67	826939.55	0.001797
4B	No	Multi-Family with 2 - 4 Units	0	1	333	2641525.13	0.000547
4B	Yes	Multi-Family with 2 - 4 Units	0	1	57	456089.75	0.000065
4C	No	Multi-Family with 2 - 4 Units	0	1	21	192745.66	0.002039
4C	Yes	Multi-Family with 2 - 4 Units	0	1	76	830198.5	0.00024
5A	No	Multi-Family with 2 - 4 Units	0	1	739	7946116.51	0.015952
5A	Yes	Multi-Family with 2 - 4 Units	0	1	105	1220928.95	0.001881
5B	No	Multi-Family with 2 - 4 Units	0	1	122	841554.8	0.002682
5B	Yes	Multi-Family with 2 - 4 Units	0	1	11	93789.66	0.000316
6A	No	Multi-Family with 2 - 4 Units	0	1	174	1408846.09	0.004327
6A	Yes	Multi-Family with 2 - 4 Units	0	1	31	247480.48	0.00051
6B	No	Multi-Family with 2 - 4 Units	0	1	174	1408846.09	0.000653
6B	Yes	Multi-Family with 2 - 4 Units	0	1	31	247480.48	0.000077
7A	No	Multi-Family with 2 - 4 Units	0	1	24	164900.08	0.000559
7A	Yes	Multi-Family with 2 - 4 Units	0	1	12	69863.92	0.000066
7B	No	Multi-Family with 2 - 4 Units	0	1	24	164900.08	0.00008
7B	Yes	Multi-Family with 2 - 4 Units	0	1	12	69863.92	0.000009
1A	No	Multi-Family with 5+ Units	0	1	362	2913446.47	0.002194
1A	Yes	Multi-Family with 5+ Units	0	1	28	221015.7	0.000259
2A	No	Multi-Family with 5+ Units	0	1	362	2913446.47	0.018186
2A	Yes	Multi-Family with 5+ Units	0	1	28	221015.7	0.002145
2B	No	Multi-Family with 5+ Units	0	1	47	450774.34	0.003081
2B	Yes	Multi-Family with 5+ Units	0	1	12	131804.71	0.000363
3A	No	Multi-Family with 5+ Units	0	1	277	2922036.42	0.020871
3A	Yes	Multi-Family with 5+ Units	0	1	22	226699.47	0.002461
3B	No	Multi-Family with 5+ Units	0	1	333	2641525.13	0.014573
3B	Yes	Multi-Family with 5+ Units	0	1	57	456089.75	0.001718
3C	No	Multi-Family with 5+ Units	0	1	119	965893.78	0.003678
3C	Yes	Multi-Family with 5+ Units	0	1	32	268255.68	0.000434
4A	No	Multi-Family with 5+ Units	0	1	836	7995568.59	0.03377
4A	Yes	Multi-Family with 5+ Units	0	1	67	826939.55	0.003982
4B	No	Multi-Family with 5+ Units	0	1	333	2641525.13	0.001213
4B	Yes	Multi-Family with 5+ Units	0	1	57	456089.75	0.000143
4C	No	Multi-Family with 5+ Units	0	1	21	192745.66	0.004518
4C	Yes	Multi-Family with 5+ Units	0	1	76	830198.5	0.000533
5A	No	Multi-Family with 5+ Units	0	1	739	7946116.51	0.035352
5A	Yes	Multi-Family with 5+ Units	0	1	105	1220928.95	0.004169
5B	No	Multi-Family with 5+ Units	0	1	122	841554.8	0.005944
5B	Yes	Multi-Family with 5+ Units	0	1	11	93789.66	0.000701
6A	No	Multi-Family with 5+ Units	0	1	174	1408846.09	0.009589
6A	Yes	Multi-Family with 5+ Units	0	1	31	247480.48	0.001131
6B	No	Multi-Family with 5+ Units	0	1	174	1408846.09	0.001448
6B	Yes	Multi-Family with 5+ Units	0	1	31	247480.48	0.000171
7A	No	Multi-Family with 5+ Units	0	1	24	164900.08	0.001239
7A	Yes	Multi-Family with 5+ Units	0	1	12	69863.92	0.000146
7B	No	Multi-Family with 5+ Units	0	1	24	164900.08	0.000177
7B	Yes	Multi-Family with 5+ Units	0	1	12	69863.92	0.000021
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.							
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb							
"# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units"							
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes							
