Dependency=County	Option=1A	Option=2A	Option=2B	Option=3A	Option=3B	Option=3C	Option=4A	Option=4B	Option=4C	Option=5A	Option=5B	Option=6A	Option=6B	Option=7A	Option=7B	Option=NA
"AR, Howard County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Independence County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Izard County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Jackson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Jefferson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Johnson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Lafayette County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Lawrence County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Lee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Lincoln County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Little River County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Logan County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Lonoke County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Madison County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Marion County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Miller County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Mississippi County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Monroe County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Montgomery County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Nevada County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Newton County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Ouachita County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Perry County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Phillips County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Pike County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Poinsett County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Polk County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Pope County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Prairie County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Pulaski County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Randolph County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Saline County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Scott County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Searcy County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Sebastian County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Sevier County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Sharp County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, St. Francis County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Stone County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Union County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Van Buren County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Washington County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, White County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Woodruff County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AR, Yell County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Apache County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Cochise County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Coconino County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Gila County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Graham County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Greenlee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, La Paz County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Maricopa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Mohave County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Navajo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Pinal County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Santa Cruz County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Yavapai County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"AZ, Yuma County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Alameda County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Alpine County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Amador County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Butte County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Calaveras County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Colusa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Contra Costa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Del Norte County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, El Dorado County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Fresno County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Glenn County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Humboldt County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Imperial County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Inyo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Kern County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Kings County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Lake County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Lassen County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Los Angeles County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Madera County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Marin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Mariposa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Mendocino County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Merced County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Modoc County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Mono County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Monterey County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Napa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Nevada County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Orange County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Placer County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Plumas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Riverside County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Sacramento County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Benito County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Bernardino County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Francisco County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Joaquin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Luis Obispo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, San Mateo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Santa Barbara County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Santa Clara County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Santa Cruz County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Shasta County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Sierra County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Siskiyou County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Solano County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Sonoma County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Stanislaus County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Sutter County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Tehama County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Trinity County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Tulare County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Tuolumne County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Ventura County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Yolo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CA, Yuba County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Adams County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Alamosa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Arapahoe County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Archuleta County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Baca County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Bent County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Boulder County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Broomfield County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Chaffee County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Cheyenne County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Clear Creek County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Conejos County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Costilla County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Crowley County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Custer County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Delta County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Dolores County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Douglas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Eagle County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, El Paso County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Elbert County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Fremont County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Garfield County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Gilpin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Grand County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Gunnison County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Hinsdale County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Huerfano County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Jackson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Jefferson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Kiowa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Kit Carson County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, La Plata County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Lake County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Larimer County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Las Animas County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Lincoln County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Logan County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Mesa County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Mineral County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Moffat County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Montezuma County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Montrose County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Morgan County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Otero County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Ouray County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Park County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Phillips County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Pitkin County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Prowers County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Pueblo County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Rio Blanco County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Rio Grande County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Routt County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Saguache County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, San Juan County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, San Miguel County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Sedgwick County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Summit County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Teller County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Washington County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Weld County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CO, Yuma County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Fairfield County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Hartford County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Litchfield County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Middlesex County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, New Haven County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, New London County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Tolland County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"CT, Windham County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DC, District of Columbia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DE, Kent County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DE, New Castle County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"DE, Sussex County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Alachua County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Baker County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Bay County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Bradford County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Brevard County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Broward County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Calhoun County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Charlotte County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Citrus County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Clay County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Collier County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Columbia County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, DeSoto County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Dixie County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Duval County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Escambia County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"FL, Flagler County"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
