Dependency=Geometry Building Type ACS	Dependency=Vintage	Option=<5	Option=5 to 9 Units low	Option=5 to 9 Units high	Option=10 to 19 Units low	Option=10 to 19 Units high	Option=20 to 49 Units low	Option=20 to 49 Units high	Option=50 or more Units low	Option=50 or more Units high	Count	Weight	resstock_probability
Mobile Home	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	67.000000	916438.358200	0.010113
Mobile Home	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	67.000000	916438.358200	0.001885
50 or more Unit	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054725	0.945275	65.000000	656460.221300	0.005320
50 or more Unit	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054725	0.945275	65.000000	656460.221300	0.001754
50 or more Unit	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.291390	0.708610	29.000000	261520.748300	0.003457
50 or more Unit	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.351760	0.648240	57.000000	627230.362300	0.006387
50 or more Unit	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.303145	0.696855	64.000000	666092.723500	0.008788
50 or more Unit	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.506939	0.493061	81.000000	777522.309200	0.006768
50 or more Unit	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.657394	0.342606	46.000000	532020.405200	0.005885
50 or more Unit	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656	50.000000	515288.442200	0.008178
50 or more Unit	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.174344	0.825656	50.000000	515288.442200	0.003494
5 to 9 Unit	<1940	0.000000	0.776831	0.223169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.000000	785559.925600	0.005311
5 to 9 Unit	1940s	0.000000	0.776831	0.223169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.000000	785559.925600	0.001626
5 to 9 Unit	1950s	0.000000	0.978652	0.021348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	38.000000	361419.046900	0.002852
5 to 9 Unit	1960s	0.000000	0.992227	0.007773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.000000	801359.226300	0.004901
5 to 9 Unit	1970s	0.000000	0.976923	0.023077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	156.000000	1570290.065000	0.009353
5 to 9 Unit	1980s	0.000000	0.979814	0.020186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	121.000000	1194758.254000	0.008571
5 to 9 Unit	1990s	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.000000	960464.258200	0.006833
5 to 9 Unit	2000s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	68.000000	731685.235400	0.005173
5 to 9 Unit	2010s	0.000000	0.990752	0.009248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	68.000000	731685.235400	0.001428
3 or 4 Unit	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	288.000000	2893506.949000	0.008982
3 or 4 Unit	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	288.000000	2893506.949000	0.002248
3 or 4 Unit	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	116.000000	1202901.321000	0.003538
3 or 4 Unit	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.000000	1154276.767000	0.004575
3 or 4 Unit	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	172.000000	1538391.272000	0.007580
3 or 4 Unit	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	116.000000	1085875.533000	0.006602
3 or 4 Unit	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.000000	769430.794300	0.004847
3 or 4 Unit	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.000000	368634.247300	0.003857
3 or 4 Unit	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.000000	368634.247300	0.000982
20 to 49 Unit	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.352725	0.647275	0.000000	0.000000	76.000000	754934.095700	0.004894
20 to 49 Unit	1940s	0.000000	0.000000	0.000000	0.000000	0.000000	0.352725	0.647275	0.000000	0.000000	76.000000	754934.095700	0.001359
20 to 49 Unit	1950s	0.000000	0.000000	0.000000	0.000000	0.000000	0.633495	0.366505	0.000000	0.000000	29.000000	290279.589100	0.002237
20 to 49 Unit	1960s	0.000000	0.000000	0.000000	0.000000	0.000000	0.672947	0.327053	0.000000	0.000000	44.000000	430768.263700	0.003832
20 to 49 Unit	1970s	0.000000	0.000000	0.000000	0.000000	0.000000	0.939387	0.060613	0.000000	0.000000	87.000000	755516.472400	0.006227
20 to 49 Unit	1980s	0.000000	0.000000	0.000000	0.000000	0.000000	0.860544	0.139456	0.000000	0.000000	72.000000	686637.445500	0.005018
20 to 49 Unit	1990s	0.000000	0.000000	0.000000	0.000000	0.000000	0.836273	0.163727	0.000000	0.000000	37.000000	340672.100100	0.004407
20 to 49 Unit	2000s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000	49.000000	460895.083600	0.004533
20 to 49 Unit	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.737111	0.262889	0.000000	0.000000	49.000000	460895.083600	0.001728
2 Unit	<1940	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	288.000000	2893506.949000	0.011741
2 Unit	1940s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	288.000000	2893506.949000	0.002769
2 Unit	1950s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	116.000000	1202901.321000	0.003823
2 Unit	1960s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	109.000000	1154276.767000	0.003803
2 Unit	1970s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	172.000000	1538391.272000	0.004557
2 Unit	1980s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	116.000000	1085875.533000	0.003422
2 Unit	1990s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	79.000000	769430.794300	0.002712
2 Unit	2000s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.000000	368634.247300	0.002401
2 Unit	2010s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.000000	368634.247300	0.000671
10 to 19 Unit	<1940	0.000000	0.000000	0.000000	0.519589	0.480411	0.000000	0.000000	0.000000	0.000000	56.000000	526867.463000	0.003359
10 to 19 Unit	1940s	0.000000	0.000000	0.000000	0.519589	0.480411	0.000000	0.000000	0.000000	0.000000	56.000000	526867.463000	0.001191
10 to 19 Unit	1950s	0.000000	0.000000	0.000000	0.865928	0.134072	0.000000	0.000000	0.000000	0.000000	37.000000	366345.324200	0.002410
10 to 19 Unit	1960s	0.000000	0.000000	0.000000	0.874832	0.125168	0.000000	0.000000	0.000000	0.000000	73.000000	706061.821200	0.004602
10 to 19 Unit	1970s	0.000000	0.000000	0.000000	0.944345	0.055655	0.000000	0.000000	0.000000	0.000000	114.000000	1120712.327000	0.008469
10 to 19 Unit	1980s	0.000000	0.000000	0.000000	0.995115	0.004885	0.000000	0.000000	0.000000	0.000000	95.000000	835490.623500	0.007946
10 to 19 Unit	1990s	0.000000	0.000000	0.000000	0.986303	0.013697	0.000000	0.000000	0.000000	0.000000	63.000000	666616.097200	0.006938
10 to 19 Unit	2000s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000	70.000000	726230.370300	0.005754
10 to 19 Unit	2010s	0.000000	0.000000	0.000000	0.908838	0.091162	0.000000	0.000000	0.000000	0.000000	70.000000	726230.370300	0.001806
# Source: RECS 2009
