Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=Day	Option=Day -1h	Option=Day -2h	Option=Day -3h	Option=Day -4h	Option=Day -5h	Option=Day +1h	Option=Day +2h	Option=Day +3h	Option=Day +4h	Option=Day +5h	Option=Day and Night	Option=Day and Night -1h	Option=Day and Night -2h	Option=Day and Night -3h	Option=Day and Night -4h	Option=Day and Night -5h	Option=Day and Night +1h	Option=Day and Night +2h	Option=Day and Night +3h	Option=Day and Night +4h	Option=Day and Night +5h	Option=Night	Option=Night -1h	Option=Night -2h	Option=Night -3h	Option=Night -4h	Option=Night -5h	Option=Night +1h	Option=Night +2h	Option=Night +3h	Option=Night +4h	Option=Night +5h	Option=None	source_count	source_weight	sampling_probability
1A	Mobile Home	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	0	2.02715e-05
1A	Mobile Home	Yes	Yes	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0	43	0	8.70375e-06
1A	Multi-Family with 2 - 4 Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	6.99662e-05
1A	Multi-Family with 2 - 4 Units	Yes	Yes	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0	0	0	0	0	0	0	0	0	0	0	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0	12	0	3.00406e-05
1A	Multi-Family with 5+ Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	43333.8	0.000382891
1A	Multi-Family with 5+ Units	Yes	Yes	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0	0	0	0	0	0	0	0	0	0	0	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0	12	0	0.000164398
1A	Single-Family Attached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	0	0.000100154
1A	Single-Family Attached	Yes	Yes	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0	43	1275.11	4.30022e-05
1A	Single-Family Detached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	57	18450	0.000400472
1A	Single-Family Detached	Yes	Yes	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00683998	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.00447819	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0.0795909	0	43	25252.4	0.000171947
2A	Mobile Home	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	676238	0.00666745
2A	Mobile Home	Yes	No	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.00587503	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.016507	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0.068527	0	31	322748	0.00318217
2A	Multi-Family with 2 - 4 Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	507426	0.00481308
2A	Multi-Family with 2 - 4 Units	Yes	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	14	163915	0.00155478
2A	Multi-Family with 5+ Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	107	1.56139e+06	0.0146184
2A	Multi-Family with 5+ Units	Yes	No	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00542707	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.00607964	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0.0794024	0	40	585273	0.0054796
2A	Single-Family Attached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	350926	0.00277625
2A	Single-Family Attached	Yes	No	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.0130548	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.00978215	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0.0680722	0	34	179426	0.00141948
2A	Single-Family Detached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	588	5.53138e+06	0.0414545
2A	Single-Family Detached	Yes	No	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00524176	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.00276301	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0.0829043	0	360	3.25671e+06	0.0244071
2A	Mobile Home	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	110478	0.000763379
2A	Mobile Home	Yes	Yes	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.013637	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.012526	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0.064746	0	10	106911	0.000738727
2A	Multi-Family with 2 - 4 Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	83124.7	0.000460411
2A	Multi-Family with 2 - 4 Units	Yes	Yes	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0	0	0	0	0	0	0	0	0	0	0	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0	12	34215.3	0.000189512
2A	Multi-Family with 5+ Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	216140	0.00135219
2A	Multi-Family with 5+ Units	Yes	Yes	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0.0179583	0	0	0	0	0	0	0	0	0	0	0	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0.0729507	0	12	115202	0.000720714
2A	Single-Family Attached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54	31900.9	0.0002138
2A	Single-Family Attached	Yes	Yes	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00730553	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.00478299	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0.0788206	0	39	10505.3	0.00017096
2A	Single-Family Detached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38	345033	0.0027678
2A	Single-Family Detached	Yes	Yes	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00510175	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.00192779	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0.0838796	0	28	272332	0.00218461
2B	Mobile Home	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	129321	0.00111524
2B	Mobile Home	Yes	No	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00346437	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.00382345	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0	141	57273.3	0.000493912
2B	Multi-Family with 2 - 4 Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	101192	0.000664345
2B	Multi-Family with 2 - 4 Units	Yes	No	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00518585	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.00499047	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0.0807328	0	17	30417.4	0.000199696
2B	Multi-Family with 5+ Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	205482	0.00183952
2B	Multi-Family with 5+ Units	Yes	No	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00644427	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.00620149	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0.0782633	0	14	125347	0.00112213
2B	Single-Family Attached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	72687.1	0.000659746
2B	Single-Family Attached	Yes	No	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0.00977421	0	0	0	0	0	0	0	0	0	0	0	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0.0811349	0	12	30951	0.000280927
2B	Single-Family Detached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	179	955799	0.00729105
2B	Single-Family Detached	Yes	No	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00346947	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.00437564	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0.083064	0	120	610873	0.00465988
2B	Mobile Home	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	26773.2	0.000103953
2B	Mobile Home	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0	25	13737.7	4.39663e-05
2B	Multi-Family with 2 - 4 Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	7.78116e-05
2B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0	37	21950.8	4.41442e-05
2B	Multi-Family with 5+ Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	54617.8	0.000278305
2B	Multi-Family with 5+ Units	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.00333332	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0.0875758	0	37	9035	0.000157888
2B	Single-Family Attached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	3.93676e-05
2B	Single-Family Attached	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0	25	2842.97	1.66502e-05
2B	Single-Family Detached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	45819	0.000460215
2B	Single-Family Detached	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.00261988	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0.0882892	0	25	14121.7	0.000194645
3A	Mobile Home	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	117	948858	0.00898895
3A	Mobile Home	Yes	No	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00565007	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.00138575	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0.0838733	0	54	391925	0.00371289
3A	Multi-Family with 2 - 4 Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	467634	0.00446659
3A	Multi-Family with 2 - 4 Units	Yes	No	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00365316	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.00272607	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0.0845299	0	23	180813	0.00172703
3A	Multi-Family with 5+ Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	96	1.09257e+06	0.0105117
3A	Multi-Family with 5+ Units	Yes	No	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.0112188	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.00126264	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0.0784276	0	64	758949	0.00730187
3A	Single-Family Attached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	87	376682	0.00200475
3A	Single-Family Attached	Yes	No	0	0	0	0	0	0	0	0	0	0	0	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.00383469	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0.0870744	0	54	270785	0.00144116
3A	Single-Family Detached	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	865	6.17818e+06	0.0503736
3A	Single-Family Detached	Yes	No	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.00431415	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0051222	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0.0814727	0	606	4.1456e+06	0.033801
3A	Mobile Home	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	104026	0.00106026
3A	Mobile Home	Yes	Yes	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.00966683	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0190678	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0.0621745	0	10	66768.5	0.000680522
3A	Multi-Family with 2 - 4 Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	67929	0.000348433
3A	Multi-Family with 2 - 4 Units	Yes	Yes	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00344995	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.00432022	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0.0831389	0	18	37765.9	0.000193715
3A	Multi-Family with 5+ Units	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	223881	0.000925036
3A	Multi-Family with 5+ Units	Yes	Yes	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00421335	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.00527619	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0.0814196	0	14	170671	0.000705182
3A	Single-Family Attached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	54	35357	0.000130769
3A	Single-Family Attached	Yes	Yes	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00452439	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.00865918	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0.0777255	0	34	0	8.97349e-05
3A	Single-Family Detached	No	Yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	33	237756	0.00253744
3A	Single-Family Detached	Yes	Yes	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00273634	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.00504007	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0.0831327	0	24	192027	0.0020494
3B	Mobile Home	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	287103	0.00244659
3B	Mobile Home	Yes	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0.0909091	0	19	189707	0.00161661
3B	Multi-Family with 2 - 4 Units	No	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	36	500869	0.00408838
