Dependency=Geometry Attic Type	Dependency=Location Region	Dependency=Vintage	Option=None	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=R-49	sampling_probability
Unvented Attic	CR05	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	2010s	0	1	0	0	0	0	0	0	0
None	CR02	<1940	1	0	0	0	0	0	0	0	0.0019269
None	CR02	1940s	1	0	0	0	0	0	0	0	0.000408567
None	CR02	1950s	1	0	0	0	0	0	0	0	0.000783082
None	CR02	1960s	1	0	0	0	0	0	0	0	0.00123564
None	CR02	1970s	1	0	0	0	0	0	0	0	0.00228022
None	CR02	1980s	1	0	0	0	0	0	0	0	0.0016727
None	CR02	1990s	1	0	0	0	0	0	0	0	0.00168641
None	CR02	2000s	1	0	0	0	0	0	0	0	0.00147097
None	CR02	2010s	1	0	0	0	0	0	0	0	0.000599285
None	CR03	<1940	1	0	0	0	0	0	0	0	0.00668785
None	CR03	1940s	1	0	0	0	0	0	0	0	0.000893758
None	CR03	1950s	1	0	0	0	0	0	0	0	0.00114791
None	CR03	1960s	1	0	0	0	0	0	0	0	0.00148114
None	CR03	1970s	1	0	0	0	0	0	0	0	0.0022422
None	CR03	1980s	1	0	0	0	0	0	0	0	0.00196598
None	CR03	1990s	1	0	0	0	0	0	0	0	0.00100725
None	CR03	2000s	1	0	0	0	0	0	0	0	0.00102738
None	CR03	2010s	1	0	0	0	0	0	0	0	0.000358818
None	CR04	<1940	1	0	0	0	0	0	0	0	0.00618197
None	CR04	1940s	1	0	0	0	0	0	0	0	0.00142623
None	CR04	1950s	1	0	0	0	0	0	0	0	0.00230419
None	CR04	1960s	1	0	0	0	0	0	0	0	0.00377642
None	CR04	1970s	1	0	0	0	0	0	0	0	0.00595181
None	CR04	1980s	1	0	0	0	0	0	0	0	0.00386766
None	CR04	1990s	1	0	0	0	0	0	0	0	0.00363118
None	CR04	2000s	1	0	0	0	0	0	0	0	0.0029619
None	CR04	2010s	1	0	0	0	0	0	0	0	0.000813096
None	CR05	<1940	1	0	0	0	0	0	0	0	0.000484383
None	CR05	1940s	1	0	0	0	0	0	0	0	0.000172941
None	CR05	1950s	1	0	0	0	0	0	0	0	0.000375413
None	CR05	1960s	1	0	0	0	0	0	0	0	0.000664721
None	CR05	1970s	1	0	0	0	0	0	0	0	0.00164894
None	CR05	1980s	1	0	0	0	0	0	0	0	0.00125838
None	CR05	1990s	1	0	0	0	0	0	0	0	0.00117291
None	CR05	2000s	1	0	0	0	0	0	0	0	0.00116406
None	CR05	2010s	1	0	0	0	0	0	0	0	0.000464065
None	CR06	<1940	1	0	0	0	0	0	0	0	0.000698775
None	CR06	1940s	1	0	0	0	0	0	0	0	0.00023462
None	CR06	1950s	1	0	0	0	0	0	0	0	0.000406336
None	CR06	1960s	1	0	0	0	0	0	0	0	0.000868505
None	CR06	1970s	1	0	0	0	0	0	0	0	0.00173212
None	CR06	1980s	1	0	0	0	0	0	0	0	0.00135955
None	CR06	1990s	1	0	0	0	0	0	0	0	0.00160293
None	CR06	2000s	1	0	0	0	0	0	0	0	0.00131373
None	CR06	2010s	1	0	0	0	0	0	0	0	0.000487052
None	CR07	<1940	1	0	0	0	0	0	0	0	0.0157023
None	CR07	1940s	1	0	0	0	0	0	0	0	0.00410929
None	CR07	1950s	1	0	0	0	0	0	0	0	0.00581834
None	CR07	1960s	1	0	0	0	0	0	0	0	0.00633571
None	CR07	1970s	1	0	0	0	0	0	0	0	0.00566361
None	CR07	1980s	1	0	0	0	0	0	0	0	0.00380431
None	CR07	1990s	1	0	0	0	0	0	0	0	0.0028971
None	CR07	2000s	1	0	0	0	0	0	0	0	0.00331211
None	CR07	2010s	1	0	0	0	0	0	0	0	0.00108529
None	CR08	<1940	1	0	0	0	0	0	0	0	0.0024801
None	CR08	1940s	1	0	0	0	0	0	0	0	0.0009908
None	CR08	1950s	1	0	0	0	0	0	0	0	0.00175349
None	CR08	1960s	1	0	0	0	0	0	0	0	0.00301067
None	CR08	1970s	1	0	0	0	0	0	0	0	0.00485184
None	CR08	1980s	1	0	0	0	0	0	0	0	0.0041676
None	CR08	1990s	1	0	0	0	0	0	0	0	0.00389134
None	CR08	2000s	1	0	0	0	0	0	0	0	0.003454
None	CR08	2010s	1	0	0	0	0	0	0	0	0.00135687
None	CR09	<1940	1	0	0	0	0	0	0	0	0.00173231
None	CR09	1940s	1	0	0	0	0	0	0	0	0.00117174
None	CR09	1950s	1	0	0	0	0	0	0	0	0.00247999
None	CR09	1960s	1	0	0	0	0	0	0	0	0.00552275
None	CR09	1970s	1	0	0	0	0	0	0	0	0.0125509
None	CR09	1980s	1	0	0	0	0	0	0	0	0.0131538
None	CR09	1990s	1	0	0	0	0	0	0	0	0.0107747
None	CR09	2000s	1	0	0	0	0	0	0	0	0.0110845
None	CR09	2010s	1	0	0	0	0	0	0	0	0.00376446
None	CR10	<1940	1	0	0	0	0	0	0	0	0.000115201
None	CR10	1940s	1	0	0	0	0	0	0	0	9.46085e-05
None	CR10	1950s	1	0	0	0	0	0	0	0	0.000314553
None	CR10	1960s	1	0	0	0	0	0	0	0	0.000638909
None	CR10	1970s	1	0	0	0	0	0	0	0	0.00143886
None	CR10	1980s	1	0	0	0	0	0	0	0	0.00180856
None	CR10	1990s	1	0	0	0	0	0	0	0	0.00181746
None	CR10	2000s	1	0	0	0	0	0	0	0	0.00135826
None	CR10	2010s	1	0	0	0	0	0	0	0	0.000320471
None	CR11	<1940	1	0	0	0	0	0	0	0	0.00313873
None	CR11	1940s	1	0	0	0	0	0	0	0	0.00140285
None	CR11	1950s	1	0	0	0	0	0	0	0	0.00292592
None	CR11	1960s	1	0	0	0	0	0	0	0	0.00470049
None	CR11	1970s	1	0	0	0	0	0	0	0	0.00698971
None	CR11	1980s	1	0	0	0	0	0	0	0	0.00565349
None	CR11	1990s	1	0	0	0	0	0	0	0	0.00344346
None	CR11	2000s	1	0	0	0	0	0	0	0	0.0030557
None	CR11	2010s	1	0	0	0	0	0	0	0	0.00091233
Finished Attic or Cathedral Ceilings	CR02	<1940	1	0	0	0	0	0	0	0	0.000208524
Finished Attic or Cathedral Ceilings	CR02	1940s	1	0	0	0	0	0	0	0	2.56527e-05
Finished Attic or Cathedral Ceilings	CR02	1950s	1	0	0	0	0	0	0	0	5.43317e-05
Finished Attic or Cathedral Ceilings	CR02	1960s	1	0	0	0	0	0	0	0	4.33902e-05
Finished Attic or Cathedral Ceilings	CR02	1970s	1	0	0	0	0	0	0	0	6.21989e-05
Finished Attic or Cathedral Ceilings	CR02	1980s	1	0	0	0	0	0	0	0	6.9632e-05
Finished Attic or Cathedral Ceilings	CR02	1990s	1	0	0	0	0	0	0	0	9.22956e-05
Finished Attic or Cathedral Ceilings	CR02	2000s	1	0	0	0	0	0	0	0	0.000120612
Finished Attic or Cathedral Ceilings	CR02	2010s	1	0	0	0	0	0	0	0	2.51927e-05
Finished Attic or Cathedral Ceilings	CR03	<1940	1	0	0	0	0	0	0	0	0.000188485
Finished Attic or Cathedral Ceilings	CR03	1940s	1	0	0	0	0	0	0	0	2.23172e-05
Finished Attic or Cathedral Ceilings	CR03	1950s	1	0	0	0	0	0	0	0	5.20133e-05
Finished Attic or Cathedral Ceilings	CR03	1960s	1	0	0	0	0	0	0	0	4.08092e-05
Finished Attic or Cathedral Ceilings	CR03	1970s	1	0	0	0	0	0	0	0	4.47133e-05
Finished Attic or Cathedral Ceilings	CR03	1980s	1	0	0	0	0	0	0	0	8.11459e-05
Finished Attic or Cathedral Ceilings	CR03	1990s	1	0	0	0	0	0	0	0	5.93739e-05
Finished Attic or Cathedral Ceilings	CR03	2000s	1	0	0	0	0	0	0	0	5.63234e-05
Finished Attic or Cathedral Ceilings	CR03	2010s	1	0	0	0	0	0	0	0	1.17983e-05
Finished Attic or Cathedral Ceilings	CR04	<1940	1	0	0	0	0	0	0	0	0.000456316
Finished Attic or Cathedral Ceilings	CR04	1940s	1	0	0	0	0	0	0	0	8.00113e-05
Finished Attic or Cathedral Ceilings	CR04	1950s	1	0	0	0	0	0	0	0	0.000173661
Finished Attic or Cathedral Ceilings	CR04	1960s	1	0	0	0	0	0	0	0	0.000125493
Finished Attic or Cathedral Ceilings	CR04	1970s	1	0	0	0	0	0	0	0	0.000140149
Finished Attic or Cathedral Ceilings	CR04	1980s	1	0	0	0	0	0	0	0	0.000146248
Finished Attic or Cathedral Ceilings	CR04	1990s	1	0	0	0	0	0	0	0	0.000225862
Finished Attic or Cathedral Ceilings	CR04	2000s	1	0	0	0	0	0	0	0	0.000242143
Finished Attic or Cathedral Ceilings	CR04	2010s	1	0	0	0	0	0	0	0	3.55891e-05
Finished Attic or Cathedral Ceilings	CR05	<1940	1	0	0	0	0	0	0	0	6.08758e-05
Finished Attic or Cathedral Ceilings	CR05	1940s	1	0	0	0	0	0	0	0	1.17438e-05
Finished Attic or Cathedral Ceilings	CR05	1950s	1	0	0	0	0	0	0	0	2.59241e-05
Finished Attic or Cathedral Ceilings	CR05	1960s	1	0	0	0	0	0	0	0	2.49043e-05
Finished Attic or Cathedral Ceilings	CR05	1970s	1	0	0	0	0	0	0	0	5.37984e-05
Finished Attic or Cathedral Ceilings	CR05	1980s	1	0	0	0	0	0	0	0	5.62949e-05
Finished Attic or Cathedral Ceilings	CR05	1990s	1	0	0	0	0	0	0	0	7.63399e-05
Finished Attic or Cathedral Ceilings	CR05	2000s	1	0	0	0	0	0	0	0	0.000107048
Finished Attic or Cathedral Ceilings	CR05	2010s	1	0	0	0	0	0	0	0	2.32465e-05
Finished Attic or Cathedral Ceilings	CR06	<1940	1	0	0	0	0	0	0	0	7.69284e-05
Finished Attic or Cathedral Ceilings	CR06	1940s	1	0	0	0	0	0	0	0	1.75956e-05
Finished Attic or Cathedral Ceilings	CR06	1950s	1	0	0	0	0	0	0	0	2.78162e-05
Finished Attic or Cathedral Ceilings	CR06	1960s	1	0	0	0	0	0	0	0	2.56465e-05
Finished Attic or Cathedral Ceilings	CR06	1970s	1	0	0	0	0	0	0	0	4.21257e-05
Finished Attic or Cathedral Ceilings	CR06	1980s	1	0	0	0	0	0	0	0	3.98931e-05
Finished Attic or Cathedral Ceilings	CR06	1990s	1	0	0	0	0	0	0	0	6.15036e-05
Finished Attic or Cathedral Ceilings	CR06	2000s	1	0	0	0	0	0	0	0	7.26059e-05
Finished Attic or Cathedral Ceilings	CR06	2010s	1	0	0	0	0	0	0	0	1.65316e-05
Finished Attic or Cathedral Ceilings	CR07	<1940	1	0	0	0	0	0	0	0	0.000625818
Finished Attic or Cathedral Ceilings	CR07	1940s	1	0	0	0	0	0	0	0	9.59631e-05
Finished Attic or Cathedral Ceilings	CR07	1950s	1	0	0	0	0	0	0	0	0.000186015
Finished Attic or Cathedral Ceilings	CR07	1960s	1	0	0	0	0	0	0	0	0.000119518
Finished Attic or Cathedral Ceilings	CR07	1970s	1	0	0	0	0	0	0	0	0.000112126
Finished Attic or Cathedral Ceilings	CR07	1980s	1	0	0	0	0	0	0	0	0.000160738
Finished Attic or Cathedral Ceilings	CR07	1990s	1	0	0	0	0	0	0	0	0.000148907
Finished Attic or Cathedral Ceilings	CR07	2000s	1	0	0	0	0	0	0	0	0.000146356
Finished Attic or Cathedral Ceilings	CR07	2010s	1	0	0	0	0	0	0	0	2.91235e-05
Finished Attic or Cathedral Ceilings	CR08	<1940	1	0	0	0	0	0	0	0	0.000324592
Finished Attic or Cathedral Ceilings	CR08	1940s	1	0	0	0	0	0	0	0	6.88208e-05
Finished Attic or Cathedral Ceilings	CR08	1950s	1	0	0	0	0	0	0	0	0.000136061
Finished Attic or Cathedral Ceilings	CR08	1960s	1	0	0	0	0	0	0	0	0.000121299
Finished Attic or Cathedral Ceilings	CR08	1970s	1	0	0	0	0	0	0	0	0.000165095
Finished Attic or Cathedral Ceilings	CR08	1980s	1	0	0	0	0	0	0	0	0.000234344
Finished Attic or Cathedral Ceilings	CR08	1990s	1	0	0	0	0	0	0	0	0.000253081
Finished Attic or Cathedral Ceilings	CR08	2000s	1	0	0	0	0	0	0	0	0.000280808
Finished Attic or Cathedral Ceilings	CR08	2010s	1	0	0	0	0	0	0	0	6.74952e-05
Finished Attic or Cathedral Ceilings	CR09	<1940	1	0	0	0	0	0	0	0	0.000238133
Finished Attic or Cathedral Ceilings	CR09	1940s	1	0	0	0	0	0	0	0	8.80994e-05
Finished Attic or Cathedral Ceilings	CR09	1950s	1	0	0	0	0	0	0	0	0.000217512
Finished Attic or Cathedral Ceilings	CR09	1960s	1	0	0	0	0	0	0	0	0.000231976
Finished Attic or Cathedral Ceilings	CR09	1970s	1	0	0	0	0	0	0	0	0.000336639
Finished Attic or Cathedral Ceilings	CR09	1980s	1	0	0	0	0	0	0	0	0.000502465
Finished Attic or Cathedral Ceilings	CR09	1990s	1	0	0	0	0	0	0	0	0.000507008
Finished Attic or Cathedral Ceilings	CR09	2000s	1	0	0	0	0	0	0	0	0.000744027
