Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Has Zonal Electric Heating	Dependency=HVAC Heating Type	Dependency=Tenure	Option=55F	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	source_count	source_weight	sampling_probability
1A	Multi-Family with 2 - 4 Units	Yes	Non-Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	7.01262e-05
1A	Multi-Family with 2 - 4 Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Yes	None	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	0	0	0
1A	Multi-Family with 2 - 4 Units	Yes	None	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	0	0	0
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	15	71008.9	0.000546802
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	37260.6	0.000532045
1A	Multi-Family with 5+ Units	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	33748.3	0.00116971
1A	Multi-Family with 5+ Units	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	11	148224	0.000568029
1A	Multi-Family with 5+ Units	No	Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	90287.6	0.000546429
1A	Multi-Family with 5+ Units	No	Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	57936.7	0.00121194
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	15	0	2.24567e-05
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	0	2.08769e-05
1A	Multi-Family with 5+ Units	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	0	4.50566e-05
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	11	17385.3	0.000205469
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Owner	0	0	0	0.0350012	0	0.0359037	0.16858	0.16019	0.299757	0.207209	0.0933589	0	28	17385.3	0.000201749
1A	Multi-Family with 5+ Units	No	Non-Ducted Heating	Renter	0	0	0	0	0	0	0.0988249	0.112805	0.480695	0.139119	0.168556	0	10	0	0.000432774
1A	Multi-Family with 5+ Units	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000273637
1A	Multi-Family with 5+ Units	No	None	Owner	0	0.00853245	0.00141568	0.0340465	0	0.0457097	0.172384	0.155479	0.304526	0.187779	0.0877699	0.00235723	0	0	0.000260138
1A	Multi-Family with 5+ Units	No	None	Renter	0	0	0	0.00809997	0	0.0301065	0.123305	0.134248	0.410495	0.128105	0.157542	0.00809997	0	0	0.000507264
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 5+ Units	Yes	Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	0	0
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	0	0
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heat Pump	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	0	0
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	38	43333.8	0.000130647
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Owner	0	0.0743762	0.0123403	0.0266788	0	0.121381	0.201738	0.119125	0.341334	0.0378387	0.0446402	0.0205477	79	18781.4	0.000134048
1A	Multi-Family with 5+ Units	Yes	Non-Ducted Heating	Renter	0	0	0	0.0383474	0	0.142532	0.21472	0.21432	0.148349	0.0869743	0.11641	0.0383474	34	24552.4	0.000282592
1A	Multi-Family with 5+ Units	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Multi-Family with 5+ Units	Yes	None	Owner	0	0.00853245	0.00141568	0.0340465	0	0.0457097	0.172384	0.155479	0.304526	0.187779	0.0877699	0.00235723	0	0	0
1A	Multi-Family with 5+ Units	Yes	None	Renter	0	0	0	0.00809997	0	0.0301065	0.123305	0.134248	0.410495	0.128105	0.157542	0.00809997	0	0	0
1A	Single-Family Attached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	12042.8	4.61852e-05
1A	Single-Family Attached	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	11057.3	0.000286409
1A	Single-Family Attached	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	985.532	0.000222753
1A	Single-Family Attached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	38625.5	4.70281e-05
1A	Single-Family Attached	No	Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	36114	0.000295336
1A	Single-Family Attached	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	2511.52	0.00021873
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	0	1.65187e-06
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	0	9.93823e-06
1A	Single-Family Attached	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	9.30411e-06
1A	Single-Family Attached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	37	0	4.16175e-06
1A	Single-Family Attached	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	30	0	2.24514e-05
1A	Single-Family Attached	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	2.54703e-05
1A	Single-Family Attached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17429e-05
1A	Single-Family Attached	No	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0.000108845
1A	Single-Family Attached	No	None	Renter	0	0.0291158	0.0174751	0.0640368	0.0371206	0.0654014	0.230489	0.281847	0.129284	0.0664514	0.0508382	0.0279415	0	0	0.000143159
1A	Single-Family Attached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Attached	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Attached	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Attached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Attached	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Attached	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Attached	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Attached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	1275.11	1.18277e-05
1A	Single-Family Attached	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	6.62394e-05
1A	Single-Family Attached	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	1275.11	6.50895e-05
1A	Single-Family Attached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Attached	Yes	None	Owner	0	0	0	0	0	0.0676449	0.0849776	0.186776	0.44883	0.102067	0.109705	0	0	0	0
1A	Single-Family Attached	Yes	None	Renter	0	0.0291158	0.0174751	0.0640368	0.0371206	0.0654014	0.230489	0.281847	0.129284	0.0664514	0.0508382	0.0279415	0	0	0
1A	Single-Family Detached	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	28	104820	0.000219724
1A	Single-Family Detached	No	Ducted Heat Pump	Owner	0	0	0	0	0	0.0565712	0.10473	0.160143	0.517966	0.085366	0.0752245	0	24	78111.8	0.0020241
1A	Single-Family Detached	No	Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	26707.8	0.000460097
1A	Single-Family Detached	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	166164	0.000211433
1A	Single-Family Detached	No	Ducted Heating	Owner	0	0	0	0	0	0.0791847	0.146594	0.146981	0.508712	0.0622265	0.0563026	0	17	166164	0.00189072
1A	Single-Family Detached	No	Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	0.000449476
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	28	0	1.40215e-05
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.0565712	0.10473	0.160143	0.517966	0.085366	0.0752245	0	24	0	0.000118511
1A	Single-Family Detached	No	Non-Ducted Heat Pump	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	0	3.05056e-05
1A	Single-Family Detached	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	19	32750.4	2.62223e-05
1A	Single-Family Detached	No	Non-Ducted Heating	Owner	0	0	0	0	0	0.0791847	0.146594	0.146981	0.508712	0.0622265	0.0563026	0	17	29244.6	0.000196747
1A	Single-Family Detached	No	Non-Ducted Heating	Renter	0	0.0238432	0.0209647	0.0694483	0.0398081	0.0668267	0.252128	0.219028	0.159957	0.0720316	0.0514107	0.024553	141	3505.72	5.37235e-05
1A	Single-Family Detached	No	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000174205
1A	Single-Family Detached	No	None	Owner	0	0.0106193	0.00176192	0.00380914	0	0.0803886	0.145543	0.147708	0.482275	0.065086	0.0598764	0.00293375	0	0	0.00104283
1A	Single-Family Detached	No	None	Renter	0	0.0249316	0.0202444	0.0683313	0.0392534	0.0665325	0.247662	0.231995	0.153626	0.0708798	0.0512926	0.0252524	0	0	0.000309775
1A	Single-Family Detached	Yes	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Detached	Yes	Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Detached	Yes	Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Detached	Yes	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Detached	Yes	Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Detached	Yes	Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	0	0
1A	Single-Family Detached	Yes	Non-Ducted Heat Pump	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	0	0
1A	Single-Family Detached	Yes	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	100	43702.4	4.84734e-05
1A	Single-Family Detached	Yes	Non-Ducted Heating	Owner	0	0.0798774	0.013253	0.0286521	0	0.130359	0.216659	0.127936	0.292617	0.0406374	0.047942	0.0220674	75	41938.7	0.000416824
1A	Single-Family Detached	Yes	Non-Ducted Heating	Renter	0	0.0435762	0.0079047	0.0491955	0.0297498	0.0614923	0.171141	0.45413	0.0451606	0.0511472	0.0492681	0.0372347	25	1763.65	0.000107121
1A	Single-Family Detached	Yes	None	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1A	Single-Family Detached	Yes	None	Owner	0	0.0106193	0.00176192	0.00380914	0	0.0803886	0.145543	0.147708	0.482275	0.065086	0.0598764	0.00293375	0	0	0
1A	Single-Family Detached	Yes	None	Renter	0	0.0249316	0.0202444	0.0683313	0.0392534	0.0665325	0.247662	0.231995	0.153626	0.0708798	0.0512926	0.0252524	0	0	0
2A	Mobile Home	No	Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	33	401036	0.00117796
2A	Mobile Home	No	Ducted Heat Pump	Owner	0	0.0343954	0.0256688	0.109504	0.0840134	0.112565	0.213339	0.0921578	0.2371	0.0912571	0	0	27	311682	0.0026276
2A	Mobile Home	No	Ducted Heat Pump	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	11	89354.1	0.000994449
2A	Mobile Home	No	Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	45	450701	0.000981019
2A	Mobile Home	No	Ducted Heating	Owner	0	0	0	0.0699816	0.0281736	0.208442	0.274398	0.189989	0.188868	0	0.0401477	0	40	402598	0.00237301
2A	Mobile Home	No	Ducted Heating	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	11	48102.2	0.000927521
2A	Mobile Home	No	Non-Ducted Heat Pump	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	33	12762	1.3916e-05
2A	Mobile Home	No	Non-Ducted Heat Pump	Owner	0	0.0343954	0.0256688	0.109504	0.0840134	0.112565	0.213339	0.0921578	0.2371	0.0912571	0	0	27	12762	3.218e-05
2A	Mobile Home	No	Non-Ducted Heat Pump	Renter	0	0	0	0	0	0	0.623946	0.0997088	0.115606	0.112106	0.0486331	0	11	0	1.26288e-05
2A	Mobile Home	No	Non-Ducted Heating	Not Available	1	0	0	0	0	0	0	0	0	0	0	0	45	23229.8	0.000128414
2A	Mobile Home	No	Non-Ducted Heating	Owner	0	0	0	0.0699816	0.0281736	0.208442	0.274398	0.189989	0.188868	0	0.0401477	0	40	23229.8	0.000320251
