Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Option=EF 12, National Average	Option=None	Option=Void	source_count	source_weight	sampling_probability
300-400%	Mobile Home	AZ	Owner	0.384956	0.615044	0	11	21249.3	0.000171766
300-400%	Mobile Home	AZ	Renter	0.110085	0.889915	0	22	0	4.14122e-05
400%+	Mobile Home	AZ	Not Available	0	0	1	13	23489.5	0
400%+	Mobile Home	AZ	Owner	0.236934	0.763066	0	13	23489.5	0.000226499
400%+	Mobile Home	AZ	Renter	0.305342	0.694658	0	43	0	4.145e-05
Not Available	Mobile Home	AZ	Not Available	0.321513	0.678487	0	38	240123	0.00064182
Not Available	Mobile Home	AZ	Owner	0	0	1	30	187306	0
Not Available	Mobile Home	AZ	Renter	0	0	1	13	52817.3	0
0-100%	Mobile Home	CA	Not Available	0	0	1	10	109556	0
0-100%	Mobile Home	CA	Owner	0.276929	0.723071	0	19	81878	0.000375654
0-100%	Mobile Home	CA	Renter	0.155853	0.844147	0	52	27678.4	0.000258246
100-150%	Mobile Home	CA	Not Available	0	0	1	11	95330.1	0
100-150%	Mobile Home	CA	Owner	0.31283	0.68717	0	16	80407	0.000347495
100-150%	Mobile Home	CA	Renter	0.197633	0.802367	0	40	14923.1	0.000170071
150-200%	Mobile Home	CA	Not Available	0	0	1	19	45070.3	0
150-200%	Mobile Home	CA	Owner	0.303732	0.696268	0	15	29492.9	0.000308111
150-200%	Mobile Home	CA	Renter	0.294779	0.705221	0	39	15577.4	0.000131116
200-300%	Mobile Home	CA	Not Available	0	0	1	12	110247	0
200-300%	Mobile Home	CA	Owner	0.250678	0.749322	0	10	88112.3	0.000517466
200-300%	Mobile Home	CA	Renter	0.176117	0.823883	0	65	22134.2	0.000172471
300-400%	Mobile Home	CA	Not Available	0	0	1	14	26600.7	0
300-400%	Mobile Home	CA	Owner	0.499185	0.500815	0	14	26600.7	0.000333485
300-400%	Mobile Home	CA	Renter	0.240559	0.759441	0	45	0	8.69715e-05
400%+	Mobile Home	CA	Not Available	0	0	1	18	71805.8	0
400%+	Mobile Home	CA	Owner	0.550877	0.449123	0	18	71805.8	0.000580862
400%+	Mobile Home	CA	Renter	0.150073	0.849927	0	95	0	0.000128674
Not Available	Mobile Home	CA	Not Available	0.24903	0.75097	0	38	458610	0.000534608
Not Available	Mobile Home	CA	Owner	0	0	1	32	378297	0
Not Available	Mobile Home	CA	Renter	0	0	1	243	80313.2	0
0-100%	Mobile Home	CO	Not Available	0	0	1	27	22892.1	0
0-100%	Mobile Home	CO	Owner	0.305056	0.694944	0	17	17549.3	7.53976e-05
0-100%	Mobile Home	CO	Renter	0.165999	0.834001	0	10	5342.83	4.69369e-05
100-150%	Mobile Home	CO	Not Available	0	0	1	24	22231.2	0
100-150%	Mobile Home	CO	Owner	0.38262	0.61738	0	23	22231.2	6.14822e-05
100-150%	Mobile Home	CO	Renter	0.450077	0.549923	0	26	0	3.02574e-05
150-200%	Mobile Home	CO	Not Available	0	0	1	19	20771.9	0
150-200%	Mobile Home	CO	Owner	0.630869	0.369131	0	14	9657.95	5.5942e-05
150-200%	Mobile Home	CO	Renter	0.27831	0.72169	0	24	11114	2.39577e-05
200-300%	Mobile Home	CO	Not Available	0	0	1	23	22405.3	0
200-300%	Mobile Home	CO	Owner	0.407047	0.592953	0	16	15424.6	9.48806e-05
200-300%	Mobile Home	CO	Renter	0.169105	0.830895	0	42	6980.69	3.58368e-05
300-400%	Mobile Home	CO	Not Available	0	0	1	16	11693.2	0
300-400%	Mobile Home	CO	Owner	0.894737	0.105263	0	14	11693.2	5.9859e-05
300-400%	Mobile Home	CO	Renter	0.431251	0.568749	0	35	0	2.00198e-05
400%+	Mobile Home	CO	Not Available	0	0	1	16	5697.68	0
400%+	Mobile Home	CO	Owner	0.885267	0.114733	0	15	5697.68	8.39017e-05
400%+	Mobile Home	CO	Renter	0.279563	0.720437	0	45	0	2.27543e-05
Not Available	Mobile Home	CO	Not Available	0.371695	0.628305	0	18	105691	9.28107e-05
Not Available	Mobile Home	CO	Owner	0	0	1	14	82253.9	0
Not Available	Mobile Home	CO	Renter	0	0	1	19	23437.5	0
0-100%	Mobile Home	CT	Not Available	0	0	1	15	0	0
0-100%	Mobile Home	CT	Owner	0.423726	0.576274	0	13	0	7.48008e-06
0-100%	Mobile Home	CT	Renter	0.0688197	0.93118	0	15	0	2.906e-06
100-150%	Mobile Home	CT	Not Available	0	0	1	17	5587.79	0
100-150%	Mobile Home	CT	Owner	0.187626	0.812374	0	13	5587.79	7.90616e-06
100-150%	Mobile Home	CT	Renter	0.148754	0.851246	0	25	0	2.14909e-06
150-200%	Mobile Home	CT	Not Available	0	0	1	12	0	0
150-200%	Mobile Home	CT	Owner	0.432556	0.567444	0	94	0	6.47615e-06
150-200%	Mobile Home	CT	Renter	0.00121918	0.998781	0	16	0	1.88052e-06
200-300%	Mobile Home	CT	Not Available	0	0	1	15	11061.5	0
200-300%	Mobile Home	CT	Owner	0.361426	0.638574	0	255	11061.5	1.26397e-05
200-300%	Mobile Home	CT	Renter	0.395136	0.604864	0	28	0	2.33763e-06
300-400%	Mobile Home	CT	Not Available	0	0	1	295	0	0
300-400%	Mobile Home	CT	Owner	0.359655	0.640345	0	282	0	9.31798e-06
300-400%	Mobile Home	CT	Renter	0.303473	0.696527	0	13	0	1.4045e-06
400%+	Mobile Home	CT	Not Available	0	0	1	11	0	0
400%+	Mobile Home	CT	Owner	0.150494	0.849506	0	10	0	1.56598e-05
400%+	Mobile Home	CT	Renter	0.222342	0.777658	0	40	0	1.75158e-06
Not Available	Mobile Home	CT	Not Available	0.283153	0.716847	0	55	16649.3	1.54613e-05
Not Available	Mobile Home	CT	Owner	0	0	1	41	16649.3	0
Not Available	Mobile Home	CT	Renter	0	0	1	14	0	0
0-100%	Mobile Home	DC	Not Available	0	0	1	80	0	0
0-100%	Mobile Home	DC	Owner	0.356456	0.643544	0	52	0	0
0-100%	Mobile Home	DC	Renter	0.250664	0.749336	0	28	0	0
100-150%	Mobile Home	DC	Not Available	0	0	1	62	0	0
100-150%	Mobile Home	DC	Owner	0.547952	0.452048	0	48	0	0
100-150%	Mobile Home	DC	Renter	0.000436062	0.999564	0	14	0	0
150-200%	Mobile Home	DC	Not Available	0	0	1	44	0	0
150-200%	Mobile Home	DC	Owner	0.439985	0.560015	0	38	0	0
150-200%	Mobile Home	DC	Renter	0.269148	0.730852	0	64	0	0
200-300%	Mobile Home	DC	Not Available	0	0	1	60	0	0
200-300%	Mobile Home	DC	Owner	0.290485	0.709515	0	51	0	0
200-300%	Mobile Home	DC	Renter	0.253058	0.746942	0	102	0	0
300-400%	Mobile Home	DC	Not Available	0	0	1	29	0	0
300-400%	Mobile Home	DC	Owner	0.380153	0.619847	0	23	0	0
300-400%	Mobile Home	DC	Renter	0.239126	0.760874	0	73	0	0
400%+	Mobile Home	DC	Not Available	0	0	1	29	0	0
400%+	Mobile Home	DC	Owner	0.620211	0.379789	0	22	0	0
400%+	Mobile Home	DC	Renter	0.29219	0.70781	0	124	0	0
Not Available	Mobile Home	DC	Not Available	0.354209	0.645791	0	215	0	0
Not Available	Mobile Home	DC	Owner	0	0	1	161	0	0
Not Available	Mobile Home	DC	Renter	0	0	1	54	0	0
0-100%	Mobile Home	DE	Not Available	0	0	1	80	10912.9	0
0-100%	Mobile Home	DE	Owner	0.356456	0.643544	0	52	4348.32	1.98442e-05
0-100%	Mobile Home	DE	Renter	0.250664	0.749336	0	28	6564.55	1.15184e-05
100-150%	Mobile Home	DE	Not Available	0	0	1	62	3976.72	0
100-150%	Mobile Home	DE	Owner	0.547952	0.452048	0	48	3976.72	2.0999e-05
100-150%	Mobile Home	DE	Renter	0.000436062	0.999564	0	14	0	6.90945e-06
150-200%	Mobile Home	DE	Not Available	0	0	1	44	5266.76	0
150-200%	Mobile Home	DE	Owner	0.439985	0.560015	0	38	5266.76	1.82193e-05
150-200%	Mobile Home	DE	Renter	0.269148	0.730852	0	64	0	5.69893e-06
200-300%	Mobile Home	DE	Not Available	0	0	1	60	5783.04	0
200-300%	Mobile Home	DE	Owner	0.290485	0.709515	0	51	3635.27	3.0214e-05
200-300%	Mobile Home	DE	Renter	0.253058	0.746942	0	102	2147.77	8.57395e-06
300-400%	Mobile Home	DE	Not Available	0	0	1	29	3982.89	0
300-400%	Mobile Home	DE	Owner	0.380153	0.619847	0	23	2937.79	2.03163e-05
300-400%	Mobile Home	DE	Renter	0.239126	0.760874	0	73	1045.1	4.27795e-06
400%+	Mobile Home	DE	Not Available	0	0	1	29	9782.05	0
400%+	Mobile Home	DE	Owner	0.620211	0.379789	0	22	7048.01	3.01502e-05
400%+	Mobile Home	DE	Renter	0.29219	0.70781	0	124	2734.05	3.45439e-06
Not Available	Mobile Home	DE	Not Available	0.410431	0.589569	0	13	39704.3	6.37987e-05
Not Available	Mobile Home	DE	Owner	0	0	1	161	27212.9	0
Not Available	Mobile Home	DE	Renter	0	0	1	54	12491.5	0
0-100%	Mobile Home	FL	Not Available	0	0	1	13	151982	0
0-100%	Mobile Home	FL	Owner	0.356456	0.643544	0	52	91460.7	0.000567953
0-100%	Mobile Home	FL	Renter	0.250664	0.749336	0	28	60521.2	0.000352842
100-150%	Mobile Home	FL	Not Available	0	0	1	12	136925	0
100-150%	Mobile Home	FL	Owner	0.547952	0.452048	0	48	94398.2	0.00051167
100-150%	Mobile Home	FL	Renter	0.000436062	0.999564	0	14	42526.4	0.000216854
150-200%	Mobile Home	FL	Not Available	0	0	1	44	29590.6	0
150-200%	Mobile Home	FL	Owner	0.439985	0.560015	0	38	29590.6	0.000447532
150-200%	Mobile Home	FL	Renter	0.269148	0.730852	0	64	0	0.000162513
200-300%	Mobile Home	FL	Not Available	0	0	1	14	110119	0
200-300%	Mobile Home	FL	Owner	0.136627	0.863373	0	11	74122.9	0.00073901
200-300%	Mobile Home	FL	Renter	0.253058	0.746942	0	102	35995.9	0.000216649
300-400%	Mobile Home	FL	Not Available	0	0	1	11	128474	0
300-400%	Mobile Home	FL	Owner	0.339114	0.660886	0	10	121888	0.000455839
300-400%	Mobile Home	FL	Renter	0.239126	0.760874	0	73	6585.93	0.000107971
400%+	Mobile Home	FL	Not Available	0	0	1	29	30992.6	0
400%+	Mobile Home	FL	Owner	0.620211	0.379789	0	22	30992.6	0.000602699
400%+	Mobile Home	FL	Renter	0.29219	0.70781	0	124	0	0.000111287
Not Available	Mobile Home	FL	Not Available	0.260131	0.739869	0	40	588082	0.00163919
Not Available	Mobile Home	FL	Owner	0	0	1	31	442453	0
Not Available	Mobile Home	FL	Renter	0	0	1	54	145629	0
0-100%	Mobile Home	GA	Not Available	0	0	1	13	147083	0
0-100%	Mobile Home	GA	Owner	0.356456	0.643544	0	52	90048.6	0.000253615
0-100%	Mobile Home	GA	Renter	0.250664	0.749336	0	28	57034	0.000253151
100-150%	Mobile Home	GA	Not Available	0	0	1	62	45567.6	0
100-150%	Mobile Home	GA	Owner	0.547952	0.452048	0	48	36914	0.000210605
100-150%	Mobile Home	GA	Renter	0.000436062	0.999564	0	14	8653.59	0.000148071
150-200%	Mobile Home	GA	Not Available	0	0	1	44	53324.4	0
150-200%	Mobile Home	GA	Owner	0.439985	0.560015	0	38	41693.6	0.000180469
150-200%	Mobile Home	GA	Renter	0.269148	0.730852	0	64	11630.8	0.000115769
200-300%	Mobile Home	GA	Not Available	0	0	1	60	14414.5	0
200-300%	Mobile Home	GA	Owner	0.290485	0.709515	0	51	14414.5	0.000300737
200-300%	Mobile Home	GA	Renter	0.253058	0.746942	0	102	0	0.000161555
300-400%	Mobile Home	GA	Not Available	0	0	1	29	28572.5	0
300-400%	Mobile Home	GA	Owner	0.380153	0.619847	0	23	17328.5	0.000193251
300-400%	Mobile Home	GA	Renter	0.239126	0.760874	0	73	11244	8.07448e-05
400%+	Mobile Home	GA	Not Available	0	0	1	29	23867.5	0
400%+	Mobile Home	GA	Owner	0.620211	0.379789	0	22	10818.7	0.000255056
400%+	Mobile Home	GA	Renter	0.29219	0.70781	0	124	13048.9	7.34262e-05
Not Available	Mobile Home	GA	Not Available	0.489899	0.510101	0	26	312829	0.000596738
Not Available	Mobile Home	GA	Owner	0	0	1	18	211218	0
Not Available	Mobile Home	GA	Renter	0	0	1	54	101611	0
0-100%	Mobile Home	HI	Not Available	0	0	1	16	0	0
0-100%	Mobile Home	HI	Owner	0.263337	0.736663	0	10	0	6.80012e-07
0-100%	Mobile Home	HI	Renter	0.259707	0.740293	0	19	0	4.74491e-07
100-150%	Mobile Home	HI	Not Available	0	0	1	22	0	0
100-150%	Mobile Home	HI	Owner	0.690638	0.309362	0	15	0	6.05406e-07
100-150%	Mobile Home	HI	Renter	0.407862	0.592138	0	13	0	3.26139e-07
150-200%	Mobile Home	HI	Not Available	0	0	1	23	0	0
150-200%	Mobile Home	HI	Owner	0.391295	0.608705	0	17	0	5.3848e-07
150-200%	Mobile Home	HI	Renter	0.407862	0.592138	0	13	0	2.545e-07
200-300%	Mobile Home	HI	Not Available	0	0	1	59	0	0
200-300%	Mobile Home	HI	Owner	0.50494	0.49506	0	44	0	1.00551e-06
200-300%	Mobile Home	HI	Renter	0.321244	0.678756	0	15	0	3.56472e-07
300-400%	Mobile Home	HI	Not Available	0	0	1	67	0	0
300-400%	Mobile Home	HI	Owner	0.436659	0.563341	0	53	0	7.36468e-07
300-400%	Mobile Home	HI	Renter	0.509484	0.490516	0	14	0	2.03188e-07
400%+	Mobile Home	HI	Not Available	0	0	1	103	0	0
400%+	Mobile Home	HI	Owner	0.352597	0.647403	0	82	0	1.44471e-06
400%+	Mobile Home	HI	Renter	0.377453	0.622547	0	21	0	3.10146e-07
Not Available	Mobile Home	HI	Not Available	0.397447	0.602553	0	206	0	2.50724e-06
Not Available	Mobile Home	HI	Owner	0	0	1	158	0	0
Not Available	Mobile Home	HI	Renter	0	0	1	48	0	0
0-100%	Mobile Home	IA	Not Available	0	0	1	27	21738.8	0
0-100%	Mobile Home	IA	Owner	0.510318	0.489682	0	21	21738.8	3.65506e-05
0-100%	Mobile Home	IA	Renter	0.183776	0.816224	0	39	0	1.91926e-05
100-150%	Mobile Home	IA	Not Available	0	0	1	24	10784.1	0
100-150%	Mobile Home	IA	Owner	0.513175	0.486825	0	19	4545.99	3.47242e-05
100-150%	Mobile Home	IA	Renter	0.548762	0.451238	0	36	6238.11	1.21892e-05
150-200%	Mobile Home	IA	Not Available	0	0	1	10	1860.85	0
150-200%	Mobile Home	IA	Owner	0.665744	0.334256	0	154	0	3.09266e-05
150-200%	Mobile Home	IA	Renter	0.424833	0.575167	0	39	1860.85	1.02756e-05
200-300%	Mobile Home	IA	Not Available	0	0	1	18	15379.4	0
200-300%	Mobile Home	IA	Owner	0.869844	0.130156	0	14	15379.4	5.32249e-05
200-300%	Mobile Home	IA	Renter	0.612731	0.387269	0	51	0	1.39865e-05
300-400%	Mobile Home	IA	Not Available	0	0	1	377	2384.46	0
300-400%	Mobile Home	IA	Owner	0.670587	0.329413	0	345	2384.46	3.6587e-05
300-400%	Mobile Home	IA	Renter	0.476399	0.523601	0	32	0	7.8313e-06
400%+	Mobile Home	IA	Not Available	0	0	1	10	1960.3	0
400%+	Mobile Home	IA	Owner	0.956246	0.0437541	0	10	1960.3	4.33583e-05
400%+	Mobile Home	IA	Renter	0.353907	0.646093	0	55	0	8.27418e-06
Not Available	Mobile Home	IA	Not Available	0.432404	0.567596	0	10	54107.9	6.75263e-05
Not Available	Mobile Home	IA	Owner	0	0	1	55	46008.9	0
Not Available	Mobile Home	IA	Renter	0	0	1	13	8098.96	0
0-100%	Mobile Home	ID	Not Available	0	0	1	10	21830.7	0
0-100%	Mobile Home	ID	Owner	0.305056	0.694944	0	17	16268.5	4.41299e-05
0-100%	Mobile Home	ID	Renter	0.165999	0.834001	0	10	5562.12	2.91875e-05
100-150%	Mobile Home	ID	Not Available	0	0	1	24	9081.29	0
100-150%	Mobile Home	ID	Owner	0.38262	0.61738	0	23	9081.29	4.15895e-05
100-150%	Mobile Home	ID	Renter	0.450077	0.549923	0	26	0	1.89744e-05
150-200%	Mobile Home	ID	Not Available	0	0	1	19	4435.44	0
150-200%	Mobile Home	ID	Owner	0.630869	0.369131	0	14	4435.44	3.26335e-05
150-200%	Mobile Home	ID	Renter	0.27831	0.72169	0	24	0	1.54845e-05
200-300%	Mobile Home	ID	Not Available	0	0	1	23	2450.64	0
200-300%	Mobile Home	ID	Owner	0.407047	0.592953	0	16	2450.64	5.12953e-05
200-300%	Mobile Home	ID	Renter	0.169105	0.830895	0	42	0	2.25781e-05
300-400%	Mobile Home	ID	Not Available	0	0	1	16	4821.3	0
300-400%	Mobile Home	ID	Owner	0.894737	0.105263	0	14	4821.3	3.41777e-05
300-400%	Mobile Home	ID	Renter	0.431251	0.568749	0	35	0	1.16886e-05
400%+	Mobile Home	ID	Not Available	0	0	1	16	5024.12	0
400%+	Mobile Home	ID	Owner	0.885267	0.114733	0	15	5024.12	4.11566e-05
400%+	Mobile Home	ID	Renter	0.279563	0.720437	0	45	0	9.75806e-06
Not Available	Mobile Home	ID	Not Available	0.536749	0.463251	0	21	47643.4	8.70325e-05
Not Available	Mobile Home	ID	Owner	0	0	1	19	42081.3	0
Not Available	Mobile Home	ID	Renter	0	0	1	19	5562.12	0
0-100%	Mobile Home	IL	Not Available	0	0	1	17	8803.83	0
0-100%	Mobile Home	IL	Owner	0.778658	0.221342	0	12	0	0.000108097
0-100%	Mobile Home	IL	Renter	0.426833	0.573167	0	62	8803.83	6.49234e-05
100-150%	Mobile Home	IL	Not Available	0	0	1	20	28788	0
100-150%	Mobile Home	IL	Owner	0.226614	0.773386	0	18	28788	8.98879e-05
100-150%	Mobile Home	IL	Renter	0.381605	0.618395	0	41	0	4.13767e-05
150-200%	Mobile Home	IL	Not Available	0	0	1	10	0	0
150-200%	Mobile Home	IL	Owner	0.492491	0.507509	0	170	0	7.60826e-05
150-200%	Mobile Home	IL	Renter	0.181983	0.818017	0	36	0	2.98752e-05
200-300%	Mobile Home	IL	Not Available	0	0	1	22	32155.7	0
200-300%	Mobile Home	IL	Owner	0.288812	0.711188	0	22	32155.7	0.000128494
200-300%	Mobile Home	IL	Renter	0.370572	0.629428	0	53	0	4.06182e-05
300-400%	Mobile Home	IL	Not Available	0	0	1	10	12629.5	0
300-400%	Mobile Home	IL	Owner	0.519971	0.480029	0	368	7995.89	8.31454e-05
300-400%	Mobile Home	IL	Renter	0.295082	0.704918	0	32	4633.6	2.15982e-05
400%+	Mobile Home	IL	Not Available	0	0	1	899	12646.2	0
400%+	Mobile Home	IL	Owner	0.494192	0.505808	0	856	8664.33	0.00011869
400%+	Mobile Home	IL	Renter	0.400628	0.599372	0	43	3981.85	1.99971e-05
Not Available	Mobile Home	IL	Not Available	0.412021	0.587979	0	63	95023.2	0.000181585
Not Available	Mobile Home	IL	Owner	0	0	1	54	77603.9	0
Not Available	Mobile Home	IL	Renter	0	0	1	195	17419.3	0
0-100%	Mobile Home	IN	Not Available	0	0	1	17	19994.3	0
0-100%	Mobile Home	IN	Owner	0.778658	0.221342	0	12	19994.3	9.41485e-05
0-100%	Mobile Home	IN	Renter	0.426833	0.573167	0	62	0	6.89667e-05
100-150%	Mobile Home	IN	Not Available	0	0	1	20	18753	0
100-150%	Mobile Home	IN	Owner	0.226614	0.773386	0	18	18232.8	7.68898e-05
100-150%	Mobile Home	IN	Renter	0.381605	0.618395	0	41	520.218	5.22066e-05
150-200%	Mobile Home	IN	Not Available	0	0	1	10	11985.9	0
150-200%	Mobile Home	IN	Owner	0.492491	0.507509	0	170	7038.06	6.87079e-05
150-200%	Mobile Home	IN	Renter	0.181983	0.818017	0	36	4947.83	3.78967e-05
200-300%	Mobile Home	IN	Not Available	0	0	1	22	26749.5	0
200-300%	Mobile Home	IN	Owner	0.288812	0.711188	0	22	26749.5	0.000121679
200-300%	Mobile Home	IN	Renter	0.370572	0.629428	0	53	0	5.11161e-05
300-400%	Mobile Home	IN	Not Available	0	0	1	10	0	0
300-400%	Mobile Home	IN	Owner	0.519971	0.480029	0	368	0	7.89425e-05
300-400%	Mobile Home	IN	Renter	0.295082	0.704918	0	32	0	2.66175e-05
400%+	Mobile Home	IN	Not Available	0	0	1	899	0	0
400%+	Mobile Home	IN	Owner	0.494192	0.505808	0	856	0	9.83247e-05
400%+	Mobile Home	IN	Renter	0.400628	0.599372	0	43	0	2.48378e-05
Not Available	Mobile Home	IN	Not Available	0.572997	0.427003	0	12	77482.7	0.000197571
Not Available	Mobile Home	IN	Owner	0	0	1	11	72014.7	0
Not Available	Mobile Home	IN	Renter	0	0	1	195	5468.05	0
0-100%	Mobile Home	KS	Not Available	0	0	1	27	8048.63	0
0-100%	Mobile Home	KS	Owner	0.510318	0.489682	0	21	8048.63	3.12961e-05
0-100%	Mobile Home	KS	Renter	0.183776	0.816224	0	39	0	2.28421e-05
100-150%	Mobile Home	KS	Not Available	0	0	1	24	6788.03	0
100-150%	Mobile Home	KS	Owner	0.513175	0.486825	0	19	6156.95	2.78809e-05
100-150%	Mobile Home	KS	Renter	0.548762	0.451238	0	36	631.085	1.69842e-05
150-200%	Mobile Home	KS	Not Available	0	0	1	10	7800.24	0
150-200%	Mobile Home	KS	Owner	0.665744	0.334256	0	154	739.63	2.67529e-05
150-200%	Mobile Home	KS	Renter	0.424833	0.575167	0	39	7060.61	1.42262e-05
