Dependency=County	Option=CAISO	Option=ERCOT	Option=MISO	Option=NEISO	Option=None	Option=NYISO	Option=PJM	Option=SPP	source_count	source_weight	sampling_probability
AR, Arkansas County	0	0	1	0	0	0	0	0	2796	9441	7.04262e-05
AR, Ashley County	0	0	1	0	0	0	0	0	2046	10101	7.53496e-05
AR, Baxter County	0	0	1	0	0	0	0	0	3064	22588	0.000168498
AR, Benton County	0	0	0	0	0	0	0	1	6976	98027	0.000731243
AR, Boone County	0	0	1	0	0	0	0	0	2422	16908	0.000126127
AR, Bradley County	0	0	1	0	0	0	0	0	1017	5819	4.34075e-05
AR, Calhoun County	0	0	1	0	0	0	0	0	1356	2888	2.15433e-05
AR, Carroll County	0	0	0	0	0	0	0	1	2171	13581	0.000101309
AR, Chicot County	0	0	1	0	0	0	0	0	1870	5407	4.03342e-05
AR, Clark County	0	0	1	0	0	0	0	0	2126	10405	7.76173e-05
AR, Clay County	0	0	1	0	0	0	0	0	1951	8039	5.99679e-05
AR, Cleburne County	0	0	1	0	0	0	0	0	1819	15854	0.000118265
AR, Cleveland County	0	0	1	0	0	0	0	0	814	4058	3.02711e-05
AR, Columbia County	0	0	1	0	0	0	0	0	2374	11578	8.63675e-05
AR, Conway County	0	0	1	0	0	0	0	0	1824	9733	7.26044e-05
AR, Craighead County	0	0	1	0	0	0	0	0	3582	43278	0.000322837
AR, Crawford County	0	0	0	0	0	0	0	1	2502	26430	0.000197157
AR, Crittenden County	0	0	1	0	0	0	0	0	2982	21607	0.000161179
AR, Cross County	0	0	1	0	0	0	0	0	1606	7883	5.88042e-05
AR, Dallas County	0	0	1	0	0	0	0	0	1517	4285	3.19644e-05
AR, Desha County	0	0	1	0	0	0	0	0	1705	6283	4.68688e-05
AR, Drew County	0	0	1	0	0	0	0	0	1834	8479	6.32501e-05
AR, Faulkner County	0	0	1	0	0	0	0	0	3446	48753	0.000363679
AR, Franklin County	0	0	0	0	0	0	0	1	2157	8024	5.9856e-05
AR, Fulton County	0	0	1	0	0	0	0	0	1947	6746	5.03225e-05
AR, Garland County	0	0	1	0	0	0	0	0	5428	50530	0.000376934
AR, Grant County	0	0	1	0	0	0	0	0	1416	7840	5.84834e-05
AR, Greene County	0	0	1	0	0	0	0	0	2260	18479	0.000137846
AR, Hempstead County	0	0	0	0	0	0	0	1	2113	10430	7.78039e-05
AR, Hot Spring County	0	0	1	0	0	0	0	0	3031	14331	0.000106904
AR, Howard County	0	0	0	0	0	0	0	1	2224	6230	4.64734e-05
AR, Independence County	0	0	1	0	0	0	0	0	2225	16273	0.00012139
AR, Izard County	0	0	1	0	0	0	0	0	2588	7212	5.37988e-05
AR, Jackson County	0	0	1	0	0	0	0	0	2083	7598	5.66782e-05
AR, Jefferson County	0	0	1	0	0	0	0	0	5183	33207	0.000247711
AR, Johnson County	0	0	0	0	0	0	0	1	2258	11350	8.46667e-05
AR, Lafayette County	0	0	1	0	0	0	0	0	1444	4342	3.23897e-05
AR, Lawrence County	0	0	1	0	0	0	0	0	2222	7969	5.94456e-05
AR, Lee County	0	0	1	0	0	0	0	0	1203	4363	3.25463e-05
AR, Lincoln County	0	0	1	0	0	0	0	0	1101	4852	3.61941e-05
AR, Little River County	0	0	0	0	0	0	0	1	1523	6449	4.81071e-05
AR, Logan County	0	0	0	0	0	0	0	1	1790	10129	7.55585e-05
AR, Lonoke County	0	0	1	0	0	0	0	0	2876	28553	0.000212994
AR, Madison County	0	0	0	0	0	0	0	1	1538	7482	5.58129e-05
AR, Marion County	0	0	1	0	0	0	0	0	1896	9343	6.96952e-05
AR, Miller County	0	0	0	0	0	0	0	1	2320	19397	0.000144694
AR, Mississippi County	0	0	1	0	0	0	0	0	3405	20495	0.000152885
AR, Monroe County	0	0	1	0	0	0	0	0	1452	4441	3.31281e-05
AR, Montgomery County	0	0	1	0	0	0	0	0	1790	5740	4.28183e-05
AR, Nevada County	0	0	1	0	0	0	0	0	1195	4542	3.38816e-05
AR, Newton County	0	0	1	0	0	0	0	0	1402	4670	3.48365e-05
AR, Ouachita County	0	0	1	0	0	0	0	0	2682	13063	9.7445e-05
AR, Perry County	0	0	1	0	0	0	0	0	1378	4907	3.66043e-05
AR, Phillips County	0	0	1	0	0	0	0	0	1972	10156	7.57598e-05
AR, Pike County	0	0	1	0	0	0	0	0	2140	5572	4.15649e-05
AR, Poinsett County	0	0	1	0	0	0	0	0	2486	10926	8.15037e-05
AR, Polk County	0	0	0	0	0	0	0	1	2782	10032	7.48349e-05
AR, Pope County	0	0	1	0	0	0	0	0	3523	25867	0.000192958
AR, Prairie County	0	0	1	0	0	0	0	0	1577	4497	3.35459e-05
AR, Pulaski County	0	0	1	0	0	0	0	0	11859	181232	0.00135192
AR, Randolph County	0	0	1	0	0	0	0	0	1670	8537	6.36827e-05
AR, Saline County	0	0	1	0	0	0	0	0	3990	46800	0.00034911
AR, Scott County	0	0	0	0	0	0	0	1	1344	5181	3.86483e-05
AR, Searcy County	0	0	1	0	0	0	0	0	1464	4904	3.65819e-05
AR, Sebastian County	0	0	0	0	0	0	0	1	4604	56055	0.000418149
AR, Sevier County	0	0	0	0	0	0	0	1	1507	6874	5.12774e-05
AR, Sharp County	0	0	1	0	0	0	0	0	2688	9826	7.32983e-05
AR, St. Francis County	0	0	1	0	0	0	0	0	2524	10898	8.1295e-05
AR, Stone County	0	0	1	0	0	0	0	0	1180	6759	5.04196e-05
AR, Union County	0	0	1	0	0	0	0	0	3438	19688	0.000146864
AR, Van Buren County	0	0	1	0	0	0	0	0	2026	10342	7.71474e-05
AR, Washington County	0	0	0	0	0	0	0	1	6843	90065	0.000671849
AR, White County	0	0	1	0	0	0	0	0	3351	33138	0.000247197
AR, Woodruff County	0	0	1	0	0	0	0	0	1149	3888	2.9003e-05
AR, Yell County	0	0	1	0	0	0	0	0	2164	9742	7.26716e-05
AZ, Apache County	0	0	0	0	1	0	0	0	24145	32725	0.000244116
AZ, Cochise County	0	0	0	0	1	0	0	0	9139	60401	0.000450568
AZ, Coconino County	0	0	0	0	1	0	0	0	20267	64435	0.000480661
AZ, Gila County	0	0	0	0	1	0	0	0	4979	33138	0.000247197
AZ, Graham County	0	0	0	0	1	0	0	0	3988	13268	9.89739e-05
AZ, Greenlee County	0	0	0	0	1	0	0	0	1394	4424	3.30013e-05
AZ, La Paz County	0	0	0	0	1	0	0	0	4795	16234	0.000121099
AZ, Maricopa County	0	0	0	0	1	0	0	0	72729	1.68041e+06	0.0125352
AZ, Mohave County	0	0	0	0	1	0	0	0	15677	112617	0.000840079
AZ, Navajo County	0	0	0	0	1	0	0	0	20804	57554	0.000429331
AZ, Pima County	0	0	0	0	1	0	0	0	19985	450828	0.003363
AZ, Pinal County	0	0	0	0	1	0	0	0	19349	166455	0.00124169
AZ, Santa Cruz County	0	0	0	0	1	0	0	0	2678	18125	0.000135205
AZ, Yavapai County	0	0	0	0	1	0	0	0	12462	112854	0.00084185
AZ, Yuma County	0	0	0	0	1	0	0	0	9275	90071	0.000671895
CA, Alameda County	1	0	0	0	0	0	0	0	23956	592796	0.00442202
CA, Alpine County	0	0	0	0	1	0	0	0	456	1771	1.3211e-05
CA, Amador County	1	0	0	0	0	0	0	0	1396	18203	0.000135787
CA, Butte County	1	0	0	0	0	0	0	0	6517	97513	0.000727409
CA, Calaveras County	1	0	0	0	0	0	0	0	2818	28104	0.000209645
CA, Colusa County	1	0	0	0	0	0	0	0	2204	7939	5.92219e-05
CA, Contra Costa County	1	0	0	0	0	0	0	0	18309	406803	0.00303459
CA, Del Norte County	0	0	0	0	1	0	0	0	2062	11326	8.44876e-05
CA, El Dorado County	1	0	0	0	0	0	0	0	5810	88882	0.000663025
CA, Fresno County	1	0	0	0	0	0	0	0	22096	323857	0.00241585
CA, Glenn County	1	0	0	0	0	0	0	0	2783	10905	8.13471e-05
CA, Humboldt County	1	0	0	0	0	0	0	0	9697	62386	0.000465375
CA, Imperial County	0	0	0	0	1	0	0	0	8875	56906	0.000424497
CA, Inyo County	1	0	0	0	0	0	0	0	5317	9513	7.09632e-05
CA, Kern County	1	0	0	0	0	0	0	0	35280	291292	0.00217292
CA, Kings County	1	0	0	0	0	0	0	0	6188	44953	0.000335332
CA, Lake County	1	0	0	0	0	0	0	0	5164	35633	0.000265808
CA, Lassen County	0	0	0	0	1	0	0	0	5639	12726	9.4931e-05
CA, Los Angeles County	0	0	0	0	1	0	0	0	109582	3.49012e+06	0.0260349
CA, Madera County	1	0	0	0	0	0	0	0	4989	49844	0.000371817
CA, Marin County	1	0	0	0	0	0	0	0	4506	112259	0.000837407
CA, Mariposa County	1	0	0	0	0	0	0	0	1919	10334	7.70876e-05
CA, Mendocino County	1	0	0	0	0	0	0	0	8235	40695	0.000303569
CA, Merced County	1	0	0	0	0	0	0	0	7181	84140	0.000627652
CA, Modoc County	0	0	0	0	1	0	0	0	5225	5242	3.91033e-05
CA, Mono County	1	0	0	0	0	0	0	0	3050	14000	0.000104435
CA, Monterey County	1	0	0	0	0	0	0	0	10601	140169	0.0010456
CA, Napa County	1	0	0	0	0	0	0	0	2771	55301	0.000412522
CA, Nevada County	1	0	0	0	0	0	0	0	4597	53189	0.00039677
CA, Orange County	1	0	0	0	0	0	0	0	36880	1.07212e+06	0.0079976
CA, Placer County	1	0	0	0	0	0	0	0	9170	157888	0.00117778
CA, Plumas County	1	0	0	0	0	0	0	0	4732	15693	0.000117064
CA, Riverside County	1	0	0	0	0	0	0	0	35718	820300	0.00611912
CA, Sacramento County	0	0	0	0	1	0	0	0	19937	562003	0.00419232
CA, San Benito County	1	0	0	0	0	0	0	0	2650	18139	0.00013531
CA, San Bernardino County	1	0	0	0	0	0	0	0	48176	708442	0.0052847
CA, San Diego County	1	0	0	0	0	0	0	0	43415	1.18764e+06	0.00885936
CA, San Francisco County	0	0	0	0	1	0	0	0	7386	386755	0.00288504
CA, San Joaquin County	1	0	0	0	0	0	0	0	13233	237752	0.00177354
CA, San Luis Obispo County	1	0	0	0	0	0	0	0	11428	119399	0.00089067
CA, San Mateo County	1	0	0	0	0	0	0	0	9262	273798	0.00204242
CA, Santa Barbara County	1	0	0	0	0	0	0	0	10370	154574	0.00115306
CA, Santa Clara County	1	0	0	0	0	0	0	0	22367	651905	0.00486295
CA, Santa Cruz County	1	0	0	0	0	0	0	0	5085	105255	0.000785161
CA, Shasta County	1	0	0	0	0	0	0	0	10564	77942	0.000581417
CA, Sierra County	1	0	0	0	0	0	0	0	1940	2349	1.75226e-05
CA, Siskiyou County	0	0	0	0	1	0	0	0	10157	24034	0.000179285
CA, Solano County	1	0	0	0	0	0	0	0	10282	155091	0.00115692
CA, Sonoma County	1	0	0	0	0	0	0	0	10389	207058	0.00154457
CA, Stanislaus County	0	0	0	0	1	0	0	0	8551	180386	0.00134561
CA, Sutter County	1	0	0	0	0	0	0	0	2736	34102	0.000254387
CA, Tehama County	1	0	0	0	0	0	0	0	5435	27225	0.000203088
CA, Trinity County	1	0	0	0	0	0	0	0	3121	8788	6.5555e-05
CA, Tulare County	1	0	0	0	0	0	0	0	13796	145661	0.00108657
CA, Tuolumne County	1	0	0	0	0	0	0	0	4753	31358	0.000233918
CA, Ventura County	1	0	0	0	0	0	0	0	14854	284759	0.00212419
CA, Yolo County	1	0	0	0	0	0	0	0	3601	76478	0.000570496
CA, Yuba County	1	0	0	0	0	0	0	0	2934	28039	0.00020916
CO, Adams County	0	0	0	0	1	0	0	0	10351	166058	0.00123873
CO, Alamosa County	0	0	0	0	1	0	0	0	1125	6728	5.01882e-05
CO, Arapahoe County	0	0	0	0	1	0	0	0	9118	242869	0.00181171
CO, Archuleta County	0	0	0	0	1	0	0	0	1183	8965	6.68754e-05
CO, Baca County	0	0	0	0	1	0	0	0	1188	2233	1.66573e-05
CO, Bent County	0	0	0	0	1	0	0	0	1138	2193	1.63589e-05
CO, Boulder County	0	0	0	0	1	0	0	0	7368	131042	0.000977522
CO, Broomfield County	0	0	0	0	1	0	0	0	1419	25543	0.000190541
CO, Chaffee County	0	0	0	0	1	0	0	0	1898	10348	7.7192e-05
CO, Cheyenne County	0	0	0	0	1	0	0	0	612	924	6.89269e-06
CO, Clear Creek County	0	0	0	0	1	0	0	0	1483	5680	4.23704e-05
CO, Conejos County	0	0	0	0	1	0	0	0	1150	4291	3.20092e-05
CO, Costilla County	0	0	0	0	1	0	0	0	2833	2687	2.0044e-05
CO, Crowley County	0	0	0	0	1	0	0	0	537	1559	1.16295e-05
CO, Custer County	0	0	0	0	1	0	0	0	1206	4245	3.1666e-05
CO, Delta County	0	0	0	0	1	0	0	0	1989	14500	0.000108164
CO, Denver County	0	0	0	0	1	0	0	0	11039	299338	0.00223294
CO, Dolores County	0	0	0	0	1	0	0	0	673	1379	1.02868e-05
CO, Douglas County	0	0	0	0	1	0	0	0	5568	118178	0.000881563
CO, Eagle County	0	0	0	0	1	0	0	0	3686	31555	0.000235388
CO, El Paso County	0	0	0	0	1	0	0	0	18690	265480	0.00198038
CO, Elbert County	0	0	0	0	1	0	0	0	1118	9135	6.81437e-05
CO, Fremont County	0	0	0	0	1	0	0	0	3285	19280	0.000143821
CO, Garfield County	0	0	0	0	1	0	0	0	4329	23386	0.000174451
CO, Gilpin County	0	0	0	0	1	0	0	0	835	3457	2.57879e-05
CO, Grand County	0	0	0	0	1	0	0	0	2749	16269	0.00012136
CO, Gunnison County	0	0	0	0	1	0	0	0	3628	11580	8.63821e-05
CO, Hinsdale County	0	0	0	0	1	0	0	0	509	1468	1.09507e-05
CO, Huerfano County	0	0	0	0	1	0	0	0	2024	5125	3.82306e-05
CO, Jackson County	0	0	0	0	1	0	0	0	1080	1288	9.60795e-06
CO, Jefferson County	0	0	0	0	1	0	0	0	10139	233838	0.00174434
CO, Kiowa County	0	0	0	0	1	0	0	0	673	816	6.08705e-06
CO, Kit Carson County	0	0	0	0	1	0	0	0	1382	3502	2.61236e-05
CO, La Plata County	0	0	0	0	1	0	0	0	2928	26582	0.000198292
CO, Lake County	0	0	0	0	1	0	0	0	946	4548	3.39262e-05
CO, Larimer County	0	0	0	0	1	0	0	0	10976	138763	0.00103512
CO, Las Animas County	0	0	0	0	1	0	0	0	2764	8303	6.19371e-05
CO, Lincoln County	0	0	0	0	1	0	0	0	1458	1973	1.47178e-05
CO, Logan County	0	0	0	0	1	0	0	0	2523	8965	6.68754e-05
CO, Mesa County	0	0	0	0	1	0	0	0	5552	64219	0.000479048
CO, Mineral County	0	0	0	0	1	0	0	0	429	1291	9.63032e-06
CO, Moffat County	0	0	0	0	1	0	0	0	2275	6162	4.59661e-05
CO, Montezuma County	0	0	0	0	1	0	0	0	2649	12003	8.95377e-05
CO, Montrose County	0	0	0	0	1	0	0	0	3077	18351	0.000136891
CO, Morgan County	0	0	0	0	1	0	0	0	2299	11474	8.55915e-05
CO, Otero County	0	0	0	0	1	0	0	0	3170	8895	6.63532e-05
CO, Ouray County	0	0	0	0	1	0	0	0	740	3179	2.37141e-05
CO, Park County	0	0	0	0	1	0	0	0	2759	14165	0.000105665
CO, Phillips County	0	0	0	0	1	0	0	0	1003	1949	1.45388e-05
CO, Pitkin County	0	0	0	0	1	0	0	0	1164	13069	9.74893e-05
CO, Prowers County	0	0	0	0	1	0	0	0	2057	5883	4.3885e-05
CO, Pueblo County	0	0	0	0	1	0	0	0	7856	70086	0.000522813
CO, Rio Blanco County	0	0	0	0	1	0	0	0	2267	3345	2.49524e-05
CO, Rio Grande County	0	0	0	0	1	0	0	0	1488	6618	4.93675e-05
CO, Routt County	0	0	0	0	1	0	0	0	2610	16405	0.000122374
CO, Saguache County	0	0	0	0	1	0	0	0	1671	3925	2.9279e-05
CO, San Juan County	0	0	0	0	1	0	0	0	285	741	5.52755e-06
CO, San Miguel County	0	0	0	0	1	0	0	0	1191	6706	5.00241e-05
CO, Sedgwick County	0	0	0	0	1	0	0	0	736	1307	9.74971e-06
CO, Summit County	0	0	0	0	1	0	0	0	2159	30389	0.00022669
CO, Teller County	0	0	0	0	1	0	0	0	1835	12814	9.55877e-05
CO, Washington County	0	0	0	0	1	0	0	0	1393	2435	1.81642e-05
CO, Weld County	0	0	0	0	1	0	0	0	9901	100935	0.000752938
CO, Yuma County	0	0	0	0	1	0	0	0	2896	4444	3.31505e-05
CT, Fairfield County	0	0	0	1	0	0	0	0	14653	364737	0.0027208
CT, Hartford County	0	0	0	1	0	0	0	0	14111	374672	0.00279491
CT, Litchfield County	0	0	0	1	0	0	0	0	6638	87450	0.000652342
CT, Middlesex County	0	0	0	1	0	0	0	0	4173	75277	0.000561538
CT, New Haven County	0	0	0	1	0	0	0	0	13708	362497	0.00270409
CT, New London County	0	0	0	1	0	0	0	0	7342	121426	0.00090579
CT, Tolland County	0	0	0	1	0	0	0	0	3226	58574	0.000436939
CT, Windham County	0	0	0	1	0	0	0	0	3727	49165	0.000366751
DC, District of Columbia	0	0	0	0	0	0	1	0	6507	306711	0.00228794
DE, Kent County	0	0	0	0	0	0	1	0	4886	68106	0.000508044
DE, New Castle County	0	0	0	0	0	0	1	0	10323	220459	0.00164454
DE, Sussex County	0	0	0	0	0	0	1	0	8906	129362	0.000964992
FL, Alachua County	0	0	0	0	1	0	0	0	7382	114195	0.000851853
FL, Baker County	0	0	0	0	1	0	0	0	1232	9615	7.17243e-05
FL, Bay County	0	0	0	0	1	0	0	0	8025	100405	0.000748984
FL, Bradford County	0	0	0	0	1	0	0	0	1349	10901	8.13173e-05
FL, Brevard County	0	0	0	0	1	0	0	0	12108	272437	0.00203228
FL, Broward County	0	0	0	0	1	0	0	0	21811	816886	0.00609366
FL, Calhoun County	0	0	0	0	1	0	0	0	1977	5927	4.42132e-05
FL, Charlotte County	0	0	0	0	1	0	0	0	8597	101532	0.00075739
FL, Citrus County	0	0	0	0	1	0	0	0	8270	77760	0.000580061
FL, Clay County	0	0	0	0	1	0	0	0	5433	77490	0.000578046
FL, Collier County	0	0	0	0	1	0	0	0	6479	203899	0.00152101
FL, Columbia County	0	0	0	0	1	0	0	0	3463	28338	0.000211391
FL, DeSoto County	0	0	0	0	1	0	0	0	1609	14724	0.000109835
FL, Dixie County	0	0	0	0	1	0	0	0	2393	9168	6.83898e-05
FL, Duval County	0	0	0	0	1	0	0	0	14904	396150	0.00295513
FL, Escambia County	0	0	0	0	1	0	0	0	10644	138698	0.00103463
FL, Flagler County	0	0	0	0	1	0	0	0	3995	49657	0.000370423
FL, Franklin County	0	0	0	0	1	0	0	0	2323	8580	6.40036e-05
FL, Gadsden County	0	0	0	0	1	0	0	0	2196	19411	0.000144799
FL, Gilchrist County	0	0	0	0	1	0	0	0	1149	7241	5.40151e-05
FL, Glades County	0	0	0	0	1	0	0	0	1257	6840	5.10238e-05
FL, Gulf County	0	0	0	0	1	0	0	0	2352	9211	6.87106e-05
FL, Hamilton County	0	0	0	0	1	0	0	0	1238	5701	4.25274e-05
FL, Hardee County	0	0	0	0	1	0	0	0	1675	9623	7.1784e-05
FL, Hendry County	0	0	0	0	1	0	0	0	2567	14389	0.000107337
FL, Hernando County	0	0	0	0	1	0	0	0	5613	84768	0.000632337
FL, Highlands County	0	0	0	0	1	0	0	0	6827	54967	0.000410033
FL, Hillsborough County	0	0	0	0	1	0	0	0	21938	554762	0.00413832
FL, Holmes County	0	0	0	0	1	0	0	0	1384	8571	6.39365e-05
FL, Indian River County	0	0	0	0	1	0	0	0	6268	77498	0.000578106
FL, Jackson County	0	0	0	0	1	0	0	0	3431	20820	0.00015531
FL, Jefferson County	0	0	0	0	1	0	0	0	1140	6599	4.92261e-05
FL, Lafayette County	0	0	0	0	1	0	0	0	1525	3175	2.36843e-05
FL, Lake County	0	0	0	0	1	0	0	0	12303	147372	0.00109934
FL, Lee County	0	0	0	0	1	0	0	0	21264	377081	0.00281288
FL, Leon County	0	0	0	0	1	0	0	0	6198	126658	0.000944821
FL, Levy County	0	0	0	0	1	0	0	0	4568	19861	0.000148156
FL, Liberty County	0	0	0	0	1	0	0	0	1271	3455	2.5773e-05
FL, Madison County	0	0	0	0	1	0	0	0	1910	8436	6.29294e-05
