Dependency=County	Option=Cold	Option=Hot-Dry	Option=Hot-Humid	Option=Marine	Option=Mixed-Dry	Option=Mixed-Humid	Option=Very Cold	source_count	source_weight	sampling_probability
AR, Van Buren County	0	0	0	0	0	1	0	5	10342	7.76577e-05
AR, Washington County	0	0	0	0	0	1	0	32	90065	0.000676293
AR, White County	0	0	0	0	0	1	0	13	33138	0.000248833
AR, Woodruff County	0	0	0	0	0	1	0	2	3888	2.91949e-05
AR, Yell County	0	0	0	0	0	1	0	6	9742	7.31523e-05
AZ, Apache County	1	0	0	0	0	0	0	16	32725	0.000245731
AZ, Cochise County	0	1	0	0	0	0	0	32	60401	0.000453548
AZ, Coconino County	1	0	0	0	0	0	0	28	64435	0.00048384
AZ, Gila County	0	0	0	0	1	0	0	16	33138	0.000248832
AZ, Graham County	0	1	0	0	0	0	0	9	13268	9.96292e-05
AZ, Greenlee County	0	1	0	0	0	0	0	3	4424	3.32196e-05
AZ, La Paz County	0	1	0	0	0	0	0	9	16234	0.0001219
AZ, Maricopa County	0	1	0	0	0	0	0	916	1.68041e+06	0.0126181
AZ, Mohave County	0	1	0	0	0	0	0	43	112617	0.000845635
AZ, Navajo County	1	0	0	0	0	0	0	31	57554	0.000432171
AZ, Pima County	0	1	0	0	0	0	0	234	437358	0.0032841
AZ, Pinal County	0	1	0	0	0	0	0	75	166455	0.0012499
AZ, Santa Cruz County	0	1	0	0	0	0	0	10	18125	0.000136099
AZ, Yavapai County	0	0	0	0	1	0	0	42	112854	0.000847418
AZ, Yuma County	0	1	0	0	0	0	0	55	90071	0.000676338
CA, Alameda County	0	0	0	1	0	0	0	361	592796	0.00445128
CA, Alpine County	1	0	0	0	0	0	0	1	1771	1.32984e-05
CA, Amador County	0	0	0	0	1	0	0	9	18203	0.000136685
CA, Butte County	0	1	0	0	0	0	0	51	97513	0.00073222
CA, Calaveras County	0	0	0	0	1	0	0	10	28104	0.000211032
CA, Colusa County	0	1	0	0	0	0	0	5	7939	5.96136e-05
CA, Contra Costa County	0	1	0	0	0	0	0	208	406803	0.00305466
CA, Del Norte County	0	0	0	1	0	0	0	8	11326	8.50465e-05
CA, El Dorado County	0	0	0	0	1	0	0	43	88882	0.00066741
CA, Fresno County	0	1	0	0	0	0	0	199	323857	0.00243182
CA, Glenn County	0	1	0	0	0	0	0	6	10905	8.18851e-05
CA, Humboldt County	0	0	0	1	0	0	0	31	62386	0.000468454
CA, Imperial County	0	1	0	0	0	0	0	31	56906	0.000427304
CA, Inyo County	0	0	0	0	1	0	0	6	9513	7.14326e-05
CA, Kern County	0	1	0	0	0	0	0	151	291292	0.0021873
CA, Kings County	0	1	0	0	0	0	0	27	44953	0.00033755
CA, Lake County	0	0	0	0	1	0	0	15	35633	0.000267566
CA, Lassen County	1	0	0	0	0	0	0	9	12726	9.55589e-05
CA, Los Angeles County	0	1	0	0	0	0	0	2345	3.48832e+06	0.0261937
CA, Madera County	0	1	0	0	0	0	0	23	49844	0.000374276
CA, Marin County	0	0	0	1	0	0	0	56	112259	0.000842947
CA, Mariposa County	0	0	0	0	1	0	0	6	10334	7.75974e-05
CA, Mendocino County	0	0	0	1	0	0	0	21	40695	0.000305577
CA, Merced County	0	1	0	0	0	0	0	49	84140	0.000631803
CA, Modoc County	1	0	0	0	0	0	0	4	5242	3.93619e-05
CA, Mono County	1	0	0	0	0	0	0	3	14000	0.000105126
CA, Monterey County	0	0	0	1	0	0	0	94	140169	0.00105252
CA, Napa County	0	0	0	1	0	0	0	40	55301	0.000415251
CA, Nevada County	1	0	0	0	0	0	0	20	53189	0.000399394
CA, Orange County	0	1	0	0	0	0	0	583	1.07212e+06	0.0080505
CA, Placer County	0	1	0	0	0	0	0	85	157888	0.00118557
CA, Plumas County	1	0	0	0	0	0	0	7	15693	0.000117838
CA, Riverside County	0	1	0	0	0	0	0	453	820300	0.00615959
CA, Sacramento County	0	1	0	0	0	0	0	317	562003	0.00422005
CA, San Benito County	0	0	0	1	0	0	0	11	18139	0.000136205
CA, San Bernardino County	0	1	0	0	0	0	0	369	708442	0.00531965
CA, San Diego County	0	1	0	0	0	0	0	628	1.18764e+06	0.00891795
CA, San Francisco County	0	0	0	1	0	0	0	197	386755	0.00290412
CA, San Joaquin County	0	1	0	0	0	0	0	139	237752	0.00178526
CA, San Luis Obispo County	0	0	0	1	0	0	0	54	119399	0.00089656
CA, San Mateo County	0	0	0	1	0	0	0	158	273798	0.00205594
CA, Santa Barbara County	0	0	0	1	0	0	0	90	154574	0.00116069
CA, Santa Clara County	0	0	0	1	0	0	0	372	651905	0.00489512
CA, Santa Cruz County	0	0	0	1	0	0	0	53	105255	0.000790355
CA, Shasta County	0	1	0	0	0	0	0	48	77942	0.000585262
CA, Sierra County	1	0	0	0	0	0	0	1	2349	1.76385e-05
CA, Siskiyou County	1	0	0	0	0	0	0	14	24034	0.00018047
CA, Solano County	0	1	0	0	0	0	0	96	155091	0.00116457
CA, Sonoma County	0	0	0	1	0	0	0	100	207058	0.00155479
CA, Stanislaus County	0	1	0	0	0	0	0	94	180386	0.00135451
CA, Sutter County	0	1	0	0	0	0	0	21	34102	0.00025607
CA, Tehama County	0	1	0	0	0	0	0	11	27225	0.000204431
CA, Trinity County	0	0	0	0	1	0	0	5	8788	6.59886e-05
CA, Tulare County	0	1	0	0	0	0	0	78	145661	0.00109376
CA, Tuolumne County	0	0	0	0	1	0	0	11	31358	0.000235466
CA, Ventura County	0	0	0	1	0	0	0	174	284759	0.00213824
CA, Yolo County	0	1	0	0	0	0	0	41	76478	0.000574269
CA, Yuba County	0	1	0	0	0	0	0	14	28039	0.000210544
CO, Adams County	1	0	0	0	0	0	0	97	166058	0.00124692
CO, Alamosa County	1	0	0	0	0	0	0	4	6728	5.05202e-05
CO, Arapahoe County	1	0	0	0	0	0	0	147	242869	0.00182369
CO, Archuleta County	1	0	0	0	0	0	0	4	8965	6.73177e-05
CO, Baca County	0	0	0	0	1	0	0	2	2233	1.67675e-05
CO, Bent County	1	0	0	0	0	0	0	1	2193	1.64671e-05
CO, Boulder County	1	0	0	0	0	0	0	68	131042	0.000983986
CO, Broomfield County	1	0	0	0	0	0	0	18	25543	0.000191801
CO, Chaffee County	1	0	0	0	0	0	0	5	10348	7.77026e-05
CO, Cheyenne County	1	0	0	0	0	0	0	1	924	6.93828e-06
CO, Clear Creek County	0	0	0	0	0	0	1	3	5680	4.26509e-05
CO, Conejos County	1	0	0	0	0	0	0	2	4291	3.22209e-05
CO, Costilla County	1	0	0	0	0	0	0	2	2687	2.01765e-05
CO, Crowley County	1	0	0	0	0	0	0	1	1559	1.17065e-05
CO, Custer County	1	0	0	0	0	0	0	1	4245	3.18755e-05
CO, Delta County	1	0	0	0	0	0	0	7	14500	0.00010888
CO, Denver County	1	0	0	0	0	0	0	144	299338	0.00224771
CO, Dolores County	1	0	0	0	0	0	0	1	1379	1.03548e-05
CO, Douglas County	1	0	0	0	0	0	0	61	118178	0.000887392
CO, Eagle County	1	0	0	0	0	0	0	14	31555	0.000236944
CO, El Paso County	1	0	0	0	0	0	0	130	265480	0.00199348
CO, Elbert County	1	0	0	0	0	0	0	7	9135	6.85944e-05
CO, Fremont County	1	0	0	0	0	0	0	14	19280	0.000144772
CO, Garfield County	1	0	0	0	0	0	0	11	23386	0.000175604
CO, Gilpin County	1	0	0	0	0	0	0	1	3457	2.59584e-05
CO, Grand County	0	0	0	0	0	0	1	3	16269	0.000122164
CO, Gunnison County	0	0	0	0	0	0	1	4	11580	8.69538e-05
CO, Hinsdale County	0	0	0	0	0	0	1	1	1468	1.10232e-05
CO, Huerfano County	1	0	0	0	0	0	0	2	5125	3.84835e-05
CO, Jackson County	0	0	0	0	0	0	1	1	1288	9.67155e-06
CO, Jefferson County	1	0	0	0	0	0	0	138	233838	0.00175588
CO, Kiowa County	1	0	0	0	0	0	0	1	816	6.12731e-06
CO, Kit Carson County	1	0	0	0	0	0	0	3	3502	2.62963e-05
CO, La Plata County	1	0	0	0	0	0	0	10	26582	0.000199603
CO, Lake County	0	0	0	0	0	0	1	2	4548	3.41507e-05
CO, Larimer County	1	0	0	0	0	0	0	73	138763	0.00104196
CO, Las Animas County	0	0	0	0	1	0	0	6	8303	6.23468e-05
CO, Lincoln County	1	0	0	0	0	0	0	2	1973	1.48152e-05
CO, Logan County	1	0	0	0	0	0	0	6	8965	6.73177e-05
CO, Mesa County	1	0	0	0	0	0	0	29	64219	0.000482219
CO, Mineral County	0	0	0	0	0	0	1	1	1291	9.69407e-06
CO, Moffat County	1	0	0	0	0	0	0	4	6162	4.62702e-05
CO, Montezuma County	1	0	0	0	0	0	0	7	12003	9.01299e-05
CO, Montrose County	1	0	0	0	0	0	0	10	18351	0.000137797
CO, Morgan County	1	0	0	0	0	0	0	8	11474	8.61576e-05
CO, Otero County	0	0	0	0	1	0	0	7	8895	6.67921e-05
CO, Ouray County	1	0	0	0	0	0	0	1	3179	2.3871e-05
CO, Park County	0	0	0	0	0	0	1	5	14165	0.000106364
CO, Phillips County	1	0	0	0	0	0	0	2	1949	1.46349e-05
CO, Pitkin County	0	0	0	0	0	0	1	4	13069	9.81346e-05
CO, Prowers County	1	0	0	0	0	0	0	5	5883	4.41752e-05
CO, Pueblo County	1	0	0	0	0	0	0	55	70086	0.000526271
CO, Rio Blanco County	1	0	0	0	0	0	0	2	3345	2.51175e-05
CO, Rio Grande County	0	0	0	0	0	0	1	3	6618	4.96943e-05
CO, Routt County	0	0	0	0	0	0	1	8	16405	0.000123184
CO, Saguache County	1	0	0	0	0	0	0	2	3925	2.94726e-05
CO, San Juan County	0	0	0	0	0	0	1	1	741	5.56414e-06
CO, San Miguel County	1	0	0	0	0	0	0	4	6706	5.0355e-05
CO, Sedgwick County	1	0	0	0	0	0	0	1	1307	9.81419e-06
CO, Summit County	0	0	0	0	0	0	1	5	30389	0.00022819
CO, Teller County	1	0	0	0	0	0	0	6	12814	9.62199e-05
CO, Washington County	1	0	0	0	0	0	0	2	2435	1.82843e-05
CO, Weld County	1	0	0	0	0	0	0	77	100935	0.000757917
CO, Yuma County	1	0	0	0	0	0	0	2	4444	3.33698e-05
CT, Fairfield County	1	0	0	0	0	0	0	211	364737	0.00273879
CT, Hartford County	1	0	0	0	0	0	0	224	374672	0.0028134
CT, Litchfield County	1	0	0	0	0	0	0	51	87450	0.000656658
CT, Middlesex County	1	0	0	0	0	0	0	37	75277	0.000565253
CT, New Haven County	1	0	0	0	0	0	0	190	362497	0.00272198
CT, New London County	1	0	0	0	0	0	0	66	121426	0.000911783
CT, Tolland County	1	0	0	0	0	0	0	29	58574	0.00043983
CT, Windham County	1	0	0	0	0	0	0	25	49165	0.000369177
DC, District of Columbia	0	0	0	0	0	1	0	179	306711	0.00230308
DE, Kent County	0	0	0	0	0	1	0	33	68106	0.000511403
DE, New Castle County	0	0	0	0	0	1	0	131	220459	0.00165542
DE, Sussex County	0	0	0	0	0	1	0	54	129362	0.000971373
FL, Alachua County	0	0	1	0	0	0	0	56	114195	0.00085748
FL, Baker County	0	0	1	0	0	0	0	4	9615	7.21982e-05
FL, Bay County	0	0	1	0	0	0	0	44	100405	0.000753933
FL, Bradford County	0	0	1	0	0	0	0	4	10901	8.18546e-05
FL, Brevard County	0	0	1	0	0	0	0	114	272437	0.00204571
FL, Broward County	0	0	1	0	0	0	0	362	816886	0.00613395
FL, Calhoun County	0	0	1	0	0	0	0	3	5927	4.45053e-05
FL, Charlotte County	0	0	1	0	0	0	0	39	101532	0.000762396
FL, Citrus County	0	0	1	0	0	0	0	28	77760	0.000583893
FL, Clay County	0	0	1	0	0	0	0	30	77490	0.000581866
FL, Collier County	0	0	1	0	0	0	0	74	203899	0.00153106
FL, Columbia County	0	0	1	0	0	0	0	12	28338	0.000212788
FL, DeSoto County	0	0	1	0	0	0	0	9	14724	0.000110561
FL, Dixie County	0	0	1	0	0	0	0	4	9168	6.88418e-05
FL, Duval County	0	0	1	0	0	0	0	174	396150	0.00297466
FL, Escambia County	0	0	1	0	0	0	0	72	138693	0.00104143
FL, Flagler County	0	0	1	0	0	0	0	21	49657	0.00037287
FL, Franklin County	0	0	1	0	0	0	0	6	8580	6.44265e-05
FL, Gadsden County	0	0	1	0	0	0	0	9	19411	0.000145756
FL, Gilchrist County	0	0	1	0	0	0	0	5	7241	5.4372e-05
FL, Glades County	0	0	1	0	0	0	0	4	6840	5.1361e-05
FL, Gulf County	0	0	1	0	0	0	0	4	9211	6.91646e-05
FL, Hamilton County	0	0	1	0	0	0	0	3	5701	4.28084e-05
FL, Hardee County	0	0	1	0	0	0	0	6	9623	7.22583e-05
FL, Hendry County	0	0	1	0	0	0	0	7	14389	0.000108046
FL, Hernando County	0	0	1	0	0	0	0	45	84768	0.000636516
FL, Highlands County	0	0	1	0	0	0	0	27	54967	0.000412742
FL, Hillsborough County	0	0	1	0	0	0	0	321	554762	0.00416566
FL, Holmes County	0	0	1	0	0	0	0	4	8571	6.4359e-05
FL, Indian River County	0	0	1	0	0	0	0	31	77498	0.000581926
FL, Jackson County	0	0	1	0	0	0	0	11	20820	0.000156336
FL, Jefferson County	0	0	1	0	0	0	0	4	6599	4.95514e-05
FL, Lafayette County	0	0	1	0	0	0	0	2	3175	2.38408e-05
FL, Lake County	0	0	1	0	0	0	0	56	147372	0.0011066
FL, Lee County	0	0	1	0	0	0	0	167	377081	0.00283147
FL, Leon County	0	0	1	0	0	0	0	68	126658	0.000951064
FL, Levy County	0	0	1	0	0	0	0	10	19861	0.000149135
FL, Liberty County	0	0	1	0	0	0	0	2	3455	2.59433e-05
FL, Madison County	0	0	1	0	0	0	0	5	8436	6.33452e-05
FL, Manatee County	0	0	1	0	0	0	0	79	179365	0.00134683
FL, Marion County	0	0	1	0	0	0	0	63	163786	0.00122985
FL, Martin County	0	0	1	0	0	0	0	36	78957	0.000592882
FL, Miami-Dade County	0	0	1	0	0	0	0	519	1.00484e+06	0.00754524
FL, Monroe County	0	0	1	0	0	0	0	31	52977	0.000397802
FL, Nassau County	0	0	1	0	0	0	0	13	36152	0.000271463
FL, Okaloosa County	0	0	1	0	0	0	0	43	94851	0.000712228
FL, Okeechobee County	0	0	1	0	0	0	0	12	18234	0.000136917
FL, Orange County	0	0	1	0	0	0	0	207	508562	0.00381875
FL, Osceola County	0	0	1	0	0	0	0	41	135085	0.00101434
FL, Palm Beach County	0	0	1	0	0	0	0	338	674975	0.00506834
FL, Pasco County	0	0	1	0	0	0	0	134	232977	0.00174941
FL, Pinellas County	0	0	1	0	0	0	0	246	504477	0.00378808
FL, Polk County	0	0	1	0	0	0	0	154	283333	0.00212753
FL, Putnam County	0	0	1	0	0	0	0	17	36681	0.000275434
FL, Santa Rosa County	0	0	1	0	0	0	0	26	67603	0.000507625
FL, Sarasota County	0	0	1	0	0	0	0	95	231587	0.00173897
FL, Seminole County	0	0	1	0	0	0	0	86	185436	0.00139242
FL, St. Johns County	0	0	1	0	0	0	0	41	97065	0.000728852
FL, St. Lucie County	0	0	1	0	0	0	0	45	137649	0.00103359
FL, Sumter County	0	0	1	0	0	0	0	19	63694	0.000478273
FL, Suwannee County	0	0	1	0	0	0	0	7	18859	0.000141611
FL, Taylor County	0	0	1	0	0	0	0	5	10885	8.17346e-05
FL, Union County	0	0	1	0	0	0	0	3	4462	3.35047e-05
FL, Volusia County	0	0	1	0	0	0	0	114	256164	0.00192351
FL, Wakulla County	0	0	1	0	0	0	0	5	12871	9.66473e-05
FL, Walton County	0	0	1	0	0	0	0	12	47821	0.000359084
FL, Washington County	0	0	1	0	0	0	0	7	10676	8.01652e-05
GA, Appling County	0	0	1	0	0	0	0	5	8408	6.3135e-05
GA, Atkinson County	0	0	1	0	0	0	0	3	3446	2.58758e-05
GA, Bacon County	0	0	1	0	0	0	0	3	4743	3.56148e-05
GA, Baker County	0	0	1	0	0	0	0	2	1757	1.31932e-05
GA, Baldwin County	0	0	0	0	0	1	0	9	20206	0.000151727
GA, Banks County	0	0	0	0	0	1	0	4	7548	5.66775e-05
GA, Barrow County	0	0	0	0	0	1	0	18	26902	0.000202007
GA, Bartow County	0	0	0	0	0	1	0	15	39935	0.000299871
GA, Ben Hill County	0	0	1	0	0	0	0	5	7896	5.92908e-05
GA, Berrien County	0	0	1	0	0	0	0	6	8641	6.48846e-05
GA, Bibb County	0	0	0	0	0	1	0	44	70178	0.000526964
GA, Bleckley County	0	0	1	0	0	0	0	3	5282	3.96623e-05
GA, Brantley County	0	0	1	0	0	0	0	3	7924	5.95007e-05
GA, Brooks County	0	0	1	0	0	0	0	5	7657	5.74958e-05
GA, Bryan County	0	0	1	0	0	0	0	7	12994	9.75709e-05
GA, Bulloch County	0	0	1	0	0	0	0	12	29892	0.000224457
GA, Burke County	0	0	0	0	0	1	0	6	9824	7.3768e-05
GA, Butts County	0	0	0	0	0	1	0	3	9288	6.97432e-05
GA, Calhoun County	0	0	1	0	0	0	0	2	2374	1.78262e-05
GA, Camden County	0	0	1	0	0	0	0	11	21415	0.000160803
GA, Candler County	0	0	1	0	0	0	0	3	4693	3.52395e-05
GA, Carroll County	0	0	0	0	0	1	0	17	44691	0.000335583
GA, Catoosa County	0	0	0	0	0	1	0	11	26826	0.000201435
GA, Charlton County	0	0	1	0	0	0	0	2	4425	3.3227e-05
GA, Chatham County	0	0	1	0	0	0	0	72	122702	0.000921359
GA, Chattahoochee County	0	0	1	0	0	0	0	5	3342	2.5095e-05
GA, Chattooga County	0	0	0	0	0	1	0	6	10891	8.17799e-05
GA, Cherokee County	0	0	0	0	0	1	0	26	85926	0.000645214
GA, Clarke County	0	0	0	0	0	1	0	30	51868	0.000389475
GA, Clay County	0	0	1	0	0	0	0	1	1903	1.42895e-05
GA, Clayton County	0	0	0	0	0	1	0	50	104699	0.000786181
GA, Clinch County	0	0	1	0	0	0	0	2	2966	2.22714e-05
GA, Cobb County	0	0	0	0	0	1	0	120	293084	0.00220075
GA, Coffee County	0	0	1	0	0	0	0	9	16909	0.000126969
GA, Colquitt County	0	0	1	0	0	0	0	10	18289	0.00013733
