Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=State	Dependency=Vintage ACS	Option=Central AC	Option=Ducted Heat Pump	Option=Evaporative or Swamp Cooler	Option=Non-Ducted Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	20	0	7.15578e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	31	1844.5	9.12764e-06
Multi-Family with 5+ Units	None	AK	2010s	0	0	0	0	1	0	13	915.055	0
Multi-Family with 5+ Units	Ducted Heat Pump	AK	<1940	0	0	0	0	1	0	52	0	0
Multi-Family with 5+ Units	Ducted Heating	AK	<1940	0	0	0	0	1	0	20	0	5.34381e-07
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	5	0	4.07301e-08
Multi-Family with 5+ Units	Non-Ducted Heating	AK	<1940	0	0	0	0	1	0	35	0	3.71694e-06
Multi-Family with 5+ Units	None	AK	<1940	0	0	0	0	1	0	10	0	0
Single-Family Attached	Ducted Heat Pump	AK	1940-59	0	0	0	0	1	0	13	0	0
Single-Family Attached	Ducted Heating	AK	1940-59	0	0	0	0	1	0	10	608.423	7.20144e-07
Single-Family Attached	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	13	0	4.35685e-08
Single-Family Attached	Non-Ducted Heating	AK	1940-59	0	0	0	0	1	0	87	0	3.36109e-06
Single-Family Attached	None	AK	1940-59	0	0	0	0	1	0	51	0	0
Single-Family Attached	Ducted Heat Pump	AK	1960-79	0	0	0	0	1	0	31	0	0
Single-Family Attached	Ducted Heating	AK	1960-79	0	0	0	0	1	0	17	4311.88	8.13795e-06
Single-Family Attached	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	10	0	5.45539e-08
Single-Family Attached	Non-Ducted Heating	AK	1960-79	0	0	0	0	1	0	45	3856.66	2.57599e-05
Single-Family Attached	None	AK	1960-79	0	0	0	0	1	0	86	0	0
Single-Family Attached	Ducted Heat Pump	AK	1980-99	0	0	0	0	1	0	34	0	0
Single-Family Attached	Ducted Heating	AK	1980-99	0	0	0	0	1	0	39	4484.97	2.24808e-05
Single-Family Attached	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	41	0	2.76615e-07
Single-Family Attached	Non-Ducted Heating	AK	1980-99	0	0	0	0	1	0	12	6954.38	5.51387e-05
Single-Family Attached	None	AK	1980-99	0	0	0	0	1	0	77	673.015	0
Single-Family Attached	Ducted Heat Pump	AK	2000-09	0	0	0	0	1	0	16	524.772	0
Single-Family Attached	Ducted Heating	AK	2000-09	0	0	0	0	1	0	24	3594.79	2.237e-05
Single-Family Attached	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	41	0	9.46169e-08
Single-Family Attached	Non-Ducted Heating	AK	2000-09	0	0	0	0	1	0	28	0	2.12954e-05
Single-Family Attached	None	AK	2000-09	0	0	0	0	1	0	28	0	0
Single-Family Attached	Ducted Heat Pump	AK	2010s	0	0	0	0	1	0	22	0	0
Single-Family Attached	Ducted Heating	AK	2010s	0	0	0	0	1	0	11	964.541	3.65215e-06
Single-Family Attached	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	41	0	3.08152e-07
Single-Family Attached	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	13	2615.59	4.13783e-06
Single-Family Attached	None	AK	2010s	0	0	0	0	1	0	16	0	0
Single-Family Attached	Ducted Heat Pump	AK	<1940	0	0	0	0	1	0	13	0	0
Single-Family Attached	Ducted Heating	AK	<1940	0	0	0	0	1	0	138	0	3.12854e-07
Single-Family Attached	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	13	0	7.80704e-09
Single-Family Attached	Non-Ducted Heating	AK	<1940	0	0	0	0	1	0	44	0	5.45635e-07
Single-Family Attached	None	AK	<1940	0	0	0	0	1	0	21	0	0
Single-Family Detached	Ducted Heat Pump	AK	1940-59	0	0	0	0	1	0	13	0	0
Single-Family Detached	Ducted Heating	AK	1940-59	0	0	0	0	1	0	10	5801.35	2.73661e-05
Single-Family Detached	Non-Ducted Heat Pump	AK	1940-59	0	0	0	1	0	0	13	0	1.06251e-06
Single-Family Detached	Non-Ducted Heating	AK	1940-59	0	0	0	0	1	0	87	2371.18	6.29133e-05
Single-Family Detached	None	AK	1940-59	0	0	0	0	1	0	51	0	0
Single-Family Detached	Ducted Heat Pump	AK	1960-79	0	0	0	0	1	0	31	0	0
Single-Family Detached	Ducted Heating	AK	1960-79	0	0	0	0	1	0	17	7651.49	6.55159e-05
Single-Family Detached	Non-Ducted Heat Pump	AK	1960-79	0	0	0	1	0	0	10	0	1.8459e-06
Single-Family Detached	Non-Ducted Heating	AK	1960-79	0	0	0	0	1	0	38	31948.3	0.00034336
Single-Family Detached	None	AK	1960-79	0	0	0	0	1	0	86	0	0
Single-Family Detached	Ducted Heat Pump	AK	1980-99	0	0	0	0	1	0	34	0	0
Single-Family Detached	Ducted Heating	AK	1980-99	0	0	0	0	1	0	31	25131.4	0.000187684
Single-Family Detached	Non-Ducted Heat Pump	AK	1980-99	0	0	0	1	0	0	41	0	4.8111e-06
Single-Family Detached	Non-Ducted Heating	AK	1980-99	0	0	0	0	1	0	39	33882.3	0.000400245
Single-Family Detached	None	AK	1980-99	0	0	0	0	1	0	77	0	0
Single-Family Detached	Ducted Heat Pump	AK	2000-09	0	0	0	0	1	0	16	0	0
Single-Family Detached	Ducted Heating	AK	2000-09	0	0	0	0	1	0	17	12327.7	8.47003e-05
Single-Family Detached	Non-Ducted Heat Pump	AK	2000-09	0	0	0	1	0	0	41	0	2.93039e-06
Single-Family Detached	Non-Ducted Heating	AK	2000-09	0	0	0	0	1	0	28	21835	0.000188958
Single-Family Detached	None	AK	2000-09	0	0	0	0	1	0	28	0	0
Single-Family Detached	Ducted Heat Pump	AK	2010s	0	0	0	0	1	0	22	0	0
Single-Family Detached	Ducted Heating	AK	2010s	0	0	0	0	1	0	11	6051.72	1.89495e-05
Single-Family Detached	Non-Ducted Heat Pump	AK	2010s	0	0	0	1	0	0	41	0	2.03678e-06
Single-Family Detached	Non-Ducted Heating	AK	2010s	0	0	0	0	1	0	13	6160.34	4.1308e-05
Single-Family Detached	None	AK	2010s	0	0	0	0	1	0	16	0	0
Single-Family Detached	Ducted Heat Pump	AK	<1940	0	0	0	0	1	0	13	0	0
Single-Family Detached	Ducted Heating	AK	<1940	0	0	0	0	1	0	138	2150.84	5.05848e-06
Single-Family Detached	Non-Ducted Heat Pump	AK	<1940	0	0	0	1	0	0	13	0	3.80457e-07
Single-Family Detached	Non-Ducted Heating	AK	<1940	0	0	0	0	1	0	44	3817.07	2.18964e-05
Single-Family Detached	None	AK	<1940	0	0	0	0	1	0	21	0	0
Mobile Home	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	45	0	6.17083e-06
Mobile Home	Ducted Heating	AL	1940-59	0.910515	0	0	0	0.0219519	0.0675333	138	10896.1	5.96517e-06
Mobile Home	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	35	0	0
Mobile Home	Non-Ducted Heating	AL	1940-59	0.169591	0	0	0	0.134491	0.695919	38	11359.4	3.45246e-06
Mobile Home	None	AL	1940-59	0.589407	0	0	0	0.197562	0.213031	15	0	0
Mobile Home	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	86	24116.3	0.000115711
Mobile Home	Ducted Heating	AL	1960-79	0.501422	0	0	0	0	0.498578	14	33120.1	0.000167002
Mobile Home	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	10	0	0
Mobile Home	Non-Ducted Heating	AL	1960-79	0.420811	0	0	0	0.0687195	0.51047	32	0	4.94705e-05
Mobile Home	None	AL	1960-79	0.819646	0	0	0	0.0364022	0.143952	42	0	2.12241e-06
Mobile Home	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	22	39913.9	0.000464379
Mobile Home	Ducted Heating	AL	1980-99	0.620424	0	0	0	0	0.379576	20	32059.3	0.00049663
Mobile Home	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	13	8088.1	2.38119e-05
Mobile Home	Non-Ducted Heating	AL	1980-99	0.213745	0	0	0	0.137311	0.648945	17	18649.8	0.000375216
Mobile Home	None	AL	1980-99	0.870841	0	0	0	0.0441169	0.0850423	53	7985.57	1.01943e-05
Mobile Home	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	14	42371.1	0.000176523
Mobile Home	Ducted Heating	AL	2000-09	0.86756	0	0	0	0.0736213	0.0588186	13	11152	0.000165172
Mobile Home	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	35	0	8.21968e-06
Mobile Home	Non-Ducted Heating	AL	2000-09	0.637896	0	0	0	0	0.362104	16	0	2.722e-05
Mobile Home	None	AL	2000-09	0.882841	0	0	0	0.0913497	0.0258091	57	0	2.93822e-06
Mobile Home	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	31	0	6.1425e-05
Mobile Home	Ducted Heating	AL	2010s	0.935977	0	0	0	0.0287359	0.035287	58	6991.79	5.14299e-05
Mobile Home	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	35	0	0
Mobile Home	Non-Ducted Heating	AL	2010s	0.698828	0	0	0	0.225501	0.0756708	11	8767.81	1.34856e-05
Mobile Home	None	AL	2010s	0.882841	0	0	0	0.0913497	0.0258091	57	0	4.97641e-07
Mobile Home	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	24	0	1.35826e-06
Mobile Home	Ducted Heating	AL	<1940	0.855291	0	0	0	0.0397964	0.104913	85	0	1.48359e-06
Mobile Home	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	35	0	0
Mobile Home	Non-Ducted Heating	AL	<1940	0.228907	0	0	0	0.120487	0.650606	31	0	1.45206e-06
Mobile Home	None	AL	<1940	0.589407	0	0	0	0.197562	0.213031	15	0	1.90333e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	31	0	2.10834e-05
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1940-59	0.813157	0	0	0	0.076557	0.110286	50	1970.24	4.78834e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	14	0	5.28392e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1940-59	0.283731	0	0	0	0.0653318	0.650937	49	0	3.83775e-05
Multi-Family with 2 - 4 Units	None	AL	1940-59	0.849495	0	0	0	0.085747	0.0647577	102	0	5.38901e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	17	16800.7	0.00012067
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1960-79	0.822275	0	0	0	0.129494	0.0482309	21	20842.7	0.000117111
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	14	0	1.41649e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1960-79	0.674287	0	0	0	0.139657	0.186056	55	0	3.88206e-05
Multi-Family with 2 - 4 Units	None	AL	1960-79	0.693856	0	0	0	0.182979	0.123164	26	0	1.26299e-06
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	20	19180.5	0.000105262
Multi-Family with 2 - 4 Units	Ducted Heating	AL	1980-99	1	0	0	0	0	0	10	10980.3	8.48202e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	14	0	3.38106e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	1980-99	0.237359	0	0	0	0.250067	0.512574	10	20481.9	6.36647e-05
Multi-Family with 2 - 4 Units	None	AL	1980-99	0.949851	0	0	0	0.0318391	0.0183102	34	0	8.04202e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	15	27940.5	5.19106e-05
Multi-Family with 2 - 4 Units	Ducted Heating	AL	2000-09	0.744377	0	0	0	0.255623	0	10	10264.7	2.40233e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	14	0	0
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	2000-09	0.775165	0	0	0	0.07886	0.145975	49	7919.96	9.5544e-07
Multi-Family with 2 - 4 Units	None	AL	2000-09	0.890226	0	0	0	0.0695433	0.0402311	36	0	5.19729e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	23	0	1.22475e-05
Multi-Family with 2 - 4 Units	Ducted Heating	AL	2010s	1	0	0	0	0	0	14	11086.2	2.67946e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	14	0	4.50718e-06
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	2010s	0.775165	0	0	0	0.07886	0.145975	49	0	7.37431e-06
Multi-Family with 2 - 4 Units	None	AL	2010s	0.890226	0	0	0	0.0695433	0.0402311	36	0	1.14066e-07
Multi-Family with 2 - 4 Units	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	31	0	1.00139e-05
Multi-Family with 2 - 4 Units	Ducted Heating	AL	<1940	0.813157	0	0	0	0.076557	0.110286	50	5091.56	1.58018e-05
Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	14	0	6.06095e-07
Multi-Family with 2 - 4 Units	Non-Ducted Heating	AL	<1940	0.283731	0	0	0	0.0653318	0.650937	49	0	1.61274e-05
Multi-Family with 2 - 4 Units	None	AL	<1940	0.849495	0	0	0	0.085747	0.0647577	102	0	6.09144e-07
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	31	0	1.79841e-05
Multi-Family with 5+ Units	Ducted Heating	AL	1940-59	0.813157	0	0	0	0.076557	0.110286	50	2680.26	3.83066e-05
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	14	0	3.66881e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1940-59	0.283731	0	0	0	0.0653318	0.650937	49	0	3.1676e-05
Multi-Family with 5+ Units	None	AL	1940-59	0.849495	0	0	0	0.085747	0.0647577	102	0	1.80776e-06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	17	0	0.000182328
Multi-Family with 5+ Units	Ducted Heating	AL	1960-79	0.857604	0	0	0	0.142396	0	13	20476.2	0.000244615
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	14	0	2.31056e-06
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1960-79	0.674287	0	0	0	0.139657	0.186056	55	0	3.9494e-05
Multi-Family with 5+ Units	None	AL	1960-79	0.693856	0	0	0	0.182979	0.123164	26	0	4.22185e-06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	14	38133.1	0.000336105
Multi-Family with 5+ Units	Ducted Heating	AL	1980-99	0.919681	0	0	0	0	0.0803186	19	0	0.00021233
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	14	0	1.68801e-05
Multi-Family with 5+ Units	Non-Ducted Heating	AL	1980-99	0.237359	0	0	0	0.250067	0.512574	10	24723.7	0.000179319
Multi-Family with 5+ Units	None	AL	1980-99	0.949851	0	0	0	0.0318391	0.0183102	34	12616.2	5.10998e-06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	2000-09	0	1	0	0	0	0	15	8922.2	0.000175494
Multi-Family with 5+ Units	Ducted Heating	AL	2000-09	0.744377	0	0	0	0.255623	0	10	0	0.000154661
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	2000-09	0	0	0	1	0	0	14	0	0
Multi-Family with 5+ Units	Non-Ducted Heating	AL	2000-09	0.775165	0	0	0	0.07886	0.145975	49	0	2.14028e-05
Multi-Family with 5+ Units	None	AL	2000-09	0.890226	0	0	0	0.0695433	0.0402311	36	0	6.59275e-06
Multi-Family with 5+ Units	Ducted Heat Pump	AL	2010s	0	1	0	0	0	0	23	0	4.16812e-05
Multi-Family with 5+ Units	Ducted Heating	AL	2010s	1	0	0	0	0	0	12	35885.7	0.000115295
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	2010s	0	0	0	1	0	0	14	0	2.67018e-05
Multi-Family with 5+ Units	Non-Ducted Heating	AL	2010s	0.775165	0	0	0	0.07886	0.145975	49	0	3.00493e-05
Multi-Family with 5+ Units	None	AL	2010s	0.890226	0	0	0	0.0695433	0.0402311	36	0	1.43588e-07
Multi-Family with 5+ Units	Ducted Heat Pump	AL	<1940	0	1	0	0	0	0	31	0	1.2478e-05
Multi-Family with 5+ Units	Ducted Heating	AL	<1940	0.813157	0	0	0	0.076557	0.110286	50	6926.4	1.6636e-05
Multi-Family with 5+ Units	Non-Ducted Heat Pump	AL	<1940	0	0	0	1	0	0	14	0	7.5524e-07
Multi-Family with 5+ Units	Non-Ducted Heating	AL	<1940	0.283731	0	0	0	0.0653318	0.650937	49	0	1.65907e-05
Multi-Family with 5+ Units	None	AL	<1940	0.849495	0	0	0	0.085747	0.0647577	102	0	6.48721e-07
Single-Family Attached	Ducted Heat Pump	AL	1940-59	0	1	0	0	0	0	44	0	5.49832e-06
Single-Family Attached	Ducted Heating	AL	1940-59	0.932074	0	0	0	0.0225549	0.0453708	136	0	1.13387e-05
Single-Family Attached	Non-Ducted Heat Pump	AL	1940-59	0	0	0	1	0	0	35	0	0
Single-Family Attached	Non-Ducted Heating	AL	1940-59	0.182082	0	0	0	0.156715	0.661204	35	0	2.09778e-06
Single-Family Attached	None	AL	1940-59	0.589407	0	0	0	0.197562	0.213031	15	0	7.74978e-08
Single-Family Attached	Ducted Heat Pump	AL	1960-79	0	1	0	0	0	0	77	0	2.09967e-05
Single-Family Attached	Ducted Heating	AL	1960-79	0.815788	0	0	0	0.132843	0.0513691	13	4043.15	2.70383e-05
Single-Family Attached	Non-Ducted Heat Pump	AL	1960-79	0	0	0	1	0	0	10	0	3.42053e-07
Single-Family Attached	Non-Ducted Heating	AL	1960-79	0.435367	0	0	0	0.0750263	0.489607	29	0	6.43426e-06
Single-Family Attached	None	AL	1960-79	0.819646	0	0	0	0.0364022	0.143952	42	0	2.55185e-07
Single-Family Attached	Ducted Heat Pump	AL	1980-99	0	1	0	0	0	0	77	3895.3	2.97921e-05
Single-Family Attached	Ducted Heating	AL	1980-99	0.889614	0	0	0	0.110386	0	24	16132.1	5.66013e-05
Single-Family Attached	Non-Ducted Heat Pump	AL	1980-99	0	0	0	1	0	0	13	0	4.83164e-07
Single-Family Attached	Non-Ducted Heating	AL	1980-99	0.564527	0	0	0	0.0188254	0.416647	26	6659.83	1.25548e-05
Single-Family Attached	None	AL	1980-99	0.870841	0	0	0	0.0441169	0.0850423	53	0	5.50848e-08
