Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage ACS	Option=No	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
Level 1 charger	100-150%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.112468	46.8152	0
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1940-59	0.475243	0.524757	0	0.000458903	0.0825277	7.98682e-07
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1960-79	0.475243	0.524757	0	0.000458903	0.783292	2.83459e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	1980-99	0.475243	0.524757	0	0.000458903	1.9882e-21	1.90206e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	2000-09	0.475243	0.524757	0	0.000458903	1.4311	4.60884e-07
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	2010s	0.475243	0.524757	0	0.000458903	0.359558	2.14924e-07
Level 1 charger	100-150%	Multi-Family with 5+ Units	Owner	<1940	0.475243	0.524757	0	0.000458903	0.21327	5.96762e-07
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1940-59	0.75117	0.24883	0	0.0985367	15.7528	3.17707e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1960-79	0.75117	0.24883	0	0.0985367	149.514	8.67926e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	1980-99	0.75117	0.24883	0	0.0985367	3.79507e-19	6.98515e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	2000-09	0.75117	0.24883	0	0.0985367	273.168	2.73009e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	2010s	0.75117	0.24883	0	0.0985367	68.6321	1.32191e-06
Level 1 charger	100-150%	Multi-Family with 5+ Units	Renter	<1940	0.75117	0.24883	0	0.0985367	40.7089	3.53368e-06
Level 1 charger	100-150%	Single-Family Attached	Not Available	1940-59	0	0	1	0.100879	1.21795	0
Level 1 charger	100-150%	Single-Family Attached	Not Available	1960-79	0	0	1	0.100879	102.223	0
Level 1 charger	100-150%	Single-Family Attached	Not Available	1980-99	0	0	1	0.100879	40.3248	0
Level 1 charger	100-150%	Single-Family Attached	Not Available	2000-09	0	0	1	0.100879	66.2544	0
Level 1 charger	100-150%	Single-Family Attached	Not Available	2010s	0	0	1	0.100879	58.3401	0
Level 1 charger	100-150%	Single-Family Attached	Not Available	<1940	0	0	1	0.100879	3.14745	0
Level 1 charger	100-150%	Single-Family Attached	Owner	1940-59	0.0155585	0.984442	0	0.0221278	0.261741	0
Level 1 charger	100-150%	Single-Family Attached	Owner	1960-79	0.0155585	0.984442	0	0.0221278	21.9682	0
Level 1 charger	100-150%	Single-Family Attached	Owner	1980-99	0.0155585	0.984442	0	0.0221278	8.66594	0
Level 1 charger	100-150%	Single-Family Attached	Owner	2000-09	0.0155585	0.984442	0	0.0221278	14.2383	0
Level 1 charger	100-150%	Single-Family Attached	Owner	2010s	0.0155585	0.984442	0	0.0221278	12.5375	0
Level 1 charger	100-150%	Single-Family Attached	Owner	<1940	0.0155585	0.984442	0	0.0221278	0.676399	0
Level 1 charger	100-150%	Single-Family Attached	Renter	1940-59	0.0253816	0.974618	0	0.0285086	0.350464	9.26951e-07
Level 1 charger	100-150%	Single-Family Attached	Renter	1960-79	0.0253816	0.974618	0	0.0285086	29.4147	1.24199e-06
Level 1 charger	100-150%	Single-Family Attached	Renter	1980-99	0.0253816	0.974618	0	0.0285086	11.6034	1.32893e-06
Level 1 charger	100-150%	Single-Family Attached	Renter	2000-09	0.0253816	0.974618	0	0.0285086	19.0647	5.39741e-07
Level 1 charger	100-150%	Single-Family Attached	Renter	2010s	0.0253816	0.974618	0	0.0285086	16.7873	1.77898e-07
Level 1 charger	100-150%	Single-Family Attached	Renter	<1940	0.0253816	0.974618	0	0.0285086	0.905678	8.88373e-07
Level 1 charger	100-150%	Single-Family Detached	Not Available	1940-59	0	0	1	0.0878925	254.681	0
Level 1 charger	100-150%	Single-Family Detached	Not Available	1960-79	0	0	1	0.0537121	268.963	0
Level 1 charger	100-150%	Single-Family Detached	Not Available	1980-99	0	0	1	0.0683608	387.478	0
Level 1 charger	100-150%	Single-Family Detached	Not Available	2000-09	0	0	1	0.0439462	166.063	0
Level 1 charger	100-150%	Single-Family Detached	Not Available	2010s	0	0	1	0.026856	104.96	0
Level 1 charger	100-150%	Single-Family Detached	Not Available	<1940	0	0	1	0.0610365	238.208	0
Level 1 charger	100-150%	Single-Family Detached	Owner	1940-59	0.0769743	0.923026	0	0.0563528	159.299	5.96835e-06
Level 1 charger	100-150%	Single-Family Detached	Owner	1960-79	0.276958	0.723042	0	0.0344378	168.232	6.33887e-06
Level 1 charger	100-150%	Single-Family Detached	Owner	1980-99	0.0702443	0.929756	0	0.04383	242.361	4.51724e-06
Level 1 charger	100-150%	Single-Family Detached	Owner	2000-09	0	1	0	0.0281764	103.87	2.10621e-06
Level 1 charger	100-150%	Single-Family Detached	Owner	2010s	0.381303	0.618697	0	0.0172189	65.6507	4.7008e-07
Level 1 charger	100-150%	Single-Family Detached	Owner	<1940	0.201609	0.798391	0	0.0391339	148.995	2.97917e-06
Level 1 charger	100-150%	Single-Family Detached	Renter	1940-59	0.145255	0.854745	0	0.00347958	11.1381	2.29935e-05
Level 1 charger	100-150%	Single-Family Detached	Renter	1960-79	0.438383	0.561617	0	0.00212641	11.7627	2.2003e-05
Level 1 charger	100-150%	Single-Family Detached	Renter	1980-99	0.133418	0.866582	0	0.00270634	16.9457	1.72116e-05
Level 1 charger	100-150%	Single-Family Detached	Renter	2000-09	0	1	0	0.00173979	7.2625	9.08854e-06
Level 1 charger	100-150%	Single-Family Detached	Renter	2010s	0.556718	0.443282	0	0.0010632	4.59026	2.34697e-06
Level 1 charger	100-150%	Single-Family Detached	Renter	<1940	0.339753	0.660247	0	0.00241637	10.4177	1.24405e-05
Level 1 charger	150-200%	Mobile Home	Not Available	1940-59	0	0	1	1.7768	8.14737e-19	0
Level 1 charger	150-200%	Mobile Home	Not Available	1960-79	0	0	1	1.7768	142.761	0
Level 1 charger	150-200%	Mobile Home	Not Available	1980-99	0	0	1	1.7768	113.696	0
Level 1 charger	150-200%	Mobile Home	Not Available	2000-09	0	0	1	1.7768	9.30861	0
Level 1 charger	150-200%	Mobile Home	Not Available	2010s	0	0	1	1.7768	8.14737e-19	0
Level 1 charger	150-200%	Mobile Home	Not Available	<1940	0	0	1	1.7768	8.14737e-19	0
Level 1 charger	150-200%	Mobile Home	Owner	1940-59	0.0561506	0.943849	0	1.11252	5.28759e-19	4.69131e-10
Level 1 charger	150-200%	Mobile Home	Owner	1960-79	0.0561506	0.943849	0	1.11252	92.6509	5.99344e-09
Level 1 charger	150-200%	Mobile Home	Owner	1980-99	0.0561506	0.943849	0	1.11252	73.7883	6.8728e-09
Level 1 charger	150-200%	Mobile Home	Owner	2000-09	0.0561506	0.943849	0	1.11252	6.04123	2.00913e-09
Level 1 charger	150-200%	Mobile Home	Owner	2010s	0.0561506	0.943849	0	1.11252	5.28759e-19	5.77716e-10
Level 1 charger	150-200%	Mobile Home	Owner	<1940	0.0561506	0.943849	0	1.11252	5.28759e-19	9.82313e-11
Level 1 charger	150-200%	Mobile Home	Renter	1940-59	0.253525	0.746475	0	0.076947	3.07895e-20	1.84678e-07
Level 1 charger	150-200%	Mobile Home	Renter	1960-79	0.253525	0.746475	0	0.076947	5.39504	1.90321e-06
Level 1 charger	150-200%	Mobile Home	Renter	1980-99	0.253525	0.746475	0	0.076947	4.29668	2.57137e-06
Level 1 charger	150-200%	Mobile Home	Renter	2000-09	0.253525	0.746475	0	0.076947	0.351779	8.27054e-07
Level 1 charger	150-200%	Mobile Home	Renter	2010s	0.253525	0.746475	0	0.076947	3.07895e-20	2.29168e-07
Level 1 charger	150-200%	Mobile Home	Renter	<1940	0.253525	0.746475	0	0.076947	3.07895e-20	4.64365e-08
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1940-59	0	0	1	0.166934	52.6831	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1960-79	0	0	1	0.166934	50.5242	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	1980-99	0	0	1	0.166934	5.73846e-19	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	2000-09	0	0	1	0.166934	5.73846e-19	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	1	0.166934	49.2795	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	1	0.166934	41.7822	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1940-59	0.620663	0.379337	0	0.0012771	0.352196	6.61875e-07
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1960-79	0.620663	0.379337	0	0.0012771	0.337763	1.04954e-06
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	1980-99	0.620663	0.379337	0	0.0012771	3.83626e-21	7.72588e-07
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	2000-09	0.620663	0.379337	0	0.0012771	3.83626e-21	2.00702e-07
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	2010s	0.620663	0.379337	0	0.0012771	0.329442	5.53998e-08
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Owner	<1940	0.620663	0.379337	0	0.0012771	0.279321	1.23066e-06
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	1940-59	0.726604	0.273396	0	0.138943	44.4203	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	1960-79	0.726604	0.273396	0	0.138943	42.6	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	1980-99	0.726604	0.273396	0	0.138943	4.83844e-19	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	2000-09	0.726604	0.273396	0	0.138943	4.83844e-19	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	2010s	0.726604	0.273396	0	0.138943	41.5504	0
Level 1 charger	150-200%	Multi-Family with 2 - 4 Units	Renter	<1940	0.726604	0.273396	0	0.138943	35.229	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	1940-59	0	0	1	0.098077	17.6238	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	1960-79	0	0	1	0.098077	167.272	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	1980-99	0	0	1	0.098077	4.24581e-19	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	2000-09	0	0	1	0.098077	305.613	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	2010s	0	0	1	0.098077	76.7837	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Not Available	<1940	0	0	1	0.098077	45.544	0
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	1940-59	0.518022	0.481978	0	0.000602749	0.121313	7.57761e-07
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	1960-79	0.518022	0.481978	0	0.000602749	1.15141	2.83522e-06
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	1980-99	0.518022	0.481978	0	0.000602749	2.92259e-21	2.00173e-06
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	2000-09	0.518022	0.481978	0	0.000602749	2.10367	5.3227e-07
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	2010s	0.518022	0.481978	0	0.000602749	0.528538	2.31881e-07
Level 1 charger	150-200%	Multi-Family with 5+ Units	Owner	<1940	0.518022	0.481978	0	0.000602749	0.3135	6.1458e-07
Level 1 charger	150-200%	Multi-Family with 5+ Units	Renter	1940-59	0.749903	0.250097	0	0.0832776	14.8207	3.54104e-06
Level 1 charger	150-200%	Multi-Family with 5+ Units	Renter	1960-79	0.749903	0.250097	0	0.0832776	140.668	1.00593e-05
