Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=Tenure	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	Option=Void	source_count	source_weight	sampling_probability
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.0455783	0	0	0.00473208	0.0332881	0.138169	0.0703853	0.260985	0.197936	0.187248	0.0616784	0	53	0	3.33279e-06
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0	0.201435	0.423577	0.0709084	0.304079	0	17	0	5.38665e-06
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0.0521803	0	0	0.00541752	0.0381099	0.158183	0.0805805	0.269611	0.165252	0.204099	0.0265668	0	36	0	2.05241e-05
1A	Multi-Family with 2 - 4 Units	None	Not Available	0.00329068	0	0.00389441	0.00278657	0.0121327	0.0695467	0.198345	0.331199	0.319696	0.0344245	0.0246846	0	0	0	2.37181e-05
1A	Multi-Family with 2 - 4 Units	None	Owner	0	0	0	0	0	0.00633822	0.238787	0.206874	0.359002	0.0766889	0.11231	0	0	0	3.66428e-05
1A	Multi-Family with 2 - 4 Units	None	Renter	0.00211519	0	0.0059138	0.00336615	0.0169946	0.0953421	0.162932	0.403018	0.285567	0.0102952	0.0144564	0	0	0	0.00011321
1A	Multi-Family with 2 - 4 Units	Room AC	Not Available	0	0	0	0.0156617	0.0160647	0.1384	0.0169544	0.322895	0.25509	0.0307989	0.204136	0	32	10566.2	2.32199e-05
1A	Multi-Family with 2 - 4 Units	Room AC	Owner	0	0	0	0	0	0	0	0.293255	0.205223	0.0588341	0.442688	0	15	4491.17	3.11527e-05
1A	Multi-Family with 2 - 4 Units	Room AC	Renter	0	0	0	0.0219855	0.0225513	0.194282	0.0238002	0.334863	0.275225	0.019479	0.107814	0	17	6074.99	0.000116603
1A	Multi-Family with 5+ Units	Central AC	Not Available	0	0	0.00394404	0	0.00358567	0.0334857	0.170622	0.361957	0.388052	0.0348667	0.00348742	0	37	540768	0.000766495
1A	Multi-Family with 5+ Units	Central AC	Owner	0	0	0	0	0	0.00888809	0.26848	0.191587	0.434489	0.0877768	0.00877957	0	16	214804	0.000734784
1A	Multi-Family with 5+ Units	Central AC	Renter	0	0	0.00654309	0	0.00594856	0.049695	0.106135	0.474228	0.357451	0	0	0	21	325964	0.00160527
1A	Multi-Family with 5+ Units	Ducted Heat Pump	Not Available	0.0306827	0	0.0113924	0.0144031	0.0785946	0.183103	0.159539	0.192124	0.195048	0.0779098	0.0572029	0	63	71008.9	0.000546802
1A	Multi-Family with 5+ Units	Ducted Heat Pump	Owner	0.0920836	0	0	0	0	0	0.103074	0.309198	0.401186	0.094458	0	0	10	37260.6	0.000532045
1A	Multi-Family with 5+ Units	Ducted Heat Pump	Renter	0.0169475	0	0.0139408	0.017625	0.096176	0.224063	0.17217	0.165935	0.148936	0.0742081	0.069999	0	53	33748.3	0.00116972
1A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	17584.8	0
1A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	17584.8	0
1A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Not Available	0.0455783	0	0	0.00473208	0.0332881	0.138169	0.0703853	0.260985	0.197936	0.187248	0.0616784	0	53	16129.3	2.24567e-05
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0	0.201435	0.423577	0.0709084	0.304079	0	17	1490.69	2.08769e-05
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Renter	0.0521803	0	0	0.00541752	0.0381099	0.158183	0.0805805	0.269611	0.165252	0.204099	0.0265668	0	36	14638.6	4.50566e-05
1A	Multi-Family with 5+ Units	None	Not Available	0.00396948	0	0.00400746	0.00149722	0.0135302	0.0674242	0.145367	0.338978	0.347191	0.0422336	0.0358014	0	0	0	0.000215446
1A	Multi-Family with 5+ Units	None	Owner	0.0121394	0	0	0	0	0.00675486	0.21763	0.222266	0.409709	0.0865251	0.0449758	0	0	0	0.000214555
1A	Multi-Family with 5+ Units	None	Renter	0.00295902	0	0.00576673	0.00149329	0.0168751	0.0935509	0.0965047	0.41984	0.321301	0.0157541	0.0259545	0	0	0	0.000428894
1A	Multi-Family with 5+ Units	Room AC	Not Available	0	0	0	0	0.0176636	0.152174	0.0186417	0.332006	0.263501	0.0338641	0.182149	0	27	106167	0.000195842
1A	Multi-Family with 5+ Units	Room AC	Owner	0	0	0	0	0	0	0	0.338538	0.236912	0.0679188	0.356632	0	13	29085.5	0.000193025
1A	Multi-Family with 5+ Units	Room AC	Renter	0	0	0	0	0.0243286	0.209594	0.0256759	0.329541	0.273535	0.0210142	0.116311	0	14	77081.4	0.00040041
1A	Single-Family Attached	Central AC	Not Available	0	0	0	0	0	0.00943547	0.164885	0.385165	0.306393	0.134122	0	0	20	135626	5.68846e-05
1A	Single-Family Attached	Central AC	Owner	0	0	0	0	0	0	0.188987	0.331215	0.400297	0.0795015	0	0	11	101380	0.000348358
1A	Single-Family Attached	Central AC	Renter	0	0	0	0	0	0.0129951	0.189392	0.668732	0.0260078	0.102873	0	0	16	34246	0.000273588
1A	Single-Family Attached	Ducted Heat Pump	Not Available	0	0	0	0	0	0.114006	0.0835882	0.645445	0.0845898	0.0723711	0	0	11	11057.3	4.61852e-05
1A	Single-Family Attached	Ducted Heat Pump	Owner	0	0.00398726	0.00633181	0.00673332	0.0350463	0.0654918	0.188887	0.273663	0.255361	0.124714	0.0397836	0	286	11057.3	0.000286409
1A	Single-Family Attached	Ducted Heat Pump	Renter	0	0	0.0285625	0.0122715	0.0800063	0.17943	0.101713	0.439	0.0701546	0.0888627	0	0	42	0	0.000222753
1A	Single-Family Attached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Attached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Attached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Attached	Non-Ducted Heat Pump	Not Available	0	0	0	0	0	0	0.369252	0.221114	0.0648613	0.0694958	0.275277	0	33	1849.94	1.65187e-06
1A	Single-Family Attached	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0.414729	0.193729	0.0282653	0.0540969	0.30918	0	29	1849.94	9.93824e-06
1A	Single-Family Attached	Non-Ducted Heat Pump	Renter	0.03358	0.00527529	0.0198862	0.0198539	0.057816	0.237462	0.131577	0.147488	0.0567401	0.209362	0.0809593	0	56	0	9.30411e-06
1A	Single-Family Attached	None	Not Available	0	0	0	0	0	0.015384	0.156249	0.385451	0.263299	0.135415	0.0442022	0	0	0	1.38054e-05
1A	Single-Family Attached	None	Owner	0	0.000354631	0.00248608	0.000598868	0.00311705	0.0108852	0.178647	0.310323	0.350476	0.0918868	0.0512255	0	0	0	7.05236e-05
1A	Single-Family Attached	None	Renter	0	0.00909829	0	0	0	0.0183271	0.168399	0.594553	0.0218282	0.100659	0.0871357	0	0	0	9.10084e-05
1A	Single-Family Attached	Room AC	Not Available	0	0	0	0	0	0	0.110329	0.232846	0.0522623	0.195348	0.409215	0	14	16591.8	1.40705e-05
1A	Single-Family Attached	Room AC	Owner	0	0	0.0238236	0	0	0.0626939	0.0193778	0.161141	0.0113458	0.187809	0.533809	0	50	10034.6	7.399e-05
1A	Single-Family Attached	Room AC	Renter	0	0.0566154	0	0	0	0.0461741	0.0587633	0.20714	0	0.0890943	0.542213	0	20	6557.22	8.7853e-05
1A	Single-Family Detached	Central AC	Not Available	0	0	0	0	0.00198799	0.0295668	0.159634	0.494901	0.143151	0.15861	0.0121484	0	62	593211	0.000261058
1A	Single-Family Detached	Central AC	Owner	0	0	0	0	0.00222938	0.0331568	0.149816	0.465776	0.15753	0.177869	0.0136234	0	55	528982	0.00223884
1A	Single-Family Detached	Central AC	Renter	0	0	0	0	0	0.0129951	0.189392	0.668732	0.0260078	0.102873	0	0	16	64229.2	0.000541526
1A	Single-Family Detached	Ducted Heat Pump	Not Available	0	0	0	0	0	0.114006	0.0835882	0.645445	0.0845898	0.0723711	0	0	11	104820	0.000219724
1A	Single-Family Detached	Ducted Heat Pump	Owner	0	0.00398726	0.00633181	0.00673332	0.0350463	0.0654918	0.188887	0.273663	0.255361	0.124714	0.0397836	0	286	78111.8	0.0020241
1A	Single-Family Detached	Ducted Heat Pump	Renter	0	0	0.0285625	0.0122715	0.0800063	0.17943	0.101713	0.439	0.0701546	0.0888627	0	0	42	26707.8	0.000460097
1A	Single-Family Detached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Detached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Detached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
1A	Single-Family Detached	Non-Ducted Heat Pump	Not Available	0	0	0	0	0	0	0.368331	0.208455	0.0670116	0.0717997	0.284403	0	31	55801.8	1.40215e-05
1A	Single-Family Detached	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0.41539	0.178429	0.0293221	0.0561195	0.320739	0	27	49480	0.000118511
1A	Single-Family Detached	Non-Ducted Heat Pump	Renter	0.03358	0.00527529	0.0198862	0.0198539	0.057816	0.237462	0.131577	0.147488	0.0567401	0.209362	0.0809593	0	56	6321.74	3.05056e-05
1A	Single-Family Detached	None	Not Available	0	0.0020876	0.00215522	0	0.00139592	0.0422804	0.148544	0.459001	0.115439	0.141533	0.0875634	0	0	0	0.000109079
1A	Single-Family Detached	None	Owner	0	0.000430798	0.00320258	0.000727492	0.00541772	0.0379638	0.160504	0.397699	0.144859	0.16283	0.0863661	0	0	0	0.000721902
1A	Single-Family Detached	None	Renter	0.00174213	0.0147473	0.00729204	0.00371969	0.0205353	0.0703011	0.128949	0.488974	0.032029	0.10734	0.12437	0	0	0	0.000207262
1A	Single-Family Detached	Room AC	Not Available	0	0.0193836	0.0200114	0	0	0.0684705	0.016277	0.163814	0	0.152637	0.559407	0	56	90986.6	9.01966e-05
1A	Single-Family Detached	Room AC	Owner	0	0	0.0274243	0	0	0.0721695	0.0223066	0.164646	0	0.167376	0.546078	0	41	66392.5	0.000586383
1A	Single-Family Detached	Room AC	Renter	0	0.0717099	0	0	0	0.0584849	0	0.161568	0	0.112848	0.595388	0	15	24594.2	0.000171308
2A	Mobile Home	Central AC	Not Available	0	0	0	0	0.110333	0.169657	0.243864	0.258849	0.0918441	0.0786158	0.0468377	0	44	480313	0.000887812
2A	Mobile Home	Central AC	Owner	0	0	0	0	0.0637483	0.145835	0.250129	0.293718	0.104216	0.089206	0.0531471	0	39	423292	0.0022061
2A	Mobile Home	Central AC	Renter	0	0	0.0101932	0.0127964	0.142089	0.184119	0.239103	0.164058	0.103058	0.111322	0.0332622	0	95	57020.9	0.000868998
2A	Mobile Home	Ducted Heat Pump	Not Available	0	0	0	0.0154233	0.0292135	0.105658	0.0973773	0.343177	0.180678	0.120949	0.107525	0	31	390575	0.00117796
2A	Mobile Home	Ducted Heat Pump	Owner	0	0	0	0.0199985	0.0378793	0.0442303	0.126263	0.303661	0.234274	0.0942728	0.139421	0	25	301220	0.0026276
2A	Mobile Home	Ducted Heat Pump	Renter	0	0	0.0304397	0.013078	0.0852646	0.191222	0.108398	0.402129	0.0747653	0.094703	0	0	40	89354.1	0.000994449
2A	Mobile Home	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Mobile Home	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Mobile Home	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Mobile Home	Non-Ducted Heat Pump	Not Available	0	0	0	0	0	0.0666151	0.402791	0.361772	0.0267312	0.0286412	0.113449	0	41	24233.8	1.3916e-05
2A	Mobile Home	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.069768	0.421856	0.357905	0.0108625	0.0207897	0.118819	0	37	24233.8	3.218e-05
2A	Mobile Home	Non-Ducted Heat Pump	Renter	0.03358	0.00527529	0.0198862	0.0198539	0.057816	0.237462	0.131577	0.147488	0.0567401	0.209362	0.0809593	0	56	0	1.26288e-05
2A	Mobile Home	None	Not Available	0.00495874	0	0	0.010887	0.0669571	0.145884	0.159259	0.261484	0.121831	0.123701	0.105039	0	0	0	0.000128009
2A	Mobile Home	None	Owner	0.00623428	0	0	0.00651207	0.0415051	0.103359	0.182835	0.282627	0.152753	0.0919745	0.132199	0	0	0	0.000290807
2A	Mobile Home	None	Renter	0.0145546	0	0.0224926	0.0165827	0.091127	0.216987	0.152659	0.242246	0.0743978	0.14779	0.0211631	0	0	0	0.000111885
2A	Mobile Home	Room AC	Not Available	0.0215288	0	0	0.0247788	0.0502717	0.169083	0.0757508	0.138022	0.0983996	0.217153	0.205012	0	26	267874	0.000463116
2A	Mobile Home	Room AC	Owner	0.0327113	0	0	0	0	0.107018	0.0850665	0.209714	0.149511	0.10448	0.3115	0	18	176300	0.00110539
2A	Mobile Home	Room AC	Renter	0.037819	0	0.0223966	0.0223601	0.0651145	0.262593	0.14202	0.134925	0.0561934	0.222299	0.0342793	0	32	91574.1	0.000430873
2A	Multi-Family with 2 - 4 Units	Central AC	Not Available	0.023071	0.021388	0.0215673	0.0382093	0.0593629	0.188519	0.24007	0.221158	0.0949826	0.0916725	0	0	44	463467	0.000645948
2A	Multi-Family with 2 - 4 Units	Central AC	Owner	0	0	0	0	0.0508291	0.0398035	0.110961	0.31679	0.273968	0.168295	0.039353	0	27	52978.5	0.00037755
2A	Multi-Family with 2 - 4 Units	Central AC	Renter	0.0260485	0.0241483	0.0243508	0.0431406	0.0540188	0.21285	0.271053	0.200387	0.0802941	0.0637084	0	0	38	410488	0.00242277
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Not Available	0.0595988	0	0	0	0.0602908	0.360318	0.140229	0.0688521	0.113046	0.124325	0.0733403	0	18	200449	0.000463899
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Owner	0.0920836	0	0	0	0	0	0.103074	0.309198	0.401186	0.094458	0	0	10	10159.7	0.000292227
2A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	Renter	0.0627809	0	0	0	0.0635098	0.379556	0.147716	0.0725282	0.0656908	0.130962	0.077256	0	17	190289	0.00161866
2A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 2 - 4 Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Not Available	0.0455783	0	0	0.00473208	0.0332881	0.138169	0.0703853	0.260985	0.197936	0.187248	0.0616784	0	53	0	3.31486e-05
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0	0.201435	0.423577	0.0709084	0.304079	0	17	0	2.46878e-05
2A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	Renter	0.0521803	0	0	0.00541752	0.0381099	0.158183	0.0805805	0.269611	0.165252	0.204099	0.0265668	0	36	0	9.11583e-05
2A	Multi-Family with 2 - 4 Units	None	Not Available	0.0387092	0.0134259	0.0135385	0.0239852	0.0586522	0.233173	0.200292	0.179682	0.105339	0.113291	0.0199114	0	0	0	8.61435e-05
2A	Multi-Family with 2 - 4 Units	None	Owner	0.0148174	0	0	0	0.0426501	0.0333986	0.109692	0.315568	0.294439	0.156414	0.0330206	0	0	0	4.96362e-05
2A	Multi-Family with 2 - 4 Units	None	Renter	0.042329	0.0146814	0.0148045	0.0262282	0.05623	0.254978	0.219022	0.166503	0.0837591	0.0996908	0.0217734	0	0	0	0.000325001
2A	Multi-Family with 2 - 4 Units	Room AC	Not Available	0.0798437	0	0	0	0.0498109	0.168789	0.114326	0.219911	0.149087	0.218232	0	0	17	74402.5	0.000118207
2A	Multi-Family with 2 - 4 Units	Room AC	Owner	0	0	0	0	0	0	0	0.293255	0.205223	0.0588341	0.442688	0	15	0	6.2817e-05
2A	Multi-Family with 2 - 4 Units	Room AC	Renter	0.0798437	0	0	0	0.0498109	0.168789	0.114326	0.219911	0.149087	0.218232	0	0	17	74402.5	0.000405929
2A	Multi-Family with 5+ Units	Central AC	Not Available	0.00529958	0.00821603	0.0108192	0	0.0363713	0.17938	0.16289	0.34584	0.133427	0.0711708	0.0465858	0	107	1.56063e+06	0.0026009
2A	Multi-Family with 5+ Units	Central AC	Owner	0	0	0	0	0.0423858	0.046533	0.129721	0.305749	0.284987	0.144618	0.0460063	0	21	313358	0.00111353
2A	Multi-Family with 5+ Units	Central AC	Renter	0.00663101	0.0102802	0.0135374	0	0.0348603	0.212756	0.171224	0.355912	0.0953502	0.0527184	0.0467314	0	86	1.24727e+06	0.0074491
2A	Multi-Family with 5+ Units	Ducted Heat Pump	Not Available	0.0251718	0	0.0170357	0.0215378	0.096577	0.148599	0.166385	0.233231	0.158106	0.073302	0.0600542	0	40	576849	0.00195411
2A	Multi-Family with 5+ Units	Ducted Heat Pump	Owner	0.0920836	0	0	0	0	0	0.103074	0.309198	0.401186	0.094458	0	0	10	110266	0.000850402
2A	Multi-Family with 5+ Units	Ducted Heat Pump	Renter	0	0	0.0210617	0.0266278	0.119401	0.183717	0.170871	0.221114	0.124259	0.0587022	0.0742465	0	33	466583	0.00540635
2A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 5+ Units	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Not Available	0.0455783	0	0	0.00473208	0.0332881	0.138169	0.0703853	0.260985	0.197936	0.187248	0.0616784	0	53	32941.6	6.87125e-05
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0	0	0.201435	0.423577	0.0709084	0.304079	0	17	13814.6	2.58653e-05
2A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	Renter	0.0521803	0	0	0.00541752	0.0381099	0.158183	0.0805805	0.269611	0.165252	0.204099	0.0265668	0	36	19127	0.000206638
2A	Multi-Family with 5+ Units	None	Not Available	0.0104864	0.005535	0.0115308	0.00543043	0.053767	0.167085	0.158563	0.30968	0.146266	0.0844407	0.0472153	0	0	0	0.000300886
2A	Multi-Family with 5+ Units	None	Owner	0.0232117	0	0	0	0.030363	0.0333338	0.118908	0.303324	0.318654	0.129646	0.0425595	0	0	0	0.000117241
2A	Multi-Family with 5+ Units	None	Renter	0.00493247	0.00682349	0.0142151	0.00666676	0.0590196	0.197408	0.16478	0.312259	0.113322	0.07085	0.0497237	0	0	0	0.000893118
2A	Multi-Family with 5+ Units	Room AC	Not Available	0	0	0	0	0.0751701	0.115268	0.101361	0.236272	0.224988	0.24694	0	0	10	146143	0.000274869
2A	Multi-Family with 5+ Units	Room AC	Owner	0	0	0	0	0	0	0	0.293255	0.205223	0.0588341	0.442688	0	15	0	0.000117114
2A	Multi-Family with 5+ Units	Room AC	Renter	0	0	0	0	0.0751701	0.115268	0.101361	0.236272	0.224988	0.24694	0	0	10	146143	0.000792073
2A	Single-Family Attached	Central AC	Not Available	0	0	0.00566002	0	0.0152393	0.0860791	0.277954	0.216212	0.144724	0.190813	0.0633192	0	53	337682	0.00033527
2A	Single-Family Attached	Central AC	Owner	0	0	0	0	0	0.0545282	0.262496	0.231778	0.211424	0.179738	0.0600364	0	31	181164	0.00128382
2A	Single-Family Attached	Central AC	Renter	0	0	0.0122113	0	0.0328781	0.122598	0.295846	0.198194	0.0675217	0.203632	0.0671189	0	22	156518	0.00083233
2A	Single-Family Attached	Ducted Heat Pump	Not Available	0	0	0	0.031796	0.0877698	0.0145715	0.24019	0.300091	0.111348	0.157871	0.0563625	0	28	167144	0.000226133
2A	Single-Family Attached	Ducted Heat Pump	Owner	0	0	0	0	0.0764442	0.0199582	0.201458	0.2562	0.152511	0.216231	0.077198	0	20	122033	0.000841833
2A	Single-Family Attached	Ducted Heat Pump	Renter	0	0	0.0304397	0.013078	0.0852646	0.191222	0.108398	0.402129	0.0747653	0.094703	0	0	40	45111.7	0.000514194
2A	Single-Family Attached	Evaporative or Swamp Cooler	Not Available	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Single-Family Attached	Evaporative or Swamp Cooler	Owner	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Single-Family Attached	Evaporative or Swamp Cooler	Renter	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
2A	Single-Family Attached	Non-Ducted Heat Pump	Not Available	0	0	0	0	0	0.0666151	0.402791	0.361772	0.0267312	0.0286412	0.113449	0	41	2306.78	7.90773e-06
2A	Single-Family Attached	Non-Ducted Heat Pump	Owner	0	0	0	0	0	0.069768	0.421856	0.357905	0.0108625	0.0207897	0.118819	0	37	2306.78	2.92056e-05
2A	Single-Family Attached	Non-Ducted Heat Pump	Renter	0.03358	0.00527529	0.0198862	0.0198539	0.057816	0.237462	0.131577	0.147488	0.0567401	0.209362	0.0809593	0	56	0	1.9967e-05
2A	Single-Family Attached	None	Not Available	0.00206928	0.0018548	0.00666528	0.0102533	0.0393505	0.0690506	0.258357	0.238359	0.129305	0.179243	0.0654914	0	0	0	2.17965e-05
2A	Single-Family Attached	None	Owner	0.00143877	0.00209016	0.0030167	0	0.0306673	0.0446795	0.234917	0.238236	0.181102	0.191416	0.0724364	0	0	0	7.98526e-05
2A	Single-Family Attached	None	Renter	0.00334425	0	0.0168296	0.00464452	0.046413	0.148973	0.244013	0.234192	0.0679973	0.183066	0.050526	0	0	0	5.18942e-05
2A	Single-Family Attached	Room AC	Not Available	0.0312108	0.0279757	0.0474559	0.00706747	0.0432294	0.162392	0.149665	0.151612	0.0746289	0.179602	0.125161	0	99	36010.6	4.61085e-05
2A	Single-Family Attached	Room AC	Owner	0.0281568	0.0409045	0.059037	0	0.0331152	0.116084	0.153198	0.159324	0.0831488	0.15987	0.167162	0	67	16451.4	0.000158044
