Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Option=1 day	Option=1 month	Option=1 week	Option=2 weeks	Option=3 days	Option=3 months	Option=Never	Option=Year round	Option=Void	source_count	source_weight	sampling_probability
300-400%	Multi-Family with 2 - 4 Units	Renter	0.0147664	0.0109941	0.00438427	0.0032882	0.00830477	0.00808517	0.950177	0	0	144	820764	0.0066191
400%+	Multi-Family with 2 - 4 Units	Renter	0.00136905	0	0.00209647	0.00157236	0.00136905	0	0.993593	0	0	214	1.542e+06	0.0127206
Not Available	Multi-Family with 2 - 4 Units	Renter	0	0	0	0	0	0	0	0	1	891	8.20932e+06	0
0-100%	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	506	4.57651e+06	0
100-150%	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	397	2.20296e+06	0
150-200%	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	351	2.17284e+06	0
200-300%	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	579	3.31945e+06	0
300-400%	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	377	2.55528e+06	0
400%+	Multi-Family with 5+ Units	Not Available	0	0	0	0	0	0	0	0	1	1041	8.00882e+06	0
Not Available	Multi-Family with 5+ Units	Not Available	0.00681445	0.00606589	0.00622072	0.00622548	0.00855498	0.00324319	0.961558	0.00131758	0	2439	2.28359e+07	0.0258791
0-100%	Multi-Family with 5+ Units	Owner	0	0.00264579	0	0	0	0.00793738	0.989417	0	0	22	185930	0.00141436
100-150%	Multi-Family with 5+ Units	Owner	0	0.0260885	0.00635847	0	0.00635847	0.0782654	0.882929	0	0	24	148689	0.0010062
150-200%	Multi-Family with 5+ Units	Owner	0	0	0.0500302	0	0.0500302	0	0.89994	0	0	26	180273	0.001051
200-300%	Multi-Family with 5+ Units	Owner	0	0	0	0	0.000541605	0	0.999458	0	0	73	392985	0.00222079
300-400%	Multi-Family with 5+ Units	Owner	0	0.0063228	0	0	0.00594401	0	0.982553	0.00517997	0	56	386775	0.00203349
400%+	Multi-Family with 5+ Units	Owner	0	0.0146687	0	0	0.00610401	0	0.979227	0	0	222	1.89389e+06	0.0107116
Not Available	Multi-Family with 5+ Units	Owner	0	0	0	0	0	0	0	0	1	339	3.18854e+06	0
0-100%	Multi-Family with 5+ Units	Renter	0.00556704	0.00378562	0.0113801	0.0108737	0.0103146	0.00721209	0.949979	0.000888171	0	484	4.39058e+06	0.0297696
100-150%	Multi-Family with 5+ Units	Renter	0.0291926	0.00759908	0.0126506	0.00716569	0.00753216	0.0026359	0.928292	0.00493204	0	373	2.05427e+06	0.0175496
150-200%	Multi-Family with 5+ Units	Renter	0.0160468	0.0132679	0.0182687	0.0234968	0.0211422	0.00225298	0.905525	0	0	325	1.99257e+06	0.0141553
200-300%	Multi-Family with 5+ Units	Renter	0.00318916	0.0122509	0.00397775	0.00582785	0.00497693	0.000141419	0.966051	0.00358486	0	506	2.92646e+06	0.0231532
300-400%	Multi-Family with 5+ Units	Renter	0.00982878	0.00205652	0.00223932	0	0.0105672	0.00798424	0.966959	0.000365015	0	321	2.16851e+06	0.0163714
400%+	Multi-Family with 5+ Units	Renter	0.00140321	0.000808256	0.000529777	0.00258839	0.00506241	0.000269984	0.988885	0.000453126	0	819	6.11493e+06	0.038911
Not Available	Multi-Family with 5+ Units	Renter	0	0	0	0	0	0	0	0	1	2100	1.96473e+07	0
0-100%	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	222	931639	0
100-150%	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	205	630277	0
150-200%	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	218	534286	0
200-300%	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	433	1.138e+06	0
300-400%	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	363	965084	0
400%+	Single-Family Attached	Not Available	0	0	0	0	0	0	0	0	1	912	3.25189e+06	0
Not Available	Single-Family Attached	Not Available	0.00616333	0.0102261	0.00872316	0.00678433	0.00893462	0.00414867	0.953818	0.00120192	0	1751	7.45118e+06	0.00563471
0-100%	Single-Family Attached	Owner	0.0232204	0.04496	0.00935574	0.00180732	0.00324308	0.0183826	0.885088	0.0139423	0	53	230570	0.00204596
100-150%	Single-Family Attached	Owner	0.00400563	0.00950684	0.0563654	0.00345542	0.0410019	0.0055846	0.88008	0	0	97	292182	0.00170335
150-200%	Single-Family Attached	Owner	0.00627898	0.0236608	0	0.00580273	0.00270737	0.00458018	0.956409	0.000560838	0	116	265329	0.00192853
200-300%	Single-Family Attached	Owner	0.00970511	0.0110215	0	0.00787207	0.0116335	0.00792135	0.949834	0.00201257	0	269	673960	0.00458857
300-400%	Single-Family Attached	Owner	0.00859401	0	0.00337456	0.000640118	0.016673	0.00666628	0.958965	0.0050873	0	232	605541	0.0044186
400%+	Single-Family Attached	Owner	0.000854074	0	0.00239838	0.00271372	0.00370511	0.00240291	0.987474	0.000451714	0	700	2.55752e+06	0.018063
Not Available	Single-Family Attached	Owner	0	0	0	0	0	0	0	0	1	1114	4.6251e+06	0
0-100%	Single-Family Attached	Renter	0.011649	0.0362971	0.0125366	0.0201932	0.00763431	0.008651	0.903039	0	0	169	701069	0.00348406
100-150%	Single-Family Attached	Renter	0.015857	0.0367205	0.016525	0.0144776	0.0193318	0.0033415	0.893747	0	0	108	338095	0.00222969
150-200%	Single-Family Attached	Renter	0.0165913	0.00873568	0.0258409	0.0342755	0.0134941	0.00116291	0.8999	0	0	102	268956	0.00205135
200-300%	Single-Family Attached	Renter	0.00525978	0.0175682	0.00888934	0.00591835	0.00816533	0.00172109	0.952478	0	0	164	464038	0.00358772
300-400%	Single-Family Attached	Renter	0.00938287	0.0027342	0.0146175	0.0069235	0.0152546	0	0.951087	0	0	131	359543	0.00262101
400%+	Single-Family Attached	Renter	0	0	0.0107833	0.00208233	0.00133015	0	0.985804	0	0	212	694373	0.00620763
Not Available	Single-Family Attached	Renter	0	0	0	0	0	0	0	0	1	637	2.82607e+06	0
0-100%	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	916	5.78374e+06	0
100-150%	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	1141	5.11138e+06	0
150-200%	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	1428	5.87229e+06	0
200-300%	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	3213	1.22098e+07	0
300-400%	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	2996	1.07836e+07	0
400%+	Single-Family Detached	Not Available	0	0	0	0	0	0	0	0	1	7130	3.73068e+07	0
Not Available	Single-Family Detached	Not Available	0.00568286	0.00888404	0.0080516	0.00670419	0.010475	0.00607071	0.95132	0.00281189	0	12319	7.70677e+07	0.0650048
0-100%	Single-Family Detached	Owner	0.0119093	0.0298491	0.0227486	0.0225533	0.021928	0.0203047	0.865386	0.0053207	0	633	3.86675e+06	0.0270916
100-150%	Single-Family Detached	Owner	0.0139418	0.0250159	0.0132845	0.0138363	0.0173307	0.0136263	0.89421	0.00875425	0	925	4.04246e+06	0.0258358
150-200%	Single-Family Detached	Owner	0.00632437	0.0129689	0.0097657	0.0153287	0.0208387	0.00763091	0.921848	0.00529524	0	1205	4.97027e+06	0.0290872
200-300%	Single-Family Detached	Owner	0.00592839	0.0106824	0.0100861	0.00541995	0.0120858	0.00751852	0.944008	0.00427112	0	2855	1.06058e+07	0.0670512
300-400%	Single-Family Detached	Owner	0.006344	0.00772942	0.00490169	0.00510748	0.0108798	0.00403457	0.958264	0.0027387	0	2767	9.87713e+06	0.0650497
400%+	Single-Family Detached	Owner	0.00333463	0.00276857	0.00293142	0.00244881	0.00280909	0.00215849	0.982284	0.00126542	0	6748	3.52303e+07	0.246757
Not Available	Single-Family Detached	Owner	0	0	0	0	0	0	0	0	1	11109	6.85928e+07	0
0-100%	Single-Family Detached	Renter	0.0109596	0.0145339	0.0309238	0.0215563	0.0286544	0.0250439	0.859918	0.0084102	0	283	1.91699e+06	0.016217
100-150%	Single-Family Detached	Renter	0.00531723	0.027304	0.0280008	0.0207916	0.0320286	0.0112447	0.875191	0.000121795	0	216	1.06892e+06	0.010938
150-200%	Single-Family Detached	Renter	0.0047609	0.0126011	0.0379856	0.00902954	0.0303489	0.0150523	0.888845	0.00137687	0	223	902014	0.00988077
200-300%	Single-Family Detached	Renter	0.0086846	0.0203308	0.0179979	0.00106493	0.0442774	0.00405078	0.903594	0	0	358	1.60405e+06	0.0168506
300-400%	Single-Family Detached	Renter	0.00644079	0.00622737	0.0126572	0.012739	0.0108388	0.00799041	0.943106	0	0	229	906497	0.011853
400%+	Single-Family Detached	Renter	0.00498398	0.00472969	0.0037736	0.00876333	0.00812353	0.00642899	0.963197	0	0	382	2.07647e+06	0.0231262
Not Available	Single-Family Detached	Renter	0	0	0	0	0	0	0	0	1	1210	8.47494e+06	0
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: Number of days in a year the cooling system is unavailable.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption:
