Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Bottom	Option=Middle	Option=None	Option=Top	sampling_probability
Multi-Family with 5+ Units	9	0.111111	0.777778	0.000000	0.111111	0.000227
Multi-Family with 5+ Units	10	0.100000	0.800000	0.000000	0.100000	0.000270
Multi-Family with 5+ Units	11	0.090909	0.818182	0.000000	0.090909	0.000146
Multi-Family with 5+ Units	12	0.083333	0.833333	0.000000	0.083333	0.000302
Multi-Family with 5+ Units	13	0.076923	0.846154	0.000000	0.076923	0.000150
Multi-Family with 5+ Units	14	0.071429	0.857143	0.000000	0.071429	0.000278
Multi-Family with 5+ Units	15	0.066667	0.866667	0.000000	0.066667	0.000202
Multi-Family with 5+ Units	20	0.050000	0.900000	0.000000	0.050000	0.000266
Multi-Family with 5+ Units	21	0.047619	0.904762	0.000000	0.047619	0.001245
Single-Family Attached	1	0.000000	0.000000	1.000000	0.000000	0.030863
Single-Family Attached	2	0.000000	0.000000	1.000000	0.000000	0.020044
Single-Family Attached	3	0.000000	0.000000	1.000000	0.000000	0.004393
Single-Family Attached	4	0.000000	0.000000	1.000000	0.000000	0.001007
Single-Family Attached	5	0.000000	0.000000	1.000000	0.000000	0.000472
Single-Family Attached	6	0.000000	0.000000	1.000000	0.000000	0.000403
Single-Family Attached	7	0.000000	0.000000	1.000000	0.000000	0.000086
Single-Family Attached	8	0.000000	0.000000	1.000000	0.000000	0.000098
Single-Family Attached	9	0.000000	0.000000	1.000000	0.000000	0.000076
Single-Family Attached	10	0.000000	0.000000	1.000000	0.000000	0.000091
Single-Family Attached	11	0.000000	0.000000	1.000000	0.000000	0.000049
Single-Family Attached	12	0.000000	0.000000	1.000000	0.000000	0.000101
Single-Family Attached	13	0.000000	0.000000	1.000000	0.000000	0.000050
Single-Family Attached	14	0.000000	0.000000	1.000000	0.000000	0.000093
Single-Family Attached	15	0.000000	0.000000	1.000000	0.000000	0.000068
Single-Family Attached	20	0.000000	0.000000	1.000000	0.000000	0.000089
Single-Family Attached	21	0.000000	0.000000	1.000000	0.000000	0.000417
Multi-Family with 2 - 4 Units	1	1.000000	0.000000	0.000000	0.000000	0.041566
Multi-Family with 2 - 4 Units	2	0.500000	0.000000	0.000000	0.500000	0.026995
Multi-Family with 2 - 4 Units	3	0.333333	0.333333	0.000000	0.333333	0.005916
Multi-Family with 2 - 4 Units	4	0.250000	0.500000	0.000000	0.250000	0.001356
Multi-Family with 2 - 4 Units	5	0.200000	0.600000	0.000000	0.200000	0.000636
Multi-Family with 2 - 4 Units	6	0.166667	0.666667	0.000000	0.166667	0.000543
Multi-Family with 2 - 4 Units	7	0.142857	0.714286	0.000000	0.142857	0.000116
Multi-Family with 2 - 4 Units	8	0.125000	0.750000	0.000000	0.125000	0.000131
Multi-Family with 2 - 4 Units	9	0.111111	0.777778	0.000000	0.111111	0.000103
Multi-Family with 2 - 4 Units	10	0.100000	0.800000	0.000000	0.100000	0.000122
Multi-Family with 2 - 4 Units	11	0.090909	0.818182	0.000000	0.090909	0.000066
Multi-Family with 2 - 4 Units	12	0.083333	0.833333	0.000000	0.083333	0.000136
Multi-Family with 2 - 4 Units	13	0.076923	0.846154	0.000000	0.076923	0.000068
Multi-Family with 2 - 4 Units	14	0.071429	0.857143	0.000000	0.071429	0.000125
Multi-Family with 2 - 4 Units	15	0.066667	0.866667	0.000000	0.066667	0.000091
Multi-Family with 2 - 4 Units	20	0.050000	0.900000	0.000000	0.050000	0.000120
Multi-Family with 2 - 4 Units	21	0.047619	0.904762	0.000000	0.047619	0.000562
Mobile Home	1	0.000000	0.000000	1.000000	0.000000	0.031871
Mobile Home	2	0.000000	0.000000	1.000000	0.000000	0.020699
Mobile Home	3	0.000000	0.000000	1.000000	0.000000	0.004536
Mobile Home	4	0.000000	0.000000	1.000000	0.000000	0.001040
Mobile Home	5	0.000000	0.000000	1.000000	0.000000	0.000487
Mobile Home	6	0.000000	0.000000	1.000000	0.000000	0.000417
Mobile Home	7	0.000000	0.000000	1.000000	0.000000	0.000089
Mobile Home	8	0.000000	0.000000	1.000000	0.000000	0.000101
Mobile Home	9	0.000000	0.000000	1.000000	0.000000	0.000079
Mobile Home	10	0.000000	0.000000	1.000000	0.000000	0.000093
Mobile Home	11	0.000000	0.000000	1.000000	0.000000	0.000050
Mobile Home	12	0.000000	0.000000	1.000000	0.000000	0.000104
Mobile Home	13	0.000000	0.000000	1.000000	0.000000	0.000052
Mobile Home	14	0.000000	0.000000	1.000000	0.000000	0.000096
Mobile Home	15	0.000000	0.000000	1.000000	0.000000	0.000070
Mobile Home	20	0.000000	0.000000	1.000000	0.000000	0.000092
Mobile Home	21	0.000000	0.000000	1.000000	0.000000	0.000431
# Created by: sources\recs\2009\tsv_maker.py
# Source: Calculated directly from other distributions
# Assumption: Calculated using the number of stories, where buildings >=2 stories have Top and Bottom probabilities = 1/Geometry Stories, and Middle probabilities = 1 - 2/Geometry stories
