Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=290 Rated kWh	Option=318 Rated kWh	Option=None	Option=Void	source_count	source_weight	sampling_probability
200-300%	Mobile Home	AL	Renter	1970s	0.219004	0.219004	0.561992	0	26	0	9.35398e-06
300-400%	Mobile Home	AL	Not Available	1970s	0	0	0	1	35	0	0
300-400%	Mobile Home	AL	Owner	1970s	0.379409	0.379409	0.241182	0	139	0	1.34007e-05
300-400%	Mobile Home	AL	Renter	1970s	0.219004	0.219004	0.561992	0	26	0	4.53763e-06
400%+	Mobile Home	AL	Not Available	1970s	0	0	0	1	14	0	0
400%+	Mobile Home	AL	Owner	1970s	0.465758	0.465758	0.0684844	0	88	0	1.52704e-05
400%+	Mobile Home	AL	Renter	1970s	0.377258	0.377258	0.245484	0	11	0	4.37385e-06
Not Available	Mobile Home	AL	Not Available	1970s	0.171225	0.171225	0.65755	0	294	2.42442e+06	6.63316e-05
Not Available	Mobile Home	AL	Owner	1970s	0	0	0	1	28	222883	0
Not Available	Mobile Home	AL	Renter	1970s	0	0	0	1	14	123462	0
0-100%	Mobile Home	AL	Not Available	1980s	0	0	0	1	42	9381.24	0
0-100%	Mobile Home	AL	Owner	1980s	0.100983	0.100983	0.798034	0	10	1340.18	5.94172e-05
0-100%	Mobile Home	AL	Renter	1980s	0.19263	0.19263	0.614739	0	18	0	4.0921e-05
100-150%	Mobile Home	AL	Not Available	1980s	0	0	0	1	49	60657.5	0
100-150%	Mobile Home	AL	Owner	1980s	0.100983	0.100983	0.798034	0	10	8665.36	4.45218e-05
100-150%	Mobile Home	AL	Renter	1980s	0.19263	0.19263	0.614739	0	18	0	2.10581e-05
150-200%	Mobile Home	AL	Not Available	1980s	0	0	0	1	21	0	0
150-200%	Mobile Home	AL	Owner	1980s	0.100983	0.100983	0.798034	0	10	0	3.74312e-05
150-200%	Mobile Home	AL	Renter	1980s	0.19263	0.19263	0.614739	0	18	0	1.4603e-05
200-300%	Mobile Home	AL	Not Available	1980s	0	0	0	1	28	55839.7	0
200-300%	Mobile Home	AL	Owner	1980s	0.304598	0.304598	0.390804	0	17	0	5.8433e-05
200-300%	Mobile Home	AL	Renter	1980s	0.294681	0.294681	0.410639	0	20	7977.1	1.88036e-05
300-400%	Mobile Home	AL	Not Available	1980s	0	0	0	1	14	25709.6	0
300-400%	Mobile Home	AL	Owner	1980s	0.304598	0.304598	0.390804	0	17	3672.8	3.54998e-05
300-400%	Mobile Home	AL	Renter	1980s	0.294681	0.294681	0.410639	0	20	0	9.77583e-06
400%+	Mobile Home	AL	Not Available	1980s	0	0	0	1	14	30553.7	0
400%+	Mobile Home	AL	Owner	1980s	0.484004	0.484004	0.0319926	0	138	4364.81	4.16014e-05
400%+	Mobile Home	AL	Renter	1980s	0.435963	0.435963	0.128073	0	11	0	9.33474e-06
Not Available	Mobile Home	AL	Not Available	1980s	0.154449	0.154449	0.691101	0	147	1.27499e+06	0.000122091
Not Available	Mobile Home	AL	Owner	1980s	0	0	0	1	14	126302	0
Not Available	Mobile Home	AL	Renter	1980s	0	0	0	1	49	55839.7	0
0-100%	Mobile Home	AL	Not Available	1990s	0	0	0	1	28	198123	0
0-100%	Mobile Home	AL	Owner	1990s	0.409158	0.409158	0.181684	0	11	19034.9	9.86427e-05
0-100%	Mobile Home	AL	Renter	1990s	0.162656	0.162656	0.674689	0	12	9268.41	6.88175e-05
100-150%	Mobile Home	AL	Not Available	1990s	0	0	0	1	14	82454.9	0
100-150%	Mobile Home	AL	Owner	1990s	0.295708	0.295708	0.408584	0	18	11779.3	7.38374e-05
100-150%	Mobile Home	AL	Renter	1990s	0.162656	0.162656	0.674689	0	12	0	3.48507e-05
150-200%	Mobile Home	AL	Not Available	1990s	0	0	0	1	21	116777	0
150-200%	Mobile Home	AL	Owner	1990s	0.295708	0.295708	0.408584	0	18	9626.68	6.2565e-05
150-200%	Mobile Home	AL	Renter	1990s	0.162656	0.162656	0.674689	0	12	7055.74	2.42459e-05
200-300%	Mobile Home	AL	Not Available	1990s	0	0	0	1	28	60978.7	0
200-300%	Mobile Home	AL	Owner	1990s	0.223539	0.223539	0.552922	0	10	8691.12	9.82026e-05
200-300%	Mobile Home	AL	Renter	1990s	0.294681	0.294681	0.410639	0	20	20.1112	3.15027e-05
300-400%	Mobile Home	AL	Not Available	1990s	0	0	0	1	28	53873.7	0
300-400%	Mobile Home	AL	Owner	1990s	0.312768	0.312768	0.374464	0	14	7696.25	5.97788e-05
300-400%	Mobile Home	AL	Renter	1990s	0.294681	0.294681	0.410639	0	20	0	1.64085e-05
400%+	Mobile Home	AL	Not Available	1990s	0	0	0	1	42	52527.7	0
400%+	Mobile Home	AL	Owner	1990s	0.484004	0.484004	0.0319926	0	138	7503.96	7.02416e-05
400%+	Mobile Home	AL	Renter	1990s	0.435963	0.435963	0.128073	0	11	0	1.58653e-05
Not Available	Mobile Home	AL	Not Available	1990s	0.348978	0.348978	0.302044	0	490	3.95314e+06	0.000201781
Not Available	Mobile Home	AL	Owner	1990s	0	0	0	1	56	450325	0
Not Available	Mobile Home	AL	Renter	1990s	0	0	0	1	14	114410	0
0-100%	Mobile Home	AL	Not Available	2000s	0	0	0	1	14	90818.4	0
0-100%	Mobile Home	AL	Owner	2000s	0.405364	0.405364	0.189272	0	12	6487.03	3.3515e-05
0-100%	Mobile Home	AL	Renter	2000s	0.360149	0.360149	0.279701	0	22	6487.03	2.87954e-05
100-150%	Mobile Home	AL	Not Available	2000s	0	0	0	1	21	111110	0
100-150%	Mobile Home	AL	Owner	2000s	0.405364	0.405364	0.189272	0	12	11877.6	2.84266e-05
100-150%	Mobile Home	AL	Renter	2000s	0.360149	0.360149	0.279701	0	22	3995.28	1.50087e-05
150-200%	Mobile Home	AL	Not Available	2000s	0	0	0	1	28	8260.61	0
150-200%	Mobile Home	AL	Owner	2000s	0.405364	0.405364	0.189272	0	12	0	2.50662e-05
150-200%	Mobile Home	AL	Renter	2000s	0.360149	0.360149	0.279701	0	22	1180.09	1.12528e-05
200-300%	Mobile Home	AL	Not Available	2000s	0	0	0	1	14	45484.1	0
200-300%	Mobile Home	AL	Owner	2000s	0.395043	0.395043	0.209915	0	14	6497.72	4.42793e-05
200-300%	Mobile Home	AL	Renter	2000s	0.434398	0.434398	0.131204	0	73	0	1.51306e-05
300-400%	Mobile Home	AL	Not Available	2000s	0	0	0	1	21	82779.7	0
300-400%	Mobile Home	AL	Owner	2000s	0.395043	0.395043	0.209915	0	14	11825.7	3.15989e-05
300-400%	Mobile Home	AL	Renter	2000s	0.434398	0.434398	0.131204	0	73	0	8.2767e-06
400%+	Mobile Home	AL	Not Available	2000s	0	0	0	1	14	36209.3	0
400%+	Mobile Home	AL	Owner	2000s	0.486316	0.486316	0.0273671	0	172	5172.75	4.42968e-05
400%+	Mobile Home	AL	Renter	2000s	0.461166	0.461166	0.0776685	0	51	0	6.41984e-06
Not Available	Mobile Home	AL	Not Available	2000s	0.4394	0.4394	0.1212	0	441	2.62263e+06	8.80052e-05
Not Available	Mobile Home	AL	Owner	2000s	0	0	0	1	49	293025	0
Not Available	Mobile Home	AL	Renter	2000s	0	0	0	1	14	81636.8	0
0-100%	Mobile Home	AL	Not Available	2010s	0	0	0	1	28	61374.6	0
0-100%	Mobile Home	AL	Owner	2010s	0.398141	0.398141	0.203719	0	20	8767.81	8.58594e-06
0-100%	Mobile Home	AL	Renter	2010s	0.360149	0.360149	0.279701	0	22	0	9.21535e-06
100-150%	Mobile Home	AL	Not Available	2010s	0	0	0	1	35	0	0
100-150%	Mobile Home	AL	Owner	2010s	0.398141	0.398141	0.203719	0	20	0	7.25621e-06
100-150%	Mobile Home	AL	Renter	2010s	0.360149	0.360149	0.279701	0	22	0	4.64043e-06
150-200%	Mobile Home	AL	Not Available	2010s	0	0	0	1	28	48803.4	0
150-200%	Mobile Home	AL	Owner	2010s	0.398141	0.398141	0.203719	0	20	6971.91	7.69711e-06
150-200%	Mobile Home	AL	Renter	2010s	0.360149	0.360149	0.279701	0	22	0	3.35922e-06
200-300%	Mobile Home	AL	Not Available	2010s	0	0	0	1	28	139.106	0
200-300%	Mobile Home	AL	Owner	2010s	0.331301	0.331301	0.337397	0	21	19.8723	1.5402e-05
200-300%	Mobile Home	AL	Renter	2010s	0.434398	0.434398	0.131204	0	73	0	4.79021e-06
300-400%	Mobile Home	AL	Not Available	2010s	0	0	0	1	21	0	0
300-400%	Mobile Home	AL	Owner	2010s	0.331301	0.331301	0.337397	0	21	0	1.14902e-05
300-400%	Mobile Home	AL	Renter	2010s	0.434398	0.434398	0.131204	0	73	0	2.82828e-06
400%+	Mobile Home	AL	Not Available	2010s	0	0	0	1	14	0	0
400%+	Mobile Home	AL	Owner	2010s	0.486316	0.486316	0.0273671	0	172	0	1.85924e-05
400%+	Mobile Home	AL	Renter	2010s	0.461166	0.461166	0.0776685	0	51	0	3.33906e-06
Not Available	Mobile Home	AL	Not Available	2010s	0.221826	0.221826	0.556347	0	98	772220	2.96418e-05
Not Available	Mobile Home	AL	Owner	2010s	0	0	0	1	14	110317	0
Not Available	Mobile Home	AL	Renter	2010s	0	0	0	1	42	0	0
0-100%	Mobile Home	AL	Not Available	<1940	0	0	0	1	21	0	0
0-100%	Mobile Home	AL	Owner	<1940	0.227783	0.227783	0.544433	0	86	0	6.04345e-07
0-100%	Mobile Home	AL	Renter	<1940	0.111548	0.111548	0.776905	0	34	0	4.32841e-07
100-150%	Mobile Home	AL	Not Available	<1940	0	0	0	1	21	0	0
100-150%	Mobile Home	AL	Owner	<1940	0.227783	0.227783	0.544433	0	86	0	3.61954e-07
100-150%	Mobile Home	AL	Renter	<1940	0.111548	0.111548	0.776905	0	34	0	1.7275e-07
150-200%	Mobile Home	AL	Not Available	<1940	0	0	0	1	21	0	0
150-200%	Mobile Home	AL	Owner	<1940	0.227783	0.227783	0.544433	0	86	0	3.1464e-07
150-200%	Mobile Home	AL	Renter	<1940	0.111548	0.111548	0.776905	0	34	0	1.0788e-07
200-300%	Mobile Home	AL	Not Available	<1940	0	0	0	1	14	0	0
200-300%	Mobile Home	AL	Owner	<1940	0.312572	0.312572	0.374857	0	99	0	4.02046e-07
200-300%	Mobile Home	AL	Renter	<1940	0.301801	0.301801	0.396398	0	14	0	1.56903e-07
300-400%	Mobile Home	AL	Not Available	<1940	0	0	0	1	14	0	0
300-400%	Mobile Home	AL	Owner	<1940	0.312572	0.312572	0.374857	0	99	0	1.79948e-07
300-400%	Mobile Home	AL	Renter	<1940	0.301801	0.301801	0.396398	0	14	0	8.78738e-08
400%+	Mobile Home	AL	Not Available	<1940	0	0	0	1	553	0	0
400%+	Mobile Home	AL	Owner	<1940	0.420727	0.420727	0.158545	0	71	0	4.66197e-07
400%+	Mobile Home	AL	Renter	<1940	0.350925	0.350925	0.29815	0	42	0	1.29751e-07
Not Available	Mobile Home	AL	Not Available	<1940	0	0	1	0	196	0	1.06712e-06
Not Available	Mobile Home	AL	Owner	<1940	0	0	0	1	14	0	0
Not Available	Mobile Home	AL	Renter	<1940	0	0	0	1	14	0	0
0-100%	Mobile Home	AR	Not Available	1940s	0	0	0	1	21	0	0
0-100%	Mobile Home	AR	Owner	1940s	0.182706	0.182706	0.634588	0	101	0	5.86701e-07
0-100%	Mobile Home	AR	Renter	1940s	0.0865656	0.0865656	0.826869	0	48	0	2.96667e-07
100-150%	Mobile Home	AR	Not Available	1940s	0	0	0	1	21	0	0
100-150%	Mobile Home	AR	Owner	1940s	0.182706	0.182706	0.634588	0	101	0	4.01451e-07
100-150%	Mobile Home	AR	Renter	1940s	0.0865656	0.0865656	0.826869	0	48	0	1.66754e-07
150-200%	Mobile Home	AR	Not Available	1940s	0	0	0	1	21	0	0
150-200%	Mobile Home	AR	Owner	1940s	0.182706	0.182706	0.634588	0	101	0	3.32716e-07
150-200%	Mobile Home	AR	Renter	1940s	0.0865656	0.0865656	0.826869	0	48	0	1.14019e-07
200-300%	Mobile Home	AR	Not Available	1940s	0	0	0	1	728	0	0
200-300%	Mobile Home	AR	Owner	1940s	0.251838	0.251838	0.496324	0	80	0	4.23351e-07
200-300%	Mobile Home	AR	Renter	1940s	0.275148	0.275148	0.449704	0	24	0	1.49001e-07
300-400%	Mobile Home	AR	Not Available	1940s	0	0	0	1	728	0	0
300-400%	Mobile Home	AR	Owner	1940s	0.251838	0.251838	0.496324	0	80	0	2.68204e-07
300-400%	Mobile Home	AR	Renter	1940s	0.275148	0.275148	0.449704	0	24	0	7.58717e-08
400%+	Mobile Home	AR	Not Available	1940s	0	0	0	1	504	0	0
400%+	Mobile Home	AR	Owner	1940s	0.450232	0.450232	0.099536	0	64	0	3.9005e-07
400%+	Mobile Home	AR	Renter	1940s	0.350925	0.350925	0.29815	0	42	0	6.0841e-08
Not Available	Mobile Home	AR	Not Available	1940s	0.5	0.5	0	0	49	0	1.18003e-06
Not Available	Mobile Home	AR	Owner	1940s	0	0	0	1	1260	0	0
Not Available	Mobile Home	AR	Renter	1940s	0	0	0	1	406	0	0
0-100%	Mobile Home	AR	Not Available	1950s	0	0	0	1	14	0	0
0-100%	Mobile Home	AR	Owner	1950s	0.182706	0.182706	0.634588	0	101	0	1.14835e-06
0-100%	Mobile Home	AR	Renter	1950s	0.0865656	0.0865656	0.826869	0	48	0	6.32195e-07
100-150%	Mobile Home	AR	Not Available	1950s	0	0	0	1	14	0	0
100-150%	Mobile Home	AR	Owner	1950s	0.182706	0.182706	0.634588	0	101	0	7.88844e-07
100-150%	Mobile Home	AR	Renter	1950s	0.0865656	0.0865656	0.826869	0	48	0	3.51331e-07
150-200%	Mobile Home	AR	Not Available	1950s	0	0	0	1	14	0	0
150-200%	Mobile Home	AR	Owner	1950s	0.182706	0.182706	0.634588	0	101	0	6.41968e-07
150-200%	Mobile Home	AR	Renter	1950s	0.0865656	0.0865656	0.826869	0	48	0	2.42189e-07
200-300%	Mobile Home	AR	Not Available	1950s	0	0	0	1	728	0	0
200-300%	Mobile Home	AR	Owner	1950s	0.251838	0.251838	0.496324	0	80	0	8.28566e-07
200-300%	Mobile Home	AR	Renter	1950s	0.275148	0.275148	0.449704	0	24	0	3.19271e-07
300-400%	Mobile Home	AR	Not Available	1950s	0	0	0	1	728	0	0
300-400%	Mobile Home	AR	Owner	1950s	0.251838	0.251838	0.496324	0	80	0	5.19788e-07
300-400%	Mobile Home	AR	Renter	1950s	0.275148	0.275148	0.449704	0	24	0	1.62053e-07
400%+	Mobile Home	AR	Not Available	1950s	0	0	0	1	504	0	0
400%+	Mobile Home	AR	Owner	1950s	0.450232	0.450232	0.099536	0	64	0	7.70598e-07
400%+	Mobile Home	AR	Renter	1950s	0.350925	0.350925	0.29815	0	42	0	1.39819e-07
Not Available	Mobile Home	AR	Not Available	1950s	0.5	0.5	0	0	49	0	2.13532e-06
Not Available	Mobile Home	AR	Owner	1950s	0	0	0	1	1260	0	0
Not Available	Mobile Home	AR	Renter	1950s	0	0	0	1	406	0	0
0-100%	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	0	0
0-100%	Mobile Home	AR	Owner	1960s	0.0246457	0.0246457	0.950709	0	16	0	6.64211e-06
0-100%	Mobile Home	AR	Renter	1960s	0.148029	0.148029	0.703942	0	55	0	3.6118e-06
100-150%	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	0	0
100-150%	Mobile Home	AR	Owner	1960s	0.0246457	0.0246457	0.950709	0	16	0	4.50754e-06
100-150%	Mobile Home	AR	Renter	1960s	0.148029	0.148029	0.703942	0	55	0	1.86299e-06
150-200%	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	0	0
150-200%	Mobile Home	AR	Owner	1960s	0.0246457	0.0246457	0.950709	0	16	0	3.34177e-06
150-200%	Mobile Home	AR	Renter	1960s	0.148029	0.148029	0.703942	0	55	0	1.27889e-06
200-300%	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	2844.81	0
200-300%	Mobile Home	AR	Owner	1960s	0.362225	0.362225	0.275551	0	179	406.402	4.52365e-06
200-300%	Mobile Home	AR	Renter	1960s	0.261433	0.261433	0.477134	0	36	0	1.60335e-06
300-400%	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	30509.2	0
300-400%	Mobile Home	AR	Owner	1960s	0.362225	0.362225	0.275551	0	179	4358.46	2.32191e-06
300-400%	Mobile Home	AR	Renter	1960s	0.261433	0.261433	0.477134	0	36	0	6.9586e-07
400%+	Mobile Home	AR	Not Available	1960s	0	0	0	1	14	0	0
400%+	Mobile Home	AR	Owner	1960s	0.424175	0.424175	0.151649	0	126	0	2.41795e-06
400%+	Mobile Home	AR	Renter	1960s	0.275223	0.275223	0.449554	0	10	0	6.94255e-07
Not Available	Mobile Home	AR	Not Available	1960s	0	0	1	0	49	233478	1.11039e-05
Not Available	Mobile Home	AR	Owner	1960s	0	0	0	1	21	33354	0
Not Available	Mobile Home	AR	Renter	1960s	0	0	0	1	35	0	0
0-100%	Mobile Home	AR	Not Available	1970s	0	0	0	1	21	72535.6	0
0-100%	Mobile Home	AR	Owner	1970s	0.033021	0.033021	0.933958	0	14	5977.5	2.55946e-05
0-100%	Mobile Home	AR	Renter	1970s	0.148029	0.148029	0.703942	0	55	4384.72	1.46275e-05
100-150%	Mobile Home	AR	Not Available	1970s	0	0	0	1	35	23729.2	0
100-150%	Mobile Home	AR	Owner	1970s	0.033021	0.033021	0.933958	0	14	3389.88	1.78876e-05
100-150%	Mobile Home	AR	Renter	1970s	0.148029	0.148029	0.703942	0	55	0	7.59499e-06
150-200%	Mobile Home	AR	Not Available	1970s	0	0	0	1	28	0	0
150-200%	Mobile Home	AR	Owner	1970s	0.033021	0.033021	0.933958	0	14	0	1.3165e-05
150-200%	Mobile Home	AR	Renter	1970s	0.148029	0.148029	0.703942	0	55	0	5.21243e-06
200-300%	Mobile Home	AR	Not Available	1970s	0	0	0	1	14	49887.8	0
200-300%	Mobile Home	AR	Owner	1970s	0.362225	0.362225	0.275551	0	179	7126.83	1.79046e-05
200-300%	Mobile Home	AR	Renter	1970s	0.261433	0.261433	0.477134	0	36	0	6.40713e-06
300-400%	Mobile Home	AR	Not Available	1970s	0	0	0	1	14	15289.3	0
300-400%	Mobile Home	AR	Owner	1970s	0.362225	0.362225	0.275551	0	179	2184.19	9.44953e-06
300-400%	Mobile Home	AR	Renter	1970s	0.261433	0.261433	0.477134	0	36	0	2.76827e-06
400%+	Mobile Home	AR	Not Available	1970s	0	0	0	1	14	0	0
400%+	Mobile Home	AR	Owner	1970s	0.424175	0.424175	0.151649	0	126	0	9.5218e-06
400%+	Mobile Home	AR	Renter	1970s	0.275223	0.275223	0.449554	0	10	0	2.85757e-06
Not Available	Mobile Home	AR	Not Available	1970s	0.0997861	0.0997861	0.800428	0	245	1.13009e+06	4.35555e-05
Not Available	Mobile Home	AR	Owner	1970s	0	0	0	1	28	130749	0
Not Available	Mobile Home	AR	Renter	1970s	0	0	0	1	35	30693.1	0
0-100%	Mobile Home	AR	Not Available	1980s	0	0	0	1	70	34821.3	0
0-100%	Mobile Home	AR	Owner	1980s	0.11538	0.11538	0.769241	0	25	0	2.43022e-05
0-100%	Mobile Home	AR	Renter	1980s	0.206987	0.206987	0.586027	0	16	4974.47	1.79523e-05
100-150%	Mobile Home	AR	Not Available	1980s	0	0	0	1	21	45772.8	0
100-150%	Mobile Home	AR	Owner	1980s	0.123749	0.123749	0.752503	0	12	6538.96	2.08392e-05
100-150%	Mobile Home	AR	Renter	1980s	0.206987	0.206987	0.586027	0	16	0	1.0869e-05
150-200%	Mobile Home	AR	Not Available	1980s	0	0	0	1	14	54645.3	0
150-200%	Mobile Home	AR	Owner	1980s	0.182984	0.182984	0.634033	0	19	7806.47	1.76312e-05
150-200%	Mobile Home	AR	Renter	1980s	0.206987	0.206987	0.586027	0	16	0	7.28785e-06
200-300%	Mobile Home	AR	Not Available	1980s	0	0	0	1	14	67141.4	0
200-300%	Mobile Home	AR	Owner	1980s	0.417376	0.417376	0.165249	0	16	4702.1	2.73687e-05
200-300%	Mobile Home	AR	Renter	1980s	0.451623	0.451623	0.0967542	0	25	4889.52	9.33095e-06
300-400%	Mobile Home	AR	Not Available	1980s	0	0	0	1	21	0	0
300-400%	Mobile Home	AR	Owner	1980s	0.417376	0.417376	0.165249	0	16	0	1.80269e-05
300-400%	Mobile Home	AR	Renter	1980s	0.451623	0.451623	0.0967542	0	25	0	4.63751e-06
400%+	Mobile Home	AR	Not Available	1980s	0	0	0	1	49	0	0
400%+	Mobile Home	AR	Owner	1980s	0.468138	0.468138	0.0637246	0	186	0	2.33149e-05
