Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=Day and Night Setup	Option=Day and Night Setup -1h	Option=Day and Night Setup -2h	Option=Day and Night Setup -3h	Option=Day and Night Setup -4h	Option=Day and Night Setup -5h	Option=Day and Night Setup +1h	Option=Day and Night Setup +2h	Option=Day and Night Setup +3h	Option=Day and Night Setup +4h	Option=Day and Night Setup +5h	Option=Day Setup	Option=Day Setup -1h	Option=Day Setup -2h	Option=Day Setup -3h	Option=Day Setup -4h	Option=Day Setup -5h	Option=Day Setup +1h	Option=Day Setup +2h	Option=Day Setup +3h	Option=Day Setup +4h	Option=Day Setup +5h	Option=Day Setup and Night Setback	Option=Day Setup and Night Setback -1h	Option=Day Setup and Night Setback -2h	Option=Day Setup and Night Setback -3h	Option=Day Setup and Night Setback -4h	Option=Day Setup and Night Setback -5h	Option=Day Setup and Night Setback +1h	Option=Day Setup and Night Setback +2h	Option=Day Setup and Night Setback +3h	Option=Day Setup and Night Setback +4h	Option=Day Setup and Night Setback +5h	Option=Night Setback	Option=Night Setback -1h	Option=Night Setback -2h	Option=Night Setback -3h	Option=Night Setback -4h	Option=Night Setback -5h	Option=Night Setback +1h	Option=Night Setback +2h	Option=Night Setback +3h	Option=Night Setback +4h	Option=Night Setback +5h	Option=Night Setup	Option=Night Setup -1h	Option=Night Setup -2h	Option=Night Setup -3h	Option=Night Setup -4h	Option=Night Setup -5h	Option=Night Setup +1h	Option=Night Setup +2h	Option=Night Setup +3h	Option=Night Setup +4h	Option=Night Setup +5h	Option=None	source_count	source_weight	sampling_probability
2A	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	64	741497	0.00691997
2A	Yes	Mobile Home	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00120446	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.00465122	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0110312	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.0690465	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0.00497577	0	44	474877	0.00443176
2A	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	545200	0.00485126
2A	Yes	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0653384	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0.0255707	0	22	243481	0.00216652
2A	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	101	1.47885e+06	0.0132314
2A	Yes	Multi-Family with 5+ Units	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00129991	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00355328	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.00378737	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.074924	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0.00734455	0	69	999151	0.00893949
2A	No	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55	367801	0.00294139
2A	Yes	Single-Family Attached	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.00209533	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0117426	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0127812	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0535939	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0.0106961	0	38	204957	0.0016391
2A	No	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	569	5.40196e+06	0.0406715
2A	Yes	Single-Family Detached	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00033037	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00497811	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.00389771	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.0718865	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0.00981636	0	445	4.0035e+06	0.0301425
2B	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	169122	0.00130846
2B	Yes	Mobile Home	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00134007	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.00313571	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0030821	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0655369	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0.0178143	0	168	57983.2	0.000448604
2B	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	114872	0.000737584
2B	Yes	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0.00888823	0	0	0	0	0	0	0	0	0	0	0	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0708908	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0.0111301	0	31	38688.1	0.000248413
2B	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	169246	0.00145779
2B	Yes	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0.00703754	0	0	0	0	0	0	0	0	0	0	0	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0708297	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0.0130419	0	27	225236	0.00194005
2B	No	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	63238.1	0.000591926
2B	Yes	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0.00454731	0	0	0	0	0	0	0	0	0	0	0	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0711236	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0.0152382	0	17	43242.9	0.000404765
2B	No	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	165	898542	0.00696345
2B	Yes	Single-Family Detached	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.00152639	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.0033016	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.00351062	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0654932	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0.0170773	0	143	728071	0.00564234
3A	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	131	1.03091e+06	0.00985
3A	Yes	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0.00686649	0	0	0	0	0	0	0	0	0	0	0	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0601155	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0.0239271	0	63	480669	0.00459262
3A	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	68	527529	0.00471173
3A	Yes	Multi-Family with 2 - 4 Units	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0.00314786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0613409	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0.0264203	0	27	226613	0.00202404
3A	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	130	1.46855e+06	0.0127129
3A	Yes	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.0024292	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.00885146	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0637362	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0.0158922	0	64	777526	0.00673086
3A	No	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	89	406200	0.00218109
3A	Yes	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00304792	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.00312373	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0698138	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0.0149236	0	60	276623	0.00148533
3A	No	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	965	6.82643e+06	0.0563462
3A	Yes	Single-Family Detached	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00107352	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00448704	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.00385951	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0649514	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0.0165376	0	563	3.92713e+06	0.0324151
3B	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	338016	0.00277145
3B	Yes	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0644457	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0.0264634	0	20	198725	0.00162938
3B	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40	567185	0.00428385
3B	Yes	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00716969	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.00286998	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.037414	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0.0434554	0	24	346082	0.00261389
3B	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	110	1.55363e+06	0.0121645
3B	Yes	Multi-Family with 5+ Units	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.0021897	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.00215523	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.000648535	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0560975	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0.0298181	0	80	1.13431e+06	0.00888137
3B	No	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	70	456403	0.0032658
3B	Yes	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.00544116	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0587907	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0.0266773	0	51	326813	0.00233852
3B	No	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	404	3.92932e+06	0.0313543
3B	Yes	Single-Family Detached	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00100076	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.00229875	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.000526649	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.058535	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0.028548	0	313	2.95871e+06	0.0236093
3C	No	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	159	45005.4	0.000489665
3C	Yes	Mobile Home	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0.00164157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0569783	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0.0322892	0	61	8690.89	0.000189243
3C	No	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	227852	0.00187384
3C	Yes	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0.00753509	0	0	0	0	0	0	0	0	0	0	0	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0.083374	0	0	0	0	0	0	0	0	0	0	0	0	10	48390.8	0.000397962
3C	No	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43	602287	0.00508372
