Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electricity	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	Electricity	DC	Not Available	0	0	0	0	1	9.96358	4.7619e-18	0
0-100%	Mobile Home	Electricity	DC	Owner	0.029481	0	0.970519	0	0	6.47633	4.7619e-18	0
0-100%	Mobile Home	Electricity	DC	Renter	0.0808943	0	0.919106	0	0	3.48725	4.7619e-18	0
0-100%	Mobile Home	Electricity	DE	Not Available	0	0	0	0	1	15.6934	1013.66	0
0-100%	Mobile Home	Electricity	DE	Owner	0.0355364	0	0.964464	0	0	4.06455	160.937	4.74877e-06
0-100%	Mobile Home	Electricity	DE	Renter	0.0964604	0	0.90354	0	0	3.30408	366.796	2.75647e-06
0-100%	Mobile Home	Electricity	FL	Not Available	0	0	0	0	1	0.914609	17255.3	0
0-100%	Mobile Home	Electricity	FL	Owner	0.0333385	0	0.966661	0	0	2.2016	6248.95	0.000527237
0-100%	Mobile Home	Electricity	FL	Renter	0.0908495	0	0.909151	0	0	0.784451	2736.23	0.000326878
0-100%	Mobile Home	Electricity	GA	Not Available	0	0	0	0	1	0.742491	21584.8	0
0-100%	Mobile Home	Electricity	GA	Owner	0.0422388	0	0.957761	0	0	1.8183	8090.59	0.000200594
0-100%	Mobile Home	Electricity	GA	Renter	0.113304	0	0.886696	0	0	0.620124	3245.59	0.000201768
0-100%	Mobile Home	Electricity	IA	Not Available	0	0	0	0	1	1.64545	316.393	0
0-100%	Mobile Home	Electricity	IA	Owner	0	0	1	0	0	1.27979	316.393	5.6965e-06
0-100%	Mobile Home	Electricity	IA	Renter	0	0	1	0	0	1.09333e-20	6.69509e-39	2.92529e-06
0-100%	Mobile Home	Electricity	ID	Not Available	0	0	0	0	1	0.764784	2572.01	0
0-100%	Mobile Home	Electricity	ID	Owner	0.104478	0	0.895522	0	0	0.968879	1428.36	2.26079e-05
0-100%	Mobile Home	Electricity	ID	Renter	0	0	1	0	0	0.194855	166.963	1.54183e-05
0-100%	Mobile Home	Electricity	IL	Not Available	0	0	0	0	1	0.0576345	146.982	0
0-100%	Mobile Home	Electricity	IL	Owner	0	0	1	0	0	4.62107e-22	1.89636e-38	2.60604e-05
0-100%	Mobile Home	Electricity	IL	Renter	0	0	1	0	0	0.210196	146.982	1.73174e-05
0-100%	Mobile Home	Electricity	IN	Not Available	0	0	0	0	1	0.75377	770.417	0
0-100%	Mobile Home	Electricity	IN	Owner	0	0	1	0	0	0.532073	770.417	3.51736e-05
0-100%	Mobile Home	Electricity	IN	Renter	0	0	1	0	0	1.37491e-20	1.92713e-38	2.63733e-05
0-100%	Mobile Home	Electricity	KS	Not Available	0	0	0	0	1	0.640449	138.662	0
0-100%	Mobile Home	Electricity	KS	Owner	0	0	1	0	0	0.498127	138.662	5.94762e-06
0-100%	Mobile Home	Electricity	KS	Renter	0	0	1	0	0	1.14938e-20	2.1405e-38	4.50191e-06
0-100%	Mobile Home	Electricity	KY	Not Available	0	0	0	0	1	2.70508	2149.93	0
0-100%	Mobile Home	Electricity	KY	Owner	0	0	1	0	0	1.43127	1456.4	0.000168961
0-100%	Mobile Home	Electricity	KY	Renter	0	0	1	0	0	0.170949	67.3152	0.000120616
0-100%	Mobile Home	Electricity	LA	Not Available	0	0	0	0	1	2.2346	15750.1	0
0-100%	Mobile Home	Electricity	LA	Owner	0	0	1	0	0	1.28907	8664.13	0.000203559
0-100%	Mobile Home	Electricity	LA	Renter	0	0	1	0	0	0.513089	1050.93	0.000134954
0-100%	Mobile Home	Electricity	MA	Not Available	0	0	0	0	1	2.05783	154.567	0
0-100%	Mobile Home	Electricity	MA	Owner	0	0	1	0	0	1.78346	154.567	1.54261e-06
0-100%	Mobile Home	Electricity	MA	Renter	0	0	1	0	0	5.28333e-20	1.01885e-37	5.60451e-07
0-100%	Mobile Home	Electricity	MD	Not Available	0	0	0	0	1	20.7889	1702.63	0
0-100%	Mobile Home	Electricity	MD	Owner	0.026242	0	0.973758	0	0	8.50686	674.789	7.34859e-06
0-100%	Mobile Home	Electricity	MD	Renter	0.0724282	0	0.927572	0	0	2.69551	233.67	4.22162e-06
0-100%	Mobile Home	Electricity	ME	Not Available	0	0	0	0	1	1.51108	7.90944e-19	0
0-100%	Mobile Home	Electricity	ME	Owner	0	0	1	0	0	1.30961	7.90944e-19	1.29286e-06
0-100%	Mobile Home	Electricity	ME	Renter	0	0	1	0	0	2.55746e-20	2.26561e-58	5.69083e-07
0-100%	Mobile Home	Electricity	MI	Not Available	0	0	0	0	1	0.259893	1131.96	0
0-100%	Mobile Home	Electricity	MI	Owner	0	0	1	0	0	0.101835	348.795	9.62824e-06
0-100%	Mobile Home	Electricity	MI	Renter	0	0	1	0	0	0.421698	224.058	4.70677e-06
0-100%	Mobile Home	Electricity	MN	Not Available	0	0	0	0	1	1.11363	561.682	0
0-100%	Mobile Home	Electricity	MN	Owner	0	0	1	0	0	0.86616	561.682	3.56175e-06
0-100%	Mobile Home	Electricity	MN	Renter	0	0	1	0	0	7.47841e-21	1.21401e-38	1.35055e-06
0-100%	Mobile Home	Electricity	MO	Not Available	0	0	0	0	1	0.509156	10380.4	0
0-100%	Mobile Home	Electricity	MO	Owner	0	0	1	0	0	0.635451	3666.4	7.29668e-05
0-100%	Mobile Home	Electricity	MO	Renter	0	0	1	0	0	0.805586	1708.48	4.81146e-05
0-100%	Mobile Home	Electricity	MS	Not Available	0	0	0	0	1	1.32694	12885.5	0
0-100%	Mobile Home	Electricity	MS	Owner	0.0814693	0	0.918531	0	0	0.754362	7037.94	0.00012078
0-100%	Mobile Home	Electricity	MS	Renter	0	0	1	0	0	0.532718	877.447	7.14256e-05
0-100%	Mobile Home	Electricity	MT	Not Available	0	0	0	0	1	2.67722	557.092	0
0-100%	Mobile Home	Electricity	MT	Owner	0.219539	0	0.780461	0	0	0.285367	15.966	8.98657e-06
0-100%	Mobile Home	Electricity	MT	Renter	0	0	1	0	0	0.8237	384.436	4.6461e-06
0-100%	Mobile Home	Electricity	NC	Not Available	0	0	0	0	1	1.50333	26103.1	0
0-100%	Mobile Home	Electricity	NC	Owner	0.0254151	0	0.974585	0	0	3.47319	10099.2	0.000314106
0-100%	Mobile Home	Electricity	NC	Renter	0.0702509	0	0.929749	0	0	1.13649	3729.5	0.000324322
0-100%	Mobile Home	Electricity	ND	Not Available	0	0	0	0	1	0.701632	76.1587	0
0-100%	Mobile Home	Electricity	ND	Owner	0	0	1	0	0	0.545714	76.1587	1.72848e-06
0-100%	Mobile Home	Electricity	ND	Renter	0	0	1	0	0	2.63897e-20	5.16378e-38	9.9171e-07
0-100%	Mobile Home	Electricity	NE	Not Available	0	0	0	0	1	1.46855	1.03524e-17	0
0-100%	Mobile Home	Electricity	NE	Owner	0	0	1	0	0	1.40993e-20	1.57744e-57	3.07495e-06
0-100%	Mobile Home	Electricity	NE	Renter	0	0	1	0	0	2.12124	1.03524e-17	1.8518e-06
0-100%	Mobile Home	Electricity	NH	Not Available	0	0	0	0	1	2.12325	5.80763e-18	0
0-100%	Mobile Home	Electricity	NH	Owner	0	0	1	0	0	1.84015	5.80763e-18	4.82351e-07
0-100%	Mobile Home	Electricity	NH	Renter	0	0	1	0	0	2.11285e-20	5.75088e-58	1.95067e-07
0-100%	Mobile Home	Electricity	NJ	Not Available	0	0	0	0	1	6.79204	550.467	0
0-100%	Mobile Home	Electricity	NJ	Owner	0	0	1	0	0	3.33668	271.122	1.59689e-06
0-100%	Mobile Home	Electricity	NJ	Renter	0	0	1	0	0	3.94944	48.9477	6.06077e-07
0-100%	Mobile Home	Electricity	NM	Not Available	0	0	0	0	1	2.03346	2261.1	0
0-100%	Mobile Home	Electricity	NM	Owner	0.0415269	0	0.958473	0	0	2.16553	982.707	2.53536e-05
0-100%	Mobile Home	Electricity	NM	Renter	0	0	1	0	0	1.43909	262.531	1.80687e-05
0-100%	Mobile Home	Electricity	NV	Not Available	0	0	0	0	1	2.85999	664.116	0
0-100%	Mobile Home	Electricity	NV	Owner	0.0256336	0	0.974366	0	0	2.14499	664.116	1.30945e-05
0-100%	Mobile Home	Electricity	NV	Renter	0	0.0204147	0.979585	0	0	1.66e-20	2.40613e-38	1.04332e-05
0-100%	Mobile Home	Electricity	NY	Not Available	0	0	0	0	1	2.38621	986.845	0
0-100%	Mobile Home	Electricity	NY	Owner	0	0	1	0	0	2.1323	486.473	6.02279e-06
0-100%	Mobile Home	Electricity	NY	Renter	0	0	1	0	0	2.52021	87.5714	3.79583e-06
0-100%	Mobile Home	Electricity	OH	Not Available	0	0	0	0	1	0.222956	3356.87	0
0-100%	Mobile Home	Electricity	OH	Owner	0	0	1	0	0	0.128487	2237.46	5.31115e-05
0-100%	Mobile Home	Electricity	OH	Renter	0	0	1	0	0	0.14928	113.14	3.6086e-05
0-100%	Mobile Home	Electricity	OK	Not Available	0	0	0	0	1	14.6905	2429.12	0
0-100%	Mobile Home	Electricity	OK	Owner	0.0238607	0	0.976139	0	0	5.9627	900.42	5.58235e-05
0-100%	Mobile Home	Electricity	OK	Renter	0	0	1	0	0	1.91548	371.684	3.64821e-05
0-100%	Mobile Home	Electricity	OR	Not Available	0	0	0	0	1	1.00613	1762.09	0
0-100%	Mobile Home	Electricity	OR	Owner	0	0	1	0	0	0.868928	1762.09	7.81297e-05
0-100%	Mobile Home	Electricity	OR	Renter	0	0	1	0	0	8.17061e-21	2.08003e-38	3.45715e-05
0-100%	Mobile Home	Electricity	PA	Not Available	0	0	0	0	1	6.87764	4014.26	0
0-100%	Mobile Home	Electricity	PA	Owner	0	0	1	0	0	3.14696	1715.19	2.33533e-05
0-100%	Mobile Home	Electricity	PA	Renter	0	0	1	0	0	4.64487	481.508	1.29877e-05
0-100%	Mobile Home	Electricity	RI	Not Available	0	0	0	0	1	1.96214	1.05254e-18	0
0-100%	Mobile Home	Electricity	RI	Owner	0.0164931	0	0.983507	0	0	1.70052	1.05254e-18	1.97338e-07
0-100%	Mobile Home	Electricity	RI	Renter	0.0164931	0	0.983507	0	0	2.11831e-19	1.22676e-56	9.03251e-08
0-100%	Mobile Home	Electricity	SC	Not Available	0	0	0	0	1	1.36503	15668.9	0
0-100%	Mobile Home	Electricity	SC	Owner	0	0	1	0	0	0.732091	8380.68	0.00023389
0-100%	Mobile Home	Electricity	SC	Renter	0	0	1	0	0	0.68456	1130.94	0.000204177
0-100%	Mobile Home	Electricity	SD	Not Available	0	0	0	0	1	1.11486	143.317	0
0-100%	Mobile Home	Electricity	SD	Owner	0	0	1	0	0	0.328843	20.6122	3.61234e-06
0-100%	Mobile Home	Electricity	SD	Renter	0	0	1	0	0	0.999644	55.2263	1.75281e-06
0-100%	Mobile Home	Electricity	TN	Not Available	0	0	0	0	1	2.02116	11595.8	0
0-100%	Mobile Home	Electricity	TN	Owner	0.039686	0	0.960314	0	0	1.81484	2337.31	0.000164455
0-100%	Mobile Home	Electricity	TN	Renter	0	0	1	0	0	0.618744	3521.01	0.000140507
0-100%	Mobile Home	Electricity	TX	Not Available	0	0	0	0	1	1.76189	22498	0
0-100%	Mobile Home	Electricity	TX	Owner	0.0112569	0	0.988743	0	0	0.91827	12264.8	0.00042472
0-100%	Mobile Home	Electricity	TX	Renter	0	0	1	0	0	0.433892	1540.31	0.000292897
0-100%	Mobile Home	Electricity	UT	Not Available	0	0	0	0	1	1.03328	247.185	0
0-100%	Mobile Home	Electricity	UT	Owner	0.100946	0	0.899054	0	0	0.650583	247.185	4.40266e-06
0-100%	Mobile Home	Electricity	UT	Renter	0	0	1	0	0	5.91183e-21	5.89872e-38	3.30349e-06
0-100%	Mobile Home	Electricity	VA	Not Available	0	0	0	0	1	0.576231	11707.5	0
0-100%	Mobile Home	Electricity	VA	Owner	0.0272055	0	0.972794	0	0	1.81849	4312.08	9.95977e-05
0-100%	Mobile Home	Electricity	VA	Renter	0.074957	0	0.925043	0	0	0.634261	1809.23	8.49729e-05
0-100%	Mobile Home	Electricity	VT	Not Available	0	0	0	0	1	3.68634	3.809e-18	0
0-100%	Mobile Home	Electricity	VT	Owner	0	0	1	0	0	1.95432	1.4253e-18	2.54177e-07
0-100%	Mobile Home	Electricity	VT	Renter	0	0	1	0	0	1.43136	5.74268e-19	5.359e-08
0-100%	Mobile Home	Electricity	WA	Not Available	0	0	0	0	1	0.958362	3917.95	0
0-100%	Mobile Home	Electricity	WA	Owner	0	0	1	0	0	0.709183	2876.44	9.4964e-05
0-100%	Mobile Home	Electricity	WA	Renter	0.0290951	0	0.970905	0	0	0.324298	80.302	6.2278e-05
0-100%	Mobile Home	Electricity	WI	Not Available	0	0	0	0	1	9.8541e-22	8.62578e-39	0
0-100%	Mobile Home	Electricity	WI	Owner	0	0	1	0	0	6.95584e-22	8.62578e-39	3.76874e-06
0-100%	Mobile Home	Electricity	WI	Renter	0	0	1	0	0	3.59385e-21	8.62578e-39	1.53452e-06
0-100%	Mobile Home	Electricity	WV	Not Available	0	0	0	0	1	3.29115	3453.29	0
0-100%	Mobile Home	Electricity	WV	Owner	0	0	1	0	0	1.34569	1366.48	7.15742e-05
0-100%	Mobile Home	Electricity	WV	Renter	0	0	1	0	0	0.427298	475.186	5.22722e-05
0-100%	Mobile Home	Electricity	WY	Not Available	0	0	0	0	1	1.88675	60.474	0
0-100%	Mobile Home	Electricity	WY	Owner	0.13666	0	0.86334	0	0	0.638132	17.4497	1.70894e-06
0-100%	Mobile Home	Electricity	WY	Renter	0	0	1	0	0	0.323426	12.9543	1.21318e-06
0-100%	Mobile Home	Fuel Oil	AL	Not Available	0	0	0	0	1	1.08488	1.04696e-17	0
0-100%	Mobile Home	Fuel Oil	AL	Owner	0	0	1	0	0	0.472785	4.20678e-18	9.28614e-07
0-100%	Mobile Home	Fuel Oil	AL	Renter	0	0	1	0	0	0.496488	1.40335e-18	6.30335e-07
0-100%	Mobile Home	Fuel Oil	AR	Not Available	0	0	0	0	1	10.9871	4.65553e-18	0
0-100%	Mobile Home	Fuel Oil	AR	Owner	0.0105857	0	0.966143	0.0232714	0	1.50672	1.96992e-19	3.45825e-07
0-100%	Mobile Home	Fuel Oil	AR	Renter	0	0	0.976634	0.0233661	0	2.90901	2.93721e-18	1.58023e-07
0-100%	Mobile Home	Fuel Oil	AZ	Not Available	0	0	0	0	1	0.434107	4.86884e-18	0
0-100%	Mobile Home	Fuel Oil	AZ	Owner	0	0	1	0	0	0.538774	2.44889e-18	6.69067e-07
0-100%	Mobile Home	Fuel Oil	AZ	Renter	0	0	1	0	0	0.284032	4.11719e-19	3.26718e-07
0-100%	Mobile Home	Fuel Oil	CA	Not Available	0	0	0	0	1	0.202413	2.78865e-18	0
0-100%	Mobile Home	Fuel Oil	CA	Owner	0	0	1	0	0	0.287423	1.55759e-18	4.14389e-06
0-100%	Mobile Home	Fuel Oil	CA	Renter	0.246243	0	0.753757	0	0	0.265917	1.77992e-19	3.05925e-06
0-100%	Mobile Home	Fuel Oil	CO	Not Available	0	0	0	0	1	1.25287	2.37019e-18	0
0-100%	Mobile Home	Fuel Oil	CO	Owner	0	0	1	0	0	0.604736	1.39293e-18	7.78617e-08
0-100%	Mobile Home	Fuel Oil	CO	Renter	0	0	1	0	0	0.1083	1.29108e-19	3.81829e-08
0-100%	Mobile Home	Fuel Oil	CT	Not Available	0	0	0	0	1	1.07311e-20	1.16069e-57	0
0-100%	Mobile Home	Fuel Oil	CT	Owner	0	0	1	0	0	9.30025e-21	1.16069e-57	3.39921e-06
0-100%	Mobile Home	Fuel Oil	CT	Renter	0	0	1	0	0	1.07311e-20	1.16069e-57	1.2467e-06
0-100%	Mobile Home	Fuel Oil	DC	Not Available	0	0	0	0	1	1.51493	4.7619e-18	0
0-100%	Mobile Home	Fuel Oil	DC	Owner	0	0	1	0	0	0.984705	4.7619e-18	0
0-100%	Mobile Home	Fuel Oil	DC	Renter	0	0	1	0	0	0.530226	4.7619e-18	0
0-100%	Mobile Home	Fuel Oil	DE	Not Available	0	0	0	0	1	2.38613	109.508	0
0-100%	Mobile Home	Fuel Oil	DE	Owner	0	0	1	0	0	0.618001	17.3864	4.22477e-06
0-100%	Mobile Home	Fuel Oil	DE	Renter	0	0	1	0	0	0.502375	39.6258	2.60907e-06
0-100%	Mobile Home	Fuel Oil	FL	Not Available	0	0	0	0	1	0.699407	3.38985e-18	0
0-100%	Mobile Home	Fuel Oil	FL	Owner	0	0	1	0	0	1.68358	1.22762e-18	1.14929e-06
0-100%	Mobile Home	Fuel Oil	FL	Renter	0	0	1	0	0	0.599875	5.37541e-19	7.64946e-07
0-100%	Mobile Home	Fuel Oil	GA	Not Available	0	0	0	0	1	1.20655	1208.94	0
0-100%	Mobile Home	Fuel Oil	GA	Owner	0	0	1	0	0	2.95474	453.143	1.5665e-06
0-100%	Mobile Home	Fuel Oil	GA	Renter	0	0	1	0	0	1.0077	181.782	1.58673e-06
0-100%	Mobile Home	Fuel Oil	IA	Not Available	0	0	0	0	1	1.72772	7.02176e-18	0
0-100%	Mobile Home	Fuel Oil	IA	Owner	0	0.0431002	0.9569	0	0	1.34378	7.02176e-18	5.78959e-08
0-100%	Mobile Home	Fuel Oil	IA	Renter	0	0	1	0	0	1.14799e-20	1.48585e-58	3.17568e-08
0-100%	Mobile Home	Fuel Oil	ID	Not Available	0	0	0	0	1	1.01971	9.24115e-18	0
0-100%	Mobile Home	Fuel Oil	ID	Owner	0	0	1	0	0	1.29184	5.13203e-18	4.64582e-07
0-100%	Mobile Home	Fuel Oil	ID	Renter	0	0	1	0	0	0.259807	5.99892e-19	2.60764e-07
0-100%	Mobile Home	Fuel Oil	IL	Not Available	0	0	0	0	1	0.0576345	3.92812e-19	0
0-100%	Mobile Home	Fuel Oil	IL	Owner	0	0	1	0	0	4.62107e-22	5.06805e-59	2.43514e-07
0-100%	Mobile Home	Fuel Oil	IL	Renter	0	0	1	0	0	0.210196	3.92812e-19	1.07182e-07
0-100%	Mobile Home	Fuel Oil	IN	Not Available	0	0	0	0	1	0.75377	2.78544e-18	0
0-100%	Mobile Home	Fuel Oil	IN	Owner	0	0	1	0	0	0.532073	2.78544e-18	7.02851e-07
0-100%	Mobile Home	Fuel Oil	IN	Renter	0	0	1	0	0	1.37491e-20	6.96754e-59	4.91207e-07
0-100%	Mobile Home	Fuel Oil	KS	Not Available	0	0	0	0	1	0.672471	1.72281e-18	0
0-100%	Mobile Home	Fuel Oil	KS	Owner	0	0.0618665	0.938133	0	0	0.523033	1.72281e-18	7.63015e-08
0-100%	Mobile Home	Fuel Oil	KS	Renter	0	0	1	0	0	1.20685e-20	2.65946e-58	1.08433e-07
0-100%	Mobile Home	Fuel Oil	KY	Not Available	0	0	0	0	1	1.44915	1.95931e-18	0
0-100%	Mobile Home	Fuel Oil	KY	Owner	0	0	1	0	0	0.766754	1.32727e-18	5.24628e-06
0-100%	Mobile Home	Fuel Oil	KY	Renter	0	0	1	0	0	0.0915799	6.13468e-20	3.54811e-06
0-100%	Mobile Home	Fuel Oil	LA	Not Available	0	0	0	0	1	4.4692	7.33505e-18	0
0-100%	Mobile Home	Fuel Oil	LA	Owner	0	0	0.976672	0.0233277	0	2.57814	4.03501e-18	3.49216e-07
0-100%	Mobile Home	Fuel Oil	LA	Renter	0	0	0.976672	0.0233277	0	1.02618	4.89435e-19	2.42526e-07
0-100%	Mobile Home	Fuel Oil	MA	Not Available	0	0	0	0	1	0.685944	81.0042	0
0-100%	Mobile Home	Fuel Oil	MA	Owner	0	0	1	0	0	0.594485	81.0042	5.49572e-06
0-100%	Mobile Home	Fuel Oil	MA	Renter	0	0	1	0	0	1.76111e-20	5.33953e-38	1.96351e-06
0-100%	Mobile Home	Fuel Oil	MD	Not Available	0	0	0	0	1	3.16089	1.67508e-17	0
0-100%	Mobile Home	Fuel Oil	MD	Owner	0	0	1	0	0	1.29344	6.6387e-18	6.84802e-06
0-100%	Mobile Home	Fuel Oil	MD	Renter	0	0	1	0	0	0.409844	2.29888e-18	3.97853e-06
0-100%	Mobile Home	Fuel Oil	ME	Not Available	0	0	0	0	1	0.503695	188.579	0
0-100%	Mobile Home	Fuel Oil	ME	Owner	0	0	1	0	0	0.436535	188.579	3.25109e-05
0-100%	Mobile Home	Fuel Oil	ME	Renter	0	0	1	0	0	8.52486e-21	5.40174e-38	1.4459e-05
0-100%	Mobile Home	Fuel Oil	MI	Not Available	0	0	0	0	1	0.259893	4.73803e-18	0
0-100%	Mobile Home	Fuel Oil	MI	Owner	0	0	1	0	0	0.101835	1.45995e-18	1.80785e-06
0-100%	Mobile Home	Fuel Oil	MI	Renter	0	0	1	0	0	0.421698	9.37836e-19	8.76388e-07
0-100%	Mobile Home	Fuel Oil	MN	Not Available	0	0	0	0	1	1.16932	8.02504e-18	0
0-100%	Mobile Home	Fuel Oil	MN	Owner	0	0.0563643	0.943636	0	0	0.909468	8.02504e-18	1.67658e-06
0-100%	Mobile Home	Fuel Oil	MN	Renter	0	0	1	0	0	7.85233e-21	1.73452e-58	4.56134e-07
0-100%	Mobile Home	Fuel Oil	MO	Not Available	0	0	0	0	1	0.822483	8.79609e-18	0
0-100%	Mobile Home	Fuel Oil	MO	Owner	0	0.0584727	0.941527	0	0	1.0265	3.1068e-18	4.98805e-07
0-100%	Mobile Home	Fuel Oil	MO	Renter	0	0	1	0	0	1.30133	1.44771e-18	3.24508e-07
0-100%	Mobile Home	Fuel Oil	MS	Not Available	0	0	0	0	1	0.995203	707.272	0
0-100%	Mobile Home	Fuel Oil	MS	Owner	0	0	1	0	0	0.565771	386.307	6.9495e-07
0-100%	Mobile Home	Fuel Oil	MS	Renter	0	0	1	0	0	0.399539	48.1624	4.89146e-07
0-100%	Mobile Home	Fuel Oil	MT	Not Available	0	0	0	0	1	1.5865	3.84588e-18	0
0-100%	Mobile Home	Fuel Oil	MT	Owner	0	0	1	0	0	0.169107	1.10221e-19	4.79654e-07
0-100%	Mobile Home	Fuel Oil	MT	Renter	0	0	1	0	0	0.488119	2.65395e-18	3.09082e-07
0-100%	Mobile Home	Fuel Oil	NC	Not Available	0	0	0	0	1	1.0286	6.5894e-18	0
0-100%	Mobile Home	Fuel Oil	NC	Owner	0	0	1	0	0	2.37639	2.54942e-18	2.03803e-05
0-100%	Mobile Home	Fuel Oil	NC	Renter	0	0	1	0	0	0.777596	9.41465e-19	1.82068e-05
0-100%	Mobile Home	Fuel Oil	ND	Not Available	0	0	0	0	1	0.736714	2.71008e-18	0
0-100%	Mobile Home	Fuel Oil	ND	Owner	0	0.186895	0.813105	0	0	0.572999	2.71008e-18	9.86685e-08
0-100%	Mobile Home	Fuel Oil	ND	Renter	0	0	1	0	0	2.77092e-20	1.83751e-57	4.97564e-08
0-100%	Mobile Home	Fuel Oil	NE	Not Available	0	0	0	0	1	1.54197	1.03524e-17	0
0-100%	Mobile Home	Fuel Oil	NE	Owner	0	0.0950567	0.904943	0	0	1.48043e-20	1.57744e-57	4.43336e-08
0-100%	Mobile Home	Fuel Oil	NE	Renter	0	0	1	0	0	2.2273	1.03524e-17	2.61668e-08
0-100%	Mobile Home	Fuel Oil	NH	Not Available	0	0	0	0	1	0.707751	997.843	0
0-100%	Mobile Home	Fuel Oil	NH	Owner	0	0	1	0	0	0.613384	997.843	1.15398e-05
0-100%	Mobile Home	Fuel Oil	NH	Renter	0	0	1	0	0	7.04285e-21	9.88094e-38	4.45904e-06
0-100%	Mobile Home	Fuel Oil	NJ	Not Available	0	0	0	0	1	0.353752	2.9768e-18	0
0-100%	Mobile Home	Fuel Oil	NJ	Owner	0	0	1	0	0	0.173786	1.46617e-18	6.37243e-06
0-100%	Mobile Home	Fuel Oil	NJ	Renter	0	0	1	0	0	0.2057	2.64698e-19	2.36587e-06
0-100%	Mobile Home	Fuel Oil	NM	Not Available	0	0	0	0	1	0.79886	8.16534e-18	0
0-100%	Mobile Home	Fuel Oil	NM	Owner	0	0	1	0	0	0.850745	3.54878e-18	4.91158e-07
0-100%	Mobile Home	Fuel Oil	NM	Renter	0	0	1	0	0	0.565356	9.48061e-19	3.00584e-07
0-100%	Mobile Home	Fuel Oil	NV	Not Available	0	0	0	0	1	1.12357	2.04783e-18	0
0-100%	Mobile Home	Fuel Oil	NV	Owner	0	0	1	0	0	0.842676	2.04783e-18	3.5162e-07
0-100%	Mobile Home	Fuel Oil	NV	Renter	0	0.0198617	0.980138	0	0	6.52142e-21	7.41939e-59	2.93807e-07
0-100%	Mobile Home	Fuel Oil	NY	Not Available	0	0	0	0	1	0.124282	2877.06	0
0-100%	Mobile Home	Fuel Oil	NY	Owner	0	0	1	0	0	0.111057	1418.27	3.8676e-05
0-100%	Mobile Home	Fuel Oil	NY	Renter	0	0	1	0	0	0.131261	255.306	2.27627e-05
0-100%	Mobile Home	Fuel Oil	OH	Not Available	0	0	0	0	1	0.222956	5.9846e-18	0
0-100%	Mobile Home	Fuel Oil	OH	Owner	0	0	1	0	0	0.128487	3.98892e-18	7.11955e-06
0-100%	Mobile Home	Fuel Oil	OH	Renter	0	0	1	0	0	0.14928	2.01705e-19	4.46047e-06
0-100%	Mobile Home	Fuel Oil	OK	Not Available	0	0	0	0	1	10.0817	3.78697e-18	0
0-100%	Mobile Home	Fuel Oil	OK	Owner	0.0188872	0	0.957826	0.0232865	0	4.09205	1.40374e-18	7.89494e-07
0-100%	Mobile Home	Fuel Oil	OK	Renter	0	0	0.976421	0.0235791	0	1.31454	5.7945e-19	4.67383e-07
0-100%	Mobile Home	Fuel Oil	OR	Not Available	0	0	0	0	1	0.670752	91.5945	0
