Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Cooling Setpoint Has Offset	Dependency=Geometry Building Type RECS	Option=0F	Option=2F	Option=5F	Option=9F	source_count	source_weight	sampling_probability
3A	No	Mobile Home	1	0	0	0	131	1.03091e+06	0.00987277
3A	Yes	Mobile Home	0	0.537886	0.269843	0.192271	63	480669	0.00460324
3A	No	Multi-Family with 2 - 4 Units	1	0	0	0	70	543615	0.00486662
3A	Yes	Multi-Family with 2 - 4 Units	0	0.598732	0.250267	0.151001	25	210527	0.00188471
3A	No	Multi-Family with 5+ Units	1	0	0	0	132	1.49051e+06	0.0129328
3A	Yes	Multi-Family with 5+ Units	0	0.56713	0.369253	0.0636166	62	755565	0.00655588
3A	No	Single-Family Attached	1	0	0	0	90	409923	0.00220616
3A	Yes	Single-Family Attached	0	0.709419	0.232811	0.0577702	59	272901	0.00146873
3A	No	Single-Family Detached	1	0	0	0	975	6.88849e+06	0.05699
3A	Yes	Single-Family Detached	0	0.62389	0.261029	0.11508	553	3.86507e+06	0.0319765
3B	No	Mobile Home	1	0	0	0	32	338016	0.00277786
3B	Yes	Mobile Home	0	0.566617	0.107242	0.326141	20	198725	0.00163315
3B	No	Multi-Family with 2 - 4 Units	1	0	0	0	42	599558	0.00453882
3B	Yes	Multi-Family with 2 - 4 Units	0	0.352434	0.269396	0.37817	22	313709	0.00237486
3B	No	Multi-Family with 5+ Units	1	0	0	0	110	1.55363e+06	0.0121927
3B	Yes	Multi-Family with 5+ Units	0	0.345732	0.339575	0.314693	80	1.13431e+06	0.0089019
3B	No	Single-Family Attached	1	0	0	0	70	456403	0.00327335
3B	Yes	Single-Family Attached	0	0.512892	0.232115	0.254993	51	326813	0.00234392
3B	No	Single-Family Detached	1	0	0	0	408	3.96363e+06	0.0317013
3B	Yes	Single-Family Detached	0	0.552265	0.29879	0.148945	309	2.92439e+06	0.0233893
3C	No	Mobile Home	1	0	0	0	159	45005.4	0.000490797
3C	Yes	Mobile Home	0	0.381436	0.447043	0.171521	61	8690.89	0.00018968
3C	No	Multi-Family with 2 - 4 Units	1	0	0	0	16	227852	0.00187817
3C	Yes	Multi-Family with 2 - 4 Units	0	0	0.370276	0.629724	10	48390.8	0.000398882
3C	No	Multi-Family with 5+ Units	1	0	0	0	43	602287	0.00509547
3C	Yes	Multi-Family with 5+ Units	0	0	0.370276	0.629724	10	93754.5	0.000793184
3C	No	Single-Family Attached	1	0	0	0	32	212687	0.0016959
3C	Yes	Single-Family Attached	0	0.381436	0.447043	0.171521	61	56420.6	0.000449881
3C	No	Single-Family Detached	1	0	0	0	122	1.24407e+06	0.00884374
3C	Yes	Single-Family Detached	0	0.38894	0.444592	0.166468	51	515282	0.00366298
4A	No	Mobile Home	1	0	0	0	152	1.04233e+06	0.0088131
4A	Yes	Mobile Home	0	0.512723	0.296141	0.191136	51	332992	0.00281551
4A	No	Multi-Family with 2 - 4 Units	1	0	0	0	176	1.53232e+06	0.0132102
4A	Yes	Multi-Family with 2 - 4 Units	0	0.488778	0.293477	0.217745	75	728872	0.0062836
4A	No	Multi-Family with 5+ Units	1	0	0	0	479	4.08619e+06	0.032048
4A	Yes	Multi-Family with 5+ Units	0	0.512158	0.295452	0.19239	210	1.74261e+06	0.0136672
4A	No	Single-Family Attached	1	0	0	0	341	1.56088e+06	0.0134417
4A	Yes	Single-Family Attached	0	0.589306	0.280696	0.129997	165	731115	0.00629607
4A	No	Single-Family Detached	1	0	0	0	1652	9.92109e+06	0.0806721
4A	Yes	Single-Family Detached	0	0.645195	0.264917	0.0898885	794	4.74115e+06	0.0385521
4B	No	Mobile Home	1	0	0	0	71	48536.6	0.0004692
4B	Yes	Mobile Home	0	0.457763	0.307605	0.234633	57	48203.5	0.000465981
4B	No	Multi-Family with 2 - 4 Units	1	0	0	0	10	43410	0.000295619
4B	Yes	Multi-Family with 2 - 4 Units	0	0.422875	0.376458	0.200667	49	23838.5	0.000133473
4B	No	Multi-Family with 5+ Units	1	0	0	0	10	31222.6	0.000512664
4B	Yes	Multi-Family with 5+ Units	0	0.422875	0.376458	0.200667	49	9858.55	0.00023147
4B	No	Single-Family Attached	1	0	0	0	71	6120.61	0.000133622
4B	Yes	Single-Family Attached	0	0.457763	0.307605	0.234633	57	8786.38	0.000103783
4B	No	Single-Family Detached	1	0	0	0	61	372507	0.00310921
4B	Yes	Single-Family Detached	0	0.476759	0.30688	0.216361	48	274783	0.00229354
4C	No	Mobile Home	1	0	0	0	27	164208	0.000979715
4C	Yes	Mobile Home	0	0.346044	0.261749	0.392207	19	130561	0.000778965
4C	No	Multi-Family with 2 - 4 Units	1	0	0	0	18	168945	0.00154742
4C	Yes	Multi-Family with 2 - 4 Units	0	0.520138	0.30058	0.179282	27	31083.8	0.000284706
4C	No	Multi-Family with 5+ Units	1	0	0	0	84	704068	0.00476888
4C	Yes	Multi-Family with 5+ Units	0	0.577518	0.274984	0.147498	23	167968	0.0011377
4C	No	Single-Family Attached	1	0	0	0	24	92277	0.000909103
4C	Yes	Single-Family Attached	0	0.245811	0.438879	0.31531	10	36976.7	0.00036429
4C	No	Single-Family Detached	1	0	0	0	295	1.67845e+06	0.0127636
4C	Yes	Single-Family Detached	0	0.495593	0.338216	0.166191	129	701230	0.00533244
5A	No	Mobile Home	1	0	0	0	80	586692	0.00565622
5A	Yes	Mobile Home	0	0.516035	0.179156	0.30481	23	173396	0.00167168
5A	No	Multi-Family with 2 - 4 Units	1	0	0	0	193	2.08171e+06	0.0179539
5A	Yes	Multi-Family with 2 - 4 Units	0	0.46038	0.318419	0.221201	76	785103	0.00677118
5A	No	Multi-Family with 5+ Units	1	0	0	0	324	3.00486e+06	0.0239568
5A	Yes	Multi-Family with 5+ Units	0	0.550472	0.326234	0.123294	163	1.51005e+06	0.0120392
5A	No	Single-Family Attached	1	0	0	0	255	1.12738e+06	0.0087284
5A	Yes	Single-Family Attached	0	0.640752	0.276281	0.0829669	141	575969	0.00445926
5A	No	Single-Family Detached	1	0	0	0	1862	1.23107e+07	0.0984787
5A	Yes	Single-Family Detached	0	0.622225	0.271409	0.106366	897	5.77196e+06	0.0461725
5B	No	Mobile Home	1	0	0	0	48	224069	0.00214094
5B	Yes	Mobile Home	0	0.282825	0.502811	0.214364	17	68237.2	0.000651992
5B	No	Multi-Family with 2 - 4 Units	1	0	0	0	23	173411	0.00171499
5B	Yes	Multi-Family with 2 - 4 Units	0	0.446239	0.370802	0.182959	44	46248	0.000457381
5B	No	Multi-Family with 5+ Units	1	0	0	0	67	530938	0.00376542
5B	Yes	Multi-Family with 5+ Units	0	0.510525	0.361169	0.128306	40	321024	0.00227671
5B	No	Single-Family Attached	1	0	0	0	49	185305	0.00136088
5B	Yes	Single-Family Attached	0	0.306082	0.630445	0.0634725	25	88369.4	0.000648986
5B	No	Single-Family Detached	1	0	0	0	415	1.99654e+06	0.014751
5B	Yes	Single-Family Detached	0	0.538041	0.282314	0.179646	299	1.38221e+06	0.0102122
6A	No	Mobile Home	1	0	0	0	63	249621	0.00261486
6A	Yes	Mobile Home	0	0.18483	0.380733	0.434437	20	71181.9	0.000745654
6A	No	Multi-Family with 2 - 4 Units	1	0	0	0	76	450014	0.00434768
6A	Yes	Multi-Family with 2 - 4 Units	0	0.590847	0.344512	0.0646415	15	76309	0.000737236
6A	No	Multi-Family with 5+ Units	1	0	0	0	136	871045	0.00683269
6A	Yes	Multi-Family with 5+ Units	0	0.680005	0.14517	0.174825	37	232491	0.00182371
6A	No	Single-Family Attached	1	0	0	0	91	229123	0.00191892
6A	Yes	Single-Family Attached	0	0.596031	0.385574	0.018395	38	103154	0.000863917
6A	No	Single-Family Detached	1	0	0	0	844	3.62428e+06	0.0294508
6A	Yes	Single-Family Detached	0	0.631467	0.272667	0.0958659	334	1.49193e+06	0.0121234
6B	No	Mobile Home	1	0	0	0	25	54398	0.000626838
6B	Yes	Mobile Home	0	0.311158	0.62382	0.065022	17	33026	0.000380564
6B	No	Multi-Family with 2 - 4 Units	1	0	0	0	13	50129.8	0.000477021
6B	Yes	Multi-Family with 2 - 4 Units	0	0.393712	0.341731	0.264557	133	17318.6	0.000164799
6B	No	Multi-Family with 5+ Units	1	0	0	0	24	84571.2	0.000716166
6B	Yes	Multi-Family with 5+ Units	0	0.393712	0.341731	0.264557	133	23241.6	0.000196815
6B	No	Single-Family Attached	1	0	0	0	21	33168.3	0.000222149
6B	Yes	Single-Family Attached	0	0.843707	0.117784	0.0385094	13	22776.3	0.000152547
6B	No	Single-Family Detached	1	0	0	0	233	477562	0.00456804
6B	Yes	Single-Family Detached	0	0.392998	0.351725	0.255277	94	182637	0.00174699
7A	No	Mobile Home	1	0	0	0	169	13763.3	0.00024837
7A	Yes	Mobile Home	0	0.581479	0.38373	0.0347917	68	17879	0.000322641
7A	No	Multi-Family with 2 - 4 Units	1	0	0	0	10	49634	0.000287744
7A	Yes	Multi-Family with 2 - 4 Units	0	0.411288	0.382215	0.206496	22	10810.6	6.26723e-05
7A	No	Multi-Family with 5+ Units	1	0	0	0	39	92226.4	0.000673877
7A	Yes	Multi-Family with 5+ Units	0	0.313676	0.425398	0.260927	18	41012.9	0.000299672
7A	No	Single-Family Attached	1	0	0	0	25	23200.4	0.000161009
7A	Yes	Single-Family Attached	0	0.581479	0.38373	0.0347917	68	6855.55	4.7577e-05
7A	No	Single-Family Detached	1	0	0	0	136	426617	0.0043324
7A	Yes	Single-Family Detached	0	0.545532	0.413766	0.0407021	58	145601	0.00147861
7B	No	Mobile Home	1	0	0	0	285	0	8.92908e-05
7B	Yes	Mobile Home	0	0.424715	0.367066	0.208219	124	0	0
7B	No	Multi-Family with 2 - 4 Units	1	0	0	0	38	9139.16	6.47016e-05
7B	Yes	Multi-Family with 2 - 4 Units	0	0.393712	0.341731	0.264557	133	0	0
7B	No	Multi-Family with 5+ Units	1	0	0	0	38	0	0.00022715
7B	Yes	Multi-Family with 5+ Units	0	0.393712	0.341731	0.264557	133	0	0
7B	No	Single-Family Attached	1	0	0	0	285	1849.6	8.02204e-05
7B	Yes	Single-Family Attached	0	0.424715	0.367066	0.208219	124	0	0
7B	No	Single-Family Detached	1	0	0	0	285	17240.1	0.000672903
7B	Yes	Single-Family Detached	0	0.424715	0.367066	0.208219	124	0	0
# Created by: sources\recs\recs2020\tsv_maker.py
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: For dependency conditions with low samples, the following lumpings are used in progressive order until there are enough samples: 1) lumping buildings into Single-Family and Multi-Family only,  2) lumping buildings into Single-Family and Multi-Family only and lumping nearby climate zones within  A/B regions 3) lumping all building types together and lumping climate zones within A/B regions
