Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Vintage ACS	Option=No	Option=Yes	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	AL	1960-79	0.429767	0.570233	19	37643.4	0.000279281
Multi-Family with 2 - 4 Units	AL	1980-99	0.0375997	0.9624	19	50642.7	0.000257932
Multi-Family with 2 - 4 Units	AL	2000-09	0.166533	0.833467	11	46125.1	7.74091e-05
Multi-Family with 2 - 4 Units	AL	2010s	0.374415	0.625585	18	11086.2	5.10376e-05
Multi-Family with 2 - 4 Units	AL	<1940	0.425913	0.574087	45	5091.56	4.31583e-05
Multi-Family with 5+ Units	AL	1940-59	0.584911	0.415089	92	2680.26	9.01413e-05
Multi-Family with 5+ Units	AL	1960-79	0.351074	0.648926	26	20476.2	0.00047297
Multi-Family with 5+ Units	AL	1980-99	0.232365	0.767635	32	75473.1	0.000749744
Multi-Family with 5+ Units	AL	2000-09	0.179096	0.820904	19	8922.2	0.000358151
Multi-Family with 5+ Units	AL	2010s	0.403023	0.596977	21	35885.7	0.00021387
Multi-Family with 5+ Units	AL	<1940	0.584911	0.415089	92	6926.4	4.71086e-05
Single-Family Attached	AL	1940-59	0.0380286	0.961971	108	0	1.90123e-05
Single-Family Attached	AL	1960-79	0.0324798	0.96752	19	4043.15	5.50665e-05
Single-Family Attached	AL	1980-99	0.0139128	0.986087	35	26687.2	9.94865e-05
Single-Family Attached	AL	2000-09	0	1	15	2704.34	5.52297e-05
Single-Family Attached	AL	2010s	0	1	15	3161.78	1.76015e-05
Single-Family Attached	AL	<1940	0.0380286	0.961971	108	0	8.85567e-06
Single-Family Detached	AL	1940-59	0	1	40	196084	0.00185354
Single-Family Detached	AL	1960-79	0	1	44	365380	0.00342588
Single-Family Detached	AL	1980-99	0	1	36	311159	0.0028867
Single-Family Detached	AL	2000-09	0	1	29	164347	0.00169984
Single-Family Detached	AL	2010s	0	1	18	140052	0.000623758
Single-Family Detached	AL	<1940	0	1	25	128393	0.000755098
Mobile Home	AR	1940-59	0	1	14	0	1.31259e-05
Mobile Home	AR	1960-79	0	1	21	27828	0.000221153
Mobile Home	AR	1980-99	0	1	12	59027.1	0.000629687
Mobile Home	AR	2000-09	0	1	27	24083.7	0.000261131
Mobile Home	AR	2010s	0	1	21	11364.6	7.95919e-05
Mobile Home	AR	<1940	0	1	14	0	6.26721e-06
Multi-Family with 2 - 4 Units	AR	1940-59	0.425913	0.574087	45	6522.82	4.82876e-05
Multi-Family with 2 - 4 Units	AR	1960-79	0.343127	0.656873	21	15686.9	0.000189784
Multi-Family with 2 - 4 Units	AR	1980-99	0.423997	0.576003	38	6060.71	0.000256006
Multi-Family with 2 - 4 Units	AR	2000-09	0.523685	0.476315	14	6579.23	8.63341e-05
Multi-Family with 2 - 4 Units	AR	2010s	0.560094	0.439906	20	3598.3	5.56846e-05
Multi-Family with 2 - 4 Units	AR	<1940	0.425913	0.574087	45	0	2.86471e-05
Multi-Family with 5+ Units	AR	1940-59	0.456766	0.543234	13	9156.15	4.99954e-05
Multi-Family with 5+ Units	AR	1960-79	0.481439	0.518561	42	34781.7	0.00023205
Multi-Family with 5+ Units	AR	1980-99	0.517579	0.482421	58	41088.7	0.000394743
Multi-Family with 5+ Units	AR	2000-09	0.247848	0.752152	34	17219	0.00017535
Multi-Family with 5+ Units	AR	2010s	0.337781	0.662219	42	7155.68	0.000129691
Multi-Family with 5+ Units	AR	<1940	0.599659	0.400341	13	0	2.54521e-05
Single-Family Attached	AR	1940-59	0.0730889	0.926911	18	2879.62	1.20336e-05
Single-Family Attached	AR	1960-79	0	1	24	7754.36	3.76244e-05
Single-Family Attached	AR	1980-99	0	1	26	9471.39	6.15006e-05
Single-Family Attached	AR	2000-09	0.0559082	0.944092	19	9454.62	3.12986e-05
Single-Family Attached	AR	2010s	0.0559082	0.944092	13	5349.8	1.34071e-05
Single-Family Attached	AR	<1940	0.0620885	0.937912	10	0	6.94681e-06
Single-Family Detached	AR	1940-59	0	1	36	89065.6	0.00093401
Single-Family Detached	AR	1960-79	0	1	65	275345	0.0021916
Single-Family Detached	AR	1980-99	0	1	54	215941	0.00193015
Single-Family Detached	AR	2000-09	0	1	32	111016	0.00106532
Single-Family Detached	AR	2010s	0	1	20	67771.9	0.000412356
Single-Family Detached	AR	<1940	0	1	24	79430.5	0.000427033
Mobile Home	AZ	1940-59	0	1	7	8835.86	3.87957e-05
Mobile Home	AZ	1960-79	0	1	10	64162.5	0.000692126
Mobile Home	AZ	1980-99	0	1	18	118929	0.0011033
Mobile Home	AZ	2000-09	0	1	10	26026.7	0.000397085
Mobile Home	AZ	2010s	0	1	15	22169.6	8.78655e-05
Mobile Home	AZ	<1940	0	1	7	0	1.08179e-05
Multi-Family with 2 - 4 Units	AZ	1940-59	0.371776	0.628224	39	9536.69	8.25968e-05
Multi-Family with 2 - 4 Units	AZ	1960-79	0.0879832	0.912017	10	51449	0.000319947
Multi-Family with 2 - 4 Units	AZ	1980-99	0.384655	0.615345	15	57863.2	0.000423449
Multi-Family with 2 - 4 Units	AZ	2000-09	0.324073	0.675927	26	0	0.000146425
Multi-Family with 2 - 4 Units	AZ	2010s	0.324073	0.675927	26	6423.49	4.09991e-05
Multi-Family with 2 - 4 Units	AZ	<1940	0.371776	0.628224	39	0	2.43306e-05
Multi-Family with 5+ Units	AZ	1940-59	0.679583	0.320417	72	20202.6	0.000137711
Multi-Family with 5+ Units	AZ	1960-79	0.312762	0.687238	17	144649	0.00084318
Multi-Family with 5+ Units	AZ	1980-99	0.232009	0.767991	17	135414	0.00160837
Multi-Family with 5+ Units	AZ	2000-09	0.28544	0.71456	10	80475.2	0.00054718
Multi-Family with 5+ Units	AZ	2010s	0.269144	0.730856	29	6772.42	0.000273802
Multi-Family with 5+ Units	AZ	<1940	0.679583	0.320417	72	6793.9	3.36045e-05
Single-Family Attached	AZ	1940-59	0.100753	0.899247	40	8111.04	5.97211e-05
Single-Family Attached	AZ	1960-79	0	1	11	24959.1	0.000375616
Single-Family Attached	AZ	1980-99	0.0370574	0.962943	12	37483	0.000399185
Single-Family Attached	AZ	2000-09	0	1	12	32419.5	0.000161205
Single-Family Attached	AZ	2010s	0	1	29	11213.3	4.05977e-05
Single-Family Attached	AZ	<1940	0.100753	0.899247	40	2109.39	1.62566e-05
Single-Family Detached	AZ	1940-59	0	1	26	117405	0.00119291
Single-Family Detached	AZ	1960-79	0	1	73	354826	0.003043
Single-Family Detached	AZ	1980-99	0	1	117	633993	0.00466861
Single-Family Detached	AZ	2000-09	0	1	93	452318	0.00389233
Single-Family Detached	AZ	2010s	0	1	43	189498	0.00083095
Single-Family Detached	AZ	<1940	0	1	12	51569.6	0.000241924
Mobile Home	CA	1940-59	0	1	7	0	0.000184196
Mobile Home	CA	1960-79	0	1	24	291400	0.00187021
Mobile Home	CA	1980-99	0	1	10	129096	0.00122197
Mobile Home	CA	2000-09	0	1	10	29427.4	0.000507751
Mobile Home	CA	2010s	0	1	13	8686.62	0.000127315
Mobile Home	CA	<1940	0	1	7	0	3.37937e-05
Multi-Family with 2 - 4 Units	CA	1940-59	0.501295	0.498705	18	160727	0.00145238
Multi-Family with 2 - 4 Units	CA	1960-79	0.495581	0.504419	27	415418	0.0028861
Multi-Family with 2 - 4 Units	CA	1980-99	0.438874	0.561126	19	329750	0.00208871
Multi-Family with 2 - 4 Units	CA	2000-09	0.238482	0.761518	13	39148.8	0.000445845
Multi-Family with 2 - 4 Units	CA	2010s	0.238482	0.761518	13	40167.8	0.000175775
Multi-Family with 2 - 4 Units	CA	<1940	0	1	10	104793	0.00124948
Multi-Family with 5+ Units	CA	1940-59	0.667218	0.332782	39	344193	0.00274854
Multi-Family with 5+ Units	CA	1960-79	0.737917	0.262083	63	932697	0.00889432
Multi-Family with 5+ Units	CA	1980-99	0.632521	0.367479	54	848762	0.00707125
Multi-Family with 5+ Units	CA	2000-09	0.560544	0.439456	31	404159	0.00247983
Multi-Family with 5+ Units	CA	2010s	0.661625	0.338375	20	245419	0.00135361
Multi-Family with 5+ Units	CA	<1940	0.700244	0.299756	25	302948	0.00189566
Single-Family Attached	CA	1940-59	0.110837	0.889163	18	78809.1	0.00101038
Single-Family Attached	CA	1960-79	0.0891522	0.910848	47	342504	0.00228117
Single-Family Attached	CA	1980-99	0.0188239	0.981176	51	369205	0.00234291
Single-Family Attached	CA	2000-09	0	1	12	73776.9	0.000701859
Single-Family Attached	CA	2010s	0	1	12	44227.9	0.000276629
Single-Family Attached	CA	<1940	0.100651	0.899349	11	67119.1	0.000673876
Single-Family Detached	CA	1940-59	0	1	217	1.69632e+06	0.0147859
Single-Family Detached	CA	1960-79	0	1	192	2.00776e+06	0.0163066
Single-Family Detached	CA	1980-99	0	1	167	1.81374e+06	0.0141898
Single-Family Detached	CA	2000-09	0	1	94	912839	0.00729192
Single-Family Detached	CA	2010s	0	1	31	284570	0.00159768
Single-Family Detached	CA	<1940	0	1	93	863228	0.00563066
Mobile Home	CO	1940-59	0	1	7	0	1.54686e-05
Mobile Home	CO	1960-79	0	1	31	37159.9	0.000255875
Mobile Home	CO	1980-99	0	1	35	41806.7	0.000292927
Mobile Home	CO	2000-09	0	1	10	19970.9	9.04032e-05
Mobile Home	CO	2010s	0	1	15	6753.94	4.09875e-05
Mobile Home	CO	<1940	0	1	7	0	8.37572e-06
Multi-Family with 2 - 4 Units	CO	1940-59	0.371776	0.628224	39	8452.18	9.41308e-05
Multi-Family with 2 - 4 Units	CO	1960-79	0.746195	0.253805	16	47370.2	0.00028747
Multi-Family with 2 - 4 Units	CO	1980-99	0.355631	0.644369	69	22016.6	0.000265977
Multi-Family with 2 - 4 Units	CO	2000-09	0.324073	0.675927	26	0	8.88858e-05
Multi-Family with 2 - 4 Units	CO	2010s	0.324073	0.675927	26	9925.92	2.86958e-05
Multi-Family with 2 - 4 Units	CO	<1940	0.371776	0.628224	39	21842.4	8.78799e-05
Multi-Family with 5+ Units	CO	1940-59	0.679583	0.320417	72	18037	0.000179017
Multi-Family with 5+ Units	CO	1960-79	1	0	18	145294	0.00115882
Multi-Family with 5+ Units	CO	1980-99	0.384632	0.615368	17	144746	0.0012008
Multi-Family with 5+ Units	CO	2000-09	0.190349	0.809651	13	68684.6	0.000565163
Multi-Family with 5+ Units	CO	2010s	0.537727	0.462273	20	67337.8	0.000368904
Multi-Family with 5+ Units	CO	<1940	0.679583	0.320417	72	19206.1	0.000141079
Single-Family Attached	CO	1940-59	0.100753	0.899247	40	10221	6.2207e-05
Single-Family Attached	CO	1960-79	0	1	20	19024.2	0.000259805
Single-Family Attached	CO	1980-99	0.0556523	0.944348	11	45352.6	0.000460306
Single-Family Attached	CO	2000-09	0	1	22	33985.8	0.000285962
Single-Family Attached	CO	2010s	0	1	17	30559.9	8.30359e-05
Single-Family Attached	CO	<1940	0.100753	0.899247	40	7800.25	5.15958e-05
Single-Family Detached	CO	1940-59	0	1	40	193948	0.00140446
Single-Family Detached	CO	1960-79	0	1	54	297692	0.00265549
Single-Family Detached	CO	1980-99	0	1	87	489196	0.00307197
Single-Family Detached	CO	2000-09	0	1	42	224875	0.0019075
Single-Family Detached	CO	2010s	0	1	20	112560	0.000610156
Single-Family Detached	CO	<1940	0	1	25	116043	0.00102084
Mobile Home	CT	1940-59	0	1	6	0	5.92303e-06
Mobile Home	CT	1960-79	0	1	18	0	3.38511e-05
Mobile Home	CT	1980-99	0	1	22	11061.5	3.02718e-05
Mobile Home	CT	2000-09	0	1	10	5587.79	9.95315e-06
Mobile Home	CT	2010s	0	1	12	0	3.60641e-06
Mobile Home	CT	<1940	0	1	6	0	3.76502e-06
Multi-Family with 2 - 4 Units	CT	1940-59	0.457285	0.542715	11	24367.9	0.000314501
Multi-Family with 2 - 4 Units	CT	1960-79	0.630686	0.369314	10	84265.5	0.000380605
Multi-Family with 2 - 4 Units	CT	1980-99	0.673592	0.326408	17	19171.1	0.000258775
Multi-Family with 2 - 4 Units	CT	2000-09	0.3877	0.6123	10	0	4.5518e-05
Multi-Family with 2 - 4 Units	CT	2010s	0.3877	0.6123	10	7604.14	2.64595e-05
Multi-Family with 2 - 4 Units	CT	<1940	0.457285	0.542715	11	62972.2	0.000841017
Multi-Family with 5+ Units	CT	1940-59	0.801367	0.198633	62	30696.5	0.000224051
Multi-Family with 5+ Units	CT	1960-79	0.514525	0.485475	10	70220.5	0.00066068
Multi-Family with 5+ Units	CT	1980-99	0.603052	0.396948	14	99660.4	0.000523838
Multi-Family with 5+ Units	CT	2000-09	0.488928	0.511072	17	13355.3	0.000143279
Multi-Family with 5+ Units	CT	2010s	0.714109	0.285891	25	13414.1	0.000111845
Multi-Family with 5+ Units	CT	<1940	0.781155	0.218845	51	26960.4	0.000374872
Single-Family Attached	CT	1940-59	0.168737	0.831263	37	8325.23	6.27525e-05
Single-Family Attached	CT	1960-79	0.183034	0.816966	13	29911	0.000151988
Single-Family Attached	CT	1980-99	0.0810969	0.918903	11	29064.1	0.000223874
Single-Family Attached	CT	2000-09	0.183765	0.816235	23	2587.25	7.08272e-05
Single-Family Attached	CT	2010s	0.183765	0.816235	13	1847.42	2.40725e-05
Single-Family Attached	CT	<1940	0.177492	0.822508	29	4566.49	6.73276e-05
Single-Family Detached	CT	1940-59	0	1	89	245543	0.00178113
Single-Family Detached	CT	1960-79	0	1	47	173162	0.00178391
Single-Family Detached	CT	1980-99	0	1	35	133606	0.00121131
Single-Family Detached	CT	2000-09	0	1	17	63989.8	0.000483143
Single-Family Detached	CT	2010s	0	1	13	35436.4	0.000114024
Single-Family Detached	CT	<1940	0	1	55	184522	0.00117598
Mobile Home	DC	1940-59	0	1	14	0	0
Mobile Home	DC	1960-79	0	1	43	0	0
Mobile Home	DC	1980-99	0	1	112	0	0
Mobile Home	DC	2000-09	0	1	35	0	0
Mobile Home	DC	2010s	0	1	19	0	0
Mobile Home	DC	<1940	0	1	14	0	0
Multi-Family with 2 - 4 Units	DC	1940-59	0.470946	0.529054	12	7729.06	6.43182e-05
Multi-Family with 2 - 4 Units	DC	1960-79	0.418511	0.581489	48	5286.17	4.25067e-05
Multi-Family with 2 - 4 Units	DC	1980-99	0.312325	0.687675	43	4062.17	1.58286e-05
Multi-Family with 2 - 4 Units	DC	2000-09	0.313703	0.686297	19	1355.06	9.48599e-06
Multi-Family with 2 - 4 Units	DC	2010s	0.52869	0.47131	12	0	9.79494e-06
Multi-Family with 2 - 4 Units	DC	<1940	0.561139	0.438861	23	8730.55	8.68996e-05
Multi-Family with 5+ Units	DC	1940-59	0.878516	0.121484	48	44638.2	0.000268085
Multi-Family with 5+ Units	DC	1960-79	0.758884	0.241116	23	37898.7	0.00030449
Multi-Family with 5+ Units	DC	1980-99	0.914272	0.0857278	12	21264.7	0.000121922
Multi-Family with 5+ Units	DC	2000-09	0.691252	0.308748	17	26156.6	0.000145353
Multi-Family with 5+ Units	DC	2010s	0.899864	0.100136	20	29892.9	0.000134248
Multi-Family with 5+ Units	DC	<1940	0.823631	0.176369	33	42515.3	0.000247895
Single-Family Attached	DC	1940-59	0.0264283	0.973572	46	15380.6	0.000144822
Single-Family Attached	DC	1960-79	0.0385126	0.961487	64	5045.64	4.78088e-05
Single-Family Attached	DC	1980-99	0.0174159	0.982584	109	4564.56	2.54894e-05
Single-Family Attached	DC	2000-09	0.0159756	0.984024	87	0	2.41673e-05
Single-Family Attached	DC	2010s	0.0159756	0.984024	47	3266.93	1.69519e-05
Single-Family Attached	DC	<1940	0.0175074	0.982493	43	31909.8	0.000300396
Single-Family Detached	DC	1940-59	0	1	19	10467.7	8.49134e-05
Single-Family Detached	DC	1960-79	0	1	452	1102.99	2.45187e-05
Single-Family Detached	DC	1980-99	0	1	616	0	1.29935e-05
Single-Family Detached	DC	2000-09	0	1	347	0	5.61074e-06
Single-Family Detached	DC	2010s	0	1	224	1312.28	2.90494e-06
Single-Family Detached	DC	<1940	0	1	15	13873.1	0.00014654
Mobile Home	DE	1940-59	0	1	14	0	3.99812e-06
Mobile Home	DE	1960-79	0	1	43	8942.48	5.63884e-05
Mobile Home	DE	1980-99	0	1	112	18912.9	0.000118861
Mobile Home	DE	2000-09	0	1	35	6255.78	5.11138e-05
Mobile Home	DE	2010s	0	1	19	5593.19	1.26118e-05
Mobile Home	DE	<1940	0	1	14	0	1.00115e-06
Multi-Family with 2 - 4 Units	DE	1940-59	0.341811	0.658189	34	4102.38	2.7094e-05
Multi-Family with 2 - 4 Units	DE	1960-79	0.418511	0.581489	48	5679.53	2.99559e-05
Multi-Family with 2 - 4 Units	DE	1980-99	0.312325	0.687675	43	0	2.4079e-05
Multi-Family with 2 - 4 Units	DE	2000-09	0.313703	0.686297	19	1722.37	9.9902e-06
Multi-Family with 2 - 4 Units	DE	2010s	0.52869	0.47131	12	0	2.71678e-06
Multi-Family with 2 - 4 Units	DE	<1940	0.561139	0.438861	23	4595.6	2.50913e-05
Multi-Family with 5+ Units	DE	1940-59	0.550315	0.449685	72	2255.96	4.7224e-05
Multi-Family with 5+ Units	DE	1960-79	0.43835	0.56165	118	8120.4	0.000168074
Multi-Family with 5+ Units	DE	1980-99	0.295046	0.704954	127	7040.31	0.000120034
Multi-Family with 5+ Units	DE	2000-09	0.41465	0.58535	91	15198.3	5.58859e-05
Multi-Family with 5+ Units	DE	2010s	0.374218	0.625782	74	3914.04	3.22742e-05
Multi-Family with 5+ Units	DE	<1940	0.667289	0.332711	45	5829.91	1.79919e-05
Single-Family Attached	DE	1940-59	0.0427483	0.957252	86	6377.56	6.01718e-05
Single-Family Attached	DE	1960-79	0.0385126	0.961487	64	2573.3	4.92509e-05
Single-Family Attached	DE	1980-99	0.0174159	0.982584	109	10719.8	0.000149927
Single-Family Attached	DE	2000-09	0.0159756	0.984024	87	8994.06	9.06703e-05
Single-Family Attached	DE	2010s	0.0159756	0.984024	47	5121.45	4.26886e-05
Single-Family Attached	DE	<1940	0.0175074	0.982493	69	3416.19	9.31277e-05
Single-Family Detached	DE	1940-59	0	1	16	38037.2	0.0003308
Single-Family Detached	DE	1960-79	0	1	18	44447.3	0.000380397
Single-Family Detached	DE	1980-99	0	1	27	72209.2	0.000494617
Single-Family Detached	DE	2000-09	0	1	17	38247.2	0.000345151
Single-Family Detached	DE	2010s	0	1	17	38425.1	0.000155645
Single-Family Detached	DE	<1940	0	1	189	13722.4	0.000120739
Mobile Home	FL	1940-59	0	1	14	39453.5	0.000133423
Mobile Home	FL	1960-79	0	1	43	139584	0.00190418
Mobile Home	FL	1980-99	0	1	18	267275	0.0029847
Mobile Home	FL	2000-09	0	1	35	63257.2	0.000870914
Mobile Home	FL	2010s	0	1	19	64553.7	0.000221802
Mobile Home	FL	<1940	0	1	14	13958	1.69917e-05
Multi-Family with 2 - 4 Units	FL	1940-59	0.341811	0.658189	34	34054.4	0.00038271
Multi-Family with 2 - 4 Units	FL	1960-79	0.277355	0.722645	11	132572	0.00138097
Multi-Family with 2 - 4 Units	FL	1980-99	0.153232	0.846768	14	181245	0.00159976
Multi-Family with 2 - 4 Units	FL	2000-09	0.313703	0.686297	19	80276.3	0.000491756
Multi-Family with 2 - 4 Units	FL	2010s	0.52869	0.47131	12	33806.6	0.00013002
Multi-Family with 2 - 4 Units	FL	<1940	0.561139	0.438861	23	10073	0.000143346
Multi-Family with 5+ Units	FL	1940-59	0.550315	0.449685	72	35954.8	0.000682033
Multi-Family with 5+ Units	FL	1960-79	0.326213	0.673787	38	675082	0.00539088
Multi-Family with 5+ Units	FL	1980-99	0.114186	0.885814	34	590408	0.00647001
Multi-Family with 5+ Units	FL	2000-09	0.37442	0.62558	22	348185	0.00299838
Multi-Family with 5+ Units	FL	2010s	0.428218	0.571782	12	177477	0.00105367
Multi-Family with 5+ Units	FL	<1940	0.667289	0.332711	45	0	0.000208356
Single-Family Attached	FL	1940-59	0.0427483	0.957252	86	2070.62	0.00020985
Single-Family Attached	FL	1960-79	0.0385126	0.961487	13	109706	0.000816813
Single-Family Attached	FL	1980-99	0.0174159	0.982584	18	166120	0.00182253
Single-Family Attached	FL	2000-09	0.0159756	0.984024	20	167775	0.000994466
Single-Family Attached	FL	2010s	0.0159756	0.984024	47	66690.7	0.00031039
Single-Family Attached	FL	<1940	0.0175074	0.982493	69	5350.95	5.09906e-05
Single-Family Detached	FL	1940-59	0	1	45	394259	0.00478901
Single-Family Detached	FL	1960-79	0	1	100	1.13545e+06	0.0088683
Single-Family Detached	FL	1980-99	0	1	136	1.63154e+06	0.0125399
Single-Family Detached	FL	2000-09	0	1	75	785100	0.007635
Single-Family Detached	FL	2010s	0	1	52	499314	0.00213384
Single-Family Detached	FL	<1940	0	1	21	211565	0.00104155
Mobile Home	GA	1940-59	0	1	14	0	3.83291e-05
Mobile Home	GA	1960-79	0	1	43	69588.8	0.000483583
Mobile Home	GA	1980-99	0	1	13	167608	0.00174115
Mobile Home	GA	2000-09	0	1	35	43059.8	0.000450095
Mobile Home	GA	2010s	0	1	19	32572.8	9.90187e-05
Mobile Home	GA	<1940	0	1	14	0	1.10157e-05
Multi-Family with 2 - 4 Units	GA	1940-59	0.341811	0.658189	34	13709.9	0.000185379
Multi-Family with 2 - 4 Units	GA	1960-79	0.418511	0.581489	48	50784.2	0.000468431
Multi-Family with 2 - 4 Units	GA	1980-99	0.312325	0.687675	43	52313.3	0.000571285
Multi-Family with 2 - 4 Units	GA	2000-09	0.313703	0.686297	19	9012.3	0.000202778
Multi-Family with 2 - 4 Units	GA	2010s	0.52869	0.47131	12	6748.48	7.11839e-05
Multi-Family with 2 - 4 Units	GA	<1940	0.561139	0.438861	23	8223.46	0.00010003
Multi-Family with 5+ Units	GA	1940-59	0.550315	0.449685	72	20985.8	0.000197993
Multi-Family with 5+ Units	GA	1960-79	0.43835	0.56165	118	74742.8	0.00111298
Multi-Family with 5+ Units	GA	1980-99	0.295046	0.704954	127	122306	0.00195573
Multi-Family with 5+ Units	GA	2000-09	0.41465	0.58535	91	112542	0.00103741
Multi-Family with 5+ Units	GA	2010s	0.294681	0.705319	11	123807	0.000457194
Multi-Family with 5+ Units	GA	<1940	0.667289	0.332711	45	19039.9	0.000113652
Single-Family Attached	GA	1940-59	0.0427483	0.957252	86	7700.47	5.23929e-05
Single-Family Attached	GA	1960-79	0.0385126	0.961487	64	12952.1	0.000189191
Single-Family Attached	GA	1980-99	0.0174159	0.982584	16	118666	0.000373883
Single-Family Attached	GA	2000-09	0.0159756	0.984024	11	65546.3	0.000451708
Single-Family Attached	GA	2010s	0.0159756	0.984024	47	42275.2	0.000112497
Single-Family Attached	GA	<1940	0.0175074	0.982493	69	19899.8	2.98586e-05
Single-Family Detached	GA	1940-59	0	1	42	294973	0.00226048
Single-Family Detached	GA	1960-79	0	1	59	552435	0.00477344
Single-Family Detached	GA	1980-99	0	1	98	892353	0.00697194
Single-Family Detached	GA	2000-09	0	1	64	499944	0.00438852
Single-Family Detached	GA	2010s	0	1	37	285246	0.00105617
Single-Family Detached	GA	<1940	0	1	20	162370	0.00104873
Mobile Home	HI	1940-59	0	1	7	0	5.13747e-07
Mobile Home	HI	1960-79	0	1	51	0	1.47932e-06
Mobile Home	HI	1980-99	0	1	34	0	3.97546e-06
Mobile Home	HI	2000-09	0	1	15	0	2.3068e-06
Mobile Home	HI	2010s	0	1	15	0	7.26931e-07
Mobile Home	HI	<1940	0	1	7	0	4.40507e-07
Multi-Family with 2 - 4 Units	HI	1940-59	0.359452	0.640548	30	7654.04	2.60886e-05
Multi-Family with 2 - 4 Units	HI	1960-79	0.459186	0.540814	43	7170.97	9.4495e-05
Multi-Family with 2 - 4 Units	HI	1980-99	0.386692	0.613308	46	11702.5	8.07155e-05
Multi-Family with 2 - 4 Units	HI	2000-09	0.238482	0.761518	13	0	2.89566e-05
Multi-Family with 2 - 4 Units	HI	2010s	0.238482	0.761518	13	1802.26	1.21853e-05
Multi-Family with 2 - 4 Units	HI	<1940	0.359452	0.640548	30	2998.94	6.26744e-06
Multi-Family with 5+ Units	HI	1940-59	0.697051	0.302949	60	5397.24	8.50796e-05
Multi-Family with 5+ Units	HI	1960-79	0.600809	0.399191	36	78434.3	0.000648164
Multi-Family with 5+ Units	HI	1980-99	0.551171	0.448829	13	28138.5	0.000337565
Multi-Family with 5+ Units	HI	2000-09	0.489731	0.510269	10	8009.57	0.000103618
Multi-Family with 5+ Units	HI	2010s	0.489731	0.510269	10	10712.7	5.35391e-05
Multi-Family with 5+ Units	HI	<1940	0.697051	0.302949	60	2147.15	1.22676e-05
Single-Family Attached	HI	1940-59	0.106425	0.893575	25	4013.4	4.7093e-05
Single-Family Attached	HI	1960-79	0.0891522	0.910848	12	12693.3	0.000112351
Single-Family Attached	HI	1980-99	0.0188239	0.981176	90	11217.1	9.40779e-05
Single-Family Attached	HI	2000-09	0	1	55	2221.53	6.58881e-05
