Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=Finished Attic or Cathedral Ceilings	Option=None	Option=Unvented Attic	Option=Vented Attic	source_count	source_weight	sampling_probability
East North Central	Mobile Home	2	1980-99	0	1	0	0	25	68825.5	0
East North Central	Mobile Home	3	1980-99	0	1	0	0	25	68825.5	0
East North Central	Mobile Home	4+	1980-99	0	1	0	0	25	68825.5	0
East North Central	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	19	78188.1	0.000273022
East North Central	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	19	78188.1	0.00182638
East North Central	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	19	78188.1	0.000208395
East North Central	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	19	78188.1	1.06455e-05
East North Central	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	56	176391	0.000488564
East North Central	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	56	176391	0.00293885
East North Central	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	56	176391	0.00238666
East North Central	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	56	176391	0.000829592
East North Central	Single-Family Attached	1	1980-99	0	0.55159	0.0322548	0.416155	30	152757	0.000995894
East North Central	Single-Family Attached	2	1980-99	0.0179538	0.506122	0.029563	0.446362	32	162263	0.00134121
East North Central	Single-Family Attached	3	1980-99	0	0.797091	0.0305212	0.172388	25	23509.2	9.85549e-05
East North Central	Single-Family Attached	4+	1980-99	0	1	0	0	11	0	0
East North Central	Single-Family Detached	1	1980-99	0	0.326375	0.0413884	0.632237	125	1.1473e+06	0.0116058
East North Central	Single-Family Detached	2	1980-99	0.0104274	0.321188	0.0324914	0.635894	138	1.3692e+06	0.00733269
East North Central	Single-Family Detached	3	1980-99	0.00409357	0.680344	0.00409357	0.311469	15	86443.5	0.000272181
East North Central	Single-Family Detached	4+	1980-99	0	1	0	0	11	0	0
East North Central	Mobile Home	1	2000-09	0	1	0	0	20	19471.9	0.000758733
East North Central	Mobile Home	2	2000-09	0	1	0	0	20	19471.9	0
East North Central	Mobile Home	3	2000-09	0	1	0	0	20	19471.9	0
East North Central	Mobile Home	4+	2000-09	0	1	0	0	20	19471.9	0
East North Central	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	12	28553.4	7.75512e-05
East North Central	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	12	28553.4	0.000603128
East North Central	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	12	28553.4	6.70947e-05
East North Central	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	12	28553.4	4.41082e-06
East North Central	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	37	102011	0.000148869
East North Central	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	37	102011	0.000941187
East North Central	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	37	102011	0.000671038
East North Central	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	37	102011	0.000936751
East North Central	Single-Family Attached	1	2000-09	0	0.693952	0	0.306048	26	97492.9	0.000653462
East North Central	Single-Family Attached	2	2000-09	0	0.722293	0.0660818	0.211626	14	54552.8	0.000781168
East North Central	Single-Family Attached	3	2000-09	0	0.780928	0	0.219072	10	24890.9	0.000145043
East North Central	Single-Family Attached	4+	2000-09	0	1	0	0	11	7770.94	0
East North Central	Single-Family Detached	1	2000-09	0	0.393056	0.0145172	0.592427	75	521502	0.0054535
East North Central	Single-Family Detached	2	2000-09	0.0675921	0.232787	0.0637499	0.635871	81	609442	0.00490102
East North Central	Single-Family Detached	3	2000-09	0.106387	0.537958	0	0.355655	12	32492.5	9.39885e-05
East North Central	Single-Family Detached	4+	2000-09	0	1	0	0	11	0	0
East North Central	Mobile Home	1	2010s	0	1	0	0	11	22152.9	0.000243675
East North Central	Mobile Home	2	2010s	0	1	0	0	11	22152.9	0
East North Central	Mobile Home	3	2010s	0	1	0	0	11	22152.9	0
East North Central	Mobile Home	4+	2010s	0	1	0	0	11	22152.9	0
East North Central	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	12	12689.6	3.00575e-05
East North Central	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	12	12689.6	0.000233762
East North Central	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	12	12689.6	2.45928e-05
East North Central	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	12	12689.6	1.61673e-06
East North Central	Multi-Family with 5+ Units	1	2010s	0	1	0	0	26	59033.1	6.68733e-05
East North Central	Multi-Family with 5+ Units	2	2010s	0	1	0	0	26	59033.1	0.000395294
East North Central	Multi-Family with 5+ Units	3	2010s	0	1	0	0	26	59033.1	0.000332788
East North Central	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	26	59033.1	0.000535815
East North Central	Single-Family Attached	1	2010s	0	0.632528	0	0.367472	32	22670.7	0.000109489
East North Central	Single-Family Attached	2	2010s	0	0.632442	0.044542	0.323016	20	26380.9	0.000136619
East North Central	Single-Family Attached	3	2010s	0	0.780928	0	0.219072	10	7069.09	2.37006e-05
East North Central	Single-Family Attached	4+	2010s	0	1	0	0	11	0	0
East North Central	Single-Family Detached	1	2010s	0	0.275019	0.0094511	0.71553	32	211457	0.00133329
East North Central	Single-Family Detached	2	2010s	0.00797653	0.395743	0.0238904	0.57239	42	262297	0.00125802
East North Central	Single-Family Detached	3	2010s	0.106387	0.537958	0	0.355655	12	8014.47	2.52014e-05
East North Central	Single-Family Detached	4+	2010s	0	1	0	0	11	0	0
East North Central	Mobile Home	1	<1940	0	1	0	0	131	6549.46	6.281e-05
East North Central	Mobile Home	2	<1940	0	1	0	0	131	6549.46	0
East North Central	Mobile Home	3	<1940	0	1	0	0	131	6549.46	0
East North Central	Mobile Home	4+	<1940	0	1	0	0	131	6549.46	0
East North Central	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	33	94920.9	0.00132303
East North Central	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	33	94920.9	0.00231767
East North Central	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	33	94920.9	0.000726461
East North Central	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	33	94920.9	0.000301997
East North Central	Multi-Family with 5+ Units	1	<1940	0	1	0	0	29	83082.4	0.000179124
East North Central	Multi-Family with 5+ Units	2	<1940	0	1	0	0	29	83082.4	0.000404021
East North Central	Multi-Family with 5+ Units	3	<1940	0	1	0	0	29	83082.4	0.000739914
East North Central	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	29	83082.4	0.00161179
East North Central	Single-Family Attached	1	<1940	0	0.459913	0.121323	0.418765	10	0	0.000288674
East North Central	Single-Family Attached	2	<1940	0.274199	0.115788	0.1388	0.471213	11	43086.4	0.000407937
East North Central	Single-Family Attached	3	<1940	0	0.797091	0.0305212	0.172388	25	6859.21	3.6717e-05
East North Central	Single-Family Attached	4+	<1940	0	1	0	0	11	0	0
East North Central	Single-Family Detached	1	<1940	0	0.227425	0.057371	0.715204	114	843659	0.0117416
East North Central	Single-Family Detached	2	<1940	0.097372	0.273518	0.0590786	0.570032	199	1.47739e+06	0.00838109
East North Central	Single-Family Detached	3	<1940	0.141831	0.766666	0.00804005	0.0834628	10	10109.9	0.000252913
East North Central	Single-Family Detached	4+	<1940	0	1	0	0	11	0	0
East South Central	Mobile Home	1	1940-59	0	1	0	0	14	6873.45	7.83262e-05
East South Central	Mobile Home	2	1940-59	0	1	0	0	14	6873.45	0
East South Central	Mobile Home	3	1940-59	0	1	0	0	14	6873.45	0
East South Central	Mobile Home	4+	1940-59	0	1	0	0	14	6873.45	0
East South Central	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	45	4932.75	4.20626e-05
East South Central	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	45	4932.75	0.000317407
East South Central	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	45	4932.75	8.30382e-05
East South Central	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	45	4932.75	1.54167e-05
East South Central	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	92	9077.21	3.14156e-05
East South Central	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	92	9077.21	0.00016592
East South Central	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	92	9077.21	0.000126029
East South Central	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	92	9077.21	0.000137293
East South Central	Single-Family Attached	1	1940-59	0	0.595458	0.0791264	0.325416	26	2013.93	7.35883e-05
East South Central	Single-Family Attached	2	1940-59	0.0490557	0.502562	0.0484081	0.399974	68	2626.05	3.52995e-05
East South Central	Single-Family Attached	3	1940-59	0.113654	0.625252	0.0157067	0.245388	13	0	2.59585e-06
East South Central	Single-Family Attached	4+	1940-59	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	1940-59	0	0.28967	0.106306	0.604024	154	595545	0.00545202
East South Central	Single-Family Detached	2	1940-59	0.0405647	0.296815	0.0215908	0.641029	54	121620	0.00139873
East South Central	Single-Family Detached	3	1940-59	0.156637	0.283075	0.0942007	0.466088	14	2838.62	4.79066e-05
East South Central	Single-Family Detached	4+	1940-59	0	1	0	0	11	0	0
East South Central	Mobile Home	1	1960-79	0	1	0	0	26	37963.9	0.00123272
East South Central	Mobile Home	2	1960-79	0	1	0	0	26	37963.9	0
East South Central	Mobile Home	3	1960-79	0	1	0	0	26	37963.9	0
East South Central	Mobile Home	4+	1960-79	0	1	0	0	26	37963.9	0
East South Central	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	19	32071.4	0.000179049
East South Central	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	19	32071.4	0.000816953
East South Central	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	19	32071.4	0.000175271
East South Central	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	19	32071.4	1.55625e-06
East South Central	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	26	52033.3	0.000178601
East South Central	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	26	52033.3	0.000905008
East South Central	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	26	52033.3	0.000614335
East South Central	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	26	52033.3	0.000301116
East South Central	Single-Family Attached	1	1960-79	0	0.559114	0.0826987	0.358187	15	31274	0.000152329
East South Central	Single-Family Attached	2	1960-79	0.0381281	0.383747	0.012365	0.565759	49	6330.62	0.000113115
East South Central	Single-Family Attached	3	1960-79	0.0340805	0.388298	0.0929849	0.484636	62	2184.24	3.38794e-06
East South Central	Single-Family Attached	4+	1960-79	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	1960-79	0	0.301531	0.0452752	0.653194	193	1.12799e+06	0.00986566
East South Central	Single-Family Detached	2	1960-79	0.0512417	0.287037	0.0301699	0.631552	51	273493	0.00226001
East South Central	Single-Family Detached	3	1960-79	0.160071	0.229452	0.0650899	0.545386	55	0	0.000144874
East South Central	Single-Family Detached	4+	1960-79	0	1	0	0	11	4301.84	0
East South Central	Mobile Home	1	1980-99	0	1	0	0	61	93755.7	0.00420873
East South Central	Mobile Home	2	1980-99	0	1	0	0	61	93755.7	0
East South Central	Mobile Home	3	1980-99	0	1	0	0	61	93755.7	0
East South Central	Mobile Home	4+	1980-99	0	1	0	0	61	93755.7	0
East South Central	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	19	32861.9	0.000139346
East South Central	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	19	32861.9	0.000932158
East South Central	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	19	32861.9	9.54757e-05
East South Central	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	19	32861.9	4.87721e-06
East South Central	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	32	74963.9	0.000201688
East South Central	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	32	74963.9	0.00126479
East South Central	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	32	74963.9	0.000858307
East South Central	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	32	74963.9	0.000228105
East South Central	Single-Family Attached	1	1980-99	0	0.369925	0.211311	0.418764	13	32388	0.00017908
East South Central	Single-Family Attached	2	1980-99	0	0.46093	0	0.53907	20	44507.5	0.000286764
East South Central	Single-Family Attached	3	1980-99	0	0.377417	0.138998	0.483585	15	4863.99	2.53999e-05
East South Central	Single-Family Attached	4+	1980-99	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	1980-99	0	0.2408	0.0831289	0.676071	156	942736	0.00737285
East South Central	Single-Family Detached	2	1980-99	0.0828816	0.265525	0.0381688	0.613425	88	481509	0.003663
East South Central	Single-Family Detached	3	1980-99	0.0402998	0.216985	0.0402998	0.702415	19	14385.9	0.000134845
East South Central	Single-Family Detached	4+	1980-99	0	1	0	0	11	0	0
East South Central	Mobile Home	1	2000-09	0	1	0	0	30	33422.2	0.00144789
East South Central	Mobile Home	2	2000-09	0	1	0	0	30	33422.2	0
East South Central	Mobile Home	3	2000-09	0	1	0	0	30	33422.2	0
East South Central	Mobile Home	4+	2000-09	0	1	0	0	30	33422.2	0
East South Central	Multi-Family with 2 - 4 Units	1	2000-09	0	1	0	0	11	17019.5	4.29274e-05
East South Central	Multi-Family with 2 - 4 Units	2	2000-09	0	1	0	0	11	17019.5	0.000333853
East South Central	Multi-Family with 2 - 4 Units	3	2000-09	0	1	0	0	11	17019.5	3.52087e-05
East South Central	Multi-Family with 2 - 4 Units	4+	2000-09	0	1	0	0	11	17019.5	2.31463e-06
East South Central	Multi-Family with 5+ Units	1	2000-09	0	1	0	0	19	29865.1	7.55127e-05
East South Central	Multi-Family with 5+ Units	2	2000-09	0	1	0	0	19	29865.1	0.000518147
East South Central	Multi-Family with 5+ Units	3	2000-09	0	1	0	0	19	29865.1	0.000326197
East South Central	Multi-Family with 5+ Units	4+	2000-09	0	1	0	0	19	29865.1	0.000271712
East South Central	Single-Family Attached	1	2000-09	0	0.203873	0.135574	0.660553	16	15926.9	0.000146512
East South Central	Single-Family Attached	2	2000-09	0.209865	0.265978	0.108033	0.416124	13	11401.1	0.000166989
East South Central	Single-Family Attached	3	2000-09	0.0357304	0.342313	0.105107	0.516849	29	0	2.53009e-05
East South Central	Single-Family Attached	4+	2000-09	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	2000-09	0	0.248874	0.0800361	0.67109	96	423369	0.00392654
East South Central	Single-Family Detached	2	2000-09	0.0618382	0.145302	0.0331498	0.75971	78	314334	0.00246583
East South Central	Single-Family Detached	3	2000-09	0.189144	0.211057	0.052597	0.547202	16	7046.54	4.43188e-05
East South Central	Single-Family Detached	4+	2000-09	0	1	0	0	11	0	0
East South Central	Mobile Home	1	2010s	0	1	0	0	12	17221.5	0.000435203
East South Central	Mobile Home	2	2010s	0	1	0	0	12	17221.5	0
East South Central	Mobile Home	3	2010s	0	1	0	0	12	17221.5	0
East South Central	Mobile Home	4+	2010s	0	1	0	0	12	17221.5	0
East South Central	Multi-Family with 2 - 4 Units	1	2010s	0	1	0	0	18	11277.8	2.30257e-05
East South Central	Multi-Family with 2 - 4 Units	2	2010s	0	1	0	0	18	11277.8	0.000179075
East South Central	Multi-Family with 2 - 4 Units	3	2010s	0	1	0	0	18	11277.8	1.7842e-05
East South Central	Multi-Family with 2 - 4 Units	4+	2010s	0	1	0	0	18	11277.8	1.17294e-06
East South Central	Multi-Family with 5+ Units	1	2010s	0	1	0	0	21	39876	4.45614e-05
East South Central	Multi-Family with 5+ Units	2	2010s	0	1	0	0	21	39876	0.000290376
East South Central	Multi-Family with 5+ Units	3	2010s	0	1	0	0	21	39876	0.000200211
East South Central	Multi-Family with 5+ Units	4+	2010s	0	1	0	0	21	39876	0.000222548
East South Central	Single-Family Attached	1	2010s	0	0.203873	0.135574	0.660553	16	14094.4	5.43194e-05
East South Central	Single-Family Attached	2	2010s	0.209865	0.265978	0.108033	0.416124	13	13283.8	6.44289e-05
East South Central	Single-Family Attached	3	2010s	0.0357304	0.342313	0.105107	0.516849	29	1867.03	1.22625e-05
East South Central	Single-Family Attached	4+	2010s	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	2010s	0	0.129259	0.130076	0.740664	49	283356	0.00122462
East South Central	Single-Family Detached	2	2010s	0.0255246	0.243615	0.100873	0.629988	24	123279	0.000950619
East South Central	Single-Family Detached	3	2010s	0.189144	0.211057	0.052597	0.547202	16	6031.98	1.61098e-05
East South Central	Single-Family Detached	4+	2010s	0	1	0	0	11	0	0
East South Central	Mobile Home	1	<1940	0	1	0	0	14	3384.29	2.11256e-05
East South Central	Mobile Home	2	<1940	0	1	0	0	14	3384.29	0
East South Central	Mobile Home	3	<1940	0	1	0	0	14	3384.29	0
East South Central	Mobile Home	4+	<1940	0	1	0	0	14	3384.29	0
East South Central	Multi-Family with 2 - 4 Units	1	<1940	0	1	0	0	45	3570.32	7.63828e-05
East South Central	Multi-Family with 2 - 4 Units	2	<1940	0	1	0	0	45	3570.32	0.000133807
East South Central	Multi-Family with 2 - 4 Units	3	<1940	0	1	0	0	45	3570.32	5.34364e-05
East South Central	Multi-Family with 2 - 4 Units	4+	<1940	0	1	0	0	45	3570.32	2.22141e-05
East South Central	Multi-Family with 5+ Units	1	<1940	0	1	0	0	92	4699.69	1.66325e-05
East South Central	Multi-Family with 5+ Units	2	<1940	0	1	0	0	92	4699.69	3.82016e-05
East South Central	Multi-Family with 5+ Units	3	<1940	0	1	0	0	92	4699.69	7.02372e-05
East South Central	Multi-Family with 5+ Units	4+	<1940	0	1	0	0	92	4699.69	0.000140562
East South Central	Single-Family Attached	1	<1940	0	0.595458	0.0791264	0.325416	26	5204.46	1.95761e-05
East South Central	Single-Family Attached	2	<1940	0.0490557	0.502562	0.0484081	0.399974	68	0	3.1944e-05
East South Central	Single-Family Attached	3	<1940	0.113654	0.625252	0.0157067	0.245388	13	0	4.34008e-06
East South Central	Single-Family Attached	4+	<1940	0	1	0	0	11	0	0
East South Central	Single-Family Detached	1	<1940	0	0.338128	0.0851949	0.576677	88	319352	0.00189185
East South Central	Single-Family Detached	2	<1940	0.102204	0.402271	0.0543988	0.441126	42	124743	0.00144419
East South Central	Single-Family Detached	3	<1940	0.156637	0.283075	0.0942007	0.466088	14	7335.64	5.56496e-05
East South Central	Single-Family Detached	4+	<1940	0	1	0	0	11	0	0
Middle Atlantic	Mobile Home	1	1940-59	0	1	0	0	101	6566.09	8.45032e-05
Middle Atlantic	Mobile Home	2	1940-59	0	1	0	0	101	6566.09	0
Middle Atlantic	Mobile Home	3	1940-59	0	1	0	0	101	6566.09	0
Middle Atlantic	Mobile Home	4+	1940-59	0	1	0	0	101	6566.09	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1940-59	0	1	0	0	84	127463	0.000384021
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1940-59	0	1	0	0	84	127463	0.00289784
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1940-59	0	1	0	0	84	127463	0.000522075
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1940-59	0	1	0	0	84	127463	9.69273e-05
Middle Atlantic	Multi-Family with 5+ Units	1	1940-59	0	1	0	0	144	199880	0.000279672
Middle Atlantic	Multi-Family with 5+ Units	2	1940-59	0	1	0	0	144	199880	0.00135963
Middle Atlantic	Multi-Family with 5+ Units	3	1940-59	0	1	0	0	144	199880	0.00105005
Middle Atlantic	Multi-Family with 5+ Units	4+	1940-59	0	1	0	0	144	199880	0.00296629
Middle Atlantic	Single-Family Attached	1	1940-59	0	0.588969	0	0.411031	11	27623.9	0.00153177
Middle Atlantic	Single-Family Attached	2	1940-59	0.128293	0.586991	0.0323464	0.252369	64	225157	0.000960963
Middle Atlantic	Single-Family Attached	3	1940-59	0.115317	0.683335	0	0.201349	10	24482.3	5.68719e-05
Middle Atlantic	Single-Family Attached	4+	1940-59	0	1	0	0	12	2743.03	0
Middle Atlantic	Single-Family Detached	1	1940-59	0	0.319664	0.0597603	0.620576	152	839522	0.012526
Middle Atlantic	Single-Family Detached	2	1940-59	0.110656	0.403167	0.0703389	0.415839	338	1.23418e+06	0.0037347
Middle Atlantic	Single-Family Detached	3	1940-59	0.232119	0.219984	0.0647588	0.483138	29	137405	0.0001288
Middle Atlantic	Single-Family Detached	4+	1940-59	0	1	0	0	10	13372.9	0
Middle Atlantic	Mobile Home	1	1960-79	0	1	0	0	12	25684.9	0.00108787
Middle Atlantic	Mobile Home	2	1960-79	0	1	0	0	12	25684.9	0
Middle Atlantic	Mobile Home	3	1960-79	0	1	0	0	12	25684.9	0
Middle Atlantic	Mobile Home	4+	1960-79	0	1	0	0	12	25684.9	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1960-79	0	1	0	0	44	128934	0.000566921
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1960-79	0	1	0	0	44	128934	0.00258671
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1960-79	0	1	0	0	44	128934	0.000424483
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1960-79	0	1	0	0	44	128934	3.76904e-06
Middle Atlantic	Multi-Family with 5+ Units	1	1960-79	0	1	0	0	99	256488	0.000506476
Middle Atlantic	Multi-Family with 5+ Units	2	1960-79	0	1	0	0	99	256488	0.00241624
Middle Atlantic	Multi-Family with 5+ Units	3	1960-79	0	1	0	0	99	256488	0.00230623
Middle Atlantic	Multi-Family with 5+ Units	4+	1960-79	0	1	0	0	99	256488	0.00311648
Middle Atlantic	Single-Family Attached	1	1960-79	0	0.587838	0.0402664	0.371895	12	72813.6	0.00110125
Middle Atlantic	Single-Family Attached	2	1960-79	0.118277	0.46591	0.0376729	0.378141	25	167542	0.000797211
Middle Atlantic	Single-Family Attached	3	1960-79	0.0616637	0.641638	0.00163028	0.295068	64	55551.4	2.8205e-05
Middle Atlantic	Single-Family Attached	4+	1960-79	0	1	0	0	12	0	0
Middle Atlantic	Single-Family Detached	1	1960-79	0	0.427344	0.0387217	0.533934	109	741905	0.0116348
Middle Atlantic	Single-Family Detached	2	1960-79	0.050074	0.335766	0.0302322	0.583927	165	1.05719e+06	0.00337262
Middle Atlantic	Single-Family Detached	3	1960-79	0.0729743	0.289785	0.0528518	0.584389	21	50299.3	0.00022146
Middle Atlantic	Single-Family Detached	4+	1960-79	0	1	0	0	10	12475.7	0
Middle Atlantic	Mobile Home	1	1980-99	0	1	0	0	23	43697.7	0.00153842
Middle Atlantic	Mobile Home	2	1980-99	0	1	0	0	23	43697.7	0
Middle Atlantic	Mobile Home	3	1980-99	0	1	0	0	23	43697.7	0
Middle Atlantic	Mobile Home	4+	1980-99	0	1	0	0	23	43697.7	0
Middle Atlantic	Multi-Family with 2 - 4 Units	1	1980-99	0	1	0	0	32	90363.9	0.000247955
Middle Atlantic	Multi-Family with 2 - 4 Units	2	1980-99	0	1	0	0	32	90363.9	0.00165869
Middle Atlantic	Multi-Family with 2 - 4 Units	3	1980-99	0	1	0	0	32	90363.9	0.000142538
Middle Atlantic	Multi-Family with 2 - 4 Units	4+	1980-99	0	1	0	0	32	90363.9	7.28131e-06
Middle Atlantic	Multi-Family with 5+ Units	1	1980-99	0	1	0	0	65	156545	0.00029191
Middle Atlantic	Multi-Family with 5+ Units	2	1980-99	0	1	0	0	65	156545	0.00163836
Middle Atlantic	Multi-Family with 5+ Units	3	1980-99	0	1	0	0	65	156545	0.00184028
Middle Atlantic	Multi-Family with 5+ Units	4+	1980-99	0	1	0	0	65	156545	0.000923384
