Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Heating Setpoint Has Offset	Dependency=HVAC Has Zonal Electric Heating	Option=0F	Option=3F	Option=6F	Option=12F	source_count	source_weight	sampling_probability
3B	Multi-Family with 2 - 4 Units	Yes	No	0	0.435815	0.293683	0.270502	19	275046	0.00224509
3B	Multi-Family with 5+ Units	No	No	1	0	0	0	97	1.40912e+06	0.0123091
3B	Multi-Family with 5+ Units	Yes	No	0	0.520284	0.290161	0.189556	54	709504	0.00619774
3B	Single-Family Attached	No	No	1	0	0	0	61	398095	0.00286532
3B	Single-Family Attached	Yes	No	0	0.554632	0.302918	0.142451	50	307620	0.00221411
3B	Single-Family Detached	No	No	1	0	0	0	326	3.09265e+06	0.0243195
3B	Single-Family Detached	Yes	No	0	0.490402	0.304956	0.204642	364	3.49318e+06	0.027469
3B	Mobile Home	No	Yes	1	0	0	0	21	40492.2	0.000169065
3B	Mobile Home	Yes	Yes	0	0.322728	0.349717	0.327554	21	19438.9	0.000168572
3B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	14	68628.1	0.000308282
3B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.561534	0.177501	0.260965	35	83088.9	0.00037324
3B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	14	127787	0.000569901
3B	Multi-Family with 5+ Units	Yes	Yes	0	0.587111	0.18073	0.232158	30	441534	0.00196913
3B	Single-Family Attached	No	Yes	1	0	0	0	21	31479.4	0.000213196
3B	Single-Family Attached	Yes	Yes	0	0.322728	0.349717	0.327554	21	46022.5	0.00031169
3B	Single-Family Detached	No	Yes	1	0	0	0	14	148160	0.0015567
3B	Single-Family Detached	Yes	Yes	0	0.280086	0.36581	0.354104	13	154029	0.00161836
3C	Mobile Home	No	No	1	0	0	0	67	17919.4	0.000195704
3C	Mobile Home	Yes	No	0	0.375906	0.351665	0.272429	145	25900.9	0.000435371
3C	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	13	189127	0.00146325
3C	Multi-Family with 2 - 4 Units	Yes	No	0	0.349494	0.470065	0.180441	22	74083.7	0.000573178
3C	Multi-Family with 5+ Units	No	No	1	0	0	0	15	213131	0.00240296
3C	Multi-Family with 5+ Units	Yes	No	0	0.352363	0.410732	0.236905	17	236750	0.00266925
3C	Single-Family Attached	No	No	1	0	0	0	15	95731.3	0.00071248
3C	Single-Family Attached	Yes	No	0	0.443677	0.446642	0.10968	25	167845	0.00124919
3C	Single-Family Detached	No	No	1	0	0	0	50	504805	0.00352978
3C	Single-Family Detached	Yes	No	0	0.367168	0.338536	0.294296	117	1.1821e+06	0.00826563
3C	Mobile Home	No	Yes	1	0	0	0	15	9875.95	2.7292e-05
3C	Mobile Home	Yes	Yes	0	0.176264	0.624555	0.199181	12	0	2.05403e-05
3C	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	12	13032.8	0.00014768
3C	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.176264	0.624555	0.199181	12	0	8.76889e-05
3C	Multi-Family with 5+ Units	No	Yes	1	0	0	0	11	149596	0.000487911
3C	Multi-Family with 5+ Units	Yes	Yes	0	0.176264	0.624555	0.199181	12	96565.4	0.00031495
3C	Single-Family Attached	No	Yes	1	0	0	0	15	0	0.000102229
3C	Single-Family Attached	Yes	Yes	0	0.176264	0.624555	0.199181	12	5531.17	7.69386e-05
3C	Single-Family Detached	No	Yes	1	0	0	0	15	25518.4	0.000389399
3C	Single-Family Detached	Yes	Yes	0	0.176264	0.624555	0.199181	12	46937.6	0.000293066
4A	Mobile Home	No	No	1	0	0	0	122	800985	0.00682291
4A	Mobile Home	Yes	No	0	0.603463	0.295164	0.101373	57	421452	0.00358999
4A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	133	1.21831e+06	0.0110569
4A	Multi-Family with 2 - 4 Units	Yes	No	0	0.547293	0.270491	0.182216	92	811623	0.00736597
4A	Multi-Family with 5+ Units	No	No	1	0	0	0	361	3.11317e+06	0.0271297
4A	Multi-Family with 5+ Units	Yes	No	0	0.610409	0.292483	0.0971079	214	1.74561e+06	0.0152121
4A	Single-Family Attached	No	No	1	0	0	0	260	1.19448e+06	0.0103893
4A	Single-Family Attached	Yes	No	0	0.677015	0.216361	0.106624	218	957411	0.00832734
4A	Single-Family Detached	No	No	1	0	0	0	1305	7.78252e+06	0.0626792
4A	Single-Family Detached	Yes	No	0	0.700477	0.244528	0.0549949	1069	6.45302e+06	0.0519715
4A	Mobile Home	No	Yes	1	0	0	0	13	92908.9	0.000722495
4A	Mobile Home	Yes	Yes	0	0.322363	0.299678	0.377959	11	59974.9	0.000466388
4A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	15	149406	0.000662786
4A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.522365	0.336754	0.140882	11	81855.2	0.000363121
4A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	63	563292	0.00189769
4A	Multi-Family with 5+ Units	Yes	Yes	0	0.555679	0.289742	0.154579	51	406731	0.00137025
4A	Single-Family Attached	No	Yes	1	0	0	0	16	87161.9	0.000606932
4A	Single-Family Attached	Yes	Yes	0	0.557477	0.244394	0.19813	12	52947.7	0.000368689
4A	Single-Family Detached	No	Yes	1	0	0	0	41	262605	0.00264552
4A	Single-Family Detached	Yes	Yes	0	0.587639	0.29591	0.116451	31	164097	0.00165314
4B	Mobile Home	No	No	1	0	0	0	56	50804.2	0.000493512
4B	Mobile Home	Yes	No	0	0.57918	0.288427	0.132394	71	40617.8	0.000394561
4B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	60	21713.3	0.000180784
4B	Multi-Family with 2 - 4 Units	Yes	No	0	0.486535	0.303312	0.210153	50	29999.8	0.000216881
4B	Multi-Family with 5+ Units	No	No	1	0	0	0	60	20472.3	0.000309293
4B	Multi-Family with 5+ Units	Yes	No	0	0.486535	0.303312	0.210153	50	20608.9	0.000371049
4B	Single-Family Attached	No	No	1	0	0	0	56	4506.62	0.000105868
4B	Single-Family Attached	Yes	No	0	0.57918	0.288427	0.132394	71	10400.4	0.000120577
4B	Single-Family Detached	No	No	1	0	0	0	47	297022	0.00237804
4B	Single-Family Detached	Yes	No	0	0.553345	0.317653	0.129002	62	350267	0.00280433
4B	Mobile Home	No	Yes	1	0	0	0	19	5318.1	4.49508e-05
4B	Mobile Home	Yes	Yes	0	0.374037	0.340886	0.285077	17	0	0
4B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	18	15535.4	3.04385e-05
4B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.623927	0.197189	0.178885	21	0	0
4B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	18	0	6.20763e-05
4B	Multi-Family with 5+ Units	Yes	Yes	0	0.623927	0.197189	0.178885	21	0	0
4B	Single-Family Attached	No	Yes	1	0	0	0	19	0	1.04133e-05
4B	Single-Family Attached	Yes	Yes	0	0.374037	0.340886	0.285077	17	0	0
4B	Single-Family Detached	No	Yes	1	0	0	0	19	0	0.000207929
4B	Single-Family Detached	Yes	Yes	0	0.374037	0.340886	0.285077	17	0	0
4C	Mobile Home	No	No	1	0	0	0	10	61020.2	0.000434502
4C	Mobile Home	Yes	No	0	0.422552	0.339714	0.237733	22	130190	0.000927034
4C	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	25	24490.4	0.000760977
4C	Multi-Family with 2 - 4 Units	Yes	No	0	0.357069	0.328367	0.314565	20	5915.25	0.000613906
4C	Multi-Family with 5+ Units	No	No	1	0	0	0	22	176370	0.00224288
4C	Multi-Family with 5+ Units	Yes	No	0	0.370597	0.340808	0.288595	19	156126	0.00198544
4C	Single-Family Attached	No	No	1	0	0	0	12	48262.8	0.000612397
4C	Single-Family Attached	Yes	No	0	0.535487	0.301353	0.16316	11	35649.5	0.000452349
4C	Single-Family Detached	No	No	1	0	0	0	116	645702	0.00491717
4C	Single-Family Detached	Yes	No	0	0.531922	0.347281	0.120797	265	1.4772e+06	0.0112492
4C	Mobile Home	No	Yes	1	0	0	0	28	41827.8	0.000158769
4C	Mobile Home	Yes	Yes	0	0.427029	0.382659	0.190312	40	61731.1	0.000234318
4C	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	10	102934	0.000274911
4C	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.459546	0.376469	0.163985	43	66689.2	0.00017811
4C	Multi-Family with 5+ Units	No	Yes	1	0	0	0	31	254024	0.000783736
4C	Multi-Family with 5+ Units	Yes	Yes	0	0.51331	0.309068	0.177621	35	285516	0.000880901
4C	Single-Family Attached	No	Yes	1	0	0	0	28	17688.6	8.02521e-05
4C	Single-Family Attached	Yes	Yes	0	0.427029	0.382659	0.190312	40	27652.7	0.000125458
4C	Single-Family Detached	No	Yes	1	0	0	0	18	109615	0.000805954
4C	Single-Family Detached	Yes	Yes	0	0.3526	0.43834	0.20906	25	147167	0.00108206
5A	Mobile Home	No	No	1	0	0	0	64	476244	0.00467258
5A	Mobile Home	Yes	No	0	0.521654	0.350292	0.128054	34	242469	0.00237894
5A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	128	1.33225e+06	0.0127587
5A	Multi-Family with 2 - 4 Units	Yes	No	0	0.56962	0.331629	0.0987508	105	1.09033e+06	0.0104418
5A	Multi-Family with 5+ Units	No	No	1	0	0	0	211	2.00624e+06	0.0188705
5A	Multi-Family with 5+ Units	Yes	No	0	0.539839	0.332187	0.127974	146	1.33291e+06	0.0125373
5A	Single-Family Attached	No	No	1	0	0	0	187	875958	0.00673319
5A	Single-Family Attached	Yes	No	0	0.659833	0.244318	0.0958485	191	754265	0.00579778
5A	Single-Family Detached	No	No	1	0	0	0	1338	9.24983e+06	0.0738889
5A	Single-Family Detached	Yes	No	0	0.65509	0.276109	0.0688007	1348	8.38034e+06	0.0669433
5A	Mobile Home	No	Yes	1	0	0	0	58	26553.4	0.000175062
5A	Mobile Home	Yes	Yes	0	0.446175	0.312887	0.240938	38	14821	8.44173e-05
5A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	21	281504	0.000929947
5A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.428691	0.28224	0.289069	15	162735	0.000537596
5A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	73	683944	0.0026207
5A	Multi-Family with 5+ Units	Yes	Yes	0	0.56437	0.313505	0.122126	57	491816	0.00188451
5A	Single-Family Attached	No	Yes	1	0	0	0	13	58544.4	0.000501405
5A	Single-Family Attached	Yes	Yes	0	0.446175	0.312887	0.240938	38	14581.5	0.000124883
5A	Single-Family Detached	No	Yes	1	0	0	0	42	297415	0.00229102
5A	Single-Family Detached	Yes	Yes	0	0.474729	0.305313	0.219958	31	155051	0.00119437
5B	Mobile Home	No	No	1	0	0	0	26	125183	0.00122837
5B	Mobile Home	Yes	No	0	0.381924	0.279856	0.33822	31	130789	0.00128339
5B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	54	92107.9	0.000971778
5B	Multi-Family with 2 - 4 Units	Yes	No	0	0.521476	0.204113	0.27441	11	88747.9	0.00093633
5B	Multi-Family with 5+ Units	No	No	1	0	0	0	45	361331	0.00320926
5B	Multi-Family with 5+ Units	Yes	No	0	0.487468	0.338589	0.173943	31	230117	0.00204385
5B	Single-Family Attached	No	No	1	0	0	0	34	135840	0.000952469
5B	Single-Family Attached	Yes	No	0	0.466166	0.334446	0.199388	37	126979	0.000890341
5B	Single-Family Detached	No	No	1	0	0	0	251	1.22096e+06	0.00875045
5B	Single-Family Detached	Yes	No	0	0.498021	0.384426	0.117553	439	2.05351e+06	0.0147173
5B	Mobile Home	No	Yes	1	0	0	0	18	18945.2	0.000127858
5B	Mobile Home	Yes	Yes	0	0.374037	0.340886	0.285077	17	17388.5	0.000146872
5B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	17	24292.9	0.000110993
5B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.623927	0.197189	0.178885	21	14510.2	0.000148258
5B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	13	103854	0.000308986
5B	Multi-Family with 5+ Units	Yes	Yes	0	0.654383	0.18593	0.159686	18	156661	0.000466099
5B	Single-Family Attached	No	Yes	1	0	0	0	18	6000.88	7.55904e-05
5B	Single-Family Attached	Yes	Yes	0	0.374037	0.340886	0.285077	17	4854.43	8.68312e-05
5B	Single-Family Detached	No	Yes	1	0	0	0	11	45545.1	0.000628083
5B	Single-Family Detached	Yes	Yes	0	0.335332	0.469988	0.194681	13	58731	0.000809922
6A	Mobile Home	No	No	1	0	0	0	47	207090	0.00213504
6A	Mobile Home	Yes	No	0	0.397926	0.466841	0.135233	36	113713	0.00117235
6A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	37	211869	0.00246333
6A	Multi-Family with 2 - 4 Units	Yes	No	0	0.5649	0.386361	0.0487392	38	196936	0.00228971
6A	Multi-Family with 5+ Units	No	No	1	0	0	0	84	535250	0.00476413
6A	Multi-Family with 5+ Units	Yes	No	0	0.516076	0.321857	0.162067	50	326675	0.00290765
6A	Single-Family Attached	No	No	1	0	0	0	76	212302	0.00175288
6A	Single-Family Attached	Yes	No	0	0.774563	0.215765	0.00967218	47	113432	0.000936557
6A	Single-Family Detached	No	No	1	0	0	0	562	2.49594e+06	0.0204153
6A	Single-Family Detached	Yes	No	0	0.645128	0.286634	0.0682388	581	2.47289e+06	0.0202269
6A	Mobile Home	No	Yes	1	0	0	0	26	0	2.79988e-05
6A	Mobile Home	Yes	Yes	0	0.324651	0.587982	0.087367	15	0	1.7365e-05
6A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	10	70837.4	0.000192981
6A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.578208	0.296609	0.125182	21	46680.7	0.000127171
6A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	24	140604	0.000561377
6A	Multi-Family with 5+ Units	Yes	Yes	0	0.709324	0.186505	0.104171	15	101006	0.000403275
6A	Single-Family Attached	No	Yes	1	0	0	0	26	4586.06	5.36829e-05
6A	Single-Family Attached	Yes	Yes	0	0.324651	0.587982	0.087367	15	1956.31	3.32944e-05
6A	Single-Family Detached	No	Yes	1	0	0	0	22	90413.1	0.000512871
6A	Single-Family Detached	Yes	Yes	0	0.326593	0.58304	0.0903675	13	56962.6	0.000323123
6B	Mobile Home	No	No	1	0	0	0	19	42460.2	0.000459454
6B	Mobile Home	Yes	No	0	0.40364	0.498225	0.0981347	21	42543.7	0.000460357
6B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	19	28599.3	0.000333964
6B	Multi-Family with 2 - 4 Units	Yes	No	0	0.718059	0.281941	0	10	19161	0.00022375
6B	Multi-Family with 5+ Units	No	No	1	0	0	0	12	51147.5	0.000552543
6B	Multi-Family with 5+ Units	Yes	No	0	0.718059	0.281941	0	10	20479.9	0.000221243
6B	Single-Family Attached	No	No	1	0	0	0	17	23609.4	0.000162363
6B	Single-Family Attached	Yes	No	0	0.789679	0.210321	0	12	25811.8	0.000177509
6B	Single-Family Detached	No	No	1	0	0	0	138	276915	0.00261535
6B	Single-Family Detached	Yes	No	0	0.556362	0.375745	0.0678933	171	347000	0.00327728
6B	Mobile Home	No	Yes	1	0	0	0	12	0	4.44538e-05
6B	Mobile Home	Yes	Yes	0	0.625621	0.129288	0.245091	13	2420.04	4.08147e-05
6B	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	11	6644.02	4.77547e-05
6B	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.535777	0.349533	0.11469	20	13044	3.48714e-05
6B	Multi-Family with 5+ Units	No	Yes	1	0	0	0	11	25648.7	9.71703e-05
6B	Multi-Family with 5+ Units	Yes	Yes	0	0.535777	0.349533	0.11469	20	10536.8	3.99186e-05
6B	Single-Family Attached	No	Yes	1	0	0	0	12	3840.76	1.77047e-05
6B	Single-Family Attached	Yes	Yes	0	0.625621	0.129288	0.245091	13	2682.67	1.62554e-05
6B	Single-Family Detached	No	Yes	1	0	0	0	12	19738	0.000221864
6B	Single-Family Detached	Yes	Yes	0	0.625621	0.129288	0.245091	13	16545.8	0.000185982
7A	Mobile Home	No	No	1	0	0	0	109	23716.5	0.000420807
7A	Mobile Home	Yes	No	0	0.54588	0.393109	0.061011	112	7925.77	0.000140629
7A	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	27	29641.9	0.000226674
7A	Multi-Family with 2 - 4 Units	Yes	No	0	0.388953	0.224589	0.386457	15	8449.64	9.21425e-05
7A	Multi-Family with 5+ Units	No	No	1	0	0	0	20	60386.5	0.000566396
7A	Multi-Family with 5+ Units	Yes	No	0	0.205517	0.292011	0.502472	13	28146.7	0.000264002
7A	Single-Family Attached	No	No	1	0	0	0	12	10428	7.39763e-05
7A	Single-Family Attached	Yes	No	0	0.764273	0	0.235727	14	17157.1	0.000121713
7A	Single-Family Detached	No	No	1	0	0	0	90	304362	0.00310079
7A	Single-Family Detached	Yes	No	0	0.535896	0.413336	0.050768	92	245442	0.00250053
7A	Mobile Home	No	Yes	1	0	0	0	11	0	4.81132e-06
7A	Mobile Home	Yes	Yes	0	0.425852	0.499873	0.074275	20	0	3.44616e-06
7A	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	19	15089	2.16833e-05
7A	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.561523	0.438477	0	10	7263.98	9.10768e-06
7A	Multi-Family with 5+ Units	No	Yes	1	0	0	0	15	32134.7	0.000101283
7A	Multi-Family with 5+ Units	Yes	Yes	0	0.561523	0.438477	0	10	12571.4	3.96229e-05
7A	Single-Family Attached	No	Yes	1	0	0	0	11	2470.83	7.23427e-06
7A	Single-Family Attached	Yes	Yes	0	0.425852	0.499873	0.074275	20	0	5.18162e-06
7A	Single-Family Detached	No	Yes	1	0	0	0	11	12028.5	0.000105342
7A	Single-Family Detached	Yes	Yes	0	0.425852	0.499873	0.074275	20	10385.3	9.09517e-05
7AK	Mobile Home	No	No	1	0	0	0	99	6603.57	5.1383e-05
7AK	Mobile Home	Yes	No	0	0.599159	0.30787	0.092971	104	3957.93	3.0797e-05
7AK	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	13	14364	0.000174191
7AK	Multi-Family with 2 - 4 Units	Yes	No	0	0.658992	0.258555	0.0824537	10	4031.47	4.88893e-05
7AK	Multi-Family with 5+ Units	No	No	1	0	0	0	12	12586.8	0.000143547
7AK	Multi-Family with 5+ Units	Yes	No	0	0.658992	0.258555	0.0824537	10	5777.73	6.58925e-05
7AK	Single-Family Attached	No	No	1	0	0	0	14	7650.96	4.91969e-05
7AK	Single-Family Attached	Yes	No	0	0.590758	0.372368	0.0368747	24	12937.5	8.31906e-05
7AK	Single-Family Detached	No	No	1	0	0	0	78	61815.7	0.00054388
7AK	Single-Family Detached	Yes	No	0	0.603464	0.300849	0.0956878	76	59645.6	0.000524787
7AK	Mobile Home	No	Yes	1	0	0	0	20	0	2.29255e-06
7AK	Mobile Home	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	4.66028e-07
7AK	Multi-Family with 2 - 4 Units	No	Yes	1	0	0	0	12	3291.6	4.39995e-06
7AK	Multi-Family with 2 - 4 Units	Yes	Yes	0	0.599009	0.261893	0.139099	4	1890.55	9.40833e-07
7AK	Multi-Family with 5+ Units	No	Yes	1	0	0	0	12	10594.9	4.85105e-06
7AK	Multi-Family with 5+ Units	Yes	Yes	0	0.599009	0.261893	0.139099	4	1078.77	4.93935e-07
7AK	Single-Family Attached	No	Yes	1	0	0	0	20	1145.67	6.31009e-06
7AK	Single-Family Attached	Yes	Yes	0	0.599009	0.261893	0.139099	4	479.764	1.28271e-06
7AK	Single-Family Detached	No	Yes	1	0	0	0	20	1935	4.15927e-05
7AK	Single-Family Detached	Yes	Yes	0	0.599009	0.261893	0.139099	4	0	8.45496e-06
7B	Mobile Home	No	No	1	0	0	0	176	0	4.94134e-05
7B	Mobile Home	Yes	No	0	0.554512	0.379038	0.0664501	206	0	3.66853e-05
7B	Multi-Family with 2 - 4 Units	No	No	1	0	0	0	19	0	3.27003e-05
