Dependency=Electric Vehicle Charger	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Option=0-19%	Option=20-39%	Option=40-59%	Option=60%-79%	Option=80%-99%	Option=100%	source_count	source_weight	sampling_probability
Level 1 charger	150-200%	Single-Family Detached	0.0131621	0	0	0.00586341	0.600675	0.3803	0.00766432	32.5567	0.000270046
Level 1 charger	200-300%	Mobile Home	0	0	0	0.0438917	0.331105	0.625003	0.00224759	9.80717	2.32423e-05
Level 1 charger	200-300%	Multi-Family with 2 - 4 Units	0	0	0	0	0.406947	0.593053	0.00233759	13.4089	0.000168893
Level 1 charger	200-300%	Multi-Family with 5+ Units	0.234434	0	0	0	0	0.765566	0.0056259	32.7663	8.51778e-05
Level 1 charger	200-300%	Single-Family Attached	0.0208697	0	0	0	0.433227	0.545903	0.00403828	10.6859	3.12833e-05
Level 1 charger	200-300%	Single-Family Detached	0.0107551	0	0.000639444	0.00954815	0.250397	0.72866	0.0284087	110.56	0.000348884
Level 1 charger	300-400%	Mobile Home	0	0	0	0.0537396	0.641732	0.304528	0.001566	6.61848	1.06152e-05
Level 1 charger	300-400%	Multi-Family with 2 - 4 Units	0	0	0	0	0.731869	0.268131	0.00162871	9.04918	7.40537e-05
Level 1 charger	300-400%	Multi-Family with 5+ Units	0.00271776	0	0	0	0	0.997282	0.00391983	22.1127	0.000162368
Level 1 charger	300-400%	Single-Family Attached	7.96516e-05	0.0267388	0	0	0.739062	0.23412	0.00281366	7.21149	9.4037e-05
Level 1 charger	300-400%	Single-Family Detached	5.42285e-05	0.00379196	0.00538794	0.013594	0.564329	0.412843	0.0197937	74.6125	0.000467496
Level 1 charger	400%+	Mobile Home	0	0	0	0.0274004	0.467576	0.505023	0.0118922	69.0015	7.57289e-05
Level 1 charger	400%+	Multi-Family with 2 - 4 Units	0	0	0	0	0.545295	0.454705	0.0123684	94.3429	0.00013151
Level 1 charger	400%+	Multi-Family with 5+ Units	0.0637008	0	0	0	0	0.936299	0.0297672	230.538	0.000500691
Level 1 charger	400%+	Single-Family Attached	0.00348385	0.0174581	0	0	0.568885	0.410173	0.0213669	75.1839	0.000675684
Level 1 charger	400%+	Single-Family Detached	0.00202023	0.00210876	0.00359182	0.00623679	0.369985	0.616058	0.150313	777.878	0.00453127
Level 1 charger	Not Available	Mobile Home	0	0	0	0.0315984	0.473644	0.494758	0.0558378	401.491	0
Level 1 charger	Not Available	Multi-Family with 2 - 4 Units	0	0	0	0	0.553571	0.446429	0.0580736	548.943	0
Level 1 charger	Not Available	Multi-Family with 5+ Units	0.111797	0	0	0	0	0.888203	0.139767	1341.41	0
Level 1 charger	Not Available	Single-Family Attached	0.00630951	0.0163336	0	0	0.575828	0.401529	0.100325	437.465	0
Level 1 charger	Not Available	Single-Family Detached	0.00368147	0.00198516	0.00346607	0.0072314	0.376822	0.606814	0.705769	4526.15	0
Level 2 charger	0-100%	Mobile Home	0	0	0	0	0.347925	0.652075	0.000460652	3.42102	3.24494e-06
Level 2 charger	0-100%	Multi-Family with 2 - 4 Units	0	0	0	0	0.408674	0.591326	0.000479097	4.67742	4.64974e-06
Level 2 charger	0-100%	Multi-Family with 5+ Units	0.223915	0	0	0	0	0.776085	0.00115305	11.4298	3.30592e-05
Level 2 charger	0-100%	Single-Family Attached	0.0196258	0	0	0	0.435507	0.544867	0.00082766	3.72754	5.6795e-07
Level 2 charger	0-100%	Single-Family Detached	0.010211	0	0.00140318	0	0.25413	0.734256	0.00582247	38.5664	7.3007e-05
Level 2 charger	100-150%	Mobile Home	0	0	0	0.512137	0.373004	0.114859	0.00027847	1.3498	1.2818e-06
Level 2 charger	100-150%	Multi-Family with 2 - 4 Units	0	0	0	0	0.807929	0.192071	0.00028962	1.84552	6.20862e-07
Level 2 charger	100-150%	Multi-Family with 5+ Units	0.740585	0	0	0	0	0.259415	0.000697033	4.50975	5.21756e-06
Level 2 charger	100-150%	Single-Family Attached	0.0572885	0	0	0	0.781972	0.16074	0.000500331	1.47074	8.38168e-07
Level 2 charger	100-150%	Single-Family Detached	0.0336135	0	0.00428951	0.203236	0.514583	0.244278	0.00351976	15.2167	1.69453e-05
Level 2 charger	150-200%	Mobile Home	0	0	0	0.0619587	0.741185	0.196857	0.000301445	1.39888	9.88369e-07
Level 2 charger	150-200%	Multi-Family with 2 - 4 Units	0	0	0	0	0.82984	0.17016	0.000313515	1.91263	6.74864e-07
Level 2 charger	150-200%	Multi-Family with 5+ Units	0.302718	0	0	0	0	0.697282	0.00075454	4.67373	6.01156e-06
Level 2 charger	150-200%	Single-Family Attached	0.00809621	0	0	0	0.842525	0.149379	0.00054161	1.52422	7.71534e-07
Level 2 charger	150-200%	Single-Family Detached	0.00594149	0	0	0.0166749	0.69345	0.283934	0.00381015	15.7701	3.73589e-05
Level 2 charger	200-300%	Mobile Home	0	0	0	0.128195	0.392569	0.479235	0.00111734	4.75047	2.43552e-06
Level 2 charger	200-300%	Multi-Family with 2 - 4 Units	0	0	0	0	0.514806	0.485194	0.00116208	6.49512	1.63713e-05
Level 2 charger	200-300%	Multi-Family with 5+ Units	0.156223	0	0	0	0	0.843777	0.0027968	15.8716	8.3392e-06
Level 2 charger	200-300%	Single-Family Attached	0.010272	0	0	0	0.545328	0.4444	0.00200754	5.17611	3.02003e-06
Level 2 charger	200-300%	Single-Family Detached	0.00560959	0	0.000422945	0.0313748	0.334006	0.628587	0.0141228	53.5538	0.000124385
Level 2 charger	300-400%	Mobile Home	0	0	0	0.136329	0.660858	0.202814	0.000778505	3.20591	1.10474e-06
Level 2 charger	300-400%	Multi-Family with 2 - 4 Units	0	0	0	0	0.80845	0.19155	0.000809677	4.38331	7.21114e-06
Level 2 charger	300-400%	Multi-Family with 5+ Units	0.00164496	0	0	0	0	0.998355	0.00194866	10.7111	1.57828e-05
Level 2 charger	300-400%	Single-Family Attached	3.49074e-05	0.00192125	0	0	0.828343	0.169701	0.00139875	3.49316	1.00114e-05
Level 2 charger	300-400%	Single-Family Detached	2.44359e-05	0.000280146	0.00307884	0.0385915	0.650339	0.307686	0.00984002	36.1414	0.000294737
Level 2 charger	400%+	Mobile Home	0	0	0	0.0783335	0.542631	0.379035	0.00591196	33.4234	4.02695e-05
Level 2 charger	400%+	Multi-Family with 2 - 4 Units	0	0	0	0	0.649655	0.350345	0.00614868	45.6985	7.9064e-05
Level 2 charger	400%+	Multi-Family with 5+ Units	0.0395095	0	0	0	0	0.96049	0.0147981	111.67	0.000321074
Level 2 charger	400%+	Single-Family Attached	0.00162824	0.00133775	0	0	0.67997	0.317064	0.0106221	36.4182	0.000391921
Level 2 charger	400%+	Single-Family Detached	0.00100441	0.000171893	0.00226458	0.0195351	0.470437	0.506587	0.074725	376.794	0.00437996
Level 2 charger	Not Available	Mobile Home	0	0	0	0.0893221	0.54351	0.367168	0.0277586	194.477	0
Level 2 charger	Not Available	Multi-Family with 2 - 4 Units	0	0	0	0	0.657225	0.342775	0.02887	265.901	0
Level 2 charger	Not Available	Multi-Family with 5+ Units	0.0707198	0	0	0	0	0.92928	0.0694819	649.76	0
Level 2 charger	Not Available	Single-Family Attached	0.00294048	0.00124802	0	0	0.686311	0.3095	0.0498742	211.902	0
Level 2 charger	Not Available	Single-Family Detached	0.00182134	0.000161021	0.00217455	0.022539	0.476773	0.496531	0.350858	2192.41	0
None	0-100%	Mobile Home	0	0	0	0	0.324553	0.675447	12.2552	96566.1	0.0102903
None	0-100%	Multi-Family with 2 - 4 Units	0	0	0	0	0.383622	0.616378	12.7459	132031	0.0137629
None	0-100%	Multi-Family with 5+ Units	0.780465	0	0	0	0	0.219535	30.6757	322633	0.0308106
None	0-100%	Single-Family Attached	0.205131	0	0	0	0.332682	0.462187	22.019	105218	0.00552357
None	0-100%	Single-Family Detached	0.112913	0	0.022766	0	0.205381	0.658939	154.901	1.08862e+06	0.0430632
None	100-150%	Mobile Home	0	0	0	0.799021	0.149768	0.0512108	7.40841	38101.1	0.0077376
None	100-150%	Multi-Family with 2 - 4 Units	0	0	0	0	0.791148	0.208852	7.70505	52094	0.00845442
None	100-150%	Multi-Family with 5+ Units	0.972358	0	0	0	0	0.027642	18.5439	127298	0.0184979
None	100-150%	Single-Family Attached	0.449377	0	0	0	0.448296	0.102327	13.3108	41514.9	0.00392352
None	100-150%	Single-Family Detached	0.216782	0	0.0405897	0.372227	0.242547	0.127855	93.6396	429527	0.0365664
None	150-200%	Mobile Home	0	0	0	0.200538	0.61738	0.182083	8.01963	39486.5	0.00641635
None	150-200%	Multi-Family with 2 - 4 Units	0	0	0	0	0.814534	0.185466	8.34074	53988.3	0.00717392
None	150-200%	Multi-Family with 5+ Units	0.842505	0	0	0	0	0.157495	20.0738	131927	0.0151395
None	150-200%	Single-Family Attached	0.0989809	0	0	0	0.752807	0.148212	14.409	43024.5	0.00397111
None	150-200%	Single-Family Detached	0.0703959	0	0	0.0561066	0.600478	0.273019	101.365	445146	0.0386606
None	200-300%	Mobile Home	0	0	0	0.350089	0.275903	0.374009	29.7257	134093	0.0101076
None	200-300%	Multi-Family with 2 - 4 Units	0	0	0	0	0.488625	0.511375	30.916	183340	0.0115716
None	200-300%	Multi-Family with 5+ Units	0.695248	0	0	0	0	0.304752	74.4059	448012	0.0252804
None	200-300%	Single-Family Attached	0.119173	0	0	0	0.462396	0.41843	53.4086	146107	0.00814199
None	200-300%	Single-Family Detached	0.0619398	0	0.00685206	0.0983827	0.26954	0.563285	375.722	1.51168e+06	0.0834286
None	300-400%	Mobile Home	0	0	0	0.374156	0.466774	0.15907	20.7113	90494.1	0.00626975
None	300-400%	Multi-Family with 2 - 4 Units	0	0	0	0	0.791703	0.208297	21.5406	123729	0.00813616
None	300-400%	Multi-Family with 5+ Units	0.0198984	0	0	0	0	0.980102	51.8421	302346	0.0182268
None	300-400%	Single-Family Attached	0.000373303	0.204926	0	0	0.647418	0.147282	37.2123	98602.3	0.00693556
None	300-400%	Single-Family Detached	0.000269128	0.0307741	0.0497527	0.120704	0.523481	0.275019	261.784	1.02017e+06	0.0761405
None	400%+	Mobile Home	0	0	0	0.240065	0.427975	0.33196	157.282	943452	0.00830516
None	400%+	Multi-Family with 2 - 4 Units	0	0	0	0	0.625456	0.374544	163.579	1.28994e+06	0.0184854
None	400%+	Multi-Family with 5+ Units	0.336366	0	0	0	0	0.663634	393.688	3.15213e+06	0.0488008
None	400%+	Single-Family Attached	0.0180118	0.147598	0	0	0.549741	0.284649	282.59	1.02799e+06	0.023203
None	400%+	Single-Family Detached	0.0115338	0.0196874	0.0381546	0.0637052	0.394814	0.472105	1987.98	1.06359e+07	0.260972
None	Not Available	Mobile Home	0	0	0	0.267331	0.418631	0.314038	738.488	5.48956e+06	0.0131485
None	Not Available	Multi-Family with 2 - 4 Units	0	0	0	0	0.633253	0.366747	768.058	7.50566e+06	0.0118498
None	Not Available	Multi-Family with 5+ Units	0.483928	0	0	0	0	0.516072	1848.49	1.83409e+07	0.0258791
None	Not Available	Single-Family Attached	0.0324321	0.137293	0	0	0.553235	0.27704	1326.85	5.98142e+06	0.00563471
None	Not Available	Single-Family Detached	0.0206593	0.0182171	0.0361904	0.0726037	0.395246	0.457084	9334.21	6.18858e+07	0.0650048
# Created by: sources\recs\recs2020\tsv_maker.py
# Description: The percentage a household would or do charge their electric vehicle at home.
# Source: Constructed using U.S. EIA 2020 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Due to low sample count, the tsv is constructed by downscaling a dwelling unit sub-tsv with a household sub-tsv. The three sub-tsvs have the following dependencies: tsv1 dependency=['Geometry Building Type RECS'], tsv2 dependency=['Federal Poverty Level'], tsv3 dependency=['Electric Vehicle Outlet Access']. In combining tsv1, tsv2, and tsv3, the conditional relationships are ignored across ('Geometry Building Type RECS', 'Federal Poverty Level', and 'Electric Vehicle Outlet Access').
