Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area	Option=1	Option=2	Option=3	Option=4	Option=5	source_count	source_weight	sampling_probability
Single-Family Attached	3000-3999	0.0254371	0.153397	0.421131	0.307776	0.0922589	239	433454	0.00161781
Single-Family Attached	4000+	0.035588	0.10829	0.280871	0.215421	0.35983	138	264871	0.00103604
Single-Family Attached	500-749	0.453218	0.419069	0.12048	0.00617139	0.0010618	483	811893	0.0029648
Single-Family Attached	750-999	0.161809	0.631987	0.189563	0.0163872	0.000253424	1060	1.85415e+06	0.00685536
Single-Family Detached	0-499	0.613662	0.386338	0	0	0	403	939553	0.00530309
Single-Family Detached	1000-1499	0.0198385	0.244068	0.629765	0.0932943	0.013034	16079	3.76093e+07	0.147346
Single-Family Detached	1500-1999	0.00818106	0.110656	0.649153	0.210593	0.0214163	17443	4.01901e+07	0.152916
Single-Family Detached	2000-2499	0.00515512	0.063374	0.47901	0.39269	0.0597713	12462	2.87644e+07	0.109528
Single-Family Detached	2500-2999	0.00265809	0.0423632	0.358281	0.471325	0.125373	7058	1.59438e+07	0.0602741
Single-Family Detached	3000-3999	0.00206056	0.0305437	0.228724	0.492168	0.246504	7070	1.53907e+07	0.0578433
Single-Family Detached	4000+	0.00472433	0.0234625	0.184126	0.375376	0.412312	3539	7.56338e+06	0.0270152
Single-Family Detached	500-749	0.308812	0.483889	0.155609	0.0347042	0.0169854	1093	2.48355e+06	0.0144814
Single-Family Detached	750-999	0.0961411	0.50057	0.350132	0.0439045	0.00925307	4003	9.44005e+06	0.0403357
# Created by: sources\ahs\ahs2017_2019\tsv_maker.py
# Description: The number of bedrooms in the dwelling unit.
# Source: Constructed using 2017 and 2019 American Housing Survey (AHS) microdata.
# Source: Building type categorization based on U.S. EIA 2009 Residential Energy Consumption Survey (RECS).
# Assumption: More than 5 bedrooms are labeled as 5 bedrooms and 0 bedrooms are labeled as 1 bedroom
# Assumption: Limit 0-499 sqft dwelling units to only 1 or 2 bedrooms. The geometry measure has a limit of (ffa-120)/70 >= bedrooms.
