Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Tenure	Dependency=Vintage	Option=EnergyStar	Option=None	Option=Standard	Option=Void	source_count	source_weight	sampling_probability
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.565958	3654.66	0
None	0-100%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	5.22423	39273	0
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.0134042	46.1029	1.58355e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.00558508	71.7397	4.01885e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.0075957	87.5696	3.27456e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.0102765	114.726	3.86697e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.0075957	93.4514	2.6597e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.00502657	61.6979	1.63834e-05
None	0-100%	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.00346275	32.9028	7.0278e-06
None	0-100%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.00145212	11.087	1.25206e-06
None	0-100%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.0134042	119.141	6.4285e-05
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	4.70653	13569.2	0.0005381
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	1.96105	21114.7	0.00100208
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	2.66703	25773.9	0.00106537
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	3.60834	33766.7	0.00143284
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	2.66703	27505	0.00100389
None	0-100%	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	1.76495	18159.2	0.000769571
None	0-100%	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	1.21585	9684.1	0.000422775
None	0-100%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.509874	3263.16	0.000100779
None	0-100%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	4.70653	35066	0.00198388
None	0-100%	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	4.18785	12206.7	0
None	0-100%	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	1.99155	18846.8	0
None	0-100%	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	3.72253	35789.3	0
None	0-100%	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	5.08126	49626.6	0
None	0-100%	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	3.29444	32680	0
None	0-100%	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	1.67514	16401.5	0
None	0-100%	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	1.58208	14395.5	0
None	0-100%	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	0.949246	8219.68	0
None	0-100%	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	4.18785	31545	0
None	0-100%	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.00739739	20.1479	2.194e-05
None	0-100%	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.00351787	31.1077	6.01591e-05
None	0-100%	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.00657546	59.0723	0.00010947
None	0-100%	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.0089755	81.9116	0.000153339
None	0-100%	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.00581928	53.9402	5.00937e-05
None	0-100%	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.00295896	27.0716	2.50212e-05
None	0-100%	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.00279457	23.7606	1.38196e-05
None	0-100%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	0	0.00167674	13.567	5.93643e-06
None	0-100%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	0	0.00739739	52.0668	5.05552e-05
None	0-100%	Multi-Family with 5+ Units	Renter	1940s	0	1	0	0	3.84303	11235	0.000955725
None	0-100%	Multi-Family with 5+ Units	Renter	1950s	0	1	0	0	1.82757	17346.5	0.00183506
None	0-100%	Multi-Family with 5+ Units	Renter	1960s	0	1	0	0	3.41602	32940.3	0.00326995
None	0-100%	Multi-Family with 5+ Units	Renter	1970s	0	1	0	0	4.66287	45676.2	0.00516258
None	0-100%	Multi-Family with 5+ Units	Renter	1980s	0	1	0	0	3.02318	30078.5	0.00326708
None	0-100%	Multi-Family with 5+ Units	Renter	1990s	0	1	0	0	1.53721	15095.8	0.00217266
None	0-100%	Multi-Family with 5+ Units	Renter	2000s	0	1	0	0	1.45181	13249.5	0.00168323
None	0-100%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	0	0.871086	7565.36	0.000666747
None	0-100%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	0	3.84303	29033.9	0.00295528
None	0-100%	Single-Family Attached	Not Available	1940s	0	0	0	1	0.153796	330.508	0
None	0-100%	Single-Family Attached	Not Available	1950s	0	0	0	1	0.0999673	453.163	0
None	0-100%	Single-Family Attached	Not Available	1960s	0	0	0	1	0.153796	885.71	0
None	0-100%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.153796	759.408	0
None	0-100%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.169175	939.81	0
None	0-100%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.115347	721.191	0
None	0-100%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.0768979	350.857	0
None	0-100%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.138416	63.528	0
None	0-100%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.153796	854.108	0
None	0-100%	Single-Family Attached	Owner	1940s	0	1	0	0	0.00908704	20.2438	9.48724e-06
None	0-100%	Single-Family Attached	Owner	1950s	0	1	0	0	0.00590658	27.7564	1.23737e-05
None	0-100%	Single-Family Attached	Owner	1960s	0	1	0	0	0.00908704	54.2502	1.05569e-05
None	0-100%	Single-Family Attached	Owner	1970s	0	1	0	0	0.00908704	46.5141	1.36861e-05
None	0-100%	Single-Family Attached	Owner	1980s	0	1	0	0	0.00999574	57.5638	1.67457e-05
None	0-100%	Single-Family Attached	Owner	1990s	0	1	0	0	0.00681528	44.1733	1.22884e-05
None	0-100%	Single-Family Attached	Owner	2000s	0	1	0	0	0.00454352	21.4902	2.52019e-06
None	0-100%	Single-Family Attached	Owner	2010s	0	1	0	0	0.00817834	3.89112	9.71193e-07
None	0-100%	Single-Family Attached	Owner	<1940	0	1	0	0	0.00908704	52.3146	2.78833e-05
None	0-100%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0881032	187.158	9.6781e-05
None	0-100%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0572671	256.614	0.000137043
None	0-100%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0881032	501.554	0.00010474
None	0-100%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0881032	430.033	0.000152809
None	0-100%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0969135	532.189	0.000115887
None	0-100%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0660774	408.392	8.6366e-05
None	0-100%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0440516	198.681	4.4904e-05
None	0-100%	Single-Family Attached	Renter	2010s	0	1	0	0	0.0792929	35.9742	5.27956e-06
None	0-100%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0881032	483.659	0.000267384
None	0-100%	Single-Family Detached	Not Available	1940s	0	0	0	1	0.175295	413.39	0
None	0-100%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.0776622	675.188	0
None	0-100%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.0576919	377.441	0
None	0-100%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.0687865	537.184	0
None	0-100%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.0687865	461.542	0
None	0-100%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.0465973	387.434	0
None	0-100%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.0377216	229.258	0
None	0-100%	Single-Family Detached	Not Available	2010s	0	0	0	1	0.0332838	162.255	0
None	0-100%	Single-Family Detached	Not Available	<1940	0	0	0	1	0.175295	1068.29	0
None	0-100%	Single-Family Detached	Owner	1940s	0	1	0	0	0.0810037	184.848	0.000206135
None	0-100%	Single-Family Detached	Owner	1950s	0	1	0	0	0.0358877	301.912	0.000272524
None	0-100%	Single-Family Detached	Owner	1960s	0	1	0	0	0.0266594	168.774	0.000199694
None	0-100%	Single-Family Detached	Owner	1970s	0	1	0	0	0.0317863	240.203	0.000253779
None	0-100%	Single-Family Detached	Owner	1980s	0	1	0	0	0.0317863	206.38	0.000102096
None	0-100%	Single-Family Detached	Owner	1990s	0	1	0	0	0.0215326	173.242	7.75733e-05
None	0-100%	Single-Family Detached	Owner	2000s	0	1	0	0	0.0174312	102.513	4.15283e-05
None	0-100%	Single-Family Detached	Owner	2010s	0	1	0	0	0.0153804	72.5528	1.81534e-05
None	0-100%	Single-Family Detached	Owner	<1940	0	1	0	0	0.0810037	477.691	0.000353856
None	0-100%	Single-Family Detached	Renter	1940s	0	1	0	0	0.0179427	45.375	0.0003726
None	0-100%	Single-Family Detached	Renter	1950s	0	1	0	0	0.0079493	74.1108	0.000557134
None	0-100%	Single-Family Detached	Renter	1960s	0	1	0	0	0.0059052	41.4291	0.000264476
None	0-100%	Single-Family Detached	Renter	1970s	0	1	0	0	0.00704081	58.9631	0.000431792
None	0-100%	Single-Family Detached	Renter	1980s	0	1	0	0	0.00704081	50.6604	0.000227743
None	0-100%	Single-Family Detached	Renter	1990s	0	1	0	0	0.00476958	42.5261	0.000255916
None	0-100%	Single-Family Detached	Renter	2000s	0	1	0	0	0.00386109	25.1641	0.000145611
None	0-100%	Single-Family Detached	Renter	2010s	0	1	0	0	0.00340684	17.8097	5.48037e-05
None	0-100%	Single-Family Detached	Renter	<1940	0	1	0	0	0.0179427	117.259	0.000695825
None	100-150%	Mobile Home	Not Available	1940s	0	0	0	1	2.7174	61.473	0
None	100-150%	Mobile Home	Not Available	1950s	0	0	0	1	1.37215	789.275	0
None	100-150%	Mobile Home	Not Available	1960s	0	0	0	1	0.295955	1639.22	0
None	100-150%	Mobile Home	Not Available	1970s	0	0	0	1	0.43048	2252.06	0
None	100-150%	Mobile Home	Not Available	1980s	0	0	0	1	0.457385	2683.69	0
None	100-150%	Mobile Home	Not Available	1990s	0	0	0	1	0.349765	2230.34	0
None	100-150%	Mobile Home	Not Available	2000s	0	0	0	1	0.26905	1213.79	0
None	100-150%	Mobile Home	Not Available	2010s	0	0	0	1	0.672625	1025.58	0
None	100-150%	Mobile Home	Not Available	<1940	0	0	0	1	2.7174	158.86	0
None	100-150%	Mobile Home	Owner	1940s	0	1	0	0	1.7162	39.7426	1.67585e-06
None	100-150%	Mobile Home	Owner	1950s	0	1	0	0	0.866597	510.27	3.77901e-06
None	100-150%	Mobile Home	Owner	1960s	0	1	0	0	0.186913	1059.77	4.04098e-05
None	100-150%	Mobile Home	Owner	1970s	0	1	0	0	0.271873	1455.97	0.000116116
None	100-150%	Mobile Home	Owner	1980s	0	1	0	0	0.288866	1735.02	0.000105214
None	100-150%	Mobile Home	Owner	1990s	0	1	0	0	0.220897	1441.93	9.7453e-05
None	100-150%	Mobile Home	Owner	2000s	0	1	0	0	0.169921	784.721	5.06777e-05
None	100-150%	Mobile Home	Owner	2010s	0	1	0	0	0.424802	663.041	7.15386e-06
None	100-150%	Mobile Home	Owner	<1940	0	1	0	0	1.7162	102.704	2.03685e-06
None	100-150%	Mobile Home	Renter	1940s	0	1	0	0	0.11423	2.36021	9.69102e-07
None	100-150%	Mobile Home	Renter	1950s	0	1	0	0	0.0576806	30.3036	2.30782e-06
None	100-150%	Mobile Home	Renter	1960s	0	1	0	0	0.0124409	62.9367	1.38307e-05
None	100-150%	Mobile Home	Renter	1970s	0	1	0	0	0.0180959	86.466	3.9972e-05
None	100-150%	Mobile Home	Renter	1980s	0	1	0	0	0.0192269	103.038	6.80826e-05
None	100-150%	Mobile Home	Renter	1990s	0	1	0	0	0.0147029	85.6323	5.61036e-05
None	100-150%	Mobile Home	Renter	2000s	0	1	0	0	0.0113099	46.6025	1.57643e-05
None	100-150%	Mobile Home	Renter	2010s	0	1	0	0	0.0282748	39.3763	1.60369e-05
None	100-150%	Mobile Home	Renter	<1940	0	1	0	0	0.11423	6.09932	1.43994e-06
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1940s	0	0	0	1	1.13652	1961.17	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1950s	0	0	0	1	0.47355	3051.72	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1960s	0	0	0	1	0.644027	3725.11	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1970s	0	0	0	1	0.871331	4880.32	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1980s	0	0	0	1	0.644027	3975.32	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	1990s	0	0	0	1	0.426195	2624.56	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	2000s	0	0	0	1	0.293601	1399.65	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	2010s	0	0	0	1	0.123123	471.626	0
None	100-150%	Multi-Family with 2 - 4 Units	Not Available	<1940	0	0	0	1	1.13652	5068.1	0
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1940s	0	1	0	0	0.011699	27.3422	1.17138e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1950s	0	1	0	0	0.0048746	42.5465	3.1917e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1960s	0	1	0	0	0.00662946	51.9348	2.65046e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1970s	0	1	0	0	0.00896927	68.0406	3.18455e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1980s	0	1	0	0	0.00662946	55.4231	2.00811e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	1990s	0	1	0	0	0.00438714	36.5911	1.34263e-05
None	100-150%	Multi-Family with 2 - 4 Units	Owner	2000s	0	1	0	0	0.00302225	19.5136	4.91521e-06
None	100-150%	Multi-Family with 2 - 4 Units	Owner	2010s	0	1	0	0	0.0012674	6.57533	7.19436e-07
None	100-150%	Multi-Family with 2 - 4 Units	Owner	<1940	0	1	0	0	0.011699	70.6586	5.26199e-05
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1940s	0	1	0	0	0.914942	1525.38	0.000254276
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1950s	0	1	0	0	0.381226	2373.6	0.000546749
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1960s	0	1	0	0	0.518467	2897.36	0.000555811
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1970s	0	1	0	0	0.701455	3795.87	0.000757425
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1980s	0	1	0	0	0.518467	3091.97	0.000522764
None	100-150%	Multi-Family with 2 - 4 Units	Renter	1990s	0	1	0	0	0.343103	2041.36	0.000388756
None	100-150%	Multi-Family with 2 - 4 Units	Renter	2000s	0	1	0	0	0.23636	1088.63	0.000201876
None	100-150%	Multi-Family with 2 - 4 Units	Renter	2010s	0	1	0	0	0.0991187	366.827	4.78429e-05
None	100-150%	Multi-Family with 2 - 4 Units	Renter	<1940	0	1	0	0	0.914942	3941.93	0.000931042
None	100-150%	Multi-Family with 5+ Units	Not Available	1940s	0	0	0	1	1.58162	2828.41	0
None	100-150%	Multi-Family with 5+ Units	Not Available	1950s	0	0	0	1	0.752149	4366.97	0
None	100-150%	Multi-Family with 5+ Units	Not Available	1960s	0	0	0	1	1.40589	8292.7	0
None	100-150%	Multi-Family with 5+ Units	Not Available	1970s	0	0	0	1	1.91903	11498.9	0
None	100-150%	Multi-Family with 5+ Units	Not Available	1980s	0	0	0	1	1.24421	7572.25	0
None	100-150%	Multi-Family with 5+ Units	Not Available	1990s	0	0	0	1	0.632648	3800.37	0
None	100-150%	Multi-Family with 5+ Units	Not Available	2000s	0	0	0	1	0.597501	3335.56	0
None	100-150%	Multi-Family with 5+ Units	Not Available	2010s	0	0	0	1	0.358501	1904.57	0
None	100-150%	Multi-Family with 5+ Units	Not Available	<1940	0	0	0	1	1.58162	7309.26	0
None	100-150%	Multi-Family with 5+ Units	Owner	1940s	0	1	0	0	0.0064535	12.885	1.36221e-05
None	100-150%	Multi-Family with 5+ Units	Owner	1950s	0	1	0	0	0.003069	19.8941	3.77518e-05
None	100-150%	Multi-Family with 5+ Units	Owner	1960s	0	1	0	0	0.00573644	37.7781	7.26372e-05
None	100-150%	Multi-Family with 5+ Units	Owner	1970s	0	1	0	0	0.00783024	52.3843	0.000101623
None	100-150%	Multi-Family with 5+ Units	Owner	1980s	0	1	0	0	0.00507675	34.496	3.24053e-05
None	100-150%	Multi-Family with 5+ Units	Owner	1990s	0	1	0	0	0.0025814	17.3129	1.57412e-05
None	100-150%	Multi-Family with 5+ Units	Owner	2000s	0	1	0	0	0.00243799	15.1954	7.62671e-06
None	100-150%	Multi-Family with 5+ Units	Owner	2010s	0	1	0	0	0.00146279	8.67643	2.506e-06
None	100-150%	Multi-Family with 5+ Units	Owner	<1940	0	1	0	0	0.0064535	33.2979	2.60604e-05
None	100-150%	Multi-Family with 5+ Units	Renter	1940s	0	1	0	0	1.38571	2459.49	0.000503132
None	100-150%	Multi-Family with 5+ Units	Renter	1950s	0	1	0	0	0.658982	3797.37	0.00101346
None	100-150%	Multi-Family with 5+ Units	Renter	1960s	0	1	0	0	1.23174	7211.05	0.00175696
None	100-150%	Multi-Family with 5+ Units	Renter	1970s	0	1	0	0	1.68133	9999.08	0.00280678
None	100-150%	Multi-Family with 5+ Units	Renter	1980s	0	1	0	0	1.09009	6584.56	0.00171483
None	100-150%	Multi-Family with 5+ Units	Renter	1990s	0	1	0	0	0.554284	3304.67	0.00110673
None	100-150%	Multi-Family with 5+ Units	Renter	2000s	0	1	0	0	0.52349	2900.49	0.000780735
None	100-150%	Multi-Family with 5+ Units	Renter	2010s	0	1	0	0	0.314094	1656.15	0.000264597
None	100-150%	Multi-Family with 5+ Units	Renter	<1940	0	1	0	0	1.38571	6355.88	0.00157779
None	100-150%	Single-Family Attached	Not Available	1940s	0	0	0	1	0.0964731	152.512	0
None	100-150%	Single-Family Attached	Not Available	1950s	0	0	0	1	0.0627075	209.11	0
None	100-150%	Single-Family Attached	Not Available	1960s	0	0	0	1	0.0964731	408.708	0
None	100-150%	Single-Family Attached	Not Available	1970s	0	0	0	1	0.0964731	350.426	0
None	100-150%	Single-Family Attached	Not Available	1980s	0	0	0	1	0.10612	433.672	0
None	100-150%	Single-Family Attached	Not Available	1990s	0	0	0	1	0.0723548	332.791	0
None	100-150%	Single-Family Attached	Not Available	2000s	0	0	0	1	0.0482365	161.902	0
None	100-150%	Single-Family Attached	Not Available	2010s	0	0	0	1	0.0868258	29.3148	0
None	100-150%	Single-Family Attached	Not Available	<1940	0	0	0	1	0.0964731	394.125	0
None	100-150%	Single-Family Attached	Owner	1940s	0	1	0	0	0.0211561	32.7586	6.20463e-06
None	100-150%	Single-Family Attached	Owner	1950s	0	1	0	0	0.0137514	44.9156	6.11881e-06
None	100-150%	Single-Family Attached	Owner	1960s	0	1	0	0	0.0211561	87.788	7.74933e-06
None	100-150%	Single-Family Attached	Owner	1970s	0	1	0	0	0.0211561	75.2694	1.51218e-05
None	100-150%	Single-Family Attached	Owner	1980s	0	1	0	0	0.0232717	93.1501	9.74902e-06
None	100-150%	Single-Family Attached	Owner	1990s	0	1	0	0	0.0158671	71.4815	9.89147e-06
None	100-150%	Single-Family Attached	Owner	2000s	0	1	0	0	0.010578	34.7755	1.95717e-06
None	100-150%	Single-Family Attached	Owner	2010s	0	1	0	0	0.0190405	6.29663	5.70408e-07
None	100-150%	Single-Family Attached	Owner	<1940	0	1	0	0	0.0211561	84.6557	1.2365e-05
None	100-150%	Single-Family Attached	Renter	1940s	0	1	0	0	0.0272696	43.9045	4.83673e-05
None	100-150%	Single-Family Attached	Renter	1950s	0	1	0	0	0.0177253	60.1979	5.87424e-05
None	100-150%	Single-Family Attached	Renter	1960s	0	1	0	0	0.0272696	117.657	4.74813e-05
None	100-150%	Single-Family Attached	Renter	1970s	0	1	0	0	0.0272696	100.879	6.34719e-05
None	100-150%	Single-Family Attached	Renter	1980s	0	1	0	0	0.0299966	124.844	5.23092e-05
None	100-150%	Single-Family Attached	Renter	1990s	0	1	0	0	0.0204522	95.8027	4.28156e-05
None	100-150%	Single-Family Attached	Renter	2000s	0	1	0	0	0.0136348	46.6077	9.00088e-06
None	100-150%	Single-Family Attached	Renter	2010s	0	1	0	0	0.0245427	8.43903	5.16391e-06
None	100-150%	Single-Family Attached	Renter	<1940	0	1	0	0	0.0272696	113.459	0.000143408
None	100-150%	Single-Family Detached	Not Available	1940s	0	0	0	1	0.192943	322.776	0
None	100-150%	Single-Family Detached	Not Available	1950s	0	0	0	1	0.0854811	527.188	0
None	100-150%	Single-Family Detached	Not Available	1960s	0	0	0	1	0.0635003	294.706	0
None	100-150%	Single-Family Detached	Not Available	1970s	0	0	0	1	0.0757118	419.434	0
None	100-150%	Single-Family Detached	Not Available	1980s	0	0	0	1	0.0757118	360.373	0
None	100-150%	Single-Family Detached	Not Available	1990s	0	0	0	1	0.0512887	302.509	0
None	100-150%	Single-Family Detached	Not Available	2000s	0	0	0	1	0.0415194	179.005	0
None	100-150%	Single-Family Detached	Not Available	2010s	0	0	0	1	0.0366348	126.689	0
None	100-150%	Single-Family Detached	Not Available	<1940	0	0	0	1	0.192943	834.126	0
None	100-150%	Single-Family Detached	Owner	1940s	0	1	0	0	0.123716	201.921	0.00017421
None	100-150%	Single-Family Detached	Owner	1950s	0	1	0	0	0.0548109	329.797	0.000205359
None	100-150%	Single-Family Detached	Owner	1960s	0	1	0	0	0.0407167	184.362	0.000101537
None	100-150%	Single-Family Detached	Owner	1970s	0	1	0	0	0.0485468	262.389	0.000182879
None	100-150%	Single-Family Detached	Owner	1980s	0	1	0	0	0.0485468	225.441	9.51736e-05
None	100-150%	Single-Family Detached	Owner	1990s	0	1	0	0	0.0328865	189.243	7.38433e-05
None	100-150%	Single-Family Detached	Owner	2000s	0	1	0	0	0.0266224	111.982	5.37603e-05
None	100-150%	Single-Family Detached	Owner	2010s	0	1	0	0	0.0234904	79.2539	1.62136e-05
None	100-150%	Single-Family Detached	Owner	<1940	0	1	0	0	0.123716	521.811	0.000298526
None	100-150%	Single-Family Detached	Renter	1940s	0	1	0	0	0.00763623	14.108	9.2858e-05
None	100-150%	Single-Family Detached	Renter	1950s	0	1	0	0	0.00338314	23.0425	0.000139248
None	100-150%	Single-Family Detached	Renter	1960s	0	1	0	0	0.00251319	12.8811	7.03741e-05
None	100-150%	Single-Family Detached	Renter	1970s	0	1	0	0	0.0029965	18.3328	0.000108867
None	100-150%	Single-Family Detached	Renter	1980s	0	1	0	0	0.0029965	15.7513	7.29343e-05
None	100-150%	Single-Family Detached	Renter	1990s	0	1	0	0	0.00202988	13.2222	4.5315e-05
None	100-150%	Single-Family Detached	Renter	2000s	0	1	0	0	0.00164324	7.82401	3.19766e-05
None	100-150%	Single-Family Detached	Renter	2010s	0	1	0	0	0.00144992	5.53736	1.08707e-05
None	100-150%	Single-Family Detached	Renter	<1940	0	1	0	0	0.00763623	36.4582	0.000201059
None	150-200%	Mobile Home	Not Available	1940s	0	0	0	1	1.26378	27.2151	0
None	150-200%	Mobile Home	Not Available	1950s	0	0	0	1	0.638145	349.425	0
None	150-200%	Mobile Home	Not Available	1960s	0	0	0	1	0.137639	725.711	0
None	150-200%	Mobile Home	Not Available	1970s	0	0	0	1	0.200202	997.023	0
None	150-200%	Mobile Home	Not Available	1980s	0	0	0	1	0.212715	1188.12	0
None	150-200%	Mobile Home	Not Available	1990s	0	0	0	1	0.162664	987.409	0
