Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=2ft R5 Under, Horizontal	Option=2ft R10 Under, Horizontal	Option=4ft R5 Under, Horizontal	Option=2ft R5 Perimeter, Vertical	Option=2ft R10 Perimeter, Vertical	Option=R10 Whole Slab, Horizontal	sampling_probability
CR09	1960s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	1960s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	1960s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR03	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR04	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR05	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR06	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR07	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR08	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR09	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	1970s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR03	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR04	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR05	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR06	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR07	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR08	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR09	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	1980s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR03	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR04	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR05	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR06	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR07	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR08	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR09	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	1990s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR03	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR04	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR05	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR06	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR07	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR08	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR09	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	2000s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR03	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR04	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR05	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR06	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR07	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR08	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR09	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR10	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR11	2010s	Mobile Home	Vented Crawlspace	1	0	0	0	0	0	0	0	0
CR02	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000391426
CR03	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00112793
CR04	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000939248
CR05	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.67811e-05
CR06	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00012572
CR07	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00212214
CR08	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000388438
CR09	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000645137
CR10	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	2.06244e-05
CR11	<1940	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000685462
CR02	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.27337e-05
CR03	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000135547
CR04	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000190278
CR05	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.28174e-05
CR06	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	5.42292e-05
CR07	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000592789
CR08	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00018222
CR09	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000264576
CR10	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	1.17975e-05
CR11	1940s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000272953
CR02	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000120197
CR03	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000160369
CR04	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000244494
CR05	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.44169e-05
CR06	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.26802e-05
CR07	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000800526
CR08	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000267462
CR09	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000505895
CR10	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.47392e-05
CR11	1950s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000470807
CR02	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.7129e-05
CR03	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000135868
CR04	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000289117
CR05	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.90956e-05
CR06	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000149528
CR07	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000669172
CR08	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000326369
CR09	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000494529
CR10	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.98602e-05
CR11	1960s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000375835
CR02	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000110297
CR03	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000168804
CR04	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000389097
CR05	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000191636
CR06	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000315804
CR07	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000552708
CR08	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000513798
CR09	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000938643
CR10	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.21402e-05
CR11	1970s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000533275
CR02	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.50378e-05
CR03	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000118124
CR04	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000198416
CR05	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.0795e-05
CR06	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000202912
CR07	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000317321
CR08	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000368525
CR09	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000582371
CR10	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.34355e-05
CR11	1980s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00026585
CR02	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.21814e-05
CR03	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	5.48978e-05
CR04	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000177481
CR05	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.87914e-05
CR06	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000200324
CR07	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000270746
CR08	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000301161
CR09	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000426824
CR10	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.05536e-05
CR11	1990s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000154591
CR02	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.64775e-05
CR03	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	2.1056e-05
CR04	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	4.76566e-05
CR05	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.154e-05
CR06	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00012176
CR07	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000161379
CR08	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000132363
CR09	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000270748
CR10	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	2.26265e-05
CR11	2000s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	4.31821e-05
CR02	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	1.44985e-05
CR03	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	9.49525e-06
CR04	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	2.10217e-05
CR05	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	1.4448e-05
CR06	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	4.65229e-05
CR07	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	4.81836e-05
CR08	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.86935e-05
CR09	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000124326
CR10	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	5.98251e-06
CR11	2010s	Multi-Family with 2 - 4 Units	Vented Crawlspace	1	0	0	0	0	0	0	0	1.68836e-05
CR02	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000245343
CR03	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000503202
CR04	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000632285
CR05	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000103013
CR06	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000273114
CR07	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00252428
CR08	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000414891
CR09	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000623944
CR10	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	2.2891e-05
CR11	<1940	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00105716
CR02	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.64062e-05
CR03	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.19124e-05
CR04	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000175384
CR05	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.44733e-05
CR06	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.5818e-05
CR07	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000872329
CR08	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000250503
CR09	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000270478
CR10	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	1.44692e-05
CR11	1940s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000412064
CR02	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000151529
CR03	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00012427
CR04	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000337958
CR05	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	8.45815e-05
CR06	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000128915
CR07	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00134239
CR08	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000468119
CR09	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000672983
CR10	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	4.60556e-05
CR11	1950s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000983896
CR02	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000196007
CR03	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000211987
CR04	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000688439
CR05	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000221187
CR06	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00041315
CR07	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00162666
CR08	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000922311
CR09	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00102058
CR10	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	6.53453e-05
CR11	1960s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00113099
CR02	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000377306
CR03	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00036904
CR04	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00117233
CR05	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000511954
CR06	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000744434
CR07	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00137587
CR08	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00143503
CR09	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00247769
CR10	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000167318
CR11	1970s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00164147
CR02	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000297635
CR03	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000223444
CR04	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000506292
CR05	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000222779
CR06	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000662176
CR07	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000784807
CR08	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00114007
CR09	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00178413
CR10	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000143578
CR11	1980s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000857727
CR02	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000298651
CR03	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000112486
CR04	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000474649
CR05	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000213737
CR06	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000784422
CR07	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000577772
CR08	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00107029
CR09	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00158031
CR10	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000168035
CR11	1990s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000554115
CR02	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000194572
CR03	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	5.24685e-05
CR04	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000150364
CR05	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000116915
CR06	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000547017
CR07	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000419899
CR08	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.0005926
CR09	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.00123618
CR10	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.04635e-05
CR11	2000s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000230817
CR02	2010s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	0.000131623
CR03	2010s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	3.39257e-05
CR04	2010s	Multi-Family with 5+ Units	Vented Crawlspace	1	0	0	0	0	0	0	0	7.97244e-05
