Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	sampling_probability
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	2	1940-59	0	0	0	1	148	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	2	1940-59	0	0	0	1	16	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	3	1940-59	0	0	0	1	148	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	3	1940-59	0	0	0	1	16	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Heated Basement	4+	1940-59	0	0	0	1	148	0	0
East North Central	Multi-Family with 5+ Units	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	16	0	0
East North Central	Multi-Family with 5+ Units	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Attached	0-1499	Heated Basement	1	1940-59	0	0	0	1	15	0	0.000141038
East North Central	Single-Family Attached	1500-2499	Heated Basement	1	1940-59	0	0	0	1	12	2215.56	1.56471e-05
East North Central	Single-Family Attached	2500-3999	Heated Basement	1	1940-59	0	0	0	1	1	0	1.25554e-06
East North Central	Single-Family Attached	4000+	Heated Basement	1	1940-59	0	0	0	1	0	0	6.85973e-08
East North Central	Single-Family Attached	0-1499	Heated Basement	2	1940-59	0	0	0	1	15	15566.3	6.14949e-05
East North Central	Single-Family Attached	1500-2499	Heated Basement	2	1940-59	0	0	0	1	12	1270.09	4.07582e-05
East North Central	Single-Family Attached	2500-3999	Heated Basement	2	1940-59	0	0	0	1	1	858.628	8.93596e-06
East North Central	Single-Family Attached	4000+	Heated Basement	2	1940-59	0	0	0	1	0	0	6.85973e-08
East North Central	Single-Family Attached	0-1499	Heated Basement	3	1940-59	0	0	0	1	15	875.905	0
East North Central	Single-Family Attached	1500-2499	Heated Basement	3	1940-59	0	0	0	1	12	0	4.8913e-06
East North Central	Single-Family Attached	2500-3999	Heated Basement	3	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	4000+	Heated Basement	3	1940-59	0	0	0	1	0	0	6.85973e-08
East North Central	Single-Family Attached	0-1499	Heated Basement	4+	1940-59	0	0	0	1	15	2266.55	0
East North Central	Single-Family Attached	1500-2499	Heated Basement	4+	1940-59	0	0	0	1	12	0	0
East North Central	Single-Family Attached	2500-3999	Heated Basement	4+	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	4000+	Heated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Detached	0-1499	Heated Basement	1	1940-59	0.172213	0	0	0.827787	42	253665	0.00446025
East North Central	Single-Family Detached	1500-2499	Heated Basement	1	1940-59	0.250558	0.215118	0	0.534325	80	487282	0.001972
East North Central	Single-Family Detached	2500-3999	Heated Basement	1	1940-59	0.0874776	0.278465	0	0.634058	31	162778	0.000238299
East North Central	Single-Family Detached	4000+	Heated Basement	1	1940-59	0.0877599	0.31983	0.135824	0.456586	29	26177.3	3.17074e-05
East North Central	Single-Family Detached	0-1499	Heated Basement	2	1940-59	0.124329	0	0	0.875671	30	110648	0.000605372
East North Central	Single-Family Detached	1500-2499	Heated Basement	2	1940-59	0.0163365	0.107092	0	0.876572	84	264094	0.00129095
East North Central	Single-Family Detached	2500-3999	Heated Basement	2	1940-59	0.173663	0.171708	0	0.654629	34	92472.8	0.000393071
East North Central	Single-Family Detached	4000+	Heated Basement	2	1940-59	0.129409	0.358404	0.0536011	0.458586	19	27858.2	7.03156e-05
East North Central	Single-Family Detached	0-1499	Heated Basement	3	1940-59	0	0	0	1	216	0	5.34977e-06
East North Central	Single-Family Detached	1500-2499	Heated Basement	3	1940-59	0.100852	0.14745	0	0.751698	342	0	4.62415e-05
East North Central	Single-Family Detached	2500-3999	Heated Basement	3	1940-59	0.0986351	0.162565	0	0.738799	132	1944.14	3.24198e-05
East North Central	Single-Family Detached	4000+	Heated Basement	3	1940-59	0.0877599	0.31983	0.135824	0.456586	29	1968.02	2.4743e-06
East North Central	Single-Family Detached	0-1499	Heated Basement	4+	1940-59	0	0	0	1	216	0	0
East North Central	Single-Family Detached	1500-2499	Heated Basement	4+	1940-59	0.100852	0.14745	0	0.751698	342	0	0
East North Central	Single-Family Detached	2500-3999	Heated Basement	4+	1940-59	0.0986351	0.162565	0	0.738799	132	0	0
East North Central	Single-Family Detached	4000+	Heated Basement	4+	1940-59	0.0877599	0.31983	0.135824	0.456586	29	0	0
East North Central	Mobile Home	0-1499	Slab	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Slab	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Slab	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Slab	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Slab	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Slab	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Slab	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Slab	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Slab	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Slab	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Slab	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	1	1940-59	0	0	0	1	30	14069.9	4.78958e-05
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	1	1940-59	0	0	0	1	11	4107.11	4.89229e-06
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	1.53454e-06
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	1	1940-59	0	0	0	1	0	0	5.02853e-07
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	2	1940-59	0	0	0	1	30	14069.9	0.000361425
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	2	1940-59	0	0	0	1	11	4107.11	3.69175e-05
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	1.15797e-05
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	2	1940-59	0	0	0	1	0	0	3.79456e-06
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	3	1940-59	0	0	0	1	30	14069.9	8.07735e-05
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	3	1940-59	0	0	0	1	11	4107.11	7.99365e-06
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	2.7045e-06
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	3	1940-59	0	0	0	1	0	0	7.38871e-07
East North Central	Multi-Family with 2 - 4 Units	0-1499	Slab	4+	1940-59	0	0	0	1	30	14069.9	1.49962e-05
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Slab	4+	1940-59	0	0	0	1	11	4107.11	1.48408e-06
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	5.02112e-07
East North Central	Multi-Family with 2 - 4 Units	4000+	Slab	4+	1940-59	0	0	0	1	0	0	1.37177e-07
East North Central	Multi-Family with 5+ Units	0-1499	Slab	1	1940-59	0	0	0	1	37	16038.9	4.08013e-05
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	1	1940-59	0	0	0	1	16	1636.45	6.98153e-07
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	1.28113e-07
East North Central	Multi-Family with 5+ Units	4000+	Slab	1	1940-59	0	0	0	1	0	0	1.04353e-07
East North Central	Multi-Family with 5+ Units	0-1499	Slab	2	1940-59	0	0	0	1	37	16038.9	0.000209313
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	2	1940-59	0	0	0	1	16	1636.45	3.68521e-06
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	6.9717e-07
East North Central	Multi-Family with 5+ Units	4000+	Slab	2	1940-59	0	0	0	1	0	0	5.53038e-07
East North Central	Multi-Family with 5+ Units	0-1499	Slab	3	1940-59	0	0	0	1	37	16038.9	0.000159557
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	3	1940-59	0	0	0	1	16	1636.45	2.78949e-06
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	5.27474e-07
East North Central	Multi-Family with 5+ Units	4000+	Slab	3	1940-59	0	0	0	1	0	0	4.1924e-07
East North Central	Multi-Family with 5+ Units	0-1499	Slab	4+	1940-59	0	0	0	1	37	16038.9	0.000229995
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	4+	1940-59	0	0	0	1	16	1636.45	5.39692e-06
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	1.14685e-06
East North Central	Multi-Family with 5+ Units	4000+	Slab	4+	1940-59	0	0	0	1	0	0	8.43607e-07
East North Central	Single-Family Attached	0-1499	Slab	1	1940-59	0	0	0	1	15	0	6.64964e-05
East North Central	Single-Family Attached	1500-2499	Slab	1	1940-59	0	0	0	1	12	0	7.46431e-06
East North Central	Single-Family Attached	2500-3999	Slab	1	1940-59	0	0	0	1	1	0	6.05017e-07
East North Central	Single-Family Attached	4000+	Slab	1	1940-59	0	0	0	1	0	0	2.84674e-08
East North Central	Single-Family Attached	0-1499	Slab	2	1940-59	0	0	0	1	15	0	2.89935e-05
East North Central	Single-Family Attached	1500-2499	Slab	2	1940-59	0	0	0	1	12	1989.11	1.94433e-05
East North Central	Single-Family Attached	2500-3999	Slab	2	1940-59	0	0	0	1	1	0	4.30603e-06
East North Central	Single-Family Attached	4000+	Slab	2	1940-59	0	0	0	1	0	0	2.84674e-08
East North Central	Single-Family Attached	0-1499	Slab	3	1940-59	0	0	0	1	15	902.448	0
East North Central	Single-Family Attached	1500-2499	Slab	3	1940-59	0	0	0	1	12	0	2.33335e-06
East North Central	Single-Family Attached	2500-3999	Slab	3	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	4000+	Slab	3	1940-59	0	0	0	1	0	0	2.84674e-08
East North Central	Single-Family Attached	0-1499	Slab	4+	1940-59	0	0	0	1	15	0	0
East North Central	Single-Family Attached	1500-2499	Slab	4+	1940-59	0	0	0	1	12	0	0
East North Central	Single-Family Attached	2500-3999	Slab	4+	1940-59	0	0	0	1	1	0	0
East North Central	Single-Family Attached	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0
East North Central	Single-Family Detached	0-1499	Slab	1	1940-59	0.360374	0	0	0.639626	26	140895	0.00208725
East North Central	Single-Family Detached	1500-2499	Slab	1	1940-59	0.46122	0.0707136	0	0.468066	14	63508.7	0.000926322
East North Central	Single-Family Detached	2500-3999	Slab	1	1940-59	0.107101	0.194242	0.032953	0.665704	52	8383.03	0.000110252
East North Central	Single-Family Detached	4000+	Slab	1	1940-59	0.0877599	0.31983	0.135824	0.456586	29	4804.64	1.42815e-05
East North Central	Single-Family Detached	0-1499	Slab	2	1940-59	0.0889297	0	0	0.91107	14	49654.1	0.000283294
East North Central	Single-Family Detached	1500-2499	Slab	2	1940-59	0	0.388393	0	0.611607	20	55117.7	0.000606405
East North Central	Single-Family Detached	2500-3999	Slab	2	1940-59	0.0474607	0.481288	0	0.471252	11	16295.9	0.000181859
East North Central	Single-Family Detached	4000+	Slab	2	1940-59	0.129409	0.358404	0.0536011	0.458586	19	1476.71	3.16713e-05
East North Central	Single-Family Detached	0-1499	Slab	3	1940-59	0	0	0	1	216	2512.25	2.50352e-06
East North Central	Single-Family Detached	1500-2499	Slab	3	1940-59	0.100852	0.14745	0	0.751698	342	0	2.17214e-05
East North Central	Single-Family Detached	2500-3999	Slab	3	1940-59	0.0972693	0.160314	0.0138467	0.728569	132	0	1.49994e-05
East North Central	Single-Family Detached	4000+	Slab	3	1940-59	0.0877599	0.31983	0.135824	0.456586	29	0	1.11446e-06
East North Central	Single-Family Detached	0-1499	Slab	4+	1940-59	0	0	0	1	216	0	0
East North Central	Single-Family Detached	1500-2499	Slab	4+	1940-59	0.100852	0.14745	0	0.751698	342	0	0
East North Central	Single-Family Detached	2500-3999	Slab	4+	1940-59	0.0972693	0.160314	0.0138467	0.728569	132	0	0
East North Central	Single-Family Detached	4000+	Slab	4+	1940-59	0.0877599	0.31983	0.135824	0.456586	29	0	0
East North Central	Mobile Home	0-1499	Unheated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Unheated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Unheated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Unheated Basement	1	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Unheated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Unheated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Unheated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Unheated Basement	2	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Unheated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Unheated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Unheated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Unheated Basement	3	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	0-1499	Unheated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	1500-2499	Unheated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	2500-3999	Unheated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Mobile Home	4000+	Unheated Basement	4+	1940-59	0	0	0	1	0	0	0
East North Central	Multi-Family with 2 - 4 Units	0-1499	Unheated Basement	1	1940-59	0	0	0	1	30	14069.9	7.42435e-05
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Unheated Basement	1	1940-59	0	0	0	1	11	4107.11	7.71034e-06
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Unheated Basement	1	1940-59	0	0	0	1	0	0	2.37376e-06
East North Central	Multi-Family with 2 - 4 Units	4000+	Unheated Basement	1	1940-59	0	0	0	1	0	0	7.87285e-07
East North Central	Multi-Family with 2 - 4 Units	0-1499	Unheated Basement	2	1940-59	0	0	0	1	30	14069.9	0.000560246
East North Central	Multi-Family with 2 - 4 Units	1500-2499	Unheated Basement	2	1940-59	0	0	0	1	11	4107.11	5.81827e-05
East North Central	Multi-Family with 2 - 4 Units	2500-3999	Unheated Basement	2	1940-59	0	0	0	1	0	0	1.79126e-05
