,Heating Dry Bulb Temperature 99%,Cooling Dry Bulb Temperature 1%
Pueblo Memorial Aw,-14.2,35.4
Montrose Rgnl,-12.6,32.8
Denver Internationa,-14.1,33.2
Cortez Muni,-13.8,32.8
Centennial,-14.3,32.1
Eagle Co Rgnl,-18.0,29.8
Limon Muni,-17.0,32.2
Colorado Springs Mu,-13.8,31.1
Colorado Springs Mu,-13.8,31.1
Garfield Co Rgnl,-14.1,33.7
Centennial,-14.3,32.1
Lake Co,-13.0,30.9
Gunnison Co Awos,-24.0,27.2
Alamosa Muni Awos,-23.1,28.4
Pueblo Memorial Aw,-14.2,35.4
Laramie Rgnl,-19.3,27.8
Centennial,-14.3,32.1
Lamar Muni,-13.9,36.3
Kit Carson County,-13.9,34.1
Lake Co,-13.0,30.9
Durango La Plata Co,-15.1,31.2
Greeley Weld Co,-17.6,33.0
Perry Stokes,-12.7,32.6
Limon Muni,-17.0,32.2
Colorado Plains Rgnl,-16.1,32.9
Grand Junction Walk,-12.1,35.0
Gunnison Co Awos,-24.0,27.2
Craig Moffat,-22.5,31.1
Cortez Muni,-13.8,32.8
Montrose Rgnl,-12.6,32.8
Colorado Plains Rgnl,-16.1,32.9
La Junta Muni,-13.5,36.2
Montrose Rgnl,-12.6,32.8
Lake Co,-13.0,30.9
Colorado Plains Rgnl,-16.1,32.9
Aspen Pitkin Co Sard,-17.5,27.6
Lamar Muni,-13.9,36.3
Pueblo Memorial Aw,-14.2,35.4
Meeker,-18.9,31.4
Alamosa Muni Awos,-23.1,28.4
Hayden Yampa Awos,-17.4,29.1
Alamosa Muni Awos,-23.1,28.4
Durango La Plata Co,-15.1,31.2
Montrose Rgnl,-12.6,32.8
Colorado Plains Rgnl,-16.1,32.9
Lake Co,-13.0,30.9
Colorado Springs Mu,-13.8,31.1
Colorado Plains Rgnl,-16.1,32.9
Greeley Weld Co,-17.6,33.0
Colorado Plains Rgnl,-16.1,32.9
Bridgeport Igor I,-9.0,29.1
Hartford Brainard,-11.0,31.2
Waterbury Oxford,-12.7,28.8
Meriden Markham Muni,-12.3,31.1
Meriden Markham Muni,-12.3,31.1
Windham Airport,-12.6,30.2
Windham Airport,-12.6,30.2
Windham Airport,-12.6,30.2
Dover Afb,-7.5,32.0
Wilmington New Cast,-8.2,31.9
Sussex Co,-7.2,32.5
Washington National,-6.3,33.2
Gainesville Rgnl,0.8,33.3
Cecil Fld,-0.1,34.5
Panama City Bay Co,2.2,32.8
Gainesville Rgnl,0.8,33.3
Melbourne Regional,6.2,32.5
Fort Lauderdale Exec,9.1,32.7
Marianna Muni,-1.2,34.1
Charlotte Co,5.2,33.0
Ocala Intl J Taylor,1.0,33.0
Cecil Fld,-0.1,34.5
Naples Muni,8.1,32.5
Gainesville Rgnl,0.8,33.3
Charlotte Co,5.2,33.0
Cross City Cross Ci,-1.0,33.3
Jacksonville Nas,2.7,34.1
Pensacola Rgnl,0.9,33.3
St Augustine,4.7,30.6
Apalachicola Muni,2.1,32.6
Tallahassee Municip,-1.7,34.3
Cross City Cross Ci,-1.0,33.3
Southwest Florida I,7.2,33.7
Apalachicola Muni,2.1,32.6
Valdosta Rgnl,-0.8,34.2
Charlotte Co,5.2,33.0
Southwest Florida I,7.2,33.7
Hernando Co,0.9,32.8
Charlotte Co,5.2,33.0
Tampa Intl Airport,6.0,33.0
Marianna Muni,-1.2,34.1
Vero Beach Muni,6.1,32.5
Marianna Muni,-1.2,34.1
Tallahassee Municip,-1.7,34.3
Perry Foley,-1.2,33.0
Leesburg Rgnl,3.9,33.0
Fort Myers Page Fld,7.8,33.6
Tallahassee Municip,-1.7,34.3
Cross City Cross Ci,-1.0,33.3
Marianna Muni,-1.2,34.1
Valdosta Rgnl,-0.8,34.2
Sarasota Bradenton,6.7,32.8
Ocala Intl J Taylor,1.0,33.0
St Lucie Co Intl,5.0,32.4
Miami,11.1,32.7
Florida Keys Maratho,12.7,32.8
Jacksonville Intnl,0.3,33.8
Valparaiso Eglin Af,0.1,32.7
St Lucie Co Intl,5.0,32.4
Executive,6.2,33.6
Orlando Jetport,5.7,33.6
West Palm Beach In,8.9,32.4
Hernando Co,0.9,32.8
St Petersburg Clear,7.4,32.8
Orlando Jetport,5.7,33.6
St Augustine,4.7,30.6
St Augustine,4.7,30.6
St Lucie Co Intl,5.0,32.4
Whiting Fld Nas Nort,-0.4,33.9
Venice Pier,7.5,30.4
Orlando Sanford,4.9,33.9
Leesburg Rgnl,3.9,33.0
Perry Foley,-1.2,33.0
Perry Foley,-1.2,33.0
Gainesville Rgnl,0.8,33.3
Daytona Beach Intl,4.0,32.7
Tallahassee Municip,-1.7,34.3
Destin Ft Walton,2.4,32.4
Panama City Bay Co,2.2,32.8
Alma Bacon Co,-1.3,33.9
Albany Municipal,-1.2,34.9
Alma Bacon Co,-1.3,33.9
Albany Municipal,-1.2,34.9
Macon Lewis Bwilso,-2.5,34.7
Winder Barrow,-2.4,33.0
Winder Barrow,-2.4,33.0
Cartersville,-4.9,32.9
Albany Municipal,-1.2,34.9
Moody Afb Valdosta,0.6,34.5
Macon Lewis Bwilso,-2.5,34.7
Robins Afb,-2.3,34.8
Waycross Ware Co,-0.3,34.7
Valdosta Rgnl,-0.8,34.2
Savannah Municipal,-0.9,34.1
Augusta Bush Field,-3.3,34.9
Augusta Bush Field,-3.3,34.9
Atlanta Municipal,-3.1,33.1
Albany Municipal,-1.2,34.9
Jacksonville Intnl,0.3,33.8
Savannah Municipal,-0.9,34.1
Newnan Coweta Co,-6.4,32.3
Chattanooga Lovell,-4.9,33.7
Jacksonville Intnl,0.3,33.8
Hunter Aaf,-0.2,34.1
Fort Benning,-3.0,34.8
Rome Russell Ramos,-5.1,34.1
Marietta Dobbins Af,-4.2,33.0
Athens Municipal,-3.1,33.9
Dothan Rgnl,-0.7,34.1
Atlanta Municipal,-3.1,33.1
Waycross Ware Co,-0.3,34.7
Marietta Dobbins Af,-4.2,33.0
Robins Afb,-2.3,34.8
Moody Afb Valdosta,0.6,34.5
Daniel Field,-1.3,34.1
Moody Afb Valdosta,0.6,34.5
Newnan Coweta Co,-6.4,32.3
Macon Lewis Bwilso,-2.5,34.7
Albany Municipal,-1.2,34.9
Chattanooga Lovell,-4.9,33.7
Lee Gilmer Mem,-3.0,32.5
Tallahassee Municip,-1.7,34.3
Dekalb Peachtree,-3.6,33.0
Robins Afb,-2.3,34.8
Robins Afb,-2.3,34.8
Albany Municipal,-1.2,34.9
Fulton Co Arpt Brow,-3.8,33.1
Dothan Rgnl,-0.7,34.1
Valdosta Rgnl,-0.8,34.2
Savannah Municipal,-0.9,34.1
Anderson Rgnl,-3.5,33.8
Augusta Bush Field,-3.3,34.9
Savannah Municipal,-0.9,34.1
Dalton,-5.1,32.8
Peachtree City Falco,-5.0,32.8
Rome Russell Ramos,-5.1,34.1
Dekalb Peachtree,-3.6,33.0
Lee Gilmer Mem,-3.0,32.5
Fulton Co Arpt Brow,-3.8,33.1
Dalton,-5.1,32.8
Daniel Field,-1.3,34.1
Brunswick Golden Is,-1.0,34.0
Dalton,-5.1,32.8
Tallahassee Municip,-1.7,34.3
Athens Municipal,-3.1,33.9
Dekalb Peachtree,-3.6,33.0
Lee Gilmer Mem,-3.0,32.5
Lee Gilmer Mem,-3.0,32.5
Athens Municipal,-3.1,33.9
Cartersville,-4.9,32.9
Columbus Metropolit,-1.5,34.6
Anderson Rgnl,-3.5,33.8
Newnan Coweta Co,-6.4,32.3
Atlanta Municipal,-3.1,33.1
Robins Afb,-2.3,34.8
Albany Municipal,-1.2,34.9
Winder Barrow,-2.4,33.0
Winder Barrow,-2.4,33.0
Alma Bacon Co,-1.3,33.9
Augusta Bush Field,-3.3,34.9
Augusta Bush Field,-3.3,34.9
Robins Afb,-2.3,34.8
Macon Lewis Bwilso,-2.5,34.7
Peachtree City Falco,-5.0,32.8
Moody Afb Valdosta,0.6,34.5
Robins Afb,-2.3,34.8
Albany Municipal,-1.2,34.9
Hunter Aaf,-0.2,34.1
Daniel Field,-1.3,34.1
Brunswick Golden Is,-1.0,34.0
Valdosta Rgnl,-0.8,34.2
Lee Gilmer Mem,-3.0,32.5
Daniel Field,-1.3,34.1
Brunswick Golden Is,-1.0,34.0
Macon Lewis Bwilso,-2.5,34.7
Athens Municipal,-3.1,33.9
Columbus Metropolit,-1.5,34.6
Newnan Coweta Co,-6.4,32.3
Marianna Muni,-1.2,34.1
Albany Municipal,-1.2,34.9
Macon Lewis Bwilso,-2.5,34.7
Alma Bacon Co,-1.3,33.9
Athens Municipal,-3.1,33.9
Dalton,-5.1,32.8
Columbus Metropolit,-1.5,34.6
Winder Barrow,-2.4,33.0
Athens Municipal,-3.1,33.9
Athens Municipal,-3.1,33.9
Cartersville,-4.9,32.9
Macon Lewis Bwilso,-2.5,34.7
Cartersville,-4.9,32.9
Waycross Ware Co,-0.3,34.7
Peachtree City Falco,-5.0,32.8
Cartersville,-4.9,32.9
Robins Afb,-2.3,34.8
Athens Municipal,-3.1,33.9
Fort Benning,-3.0,34.8
Lee Gilmer Mem,-3.0,32.5
Albany Municipal,-1.2,34.9
Daniel Field,-1.3,34.1
Dekalb Peachtree,-3.6,33.0
Columbus Metropolit,-1.5,34.6
Augusta Bush Field,-3.3,34.9
Marianna Muni,-1.2,34.1
Peachtree City Falco,-5.0,32.8
Lee Gilmer Mem,-3.0,32.5
Fort Benning,-3.0,34.8
Albany Municipal,-1.2,34.9
Columbus Metropolit,-1.5,34.6
Athens Municipal,-3.1,33.9
Alma Bacon Co,-1.3,33.9
Macon Lewis Bwilso,-2.5,34.7
Alma Bacon Co,-1.3,33.9
Albany Municipal,-1.2,34.9
Tallahassee Municip,-1.7,34.3
Albany Municipal,-1.2,34.9
Alma Bacon Co,-1.3,33.9
Lee Gilmer Mem,-3.0,32.5
Alma Bacon Co,-1.3,33.9
Newnan Coweta Co,-6.4,32.3
Albany Municipal,-1.2,34.9
Robins Afb,-2.3,34.8
Lee Gilmer Mem,-3.0,32.5
Peachtree City Falco,-5.0,32.8
Chattanooga Lovell,-4.9,33.7
Winder Barrow,-2.4,33.0
Waycross Ware Co,-0.3,34.7
Daniel Field,-1.3,34.1
Robins Afb,-2.3,34.8
Brunswick Golden Is,-1.0,34.0
Fort Benning,-3.0,34.8
Alma Bacon Co,-1.3,33.9
Lee Gilmer Mem,-3.0,32.5
Dalton,-5.1,32.8
Robins Afb,-2.3,34.8
Athens Municipal,-3.1,33.9
Robins Afb,-2.3,34.8
Albany Municipal,-1.2,34.9
Honolulu Intl,17.4,31.7
Honolulu Intl,17.4,31.7
Honolulu Intl,17.4,31.7
Honolulu Intl,17.4,31.7
Honolulu Intl,17.4,31.7
Boise Municipal,-9.1,35.2
Mc Call Muni,-18.7,28.1
Pocatello Municipal,-15.7,33.0
Logan Cache,-17.5,32.9
Coeur D Alene Air Te,-12.1,31.4
Pocatello Municipal,-15.7,33.0
Stanley Ranger Stn,-23.8,27.6
Boise Municipal,-9.1,35.2
Mullan Awrs,-12.2,29.0
Idaho Falls Rgnl,-17.9,32.0
Mullan Awrs,-12.2,29.0
Challis,-19.5,31.7
Stanley Ranger Stn,-23.8,27.6
Caldwell Awos,-8.7,33.9
Logan Cache,-17.5,32.9
Burley Muni,-12.5,32.7
Rexburg Madison Co,-17.9,31.2
Lowell,-8.0,32.6
Challis,-19.5,31.7
Mountain Home Afb,-10.9,35.9
Logan Cache,-17.5,32.9
Rexburg Madison Co,-17.9,31.2
Caldwell Awos,-8.7,33.9
Jerome Co,-11.3,32.4
Lowell,-8.0,32.6
Rexburg Madison Co,-17.9,31.2
Jerome Co,-11.3,32.4
Coeur D Alene Air Te,-12.1,31.4
Pullman Moscow Rgnl,-9.8,32.0
Lemhi Co,-17.6,31.0
Lowell,-8.0,32.6
Jerome Co,-11.3,32.4
Rexburg Madison Co,-17.9,31.2
Burley Muni,-12.5,32.7
Lewiston Nez Perce,-7.4,34.7
Logan Cache,-17.5,32.9
Caldwell Awos,-8.7,33.9
Ontaria Muni,-9.1,34.8
Pocatello Municipal,-15.7,33.0
Mullan Awrs,-12.2,29.0
Rexburg Madison Co,-17.9,31.2
Joslin Fld Magic Va,-11.0,32.9
Mc Call Muni,-18.7,28.1
Ontaria Muni,-9.1,34.8
Quincy Rgnl Baldwin,-15.1,32.3
Cape Girardeau Rgnl,-9.2,33.5
Scott Afb Midameric,-10.9,33.0
Greater Rockford,-17.8,31.2
Quincy Rgnl Baldwin,-15.1,32.3
Sterling Rockfalls,-17.7,31.2
St Louis Lambert,-11.3,33.9
Clinton Muni,-18.5,31.1
Jacksonville Muni,-12.9,32.3
Univ Of Illinois Wi,-15.5,32.2
Salem Leckrone,-10.2,32.5
Lawrenceville Vincen,-11.2,32.8
Salem Leckrone,-10.2,32.5
Scott Afb Midameric,-10.9,33.0
Coles Co Mem,-12.9,32.1
Chicago Midway,-14.8,32.0
Lawrenceville Vincen,-11.2,32.8
Coles Co Mem,-12.9,32.1
Aurora Municipal,-17.5,31.2
Decatur,-14.1,32.5
Univ Of Illinois Wi,-15.5,32.2
Dupage,-16.9,31.1
Terre Haute Intl Hu,-13.1,32.2
Lawrenceville Vincen,-11.2,32.8
Salem Leckrone,-10.2,32.5
Salem Leckrone,-10.2,32.5
Univ Of Illinois Wi,-15.5,32.2
Williamson Co Rgnl,-9.0,32.9
Greater Peoria Muni,-15.9,32.1
Henderson City Co,-9.9,32.8
Jacksonville Muni,-12.9,32.3
Joliet Rgnl,-15.2,32.1
Mount Vernon,-11.4,32.9
Keokuk Muni,-13.8,32.6
Paducah Barkley,-9.0,33.5
Southeast Iowa Rgnl,-16.7,32.4
Moline Quad City,-17.1,32.3
Joliet Rgnl,-15.2,32.1
Southern Illinois,-9.1,32.9
Lawrenceville Vincen,-11.2,32.8
Mount Vernon,-11.4,32.9
St Louis Lambert,-11.3,33.9
Iowa Co,-18.0,29.1
Williamson Co Rgnl,-9.0,32.9
Aurora Municipal,-17.5,31.2
Joliet Rgnl,-15.2,32.1
Aurora Municipal,-17.5,31.2
Moline Quad City,-17.1,32.3
Chicago Waukegan,-16.0,29.8
Marseilles Island,-17.6,32.0
Lawrenceville Vincen,-11.2,32.8
Sterling Rockfalls,-17.7,31.2
Marseilles Island,-17.6,32.0
Springfield Capital,-14.2,32.4
Southeast Iowa Rgnl,-16.7,32.4
Dupage,-16.9,31.1
Central Illinois Rg,-15.1,32.1
Decatur,-14.1,32.5
St Louis Lambert,-11.3,33.9
Cahokia St Louis,-10.9,33.0
Salem Leckrone,-10.2,32.5
Greater Peoria Muni,-15.9,32.1
Greater Peoria Muni,-15.9,32.1
Paducah Barkley,-9.0,33.5
Springfield Capital,-14.2,32.4
Moline Quad City,-17.1,32.3
Cahokia St Louis,-10.9,33.0
Scott Afb Midameric,-10.9,33.0
Jacksonville Muni,-12.9,32.3
Coles Co Mem,-12.9,32.1
Greater Rockford,-17.8,31.2
Greater Peoria Muni,-15.9,32.1
Southern Illinois,-9.1,32.9
Decatur,-14.1,32.5
Quincy Rgnl Baldwin,-15.1,32.3
Paducah Barkley,-9.0,33.5
Paducah Barkley,-9.0,33.5
Marseilles Island,-17.6,32.0
Scott Afb Midameric,-10.9,33.0
Lawrenceville Vincen,-11.2,32.8
Moline Quad City,-17.1,32.3
Cahokia St Louis,-10.9,33.0
Williamson Co Rgnl,-9.0,32.9
Springfield Capital,-14.2,32.4
Jacksonville Muni,-12.9,32.3
Jacksonville Muni,-12.9,32.3
Salem Leckrone,-10.2,32.5
Greater Peoria Muni,-15.9,32.1
Greater Rockford,-17.8,31.2
Greater Peoria Muni,-15.9,32.1
Southern Illinois,-9.1,32.9
Univ Of Illinois Wi,-15.5,32.2
Lawrenceville Vincen,-11.2,32.8
Southeast Iowa Rgnl,-16.7,32.4
Scott Afb Midameric,-10.9,33.0
Mount Vernon,-11.4,32.9
Henderson City Co,-9.9,32.8
Sterling Rockfalls,-17.7,31.2
Lewis University,-15.9,31.3
Williamson Co Rgnl,-9.0,32.9
Greater Rockford,-17.8,31.2
Greater Peoria Muni,-15.9,32.1
Fort Wayne Baer Fld,-15.0,31.2
Fort Wayne Baer Fld,-15.0,31.2
Shelbyville Muni,-12.5,31.3
Purdue Univ,-14.6,32.1
Delaware Co Johnson,-13.7,31.1
Eagle Creek Airpark,-12.7,31.3
Indianapolis I Mun,-13.3,31.5
Purdue Univ,-14.6,32.1
Grissom Arb,-14.8,31.5
Bowman Fld,-9.1,32.8
Terre Haute Intl Hu,-13.1,32.2
Purdue Univ,-14.6,32.1
Huntingburg,-10.2,32.3
Huntingburg,-10.2,32.3
Cincinnati Greater,-11.5,31.8
Cincinnati Greater,-11.5,31.8
Fort Wayne Baer Fld,-15.0,31.2
Delaware Co Johnson,-13.7,31.1
Huntingburg,-10.2,32.3
South Bend Stjosep,-14.6,31.1
Delaware Co Johnson,-13.7,31.1
Louisville Standifo,-8.9,33.1
Purdue Univ,-14.6,32.1
Butler Co Rgnl,-12.3,32.3
Grissom Arb,-14.8,31.5
Evansville Regional,-10.1,33.0
Delaware Co Johnson,-13.7,31.1
Monroe Co,-12.4,32.0
Eagle Creek Airpark,-12.7,31.3
Shelbyville Muni,-12.5,31.3
Fort Knox Godman,-9.8,32.3
Eagle Creek Airpark,-12.7,31.3
Delaware Co Johnson,-13.7,31.1
Grissom Arb,-14.8,31.5
Fort Wayne Baer Fld,-15.0,31.2
Monroe Co,-12.4,32.0
Porter Co Muni,-15.0,31.1
Delaware Co Johnson,-13.7,31.1
Bowman Fld,-9.1,32.8
Bowman Fld,-9.1,32.8
Indianapolis I Mun,-13.3,31.5
Lawrenceville Vincen,-11.2,32.8
South Bend Stjosep,-14.6,31.1
Kirsch Muni,-14.0,30.8
Porter Co Muni,-15.0,31.1
Porter Co Muni,-15.0,31.1
Monroe Co,-12.4,32.0
Delaware Co Johnson,-13.7,31.1
Indianapolis I Mun,-13.3,31.5
South Bend Stjosep,-14.6,31.1
Huntingburg,-10.2,32.3
Grissom Arb,-14.8,31.5
Monroe Co,-12.4,32.0
Purdue Univ,-14.6,32.1
Indianapolis I Mun,-13.3,31.5
Porter Co Muni,-15.0,31.1
Kirsch Muni,-14.0,30.8
Cincinnati Greater,-11.5,31.8
Huntingburg,-10.2,32.3
Monroe Co,-12.4,32.0
Terre Haute Intl Hu,-13.1,32.2
Huntingburg,-10.2,32.3
Huntingburg,-10.2,32.3
Porter Co Muni,-15.0,31.1
Henderson City Co,-9.9,32.8
