Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	sample_count	sample_weight
Multi-Family with 5+ Units	1500-2499	2000-09	0.000000	0.195387	0.804613	21.000000	115571.242188
Multi-Family with 5+ Units	2500-3999	2000-09	0.000000	1.000000	0.000000	1.000000	4245.709961
Multi-Family with 5+ Units	4000+	2000-09	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2010s	0.069171	0.434233	0.496596	212.000000	1082989.000000
Multi-Family with 5+ Units	1500-2499	2010s	0.000000	0.195387	0.804613	21.000000	115571.242188
Multi-Family with 5+ Units	2500-3999	2010s	0.000000	1.000000	0.000000	1.000000	4245.709961
Multi-Family with 5+ Units	4000+	2010s	0.333333	0.333333	0.333333	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	<1940	0.054294	0.127771	0.817935	191.000000	1937315.000000
Multi-Family with 5+ Units	1500-2499	<1940	0.000000	0.112318	0.887682	8.000000	93410.148438
Multi-Family with 5+ Units	2500-3999	<1940	0.000000	0.000000	1.000000	1.000000	16295.250000
Multi-Family with 5+ Units	4000+	<1940	0.333333	0.333333	0.333333	0.000000	0.000000
Single-Family Attached	0-1499	1940-59	0.691809	0.308191	0.000000	61.000000	467547.156250
Single-Family Attached	1500-2499	1940-59	0.255269	0.664934	0.079797	34.000000	296571.281250
Single-Family Attached	2500-3999	1940-59	0.123195	0.876805	0.000000	4.000000	36092.050781
Single-Family Attached	4000+	1940-59	0.333333	0.333333	0.333333	0.000000	0.000000
Single-Family Attached	0-1499	1960-79	0.641900	0.349316	0.008784	148.000000	1095263.500000
Single-Family Attached	1500-2499	1960-79	0.295173	0.677029	0.027798	52.000000	415548.187500
Single-Family Attached	2500-3999	1960-79	0.660474	0.339526	0.000000	9.000000	65803.898438
Single-Family Attached	4000+	1960-79	0.333333	0.333333	0.333333	0.000000	0.000000
Single-Family Attached	0-1499	1980-99	0.476167	0.515554	0.008279	175.000000	1234644.000000
Single-Family Attached	1500-2499	1980-99	0.273109	0.608685	0.118206	101.000000	716397.375000
Single-Family Attached	2500-3999	1980-99	0.226260	0.745923	0.027817	28.000000	206585.062500
Single-Family Attached	4000+	1980-99	0.000000	1.000000	0.000000	1.000000	1518.969971
Single-Family Attached	0-1499	2000-09	0.488069	0.487722	0.024209	69.000000	241096.562500
Single-Family Attached	1500-2499	2000-09	0.349766	0.541658	0.108577	59.000000	204205.406250
Single-Family Attached	2500-3999	2000-09	0.364816	0.352073	0.283112	21.000000	59588.320312
Single-Family Attached	4000+	2000-09	0.170494	0.471644	0.357862	3.000000	9031.014648
Single-Family Attached	0-1499	2010s	0.488069	0.487722	0.024209	69.000000	241096.562500
Single-Family Attached	1500-2499	2010s	0.349766	0.541658	0.108577	59.000000	204205.406250
Single-Family Attached	2500-3999	2010s	0.364816	0.352073	0.283112	21.000000	59588.320312
Single-Family Attached	4000+	2010s	0.170494	0.471644	0.357862	3.000000	9031.014648
Single-Family Attached	0-1499	<1940	0.301526	0.598367	0.100106	81.000000	758103.625000
Single-Family Attached	1500-2499	<1940	0.073988	0.726023	0.199989	33.000000	307200.875000
Single-Family Attached	2500-3999	<1940	0.000000	0.557090	0.442910	8.000000	69207.718750
Single-Family Attached	4000+	<1940	0.333333	0.333333	0.333333	0.000000	0.000000
Single-Family Detached	0-1499	1940-59	0.878468	0.120467	0.001065	708.000000	6499629.500000
Single-Family Detached	1500-2499	1940-59	0.596728	0.389279	0.013993	550.000000	5240961.500000
Single-Family Detached	2500-3999	1940-59	0.356480	0.594487	0.049032	191.000000	1817051.750000
Single-Family Detached	4000+	1940-59	0.303428	0.672894	0.023678	42.000000	390436.156250
Single-Family Detached	0-1499	1960-79	0.903217	0.088940	0.007843	772.000000	7005432.000000
Single-Family Detached	1500-2499	1960-79	0.727746	0.256906	0.015347	812.000000	7183301.000000
Single-Family Detached	2500-3999	1960-79	0.492284	0.479928	0.027788	377.000000	3346236.750000
Single-Family Detached	4000+	1960-79	0.280778	0.665337	0.053885	100.000000	770002.437500
Single-Family Detached	0-1499	1980-99	0.843512	0.149992	0.006496	533.000000	5221964.500000
Single-Family Detached	1500-2499	1980-99	0.649011	0.344257	0.006732	820.000000	7741728.000000
Single-Family Detached	2500-3999	1980-99	0.314676	0.653685	0.031639	524.000000	4692520.500000
Single-Family Detached	4000+	1980-99	0.156823	0.812706	0.030471	202.000000	1758917.750000
Single-Family Detached	0-1499	2000-09	0.838622	0.161378	0.000000	223.000000	1123320.000000
Single-Family Detached	1500-2499	2000-09	0.650375	0.345612	0.004012	420.000000	1936082.625000
Single-Family Detached	2500-3999	2000-09	0.297882	0.690677	0.011441	315.000000	1471062.000000
Single-Family Detached	4000+	2000-09	0.204168	0.765621	0.030211	190.000000	832789.937500
Single-Family Detached	0-1499	2010s	0.838622	0.161378	0.000000	223.000000	1123320.000000
Single-Family Detached	1500-2499	2010s	0.650375	0.345612	0.004012	420.000000	1936082.625000
Single-Family Detached	2500-3999	2010s	0.297882	0.690677	0.011441	315.000000	1471062.000000
Single-Family Detached	4000+	2010s	0.204168	0.765621	0.030211	190.000000	832789.937500
Single-Family Detached	0-1499	<1940	0.615321	0.377800	0.006879	397.000000	3776181.500000
Single-Family Detached	1500-2499	<1940	0.257659	0.726773	0.015568	333.000000	3038089.750000
Single-Family Detached	2500-3999	<1940	0.081772	0.847259	0.070970	183.000000	1637317.625000
Single-Family Detached	4000+	<1940	0.070785	0.752165	0.177050	51.000000	486095.187500
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: All mobile homes and multi-family with 2 - 4 units are 1 story.
# Assumption: Vintage ACS rows for the 2010s are copied from the 2000-09 rows.
