Dependency=Location	Option=Pier and Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
TX_Wichita.Falls.Muni.AP.723510	0	0.01	0.01	0	0.98
OK_Oklahoma.City-Will.Rogers.World.AP.723530	0	0.02	0.01	0.01	0.96
OK_Tulsa.Intl.AP.723560	0	0.02	0.01	0.01	0.96
TX_Amarillo.Intl.AP.723630	0	0.01	0.01	0	0.98
NM_Albuquerque.Intl.AP.723650	0	0	0.02	0.03	0.95
NM_Tucumcari.AP.723676	0	0	0.02	0.03	0.95
AZ_Prescott-Love.Field.723723	0	0.01	0.01	0.03	0.95
AZ_Flagstaff-Pulliam.AP.723755	0	0.01	0.01	0.03	0.95
CA_Barstow.Daggett.AP.723815	0	0.09	0.03	0.2	0.68
CA_Bakersfield-Meadows.Field.723840	0	0.09	0.03	0.2	0.68
NV_Las.Vegas-McCarran.Intl.AP.723860	0	0	0.01	0.46	0.53
CA_Fresno.Air.Terminal.723890	0	0.09	0.03	0.2	0.68
CA_Santa.Maria.Public.AP.723940	0	0.09	0.03	0.2	0.68
VA_Richmond.Intl.AP.724010	0	0.15	0.32	0.25	0.28
VA_Sterling-Washington.Dulles.Intl.AP.724030	0	0.15	0.32	0.25	0.28
MD_Baltimore-Washington.Intl.AP.724060	0	0.34	0.57	0.03	0.06
NJ_Atlantic.City.Intl.AP.724070	0	0.25	0.15	0.51	0.09
PA_Philadelphia.Intl.AP.724080	0	0.44	0.48	0.04	0.04
DE_Wilmington-New.Castle.County.AP.724089	0	0.12	0.19	0.41	0.29
VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100	0	0.15	0.32	0.25	0.28
VA_Roanoke.Rgnl.AP-Woodrum.Field.724110	0	0.15	0.32	0.25	0.28
WV_Charleston-Yeager.AP.724140	0	0.2	0.33	0.33	0.14
WV_Elkins-Randolph.County.AP.724170	0	0.2	0.33	0.33	0.14
KY_Cincinnati-Northern.Kentucky.AP.724210	0	0.39	0.32	0.19	0.1
KY_Lexington-Bluegrass.AP.724220	0	0.39	0.32	0.19	0.1
KY_Louisville-Standiford.Field.724230	0	0.39	0.32	0.19	0.1
WV_Huntington-Tri.State.Walker.Long.Field.724250	0	0.2	0.33	0.33	0.14
OH_Columbus-Port.Columbus.Intl.AP.724280	0	0.3	0.46	0.11	0.14
OH_Dayton.Intl.AP.724290	0	0.3	0.46	0.11	0.14
IN_Evansville.Rgnl.AP.724320	0	0.31	0.48	0.08	0.13
MO_St.Louis-Lambert.Intl.AP.724340	0	0.33	0.6	0.02	0.05
IN_Indianapolis.Intl.AP.724380	0	0.31	0.48	0.08	0.13
IL_Springfield-Capital.AP.724390	0	0.2	0.59	0.08	0.13
MO_Springfield.Rgnl.AP.724400	0	0.33	0.6	0.02	0.05
MO_Columbia.Rgnl.AP.724450	0	0.33	0.6	0.02	0.05
MO_Kansas.City.Intl.AP.724460	0	0.33	0.6	0.02	0.05
KS_Wichita-Mid.Continent.AP.724500	0	0.3	0.66	0.03	0.01
KS_Dodge.City.Rgnl.AP.724510	0	0.3	0.66	0.03	0.01
KS_Topeka-Phillip.Billard.Muni.AP.724560	0	0.3	0.66	0.03	0.01
CO_Alamosa.Muni.AP.724620	0	0.19	0.61	0.19	0.01
CO_Pueblo.Mem.AP.724640	0	0.19	0.61	0.19	0.01
KS_Goodland-Renner.Field.724650	0	0.3	0.66	0.03	0.01
CO_Colorado.Springs-Peterson.Field.724660	0	0.19	0.61	0.19	0.01
CO_Eagle.County.Rgnl.AP.724675	0	0.19	0.61	0.19	0.01
CO_Boulder-Broomfield-Jefferson.County.AP.724699	0	0.19	0.61	0.19	0.01
UT_Cedar.City.Muni.AP.724755	0	0.24	0.71	0.03	0.02
CO_Grand.Junction-Walker.Field.724760	0	0.19	0.61	0.19	0.01
CA_Sacramento.Exec.AP.724830	0	0.09	0.03	0.2	0.68
NV_Tonopah.AP.724855	0	0	0.01	0.46	0.53
NV_Ely-Yelland.Field.724860	0	0	0.01	0.46	0.53
NV_Reno-Tahoe.Intl.AP.724880	0	0	0.01	0.46	0.53
CA_San.Francisco.Intl.AP.724940	0	0.09	0.03	0.2	0.68
NJ_Newark.Intl.AP.725020	0	0.25	0.15	0.51	0.09
CT_Bridgeport-Sikorsky.Mem.AP.725040	0	0.6	0.36	0.02	0.02
RI_Providence-T.F.Green.State.AP.725070	0	0.61	0.36	0.01	0.02
CT_Hartford-Bradley.Intl.AP.725080	0	0.6	0.36	0.02	0.02
MA_Boston-Logan.Intl.AP.725090	0	0.61	0.33	0.02	0.04
MA_Worcester.Rgnl.AP.725095	0	0.61	0.33	0.02	0.04
PA_Harrisburg-Capital.City.AP.725118	0	0.44	0.48	0.04	0.04
PA_Wilkes-Barre-Scranton.Intl.AP.725130	0	0.44	0.48	0.04	0.04
PA_Williamsport.Rgnl.AP.725140	0	0.44	0.48	0.04	0.04
NY_Binghamton-Edwin.A.Link.Field.725150	0	0.48	0.33	0.04	0.15
PA_Allentown-Lehigh.Valley.Intl.AP.725170	0	0.44	0.48	0.04	0.04
NY_Albany.County.AP.725180	0	0.48	0.33	0.04	0.15
NY_Syracuse-Hancock.Intl.AP.725190	0	0.48	0.33	0.04	0.15
PA_Pittsburgh.Intl.AP.725200	0	0.44	0.48	0.04	0.04
OH_Akron.Canton.Rgnl.AP.725210	0	0.3	0.46	0.11	0.14
OH_Cleveland-Hopkins.Intl.AP.725240	0	0.3	0.46	0.11	0.14
OH_Mansfield-Lahm.Muni.AP.725246	0	0.3	0.46	0.11	0.14
OH_Youngstown.Rgnl.AP.725250	0	0.3	0.46	0.11	0.14
PA_Erie.Intl.AP.725260	0	0.44	0.48	0.04	0.04
PA_Bradford.Rgnl.AP.725266	0	0.44	0.48	0.04	0.04
NY_Buffalo-Greater.Buffalo.Intl.AP.725280	0	0.48	0.33	0.04	0.15
NY_Rochester-Greater.Rochester.Intl.AP.725290	0	0.48	0.33	0.04	0.15
IL_Chicago-OHare.Intl.AP.725300	0	0.2	0.59	0.08	0.13
IL_Peoria-Greater.Peoria.AP.725320	0	0.2	0.59	0.08	0.13
IN_Fort.Wayne.Intl.AP.725330	0	0.31	0.48	0.08	0.13
IN_South.Bend-Michiana.Rgnl.AP.725350	0	0.31	0.48	0.08	0.13
OH_Toledo.Express.AP.725360	0	0.3	0.46	0.11	0.14
MI_Detroit.Metro.AP.725370	0	0.4	0.56	0.03	0.01
MI_Lansing-Capital.City.AP.725390	0	0.4	0.56	0.03	0.01
IL_Rockford-Greater.Rockford.AP.725430	0	0.2	0.59	0.08	0.13
IL_Moline-Quad.City.Intl.AP.725440	0	0.2	0.59	0.08	0.13
IA_Des.Moines.Intl.AP.725460	0	0.21	0.72	0.05	0.02
IA_Waterloo.Muni.AP.725480	0	0.21	0.72	0.05	0.02
IA_Mason.City.Muni.AP.725485	0	0.21	0.72	0.05	0.02
NE_Omaha-Eppley.Airfield.725500	0	0.29	0.65	0.03	0.02
NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520	0	0.29	0.65	0.03	0.02
NE_Norfolk-Karl.Stefan.Mem.AP.725560	0	0.29	0.65	0.03	0.02
IA_Sioux.City-Sioux.Gateway.AP.725570	0	0.21	0.72	0.05	0.02
NE_North.Platte.Rgnl.AP.725620	0	0.29	0.65	0.03	0.02
WY_Cheyenne.Muni.AP.725640	0	0.22	0.68	0.09	0.01
NE_Scottsbluff-W.B.Heilig.Field.725660	0	0.29	0.65	0.03	0.02
WY_Casper-Natrona.County.Intl.AP.725690	0	0.22	0.68	0.09	0.01
UT_Salt.Lake.City.Intl.AP.725720	0	0.24	0.71	0.03	0.02
WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744	0	0.22	0.68	0.09	0.01
WY_Lander-Hunt.Field.725760	0	0.22	0.68	0.09	0.01
ID_Pocatello.Muni.AP.725780	0	0.14	0.44	0.4	0.02
NV_Elko.Muni.AP.725825	0	0	0.01	0.46	0.53
NV_Winnemucca.Muni.AP.725830	0	0	0.01	0.46	0.53
CA_Arcata.AP.725945	0	0.09	0.03	0.2	0.68
OR_Medford-Rogue.Valley.Intl.AP.725970	0	0.06	0.17	0.72	0.05
NH_Concord.Muni.AP.726050	0	0.5	0.3	0.16	0.03
ME_Portland.Intl.Jetport.726060	0	0.58	0.35	0.02	0.05
VT_Burlington.Intl.AP.726170	0	0.54	0.32	0.06	0.08
NY_Massena.AP.726223	0	0.48	0.33	0.04	0.15
MI_Grand.Rapids-Kent.County.Intl.AP.726350	0	0.4	0.56	0.03	0.01
MI_Muskegon.County.AP.726360	0	0.4	0.56	0.03	0.01
MI_Flint-Bishop.Intl.AP.726370	0	0.4	0.56	0.03	0.01
MI_Houghton-Lake.Roscommon.County.AP.726380	0	0.4	0.56	0.03	0.01
MI_Traverse.City-Cherry.Capital.AP.726387	0	0.4	0.56	0.03	0.01
MI_Alpena.County.Rgnl.AP.726390	0	0.4	0.56	0.03	0.01
WI_Milwaukee-Mitchell.Intl.AP.726400	0	0.31	0.59	0.01	0.09
WI_Madison-Dane.County.Rgnl.AP.726410	0	0.31	0.59	0.01	0.09
WI_La.Crosse.Muni.AP.726430	0	0.31	0.59	0.01	0.09
WI_Eau.Claire.County.AP.726435	0	0.31	0.59	0.01	0.09
MN_Rochester.Intl.AP.726440	0	0.22	0.76	0.01	0.01
WI_Green.Bay-Austin.Straubel.Intl.AP.726450	0	0.31	0.59	0.01	0.09
SD_Sioux.Falls-Foss.Field.726510	0	0.2	0.69	0.04	0.07
SD_Huron.Rgnl.AP.726540	0	0.2	0.69	0.04	0.07
MN_St.Cloud.Muni.AP.726550	0	0.22	0.76	0.01	0.01
MN_Minneapolis-St.Paul.Intl.AP.726580	0	0.22	0.76	0.01	0.01
SD_Rapid.City.Rgnl.AP.726620	0	0.2	0.69	0.04	0.07
WY_Sheridan.County.AP.726660	0	0.22	0.68	0.09	0.01
SD_Pierre.Muni.AP.726686	0	0.2	0.69	0.04	0.07
MT_Billings-Logan.Intl.AP.726770	0	0.24	0.74	0.02	0
MT_Lewistown.Muni.AP.726776	0	0.24	0.74	0.02	0
ID_Boise.Air.Terminal.726810	0	0.14	0.44	0.4	0.02
OR_Burns.Muni.AP.726830	0	0.06	0.17	0.72	0.05
OR_Redmond-Roberts.Field.726835	0	0.06	0.17	0.72	0.05
OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880	0	0.06	0.17	0.72	0.05
OR_North.Bend.Muni.AP.726917	0	0.06	0.17	0.72	0.05
OR_Eugene-Mahlon.Sweet.AP.726930	0	0.06	0.17	0.72	0.05
OR_Salem-McNary.Field.726940	0	0.06	0.17	0.72	0.05
OR_Portland.Intl.AP.726980	0	0.06	0.17	0.72	0.05
ME_Caribou.Muni.AP.727120	0	0.58	0.35	0.02	0.05
MI_Sault.Ste.Marie-Sanderson.Field.727340	0	0.4	0.56	0.03	0.01
MN_Duluth.Intl.AP.727450	0	0.22	0.76	0.01	0.01
MN_International.Falls.Intl.AP.727470	0	0.22	0.76	0.01	0.01
ND_Fargo-Hector.Intl.AP.727530	0	0.21	0.73	0.03	0.03
ND_Bismarck.Muni.AP.727640	0	0.21	0.73	0.03	0.03
ND_Minot.Intl.AP.727676	0	0.21	0.73	0.03	0.03
MT_Glasgow.Intl.AP.727680	0	0.24	0.74	0.02	0
MT_Helena.Rgnl.AP.727720	0	0.24	0.74	0.02	0
MT_Missoula.Intl.AP.727730	0	0.24	0.74	0.02	0
MT_Great.Falls.Intl.AP.727750	0	0.24	0.74	0.02	0
MT_Kalispell-Glacier.Park.Intl.AP.727790	0	0.24	0.74	0.02	0
MT_Cut.Bank.Muni.AP.727796	0	0.24	0.74	0.02	0
WA_Yakima.Air.Terminal-McAllister.Field.727810	0	0.16	0.46	0.35	0.03
WA_Spokane.Intl.AP.727850	0	0.16	0.46	0.35	0.03
OR_Astoria.Rgnl.AP.727910	0	0.06	0.17	0.72	0.05
WA_Olympia.AP.727920	0	0.16	0.46	0.35	0.03
WA_Seattle-Tacoma.Intl.AP.727930	0	0.16	0.46	0.35	0.03
WA_Quillayute.State.AP.727970	0	0.16	0.46	0.35	0.03
MT_Miles.City.Muni.AP.742300	0	0.24	0.74	0.02	0
NY_New.York-J.F.Kennedy.Intl.AP.744860	0	0.48	0.33	0.04	0.15
