Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F	sample_weight	sample_count
6B	Mobile Home	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	0.000000	1326529.540000	192.000000
7A	Mobile Home	0.309212	0.352215	0.184311	0.095946	0.058316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	81487.240000	15.000000
7B	Mobile Home	0.309212	0.352215	0.184311	0.095946	0.058316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	81487.240000	15.000000
1A	Single-Family Detached	0.002735	0.010527	0.005249	0.031960	0.105343	0.154602	0.214599	0.169590	0.223823	0.081571	0.000000	7713663.700000	906.000000
2A	Single-Family Detached	0.002735	0.010527	0.005249	0.031960	0.105343	0.154602	0.214599	0.169590	0.223823	0.081571	0.000000	7713663.700000	906.000000
2B	Single-Family Detached	0.028422	0.016309	0.040378	0.062273	0.153362	0.106556	0.365972	0.226728	0.000000	0.000000	0.000000	1233412.210000	117.000000
3A	Single-Family Detached	0.009878	0.002952	0.025362	0.007533	0.086357	0.189144	0.204579	0.209647	0.081992	0.153097	0.029458	7885352.100000	712.000000
3B	Single-Family Detached	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	3084933.740000	371.000000
3C	Single-Family Detached	0.074883	0.220505	0.154345	0.314479	0.076825	0.158963	0.000000	0.000000	0.000000	0.000000	0.000000	97664.390000	13.000000
4A	Single-Family Detached	0.003898	0.001937	0.025624	0.008622	0.088362	0.227422	0.239413	0.189264	0.101777	0.092439	0.021242	10487269.000000	1181.000000
4B	Single-Family Detached	0.027025	0.002312	0.016626	0.002355	0.057391	0.164132	0.140118	0.170216	0.135432	0.195185	0.089208	3084933.740000	371.000000
4C	Single-Family Detached	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0.053213	0.039036	0.000000	0.000000	0.000000	257020.510000	25.000000
5A	Single-Family Detached	0.004968	0.001134	0.029665	0.018022	0.075768	0.247791	0.253807	0.178958	0.075514	0.097707	0.016665	6094564.560000	511.000000
5B	Single-Family Detached	0.005354	0.005608	0.061120	0.011829	0.076205	0.166847	0.263414	0.206292	0.043003	0.127650	0.032679	957836.680000	108.000000
6A	Single-Family Detached	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	0.000000	1326529.540000	192.000000
6B	Single-Family Detached	0.002425	0.028886	0.007271	0.082839	0.209542	0.269171	0.212411	0.087171	0.096701	0.003582	0.000000	1326529.540000	192.000000
7A	Single-Family Detached	0.309212	0.352215	0.184311	0.095946	0.058316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	81487.240000	15.000000
7B	Single-Family Detached	0.309212	0.352215	0.184311	0.095946	0.058316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	81487.240000	15.000000
1A	Single-Family Attached	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2A	Single-Family Attached	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2B	Single-Family Attached	0.063292	0.087319	0.135610	0.239200	0.139526	0.154828	0.180226	0.000000	0.000000	0.000000	0.000000	389003.180000	41.000000
3A	Single-Family Attached	0.031821	0.003867	0.045302	0.002735	0.081797	0.267310	0.179226	0.247351	0.047221	0.063314	0.030058	2020046.270000	199.000000
3B	Single-Family Attached	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
3C	Single-Family Attached	0.185897	0.341953	0.161510	0.310639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	45727.460000	5.000000
4A	Single-Family Attached	0.036918	0.002032	0.083121	0.012040	0.145709	0.218908	0.180029	0.192762	0.046430	0.058897	0.023155	2931882.130000	326.000000
4B	Single-Family Attached	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
4C	Single-Family Attached	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0.053213	0.039036	0.000000	0.000000	0.000000	257020.510000	25.000000
5A	Single-Family Attached	0.023414	0.088417	0.006414	0.183056	0.187570	0.274314	0.079951	0.069744	0.082026	0.005094	0.000000	1853935.210000	147.000000
5B	Single-Family Attached	0.127609	0.063213	0.051068	0.167860	0.486232	0.041621	0.062398	0.000000	0.000000	0.000000	0.000000	206985.650000	27.000000
6A	Single-Family Attached	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
6B	Single-Family Attached	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
7A	Single-Family Attached	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
7B	Single-Family Attached	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
1A	Multi-Family with 2 - 4 Units	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2A	Multi-Family with 2 - 4 Units	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2B	Multi-Family with 2 - 4 Units	0.063292	0.087319	0.135610	0.239200	0.139526	0.154828	0.180226	0.000000	0.000000	0.000000	0.000000	389003.180000	41.000000
3A	Multi-Family with 2 - 4 Units	0.031821	0.003867	0.045302	0.002735	0.081797	0.267310	0.179226	0.247351	0.047221	0.063314	0.030058	2020046.270000	199.000000
3B	Multi-Family with 2 - 4 Units	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
3C	Multi-Family with 2 - 4 Units	0.185897	0.341953	0.161510	0.310639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	45727.460000	5.000000
4A	Multi-Family with 2 - 4 Units	0.036918	0.002032	0.083121	0.012040	0.145709	0.218908	0.180029	0.192762	0.046430	0.058897	0.023155	2931882.130000	326.000000
4B	Multi-Family with 2 - 4 Units	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
4C	Multi-Family with 2 - 4 Units	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0.053213	0.039036	0.000000	0.000000	0.000000	257020.510000	25.000000
5A	Multi-Family with 2 - 4 Units	0.023414	0.088417	0.006414	0.183056	0.187570	0.274314	0.079951	0.069744	0.082026	0.005094	0.000000	1853935.210000	147.000000
5B	Multi-Family with 2 - 4 Units	0.127609	0.063213	0.051068	0.167860	0.486232	0.041621	0.062398	0.000000	0.000000	0.000000	0.000000	206985.650000	27.000000
6A	Multi-Family with 2 - 4 Units	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
6B	Multi-Family with 2 - 4 Units	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
7A	Multi-Family with 2 - 4 Units	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
7B	Multi-Family with 2 - 4 Units	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
1A	Multi-Family with 5+ Units	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2A	Multi-Family with 5+ Units	0.002877	0.011301	0.054958	0.144025	0.169354	0.318250	0.106529	0.156965	0.035742	0.000000	0.000000	2288367.770000	296.000000
2B	Multi-Family with 5+ Units	0.063292	0.087319	0.135610	0.239200	0.139526	0.154828	0.180226	0.000000	0.000000	0.000000	0.000000	389003.180000	41.000000
3A	Multi-Family with 5+ Units	0.031821	0.003867	0.045302	0.002735	0.081797	0.267310	0.179226	0.247351	0.047221	0.063314	0.030058	2020046.270000	199.000000
3B	Multi-Family with 5+ Units	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
3C	Multi-Family with 5+ Units	0.185897	0.341953	0.161510	0.310639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	45727.460000	5.000000
4A	Multi-Family with 5+ Units	0.036918	0.002032	0.083121	0.012040	0.145709	0.218908	0.180029	0.192762	0.046430	0.058897	0.023155	2931882.130000	326.000000
4B	Multi-Family with 5+ Units	0.084977	0.010136	0.070029	0.088871	0.193363	0.126133	0.134774	0.067835	0.129614	0.094267	0.000000	930439.590000	110.000000
4C	Multi-Family with 5+ Units	0.067574	0.041253	0.067574	0.304412	0.291162	0.135776	0.053213	0.039036	0.000000	0.000000	0.000000	257020.510000	25.000000
5A	Multi-Family with 5+ Units	0.023414	0.088417	0.006414	0.183056	0.187570	0.274314	0.079951	0.069744	0.082026	0.005094	0.000000	1853935.210000	147.000000
5B	Multi-Family with 5+ Units	0.127609	0.063213	0.051068	0.167860	0.486232	0.041621	0.062398	0.000000	0.000000	0.000000	0.000000	206985.650000	27.000000
6A	Multi-Family with 5+ Units	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
6B	Multi-Family with 5+ Units	0.079173	0.046433	0.106960	0.241620	0.171936	0.242842	0.083923	0.027113	0.000000	0.000000	0.000000	186277.500000	27.000000
7A	Multi-Family with 5+ Units	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
7B	Multi-Family with 5+ Units	0.289890	0.420219	0.289890	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15946.650000	3.000000
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Due to lack of data for multi-family and single-family attached buildings in zone 4C, data for single-family detached buildings in zone 4C are used
