Dependency=Location	Dependency=Geometry Building Type ACS	Dependency=Vintage ACS	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Counts
AL_Mobile-Rgnl.AP.722230	Single-Family Detached	2000-09s	0.830047	0.000502	0.147266	0.003279	0.002958	0.015948	92992.875770
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	<1940	0.419026	0.002796	0.408690	0.003303	0.019158	0.147028	16417.657430
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	2010s	0.764757	0.001331	0.181612	0.004636	0.007433	0.040233	5797.730642
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1940-59s	0.446068	0.003522	0.450688	0.002594	0.012173	0.084956	36454.368030
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1960-79s	0.557278	0.001135	0.352167	0.002764	0.014265	0.072391	81515.954960
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	1980-99s	0.654995	0.001095	0.264589	0.003715	0.011815	0.063792	69193.504150
AL_Montgomery-Dannelly.Field.722260	Single-Family Detached	2000-09s	0.793502	0.000561	0.170883	0.003132	0.002623	0.029300	39184.783150
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	<1940	0.240174	0.003814	0.542266	0.001017	0.114441	0.098287	15248.020190
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	2010s	0.582788	0.000446	0.291485	0.010356	0.054838	0.060088	5051.140041
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1940-59s	0.271961	0.001411	0.548158	0.002699	0.092129	0.083643	28802.854360
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1960-79s	0.377032	0.000198	0.453319	0.000944	0.085277	0.083230	67804.794770
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	1980-99s	0.450628	0.001491	0.368808	0.003298	0.090584	0.085192	67397.940710
AR_Fort.Smith.Rgnl.AP.723440	Single-Family Detached	2000-09s	0.543836	0.000780	0.320130	0.002011	0.068115	0.065128	35155.179660
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	<1940	0.248225	0.000479	0.621750	0.001521	0.051757	0.076268	21923.923130
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	2010s	0.620610	0.000163	0.316022	0.003170	0.018764	0.041271	8973.212524
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1940-59s	0.258428	0.000565	0.638569	0.001078	0.037967	0.063393	56468.625710
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1960-79s	0.365971	0.000510	0.535759	0.001996	0.035616	0.060148	130701.567400
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	1980-99s	0.468048	0.000602	0.424380	0.001375	0.042178	0.063417	107372.924000
AR_Little.Rock-Adams.Field.723403	Single-Family Detached	2000-09s	0.542534	0.000428	0.384474	0.001258	0.021842	0.049464	62145.585120
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	<1940	0.095805	0.002461	0.546696	0.000097	0.285056	0.069886	2432.815576
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	2010s	0.120850	0.002518	0.371227	0.001487	0.318602	0.185316	730.217577
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1940-59s	0.105362	0.000149	0.633996	0.002180	0.215075	0.043238	5898.185619
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1960-79s	0.154373	0.001975	0.419458	0.003652	0.354503	0.066039	19602.160980
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1980-99s	0.147583	0.000889	0.328483	0.003563	0.402306	0.117176	25043.820190
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	2000-09s	0.178910	0.000081	0.398805	0.002676	0.223828	0.195700	12581.661340
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	<1940	0.513189	0.002289	0.448349	0.018558	0.008722	0.008893	12526.695820
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	2010s	0.487804	0.000602	0.498713	0.002598	0.002932	0.007350	20069.879450
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1940-59s	0.497684	0.000600	0.475624	0.013640	0.005818	0.006634	88822.315840
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1960-79s	0.716887	0.000663	0.263603	0.007046	0.006407	0.005395	230514.823000
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1980-99s	0.727505	0.000392	0.258018	0.003677	0.003544	0.006864	378520.047900
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	2000-09s	0.515247	0.000288	0.470071	0.003839	0.001236	0.009319	330933.611300
AZ_Prescott-Love.Field.723723	Single-Family Detached	<1940	0.212651	0.001549	0.599289	0.004807	0.112298	0.069406	2462.662709
AZ_Prescott-Love.Field.723723	Single-Family Detached	2010s	0.279268	0.000307	0.556807	0.011436	0.042844	0.109338	1277.676546
AZ_Prescott-Love.Field.723723	Single-Family Detached	1940-59s	0.290938	0.000066	0.557836	0.002032	0.068845	0.080284	4020.887697
AZ_Prescott-Love.Field.723723	Single-Family Detached	1960-79s	0.377821	0.005248	0.422496	0.004982	0.103799	0.085653	15516.355580
AZ_Prescott-Love.Field.723723	Single-Family Detached	1980-99s	0.388393	0.000706	0.427334	0.004620	0.066734	0.112213	35535.398920
AZ_Prescott-Love.Field.723723	Single-Family Detached	2000-09s	0.311736	0.000047	0.501299	0.001853	0.036897	0.148168	23067.941560
AZ_Tucson.Intl.AP.722740	Single-Family Detached	<1940	0.347167	0.000740	0.585490	0.012735	0.031950	0.021918	9547.609832
AZ_Tucson.Intl.AP.722740	Single-Family Detached	2010s	0.342844	0.001251	0.627962	0.003830	0.010168	0.013944	5202.362913
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1940-59s	0.237184	0.000691	0.729748	0.007828	0.010304	0.014246	42538.634050
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1960-79s	0.333639	0.000282	0.625848	0.005372	0.019473	0.015387	73627.742950
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1980-99s	0.299396	0.000665	0.642902	0.002425	0.014768	0.039844	89950.682100
AZ_Tucson.Intl.AP.722740	Single-Family Detached	2000-09s	0.299052	0.000145	0.652452	0.002730	0.008135	0.037486	70949.313460
CA_Arcata.AP.725945	Single-Family Detached	<1940	0.127127	0.057840	0.480593	0.008157	0.251589	0.074694	10324.627320
CA_Arcata.AP.725945	Single-Family Detached	2010s	0.300802	0.006208	0.325170	0.000632	0.279821	0.087367	985.437880
CA_Arcata.AP.725945	Single-Family Detached	1940-59s	0.191649	0.042592	0.515273	0.003258	0.188685	0.058543	22749.444500
CA_Arcata.AP.725945	Single-Family Detached	1960-79s	0.214325	0.056439	0.373343	0.002186	0.251016	0.102691	27837.160040
CA_Arcata.AP.725945	Single-Family Detached	1980-99s	0.227575	0.034298	0.387458	0.005655	0.225688	0.119326	32419.494470
CA_Arcata.AP.725945	Single-Family Detached	2000-09s	0.208641	0.023766	0.385963	0.002697	0.154960	0.223973	13762.420670
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	<1940	0.187211	0.001308	0.726567	0.020051	0.027432	0.037431	13788.481540
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	2010s	0.270978	0.001139	0.700065	0.000747	0.015617	0.011454	3265.761485
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1940-59s	0.184605	0.000400	0.739483	0.026937	0.026906	0.021669	43121.621090
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1960-79s	0.233678	0.000359	0.668846	0.018695	0.037412	0.041010	49492.736070
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1980-99s	0.186848	0.000527	0.716884	0.010245	0.035214	0.050283	57662.037660
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	2000-09s	0.193112	0.000096	0.725578	0.009150	0.022597	0.049467	44385.741240
CA_Fresno.Air.Terminal.723890	Single-Family Detached	<1940	0.223460	0.002936	0.601113	0.016809	0.074478	0.081203	27751.402340
CA_Fresno.Air.Terminal.723890	Single-Family Detached	2010s	0.288287	0.000358	0.607195	0.007040	0.021241	0.075878	6823.095211
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1940-59s	0.251768	0.003100	0.643519	0.008083	0.045498	0.048032	74865.252000
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1960-79s	0.276944	0.002344	0.578338	0.008449	0.056128	0.077797	107754.296100
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1980-99s	0.270729	0.000807	0.566296	0.008503	0.054028	0.099636	122490.872600
CA_Fresno.Air.Terminal.723890	Single-Family Detached	2000-09s	0.283329	0.001318	0.601695	0.004849	0.027974	0.080835	83010.619040
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	<1940	0.182891	0.000232	0.718866	0.079971	0.007383	0.010657	116052.316000
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	2010s	0.218917	0.000995	0.738939	0.016375	0.004599	0.020176	12609.923500
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1940-59s	0.163461	0.000307	0.762079	0.059348	0.005703	0.009102	542252.681200
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1960-79s	0.146364	0.000292	0.807519	0.029153	0.004286	0.012385	508967.514100
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1980-99s	0.149618	0.000454	0.807810	0.021816	0.005193	0.015109	357642.363500
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	2000-09s	0.157330	0.000149	0.789284	0.030631	0.002801	0.019805	173448.174600
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	<1940	0.170020	0.000295	0.751368	0.063868	0.004011	0.010437	201705.957400
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	2010s	0.162351	0.004045	0.787970	0.011871	0.010494	0.023270	4823.788490
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1940-59s	0.150100	0.000201	0.791646	0.043221	0.004120	0.010713	385179.562600
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1960-79s	0.146633	0.000834	0.803312	0.029852	0.005304	0.014065	242258.822900
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1980-99s	0.124843	0.000513	0.822741	0.021473	0.006750	0.023680	177823.687100
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	2000-09s	0.154206	0.000367	0.803151	0.012326	0.003359	0.026592	72904.121130
CA_Sacramento.Exec.AP.724830	Single-Family Detached	<1940	0.190034	0.014825	0.628252	0.006926	0.080896	0.079067	67533.436530
CA_Sacramento.Exec.AP.724830	Single-Family Detached	2010s	0.280188	0.004510	0.613270	0.002689	0.042982	0.056362	12710.501910
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1940-59s	0.198805	0.006356	0.681603	0.006219	0.058398	0.048618	195166.396600
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1960-79s	0.239549	0.007209	0.600926	0.002971	0.071347	0.077997	290478.964000
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1980-99s	0.256329	0.003301	0.585323	0.003040	0.057742	0.094265	371031.530300
CA_Sacramento.Exec.AP.724830	Single-Family Detached	2000-09s	0.226534	0.002184	0.666756	0.002416	0.021536	0.080574	237376.585700
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	<1940	0.208140	0.000613	0.672221	0.062577	0.032421	0.024029	36279.190940
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	2010s	0.239839	0.001839	0.692188	0.013775	0.013812	0.038548	7777.033897
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1940-59s	0.191226	0.001613	0.725269	0.038138	0.021386	0.022369	131136.885900
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1960-79s	0.238127	0.000441	0.675023	0.029732	0.023489	0.033187	212849.029700
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1980-99s	0.232811	0.001516	0.663871	0.022578	0.019583	0.059641	218661.705700
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	2000-09s	0.218142	0.001214	0.666364	0.030047	0.012555	0.071677	122925.005400
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	<1940	0.127247	0.001002	0.803567	0.011788	0.024069	0.032326	199357.523300
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	2010s	0.179502	0.002761	0.766639	0.005661	0.011464	0.033973	9097.837759
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1940-59s	0.142901	0.000868	0.811825	0.010602	0.014972	0.018832	421765.422000
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1960-79s	0.159142	0.000532	0.784703	0.006763	0.019739	0.029121	455493.956700
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1980-99s	0.179455	0.001017	0.746808	0.005815	0.022044	0.044861	257759.609500
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	2000-09s	0.203528	0.001543	0.740435	0.005778	0.006881	0.041835	95324.407320
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	<1940	0.127371	0.003212	0.737326	0.019919	0.055979	0.056193	10682.089550
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	2010s	0.225147	0.001152	0.611207	0.011406	0.013136	0.137952	889.017154
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1940-59s	0.117046	0.002009	0.807918	0.018071	0.030977	0.023978	26463.871660
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1960-79s	0.114796	0.001471	0.806969	0.015946	0.027199	0.033619	50198.178460
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1980-99s	0.103283	0.001774	0.764221	0.010194	0.036682	0.083846	43227.802490
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	2000-09s	0.139913	0.000148	0.735529	0.003712	0.023663	0.097035	21076.229230
CO_Alamosa.Muni.AP.724620	Single-Family Detached	<1940	0.065106	0.006498	0.533632	0.000049	0.226499	0.168217	10355.106770
CO_Alamosa.Muni.AP.724620	Single-Family Detached	2010s	0.095328	0.002866	0.439087	0.000582	0.223111	0.239026	788.541966
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1940-59s	0.064253	0.008589	0.591450	0.000400	0.196338	0.138970	7817.277440
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1960-79s	0.144521	0.010312	0.485739	0.002395	0.198462	0.158571	12855.865080
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1980-99s	0.100858	0.007093	0.320450	0.001612	0.263172	0.306816	18009.959540
CO_Alamosa.Muni.AP.724620	Single-Family Detached	2000-09s	0.112843	0.003628	0.315099	0.000666	0.213993	0.353771	10195.129410
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	<1940	0.121436	0.000964	0.798950	0.001204	0.026323	0.051124	68074.976760
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	2010s	0.162635	0.000684	0.794604	0.003099	0.002154	0.036823	12921.645230
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1940-59s	0.145585	0.000176	0.820916	0.001563	0.008557	0.023204	121799.154000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1960-79s	0.158705	0.000861	0.795640	0.001031	0.017398	0.026366	217976.883200
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1980-99s	0.141377	0.000719	0.800587	0.000528	0.015682	0.041108	204131.726000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	2000-09s	0.157080	0.000608	0.786357	0.000513	0.010539	0.044903	127796.140800
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	<1940	0.085548	0.003097	0.790654	0.000428	0.035103	0.085170	13782.123740
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	2010s	0.140385	0.000500	0.795831	0.000206	0.011890	0.051188	6801.658278
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1940-59s	0.095341	0.000567	0.853916	0.002353	0.016488	0.031335	19801.705490
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1960-79s	0.135853	0.000485	0.801540	0.000737	0.027870	0.033516	66778.625900
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1980-99s	0.120086	0.000277	0.799559	0.000954	0.018352	0.060773	112629.098500
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	2000-09s	0.145139	0.000242	0.781656	0.000217	0.012946	0.059801	72900.647280
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	<1940	0.108519	0.000896	0.622237	0.000234	0.123857	0.144257	6151.701182
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	2010s	0.172555	0.000498	0.429634	0.001846	0.116921	0.278545	669.609799
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1940-59s	0.138481	0.000924	0.656031	0.000113	0.129845	0.074607	4865.332891
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1960-79s	0.198114	0.000484	0.580123	0.001612	0.114172	0.105495	12108.191750
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1980-99s	0.160311	0.000920	0.573541	0.000142	0.124889	0.140196	16279.241060
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	2000-09s	0.101623	0.000731	0.611181	0.003405	0.085515	0.197545	11452.096410
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	<1940	0.129530	0.002176	0.641833	0.003119	0.107880	0.115461	9227.050867
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	2010s	0.179182	0.000418	0.675473	0.000239	0.048131	0.096556	1173.320841
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1940-59s	0.110543	0.002087	0.732717	0.003279	0.103534	0.047840	9593.259583
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1960-79s	0.158643	0.000919	0.670082	0.000438	0.103760	0.066158	18590.558220
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1980-99s	0.106741	0.000807	0.671886	0.000058	0.103666	0.116841	23991.980770
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	2000-09s	0.135319	0.001171	0.686044	0.002759	0.074302	0.100405	20462.458970
CO_Pueblo.Mem.AP.724640	Single-Family Detached	<1940	0.085104	0.000170	0.814725	0.000138	0.037198	0.062664	13174.493290
CO_Pueblo.Mem.AP.724640	Single-Family Detached	2010s	0.044491	0.001512	0.567723	0.001042	0.101802	0.283431	373.840393
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1940-59s	0.087852	0.000236	0.853125	0.001429	0.019820	0.037537	13788.557720
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1960-79s	0.127261	0.000313	0.801160	0.000319	0.030185	0.040761	14916.582580
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1980-99s	0.106772	0.000577	0.715893	0.001675	0.045312	0.129771	11093.634260
CO_Pueblo.Mem.AP.724640	Single-Family Detached	2000-09s	0.104103	0.000655	0.655557	0.002175	0.055594	0.181917	9781.302913
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	<1940	0.035854	0.533271	0.378660	0.001280	0.021604	0.029332	110341.397500
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	2010s	0.046211	0.254113	0.385936	0.007385	0.044695	0.261659	4019.591427
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1940-59s	0.032991	0.629763	0.292853	0.000577	0.020022	0.023793	210872.269200
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1960-79s	0.064572	0.656177	0.235597	0.000617	0.019841	0.023196	282066.184100
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1980-99s	0.069024	0.668969	0.192739	0.000378	0.030136	0.038754	145721.651800
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	2000-09s	0.026111	0.543712	0.335583	0.002366	0.020553	0.071674	50963.594540
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	<1940	0.032992	0.495433	0.379344	0.001263	0.059991	0.030978	102420.974400
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	2010s	0.032214	0.167252	0.356135	0.003218	0.052937	0.388243	3339.748742
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1940-59s	0.032542	0.601320	0.305585	0.000523	0.037749	0.022281	158150.016800
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1960-79s	0.096963	0.523506	0.294518	0.001065	0.055273	0.028675	142459.888300
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1980-99s	0.077138	0.519494	0.253342	0.001735	0.083490	0.064802	103695.803800
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	2000-09s	0.026945	0.456226	0.297156	0.003151	0.071297	0.145225	41439.227550
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	<1940	0.125410	0.412071	0.353954	0.001596	0.042741	0.064228	35974.101990
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	2010s	0.227638	0.021057	0.548189	0.002757	0.026210	0.174150	5791.524566
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1940-59s	0.109042	0.388421	0.447647	0.001690	0.020172	0.033029	66907.906200
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1960-79s	0.197963	0.342471	0.384341	0.001778	0.031255	0.042192	81853.711550
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1980-99s	0.379228	0.137751	0.305687	0.003452	0.036448	0.137433	94643.208750
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	2000-09s	0.186965	0.052079	0.513087	0.001941	0.028352	0.217576	51608.495680
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	<1940	0.796759	0.006796	0.134893	0.003252	0.020725	0.037575	8783.243213
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	2010s	0.829983	0.001326	0.143520	0.001156	0.004712	0.019304	4437.952422
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1940-59s	0.854460	0.024478	0.080785	0.010405	0.008333	0.021539	28406.585870
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1960-79s	0.888848	0.012974	0.067136	0.006083	0.009026	0.015933	63415.049180
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1980-99s	0.949218	0.000297	0.032053	0.004383	0.002643	0.011407	124364.044000
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	2000-09s	0.856966	0.000927	0.123707	0.004644	0.002024	0.011732	79335.303090
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	<1940	0.808295	0.013123	0.123217	0.002427	0.016166	0.036772	21814.084230
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	2010s	0.914653	0.000678	0.056800	0.004176	0.003162	0.020532	10254.765510
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1940-59s	0.879738	0.009570	0.066147	0.008534	0.004518	0.031493	71674.185080
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1960-79s	0.882624	0.007177	0.073301	0.007155	0.007041	0.022703	103074.868700
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1980-99s	0.922630	0.000218	0.053872	0.004051	0.005952	0.013277	149392.875600
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	2000-09s	0.912825	0.001219	0.061293	0.006182	0.002904	0.015577	106156.573300
FL_Key.West.Intl.AP.722010	Single-Family Detached	<1940	0.679104	0.000399	0.001053	0.266325	0.000155	0.052964	1122.359511
FL_Key.West.Intl.AP.722010	Single-Family Detached	2010s	0.895843	0.000343	0.012217	0.000868	0.002706	0.088022	140.575468
FL_Key.West.Intl.AP.722010	Single-Family Detached	1940-59s	0.806153	0.000394	0.014104	0.150176	0.000102	0.029071	1757.089458
FL_Key.West.Intl.AP.722010	Single-Family Detached	1960-79s	0.839372	0.002142	0.005769	0.140004	0.000234	0.012478	3099.527500
FL_Key.West.Intl.AP.722010	Single-Family Detached	1980-99s	0.911065	0.000029	0.003098	0.060369	0.000227	0.025212	3799.499313
FL_Key.West.Intl.AP.722010	Single-Family Detached	2000-09s	0.950538	0.000041	0.018320	0.019921	0.000358	0.010823	1251.426594
FL_Miami.Intl.AP.722020	Single-Family Detached	<1940	0.892513	0.001417	0.028978	0.062518	0.002098	0.012475	20014.965550
FL_Miami.Intl.AP.722020	Single-Family Detached	2010s	0.931990	0.000802	0.024979	0.015857	0.001329	0.025045	6527.350440
FL_Miami.Intl.AP.722020	Single-Family Detached	1940-59s	0.918219	0.000257	0.023551	0.048373	0.001107	0.008493	174144.789500
FL_Miami.Intl.AP.722020	Single-Family Detached	1960-79s	0.930893	0.000454	0.032599	0.028920	0.000750	0.006384	223526.982700
FL_Miami.Intl.AP.722020	Single-Family Detached	1980-99s	0.955013	0.000489	0.017694	0.022867	0.000381	0.003555	238872.362500
FL_Miami.Intl.AP.722020	Single-Family Detached	2000-09s	0.949295	0.000424	0.022044	0.020169	0.000226	0.007842	103424.091700
FL_Orlando.Intl.AP.722050	Single-Family Detached	<1940	0.873129	0.008381	0.086251	0.012383	0.006369	0.013488	46098.213840
