Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Option=N/a	Count	Weight
Mobile Home	1980s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	1990s	0-1499	0.000000	0.000000	0.000000	1.000000	110.000000	1522099.407000
Mobile Home	1990s	1500-2499	0.000000	0.000000	0.000000	1.000000	30.000000	429277.383400
Mobile Home	1990s	2500-3499	0.000000	0.000000	0.000000	1.000000	2.000000	12732.062070
Mobile Home	1990s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	2000s	0-1499	0.000000	0.000000	0.000000	1.000000	50.000000	659522.043800
Mobile Home	2000s	1500-2499	0.000000	0.000000	0.000000	1.000000	17.000000	256916.314400
Mobile Home	2000s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	2000s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	2010s	0-1499	0.000000	0.000000	0.000000	1.000000	50.000000	659522.043800
Mobile Home	2010s	1500-2499	0.000000	0.000000	0.000000	1.000000	17.000000	256916.314400
Mobile Home	2010s	2500-3499	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Mobile Home	2010s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	0-1499	0.940057	0.053517	0.006426	0.000000	249.000000	2524345.215000
Multi-Family with 2 - 4 Units	<1940	1500-2499	0.567672	0.367903	0.064424	0.000000	26.000000	248308.193300
Multi-Family with 2 - 4 Units	<1940	2500-3499	0.551103	0.448897	0.000000	0.000000	11.000000	109019.024100
Multi-Family with 2 - 4 Units	<1940	3500+	0.000000	1.000000	0.000000	0.000000	2.000000	11834.515820
Multi-Family with 2 - 4 Units	1940s	0-1499	0.940057	0.053517	0.006426	0.000000	249.000000	2524345.215000
Multi-Family with 2 - 4 Units	1940s	1500-2499	0.567672	0.367903	0.064424	0.000000	26.000000	248308.193300
Multi-Family with 2 - 4 Units	1940s	2500-3499	0.551103	0.448897	0.000000	0.000000	11.000000	109019.024100
Multi-Family with 2 - 4 Units	1940s	3500+	0.000000	1.000000	0.000000	0.000000	2.000000	11834.515820
Multi-Family with 2 - 4 Units	1950s	0-1499	0.959967	0.040033	0.000000	0.000000	105.000000	1039648.154000
Multi-Family with 2 - 4 Units	1950s	1500-2499	0.459562	0.540438	0.000000	0.000000	10.000000	125931.728200
Multi-Family with 2 - 4 Units	1950s	2500-3499	1.000000	0.000000	0.000000	0.000000	1.000000	37321.439490
Multi-Family with 2 - 4 Units	1950s	3500+	0.954275	0.045725	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	0-1499	0.911438	0.088562	0.000000	0.000000	101.000000	1067688.883000
Multi-Family with 2 - 4 Units	1960s	1500-2499	0.055583	0.944417	0.000000	0.000000	8.000000	86587.884270
Multi-Family with 2 - 4 Units	1960s	2500-3499	0.905975	0.094025	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	3500+	0.905975	0.094025	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	0-1499	0.873841	0.126159	0.000000	0.000000	162.000000	1450731.379000
Multi-Family with 2 - 4 Units	1970s	1500-2499	0.428577	0.571423	0.000000	0.000000	9.000000	78781.612490
Multi-Family with 2 - 4 Units	1970s	2500-3499	0.000000	1.000000	0.000000	0.000000	1.000000	8878.279956
Multi-Family with 2 - 4 Units	1970s	3500+	0.872469	0.127531	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	0-1499	0.868447	0.123058	0.008495	0.000000	111.000000	1053118.999000
Multi-Family with 2 - 4 Units	1980s	1500-2499	0.400490	0.599510	0.000000	0.000000	5.000000	32756.533650
Multi-Family with 2 - 4 Units	1980s	2500-3499	0.867792	0.123724	0.008483	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	3500+	0.867792	0.123724	0.008483	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	0-1499	0.907344	0.092656	0.000000	0.000000	72.000000	737677.367100
Multi-Family with 2 - 4 Units	1990s	1500-2499	0.156236	0.843764	0.000000	0.000000	5.000000	23890.918360
Multi-Family with 2 - 4 Units	1990s	2500-3499	0.000000	1.000000	0.000000	0.000000	2.000000	7862.508814
Multi-Family with 2 - 4 Units	1990s	3500+	0.905391	0.094609	0.000000	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	0-1499	0.731662	0.245705	0.022633	0.000000	38.000000	315474.704700
Multi-Family with 2 - 4 Units	2000s	1500-2499	0.563840	0.436160	0.000000	0.000000	6.000000	42915.978270
Multi-Family with 2 - 4 Units	2000s	2500-3499	0.662567	0.000000	0.337433	0.000000	2.000000	10243.564290
Multi-Family with 2 - 4 Units	2000s	3500+	0.728024	0.249293	0.022683	0.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	0-1499	0.731662	0.245705	0.022633	0.000000	38.000000	315474.704700
Multi-Family with 2 - 4 Units	2010s	1500-2499	0.563840	0.436160	0.000000	0.000000	6.000000	42915.978270
Multi-Family with 2 - 4 Units	2010s	2500-3499	0.662567	0.000000	0.337433	0.000000	2.000000	10243.564290
Multi-Family with 2 - 4 Units	2010s	3500+	0.728024	0.249293	0.022683	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	<1940	0-1499	0.968540	0.029633	0.001827	0.000000	265.000000	2600040.639000
Multi-Family with 5+ Units	<1940	1500-2499	0.906380	0.093620	0.000000	0.000000	10.000000	107485.821100
Multi-Family with 5+ Units	<1940	2500-3499	0.000000	0.000000	1.000000	0.000000	1.000000	16295.245310
Multi-Family with 5+ Units	<1940	3500+	0.968420	0.029732	0.001848	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1940s	0-1499	0.968540	0.029633	0.001827	0.000000	265.000000	2600040.639000
Multi-Family with 5+ Units	1940s	1500-2499	0.906380	0.093620	0.000000	0.000000	10.000000	107485.821100
Multi-Family with 5+ Units	1940s	2500-3499	0.000000	0.000000	1.000000	0.000000	1.000000	16295.245310
Multi-Family with 5+ Units	1940s	3500+	0.968420	0.029732	0.001848	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1950s	0-1499	0.937539	0.062461	0.000000	0.000000	129.000000	1239925.215000
Multi-Family with 5+ Units	1950s	1500-2499	1.000000	0.000000	0.000000	0.000000	4.000000	39639.493250
Multi-Family with 5+ Units	1950s	2500-3499	0.937601	0.062399	0.000000	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1950s	3500+	0.937539	0.062461	0.000000	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1960s	0-1499	0.951260	0.045341	0.003399	0.000000	248.000000	2502644.297000
Multi-Family with 5+ Units	1960s	1500-2499	0.521336	0.355434	0.123229	0.000000	5.000000	62775.376350
Multi-Family with 5+ Units	1960s	2500-3499	0.951043	0.045497	0.003460	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1960s	3500+	0.951260	0.045341	0.003399	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1970s	0-1499	0.926595	0.073405	0.000000	0.000000	411.000000	4033394.140000
Multi-Family with 5+ Units	1970s	1500-2499	0.654182	0.235586	0.110232	0.000000	9.000000	70442.134790
Multi-Family with 5+ Units	1970s	2500-3499	0.000000	1.000000	0.000000	0.000000	1.000000	8775.313793
Multi-Family with 5+ Units	1970s	3500+	0.926486	0.073472	0.000042	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1980s	0-1499	0.921051	0.078949	0.000000	0.000000	359.000000	3374715.815000
Multi-Family with 5+ Units	1980s	1500-2499	0.469606	0.530394	0.000000	0.000000	10.000000	119692.817100
Multi-Family with 5+ Units	1980s	2500-3499	0.920606	0.079394	0.000000	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1980s	3500+	0.920606	0.079394	0.000000	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	1990s	0-1499	0.951306	0.042208	0.006486	0.000000	226.000000	2426663.079000
Multi-Family with 5+ Units	1990s	1500-2499	0.693885	0.306115	0.000000	0.000000	7.000000	64224.842620
Multi-Family with 5+ Units	1990s	2500-3499	0.000000	1.000000	0.000000	0.000000	1.000000	8884.939148
Multi-Family with 5+ Units	1990s	3500+	0.951080	0.044912	0.006420	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	2000s	0-1499	0.964130	0.035870	0.000000	0.000000	215.000000	2194465.242000
Multi-Family with 5+ Units	2000s	1500-2499	0.643743	0.158868	0.197389	0.000000	21.000000	231142.471100
Multi-Family with 5+ Units	2000s	2500-3499	0.000000	1.000000	0.000000	0.000000	1.000000	8491.418082
Multi-Family with 5+ Units	2000s	3500+	0.960850	0.037140	0.002010	0.000000	0.000000	0.000000
Multi-Family with 5+ Units	2010s	0-1499	0.964130	0.035870	0.000000	0.000000	215.000000	2194465.242000
Multi-Family with 5+ Units	2010s	1500-2499	0.643743	0.158868	0.197389	0.000000	21.000000	231142.471100
Multi-Family with 5+ Units	2010s	2500-3499	0.000000	1.000000	0.000000	0.000000	1.000000	8491.418082
Multi-Family with 5+ Units	2010s	3500+	0.960850	0.037140	0.002010	0.000000	0.000000	0.000000
Single-Family Attached	<1940	0-1499	0.000000	0.000000	0.000000	1.000000	99.000000	894675.970300
Single-Family Attached	<1940	1500-2499	0.000000	0.000000	0.000000	1.000000	41.000000	374120.461500
Single-Family Attached	<1940	2500-3499	0.000000	0.000000	0.000000	1.000000	9.000000	70260.052000
Single-Family Attached	<1940	3500+	0.000000	0.000000	0.000000	1.000000	2.000000	27096.761040
Single-Family Attached	1940s	0-1499	0.000000	0.000000	0.000000	1.000000	99.000000	894675.970300
Single-Family Attached	1940s	1500-2499	0.000000	0.000000	0.000000	1.000000	41.000000	374120.461500
Single-Family Attached	1940s	2500-3499	0.000000	0.000000	0.000000	1.000000	9.000000	70260.052000
Single-Family Attached	1940s	3500+	0.000000	0.000000	0.000000	1.000000	2.000000	27096.761040
Single-Family Attached	1950s	0-1499	0.000000	0.000000	0.000000	1.000000	44.000000	337999.801800
Single-Family Attached	1950s	1500-2499	0.000000	0.000000	0.000000	1.000000	26.000000	229651.643300
Single-Family Attached	1950s	2500-3499	0.000000	0.000000	0.000000	1.000000	1.000000	7942.958043
Single-Family Attached	1950s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Single-Family Attached	1960s	0-1499	0.000000	0.000000	0.000000	1.000000	58.000000	395111.357300
Single-Family Attached	1960s	1500-2499	0.000000	0.000000	0.000000	1.000000	14.000000	103048.981400
Single-Family Attached	1960s	2500-3499	0.000000	0.000000	0.000000	1.000000	1.000000	5242.407862
Single-Family Attached	1960s	3500+	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
Single-Family Attached	1970s	0-1499	0.000000	0.000000	0.000000	1.000000	91.000000	706211.543000
Single-Family Attached	1970s	1500-2499	0.000000	0.000000	0.000000	1.000000	38.000000	312499.205900
Single-Family Attached	1970s	2500-3499	0.000000	0.000000	0.000000	1.000000	6.000000	47951.599200
Single-Family Attached	1970s	3500+	0.000000	0.000000	0.000000	1.000000	2.000000	12609.883100
Single-Family Attached	1980s	0-1499	0.000000	0.000000	0.000000	1.000000	120.000000	856604.314900
Single-Family Attached	1980s	1500-2499	0.000000	0.000000	0.000000	1.000000	59.000000	451874.126300
Single-Family Attached	1980s	2500-3499	0.000000	0.000000	0.000000	1.000000	13.000000	79886.438780
Single-Family Attached	1980s	3500+	0.000000	0.000000	0.000000	1.000000	3.000000	16481.486520
Single-Family Attached	1990s	0-1499	0.000000	0.000000	0.000000	1.000000	56.000000	383478.344800
Single-Family Attached	1990s	1500-2499	0.000000	0.000000	0.000000	1.000000	42.000000	264523.251200
Single-Family Attached	1990s	2500-3499	0.000000	0.000000	0.000000	1.000000	10.000000	97520.618670
Single-Family Attached	1990s	3500+	0.000000	0.000000	0.000000	1.000000	3.000000	14215.517800
Single-Family Attached	2000s	0-1499	0.000000	0.000000	0.000000	1.000000	69.000000	482193.131900
Single-Family Attached	2000s	1500-2499	0.000000	0.000000	0.000000	1.000000	59.000000	408410.816200
Single-Family Attached	2000s	2500-3499	0.000000	0.000000	0.000000	1.000000	15.000000	90761.462520
Single-Family Attached	2000s	3500+	0.000000	0.000000	0.000000	1.000000	9.000000	46477.219470
Single-Family Attached	2010s	0-1499	0.000000	0.000000	0.000000	1.000000	69.000000	482193.131900
Single-Family Attached	2010s	1500-2499	0.000000	0.000000	0.000000	1.000000	59.000000	408410.816200
Single-Family Attached	2010s	2500-3499	0.000000	0.000000	0.000000	1.000000	15.000000	90761.462520
Single-Family Attached	2010s	3500+	0.000000	0.000000	0.000000	1.000000	9.000000	46477.219470
Single-Family Detached	<1940	0-1499	0.000000	0.000000	0.000000	1.000000	593.000000	5642881.197000
Single-Family Detached	<1940	1500-2499	0.000000	0.000000	0.000000	1.000000	450.000000	4207616.560000
Single-Family Detached	<1940	2500-3499	0.000000	0.000000	0.000000	1.000000	193.000000	1767455.927000
Single-Family Detached	<1940	3500+	0.000000	0.000000	0.000000	1.000000	109.000000	1013195.559000
Single-Family Detached	1940s	0-1499	0.000000	0.000000	0.000000	1.000000	593.000000	5642881.197000
Single-Family Detached	1940s	1500-2499	0.000000	0.000000	0.000000	1.000000	450.000000	4207616.560000
Single-Family Detached	1940s	2500-3499	0.000000	0.000000	0.000000	1.000000	193.000000	1767455.927000
Single-Family Detached	1940s	3500+	0.000000	0.000000	0.000000	1.000000	109.000000	1013195.559000
Single-Family Detached	1950s	0-1499	0.000000	0.000000	0.000000	1.000000	520.000000	4704980.719000
Single-Family Detached	1950s	1500-2499	0.000000	0.000000	0.000000	1.000000	434.000000	4078571.527000
Single-Family Detached	1950s	2500-3499	0.000000	0.000000	0.000000	1.000000	109.000000	1046418.084000
Single-Family Detached	1950s	3500+	0.000000	0.000000	0.000000	1.000000	57.000000	510967.971500
Single-Family Detached	1960s	0-1499	0.000000	0.000000	0.000000	1.000000	399.000000	3677143.824000
Single-Family Detached	1960s	1500-2499	0.000000	0.000000	0.000000	1.000000	353.000000	3212853.732000
Single-Family Detached	1960s	2500-3499	0.000000	0.000000	0.000000	1.000000	119.000000	1104859.164000
Single-Family Detached	1960s	3500+	0.000000	0.000000	0.000000	1.000000	76.000000	696651.587600
Single-Family Detached	1970s	0-1499	0.000000	0.000000	0.000000	1.000000	389.000000	3453731.729000
Single-Family Detached	1970s	1500-2499	0.000000	0.000000	0.000000	1.000000	463.000000	4007564.169000
Single-Family Detached	1970s	2500-3499	0.000000	0.000000	0.000000	1.000000	188.000000	1583212.848000
Single-Family Detached	1970s	3500+	0.000000	0.000000	0.000000	1.000000	96.000000	745789.220500
Single-Family Detached	1980s	0-1499	0.000000	0.000000	0.000000	1.000000	298.000000	2859601.632000
Single-Family Detached	1980s	1500-2499	0.000000	0.000000	0.000000	1.000000	416.000000	3870139.651000
Single-Family Detached	1980s	2500-3499	0.000000	0.000000	0.000000	1.000000	182.000000	1620047.602000
Single-Family Detached	1980s	3500+	0.000000	0.000000	0.000000	1.000000	101.000000	869421.626900
Single-Family Detached	1990s	0-1499	0.000000	0.000000	0.000000	1.000000	246.000000	2447476.300000
Single-Family Detached	1990s	1500-2499	0.000000	0.000000	0.000000	1.000000	408.000000	3900135.871000
Single-Family Detached	1990s	2500-3499	0.000000	0.000000	0.000000	1.000000	236.000000	2137182.248000
Single-Family Detached	1990s	3500+	0.000000	0.000000	0.000000	1.000000	212.000000	1872290.294000
Single-Family Detached	2000s	0-1499	0.000000	0.000000	0.000000	1.000000	226.000000	2268849.847000
Single-Family Detached	2000s	1500-2499	0.000000	0.000000	0.000000	1.000000	423.000000	3910028.524000
Single-Family Detached	2000s	2500-3499	0.000000	0.000000	0.000000	1.000000	243.000000	2229392.981000
Single-Family Detached	2000s	3500+	0.000000	0.000000	0.000000	1.000000	264.000000	2397242.798000
Single-Family Detached	2010s	0-1499	0.000000	0.000000	0.000000	1.000000	226.000000	2268849.847000
Single-Family Detached	2010s	1500-2499	0.000000	0.000000	0.000000	1.000000	423.000000	3910028.524000
Single-Family Detached	2010s	2500-3499	0.000000	0.000000	0.000000	1.000000	243.000000	2229392.981000
Single-Family Detached	2010s	3500+	0.000000	0.000000	0.000000	1.000000	264.000000	2397242.798000
