Dependency=Location	Dependency=Geometry Building Type ACS	Dependency=Vintage ACS	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+	Counts
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1940-59s	0.527241	0.334542	0.088812	0.049405	5898.185619
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1960-79s	0.387170	0.414028	0.149756	0.049045	19602.160980
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	1980-99s	0.315871	0.424406	0.167728	0.091995	25043.820190
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	2000-09s	0.149857	0.451174	0.245407	0.153561	12581.661340
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	<1940	0.456760	0.370336	0.092929	0.079976	2432.815576
AZ_Flagstaff-Pulliam.AP.723755	Single-Family Detached	2010s	0.130636	0.415344	0.212747	0.241272	730.217577
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1940-59s	0.554302	0.243610	0.116646	0.085442	88822.315840
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1960-79s	0.341489	0.446932	0.159299	0.052281	230514.823000
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	1980-99s	0.168283	0.596034	0.167226	0.068457	378520.047900
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	2000-09s	0.148076	0.398619	0.245471	0.207835	330933.611300
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	<1940	0.294753	0.270176	0.218781	0.216290	12526.695820
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	Single-Family Detached	2010s	0.097410	0.564693	0.240356	0.097540	20069.879450
AZ_Prescott-Love.Field.723723	Single-Family Detached	1940-59s	0.551739	0.329795	0.076580	0.041886	4020.887697
AZ_Prescott-Love.Field.723723	Single-Family Detached	1960-79s	0.345589	0.456034	0.152464	0.045913	15516.355580
AZ_Prescott-Love.Field.723723	Single-Family Detached	1980-99s	0.225044	0.504416	0.188171	0.082369	35535.398920
AZ_Prescott-Love.Field.723723	Single-Family Detached	2000-09s	0.180941	0.433560	0.230872	0.154627	23067.941560
AZ_Prescott-Love.Field.723723	Single-Family Detached	<1940	0.487567	0.352316	0.087289	0.072828	2462.662709
AZ_Prescott-Love.Field.723723	Single-Family Detached	2010s	0.183799	0.428263	0.231215	0.156723	1277.676546
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1940-59s	0.379097	0.389134	0.120178	0.111591	42538.634050
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1960-79s	0.264043	0.440584	0.216184	0.079189	73627.742950
AZ_Tucson.Intl.AP.722740	Single-Family Detached	1980-99s	0.280904	0.428468	0.174958	0.115670	89950.682100
AZ_Tucson.Intl.AP.722740	Single-Family Detached	2000-09s	0.180779	0.474834	0.229821	0.114566	70949.313460
AZ_Tucson.Intl.AP.722740	Single-Family Detached	<1940	0.360869	0.274579	0.184420	0.180132	9547.609832
AZ_Tucson.Intl.AP.722740	Single-Family Detached	2010s	0.226514	0.289270	0.236940	0.247275	5202.362913
CA_Arcata.AP.725945	Single-Family Detached	1940-59s	0.531798	0.331958	0.083004	0.053239	22749.444500
CA_Arcata.AP.725945	Single-Family Detached	1960-79s	0.367182	0.417427	0.160763	0.054628	27837.160040
CA_Arcata.AP.725945	Single-Family Detached	1980-99s	0.248170	0.472274	0.183096	0.096460	32419.494470
CA_Arcata.AP.725945	Single-Family Detached	2000-09s	0.163470	0.433434	0.235580	0.167517	13762.420670
CA_Arcata.AP.725945	Single-Family Detached	<1940	0.477889	0.358779	0.089591	0.073741	10324.627320
CA_Arcata.AP.725945	Single-Family Detached	2010s	0.138829	0.397595	0.236050	0.227526	985.437880
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1940-59s	0.370830	0.379587	0.126698	0.122885	43121.621090
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1960-79s	0.312414	0.443224	0.131787	0.112575	49492.736070
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	1980-99s	0.230307	0.446480	0.197352	0.125860	57662.037660
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	2000-09s	0.146808	0.626383	0.117206	0.109602	44385.741240
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	<1940	0.348731	0.300517	0.177281	0.173472	13788.481540
CA_Bakersfield-Meadows.Field.723840	Single-Family Detached	2010s	0.125289	0.617715	0.131993	0.125002	3265.761485
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1940-59s	0.358180	0.379848	0.136353	0.125620	74865.252000
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1960-79s	0.345458	0.371542	0.183334	0.099665	107754.296100
CA_Fresno.Air.Terminal.723890	Single-Family Detached	1980-99s	0.189619	0.527062	0.163481	0.119838	122490.872600
CA_Fresno.Air.Terminal.723890	Single-Family Detached	2000-09s	0.150876	0.448789	0.249793	0.150542	83010.619040
CA_Fresno.Air.Terminal.723890	Single-Family Detached	<1940	0.379907	0.279899	0.171827	0.168368	27751.402340
CA_Fresno.Air.Terminal.723890	Single-Family Detached	2010s	0.211963	0.325463	0.246504	0.216070	6823.095211
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1940-59s	0.384227	0.316068	0.154685	0.145020	542252.681200
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1960-79s	0.234166	0.427493	0.185974	0.152366	508967.514100
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	1980-99s	0.217567	0.399501	0.265048	0.117884	357642.363500
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	2000-09s	0.088794	0.332488	0.334303	0.244415	173448.174600
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	<1940	0.382168	0.263544	0.171675	0.182613	116052.316000
CA_Long.Beach-Daugherty.Field.722970	Single-Family Detached	2010s	0.124688	0.126615	0.621936	0.126762	12609.923500
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1940-59s	0.372740	0.334350	0.152981	0.139930	385179.562600
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1960-79s	0.271356	0.423286	0.172378	0.132980	242258.822900
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	1980-99s	0.168468	0.417395	0.295348	0.118789	177823.687100
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	2000-09s	0.119890	0.371883	0.199908	0.308319	72904.121130
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	<1940	0.350872	0.295450	0.174172	0.179505	201705.957400
CA_Los.Angeles.Intl.AP.722950	Single-Family Detached	2010s	0.128082	0.128082	0.615755	0.128082	4823.788490
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1940-59s	0.422747	0.403717	0.101927	0.071609	195166.396600
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1960-79s	0.324810	0.456212	0.139863	0.079115	290478.964000
CA_Sacramento.Exec.AP.724830	Single-Family Detached	1980-99s	0.176671	0.501350	0.226390	0.095590	371031.530300
CA_Sacramento.Exec.AP.724830	Single-Family Detached	2000-09s	0.134704	0.500879	0.230546	0.133871	237376.585700
CA_Sacramento.Exec.AP.724830	Single-Family Detached	<1940	0.464263	0.297903	0.134269	0.103564	67533.436530
CA_Sacramento.Exec.AP.724830	Single-Family Detached	2010s	0.204344	0.324767	0.252769	0.218120	12710.501910
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1940-59s	0.538799	0.339624	0.078495	0.043082	131136.885900
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1960-79s	0.324130	0.478978	0.146819	0.050074	212849.029700
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	1980-99s	0.217964	0.499692	0.184815	0.097529	218661.705700
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	2000-09s	0.134261	0.384679	0.300757	0.180304	122925.005400
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	<1940	0.502830	0.323644	0.095387	0.078139	36279.190940
CA_San.Diego-Lindbergh.Field.722900	Single-Family Detached	2010s	0.138228	0.383886	0.324213	0.153673	7777.033897
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1940-59s	0.509798	0.331440	0.100352	0.058409	421765.422000
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1960-79s	0.344889	0.427976	0.163706	0.063429	455493.956700
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	1980-99s	0.210563	0.505230	0.160993	0.123214	257759.609500
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	2000-09s	0.144657	0.520423	0.186921	0.147999	95324.407320
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	<1940	0.373563	0.383799	0.141583	0.101055	199357.523300
CA_San.Francisco.Intl.AP.724940	Single-Family Detached	2010s	0.205330	0.331638	0.250854	0.212178	9097.837759
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1940-59s	0.543770	0.329763	0.077305	0.049162	26463.871660
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1960-79s	0.327325	0.475291	0.146641	0.050744	50198.178460
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	1980-99s	0.208205	0.515954	0.176985	0.098855	43227.802490
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	2000-09s	0.156123	0.423530	0.253839	0.166508	21076.229230
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	<1940	0.508411	0.317343	0.094977	0.079269	10682.089550
CA_Santa.Maria.Public.AP.723940	Single-Family Detached	2010s	0.159934	0.466064	0.219925	0.154076	889.017154
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1940-59s	0.492860	0.355833	0.094176	0.057132	7817.277440
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1960-79s	0.354016	0.439477	0.154843	0.051664	12855.865080
CO_Alamosa.Muni.AP.724620	Single-Family Detached	1980-99s	0.242358	0.444637	0.204416	0.108589	18009.959540
CO_Alamosa.Muni.AP.724620	Single-Family Detached	2000-09s	0.158011	0.434765	0.250739	0.156485	10195.129410
CO_Alamosa.Muni.AP.724620	Single-Family Detached	<1940	0.470011	0.358164	0.089937	0.081888	10355.106770
CO_Alamosa.Muni.AP.724620	Single-Family Detached	2010s	0.101672	0.470042	0.206437	0.221849	788.541966
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1940-59s	0.477339	0.376153	0.066823	0.079685	121799.154000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1960-79s	0.214794	0.449583	0.251230	0.084393	217976.883200
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	1980-99s	0.181902	0.392800	0.240155	0.185143	204131.726000
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	2000-09s	0.121028	0.537817	0.202551	0.138604	127796.140800
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	<1940	0.434493	0.362638	0.132912	0.069957	68074.976760
CO_Boulder-Broomfield-Jefferson.County.AP.724699	Single-Family Detached	2010s	0.219114	0.321174	0.244201	0.215512	12921.645230
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1940-59s	0.250839	0.445817	0.152167	0.151177	19801.705490
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1960-79s	0.162398	0.423062	0.265575	0.148965	66778.625900
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	1980-99s	0.190698	0.299914	0.324862	0.184526	112629.098500
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	2000-09s	0.100758	0.504847	0.245037	0.149358	72900.647280
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	<1940	0.312016	0.302377	0.197633	0.187975	13782.123740
CO_Colorado.Springs-Peterson.Field.724660	Single-Family Detached	2010s	0.247122	0.255134	0.248369	0.249375	6801.658278
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1940-59s	0.544485	0.329478	0.074541	0.051497	4865.332891
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1960-79s	0.335692	0.468202	0.148064	0.048042	12108.191750
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	1980-99s	0.212334	0.497481	0.191947	0.098238	16279.241060
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	2000-09s	0.145410	0.414949	0.269293	0.170348	11452.096410
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	<1940	0.505783	0.333640	0.088307	0.072270	6151.701182
CO_Eagle.County.Rgnl.AP.724675	Single-Family Detached	2010s	0.124499	0.487845	0.226120	0.161535	669.609799
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1940-59s	0.529695	0.348385	0.081073	0.040847	9593.259583
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1960-79s	0.332869	0.471712	0.152212	0.043208	18590.558220
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	1980-99s	0.216438	0.507183	0.187613	0.088766	23991.980770
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	2000-09s	0.155220	0.431829	0.255623	0.157327	20462.458970
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	<1940	0.497849	0.345288	0.084740	0.072123	9227.050867
CO_Grand.Junction-Walker.Field.724760	Single-Family Detached	2010s	0.136613	0.491606	0.211844	0.159937	1173.320841
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1940-59s	0.549358	0.346186	0.068718	0.035738	13788.557720
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1960-79s	0.322717	0.481009	0.152545	0.043728	14916.582580
CO_Pueblo.Mem.AP.724640	Single-Family Detached	1980-99s	0.182032	0.517542	0.198704	0.101722	11093.634260
CO_Pueblo.Mem.AP.724640	Single-Family Detached	2000-09s	0.127607	0.423749	0.269332	0.179312	9781.302913
CO_Pueblo.Mem.AP.724640	Single-Family Detached	<1940	0.538617	0.325877	0.072678	0.062827	13174.493290
CO_Pueblo.Mem.AP.724640	Single-Family Detached	2010s	0.111838	0.533827	0.187376	0.166960	373.840393
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1940-59s	0.331840	0.427608	0.148130	0.092422	210872.269200
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1960-79s	0.247310	0.427147	0.210478	0.115065	282066.184100
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	1980-99s	0.127215	0.368712	0.264803	0.239270	145721.651800
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	2000-09s	0.182166	0.344478	0.246981	0.226375	50963.594540
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	<1940	0.264273	0.319369	0.233068	0.183290	110341.397500
CT_Bridgeport-Sikorsky.Mem.AP.725040	Single-Family Detached	2010s	0.182087	0.199011	0.315401	0.303500	4019.591427
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1940-59s	0.328512	0.341282	0.201481	0.128724	158150.016800
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1960-79s	0.205138	0.486111	0.189795	0.118956	142459.888300
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	1980-99s	0.187119	0.535321	0.153755	0.123805	103695.803800
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	2000-09s	0.205286	0.300683	0.276004	0.218028	41439.227550
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	<1940	0.277868	0.293922	0.263941	0.164270	102420.974400
CT_Hartford-Bradley.Intl.AP.725080	Single-Family Detached	2010s	0.181971	0.202768	0.317752	0.297509	3339.748742
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1940-59s	0.406713	0.384147	0.131268	0.077873	66907.906200
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1960-79s	0.212950	0.477421	0.210640	0.098989	81853.711550
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	1980-99s	0.111654	0.375987	0.324963	0.187396	94643.208750
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	2000-09s	0.087316	0.299143	0.328367	0.285174	51608.495680
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	<1940	0.252300	0.409451	0.187435	0.150814	35974.101990
DE_Wilmington-New.Castle.County.AP.724089	Single-Family Detached	2010s	0.156395	0.296775	0.238952	0.307879	5791.524566
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1940-59s	0.347075	0.305320	0.184477	0.163128	28406.585870
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1960-79s	0.376706	0.431488	0.119428	0.072378	63415.049180
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	1980-99s	0.301594	0.350019	0.279574	0.068814	124364.044000
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	2000-09s	0.144670	0.360574	0.196969	0.297787	79335.303090
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	<1940	0.284761	0.355281	0.142334	0.217623	8783.243213
FL_Daytona.Beach.Intl.AP.722056	Single-Family Detached	2010s	0.206803	0.288847	0.265898	0.238452	4437.952422
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1940-59s	0.479336	0.369363	0.082767	0.068535	71674.185080
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1960-79s	0.341747	0.411809	0.177830	0.068614	103074.868700
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	1980-99s	0.260740	0.414594	0.261706	0.062960	149392.875600
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	2000-09s	0.086182	0.505301	0.325017	0.083501	106156.573300
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	<1940	0.319674	0.502570	0.096149	0.081607	21814.084230
FL_Jacksonville.Intl.AP.722060	Single-Family Detached	2010s	0.226880	0.276708	0.257348	0.239064	10254.765510
FL_Key.West.Intl.AP.722010	Single-Family Detached	1940-59s	0.414509	0.394509	0.128582	0.062399	1757.089458
FL_Key.West.Intl.AP.722010	Single-Family Detached	1960-79s	0.337349	0.434350	0.137643	0.090658	3099.527500
FL_Key.West.Intl.AP.722010	Single-Family Detached	1980-99s	0.265083	0.493511	0.156718	0.084689	3799.499313
FL_Key.West.Intl.AP.722010	Single-Family Detached	2000-09s	0.176777	0.508422	0.214207	0.100594	1251.426594
FL_Key.West.Intl.AP.722010	Single-Family Detached	<1940	0.360679	0.409276	0.137873	0.092172	1122.359511
FL_Key.West.Intl.AP.722010	Single-Family Detached	2010s	0.190850	0.358858	0.261753	0.188539	140.575468
FL_Miami.Intl.AP.722020	Single-Family Detached	1940-59s	0.463130	0.387073	0.042501	0.107296	174144.789500
FL_Miami.Intl.AP.722020	Single-Family Detached	1960-79s	0.376052	0.370712	0.171692	0.081544	223526.982700
FL_Miami.Intl.AP.722020	Single-Family Detached	1980-99s	0.210646	0.466057	0.240917	0.082380	238872.362500
FL_Miami.Intl.AP.722020	Single-Family Detached	2000-09s	0.235348	0.295444	0.243795	0.225413	103424.091700
FL_Miami.Intl.AP.722020	Single-Family Detached	<1940	0.265129	0.164378	0.111038	0.459456	20014.965550
FL_Miami.Intl.AP.722020	Single-Family Detached	2010s	0.222528	0.288241	0.257875	0.231356	6527.350440
FL_Orlando.Intl.AP.722050	Single-Family Detached	1940-59s	0.473486	0.325075	0.117899	0.083540	212889.558700
FL_Orlando.Intl.AP.722050	Single-Family Detached	1960-79s	0.423041	0.375926	0.132704	0.068329	451830.169100
FL_Orlando.Intl.AP.722050	Single-Family Detached	1980-99s	0.297832	0.381021	0.240978	0.080169	651065.251000
FL_Orlando.Intl.AP.722050	Single-Family Detached	2000-09s	0.202568	0.276763	0.168769	0.351900	424026.733400
FL_Orlando.Intl.AP.722050	Single-Family Detached	<1940	0.235888	0.373936	0.225722	0.164454	46098.213840
FL_Orlando.Intl.AP.722050	Single-Family Detached	2010s	0.174507	0.236388	0.223384	0.365721	36693.641910
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	1940-59s	0.483626	0.391270	0.089852	0.035251	42236.180410
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	1960-79s	0.355617	0.461635	0.119815	0.062933	80055.208270
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	1980-99s	0.257285	0.492018	0.166590	0.084107	84634.581530
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	2000-09s	0.169155	0.505773	0.213100	0.111972	49663.817380
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	<1940	0.406080	0.435884	0.103838	0.054198	15735.239340
FL_Tallahassee.Rgnl.AP.722140	Single-Family Detached	2010s	0.173072	0.346575	0.290365	0.189988	4927.900174
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	1940-59s	0.489832	0.361557	0.055986	0.092625	47714.242240
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	1960-79s	0.375305	0.388075	0.155894	0.080727	135070.807800
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	1980-99s	0.212482	0.491515	0.209811	0.086191	226793.039400
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	2000-09s	0.224325	0.339776	0.235270	0.200629	144217.305300
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	<1940	0.344020	0.216802	0.103602	0.335576	8920.242131
FL_West.Palm.Beach.Intl.AP.722030	Single-Family Detached	2010s	0.230048	0.277332	0.262461	0.230159	6559.427591
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	1940-59s	0.473697	0.353767	0.104191	0.068345	23867.931000
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	1960-79s	0.337569	0.426975	0.150405	0.085051	54128.330740
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	1980-99s	0.240579	0.440647	0.185864	0.132910	87998.535590
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	2000-09s	0.150805	0.448619	0.242814	0.157762	65325.453080
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	<1940	0.359208	0.402332	0.133063	0.105397	13715.044480
GA_Athens-Ben.Epps.AP.723110	Single-Family Detached	2010s	0.147465	0.345200	0.249400	0.257934	2957.121609
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	1940-59s	0.309179	0.410178	0.183741	0.096902	106704.374600
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	1960-79s	0.212392	0.428978	0.215529	0.143101	264904.782400
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	1980-99s	0.282352	0.278236	0.241638	0.197774	532679.302400
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	2000-09s	0.126903	0.302265	0.304130	0.266702	346360.306600
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	<1940	0.320997	0.395239	0.143355	0.140408	45641.084610
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	Single-Family Detached	2010s	0.098238	0.266346	0.102400	0.533016	18082.460780
GA_Augusta-Bush-Field.722180	Single-Family Detached	1940-59s	0.386408	0.250109	0.186808	0.176675	25576.531520
GA_Augusta-Bush-Field.722180	Single-Family Detached	1960-79s	0.356281	0.377054	0.140454	0.126211	51411.556180
