Dependency=Geometry Building Type	Dependency=Vintage	Dependency=Geometry House Size	Option=1	Option=2	Option=3	Count	Weight
Multi-Family with 2 - 4 Units	1970s	2500-3499	1	0	0	1	8878.279956
Multi-Family with 2 - 4 Units	1970s	3500+	1	0	0	0	0
Multi-Family with 2 - 4 Units	1980s	0-1499	1	0	0	111	1053118.999
Multi-Family with 2 - 4 Units	1980s	1500-2499	1	0	0	5	32756.53365
Multi-Family with 2 - 4 Units	1980s	2500-3499	1	0	0	0	0
Multi-Family with 2 - 4 Units	1980s	3500+	1	0	0	0	0
Multi-Family with 2 - 4 Units	1990s	0-1499	1	0	0	72	737677.3671
Multi-Family with 2 - 4 Units	1990s	1500-2499	1	0	0	5	23890.91836
Multi-Family with 2 - 4 Units	1990s	2500-3499	1	0	0	2	7862.508814
Multi-Family with 2 - 4 Units	1990s	3500+	1	0	0	0	0
Multi-Family with 2 - 4 Units	2000s	0-1499	1	0	0	38	315474.7047
Multi-Family with 2 - 4 Units	2000s	1500-2499	1	0	0	6	42915.97827
Multi-Family with 2 - 4 Units	2000s	2500-3499	1	0	0	2	10243.56429
Multi-Family with 2 - 4 Units	2000s	3500+	1	0	0	0	0
Multi-Family with 2 - 4 Units	1940s	0-1499	1	0	0	249	2524345.215
Multi-Family with 2 - 4 Units	1940s	1500-2499	1	0	0	26	248308.1933
Multi-Family with 2 - 4 Units	1940s	2500-3499	1	0	0	11	109019.0241
Multi-Family with 2 - 4 Units	1940s	3500+	1	0	0	2	11834.51582
Multi-Family with 2 - 4 Units	2010s	0-1499	1	0	0	38	315474.7047
Multi-Family with 2 - 4 Units	2010s	1500-2499	1	0	0	6	42915.97827
Multi-Family with 2 - 4 Units	2010s	2500-3499	1	0	0	2	10243.56429
Multi-Family with 2 - 4 Units	2010s	3500+	1	0	0	0	0
Multi-Family with 5+ Units	<1940	0-1499	0.127459829	0.294788505	0.577751666	265	2600040.639
Multi-Family with 5+ Units	<1940	1500-2499	0	1	0	10	107485.8211
Multi-Family with 5+ Units	<1940	2500-3499	0	0	1	1	16295.24531
Multi-Family with 5+ Units	<1940	3500+	0.127409566	0.295013594	0.57757684	0	0
Multi-Family with 5+ Units	1950s	0-1499	0.105248758	0.567940447	0.326810795	129	1239925.215
Multi-Family with 5+ Units	1950s	1500-2499	0	1	0	4	39639.49325
Multi-Family with 5+ Units	1950s	2500-3499	0.10521381	0.568083914	0.326702276	0	0
Multi-Family with 5+ Units	1950s	3500+	0.10521381	0.568083914	0.326702276	0	0
Multi-Family with 5+ Units	1960s	0-1499	0.095745481	0.530138313	0.374116206	248	2502644.297
Multi-Family with 5+ Units	1960s	1500-2499	0	0.579932948	0.420067052	5	62775.37635
Multi-Family with 5+ Units	1960s	2500-3499	0.095706095	0.530158796	0.374135109	0	0
Multi-Family with 5+ Units	1960s	3500+	0.095706095	0.530158796	0.374135109	0	0
Multi-Family with 5+ Units	1970s	0-1499	0.102552745	0.515687522	0.381759733	411	4033394.14
Multi-Family with 5+ Units	1970s	1500-2499	0.197807162	0.105053659	0.697139179	9	70442.13479
Multi-Family with 5+ Units	1970s	2500-3499	0.34	0.33	0.33	1	8775.313793
Multi-Family with 5+ Units	1970s	3500+	0.102590944	0.51552285	0.381886206	0	0
Multi-Family with 5+ Units	1980s	0-1499	0.088294819	0.513126926	0.398578255	359	3374715.815
Multi-Family with 5+ Units	1980s	1500-2499	0.061208153	0.656821867	0.281969981	10	119692.8171
Multi-Family with 5+ Units	1980s	2500-3499	0.08826336	0.513293814	0.398442827	0	0
Multi-Family with 5+ Units	1980s	3500+	0.08826336	0.513293814	0.398442827	0	0
Multi-Family with 5+ Units	1990s	0-1499	0.084674512	0.490804478	0.42452101	226	2426663.079
Multi-Family with 5+ Units	1990s	1500-2499	0	0.615433931	0.384566069	7	64224.84262
Multi-Family with 5+ Units	1990s	2500-3499	0	0	1	1	8884.939148
Multi-Family with 5+ Units	1990s	3500+	0.084595773	0.49090928	0.424494947	0	0
Multi-Family with 5+ Units	2000s	0-1499	0.089067889	0.565362605	0.345569506	215	2194465.242
Multi-Family with 5+ Units	2000s	1500-2499	0	0.364510762	0.635489238	21	231142.4711
Multi-Family with 5+ Units	2000s	2500-3499	0	1	0	1	8491.418082
Multi-Family with 5+ Units	2000s	3500+	0.127459829	0.294788505	0.577751666	0	0
Multi-Family with 5+ Units	1940s	0-1499	0.127459829	0.294788505	0.577751666	265	2600040.639
Multi-Family with 5+ Units	1940s	1500-2499	0	1	0	10	107485.8211
Multi-Family with 5+ Units	1940s	2500-3499	0	0	1	1	16295.24531
Multi-Family with 5+ Units	1940s	3500+	0.127409566	0.295013594	0.57757684	0	0
Multi-Family with 5+ Units	2010s	0-1499	0.089067889	0.565362605	0.345569506	215	2194465.242
Multi-Family with 5+ Units	2010s	1500-2499	0	0.364510762	0.635489238	21	231142.4711
Multi-Family with 5+ Units	2010s	2500-3499	0	1	0	1	8491.418082
Multi-Family with 5+ Units	2010s	3500+	0.088429625	0.563938106	0.347632269	0	0
Single-Family Attached	<1940	0-1499	0.370636722	0.544538175	0.084825103	99	894675.9703
Single-Family Attached	<1940	1500-2499	0.105892652	0.729891052	0.164216295	41	374120.4615
Single-Family Attached	<1940	2500-3499	0.063284299	0.724553676	0.212162025	9	70260.052
Single-Family Attached	<1940	3500+	0	0.418886211	0.581113789	2	27096.76104
Single-Family Attached	1950s	0-1499	0.370636722	0.544538175	0.084825103	44	337999.8018
Single-Family Attached	1950s	1500-2499	0.105892652	0.729891052	0.164216295	26	229651.6433
Single-Family Attached	1950s	2500-3499	0.063284299	0.724553676	0.212162025	1	7942.958043
Single-Family Attached	1950s	3500+	0	0.418886211	0.581113789	0	0
Single-Family Attached	1960s	0-1499	0.672979519	0.327020481	0	58	395111.3573
Single-Family Attached	1960s	1500-2499	0.26670774	0.625981914	0.107310346	14	103048.9814
Single-Family Attached	1960s	2500-3499	0.33	0.33	0.34	1	5242.407862
Single-Family Attached	1960s	3500+	0.559928565	0.410210791	0.029860644	0	0
Single-Family Attached	1970s	0-1499	0.64316598	0.35683402	0	91	706211.543
Single-Family Attached	1970s	1500-2499	0.187143975	0.812856025	0	38	312499.2059
Single-Family Attached	1970s	2500-3499	1	0	0	6	47951.5992
Single-Family Attached	1970s	3500+	0.617609688	0.382390312	0	2	12609.8831
Single-Family Attached	1980s	0-1499	0.644264945	0.342112313	0.013622742	120	856604.3149
Single-Family Attached	1980s	1500-2499	0.334111785	0.628923891	0.036964324	59	451874.1263
Single-Family Attached	1980s	2500-3499	0.797039989	0.202960011	0	13	79886.43878
Single-Family Attached	1980s	3500+	0	1	0	3	16481.48652
Single-Family Attached	1990s	0-1499	0.435694206	0.552309077	0.011996717	56	383478.3448
Single-Family Attached	1990s	1500-2499	0.336699889	0.534516597	0.128783515	42	264523.2512
Single-Family Attached	1990s	2500-3499	0.128942734	0.799121786	0.071935479	10	97520.61867
Single-Family Attached	1990s	3500+	0.258973159	0.741026841	0	3	14215.5178
Single-Family Attached	2000s	0-1499	0.56506034	0.43493966	0	69	482193.1319
Single-Family Attached	2000s	1500-2499	0.171286297	0.725974249	0.102739453	59	408410.8162
Single-Family Attached	2000s	2500-3499	0.302549515	0.697450485	0	15	90761.46252
Single-Family Attached	2000s	3500+	0.187683287	0.812316713	0	9	46477.21947
Single-Family Attached	1940s	0-1499	0.488069113	0.487722101	0.024208786	99	894675.9703
Single-Family Attached	1940s	1500-2499	0.371630877	0.563492421	0.064876702	41	374120.4615
Single-Family Attached	1940s	2500-3499	0.286063803	0.342189335	0.371746861	9	70260.052
Single-Family Attached	1940s	3500+	0.443086702	0.417840442	0.139072856	2	27096.76104
Single-Family Attached	2010s	0-1499	0.488069113	0.487722101	0.024208786	69	482193.1319
Single-Family Attached	2010s	1500-2499	0.371630877	0.563492421	0.064876702	59	408410.8162
Single-Family Attached	2010s	2500-3499	0.286063803	0.342189335	0.371746861	15	90761.46252
Single-Family Attached	2010s	3500+	0.443086702	0.417840442	0.139072856	9	46477.21947
Single-Family Detached	<1940	0-1499	0.689096143	0.306278673	0.004625185	593	5642881.197
Single-Family Detached	<1940	1500-2499	0.308085979	0.673906754	0.018007266	450	4207616.56
Single-Family Detached	<1940	2500-3499	0.105376458	0.8202045	0.074419042	193	1767455.927
Single-Family Detached	<1940	3500+	0.103708679	0.785225019	0.111066301	109	1013195.559
Single-Family Detached	1950s	0-1499	0.689096143	0.306278673	0.004625185	520	4704980.719
Single-Family Detached	1950s	1500-2499	0.308085979	0.673906754	0.018007266	434	4078571.527
Single-Family Detached	1950s	2500-3499	0.105376458	0.8202045	0.074419042	109	1046418.084
Single-Family Detached	1950s	3500+	0.103708679	0.785225019	0.111066301	57	510967.9715
Single-Family Detached	1960s	0-1499	0.900757521	0.097768029	0.00147445	399	3677143.824
Single-Family Detached	1960s	1500-2499	0.662434587	0.326086333	0.01147908	353	3212853.732
Single-Family Detached	1960s	2500-3499	0.414605069	0.551476735	0.033918196	119	1104859.164
Single-Family Detached	1960s	3500+	0.461477972	0.515881438	0.02264059	76	696651.5876
Single-Family Detached	1970s	0-1499	0.892285593	0.101545403	0.006169004	389	3453731.729
Single-Family Detached	1970s	1500-2499	0.768146133	0.217520906	0.014332961	463	4007564.169
Single-Family Detached	1970s	2500-3499	0.592291583	0.385264329	0.022444087	188	1583212.848
Single-Family Detached	1970s	3500+	0.401260999	0.546866693	0.051872308	96	745789.2205
Single-Family Detached	1980s	0-1499	0.915976547	0.075973213	0.00805024	298	2859601.632
Single-Family Detached	1980s	1500-2499	0.727675763	0.261019017	0.01130522	416	3870139.651
Single-Family Detached	1980s	2500-3499	0.498451385	0.466598874	0.034949741	182	1620047.602
Single-Family Detached	1980s	3500+	0.33364778	0.631493685	0.034858535	101	869421.6269
Single-Family Detached	1990s	0-1499	0.846101226	0.147389424	0.00650935	246	2447476.3
Single-Family Detached	1990s	1500-2499	0.658096533	0.33640979	0.005493678	408	3900135.871
Single-Family Detached	1990s	2500-3499	0.446656679	0.501952181	0.05139114	236	2137182.248
Single-Family Detached	1990s	3500+	0.20398355	0.763933102	0.032083348	212	1872290.294
Single-Family Detached	2000s	0-1499	0.857528873	0.138916278	0.003554849	226	2268849.847
Single-Family Detached	2000s	1500-2499	0.664322048	0.327502764	0.008175188	423	3910028.524
Single-Family Detached	2000s	2500-3499	0.27498923	0.701826222	0.023184548	243	2229392.981
Single-Family Detached	2000s	3500+	0.164563711	0.816109371	0.019326918	264	2397242.798
Single-Family Detached	1940s	0-1499	0.864502432	0.133763947	0.001733621	593	5642881.197
Single-Family Detached	1940s	1500-2499	0.656553407	0.339435963	0.00401063	450	4207616.56
Single-Family Detached	1940s	2500-3499	0.319013164	0.674793069	0.006193767	193	1767455.927
Single-Family Detached	1940s	3500+	0.221144774	0.749269741	0.029585485	109	1013195.559
Single-Family Detached	2010s	0-1499	0.864502432	0.133763947	0.001733621	226	2268849.847
Single-Family Detached	2010s	1500-2499	0.656553407	0.339435963	0.00401063	423	3910028.524
Single-Family Detached	2010s	2500-3499	0.319013164	0.674793069	0.006193767	243	2229392.981
Single-Family Detached	2010s	3500+	0.221144774	0.749269741	0.029585485	264	2397242.798
