Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Option=None	Option=Yes	sample_count	sample_weight
East South Central	Multi-Family with 2 - 4 Units	Natural Gas	0.317328	0.682672	53.000000	106905.812500
East South Central	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
East South Central	Multi-Family with 2 - 4 Units	Other Fuel	0.000000	1.000000	1.000000	4856.158203
East South Central	Multi-Family with 2 - 4 Units	Propane	1.000000	0.000000	1.000000	2378.971191
East South Central	Multi-Family with 5+ Units	Electricity	0.425799	0.574201	259.000000	668691.812500
East South Central	Multi-Family with 5+ Units	Fuel Oil	1.000000	0.000000	1.000000	288.455627
East South Central	Multi-Family with 5+ Units	Natural Gas	0.330390	0.669610	45.000000	87330.796875
East South Central	Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000
East South Central	Multi-Family with 5+ Units	Other Fuel	0.000000	1.000000	1.000000	4115.875000
East South Central	Multi-Family with 5+ Units	Propane	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Attached	Electricity	0.149877	0.850123	73.000000	185568.453125
East South Central	Single-Family Attached	Fuel Oil	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Attached	Natural Gas	0.119684	0.880316	26.000000	55878.066406
East South Central	Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Attached	Other Fuel	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Attached	Propane	0.000000	1.000000	1.000000	3278.129639
East South Central	Single-Family Detached	Electricity	0.022612	0.977388	906.000000	3154135.750000
East South Central	Single-Family Detached	Fuel Oil	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Detached	Natural Gas	0.017575	0.982425	495.000000	1702394.875000
East South Central	Single-Family Detached	None	0.500000	0.500000	0.000000	0.000000
East South Central	Single-Family Detached	Other Fuel	0.115289	0.884711	39.000000	146141.218750
East South Central	Single-Family Detached	Propane	0.000000	1.000000	77.000000	285875.468750
Middle Atlantic	Mobile Home	Electricity	0.044601	0.955399	21.000000	63734.000000
Middle Atlantic	Mobile Home	Fuel Oil	0.129575	0.870425	19.000000	57639.304688
Middle Atlantic	Mobile Home	Natural Gas	0.055717	0.944283	34.000000	107794.882812
Middle Atlantic	Mobile Home	None	0.500000	0.500000	0.000000	0.000000
Middle Atlantic	Mobile Home	Other Fuel	0.136359	0.863641	26.000000	80227.312500
Middle Atlantic	Mobile Home	Propane	0.006479	0.993521	29.000000	88233.960938
Middle Atlantic	Multi-Family with 2 - 4 Units	Electricity	0.526367	0.473633	184.000000	467324.000000
Middle Atlantic	Multi-Family with 2 - 4 Units	Fuel Oil	0.611309	0.388691	59.000000	204612.828125
Middle Atlantic	Multi-Family with 2 - 4 Units	Natural Gas	0.494765	0.505235	341.000000	1038585.125000
Middle Atlantic	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
Middle Atlantic	Multi-Family with 2 - 4 Units	Other Fuel	0.464224	0.535776	5.000000	12857.776367
Middle Atlantic	Multi-Family with 2 - 4 Units	Propane	0.000000	1.000000	4.000000	12001.897461
Middle Atlantic	Multi-Family with 5+ Units	Electricity	0.659271	0.340729	468.000000	1064644.625000
Middle Atlantic	Multi-Family with 5+ Units	Fuel Oil	0.799368	0.200632	313.000000	952337.062500
Middle Atlantic	Multi-Family with 5+ Units	Natural Gas	0.738356	0.261644	584.000000	1633583.125000
Middle Atlantic	Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000
Middle Atlantic	Multi-Family with 5+ Units	Other Fuel	0.581229	0.418771	17.000000	45793.234375
Middle Atlantic	Multi-Family with 5+ Units	Propane	0.779572	0.220428	12.000000	29102.080078
Middle Atlantic	Single-Family Attached	Electricity	0.187490	0.812510	231.000000	469321.562500
Middle Atlantic	Single-Family Attached	Fuel Oil	0.169718	0.830282	70.000000	161816.921875
Middle Atlantic	Single-Family Attached	Natural Gas	0.141220	0.858780	639.000000	1275352.500000
Middle Atlantic	Single-Family Attached	None	0.665739	0.334261	3.000000	7130.826660
Middle Atlantic	Single-Family Attached	Other Fuel	0.216994	0.783006	7.000000	13544.926758
Middle Atlantic	Single-Family Attached	Propane	0.326434	0.673566	11.000000	20438.255859
Middle Atlantic	Single-Family Detached	Electricity	0.040460	0.959540	392.000000	1108749.625000
Middle Atlantic	Single-Family Detached	Fuel Oil	0.041233	0.958767	566.000000	1713518.250000
Middle Atlantic	Single-Family Detached	Natural Gas	0.044585	0.955415	1495.000000	4583744.000000
Middle Atlantic	Single-Family Detached	None	0.000000	1.000000	1.000000	2784.307129
Middle Atlantic	Single-Family Detached	Other Fuel	0.037534	0.962466	112.000000	356027.156250
Middle Atlantic	Single-Family Detached	Propane	0.017946	0.982054	151.000000	448452.812500
Mountain	Mobile Home	Electricity	0.166424	0.833576	131.000000	244480.218750
Mountain	Mobile Home	Fuel Oil	0.500000	0.500000	0.000000	0.000000
Mountain	Mobile Home	Natural Gas	0.100864	0.899136	99.000000	285783.937500
Mountain	Mobile Home	None	0.891528	0.108472	5.000000	6691.196289
Mountain	Mobile Home	Other Fuel	0.071564	0.928436	22.000000	70326.914062
Mountain	Mobile Home	Propane	0.202165	0.797835	28.000000	99592.414062
Mountain	Multi-Family with 2 - 4 Units	Electricity	0.377054	0.622946	148.000000	247288.000000
Mountain	Multi-Family with 2 - 4 Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000
Mountain	Multi-Family with 2 - 4 Units	Natural Gas	0.351732	0.648268	89.000000	238489.343750
Mountain	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
Mountain	Multi-Family with 2 - 4 Units	Other Fuel	1.000000	0.000000	1.000000	712.371643
Mountain	Multi-Family with 2 - 4 Units	Propane	0.059180	0.940820	2.000000	5166.638184
Mountain	Multi-Family with 5+ Units	Electricity	0.425384	0.574616	553.000000	819564.562500
Mountain	Multi-Family with 5+ Units	Fuel Oil	1.000000	0.000000	2.000000	1107.862183
Mountain	Multi-Family with 5+ Units	Natural Gas	0.401450	0.598550	158.000000	420347.187500
Mountain	Multi-Family with 5+ Units	None	0.000000	1.000000	1.000000	856.411377
Mountain	Multi-Family with 5+ Units	Other Fuel	0.893811	0.106189	8.000000	13762.403320
Mountain	Multi-Family with 5+ Units	Propane	0.546132	0.453868	2.000000	7087.062988
Mountain	Single-Family Attached	Electricity	0.064153	0.935847	143.000000	216181.515625
Mountain	Single-Family Attached	Fuel Oil	0.500000	0.500000	0.000000	0.000000
Mountain	Single-Family Attached	Natural Gas	0.065490	0.934510	104.000000	303321.156250
Mountain	Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000
Mountain	Single-Family Attached	Other Fuel	0.000000	1.000000	2.000000	5744.044434
Mountain	Single-Family Attached	Propane	0.000000	1.000000	4.000000	17951.533203
Mountain	Single-Family Detached	Electricity	0.022777	0.977223	1247.000000	1822177.625000
Mountain	Single-Family Detached	Fuel Oil	0.000000	1.000000	1.000000	3253.817871
Mountain	Single-Family Detached	Natural Gas	0.008608	0.991392	1251.000000	3447127.500000
Mountain	Single-Family Detached	None	0.673934	0.326066	4.000000	7224.954590
Mountain	Single-Family Detached	Other Fuel	0.118770	0.881230	69.000000	287753.312500
Mountain	Single-Family Detached	Propane	0.011487	0.988513	87.000000	344335.843750
New England	Mobile Home	Electricity	0.000000	1.000000	6.000000	14279.623047
New England	Mobile Home	Fuel Oil	0.000000	1.000000	16.000000	33063.675781
New England	Mobile Home	Natural Gas	0.000000	1.000000	8.000000	12411.562500
New England	Mobile Home	None	0.500000	0.500000	0.000000	0.000000
New England	Mobile Home	Other Fuel	0.018040	0.981960	16.000000	36103.132812
New England	Mobile Home	Propane	0.000000	1.000000	5.000000	7163.353516
New England	Multi-Family with 2 - 4 Units	Electricity	0.668203	0.331797	101.000000	170534.734375
New England	Multi-Family with 2 - 4 Units	Fuel Oil	0.409248	0.590752	99.000000	190364.515625
New England	Multi-Family with 2 - 4 Units	Natural Gas	0.434627	0.565373	355.000000	583438.375000
New England	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
New England	Multi-Family with 2 - 4 Units	Other Fuel	0.301972	0.698028	6.000000	7493.949707
New England	Multi-Family with 2 - 4 Units	Propane	0.262011	0.737989	9.000000	22375.759766
New England	Multi-Family with 5+ Units	Electricity	0.713614	0.286386	333.000000	444050.593750
New England	Multi-Family with 5+ Units	Fuel Oil	0.744843	0.255157	64.000000	99861.914062
New England	Multi-Family with 5+ Units	Natural Gas	0.603109	0.396891	268.000000	340072.281250
New England	Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000
New England	Multi-Family with 5+ Units	Other Fuel	0.464825	0.535175	3.000000	8146.745117
New England	Multi-Family with 5+ Units	Propane	0.625382	0.374618	14.000000	30017.769531
New England	Single-Family Attached	Electricity	0.239849	0.760151	55.000000	79764.804688
New England	Single-Family Attached	Fuel Oil	0.019832	0.980168	25.000000	55289.171875
New England	Single-Family Attached	Natural Gas	0.138519	0.861481	111.000000	173798.625000
New England	Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000
New England	Single-Family Attached	Other Fuel	0.367879	0.632121	6.000000	21542.968750
New England	Single-Family Attached	Propane	0.018199	0.981801	8.000000	16843.599609
New England	Single-Family Detached	Electricity	0.058462	0.941538	127.000000	257850.734375
New England	Single-Family Detached	Fuel Oil	0.024831	0.975169	696.000000	1542895.875000
New England	Single-Family Detached	Natural Gas	0.015370	0.984630	675.000000	1151230.625000
New England	Single-Family Detached	None	0.500000	0.500000	0.000000	0.000000
New England	Single-Family Detached	Other Fuel	0.014361	0.985639	80.000000	273618.906250
New England	Single-Family Detached	Propane	0.008359	0.991641	97.000000	237053.015625
Pacific	Mobile Home	Electricity	0.139335	0.860665	244.000000	388677.375000
Pacific	Mobile Home	Fuel Oil	0.500000	0.500000	0.000000	0.000000
Pacific	Mobile Home	Natural Gas	0.053758	0.946242	159.000000	263696.062500
Pacific	Mobile Home	None	0.497155	0.502845	8.000000	14548.428711
Pacific	Mobile Home	Other Fuel	0.007432	0.992568	28.000000	72528.367188
Pacific	Mobile Home	Propane	0.261034	0.738966	27.000000	60038.277344
Pacific	Multi-Family with 2 - 4 Units	Electricity	0.467013	0.532987	450.000000	646839.000000
Pacific	Multi-Family with 2 - 4 Units	Fuel Oil	1.000000	0.000000	1.000000	715.594055
Pacific	Multi-Family with 2 - 4 Units	Natural Gas	0.495294	0.504707	404.000000	570921.937500
Pacific	Multi-Family with 2 - 4 Units	None	0.713155	0.286845	16.000000	36249.394531
Pacific	Multi-Family with 2 - 4 Units	Other Fuel	0.219235	0.780765	4.000000	6276.271484
Pacific	Multi-Family with 2 - 4 Units	Propane	0.000000	1.000000	3.000000	6589.320312
Pacific	Multi-Family with 5+ Units	Electricity	0.555438	0.444562	1802.000000	2419115.000000
Pacific	Multi-Family with 5+ Units	Fuel Oil	1.000000	0.000000	14.000000	13829.664062
Pacific	Multi-Family with 5+ Units	Natural Gas	0.668242	0.331758	938.000000	1306532.500000
Pacific	Multi-Family with 5+ Units	None	0.667241	0.332759	70.000000	152888.328125
Pacific	Multi-Family with 5+ Units	Other Fuel	0.890427	0.109573	45.000000	50205.703125
Pacific	Multi-Family with 5+ Units	Propane	0.762089	0.237911	15.000000	21952.787109
Pacific	Single-Family Attached	Electricity	0.144939	0.855061	376.000000	569715.812500
Pacific	Single-Family Attached	Fuel Oil	0.000000	1.000000	2.000000	3801.469727
Pacific	Single-Family Attached	Natural Gas	0.116361	0.883639	566.000000	819527.812500
Pacific	Single-Family Attached	None	0.242561	0.757439	12.000000	22730.533203
Pacific	Single-Family Attached	Other Fuel	0.375119	0.624881	5.000000	7918.762207
Pacific	Single-Family Attached	Propane	0.288918	0.711082	7.000000	13993.076172
Pacific	Single-Family Detached	Electricity	0.040386	0.959614	1950.000000	2994619.500000
Pacific	Single-Family Detached	Fuel Oil	0.024101	0.975899	64.000000	78893.875000
Pacific	Single-Family Detached	Natural Gas	0.020882	0.979118	4283.000000	6551028.500000
Pacific	Single-Family Detached	None	0.123556	0.876444	137.000000	425945.093750
Pacific	Single-Family Detached	Other Fuel	0.031820	0.968180	176.000000	473793.656250
Pacific	Single-Family Detached	Propane	0.017777	0.982223	154.000000	311697.000000
South Atlantic	Mobile Home	Electricity	0.079308	0.920692	559.000000	1671904.375000
South Atlantic	Mobile Home	Fuel Oil	0.000000	1.000000	8.000000	18529.074219
South Atlantic	Mobile Home	Natural Gas	0.029999	0.970001	19.000000	32021.708984
South Atlantic	Mobile Home	None	0.000000	1.000000	3.000000	6035.608398
South Atlantic	Mobile Home	Other Fuel	0.038376	0.961624	30.000000	80246.023438
South Atlantic	Mobile Home	Propane	0.036773	0.963227	43.000000	118706.421875
South Atlantic	Multi-Family with 2 - 4 Units	Electricity	0.297009	0.702991	477.000000	977654.812500
South Atlantic	Multi-Family with 2 - 4 Units	Fuel Oil	1.000000	0.000000	2.000000	2161.395752
South Atlantic	Multi-Family with 2 - 4 Units	Natural Gas	0.271266	0.728734	85.000000	142021.031250
South Atlantic	Multi-Family with 2 - 4 Units	None	0.553988	0.446012	11.000000	16136.700195
South Atlantic	Multi-Family with 2 - 4 Units	Other Fuel	0.436003	0.563997	5.000000	10470.159180
South Atlantic	Multi-Family with 2 - 4 Units	Propane	0.000000	1.000000	2.000000	1245.747192
South Atlantic	Multi-Family with 5+ Units	Electricity	0.367836	0.632164	2127.000000	3391236.500000
South Atlantic	Multi-Family with 5+ Units	Fuel Oil	0.623386	0.376614	12.000000	10703.034180
South Atlantic	Multi-Family with 5+ Units	Natural Gas	0.428114	0.571886	398.000000	492093.468750
South Atlantic	Multi-Family with 5+ Units	None	0.743444	0.256556	32.000000	36610.277344
South Atlantic	Multi-Family with 5+ Units	Other Fuel	0.613917	0.386083	10.000000	13987.004883
South Atlantic	Multi-Family with 5+ Units	Propane	0.294083	0.705917	4.000000	6234.744629
South Atlantic	Single-Family Attached	Electricity	0.065758	0.934242	939.000000	1550119.625000
South Atlantic	Single-Family Attached	Fuel Oil	0.014761	0.985239	17.000000	34584.906250
South Atlantic	Single-Family Attached	Natural Gas	0.045103	0.954897	405.000000	567419.187500
South Atlantic	Single-Family Attached	None	0.160517	0.839483	15.000000	13684.973633
South Atlantic	Single-Family Attached	Other Fuel	0.000000	1.000000	2.000000	4047.819336
South Atlantic	Single-Family Attached	Propane	0.000000	1.000000	3.000000	2758.167236
South Atlantic	Single-Family Detached	Electricity	0.023948	0.976052	4031.000000	9606578.000000
South Atlantic	Single-Family Detached	Fuel Oil	0.007909	0.992091	184.000000	403995.937500
South Atlantic	Single-Family Detached	Natural Gas	0.018282	0.981718	2156.000000	3817066.500000
South Atlantic	Single-Family Detached	None	0.159185	0.840815	50.000000	64873.246094
South Atlantic	Single-Family Detached	Other Fuel	0.010995	0.989005	125.000000	365286.593750
South Atlantic	Single-Family Detached	Propane	0.036313	0.963687	194.000000	516015.906250
West North Central	Mobile Home	Electricity	0.056726	0.943274	41.000000	121057.625000
West North Central	Mobile Home	Fuel Oil	0.000000	1.000000	1.000000	811.320190
West North Central	Mobile Home	Natural Gas	0.076231	0.923769	48.000000	153697.718750
West North Central	Mobile Home	None	1.000000	0.000000	1.000000	2860.501221
West North Central	Mobile Home	Other Fuel	0.142068	0.857932	6.000000	19434.710938
West North Central	Mobile Home	Propane	0.043340	0.956660	24.000000	68735.992188
West North Central	Multi-Family with 2 - 4 Units	Electricity	0.549054	0.450946	59.000000	139728.234375
West North Central	Multi-Family with 2 - 4 Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West North Central	Multi-Family with 2 - 4 Units	Natural Gas	0.458611	0.541389	61.000000	172473.453125
West North Central	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
West North Central	Multi-Family with 2 - 4 Units	Other Fuel	0.500000	0.500000	0.000000	0.000000
West North Central	Multi-Family with 2 - 4 Units	Propane	0.033020	0.966980	4.000000	8928.805664
West North Central	Multi-Family with 5+ Units	Electricity	0.585225	0.414775	293.000000	791746.625000
West North Central	Multi-Family with 5+ Units	Fuel Oil	1.000000	0.000000	4.000000	12848.753906
West North Central	Multi-Family with 5+ Units	Natural Gas	0.641691	0.358309	152.000000	448828.093750
West North Central	Multi-Family with 5+ Units	None	0.500000	0.500000	0.000000	0.000000
West North Central	Multi-Family with 5+ Units	Other Fuel	1.000000	0.000000	3.000000	10736.110352
West North Central	Multi-Family with 5+ Units	Propane	0.500000	0.500000	0.000000	0.000000
West North Central	Single-Family Attached	Electricity	0.134186	0.865814	56.000000	154569.390625
West North Central	Single-Family Attached	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West North Central	Single-Family Attached	Natural Gas	0.077995	0.922005	110.000000	355945.187500
West North Central	Single-Family Attached	None	0.500000	0.500000	0.000000	0.000000
West North Central	Single-Family Attached	Other Fuel	0.000000	1.000000	2.000000	4794.073730
West North Central	Single-Family Attached	Propane	0.000000	1.000000	3.000000	11481.705078
West North Central	Single-Family Detached	Electricity	0.018945	0.981055	374.000000	1246030.375000
West North Central	Single-Family Detached	Fuel Oil	0.000000	1.000000	15.000000	46048.765625
West North Central	Single-Family Detached	Natural Gas	0.015290	0.984710	1127.000000	3942752.000000
West North Central	Single-Family Detached	None	0.500000	0.500000	0.000000	0.000000
West North Central	Single-Family Detached	Other Fuel	0.059068	0.940932	53.000000	168348.671875
West North Central	Single-Family Detached	Propane	0.019309	0.980691	197.000000	644900.062500
West South Central	Mobile Home	Electricity	0.072728	0.927272	413.000000	951589.437500
West South Central	Mobile Home	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West South Central	Mobile Home	Natural Gas	0.066024	0.933976	27.000000	71857.375000
West South Central	Mobile Home	None	0.667655	0.332345	3.000000	5438.246094
West South Central	Mobile Home	Other Fuel	0.238990	0.761010	9.000000	25400.876953
West South Central	Mobile Home	Propane	0.102310	0.897690	22.000000	50269.605469
West South Central	Multi-Family with 2 - 4 Units	Electricity	0.412683	0.587317	406.000000	639697.437500
West South Central	Multi-Family with 2 - 4 Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West South Central	Multi-Family with 2 - 4 Units	Natural Gas	0.263042	0.736958	59.000000	124637.156250
West South Central	Multi-Family with 2 - 4 Units	None	0.500000	0.500000	0.000000	0.000000
West South Central	Multi-Family with 2 - 4 Units	Other Fuel	0.272728	0.727272	2.000000	4059.785645
West South Central	Multi-Family with 2 - 4 Units	Propane	0.480598	0.519402	2.000000	7919.374512
West South Central	Multi-Family with 5+ Units	Electricity	0.384674	0.615326	1461.000000	1982618.250000
West South Central	Multi-Family with 5+ Units	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West South Central	Multi-Family with 5+ Units	Natural Gas	0.430086	0.569914	84.000000	136509.640625
West South Central	Multi-Family with 5+ Units	None	1.000000	0.000000	1.000000	1002.955139
West South Central	Multi-Family with 5+ Units	Other Fuel	0.512451	0.487549	2.000000	2017.956787
West South Central	Multi-Family with 5+ Units	Propane	0.500000	0.500000	0.000000	0.000000
West South Central	Single-Family Attached	Electricity	0.169578	0.830422	242.000000	352954.187500
West South Central	Single-Family Attached	Fuel Oil	0.500000	0.500000	0.000000	0.000000
West South Central	Single-Family Attached	Natural Gas	0.109368	0.890632	96.000000	135775.218750
West South Central	Single-Family Attached	None	1.000000	0.000000	1.000000	489.427063
West South Central	Single-Family Attached	Other Fuel	0.166985	0.833015	4.000000	5530.203613
West South Central	Single-Family Attached	Propane	0.182425	0.817575	3.000000	7228.791016
West South Central	Single-Family Detached	Electricity	0.031996	0.968004	2822.000000	5521275.000000
West South Central	Single-Family Detached	Fuel Oil	0.000000	1.000000	1.000000	3853.589111
West South Central	Single-Family Detached	Natural Gas	0.028893	0.971107	1933.000000	3576533.250000
West South Central	Single-Family Detached	None	0.658360	0.341640	10.000000	17492.779297
West South Central	Single-Family Detached	Other Fuel	0.054937	0.945063	55.000000	146173.406250
West South Central	Single-Family Detached	Propane	0.040699	0.959301	133.000000	299763.875000
# Created by: sources\ahs\2017\tsv_maker.py using 2017 American Housing Survey (AHS) microdata.
